Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71),CH2CFO(79),CH2F(46),C2H4F(63),C2H4F(62),C1OO1(734),CH2O2(778),CHO2(166),C2H2O(133),S(338),S(376),CH2F2(41),C2H2O(373),CH3O2(183),CHF2(81),S(1537),C2H3F2(64),CH2CF2(57),CH3F(39),C2H3F2(65),S(140),S(2988),F(37),C2HF(58),C2HF(3940),CF2CH(73),C2HF2(72),S(3117),CF2(43),CF2O(49),S(4341),S(4409),C2F(3939),C2H3F2(66),S(4619),CHF3(42),S(4047),CHO2(165),C2H2F3(67),C2H2F3(68),S(5214),CFO(51),CHF2O(615),S(3044),CFO3(5914),CHFO2(172),S(459),C2H4(456),C2H2F2(59),C#CC(5603),C3H4(6319),CHF(40),CHFO2(735),CF(50),S(3734),CHFO2(782),CHO3(1596)
0.0,0.5176205540475649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5832005289465876,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.16816388790556e-21,0.5176205540475649,1.2047253432697885e-29,1.525141997288823e-32,3.0160874190732364e-43,4.617674932160937e-44,0.0,0.0,1.7209781084853412e-23,2.518242605590702e-41,8.717878648856659e-55,2.291995026337457e-49,1.3379398262401001e-53,7.485667887587892e-72,4.520611812725218e-50,6.931047321573862e-41,3.137675280022264e-27,1.3092100582710633e-40,7.269656572357976e-71,5.490854702136495e-70,1.906616950943829e-41,7.929640503988311e-63,1.6624971043498439e-28,8.34069973955462e-62,7.663088988397144e-46,3.9933073197129555e-62,6.2234402780063775e-40,1.4748450040381799e-49,5.608605785405832e-67,9.645639501929041e-69,2.053752782056723e-61,3.299144815166372e-68,4.321524250751749e-54,4.02295245966764e-67,3.76,0.0,0.5832005289465876,0.9999999999999994,1.515958332692306e-55,8.669048585842966e-25,3.267661510166167e-19,3.189398198779307e-19,7.826331138685982e-21,7.638166443700583e-40,5.172038200123267e-16,1.1038110509513271e-44,4.76596408587079e-47,9.269653438768539e-48,8.078337405506036e-59,1.3090440832593607e-40,1.295391768407676e-40,8.233349967637418e-41,3.818849801706042e-41,1.6856144798099574e-46,3.481641736964678e-48,1.5674607303078211e-30,1.4760563610506995e-43,1.389148190643283e-59,1.897921865677778e-58,8.923059340502714e-51,5.845939896896034e-73,4.5082214864015554e-48,3.363853547418156e-56,1.6624971043505371e-28,6.528669067150955e-66,2.8041197858150702e-43,3.1376752800221235e-27,3.476932365521397e-63,2.461369073299478e-24,2.095429402748162e-37,9.469470861540386e-34,1.474842405880688e-23,6.354961922002568e-49,6.574977553885369e-38,1.5674607309278302e-30,3.998705672493623e-57,1.515342335882079e-79,8.328751299011365e-62,1.51712375811373e-77,2.4052569727917697e-75,8.669048585842968e-25,2.7453272797058215e-43,2.9257979561461448e-90,1.1946856613594165e-94,1.0615025973007827e-84,2.3321905514716677e-39,1.3712280435403922e-63,4.4238262951251236e-49,1.0786169246392264e-80,9.60883446149645e-52,1.0355719983856785e-71,4.747871168208673e-62,1.6486181956838392e-94,1.9610594341664891e-50,1.0434712439225537e-44,4.182007752247535e-59,7.1703624865403564e-68,5.99251568799471e-55,5.995835870700617e-67,2.4474317408053958e-73,1.6277824183668236e-54,7.359135591485103e-84,1.50978841893453e-85,9.469470861540415e-34,9.426980910784508e-54,2.116920089721293e-43,1.468109450170254e-84,1.1166773223489806e-52,6.305084830553514e-98
8.870858886135568e-21,0.5176205540475649,3.3732309691052694e-29,4.2703975924191966e-32,1.8217168012402595e-42,2.7890756645395816e-43,0.0,0.0,4.818738703759012e-23,1.521018533776799e-40,1.034986553192236e-53,1.3843709072927525e-48,1.5884021617108694e-52,8.886984916137947e-71,2.7304495348846985e-49,4.186352582227361e-40,8.785490784062795e-27,7.90762875204463e-40,8.630536793614961e-70,6.518742702376289e-69,1.1515966383701284e-40,9.414069206334734e-62,4.654991892177317e-28,9.902078730799261e-61,4.628505748991882e-45,4.7465878793633336e-61,3.758957927912386e-39,8.908076404420405e-49,8.475725062906116e-66,1.4576450439320528e-67,2.4382153028575544e-60,4.9856824983602804e-67,5.130513590488131e-53,4.77766374236786e-66,3.76,0.0,0.5832005289465876,0.9999999999999986,1.7997457325838185e-54,2.4273336040360305e-24,9.149452228465266e-19,8.930314956582294e-19,2.1913727188297276e-20,4.6134525319903116e-39,1.448170696019862e-15,6.667018747768978e-44,2.8786423078708882e-46,5.598870676956564e-47,9.590602167694316e-58,7.90662626297314e-40,7.824166281127749e-40,4.972943380448253e-40,2.3065852802283272e-40,1.0181111763147426e-45,2.1029116091266862e-47,4.388890044869822e-30,8.915380420746409e-43,1.1127323918469051e-58,2.2532128389075467e-57,5.403627213428522e-50,1.8066135811518064e-71,2.722966475445385e-47,2.031767629958694e-55,4.654991892181506e-28,7.75161800454548e-65,1.6936883506323527e-42,8.785490784061946e-27,4.127815072862314e-62,6.89183340523841e-24,1.2656393592598693e-36,2.6514518412313098e-33,4.129558736465847e-23,3.838397000904494e-48,3.971286442546504e-37,4.388890048614681e-30,4.747263374380409e-56,3.389760191672028e-78,9.887893793214264e-61,3.393745226725591e-76,5.420924773555392e-74,2.4273336040360316e-24,1.6581776769423624e-42,1.2161978967573231e-88,4.966078349932897e-93,2.3745388500560296e-83,1.408643093088858e-38,1.6279219332898788e-62,2.6719910822757107e-48,1.2958502402963665e-79,5.803736014740892e-51,1.5649999220928073e-70,5.636672650897415e-61,6.85298852545043e-93,1.184479898236622e-49,6.302566313287477e-44,4.964879603468201e-58,8.512654343977439e-67,3.619479475548899e-54,7.118620441899691e-66,2.9055947213890647e-72,1.9325032870851233e-53,2.3138299761326235e-82,4.747016355259029e-84,2.6514518412313272e-33,5.69389647031871e-53,1.2786197341905188e-42,4.615971008847411e-83,6.744731026895323e-52,1.982427430314848e-96
2.0276248882595584e-20,0.5176205540475649,7.710242252575676e-29,9.760908782721902e-32,8.770782216465334e-42,1.342819878543964e-42,0.0,0.0,1.1014259894306585e-22,7.323049497057988e-40,1.0161559353100699e-52,6.665210207363273e-48,1.559502661461189e-51,8.725294489752604e-70,1.314593915138493e-48,2.0155485611088016e-39,2.0081121792145683e-26,3.8071828495824704e-39,8.473513284390737e-69,6.4001402408097925e-68,5.544442093345493e-40,9.242788971448191e-61,1.0639981467823279e-27,9.721919616424918e-60,2.2284262778259013e-44,4.6627414328563366e-60,1.809776432839054e-38,4.2888681417877287e-48,9.117798253221266e-65,1.568066645990477e-66,2.3938542427647354e-59,5.363410929785518e-66,5.037168666662765e-52,4.694158591964942e-65,3.76,0.0,0.5832005289465876,0.9999999999999967,1.7670010326105672e-53,5.5481910949394985e-24,2.0913033665063472e-18,2.041214847218921e-18,5.0088519287425954e-20,2.2211788018208682e-38,3.310104447976319e-15,3.2098825362002565e-43,1.3859423561779205e-45,2.69561521990444e-46,9.416110079478235e-57,3.8067001942472294e-39,3.766999262447589e-39,2.394258170581841e-39,1.110521522332933e-39,4.9017673649281813e-45,1.0124614171093593e-46,1.0031748674025513e-29,4.2923718979357084e-42,8.14494620952214e-58,2.212217726556172e-56,2.6159747138652246e-49,4.007805050011086e-70,1.310991854733427e-46,9.782087425663904e-55,1.0639981467843452e-27,7.61092722953813e-64,8.154380337150969e-42,2.0081121792141582e-26,4.052715367648055e-61,1.575276206911576e-23,6.093508703191346e-36,6.0604613513858614e-33,9.438991397635845e-23,1.8480229269400363e-47,1.9120034726694767e-36,1.00317486920554e-29,4.6608913318461006e-55,6.697594915285107e-77,9.707992870586679e-60,6.705468735481036e-75,1.074660832107472e-72,5.548191094939503e-24,7.983411729385221e-42,4.8276723263120265e-87,1.9712745009771986e-91,4.6916886236832854e-82,6.782010123679167e-38,1.598303407546729e-61,1.2864486866520147e-47,1.3047161921438264e-78,2.7942490613987213e-50,1.6836762311430497e-69,5.534118633664266e-60,2.7202795814970903e-91,5.702760834557085e-49,3.0344143773196636e-43,4.874548236019499e-57,8.357774514177283e-66,1.7426235620690018e-53,6.9892635900409e-65,2.8527380889497503e-71,1.8973431868483482e-52,5.16202739314371e-81,1.05903323554839e-82,6.06046135138594e-33,2.741366049163434e-52,6.156003620892391e-42,1.0297977396528657e-81,3.247297653252052e-51,4.422723777933491e-95
4.3087028875515613e-20,0.5176205540475649,1.6384264946714277e-28,2.074193116349516e-31,3.830431024083382e-41,5.864447249317215e-42,0.0,0.0,2.340530227540264e-22,3.198168109100426e-39,8.987784171806004e-52,2.910925309915035e-47,1.3793624432515223e-50,7.71742416534594e-69,5.741177002140354e-48,8.80243009834841e-39,4.267238380831875e-26,1.6626967741383917e-38,7.494728465361021e-68,5.66085156371357e-67,2.4214035276995284e-39,8.175142173990561e-60,2.2609960619079272e-27,8.598927803491336e-59,9.732123015264488e-44,4.12514179477446e-59,7.903769153014357e-38,1.8730726541746795e-47,8.380827453022078e-64,1.4413229030241312e-65,2.117336968187979e-58,4.929976497879124e-65,4.455318641526722e-51,4.158013998269225e-64,3.76,0.0,0.5832005289465876,0.9999999999999929,1.5628924027133175e-52,1.1789906076746434e-23,4.444019653825988e-18,4.337581550340679e-18,1.0643810348530771e-19,9.7004713834247e-38,7.033971951654777e-15,1.4018400347428069e-42,6.052774389121806e-45,1.1772459866311711e-45,8.328442730783345e-56,1.6624859858722799e-38,1.6451475457930786e-38,1.045635445882594e-38,4.8499392481337686e-39,2.140730862253187e-44,4.4216850059454604e-46,2.131746593246366e-29,1.8745915785346714e-41,6.006364916977622e-57,1.956681526475685e-55,1.1550825624785243e-48,7.488884672746574e-69,5.725452101435873e-46,4.2720953586520283e-54,2.2609960619167377e-27,6.731915046960053e-63,3.5612321279859096e-41,4.2672383808300834e-26,3.5845844965890497e-60,3.347461939686841e-23,2.661195341489844e-35,1.2878480371694996e-32,2.005785671997456e-22,8.070801641164006e-47,8.350221493430396e-36,2.131746601120491e-29,4.122505600087843e-54,1.1918012300584043e-75,8.58660979819667e-59,1.193202339364869e-73,1.9152248378924263e-71,1.1789906076746456e-23,3.486565645227107e-41,1.7256708251616127e-85,7.046399723860432e-90,8.348609229853191e-81,2.9618820003685598e-37,1.4136812637601032e-60,5.618259395112383e-47,1.2117195446683653e-77,1.2203219766054548e-49,1.5478165216902138e-68,4.8948652595769e-59,9.72374840825376e-90,2.4905454813924057e-48,1.3252084797742835e-42,4.311482712256633e-56,7.3923569088419145e-65,7.610494923754731e-53,6.181988461184206e-64,2.5232286963256997e-70,1.67817856203931e-51,9.667906014722391e-80,1.9834520446679458e-81,1.2878480371695338e-32,1.1972265759871749e-51,2.688488513928342e-41,1.9286971964461764e-80,1.4181801992397966e-50,8.283412239031129e-94
8.870858886135568e-20,0.5176205540475649,3.3732310843782605e-28,4.270397592571305e-31,1.5991295512669636e-40,2.4482913259572716e-41,0.0,0.0,4.8187387037598405e-22,1.3351722294843998e-38,7.554774151001306e-51,1.2152982267840324e-46,1.1594372463661745e-49,6.486960020621859e-68,2.396828383088306e-47,3.674841289853109e-38,8.785490784069406e-26,6.941431730158662e-38,6.299774104435544e-67,4.758286831194307e-66,1.0108883073911972e-38,6.871699586505978e-59,4.6549918921447544e-27,7.227916943102393e-58,4.062969781648271e-43,3.46782938707953e-58,3.299668035350613e-37,7.819803702826149e-47,7.16997433280415e-63,1.2330818984117785e-64,1.7797493008836287e-57,4.217832470635219e-64,3.744963771262103e-50,3.505296065268268e-63,3.76,0.0,0.5832005289465876,0.9999999999999855,1.3137052358430774e-51,2.4273336040360305e-23,9.149452228465268e-18,8.930314956585698e-18,2.1913727187956875e-19,4.049755848382511e-37,1.4481706958073874e-14,5.852406192454237e-42,2.5269141583866024e-44,4.914770252403179e-45,7.000557940766768e-55,6.94055173063537e-38,6.868167155335447e-38,4.3653221527751365e-38,2.0247541648349295e-38,8.937132227999066e-44,1.84596644893896e-45,4.388890044984701e-29,7.826050826293351e-41,4.554458416499222e-56,1.6447087217499182e-54,4.92769229843604e-48,1.2921550465117838e-67,2.390268764424586e-45,1.7835163689289785e-53,4.654991892181535e-27,5.658634187969239e-62,1.4867443104398433e-40,8.785490784061928e-26,3.0130653961698484e-59,6.891833405236549e-23,1.1109966693367854e-34,2.651451841231339e-32,4.1295587364646876e-22,3.3694008112429877e-46,3.4860530990664004e-35,4.3888900778576183e-29,3.465214356444711e-53,2.010146971809037e-74,7.217562934754693e-58,2.0125101515128316e-72,3.2326857746489064e-70,2.4273336040360382e-23,1.4555725237006685e-40,5.835075154052787e-84,2.382625432048334e-88,1.408114972442479e-79,1.236527430389865e-36,1.1882842828683496e-59,2.34551270194732e-46,1.1156121303520265e-76,5.094604031444071e-49,1.324581576875042e-67,4.114429188431823e-58,3.287927332878543e-88,1.039753711995941e-47,5.532484535211142e-42,3.6240610059727945e-55,6.21372140452495e-64,3.177231817776101e-52,5.19635997106884e-63,2.120949581037939e-69,1.4106101992376333e-50,1.669890340201754e-78,3.4259201573536916e-80,2.651451841231482e-32,4.9981852817558274e-51,1.1223910315542999e-40,3.331344773742427e-79,5.920623161803617e-50,1.4308018934463636e-92
1.799517088330358e-19,0.5176205540475649,6.842840467308382e-28,8.662806545283435e-31,6.532966007385413e-40,1.00020692613608e-40,0.0,0.0,9.775155656200457e-22,5.45461421341546e-38,6.19386028918119e-50,4.96525110052483e-46,9.505767048045577e-49,5.318401750455705e-67,9.79182601067781e-47,1.5012925740037869e-37,1.7821995590556133e-25,2.835801355637359e-37,5.164940737223277e-66,3.9011310277928416e-65,4.129808580428965e-38,5.6338344916175744e-58,9.44298355256092e-27,5.92588300230364e-57,1.6598557272428652e-42,2.843299344575746e-57,1.3480220579363409e-36,3.1947218552788325e-46,5.92827343208077e-62,1.0195358848637535e-63,1.4591460047861105e-56,3.487606903710553e-63,3.070347560816365e-49,2.8906376084344828e-62,3.76,0.0,0.5832005289465876,0.9999999999999706,1.077054923121498e-50,4.924019596758805e-23,1.856031737774383e-17,1.8115781769081748e-17,4.445356086620811e-19,1.654457404314138e-36,2.9377176967160794e-14,2.390898889064799e-41,1.0323268849044069e-43,2.0078440127466783e-44,5.739480354463457e-54,2.83544184711349e-37,2.80587038539655e-37,1.7833765363340668e-37,8.271781424236619e-38,3.651111991298675e-43,7.541375267937407e-45,8.903176948664193e-29,3.1971971202924097e-40,3.533410857622023e-55,1.3484315789450586e-53,2.0992980252715423e-47,2.1458496323470184e-66,9.76507046883375e-45,7.286251650993607e-53,9.44298355271118e-27,4.639311660901555e-61,6.073835620872742e-40,1.7821995590525589e-25,2.470303121551119e-58,1.398057633633268e-22,4.538783903526168e-34,5.37865944935507e-32,8.377104865397098e-22,1.3765101723198314e-45,1.4241664380787188e-34,8.90317708296078e-29,2.8409920888047146e-52,3.301672437242657e-73,5.917394167585509e-57,3.3055539702869675e-71,5.311620171374283e-69,4.924019596758836e-23,5.9464887009394325e-40,1.9191621133626464e-82,7.836479117561936e-87,2.3128330705081966e-78,5.051618022106191e-36,9.742272481946495e-59,9.582184710590826e-46,1.07386344382665e-75,2.0813119796629703e-48,1.0958384704106033e-66,3.373257632018356e-57,1.0814026213864171e-86,4.247733176789335e-47,2.2602004531299265e-41,2.971224169239199e-54,5.094384224214287e-63,1.2980028680835116e-51,4.260301595936153e-62,1.7389216812078803e-68,1.1565034668131407e-49,2.7745477755721505e-77,5.692217580007668e-79,5.378659449355653e-32,2.0419217756192404e-50,4.585333591005034e-40,5.535079166050935e-78,2.418767746208013e-49,2.377459678162982e-91
3.6243794877639605e-19,0.5176205540475649,1.3782060047234443e-27,1.7447624451781904e-30,2.6407293192556527e-39,4.0429965872528244e-40,0.0,0.0,1.9687989561087535e-21,2.204842276841188e-37,5.0159486487887994e-49,2.0073259819274607e-45,7.698016608928953e-48,4.306979626288227e-66,3.958012631278363e-46,6.068464619993501e-37,3.589500520357625e-25,1.1462762489377664e-36,4.182711519833134e-65,3.15923704995596e-64,1.6693346581703912e-37,4.5624252383317935e-57,1.9018966873163294e-26,4.798933694157797e-56,6.709402237613883e-42,2.302649853364585e-56,5.4489206881910576e-36,1.2914198148751434e-45,4.820773500709959e-61,8.290696204363983e-63,1.1816542655875218e-55,2.8364242602173944e-62,2.4864470588120487e-48,2.3680983537441715e-61,3.76,0.0,0.5832005289465876,0.9999999999999408,8.722270013593389e-50,9.917391582204354e-23,3.738204767630095e-17,3.648671539409789e-17,8.953322822030661e-19,6.687581352978782e-36,5.916811697032952e-14,9.664395582537848e-41,4.172830323852185e-43,8.116026523213135e-44,4.6479799950597925e-53,1.1461309298403887e-36,1.134177671515061e-36,7.208693097003797e-37,3.343586305977871e-37,1.475839350697087e-42,3.0483444595179544e-44,1.7931750756834458e-28,1.2923581948069876e-39,2.7806315334888637e-54,1.0919948526564543e-52,9.18239122270235e-47,3.4974100347131938e-65,3.947232086972176e-44,2.9452237291275036e-52,1.9018966873770668e-26,3.7570434303468334e-60,2.4551414702356376e-39,3.5895005203452802e-25,2.0005318218570962e-57,2.8158062198511806e-22,1.8346490227153234e-33,1.0833074665602737e-31,1.6872197123253727e-21,5.564074202251747e-45,5.756708447323989e-34,1.793175129968274e-28,2.3007090511403287e-51,5.352153299341417e-72,4.792059218457526e-56,5.3584454344078894e-70,8.61191374665931e-68,9.917391582204477e-23,2.4036658090963433e-39,6.225912027969571e-81,2.5422151288293437e-85,3.749202073929303e-77,2.0419447729570359e-35,7.889544841136746e-58,3.8732722669325714e-45,1.1275251221088451e-74,8.412995794806336e-48,8.921730917995548e-66,2.731751488019812e-56,3.5081546984443657e-85,1.7170016654716501e-46,9.136091606277722e-41,2.4061743664373264e-53,4.125564424870476e-62,5.2467351256014887e-51,3.450109506018024e-61,1.408287147070057e-67,9.365664918018578e-49,4.523213133898152e-76,9.279751295628003e-78,1.0833074665605097e-31,8.253774302379317e-50,1.8534651506043526e-39,9.023576022520566e-77,9.777045953291112e-49,3.876384051865658e-90
7.274104286631166e-19,0.5176205540475649,2.766050246334984e-27,3.501726026907566e-30,1.0618256496927092e-38,1.6256713651191e-39,0.0,0.0,3.951365737088507e-21,8.865573822698131e-37,4.0372718501146435e-48,8.073718548327213e-45,6.196033478801631e-47,3.4666319018223527e-65,1.5914994710120623e-45,2.440102933493176e-36,7.2041024429803155e-25,4.6091263853468105e-36,3.366623964095163e-64,2.5428288252117274e-63,6.712321240519779e-37,3.672236753829397e-56,3.817093351344822e-26,3.8625993348543686e-55,2.6978211307217695e-41,1.8534133574132128e-55,2.1909870433600168e-35,5.19324218089487e-45,3.8881284728610375e-60,6.6867467280076025e-62,9.510981545374931e-55,2.288260059500602e-61,2.0013089088193548e-47,1.949813638114805e-60,3.76,0.0,0.5832005289465876,0.9999999999998812,7.020441728583338e-49,1.9904135553095455e-22,7.50255082734152e-17,7.322858264422632e-17,1.796925629188879e-18,2.6890470487890355e-35,1.1874999691664653e-13,3.8860109590628655e-40,1.6778767206075562e-42,3.2634185670328177e-43,3.741098661825873e-52,4.6085420636155903e-36,4.560478532045029e-36,2.898583789132529e-36,1.3444413479225259e-36,5.934297243122416e-42,1.2257259000669891e-43,3.598889837642013e-28,5.19651546134778e-39,2.20565398130339e-53,8.789324581423838e-52,4.252478574990438e-46,5.647634022556924e-64,1.5871923850922448e-43,1.1842649777567756e-51,3.817093351589045e-26,3.02399882787581e-59,9.872015870792521e-39,7.204102442930676e-25,1.6102283034405882e-56,5.65130339228175e-22,7.377043029534593e-33,2.1741905098098895e-31,3.38623816389342e-21,2.237289765595888e-44,2.3147471477350883e-33,3.5988900559189204e-28,1.8518108014125168e-50,8.619477890403838e-71,3.857066159831655e-55,8.62961118249121e-69,1.3870464362858447e-66,1.9904135553095949e-22,9.665034501331794e-39,2.0059461195286782e-79,8.19084264167741e-84,6.037974358257099e-76,8.210570124054708e-35,6.350192062690059e-57,1.557425744034871e-44,1.322665383686871e-73,3.382828607274106e-47,7.212725283343648e-65,2.198751254568635e-55,1.1303033623370968e-83,6.903988180409555e-46,3.673582252704925e-40,1.9366984625455845e-52,3.3206131639560606e-61,2.1096891180286675e-50,2.77695443384223e-60,1.1336138893395436e-66,7.538301920444157e-48,7.305001293407301e-75,1.498682312564333e-76,2.1741905098108375e-31,3.3188063537094913e-49,7.452701851767502e-39,1.4573099379591586e-75,3.931307173131453e-48,6.2620655108393836e-89
1.4573553884365577e-18,0.5176205540475649,5.541740032063372e-27,7.015653192085053e-30,4.2583958066527093e-38,6.519671031037031e-39,0.0,0.0,7.916499299057369e-21,3.5554916253874144e-36,3.239656401055428e-47,3.239806404528782e-44,4.971926653580285e-46,2.7817537800826333e-64,6.382624693869254e-45,9.785904124982583e-36,1.4433306288300363e-24,1.848465831490525e-35,2.701525928534434e-63,2.040459990459476e-62,2.6919410333713212e-36,2.946738725547237e-55,7.647486679033878e-26,3.099492708212118e-54,1.0819469364188838e-40,1.4872821514065786e-54,8.786837985674544e-35,2.0831233565699692e-44,3.1231562349391016e-59,5.371158574426458e-61,7.631963709386196e-54,1.8389885355430898e-60,1.6059243611057726e-46,1.6348353399912038e-59,3.76,0.0,0.5832005289465875,0.9999999999997621,5.633462357300584e-48,3.9877623494877647e-22,1.5031242946764368e-16,1.467123171448678e-16,3.600112322775872e-18,1.078428136978892e-34,2.379137565691989e-13,1.558464201378493e-39,6.729036099633505e-42,1.3087768034422431e-42,3.001996064624628e-51,1.8482314923161853e-35,1.8289558619965068e-35,1.1624617416194084e-35,5.39181112058238e-36,2.3799283367704825e-41,4.915709078583107e-43,7.210319362857206e-28,2.0840351198408742e-38,1.7568996785927444e-52,7.052879433341812e-51,2.154829329341102e-45,9.077852953769204e-63,6.365573720947168e-43,4.749460067536882e-51,7.64748668001332e-26,2.42656997904553e-58,3.9591199009051037e-38,1.443330628810128e-24,1.29214893427718e-55,1.1322297737121858e-21,2.958524201150485e-32,4.35595659630945e-31,6.784275067016399e-21,8.972532616818551e-44,9.283171358300524e-33,7.21032023824523e-28,1.4859615449878997e-49,1.3836170938918686e-69,3.095052684144036e-54,1.3852437120062036e-67,2.2266162966818456e-65,3.987762349487963e-22,3.876111114282179e-38,6.440969894207663e-78,2.6300293083497904e-82,9.692286053501551e-75,3.2928058464607195e-34,5.0956292086271465e-56,6.245973815457764e-44,1.7275960530491402e-72,1.3566655721298668e-46,5.821006128971516e-64,1.764359409277309e-54,3.629334729609379e-82,2.768808048782581e-45,1.4732707881653824e-39,1.554078547180711e-51,2.664582937279821e-60,8.460796944845034e-50,2.2283389987983215e-59,9.098172507053912e-66,6.049012545467595e-47,1.1742576228540576e-73,2.409088045375725e-75,4.355956596313252e-31,1.3309897916094311e-48,2.9888667724320753e-38,2.342583162905562e-74,1.576630005487582e-47,1.0071536471644557e-87
