Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71),CH2CFO(79),CH2F(46),C2H4F(63),C2H4F(62),C1OO1(734),CH2O2(778),CHO2(166),C2H2O(133),S(338),S(376),CH2F2(41),CH3O2(183),C2H2O(373),S(1537),CHF2(81),C2H3F2(64),CH2CF2(57),CH3F(39),C2H3F2(65),S(3087),CF2CH(73),C2HF2(72),C2HF(58),C2HF(4088)
0.0,0.5363730332964278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5275889162202202,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7166121936602654e-21,0.5363730332964278,2.9979948514497554e-29,7.73323844421474e-32,5.086821986246036e-44,6.895022312779493e-44,0.0,0.0,2.2151939854203857e-23,2.470420430690021e-41,8.639541152871588e-55,1.004014991921541e-54,3.49662057074249e-60,2.3402578692283934e-76,4.367842080599156e-51,1.2877052461923397e-40,8.314577269201431e-27,2.163525376189999e-40,5.3016849087055e-70,5.205511936779958e-69,6.619283320313079e-41,3.6343207234047154e-62,5.877814195588101e-28,1.2879014461534873e-61,1.8404406427916802e-45,1.8858674897982782e-61,2.3834543588442433e-61,2.6879216467919263e-67,1.779226119331735e-66,4.332753458766301e-68,3.6240077234519615e-61,6.381917620874547e-84,9.255494484767782e-76,3.423178188424846e-85,3.76,0.0,0.5275889162202202,0.9999999999999996,1.426382429081094e-55,8.202977301119595e-43,5.557970301979423e-19,5.403008966316237e-19,1.5496133566318662e-20,1.935610088583269e-39,4.3301200782738107e-16,3.4677930010382534e-44,2.3565796310885478e-46,3.1683890045213316e-59,1.3117826620117304e-70,2.163208170287585e-40,2.1309044747622576e-40,2.1258860458215425e-40,1.0341772458839087e-40,6.157402585056624e-46,4.2222935214436343e-51,6.755511994087275e-42,4.34787736362989e-43,4.543000935754645e-60,1.7706229949609364e-58,2.3934418203731856e-53,1.311291526328124e-72,1.9695353931232316e-47,7.735648129412575e-67,5.877814195589389e-28,3.324697351918086e-43,5.568546321088933e-68,7.455876337803432e-63,8.314577269201434e-27,3.368558263001062e-24,1.4827065534336025e-37,2.1346006000117518e-48,1.8783411571150986e-23,3.4483903016250963e-38,9.667113947503382e-62,1.4289302055226356e-77,6.521721223281408e-57,5.441870499857371e-79
4.806514142248743e-21,0.5363730332964278,8.394385596808132e-29,2.1653067643818952e-31,3.07244048104255e-43,4.164593482225758e-43,0.0,0.0,6.202543159177112e-23,1.4921339401367791e-40,1.0256863256702955e-53,1.191966598494751e-53,4.151187941609432e-59,2.778354142346023e-75,2.638176616680309e-50,7.777739686998532e-40,2.3280816353764008e-26,1.3067693272270075e-39,6.294160457969632e-69,6.179983771345027e-68,3.9980471254691665e-40,4.314665562825987e-61,1.645787974764251e-27,1.5289965968733762e-60,1.1116261482461401e-44,2.2416331587201464e-60,3.6014936018138696e-60,4.0619871933037556e-66,2.6887665115341177e-65,6.547657026887623e-67,4.302421969281857e-60,1.429273155283942e-82,2.5992775453236788e-74,9.653910199869259e-84,3.76,0.0,0.5275889162202202,0.9999999999999988,1.693401219819339e-54,4.954598289876235e-42,1.5562316845542386e-18,1.5128425105685762e-18,4.33891739856625e-20,1.1691084935034953e-38,1.2124336219100395e-15,2.094546972631149e-43,1.4233740971831254e-45,3.7617449222026874e-58,2.9345795301477974e-69,1.306577734861947e-39,1.2870663027511627e-39,1.2840351716754362e-39,6.246430565135159e-40,3.7190712025656035e-45,2.550265287063869e-50,4.0803292444287274e-41,2.6261179276325014e-42,5.393450711099075e-59,2.1020836196147677e-57,2.841494129137378e-52,4.122910349586693e-71,1.1895994713103295e-46,9.183762744379441e-66,1.6457879747650292e-27,2.0081172005585e-42,7.117490182028942e-67,8.851617027836122e-62,2.3280816353764016e-26,9.431963136402855e-24,8.955547582738882e-37,1.2892987624108421e-47,5.2593552399222247e-23,2.082827742181451e-37,1.147679767847591e-60,3.196459712545868e-76,7.74258743627552e-56,1.2173246633354668e-77
1.0986318039425699e-20,0.5363730332964278,1.9187167138520155e-28,4.949272604309811e-31,1.4792478356252595e-42,2.005072496516692e-42,0.0,0.0,1.4177241506690695e-22,7.183982612446678e-40,1.0070249167800396e-52,1.170279874848792e-52,4.075660937331202e-58,2.7278045723666497e-74,1.2701684770358631e-49,3.744646855922529e-39,5.321329452288915e-26,6.291531794083404e-39,6.1796443460140506e-68,6.067544713510288e-67,1.9248875895471417e-39,4.236164235200253e-60,3.761801085173464e-27,1.5011779256363683e-59,5.352001389237683e-44,2.2020455563762037e-59,3.87419075420048e-59,4.369700465070148e-65,2.8924523176752126e-64,7.043670642847159e-66,4.224143402454641e-59,2.825606999683856e-81,5.6456306621836393e-73,2.0999363362484396e-82,3.76,0.0,0.5275889162202202,0.9999999999999972,1.6625913593622637e-53,2.3854257991655775e-41,3.557100993266831e-18,3.4579257384425996e-18,9.917525482423117e-20,5.628754137588157e-38,2.7712768500488468e-15,1.0084342047078751e-42,6.852933567288218e-45,3.693405788002907e-57,5.798402563639367e-68,6.290609359319148e-39,6.196670212530019e-39,6.18207662123741e-39,3.007387431024927e-39,1.7905727335211444e-44,1.2278429562036751e-49,1.9645028878805987e-40,1.264362737343643e-41,5.2953218912462205e-58,2.063838162917616e-56,2.789795785797019e-51,9.197986179097176e-70,5.727410331159736e-46,9.016673285646415e-65,3.761801085177212e-27,9.668219899377439e-42,7.209944617117731e-66,8.690571442089458e-61,5.321329452288918e-26,2.155877288320598e-23,4.3117106573847995e-36,6.207418544889263e-47,1.2021383405536274e-22,1.0027918997124173e-36,1.1267988017209618e-59,6.31566574246016e-75,7.601718257843886e-55,2.4052283979978044e-76
2.3345925833779608e-20,0.5363730332964278,4.077273042592525e-28,1.051720428419393e-30,6.460263943456535e-42,8.75667841948758e-42,0.0,0.0,3.012663820171838e-22,3.137433946976427e-39,8.907021346965081e-52,1.0350992966280245e-51,3.604875943767079e-57,2.412712252847177e-73,5.547159442336424e-49,1.6353856626593164e-38,1.1307825086113936e-25,2.747677227887894e-38,5.465825947917102e-67,5.36667458634176e-66,8.406489816798628e-39,3.7468392930007316e-59,7.993827305985215e-27,1.3277748749261138e-58,2.3373596163448947e-43,1.948159670311049e-58,3.561001025195989e-58,4.016507563436222e-64,2.658662005595019e-63,6.4743468383652095e-65,3.736207002568004e-58,5.029318417212459e-80,1.0459882111104543e-71,3.8929280600754266e-81,3.76,0.0,0.5275889162202202,0.9999999999999941,1.4705432291212189e-52,1.0417781172421877e-40,7.558839610692015e-18,7.348092194191123e-18,2.107474165008925e-19,2.458224812488363e-37,5.888963306220423e-15,4.404097111379546e-42,2.9928561315670384e-44,3.266816227320023e-56,1.0318083831928774e-66,2.7472743763917894e-38,2.7062486828668136e-38,2.699875278181335e-38,1.3134051022669028e-38,7.819901921482275e-44,5.3623127739680116e-49,8.579500232491036e-40,5.521804251810692e-41,4.683652245839883e-57,1.82544148286634e-55,2.467542779069012e-50,1.7226810145035205e-68,2.5013114041552915e-45,7.975145636586246e-64,7.993827306001582e-27,4.222365636935603e-41,6.465260660299918e-65,7.68671443298649e-60,1.130782508611395e-25,4.581239237681038e-23,1.8830373228605542e-35,2.7109427620713498e-46,2.554543973676356e-22,4.3794556830622114e-36,9.966407795317414e-59,1.1238389743981231e-73,6.723633712327062e-54,4.279975423367156e-75
4.806514142248743e-20,0.5363730332964278,8.394385781665972e-28,2.1653067644075324e-30,2.6970330359393006e-41,3.6557409042675493e-41,0.0,0.0,6.202543159177582e-22,1.3098169123519392e-38,7.486888130397884e-51,8.700633287691555e-51,3.03011544095601e-56,2.0280300253246907e-72,2.3158298711116194e-48,6.827413215267195e-38,2.328081635376395e-25,1.1471011545697064e-37,4.5943569013597674e-66,4.51101335622088e-65,3.50954401643091e-38,3.149444189769874e-58,1.6457879747582013e-26,1.1160747868129558e-57,9.758016288076635e-43,1.6377340431305556e-57,3.0464931341751413e-57,3.4362067875711147e-63,2.2745413202402472e-62,5.538940028645144e-64,3.14050710901621e-57,8.483721945389714e-79,1.797313226373174e-70,6.690948687857863e-80,3.76,0.0,0.5275889162202202,0.9999999999999879,1.2360801909728431e-51,4.349218565053599e-40,1.5562316845542383e-17,1.5128425105690073e-17,4.338917398523112e-19,1.0262604689556999e-36,1.2124336218139423e-14,1.838623849205121e-41,1.2494585204788884e-43,2.7459719903236566e-55,1.7403065522690292e-65,1.1469329720002114e-37,1.1298055524458182e-37,1.127144781483761e-37,5.483207757625532e-38,3.2646554252104973e-43,2.2386600266305418e-48,3.581772459265252e-39,2.305244578197225e-40,3.9368919249316194e-56,1.5343935574315084e-54,2.0741183863521105e-49,2.975503051315357e-67,1.0442489748336292e-44,6.703590538913718e-63,1.6457879747650345e-26,1.7627545359866401e-40,5.469389883804576e-64,6.46115069457649e-59,2.328081635376401e-25,9.43196313640118e-23,7.861310146303871e-35,1.1317652381767986e-45,5.259355239921489e-22,1.8283365379201318e-35,8.377366273082051e-58,1.895518694079953e-72,5.651619264506864e-53,7.218804125835085e-74
9.750357259990308e-20,0.5363730332964278,1.702861158618257e-27,4.392479436429074e-30,1.1018260054529656e-40,1.493489475717599e-40,0.0,0.0,1.2582301837189898e-21,5.351029469692577e-38,6.138203227989708e-50,7.133304848259257e-50,2.4842717106054668e-55,1.6627015431543842e-71,9.460920660074275e-48,2.7892210714247054e-37,4.722679888906388e-25,4.686282506805143e-37,3.7667327633336606e-65,3.698401293375802e-64,1.4337632443138685e-37,2.582104628175645e-57,3.33859846306688e-26,9.150255406272422e-57,3.986468049908385e-42,1.342788310052421e-56,2.5188923150786593e-56,2.8411222300168385e-62,1.880634748891058e-61,4.579702728281542e-63,2.574777469415822e-56,1.3935370908043577e-77,2.9785438455935187e-69,1.1089756759185391e-78,3.76,0.0,0.5275889162202202,0.9999999999999755,1.0134132214108758e-50,1.7767976953317004e-39,3.156927131524312e-17,3.068909092869559e-17,8.801803865475325e-19,4.192608876180504e-36,2.4595082040280805e-14,7.511378352430562e-41,5.104445744762725e-43,2.2513201532761557e-54,2.8584674493691964e-64,4.685595426131978e-37,4.615624327894857e-37,4.604754210599676e-37,2.24006928163124e-37,1.3337185160393298e-42,9.145656672405265e-48,1.4632709199674317e-38,9.417676284722453e-40,3.2277018588297653e-55,1.2579885425066945e-53,1.7004875659856736e-48,4.943842821144692e-66,4.2661035291704714e-44,5.496008579777016e-62,3.338598463094796e-26,7.201427452145867e-40,4.498043780303833e-63,5.29724835449635e-58,4.722679888906412e-25,1.9133410933838504e-22,3.2116017029983972e-34,4.623630284076712e-45,1.0668977772410455e-21,7.469351328919375e-35,6.868271009823117e-57,3.113395146911784e-71,4.633538929453135e-52,1.1856907453288107e-72
1.9638043495473436e-19,0.5363730332964278,3.429706450069459e-27,8.846824780653207e-30,4.453756947567051e-40,6.036923511505556e-40,0.0,0.0,2.534181919321783e-21,2.1629716672504148e-37,4.970876117628398e-49,5.7767352239332375e-49,2.011827640740064e-54,1.346498818062631e-70,3.824255397830837e-47,1.1274477528621583e-36,9.511876395966336e-25,1.894270316863903e-36,3.050400112376696e-64,2.995061254902173e-63,5.795500272539848e-37,2.091055273478406e-56,6.724219439641515e-26,7.41011406438396e-56,1.6113941239115932e-41,1.0874547038037397e-55,2.0483185808931348e-55,2.3103534268321705e-61,1.5293009450066863e-60,3.724138200860146e-62,2.0851215503415664e-55,2.259050195458538e-76,4.849492649332092e-68,1.805679405058096e-77,3.76,0.0,0.5275889162202202,0.9999999999999505,8.206883012616889e-50,7.182100370040594e-39,6.35831802546446e-17,6.181042257473707e-17,1.7727576799075116e-18,1.6947195417612525e-35,4.9536573677777105e-14,3.036219226852414e-40,2.0632985833658664e-42,1.8231799866931535e-53,4.6337058780230027e-63,1.8939925878702085e-36,1.8657091505598122e-36,1.861315275571596e-36,9.054718192436775e-37,5.391105520441661e-42,3.6968206589853743e-47,5.914775015400374e-38,3.806775329976001e-39,2.613876651984111e-54,1.0187517372293382e-52,1.3770989188898585e-47,8.059711557684917e-65,1.72443189371243e-43,4.450810266673372e-61,6.724219439754357e-26,2.910932117074887e-39,3.6481803853474153e-62,4.289859826909309e-57,9.51187639596643e-25,3.853630652870132e-22,1.2981807574449247e-33,1.8689452864901842e-44,2.148822283738319e-21,3.019231231796844e-34,5.562103935704103e-56,5.0469476984460116e-70,3.752359957610237e-51,1.922055793025876e-71
3.9413415966439696e-19,0.5363730332964278,6.883397555163393e-27,1.7755515469825675e-29,1.7908361339257597e-39,2.427420603508994e-39,0.0,0.0,5.08608539052869e-21,8.697213943066536e-37,4.0009935558137155e-48,4.649619096001384e-48,1.6192939109575876e-53,1.0837793914743352e-69,1.5377162757186745e-46,4.53341782717811e-36,1.909026941008607e-24,7.61677763431077e-36,2.4552310297559505e-63,2.4106858623817807e-62,2.33034517005467e-36,1.6830632017903076e-55,1.3495461392619895e-25,5.964304464358179e-55,6.479344900546435e-41,8.75290102018557e-55,1.652042020326175e-54,1.8633837588922817e-60,1.2334366148792932e-59,3.0036523751647404e-61,1.6782872251815513e-54,3.638183891311945e-75,7.826866757336841e-67,2.9143738397359385e-76,3.76,0.0,0.5275889162202201,0.9999999999999006,6.605613432060661e-49,2.8878909707683034e-38,1.2761099813344753e-16,1.2405308586694191e-16,3.557912266505611e-18,6.814392740631101e-35,9.941955692562384e-14,1.2208503974950811e-39,8.296432858692678e-42,1.467454887362884e-52,7.462446032326642e-62,7.615660898241076e-36,7.501934435448244e-36,7.484266859145284e-36,3.640862360936296e-36,2.1677414556649136e-41,1.4864753322170766e-46,2.3783050195674135e-37,1.5306876173790704e-38,2.1038753362854064e-53,8.19980027442861e-52,1.1084090145588594e-46,1.3016455687715404e-63,6.9339021008373116e-43,3.5823993377780303e-60,1.3495461393073626e-25,1.1704730015303122e-38,2.938589049428558e-61,3.452869733817492e-56,1.9090269410086447e-24,7.734209771837961e-22,5.219927729618977e-33,7.514946799211687e-44,4.312671296730787e-21,1.2140195992398809e-33,4.4768651395580545e-55,8.127953679609901e-69,3.0202257417101573e-50,3.095411600876978e-70
7.896416090837222e-19,0.5363730332964278,1.379078185411738e-26,3.55728968510674e-29,7.182054298351474e-39,9.735044001975978e-39,0.0,0.0,1.0189892332947793e-20,3.4879717835727564e-36,3.210545354603711e-47,3.7310265389494413e-47,1.2993813850036041e-52,8.696647075324562e-69,6.166930025541951e-46,1.818103310664604e-35,3.8247055438324904e-24,3.0546685026603933e-35,1.970174118886322e-62,1.9344235848626967e-61,9.345726404291757e-36,1.3505522238146795e-54,2.703794529789308e-25,4.785978713853402e-54,2.598507100891656e-40,7.023699597978177e-54,1.3270095456176216e-53,1.4967712054027052e-59,9.907633662316242e-59,2.412696933355025e-60,1.346719803357053e-53,5.840133433159193e-74,1.2577378079578498e-65,4.683320522046776e-75,3.76,0.0,0.52758891622022,0.9999999999998008,5.30058877354245e-48,1.158173443358651e-37,2.5566663389105334e-16,2.4853841245183894e-16,7.128221439214383e-18,2.7328762699028417e-34,1.9918552331273386e-13,4.8961561338847126e-39,3.3272406450867345e-41,1.1775405374261422e-51,1.1978883006029764e-60,3.054220641548391e-35,3.008611239162186e-35,3.001525752286758e-35,1.4601486481681557e-35,8.693625912219318e-41,5.9614309602013675e-46,9.538066851388014e-37,6.138741962474768e-38,1.6882274673738948e-52,6.579823313603623e-51,8.894284286015464e-46,2.0923572337488694e-62,2.780834786379997e-42,2.8746498877461304e-59,2.7037945299712754e-25,4.6941202429740704e-38,2.3589184624429404e-60,2.7707383289806482e-55,3.824705543832642e-24,1.549536800975468e-21,2.093424486548622e-32,3.0138297818451504e-43,8.640369322707407e-21,4.868761576454673e-33,3.5924023313724814e-54,1.3047165725954902e-67,2.4235409503677078e-49,4.968821149307362e-69
