Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124)
1.3277899140169944e-20,0.9284026736375962,5.004268633002416e-50,6.990345148013698e-23,8.297557019518254e-64,2.6243855928591882e-79,0.0,0.0,1.4035525472667862e-51,5.970557704016483e-116,4.4851588284578614e-63,5.263721107350096e-79,5.054047688587825e-60,1.574628475330376e-101,3.2000533487975e-80,2.482189769548354e-65,1.5746314706100248e-101,2.2870462682868475e-79,9.350227868885215e-65,5.144623887728723e-50,8.245264516609907e-30,2.9426446487080896e-47,6.2060781920343e-79,1.2381524328474127e-163,7.998166749592434e-118,6.025482071937999e-107,9.240197307783633e-81,1.9265005728173841e-141,1.189790214986149e-217,2.506411280663116e-202,4.178515154562109e-132,1.9827612268646863e-111,1.3201599344669505e-94,4.363274375209079e-174,3.76,0.0,0.7669619891503745,1.0,7.432900371932252e-80,4.778229560825863e-147,2.1229016864502921e-13,2.0439545848210164e-13,7.894710162927538e-15
2.6567334248315706e-20,0.928402673637632,4.006457715968284e-49,1.3986763575912725e-22,1.3286902155274655e-62,8.408132767352225e-78,0.0,0.0,1.1236954578495743e-50,7.657833457012964e-114,7.18211173753362e-62,1.6864158773929874e-77,8.09306124301226e-59,1.0095358359283378e-99,1.0252484822023416e-78,3.976125490156749e-64,1.0095396762231159e-99,7.327348816864514e-78,1.4977774795605398e-63,4.118827261752645e-49,3.3002545845917356e-29,2.3559049728900608e-46,1.9883331757783252e-77,1.2714606175399899e-160,1.025583355503746e-115,7.725998903823011e-105,2.961499407835757e-79,9.889554310598803e-139,9.797608494069846e-214,1.0312130721662484e-198,1.0716069248775388e-129,2.5420100195417694e-109,8.462484997430436e-93,8.965266368740871e-171,3.76,0.0,0.766961989150162,1.0,2.3813883654809655e-78,2.4533792417416422e-144,4.247647770542241e-13,4.0896849772752555e-13,1.5796279326698512e-14
5.314620446460723e-20,0.9284026736377032,3.206383817066274e-48,2.797960043171077e-22,2.126769650308171e-61,2.692219439611578e-76,0.0,0.0,8.992978802695095e-50,9.811971654497105e-112,1.1496067214912014e-60,5.399773279934522e-76,1.2954168570350545e-57,6.466710543162504e-98,3.2827667837451164e-77,6.36550069511419e-63,6.466759739528402e-98,2.3461607316875392e-76,2.3978376967408938e-62,3.296313605092271e-48,1.3205317119040504e-28,1.8854399859286973e-45,6.366489893017049e-76,1.3038219169199939e-157,1.3139151319745223e-113,9.897851416653902e-103,9.484222284803101e-78,5.070085933085325e-136,8.047132317935879e-210,4.23455162163818e-195,2.7457650193078527e-127,3.256383510630836e-107,5.420301741303756e-91,1.8390913635841694e-167,3.76,0.0,0.766961989149737,1.0,7.625022377984492e-77,1.2579097536187315e-141,8.497139938723785e-13,8.181145762186388e-13,3.159941765373946e-14
1.0630394489719028e-19,0.928402673637846,2.565594215463164e-47,5.596527414330688e-22,3.403523857479932e-60,8.617690241480947e-75,0.0,0.0,7.195749390067415e-49,1.2565692343373273e-109,1.8397459233435035e-59,1.7284464272503413e-74,2.073088722917754e-56,4.140513631643847e-96,1.0508009440551664e-75,1.0187762010716078e-61,4.140576628983412e-96,7.509969709350884e-75,3.8376556636740474e-61,2.63755170936231e-47,5.282986726231742e-28,1.5086384529989415e-44,2.0378887774222113e-74,1.3360672797315906e-154,1.6825691102430782e-111,1.2674739118547947e-100,3.0361394920387374e-76,2.597583750291017e-133,6.600855709124608e-206,1.7377186323453193e-191,7.03233759469152e-125,4.169842459245286e-105,3.470373334815511e-89,3.7695399748636095e-164,3.76,0.0,0.7669619891488871,1.0,2.4407401555390303e-75,6.445093854428401e-139,1.699612427507746e-12,1.6364067332019274e-12,6.320569430581741e-14
2.1261942576235637e-19,0.9284026736381313,2.0526702579152394e-46,1.119366215664991e-21,5.4461921746073655e-59,2.7580750355038534e-73,0.0,0.0,5.757146109614104e-48,1.6088163379445e-107,2.9438936513331877e-58,5.5318590771935277e-73,3.3172794000528934e-55,2.6505109115250573e-94,3.363068026799465e-74,1.6302788323985336e-60,2.650591564757877e-94,2.403551229196806e-73,6.141141487153362e-60,2.110241719008936e-46,2.1133666784663108e-27,1.2070253603439353e-43,6.522223478238955e-73,1.3686368128872139e-151,2.1541980252141235e-109,1.6227180091520087e-98,9.717548145792304e-75,1.3303981981795581e-130,5.411058445116121e-202,7.132962867436639e-188,1.8007058873380117e-122,5.338468382489922e-103,2.221480699328628e-87,7.723177172234659e-161,3.76,0.0,0.7669619891471874,1.0,7.811541494889579e-74,3.3011022466704007e-136,3.399409294774714e-12,3.2729910471727524e-12,1.2641824760195734e-13
4.2525038749268857e-19,0.9284026736387025,1.64221416471745e-45,2.2387931641288353e-21,8.714350709116718e-58,8.826502824932203e-72,0.0,0.0,4.6059355384032085e-47,2.059545892400852e-105,4.7104700005272556e-57,1.7703277979615e-71,5.307917011613335e-54,1.6965133064063282e-92,1.0762625765960101e-72,2.6086356759094353e-59,1.6966165531939853e-92,7.691941459633016e-72,9.826540378152908e-59,1.6882735200975708e-45,8.453810702082357e-27,9.656661299024467e-43,2.0872682292528366e-71,1.4017737919317078e-148,2.757762324820409e-107,2.077303976647177e-96,3.109919721574689e-73,6.812753421066313e-128,4.434382870756794e-198,2.931847123932372e-184,4.610458895339005e-120,6.833924426211549e-101,1.421889027508552e-85,1.582031445774164e-157,3.76,0.0,0.7669619891437878,1.0,2.499880974380704e-72,1.6905132760132675e-133,6.799003029293584e-12,6.546159675131395e-12,2.5284335416217355e-13
8.50512310953353e-19,0.9284026736398446,1.3138025159667432e-44,4.477647061056524e-21,1.3943315729479032e-56,2.8245869424462095e-70,0.0,0.0,3.684835893358913e-46,2.6363857822808874e-103,7.536944147018847e-56,5.665261592034869e-70,8.492883202529878e-53,1.085828143163942e-90,3.444169543603089e-71,4.173968722931439e-58,1.0859603058683049e-90,2.4615136753325382e-70,1.572303582746101e-57,1.3506508748940746e-44,3.381593079718857e-26,7.72551241064214e-42,6.679509090482182e-70,1.4356294906940482e-145,3.530345147931799e-105,2.6590930509221705e-94,9.952230038182182e-72,3.4884151307964046e-125,3.6335710328759735e-194,1.2087529409895325e-180,1.1804144730422633e-117,8.747861623181714e-99,9.100542216021883e-84,3.24033776382463e-154,3.76,0.0,0.7669619891369885,1.0,7.999919444830579e-71,8.656710711836787e-131,1.3598190498271063e-11,1.3092496931116643e-11,5.056935671543511e-13
1.701036157874682e-18,0.9284026736421288,1.051054486626574e-43,8.9553548549119e-21,2.2309588847656478e-55,9.038847881129746e-69,0.0,0.0,2.947903700234398e-45,3.3746807110910607e-101,1.2059264397640733e-54,1.8129177323766322e-68,1.3588785913887744e-51,6.949490928732429e-89,1.102154942160604e-69,6.678471272387174e-57,6.95118265497295e-89,7.876991617530424e-69,2.515731431142473e-56,1.0805335236189048e-43,1.3526509918013786e-25,6.18048327808879e-41,2.1374830308870277e-68,1.4703264131533432e-142,4.519514656684837e-103,3.4037312429430386e-92,3.1847915229368774e-70,1.786141607858463e-122,2.97741166313895e-190,5.014535357624051e-177,3.0223106264615616e-115,1.119754343408639e-96,5.824491802866442e-82,6.636576736167922e-151,3.76,0.0,0.7669619891233902,1.0,2.5600222756972806e-69,4.4329630283696464e-128,2.7196565435984966e-11,2.6185171443359008e-11,1.0113939926256871e-12
3.4020838517173395e-18,0.9284026736466973,8.408485788910716e-43,1.7910770442622656e-20,3.5695569102913365e-54,2.892458468727839e-67,0.0,0.0,2.358336954540831e-44,4.319659733869277e-99,1.929494618493833e-53,5.801391180946891e-67,2.1742195695135555e-50,4.447735255282818e-87,3.5269289163739053e-68,1.0685651089473478e-55,4.4499006927908595e-87,2.5206609749186464e-67,4.025206849264672e-55,8.644319484204589e-43,5.410631487269069e-25,4.9444159625396726e-40,6.840009894333975e-67,1.5060098057118785e-139,5.786461211845607e-101,4.356834960063856e-90,1.0191457532410302e-68,9.145232073062193e-120,2.44009369529327e-186,2.1057596573512702e-173,7.739094658921394e-113,1.433303515393135e-94,3.72772108546644e-80,1.3592162852024627e-147,3.76,0.0,0.7669619890961934,1.0,8.192148168484912e-68,2.2702715430509505e-125,5.439331531044858e-11,5.2370520468931215e-11,2.0227948415162834e-12
6.8041792394026545e-18,0.9284026736558341,6.726808589798143e-42,3.582160161804416e-20,5.71130921243098e-53,9.255910535123277e-66,0.0,0.0,1.886675161458248e-43,5.529208251176483e-97,3.087201285629467e-52,1.856453887966357e-65,3.478762369887276e-49,2.8465701029583116e-85,1.1286225494797317e-66,1.7097119386807896e-54,2.8493418808375875e-85,8.066152971736506e-66,6.440360206725804e-54,6.91547610568763e-42,2.1642580990233085e-24,3.955544506166754e-39,2.1888134373298755e-65,1.5429131084901682e-136,7.410311766624896e-99,5.576786489450155e-88,3.261286356101789e-67,4.682406704560378e-117,2.0004387491898278e-182,9.04917739597555e-170,1.982180449451909e-110,1.8346399914500256e-92,2.3857563208383325e-78,2.783754150176023e-144,3.76,0.0,0.7669619890417999,1.0,2.621499715813925e-66,1.1629493372539616e-122,1.0878681505551896e-10,1.0474121852442546e-10,4.0455965310891706e-12
