Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71),CH2CFO(79),CH2F(46),C2H4F(63),C2H4F(62),C1OO1(734),CH2O2(778),CHO2(166),C2H2O(133),S(338),S(376),CH2F2(41),CH3O2(183),C2H2O(373),S(1537),CHF2(81),C2H3F2(64),CH2CF2(57),CH3F(39),C2H3F2(65),S(3087),CF2CH(73),C2HF2(72),C2HF(58),C2HF(4088),S(3189),S(4414),CF2(43),CF2O(49),S(4555),S(5169),C2F(4087),F(37),C2H3F2(66),S(4570),CHF3(42),CHO2(165),S(459),C2H2F2(59),CHF2O(616),CHFO2(172),S(4185),S(3185),CFO(51),C#CC(5436),CFO3(6311),C3H4(6313),S(3720),C3H4(6745),C2H2F3(67),C2H2F3(68),S(3125),C2H4(456),S(1075),S(4373),C3H3(4302),C3H3(8085),CHF(40),CF(50),S(7024),S(1340),S(8723),CHO3(1596),S(1341),S(5297),S(3358),S(5795),C3H5(1339)
0.0,0.4575022769491088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7378331668389403,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6394698885752274e-20,0.4575022769491088,2.943749822485826e-31,2.2017877971311228e-35,9.854326481214778e-40,3.709758697111306e-45,0.0,0.0,3.307408895169657e-24,6.763841124366874e-42,1.127212891581203e-55,1.311325807580734e-55,1.7824879831428924e-55,2.9264204055336336e-75,4.5971813656747805e-53,1.6440431325209446e-42,3.6949622155894763e-29,5.74086748247646e-42,2.9261814042933334e-75,2.3477908984679076e-74,5.39009351314827e-44,4.3903126508071775e-66,6.857076410798666e-31,2.0574793884764032e-63,7.10672721236584e-48,1.7954569543105642e-65,1.00003184567714e-42,2.336090069599228e-53,6.643335546473445e-70,3.6088461586988106e-72,2.9282206390416523e-63,1.1157651975166455e-71,3.477364343016904e-56,9.726921432885877e-70,3.76,0.0,0.7378331668389403,0.9999999999999993,1.2855692060087984e-52,1.1236352208918945e-26,2.294429971437835e-20,2.2666013956242417e-20,2.7828575813593314e-22,6.462319517333798e-42,5.431390235777131e-16,4.740411350975727e-47,3.798337631428167e-50,2.8982960748071536e-50,1.6997972842068586e-60,5.740496781704003e-42,5.749054663311906e-42,5.447381017493496e-43,2.1166314791175842e-43,4.1807501632045695e-49,4.469861328091302e-51,3.706123532539991e-33,6.434695312452262e-46,5.603031281841506e-61,2.3515296643391854e-59,3.233663044653303e-54,2.0265639681760157e-75,5.721009495949981e-51,2.81934829367864e-59,6.857076410815122e-31,3.1729545217499776e-44,2.598067973911059e-72,3.085169260480698e-65,3.6949622155891367e-29,3.767478525666586e-25,3.4520302730483197e-37,7.266282736453149e-37,2.9306613369771253e-24,1.6528074078256702e-37,1.1642350213259778e-62,8.542908073225598e-79,7.828023517088461e-59,8.472791308833924e-83,6.5871900236957436e-65,5.2705543712089355e-79,1.1236352208918948e-26,1.4506856423550536e-44,1.5509279063421216e-83,2.5442968950023346e-83,6.565561205664557e-88,3.706123533528717e-33,1.6073140934954503e-40,1.34117214461319e-65,1.515119804340504e-51,3.8206187314347e-58,3.408175780939067e-70,3.631922592184537e-55,1.439939632106178e-46,6.161843720687922e-88,8.675655932866567e-67,9.854172940096378e-40,4.0142701134932094e-66,7.664253537016089e-86,1.0926326469087228e-82,8.829797381337063e-90,2.3197126871725887e-87,1.3650448222303845e-86,2.293506024353079e-76,3.267050783298826e-63,8.390100618837148e-60,8.626257775648567e-79,3.426811172956354e-60,9.637018515321704e-64,2.218616723656592e-87,3.3551088411147026e-108,7.2662827364531804e-37,4.6128747264239075e-46,4.004512271348093e-96,4.841431084704992e-93,4.3912600614423056e-97,3.174503323292419e-106,2.74518834532493e-93,3.046212135278653e-96,1.4359875855124805e-89,9.654297726094459e-90,2.8291912927916176e-70
4.590515688010637e-20,0.4575022769491088,8.242499539762861e-31,6.165005832185416e-35,5.952013194652103e-39,2.2406942614416288e-44,0.0,0.0,9.26074490647615e-24,4.085360039118e-41,1.3382271448800466e-54,1.556805999771308e-54,2.1161697335811146e-54,3.474246305435777e-74,2.7766975448601876e-52,9.93002052038254e-42,1.034589420365163e-28,3.4674839595661664e-41,3.473967878101671e-74,2.7872973546600167e-73,3.2556164819417298e-43,5.212179179036518e-65,1.9199813950182998e-30,2.4426395299992427e-62,4.292463236269075e-47,2.1343894769231305e-64,6.040192347873923e-42,1.4110597214411714e-52,1.0039408677832666e-68,5.453687775595158e-71,3.4763835426691014e-62,1.686214838616915e-70,4.128326948019614e-55,1.156987314206852e-68,3.76,0.0,0.7378331668389403,0.9999999999999984,1.526227761373264e-51,3.146178618497304e-26,6.424403920025939e-20,6.346483907748108e-20,7.792001227782981e-22,3.9032409884588813e-41,1.5207892659377157e-15,2.8632084560343354e-46,2.294195929425148e-49,1.7505708290732778e-49,2.0179993356759126e-59,3.467260056299486e-41,3.472429016552602e-41,3.290218134556735e-42,1.278445413383607e-42,2.5251742805284566e-48,2.6997962421669577e-50,1.0377145891153437e-32,3.8865559687209956e-45,6.641437251990507e-60,2.7917360172823953e-58,3.8390047664950493e-53,6.353293152441128e-74,3.455515942565469e-50,1.702887673927336e-58,1.919981395028238e-30,1.9164645311371296e-43,3.2189522602366875e-71,3.6627383848256974e-64,1.0345894203649579e-28,1.0548939871865212e-24,2.08502628492087e-36,2.0345591662068863e-36,8.205851743534408e-24,9.982956743265084e-37,1.3821798175904496e-61,1.911014364670069e-77,9.293429519464582e-58,1.895329524616462e-81,7.820311996475361e-64,1.1790019306714558e-77,3.1461786184973065e-26,8.762141279824682e-44,3.4693636894953897e-82,5.691490382132746e-82,1.4686897794588533e-86,1.0377145897125341e-32,9.708177124711513e-40,1.5922395700812853e-64,9.151323618292208e-51,4.5358385579345114e-57,4.046228811620208e-69,4.3118185014410706e-54,8.697235377904427e-46,1.9373822555605103e-86,1.0299738723497786e-65,5.951920455817328e-39,4.765825328995022e-65,2.409706212632714e-84,2.4442166071224497e-81,2.7762295734119095e-88,7.293547842500721e-86,3.849808954845349e-85,3.5856396572082203e-75,3.8786426899319337e-62,9.960727454682083e-59,1.0241501065997612e-77,4.0683102305054695e-59,1.1441068381376887e-62,6.975685958999996e-86,1.932370911219635e-106,2.034559166206905e-36,2.7861763347531365e-45,1.2591075800014407e-94,1.5222235890799267e-91,1.3807896029346177e-95,1.9312053345766753e-104,8.631312715734985e-92,9.577817093294288e-95,6.859885014424975e-88,4.611973875402732e-88,4.275473881667263e-69
1.0492607286881456e-19,0.4575022769491088,1.8839999121527118e-30,1.4091441903167094e-34,2.8656381407348257e-38,1.078797841699567e-43,0.0,0.0,2.1167416929093568e-23,1.9669249989664996e-40,1.3138793464110572e-53,1.5284813644516306e-53,2.0776679931323606e-53,3.4110356246473685e-73,1.3368603411271557e-51,4.780877429304958e-41,2.3647758179780314e-28,1.669444264127962e-40,3.4107735202960835e-73,2.736585071250821e-72,1.56743919362378e-42,5.117348425775384e-64,4.3885289028738585e-30,2.398197975208272e-61,2.066636273356148e-46,2.0968437972546243e-63,2.908092607205118e-41,6.794269713443121e-52,1.0799937731197503e-67,5.866828257419188e-70,3.413133976863389e-61,1.8141484839685545e-69,4.0532158781893307e-54,1.1406122867661103e-67,3.76,0.0,0.7378331668389403,0.9999999999999964,1.498459466522673e-50,7.191265413708124e-26,1.4684351817202143e-19,1.4506248931996767e-19,1.7810288520537684e-21,1.87924251562457e-40,3.476089750338196e-15,1.3785116209299543e-45,1.1045565832804213e-48,8.428244983885555e-49,1.9812837140546243e-58,1.6693364643431577e-40,1.671825095959408e-40,1.5840983998731052e-41,6.155164341222725e-42,1.2157639203867547e-47,1.2998356742086665e-49,2.3719190608546176e-32,1.871209396860861e-44,6.515171040994234e-59,2.74094297606839e-57,3.769157644484099e-52,1.4162159300993625e-72,1.6637088719378573e-49,8.198684406199051e-58,4.3885289029217086e-30,9.226951749251073e-43,3.219334895628513e-70,3.5961521502399177e-63,2.3647758179770435e-28,2.411186256425756e-24,1.0038504034019798e-35,4.650420951330048e-36,1.875623255664281e-23,4.806363941954103e-36,1.357032341243439e-60,3.775842351433772e-76,9.124344211447514e-57,3.744851750281702e-80,7.678028692685328e-63,2.3295091364032286e-76,7.191265413708134e-26,4.218593847968732e-43,6.854878013196759e-81,1.1245425896453707e-80,2.9018835088004156e-85,2.3719190637298322e-32,4.674069383883261e-39,1.5632702517503038e-63,4.405968391133372e-50,4.453313193283515e-56,3.972632835422584e-68,4.233368973449017e-53,4.187344450139434e-45,4.322193237379329e-85,1.0112344555344933e-64,2.8655934909787017e-38,4.6791523119643485e-64,5.375894001608717e-83,4.8293997394282485e-80,6.193615457902117e-87,1.6271504019113557e-84,8.374264150963706e-84,4.1893262802089354e-74,3.808074393011773e-61,9.779501281312315e-58,1.0056030321623162e-76,3.9942911217101535e-58,1.1232908781418536e-61,1.5562371652572688e-84,8.665562238046118e-105,4.650420951330137e-36,1.3414239704337168e-44,2.809213667782156e-93,3.395998769034427e-90,3.081378523457075e-94,8.718385416508954e-103,1.9255995368821157e-90,2.136791824234174e-93,3.571927904899202e-86,2.4014452353912638e-86,4.599359700867355e-68
2.2296790484623093e-19,0.4575022769491088,4.003499887389637e-30,2.9944314048622805e-34,1.251499463111765e-37,4.711393675320548e-43,0.0,0.0,4.498076097434615e-23,8.590078227952258e-40,1.1621114026709692e-52,1.351924461168041e-52,1.8376738110611068e-52,3.017022381199425e-72,5.838420334292579e-51,2.0879347782334524e-40,5.02514861320552e-28,7.290901705049524e-40,3.0168105783584604e-72,2.420478504677381e-71,6.84541876170102e-42,4.526236730464697e-63,9.325623918499752e-30,2.121178950344003e-60,9.025543559706293e-46,1.8552339832804042e-62,1.2700404439851613e-40,2.967784839141195e-51,9.927003440398485e-67,5.39262586704915e-69,3.018878350018907e-60,1.6678842135432543e-68,3.585023543011247e-53,1.0171755730271697e-66,3.76,0.0,0.7378331668389403,0.9999999999999926,1.3253704286243485e-49,1.5281439004129765e-25,3.120424761155455e-19,3.0825778980497795e-19,3.784686310567671e-21,8.207145786847565e-40,7.38669071786106e-15,6.020322416417392e-45,4.8238887925326783e-48,3.6808360132963164e-48,1.752423007250408e-57,7.290430915066712e-40,7.3012994210452335e-40,6.918173892072039e-41,2.6881219784264164e-41,5.309571027502521e-47,5.676723886673018e-49,5.040328004399505e-32,8.17206304681171e-44,5.760254850871009e-58,2.4243330213078614e-56,3.3337772517518095e-51,2.6515691792206165e-71,7.266088268508749e-49,3.580592553426157e-57,9.325623918708722e-30,4.0296522426246824e-42,2.8708762827363037e-69,3.1808517072510474e-62,5.025148613201208e-28,5.123770794902262e-24,4.384078446766496e-35,9.882144521576445e-36,3.985699418283496e-23,2.0990654079355583e-35,1.200279737973387e-59,6.718909722137673e-75,8.07037912502885e-56,6.663763602896155e-79,6.791129429066962e-62,4.1452370437990664e-75,1.528143900412981e-25,1.842370765791163e-42,1.2197889171678117e-79,2.0010634540211898e-79,5.163746656815475e-84,5.040328016956322e-32,2.0412888987376618e-38,1.3826948341876717e-62,1.924202151626324e-49,3.938905087198701e-55,3.513762060015026e-67,3.744366915635883e-52,1.8287233327486707e-44,8.094989588947734e-84,8.944254240539016e-64,1.2514799633908726e-37,4.138671823019923e-63,1.0068433673238428e-81,8.593690946420149e-79,1.15999562911814e-85,3.0474726225564874e-83,1.552454213547157e-82,4.477791327561547e-73,3.3681986755469495e-60,8.649858133987396e-57,8.8959816350771e-76,3.5329052857467594e-57,9.935380608471131e-61,2.914659982125638e-83,3.2602010963551525e-103,9.882144521576832e-36,5.858350902451355e-44,5.262139134881028e-92,6.360336074314734e-89,5.7744649433944345e-93,3.291897499427863e-101,3.60643908690677e-89,4.002098818478427e-92,1.4254626602752112e-84,9.583537532972217e-85,4.2276039649967105e-67
4.590515688010636e-19,0.4575022769491088,8.242500073399786e-30,6.165005835350368e-34,5.224763900317473e-37,1.9669141781986843e-42,0.0,0.0,9.260744906492231e-23,3.586188564145012e-39,9.76824656377065e-52,1.1363739755829024e-51,1.5446755663115303e-51,2.5359891005465285e-71,2.4374255599778166e-50,8.71671668801272e-40,1.03458942036675e-27,3.043807941279459e-39,2.535844755807601e-71,2.0345580279450337e-70,2.8578275806736574e-41,3.8045746981662755e-62,1.9199813949410627e-29,1.7829787183841064e-59,3.7679867679978756e-45,1.5598193475415175e-61,5.3021688455569395e-40,1.239450360576651e-50,8.492760442611099e-66,4.6135049383701075e-68,2.5375491542497088e-59,1.4275447820017888e-67,3.0134283017101978e-52,8.689887033442411e-66,3.76,0.0,0.7378331668389403,0.9999999999999848,1.1140537048154252e-48,3.146178618497304e-25,6.424403920025938e-19,6.346483907751465e-19,7.792001227447325e-21,3.426321807940656e-39,1.52078926477944e-14,2.5133660988951643e-44,2.0138786127348435e-47,1.5366765773248604e-47,1.473017128148697e-56,3.0436113957282896e-39,3.048148781263155e-39,2.888201415344822e-40,1.1222380101805193e-40,2.2166502247355517e-46,2.3699204761513667e-48,1.0377145891754636e-31,3.411675454659789e-43,4.8408756370949236e-57,2.0377979800304712e-55,2.8022406545017976e-50,4.579271594064267e-70,3.033644822535884e-48,1.4948366637172722e-56,1.9199813950283036e-29,1.6823004874338283e-41,2.42242663275654e-68,2.67385877586632e-61,1.03458942036495e-27,1.0548939871847426e-23,1.830266450765837e-34,2.034559166206953e-35,8.205851743512064e-23,8.763184876264323e-35,1.0089074420623003e-58,1.1332423303049929e-73,6.78363993126286e-55,1.1239411312216327e-77,5.7083534835539135e-61,6.9915481575327844e-74,3.1461786184973226e-25,7.691535275768701e-42,2.0573522975481854e-78,3.3750859962070413e-78,8.709413485615671e-83,1.037714594417688e-31,8.521979323698834e-38,1.1622383217262155e-61,8.03316520363399e-49,3.3108870624691133e-54,2.9535419677041255e-66,3.1473660076207685e-51,7.634559929191383e-44,1.398208143913953e-82,7.518184620910734e-63,5.224682492826796e-37,3.478808827671221e-62,1.7390698090915528e-80,1.4494541577514436e-77,2.0036039784968016e-84,5.263751102548851e-82,2.6682778039271704e-81,4.908888728187639e-72,2.831173935989136e-59,7.270726954658138e-56,7.480193730477123e-75,2.9696198040367936e-56,8.351286052927444e-60,5.034350307120848e-82,1.1289041339814908e-101,2.0345591662071153e-35,2.445746179853649e-43,9.091766253765504e-91,1.0985920285217992e-87,9.985602889881447e-92,1.1421128958931666e-99,6.229241345661082e-88,6.913058081712604e-91,5.0663175554655676e-83,3.40613934070618e-83,3.6168041984167377e-66
9.312188967107291e-19,0.4575022769491088,1.6720501387565278e-29,1.2506154701914324e-33,2.1344865331179106e-36,8.035486718808588e-42,0.0,0.0,1.8786082524635848e-22,1.465075042907184e-38,8.008598705041983e-51,9.316680525210914e-51,1.2664183545653276e-50,2.0791570824929623e-70,9.957678724434542e-50,3.5610631862463815e-39,2.0987385384619487e-27,1.2434948619258406e-38,2.079093985824071e-70,1.6680535941165072e-69,1.1675158153240375e-40,3.1192202002597905e-61,3.894819400986874e-29,1.4617936763687282e-58,1.539345541108567e-44,1.279223544795762e-60,2.1661089788214864e-39,5.067306969070598e-50,7.021978567857905e-65,3.814535090281764e-67,2.0804361089043283e-58,1.1813722939833594e-66,2.4705905853069174e-51,7.353940239803868e-65,3.76,0.0,0.7378331668389403,0.9999999999999691,9.133685354935274e-48,6.382248054665961e-25,1.3032362237766902e-18,1.2874295927160764e-18,1.5806631060614016e-20,1.3997642566058035e-38,3.0850296487211526e-14,1.0267920607803191e-43,8.227351247826873e-47,6.277825216854464e-47,1.2076684362046078e-55,1.243414566654358e-38,1.2452682352549923e-38,1.1799245178029004e-39,4.584708448624635e-40,9.055811683618477e-46,9.681898431076523e-48,2.105078166752633e-31,1.3937807434563759e-42,3.968450417658132e-56,1.6707099002988988e-54,2.2974461915898777e-49,7.608011099934079e-69,1.2395030718489306e-47,6.10697525790134e-56,3.8948194013432826e-29,6.872746412308172e-41,1.989745443263978e-67,2.1924554166827275e-60,2.0987385384545958e-27,2.1399278025706356e-23,7.4772356525964866e-34,4.1272485943056874e-35,1.6646156393929759e-22,3.580046957623535e-34,8.271632766259285e-58,1.8613539304467138e-72,5.561637865673559e-54,1.8460766829391397e-76,4.6800530735812933e-60,1.1483638851535037e-72,6.382248054666034e-25,3.1422431287686087e-41,3.37920732869533e-77,5.543588881603867e-77,1.4305237802257626e-81,2.1050781881688304e-31,3.481506619062995e-37,9.528731955965743e-61,3.281810101856062e-48,2.714465248925523e-53,2.4215103535315527e-65,2.5804008088879877e-50,3.1189668405278126e-43,2.323143745068789e-81,6.163861981790641e-62,2.1344532755062197e-36,2.8521399619443767e-61,2.889489073903376e-79,2.3807348622654752e-76,3.3290179758247026e-83,8.745801182945056e-81,4.422479486581335e-80,5.843261123094835e-71,2.321167445043863e-58,5.960981236234538e-55,6.1369541626780266e-74,2.434673794298483e-55,6.846888869505282e-59,8.364648372681767e-81,3.75593517971341e-100,4.1272485943063514e-35,9.991671171607836e-43,1.51151688112944e-89,1.8253341988120373e-86,1.6629914754429494e-90,3.803717649723215e-98,1.0350026409646475e-86,1.1487569299538594e-89,1.7064752834118175e-81,1.1472815385136155e-81,2.9904436533930103e-65
1.8755535525300603e-18,0.4575022769491088,3.367650778447703e-29,2.5188452457393356e-33,8.627935841817242e-36,3.2480726225190283e-41,0.0,0.0,3.7836757761036635e-22,5.922067568796829e-38,6.485570867417329e-50,7.544889610872117e-50,1.0255784175369555e-49,1.683755310958858e-69,4.025052949636813e-49,1.4394386761652934e-38,4.227036774663555e-27,5.02640505694893e-38,1.6837936948605562e-69,1.3508330477070754e-68,4.719285595266965e-40,2.5260253893856173e-60,7.844495412533044e-29,1.1837984186847608e-57,6.222280797342988e-44,1.0364854896241834e-59,8.755758822634393e-39,2.051316474878095e-49,5.710156353350632e-64,3.1019165826172046e-66,1.6847910999199985e-57,9.623814926643256e-66,2.0007483101987375e-50,6.327042769251514e-64,3.76,0.0,0.7378331668389403,0.9999999999999378,7.396695207146727e-47,1.2854386927003275e-24,2.6248278873248833e-18,2.5929919966003065e-18,3.1835890724576965e-20,5.658070927719814e-38,6.213510408424755e-14,4.1504576817443405e-43,3.3256269203361443e-46,2.5375973209945766e-46,9.780012082927134e-55,5.026080490617778e-38,5.033573303823056e-38,4.769443554197414e-39,1.8532124579467647e-39,3.6605622762343456e-45,3.9135781460692917e-47,4.239805322331543e-31,5.633884611410219e-42,3.213596217753123e-55,1.352984189618878e-53,1.8605314892885563e-48,1.24025667668434e-67,5.011564564152904e-47,2.4686015029457558e-55,7.844495413973701e-29,2.7780739856230115e-40,1.6128209310182006e-66,1.7759355579751365e-59,4.227036774633834e-27,4.309995433329861e-23,3.0224182014763963e-33,8.312627450503627e-35,3.3526765694607364e-22,1.447112220287884e-33,6.69858267063675e-57,3.0173349324237254e-71,4.503958538437073e-53,2.992569855641644e-75,3.7900283233430483e-59,1.861547346943222e-71,1.2854386927003571e-24,1.2701449127942193e-40,5.4778407066509044e-76,8.986396460333291e-76,2.3189406930067435e-80,4.239805408899238e-31,1.407280639921974e-36,7.716614186411979e-60,1.326560115159352e-47,2.1982443354270597e-52,1.9610299789667336e-64,2.0896754764393455e-49,1.2607362648472342e-42,3.787310642137974e-80,4.9916552417442716e-61,8.627801409269832e-36,2.3097378094666666e-60,4.710595298313436e-78,3.8592754502194875e-75,5.427139498479404e-82,1.425786325445685e-79,7.200865262080899e-79,7.654570286470908e-70,1.8797415773192357e-57,4.827357153954789e-54,4.9767311224130325e-73,1.9716620623503018e-54,5.544788123887355e-58,1.3636488113682865e-79,1.2253758489886394e-98,8.312627450506311e-35,4.0387932403002617e-42,2.4671085303144768e-88,2.9757786210076264e-85,2.7237072322091687e-89,1.2415999621180955e-96,1.6873314172426887e-85,1.87322660293216e-88,5.6008227461131024e-80,3.765492888113805e-80,2.4317791149185514e-64
3.764222864168722e-18,0.4575022769491088,6.758853565262362e-29,5.0553048057755935e-33,3.4692550548899233e-35,1.3060360492304366e-40,0.0,0.0,7.593810823429243e-22,2.3812373232300234e-37,5.220151664612469e-49,6.072783823540169e-49,8.254747335734963e-49,1.3552327572883936e-68,1.6184560879296946e-48,5.787919606300587e-38,8.483633247111608e-27,2.021095372354692e-37,1.3554076973160148e-68,1.087267956584219e-67,1.897603981691709e-39,2.0331649925719895e-59,1.5743847433443565e-28,9.528239554938758e-57,2.501951742030761e-43,8.350812781204838e-59,3.520652112719007e-38,8.27262036954161e-49,4.605447963657623e-63,2.5018080991522255e-65,1.3560664506975485e-56,7.789526981012571e-65,1.6103763009445142e-49,5.690800123917732e-63,3.76,0.0,0.7378331668389403,0.9999999999998752,5.953503800547987e-46,2.5798664671677903e-24,5.2680112144212695e-18,5.2041168043782474e-18,6.38944100430211e-20,2.27508543450964e-37,1.2470471895112673e-13,1.6688807811777592e-42,1.337219959585127e-45,1.0203567176326084e-45,7.8718045297095e-54,2.0209648656558382e-37,2.0239776835185286e-37,1.9177722759969924e-38,7.451685784802342e-39,1.4719429597410755e-44,1.5736325599849372e-46,8.50925963518765e-31,2.2653602235164915e-41,2.586518559339148e-54,1.0889993767771792e-52,1.4975176019800912e-47,2.0029850021247933e-66,2.016169481145124e-46,9.926656469291479e-55,1.5743847439236382e-28,1.1170513312114107e-39,1.2987271714925538e-65,1.4301169393804143e-58,8.483633246992098e-27,8.650130694798075e-23,1.215301065723004e-32,1.6683385162901384e-34,6.7287984295331455e-22,5.81877459139194e-33,5.391602096746795e-56,4.8593248893310863e-70,3.625177666652336e-52,4.8194414959254264e-74,3.0505445289545057e-58,2.9979646228030516e-70,2.57986646716791e-24,5.1071968313491276e-40,8.821893607886899e-75,1.4472314444201932e-74,3.734582496504941e-79,8.509259983272542e-31,5.658613558635141e-36,6.211002426539292e-59,5.334039881717789e-47,1.7693382834154638e-51,1.578452246329674e-63,1.6819526210849215e-48,5.069365071084329e-42,6.116516824368932e-79,4.0177184027093564e-60,3.4692010001832023e-35,1.859078303618777e-59,7.607623049510588e-77,6.215245461287685e-74,8.764844777403135e-81,2.3026487240670056e-78,1.1622228767248767e-77,1.0856585331094607e-68,1.5129795552361132e-56,3.885477008046413e-53,4.016759795028594e-72,1.5869653203604153e-53,4.4629278674155155e-57,2.202296517412612e-78,3.959191293775237e-97,1.668338516291218e-34,1.6239809983923994e-41,3.9939295871343215e-87,4.805965310447355e-84,4.439527623431063e-88,4.012657015417397e-95,2.7250960726307824e-84,3.026760992992886e-87,1.8149799167356976e-78,1.2202303646795656e-78,1.9613179534474675e-63
7.541561487446046e-18,0.4575022769491088,1.3541265168620913e-28,1.0128223961609943e-32,1.3913264431839915e-34,5.237791369346497e-40,0.0,0.0,1.5214080918262092e-21,9.54982670070596e-37,4.188842954938402e-48,4.8730270077996237e-48,6.623914868433402e-48,1.0874889375478861e-67,6.490732782423376e-48,2.3212146317566695e-37,1.6996826192187064e-26,8.105496447369106e-37,1.087860490803842e-67,8.724640613672159e-67,7.610240690764192e-39,1.6314868622036632e-58,3.154255146653734e-28,7.645812175295956e-56,1.0033945510844662e-42,6.714135773213174e-58,1.4119389617045744e-37,3.337235362273281e-48,3.699346259511115e-62,2.009588322313901e-64,1.0881579245528211e-55,6.301266309887824e-64,1.2922255631136179e-48,5.526618887689045e-62,3.76,0.0,0.7378331668389403,0.9999999999997501,4.777311861200979e-45,5.168722016102716e-24,1.055437786861404e-17,1.0426366419972058e-17,1.2801144864198235e-19,9.124110145793522e-37,2.498439473761137e-13,6.692958371526936e-42,5.3628501366658446e-45,4.092086768264535e-45,6.316627327657898e-53,8.104973057099319e-37,8.117055729068033e-37,7.691124568387115e-38,2.988459283410192e-38,5.903526338986965e-44,6.310970389843978e-46,1.7048168267693014e-30,9.085107703370103e-41,2.0754930600860422e-53,8.73853407461516e-52,1.2016635601199868e-46,3.219713628061721e-65,8.094094443867226e-46,3.9814490280194755e-54,3.1542551489769126e-28,4.4798754516222356e-39,1.0423820243141507e-64,1.1486853393928693e-57,1.6996826191707774e-26,1.7330401217533548e-22,4.873900830135929e-32,3.342490058770442e-34,1.348104214942551e-21,2.333588862140049e-32,4.326421131219523e-55,7.800292625208905e-69,2.9089767707802755e-51,7.736270943689698e-73,2.4478698828528695e-57,4.812397197048509e-69,5.168722016103198e-24,2.048214354337289e-39,1.4161093066797452e-73,2.3231269752915496e-73,5.99483199014878e-78,1.704816966366912e-30,2.2693571246577636e-35,4.983938290508196e-58,2.1391885656559185e-46,1.4197825423307442e-50,1.2666800643055067e-62,1.3496610527265411e-47,2.0330421258609812e-41,9.832122222614386e-78,3.2239659910465877e-59,1.391304764852471e-34,1.4917934127403235e-58,1.2229031103701881e-75,9.976846517551089e-73,1.4089231962756747e-79,3.70144057250943e-77,1.8676612422813125e-76,1.6243819490348764e-67,1.2140708089340639e-55,3.1178506001027145e-52,3.2409364625313407e-71,1.2734399857666168e-52,3.581218547653782e-56,3.5401274744621705e-77,1.2730537192949835e-95,3.342490058774771e-34,6.512890144607225e-41,6.450804124179213e-86,7.725689633467876e-83,7.267364361865581e-87,1.2904235349518744e-93,4.380677357795271e-83,4.870236264322029e-86,5.844524515772422e-77,3.9293362111534586e-77,1.5754372412826595e-62
