Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71),CH2CFO(79),CH2F(46),C2H4F(63),C2H4F(62),C1OO1(734),CH2O2(778),CHO2(166)
0.0,0.7467050980885818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.8700621855037229,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7648692491177383e-22,0.7467050980885818,2.7930145820317345e-37,5.198547872860179e-28,4.85722700362351e-42,4.2206842683960826e-57,0.0,0.0,6.866457409222361e-40,3.603696158720662e-74,3.307286977316646e-55,1.0850034762528114e-60,2.5652790360023577e-57,6.396183896594133e-69,6.339694264419328e-46,4.491768853510912e-57,9.19883923198393e-74,3.116411280502328e-38,4.4641398306181515e-64,2.937451531424343e-62,4.128691096886716e-37,1.862305246294872e-57,6.976308177965628e-62,-5.174509354940863e-115,3.1191876612175825e-79,4.685168266278836e-59,2.5242948440482393e-72,-9.488238397990186e-108,5.288429524069436e-162,-2.1949306226259353e-136,7.557240809774301e-78,3.531618876156217e-95,4.9196394172972085e-76,-7.025836878693188e-110,3.76,0.0,0.8700621855037228,0.9999999999999997,6.959059274875712e-73,-3.642771586404968e-107,4.660800834261059e-17,4.460570845604409e-17,2.0022998865665005e-18,2.1728338247967404e-36,3.7527858335708984e-16,1.2861439139872885e-40,7.881029975250496e-42,8.512008812438847e-77,9.375263835212969e-75,3.1164112805023277e-38,2.9673138683345117e-38,1.7738565398437763e-37,1.0260244995971768e-37,4.857227004006228e-42,6.339694264431576e-46,1.7452562665370184e-55,3.540367737239957e-57,1.4682178158017773e-77,3.4910348318457465e-76,6.838376274712627e-71
4.941633897529668e-22,0.7467050980885818,1.6869808075469437e-36,1.4555934044012922e-27,2.9337651102202093e-41,5.010796363452372e-56,0.0,0.0,4.147340275170369e-39,1.1330597314403303e-72,3.9264110994741147e-54,1.2881161270101692e-59,3.0454992715441938e-56,7.593549522035522e-68,3.829175335708752e-45,5.333936379289777e-56,2.892262236000454e-72,1.882312413424885e-37,5.299826807367555e-63,3.487342458106989e-61,2.493729422519591e-36,2.2109287884012773e-56,8.756763847510767e-61,2.681528442472468e-113,9.807225076917232e-78,7.080226284002628e-58,7.9367868768617e-71,2.83102999851926e-106,1.6067271041957409e-159,3.8146854702753413e-134,2.3761174264513308e-76,2.0560056549247662e-93,1.54681334705109e-74,3.640921318389326e-108,3.76,0.0,0.8700621855037228,0.999999999999999,1.8229243245494807e-71,1.8877530116256906e-105,1.3050242335930967e-16,1.2489598367692434e-16,5.6064396823853104e-18,1.3123916301770029e-35,1.0507800333992918e-15,7.7683092404852e-40,4.760142105053743e-41,2.6763117627825857e-75,2.947732954049125e-73,1.8823124134248847e-37,1.7922575764731505e-37,1.0714093500654963e-36,6.1971879775661315e-37,2.9337651106745704e-41,3.829175335723901e-45,2.1384302892575384e-54,5.350203724571227e-56,3.42122901940803e-76,7.81581133666298e-75,1.5300760421093662e-69
1.1295163194353526e-21,0.7467050980885818,8.122086404544925e-36,3.327070638633608e-27,1.4124816127010907e-40,4.919629583280285e-55,0.0,0.0,1.996765814601956e-38,2.5277939313147235e-71,3.854973700771978e-53,1.264680051929054e-58,2.9900892443711077e-55,7.455391949866911e-67,1.8435830920923557e-44,5.237463698546551e-55,6.452477945537019e-71,9.062524003722798e-37,5.2034013879831875e-62,3.423893505028243e-60,1.2006233709746791e-35,2.17070299508132e-55,8.805361718241339e-60,2.8143731823496478e-111,2.187937965195126e-76,7.616584347130952e-57,1.7706534920237556e-69,3.6521972933777957e-104,2.3052015650275432e-156,9.918352796837397e-132,5.300987268384863e-75,9.223309875833886e-92,3.4508554872761287e-73,3.821295032883665e-106,3.76,0.0,0.8700621855037226,0.9999999999999977,3.8371831992075666e-70,1.9812735777007462e-103,2.982912533927077e-16,2.8547653411868833e-16,1.2814719274019365e-17,6.318600762505497e-35,2.4017829334814578e-15,3.7401065018779444e-39,2.291803516806438e-40,5.970704319106574e-74,6.576230066061943e-72,9.062524003722797e-37,8.628948729103323e-37,5.158374817863534e-36,2.9836792448273663e-36,1.4124816131471852e-40,1.843583092107497e-44,2.128646814743288e-53,5.755505023255253e-55,6.880856263763499e-75,1.5448624793687973e-73,3.023518186319907e-68
2.400222178800124e-21,0.7467050980885818,3.547128519176831e-35,7.070025107105303e-27,6.16867829509121e-40,4.351356653424149e-54,0.0,0.0,8.720400909713364e-38,4.7342782769786076e-70,3.409680582158871e-52,1.1185951838960292e-57,2.6447000749711395e-54,6.594209750025944e-66,8.051411715804435e-44,4.6327050240818003e-54,1.2084777082959158e-69,3.957842326260645e-36,4.6023496027415156e-61,3.028395030837303e-59,5.243437693046359e-35,1.919962216720198e-54,7.870816493654764e-59,2.2469783928995438e-109,4.097765665041813e-75,7.000953236949774e-56,3.3162380285402764e-68,3.1345976057586345e-102,1.8859869274886908e-153,1.7375999413902237e-129,9.928162482090722e-74,3.47034743688203e-90,6.463070414424296e-72,3.0508986605028474e-104,3.76,0.0,0.8700621855037223,0.999999999999995,7.020411522786417e-69,1.5818367470292152e-101,6.338689134595038e-16,6.066376350022306e-16,2.723127845727321e-17,2.7594989574883234e-34,5.103788733636835e-15,1.6334027707668366e-38,1.0008908068604936e-39,1.1182468399199123e-72,1.2316551108783313e-70,3.957842326260645e-36,3.768488612770943e-36,2.252797805599355e-35,1.3030511144871493e-35,6.168678299036868e-40,8.051411715939417e-44,1.8943301315140895e-52,5.290300702789777e-54,1.234305614562628e-73,2.7494812546906235e-72,5.380469658431436e-67
4.941633897529667e-21,0.7467050980885819,1.4808563313901002e-34,1.4555934044076955e-26,2.5753017577615243e-39,3.657577456185509e-53,0.0,0.0,3.6405957183705627e-37,8.177288391622459e-69,2.8660419779953656e-51,9.402466524985044e-57,2.2230297681606954e-53,5.542830625833891e-65,3.361305898987827e-43,3.8941579920019797e-53,2.087344714085373e-68,1.652321260942723e-35,3.868552156357468e-60,2.5455484979079448e-58,2.189032019569543e-34,1.6138439295552614e-53,6.648634827928947e-58,1.6005518805650086e-107,7.077871144066986e-74,5.9894628896185846e-55,5.7279765041425426e-67,2.3040256809988475e-100,1.2054784627774144e-150,2.5819184486997065e-127,1.7148431728283804e-72,1.20172040902514e-88,1.1163346889963946e-70,2.173194724243471e-102,3.76,0.0,0.8700621855037216,0.9999999999999896,1.1997492306611446e-67,1.1267628511281879e-99,1.3050242335930954e-15,1.2489598367693715e-15,5.606439682372385e-17,1.1520364939040487e-33,1.0507800333911777e-14,6.819135031987313e-38,4.1785220929107946e-39,1.931493327668092e-71,2.1273779132312896e-69,1.6523212609427226e-35,1.5732698129784573e-35,9.404987374231534e-35,5.43998189685284e-35,2.575301761078087e-39,3.3613058991017074e-43,1.5968844215572233e-51,4.525963631586271e-53,2.0898883753723902e-72,4.6377914978566025e-71,9.075172967782276e-66
1.0024457334988754e-20,0.746705098088582,6.0497813052375525e-34,2.952775191813332e-26,1.052094798265655e-38,2.9987029802271962e-52,0.0,0.0,1.4873021406679333e-36,1.3586686964377848e-67,2.349754372562449e-50,7.708710130577108e-56,1.8225741137620934e-52,4.544347430768883e-64,1.3732031364441017e-42,3.192701922159138e-52,3.468154461951008e-67,6.750271490191754e-35,3.1716727905924137e-59,2.0869944541473702e-57,8.942910063502245e-34,1.3231267577927801e-52,5.463980815265464e-57,1.0797912183093784e-105,1.1759988764580756e-72,4.9522037420162655e-54,9.51711863074735e-66,1.5773322185015764e-98,6.875955418652006e-148,3.5544894785755896e-125,2.849237579341008e-71,3.9982797470263524e-87,1.8548067823462848e-69,1.466117161116654e-100,3.76,0.0,0.8700621855037203,0.9999999999999788,1.983251548883553e-66,7.601556980024808e-98,2.6473348738602765e-15,2.533604240303879e-15,1.1373063355639685e-16,4.706444977835781e-33,2.1315823534318408e-14,2.785839163475593e-37,1.7070626167870233e-38,3.209205052032087e-70,3.5346702210716146e-68,6.750271490191752e-35,6.427320531261435e-35,3.8422442195461377e-34,2.2224101070978226e-34,1.0520948009847738e-38,1.3732031365376354e-42,1.3110472041960382e-50,3.742154254780055e-52,3.4391590065487416e-71,7.617900351008239e-70,1.4906178220594018e-64
2.0190104209906926e-20,0.7467050980885824,2.445418331246951e-33,5.947138766669825e-26,4.2527353916349093e-38,2.4284274202141202e-51,0.0,0.0,6.011913051735848e-36,2.2149728854681524e-66,1.9028920124604102e-49,6.2427133260247604e-55,1.475967770785931e-51,3.6801303695826985e-63,5.5507066337729587e-42,2.585547124080917e-51,5.653967091983004e-66,2.728567663963088e-34,2.5685028646593904e-58,1.6901022179538886e-56,3.614867232498404e-33,1.0715023528384489e-51,4.430070509774534e-56,7.093787633190917e-104,1.9171749754818038e-71,4.0270498389279386e-53,1.5515305364769225e-64,1.0436104548333996e-96,3.7132085061086814e-145,4.716463776013239e-123,4.644976364882892e-70,1.3044538420377534e-85,3.023803185528033e-68,9.63179141845411e-99,3.76,0.0,0.8700621855037176,0.9999999999999571,3.2251251755522276e-65,4.99391271208673e-96,5.33195615439463e-15,5.102893047373801e-15,2.2906310702083e-16,1.902420309610968e-32,4.293186993455866e-14,1.1260807316222866e-36,6.900220032999589e-38,5.23181419695022e-69,5.7624045670360173e-67,2.7285676639630863e-34,2.5980257227054696e-34,1.553096545733093e-33,8.983336985653737e-34,4.252735413655039e-38,5.5507066345310844e-42,1.0624479873747246e-49,3.0430576928858193e-51,5.5802650690542905e-70,1.2349196875577944e-68,2.4163700630737282e-63
4.052139795974327e-20,0.7467050980885832,9.83291955644942e-33,1.1935865916563697e-25,1.7100061980207716e-37,1.9546096565229328e-50,0.0,0.0,2.417363796751258e-35,3.577187126528691e-65,1.5316130395935194e-48,5.0246787893369935e-54,1.187987268281246e-50,2.9620890855183396e-62,2.2319147245246335e-41,2.0810789875352577e-50,9.131171962567018e-65,1.0971450570609901e-33,2.0673545725199196e-57,1.3603413005794249e-55,1.4535222154245185e-32,8.624383121624421e-51,3.567782151263703e-55,4.5995567990006596e-102,3.096242706644425e-70,3.2479615850570135e-52,2.505725960737246e-63,6.790299399802095e-95,1.9521702003571577e-142,6.146054225718993e-121,7.501649237043791e-69,4.214713167549299e-84,4.883450225631538e-67,6.245178743611644e-97,3.76,0.0,0.8700621855037123,0.999999999999914,5.202141600960412e-64,3.2380142134111083e-94,1.0701198715463307e-14,1.0241470661517263e-14,4.597280539460448e-16,7.649548393370103e-32,8.616396273274709e-14,4.527921095099145e-36,2.7745481270924612e-37,8.449393904912111e-68,9.306298774350153e-66,1.0971450570609888e-33,1.0446547165320089e-33,6.24493290266768e-33,3.612160291747481e-33,1.7100062157444873e-37,2.2319147251351048e-41,8.554413558754618e-49,2.4543362732994883e-50,8.991050142456671e-69,1.988820299465289e-67,3.891500959768311e-62
8.118398545941596e-20,0.7467050980885845,3.943440530140873e-32,2.391332021707498e-25,6.857889683087688e-37,1.5684511528629012e-49,0.0,0.0,9.69471001737597e-35,5.750223830145808e-64,1.2290230068171004e-47,4.0319882864574556e-53,9.532849660650936e-50,2.3768899452287246e-61,8.950976293435798e-41,1.6699371140191899e-49,1.4678092264605365e-63,4.400042389399994e-33,1.6589218668129848e-56,1.0915882224127403e-54,5.829274187557137e-32,6.920524310428782e-50,2.863750310579519e-54,2.9629175380736416e-100,4.977119722353662e-69,2.6089393769463435e-51,4.027881299277739e-62,4.381698735909231e-93,1.0127875084652309e-139,7.937436386713116e-119,1.2058682055737706e-67,1.3552185027487679e-82,7.850003623968298e-66,4.022985357980438e-95,3.76,0.0,0.8700621855037015,0.9999999999998275,8.35714149752528e-63,2.0858464267274334e-92,2.1439683837600523e-14,2.0518625889818657e-14,9.210579477818673e-16,3.067811040082726e-31,1.7262814831995572e-13,1.8158988754162355e-35,1.1127178937371147e-36,1.3582153934392474e-66,1.4959603499518738e-64,4.400042389399982e-33,4.189532646249353e-33,2.5044974053744177e-32,1.4486378347824096e-32,6.857889825309342e-37,8.950976298335507e-41,6.865540468651225e-48,1.971456369899491e-49,1.4435996332584123e-67,3.19251322601726e-66,6.246730048418318e-61
