Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47)
0.0,0.6216436404784103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.8475176052726134,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.298063879827142e-22,0.6216436404784104,1.3786641541811297e-67,1.58228546214113e-30,1.1299549180517115e-74,7.848646573871933e-75,0.0,0.0,6.593157408387615e-67,1.3457014481775956e-126,1.3554142548975049e-74,1.5731492043490587e-74,3.31600273939666e-74,1.3376539637858744e-113,4.449304739082156e-89,6.154126402576301e-60,6.252967591395998e-107,6.839779149343732e-75,1.0889767654378652e-78,7.971821291927128e-67,1.465002555750092e-39,1.4559714822335746e-60,6.1457546020081165e-65,1.0960308842903715e-154,1.1811178783774125e-125,1.6591049267062323e-62,2.2819405909704838e-104,1.1164700918606253e-149,2.317001068545847e-227,-1.1424846144087832e-183,2.1032377414766533e-141,3.784766889100849e-129,1.2879339358755931e-109,-1.915647620728472e-195,3.76,0.0,0.8475176052726134,0.9999999999999998,2.222928223536713e-75,7.032903054242194e-157,3.0864757501533283e-18,2.9786899244909052e-18,1.0778582566242395e-19,2.378440183642593e-38,3.463835871625295e-16,3.0874333926240386e-43,9.966863057479062e-45,1.4291938870600618e-105,7.357277201774223e-108,6.154187860122357e-60
1.7634578863516e-21,0.6216436404784103,1.6367503680335507e-66,4.430399293996195e-30,2.5281011684673818e-73,1.755945935990948e-73,0.0,0.0,7.827396475237842e-66,1.0384035248387219e-124,3.0324134649423804e-73,3.519543052530876e-73,7.417765487920702e-73,5.6721046514288675e-112,1.0234235859224874e-87,7.307202952457688e-59,7.14534828092256e-105,1.5302361097960332e-73,3.4239171596889825e-77,9.464146237775856e-66,8.848615436730644e-39,1.7285293437076953e-59,7.512118572995712e-64,3.1186665890892395e-152,2.4412332509848483e-123,2.5072393652390316e-61,1.3854731107113159e-102,1.7842896207119834e-147,2.6266085092283718e-224,7.089523728671554e-181,6.2020486120246075e-139,1.3019520457823206e-126,1.4717390423141607e-107,1.286451817259733e-192,3.76,0.0,0.8475176052726134,0.999999999999999,4.973267356837107e-74,2.0011554523304116e-154,8.642132100429319e-18,8.340331788574634e-18,3.018003118546849e-19,1.436577870919625e-37,9.698740440531577e-16,1.864809769147563e-42,6.019985286727024e-44,8.69461419942918e-104,8.407257392143218e-106,7.3072780736435e-59
4.030760883089371e-21,0.6216436404784103,1.6069718190886667e-65,1.0126626957710446e-29,4.99551553313551e-72,3.469679935634827e-72,0.0,0.0,7.684984275216817e-65,1.1317029569697325e-122,5.991929447289756e-72,6.954478302361744e-72,1.4656254603738444e-71,2.27464270428927e-110,2.0492364513654495e-86,7.174703938853376e-58,6.469448861615717e-103,3.023686218418149e-72,7.638570820661705e-76,9.291954897870177e-65,4.2602274321214025e-38,1.697080359691441e-58,7.470039332739706e-63,1.468085885243931e-149,4.423644179989638e-121,2.69717369724968e-60,6.261636261974635e-101,8.178896341603837e-145,5.759783011001284e-220,1.5473819625120347e-177,2.123480971250761e-136,2.3249935128877758e-124,1.3325229362598e-105,5.492998273009179e-189,3.76,0.0,0.8475176052726134,0.9999999999999978,9.826980209858984e-73,9.420270528862851e-152,1.9753444800981302e-17,1.9063615516742505e-17,6.898292842387982e-19,6.916504054025143e-37,2.216854957826713e-15,8.97825630578961e-42,2.8983637771291186e-43,3.925290988852027e-102,7.611990294443416e-104,7.174778639246861e-58
8.565366876564913e-21,0.6216436404784103,1.4213494464294048e-64,2.1519082285155448e-29,8.889589150250258e-71,6.1742940035587366e-71,0.0,0.0,6.797281561751748e-64,9.258032864476462e-121,1.0662635964079106e-70,1.2375491248963045e-70,2.6080021986672858e-70,8.168456557241852e-109,3.6685179562377227e-85,6.346122600918676e-57,4.903456117593142e-101,5.380648369114368e-71,1.4306197760202403e-74,8.218628879125016e-64,1.860553245802757e-37,1.5010483593234983e-57,6.644733722569571e-62,5.077292828988931e-147,6.712946799252617e-119,2.479167309882678e-59,2.365398987981832e-99,2.8014619958618972e-142,7.867823033611757e-216,2.282733290479778e-174,6.177579827817455e-134,3.4724679864253137e-122,1.009972856018646e-103,1.6504526768535996e-185,3.76,0.0,0.8475176052726134,0.9999999999999953,1.7487107199621696e-71,3.257948283166004e-149,4.197607020208527e-17,4.051018297307988e-17,1.465887229005391e-18,3.020619033218324e-36,4.710816785343023e-15,3.921040408672385e-41,1.2657916083143825e-42,1.4822111756789436e-100,5.769434332753084e-102,6.346189048256187e-57
1.7634578863515997e-20,0.6216436404784103,1.1947316538671698e-63,4.4303992940111426e-29,1.4993861344686004e-69,1.0413996437336248e-69,0.0,0.0,5.713524719590993e-63,6.663073491010124e-119,1.7984348152508528e-69,2.087336976546699e-69,4.39877690166718e-69,2.768036404523516e-107,6.205099817521304e-84,5.334369089541208e-56,3.4096215952015724e-99,9.07537815889869e-70,2.4710398922189397e-73,6.90825278244306e-63,7.76744355058825e-37,1.2617215909598499e-56,5.600194453073416e-61,1.5045517973947927e-144,9.341314166140724e-117,2.120979829049647e-58,8.208445311253191e-98,8.266280941497443e-140,8.266762432103079e-212,2.790566598599379e-171,1.6765538240797073e-131,4.784421154043364e-120,7.022853224055868e-102,4.081809239772233e-182,3.76,0.0,0.8475176052726134,0.9999999999999903,2.949497901642074e-70,9.654265600505144e-147,8.64213210042932e-17,8.340331788576117e-17,3.0180031185320403e-18,1.2610489853603107e-35,9.69874044025244e-15,1.6369571848049863e-40,5.284430793205672e-42,5.143145520320866e-99,4.0117801446860205e-100,5.334425091486217e-56
3.5773002837418165e-20,0.6216436404784103,9.79516146647977e-63,8.987381425028724e-29,2.4627678530732078e-68,1.7105138005535956e-68,0.0,0.0,4.684292761745215e-62,4.51644817330747e-117,2.953954890972653e-68,3.4284808202817168e-68,7.225004269687502e-68,9.113668817620149e-106,1.0205965894578685e-82,4.373466187502811e-55,2.273567165322653e-97,1.490643834905094e-68,4.10566973766841e-72,5.663803010099557e-62,3.173254135857998e-36,1.0344355902765421e-55,4.5973052394013714e-60,4.139051321484575e-142,1.2461637137259722e-114,1.7536671383932554e-57,2.7340435513887256e-96,2.2695243802228226e-137,7.6529884855148905e-208,3.117666038989373e-168,4.4125960735341275e-129,6.347939016491721e-118,4.682903381284082e-100,9.175570234616149e-179,3.76,0.0,0.8475176052726133,0.9999999999999803,4.844592463441557e-69,2.655908806175777e-144,1.7531182260870908e-16,1.691895877111499e-16,6.122234897559192e-18,5.151796575318001e-35,1.967458774957846e-14,6.687504226061193e-40,2.158862405812244e-41,1.7133261048788674e-97,2.6750920466212837e-98,4.3735121605559915e-55
7.20498507852225e-20,0.6216436404784104,7.932423560544355e-62,1.8101345687169452e-28,3.992270129838433e-67,2.772825981377835e-67,0.0,0.0,3.7934617269536755e-61,2.973832283177941e-115,4.788504405574998e-67,5.557733993175617e-67,1.1712043267730173e-66,2.9580723927543584e-104,1.655555869434358e-81,3.541757525584785e-54,1.4850797164874371e-95,2.416406083989398e-67,6.69327788902664e-71,4.586694521587542e-61,1.28268005768276e-35,8.377127605596679e-55,3.7253815441748455e-59,1.0980809408861019e-139,1.628230800677098e-112,1.4260529927854178e-56,8.924873868960312e-95,6.015159030408449e-135,6.660786197496522e-204,3.3333991781229126e-165,1.1449505485804703e-126,8.270628469114778e-116,3.0588429195613174e-98,1.9680964360315903e-175,3.76,0.0,0.8475176052726131,0.9999999999999604,7.853319772965543e-68,7.046073978706838e-142,3.530928258175407e-16,3.4076212736203183e-16,1.2330698455508914e-17,2.0824385458592083e-34,3.9626282366259237e-14,2.7031961322932102e-39,8.726467017153908e-41,5.595479814707756e-96,1.7473532335646852e-96,3.5417947794015e-54
1.4460354668083117e-19,0.6216436404784104,6.384781612111878e-61,3.6329274211873135e-28,6.429441824243088e-66,4.465558278261707e-66,0.0,0.0,3.053308021565733e-60,1.9303399497763307e-113,7.711751704845784e-66,8.950574326799065e-66,1.8861884620492743e-65,9.533145909332362e-103,2.6671212453060394e-80,2.85071906339681e-53,9.601706255386998e-94,3.8915540551300277e-66,1.0809661667811447e-69,3.691770784377937e-60,5.157600097627553e-35,6.742641090613627e-54,2.9994556988182595e-58,2.861457885011565e-137,2.1056167339724945e-110,1.1501634010163797e-55,2.884470706338548e-93,1.5667246847684972e-132,5.623471082470105e-200,3.4875923283620655e-162,2.9506038831077373e-124,1.0679993403097958e-113,1.977679101583077e-96,4.124593289292828e-172,3.76,0.0,0.8475176052726128,0.9999999999999205,1.264755067917259e-66,1.836120579109955e-139,7.086548322352039e-16,6.839072066642139e-16,2.474762557099003e-17,8.373393803726109e-34,7.952967159173575e-14,1.086943275807933e-38,3.508874007570758e-40,1.810235592255313e-94,1.1297422142260412e-94,2.8507490579558497e-53
2.8971093847204857e-19,0.6216436404784105,5.123508760336166e-60,7.2785131262969445e-28,1.0320689121844032e-64,7.168216021580185e-65,0.0,0.0,2.4500873966869293e-59,1.244154810053144e-111,1.2379079765837414e-64,1.436766609989928e-64,3.0277502093182497e-64,3.061424911178235e-101,4.282040068159413e-79,2.287524307789195e-52,6.176388868192779e-92,6.2468113477822955e-65,1.7376215418564758e-68,2.962413554859212e-59,2.0684283184539587e-34,5.410544838512046e-53,2.4072518700816305e-57,7.39052625244978e-135,2.709024648607382e-108,9.238737922933667e-55,9.276359703253998e-92,4.045551773804466e-130,4.6765222830697505e-196,3.6098133789570234e-159,7.578484758358022e-122,1.3730483686749728e-111,1.2721608912869302e-94,8.544843463796865e-169,3.76,0.0,0.8475176052726121,0.9999999999998407,2.0302136880292464e-65,4.742323688710477e-137,1.4197788450705297e-15,1.3701973652702509e-15,4.9581479800278946e-17,3.3581054243257095e-33,1.593364500111486e-13,4.359128684064759e-38,1.4072154155579303e-39,5.8334942757740895e-93,7.267174239066818e-93,2.2875483803111892e-52
