Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71),CH2CFO(79),CH2F(46),C2H4F(63),C2H4F(62),C1OO1(734),CH2O2(778)
0.0,0.8518354417993648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.951454307800084,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.504185520824199e-23,0.8518354417993648,1.4702689060796846e-36,9.993872616557771e-27,8.119837493954976e-41,5.1474005809172935e-56,0.0,0.0,5.364982608943521e-39,9.686933039748086e-73,1.3658597711352145e-54,1.529503273461005e-59,1.635988099974801e-56,1.208127294360486e-66,2.2429273899936307e-44,8.752687184463477e-56,1.740676022717313e-72,1.2059890779196944e-37,2.8609307959484114e-62,8.345997173875729e-60,6.011061603371274e-36,4.678989420044988e-56,2.0895447413113374e-60,-5.032172414278892e-128,3.862510555423885e-77,5.892994963417949e-58,8.48519723616651e-71,-9.96709032074933e-106,3.294456204450157e-160,-8.908368802302823e-134,6.533041735858793e-76,1.059669598039609e-93,1.6711739696344709e-74,-1.026778098041214e-107,3.76,0.0,0.9514543078000839,0.9999999999999997,1.2823152380963876e-71,-2.5286285886938965e-105,1.7435603085937032e-16,1.670008758126604e-16,7.355155046709868e-18,1.569301965818751e-35,2.9009754165622015e-16,1.6362942715049014e-39,2.1478248694651975e-40,2.786063404236584e-75,1.563531362924828e-73,1.2059890779196944e-37,1.1278331959965059e-37,9.149734315834131e-37,5.606604571052144e-37,8.119837494012312e-41,2.242927389995849e-44,2.6061180739145668e-54,2.6401830082781206e-55,1.0583132408916071e-76,1.9302079427184144e-75
1.8211719458307756e-22,0.8518354417993648,8.880424192720714e-36,2.7982843326367745e-26,4.904381846358435e-40,6.110993969678941e-55,0.0,0.0,3.240449495801899e-38,3.0457267386254413e-71,1.6215487202922586e-53,1.8158262862547454e-58,1.942245072290611e-55,1.434288723864676e-65,1.3547281435560627e-43,1.0397265311764517e-54,5.472963923602105e-71,7.2841740306370865e-37,3.39649704098516e-61,9.908367844825282e-59,3.6306812084362594e-35,5.5548962394774165e-55,2.745189890734325e-59,8.745677332347415e-126,1.2144351187952212e-75,8.905493988719014e-57,2.667881774206357e-69,2.9735588498677807e-104,1.0009194701634901e-157,1.5482323078466487e-131,2.0540928504235667e-74,6.46352964431902e-92,5.2544383483834516e-73,5.320957959770969e-106,3.76,0.0,0.9514543078000834,0.9999999999999991,3.7939817832963705e-70,1.3103830751722538e-103,4.881968864062366e-16,4.676024522754506e-16,2.059443413078601e-17,9.478583873544417e-35,8.12273116637264e-16,9.883217399890631e-39,1.2972862211572285e-39,8.759829113067004e-74,4.915992770066836e-72,7.2841740306370865e-37,6.812112503817661e-37,5.5264395267634497e-36,3.386389160915275e-36,4.904381846426501e-40,1.3547281435590724e-43,3.5133718292967885e-53,3.9898445621129e-54,2.4840809843507464e-75,4.3270202246643655e-74
4.1626787333274867e-22,0.8518354417993648,4.27554197887885e-35,6.396078474601165e-26,2.361248743256528e-39,5.99981011715898e-54,0.0,0.0,1.5601369426807948e-37,6.794848808679596e-70,1.5920461492368469e-52,1.7827890155518548e-57,1.906907729332252e-54,1.4081931743062953e-64,6.5224328501001276e-43,1.0210758804858253e-53,1.2209881446281125e-69,3.50701623859365e-36,3.334700935865702e-60,9.7280943058696e-58,1.7480167142603812e-34,5.453830068004464e-54,2.811138321369553e-58,2.2739152127597862e-123,2.7093379440513026e-74,9.580124052135257e-56,5.951897478282206e-68,3.83611816131021e-102,1.4360379699793787e-154,4.025473229762667e-129,4.582568153807946e-73,2.903958806899113e-90,1.1722362909055855e-71,5.584561830203113e-104,3.76,0.0,0.9514543078000828,0.9999999999999981,8.314587456977089e-69,1.3753003425077406e-101,1.115878597499969e-15,1.068805605201037e-15,4.707299229893183e-17,4.5635301165996715e-34,1.8566242665987424e-15,4.758343741537768e-38,6.245874720408466e-39,1.954269687373341e-72,1.0967309441676381e-70,3.50701623859365e-36,3.279738933955985e-36,2.660742739044017e-35,1.6304006092616342e-35,2.3612487433233568e-39,6.5224328501313195e-43,3.6332228287175266e-52,4.292092712907505e-53,5.011380244927202e-74,8.557809003899807e-73
8.84569230832091e-22,0.8518354417993651,1.8672415107202977e-34,1.3591666758539527e-25,1.0312193617471724e-38,5.306764102989093e-53,0.0,0.0,6.813527913358462e-37,1.2725999818170564e-68,1.408146789652998e-51,1.5768566948193428e-56,1.6866382915534189e-53,1.245530915393284e-63,2.848517785290517e-42,9.032357753211777e-53,2.286775665531108e-68,1.531606128961285e-35,2.9495052136175255e-59,8.604389246379029e-57,7.634048236281672e-34,4.823850932489637e-53,2.5324468412001428e-57,3.983680577984973e-121,5.074290120974973e-73,8.805784513949055e-55,1.1147245267564113e-66,3.2924636711029193e-100,1.174885910062705e-151,7.052241628482773e-127,8.582642989449416e-72,1.0930465831628424e-88,2.19546883898568e-70,4.458680122826139e-102,3.76,0.0,0.9514543078000816,0.999999999999996,1.5464050433894108e-67,1.098031409890789e-99,2.3712420196874323e-15,2.271211911052234e-15,1.0003010863519763e-16,1.993013496588516e-33,3.945326566519263e-15,2.078093724812777e-37,2.727737584224561e-38,3.6601308412364945e-71,2.0540556808764728e-69,1.531606128961285e-35,1.4323481589136442e-35,1.162016258110368e-34,7.120387805232822e-35,1.031219361806282e-38,2.8485177853187586e-42,3.286528975765567e-51,3.9451726656312936e-52,9.001851597283749e-73,1.523497089862707e-71
1.8211719458307754e-21,0.8518354417993653,7.795365740026368e-34,2.7982843326454575e-25,4.305137839428896e-38,4.460654985169843e-52,0.0,0.0,2.8445137792620267e-36,2.1980999953242405e-67,1.1836322239156666e-50,1.3254430647506761e-55,1.4177211116347182e-52,1.046943783254994e-62,1.1892001021733681e-41,7.592660105855281e-52,3.949836281323725e-67,6.394154091159635e-35,2.4792368532865995e-58,7.232507614926119e-56,3.187064862107588e-33,4.054737367580366e-52,2.1469231374602536e-56,5.919393832882074e-119,8.764574297172569e-72,7.533534045317633e-54,1.925409407558756e-65,2.4200655187693943e-98,7.509594260691243e-149,1.0479001714325346e-124,1.4824381411734696e-70,3.785681348925201e-87,3.792126444886827e-69,3.1759757361568495e-100,3.76,0.0,0.951454307800079,0.9999999999999918,2.6626592204773433e-66,7.821420284179732e-98,4.881968864062351e-15,4.676024522754726e-15,2.059443413076257e-16,8.320439022759338e-33,8.122731166350557e-15,8.675632227532904e-37,1.1387767457938182e-37,6.321965817988022e-70,3.547870381195527e-68,6.394154091159634e-35,5.979771605156209e-35,4.8511891342501545e-34,2.972621743568784e-34,4.3051378399257475e-38,1.189200102197366e-41,2.7914629473891807e-50,3.375178275626135e-51,1.5251589393795243e-71,2.5701519025730496e-70
3.694377375828145e-21,0.8518354417993662,3.184661261317965e-33,5.676519646243796e-25,1.7587892806540308e-37,3.6571144584017486e-51,0.0,0.0,1.1620766930277477e-35,3.65217601759772e-66,9.70413209218404e-50,1.0866783043987319e-54,1.1623334224253045e-51,8.583477671906074e-62,4.858270443811181e-41,6.225088290133917e-51,6.56271205643092e-66,2.6122205823620614e-34,2.0326281618666544e-57,5.9296467124214385e-55,1.3020199875367487e-32,3.32431867085574e-51,1.767439300733925e-55,8.149143171139295e-117,1.4562471280120694e-70,6.228871632953853e-53,3.199096527588903e-64,1.6567739894124911e-96,4.283414173821593e-146,1.442628885344216e-122,2.463093143309287e-69,1.2596516431706102e-85,6.300674804494691e-68,2.1426301460107464e-98,3.76,0.0,0.951454307800074,0.9999999999999835,4.41743728593886e-65,5.2766180467165224e-96,9.903422552812164e-15,9.485649746160095e-15,4.17772806652068e-16,3.399170830032158e-32,1.6477540365974155e-14,3.544278843862236e-36,4.6522745802848755e-37,1.050404075961472e-68,5.894839701425341e-67,2.61222058236206e-34,2.442931815841651e-34,1.981869051742617e-33,1.2144129765055846e-33,1.7587892810613794e-37,4.858270444008962e-41,2.3001252977873356e-49,2.7906626678708767e-50,2.510629413415072e-70,4.2219266875597354e-69
7.440788235822884e-21,0.8518354417993677,1.2872910001746e-32,1.1432990273501794e-24,7.109307479090081e-37,2.961626105730556e-50,0.0,0.0,4.69729979329648e-35,5.95396867031785e-65,7.858657764954055e-49,8.800202649707182e-54,9.412877410177943e-51,6.951122760380783e-61,1.9637905904454055e-40,5.041304435154972e-50,1.0698876995676718e-64,1.0559013252148964e-33,1.6460749855078365e-56,4.801981644191969e-54,5.262972964709481e-32,2.6921194484409716e-50,1.43421509075796e-54,1.0813124863575744e-114,2.37405035648081e-69,5.065214965469967e-52,5.215334750232392e-63,1.0961718675154758e-94,2.313163621605988e-143,1.9142290109529892e-120,4.015463476243462e-68,4.1098327119440976e-84,1.0271690140408479e-66,1.4076205636161268e-96,3.76,0.0,0.951454307800064,0.9999999999999667,7.196277879182547e-64,3.4665227139594e-94,1.9946329930311685e-14,1.910490019297239e-14,8.41429737339297e-16,1.3739991975605415e-31,3.3187158765065417e-14,1.4326541768372373e-35,1.880523768833917e-36,1.7124237521274894e-67,9.610076494627812e-66,1.0559013252148955e-33,9.87472099076322e-34,8.011031580724415e-33,4.908851418954223e-33,7.109307482388897e-37,1.963790590605984e-40,1.8672947344980283e-48,2.2693205354166974e-49,4.074305982750425e-69,6.844282162955085e-68
1.493360995581236e-20,0.8518354417993707,5.1761404945639e-32,2.2945931528263065e-24,2.8586212698533883e-36,2.3837743458965766e-49,0.0,0.0,1.888763587409973e-34,9.615675306424478e-64,6.325331457151615e-48,7.083168693310904e-53,7.576302641679327e-50,5.594868331542221e-60,7.896315593497309e-40,4.057706972750349e-49,1.7278714928414263e-63,4.245732788545353e-33,1.324904354564593e-55,3.8650525902075325e-53,2.1162182817140556e-31,2.1668519412042927e-49,1.1555382426419378e-53,1.4090652418484777e-112,3.834097667202892e-68,4.0852793697201823e-51,8.422779552455581e-62,7.1322937530045415e-93,1.2161151411579157e-140,2.4944441126305153e-118,6.48498424010479e-67,1.3279217371553833e-82,1.6588807016648565e-65,9.12690239577706e-95,3.76,0.0,0.9514543078000439,0.9999999999999333,1.1617810650192552e-62,2.247666400988884e-92,4.00321446853103e-14,3.834340108660317e-14,1.6887435987071331e-15,5.524790342677569e-31,6.660639556262417e-14,5.760639434682212e-35,7.561503366136733e-36,2.765568933834732e-66,1.5520299210528064e-64,4.245732788545348e-33,3.970581879735986e-33,3.221200564797854e-32,1.9738275656398832e-32,2.8586212725085632e-36,7.896315594791425e-40,1.5047961615399068e-47,1.8302892236873693e-48,6.5651293684378574e-68,1.1022791706687923e-66
2.991925339579131e-20,0.8518354417993769,2.07586384684352e-31,4.597181403876667e-24,1.1464349844784144e-35,1.9128287882897463e-48,0.0,0.0,7.574786755679521e-34,1.5456917218501e-62,5.075680139132432e-47,5.683796794799963e-52,6.079505731299848e-49,4.489529483522347e-59,3.166775724310584e-39,3.256064924702924e-48,2.7775029610385193e-62,1.7027287433140122e-32,1.0631523064859805e-54,3.101461291132413e-52,8.486981811436605e-31,1.7387622192481616e-48,9.277092089321732e-53,1.8197635905428388e-110,6.163200021148071e-67,3.281518556870266e-50,1.353937213372803e-60,4.602383938530383e-91,6.309215361249476e-138,3.2214963822516076e-116,1.0424422765125772e-65,4.2699056651988755e-81,2.6666022793577915e-64,5.879318456964237e-93,3.76,0.0,0.9514543078000037,0.9999999999998664,1.8671937425549575e-61,1.4478895448152812e-90,8.020377419530585e-14,7.682040287388952e-14,3.383371321416317e-15,2.2156880296745547e-30,1.3344486915524663e-13,2.3102740642352346e-34,3.0325010464014824e-35,4.445571289700665e-65,2.494842769923502e-63,1.702728743314008e-32,1.5923809223497094e-32,1.2918454981888205e-31,7.915931354101672e-32,1.1464349866090245e-35,3.1667757253496856e-39,1.208237601035948e-46,1.4701878400108124e-47,1.0541359333886687e-66,1.7694251150813223e-65
5.989054027574922e-20,0.8518354417993886,8.314283035557194e-31,9.202357906369828e-24,4.591719713492014e-35,1.5325907410259477e-47,0.0,0.0,3.033865690067487e-33,2.4788687900717073e-61,4.066720675323214e-46,4.553954014156383e-51,4.871002698183868e-48,3.59708686730971e-58,1.2683620711483304e-38,2.608818473366541e-47,4.454358725411086e-61,6.819796359759757e-32,8.518155910493285e-54,2.4849431818976002e-51,3.399219510784376e-30,1.393125664349045e-47,7.434812437015838e-52,2.3396944371875722e-108,9.884095233618337e-66,2.630543293994031e-49,2.1713467533273563e-59,2.9576497857056392e-89,3.251666989837488e-135,4.141921081379892e-114,1.6717936625807247e-64,1.369668074216605e-79,4.276504219349807e-63,3.775004189014698e-91,3.76,0.0,0.9514543077999233,0.9999999999997328,2.9942023654849456e-60,9.296637248108045e-89,1.605470332152901e-13,1.537744064485614e-13,6.77262676672873e-15,8.874309085881254e-30,2.6712181633051116e-13,9.253146582728056e-34,1.214582162768981e-34,7.129486280352364e-64,4.001048717589898e-62,6.819796359759723e-32,6.377829503870948e-32,5.174120223001352e-31,3.170501469454821e-31,4.591719730562823e-35,1.2683620719811386e-38,9.683536547155394e-46,1.1785375267562087e-46,1.689596107352602e-65,2.835712225932382e-64
1.1983311403566502e-19,0.8518354417994126,3.327879978796091e-30,1.8412710912925888e-23,1.8378845240514217e-34,1.2270044750710693e-46,0.0,0.0,1.2143369242465589e-32,3.9708057393145225e-60,3.255849281116504e-45,3.645932212378941e-50,3.8997639372998653e-47,2.8798566765539514e-57,5.076753731362583e-38,2.088642751223867e-46,7.13526802265771e-60,2.729695834558435e-31,6.819704170592342e-53,1.98946549735693e-50,1.3605736664864e-29,1.115347611524933e-46,5.953110330943105e-51,3.001480511941112e-106,1.5832956647356395e-64,2.1065680999088984e-48,3.478197871693182e-58,1.8967843792090495e-87,1.670341424201357e-132,5.31346968038365e-112,2.6779827548398433e-63,4.388222498860395e-78,6.850369648198285e-62,2.4199273148737338e-89,3.76,0.0,0.9514543077997627,0.9999999999994654,4.796084556978701e-59,5.959512964667258e-87,3.2123355125523155e-13,3.0768241359830177e-13,1.3551137656929738e-14,3.552036345874337e-29,5.34475710641119e-13,3.703670072888262e-33,4.861493944034707e-34,1.1420453214940746e-62,6.409127941793197e-61,2.729695834558408e-31,2.5527939116327907e-31,2.0709965037713482e-30,1.2690268442658511e-30,1.8378845377184488e-34,5.076753738031161e-38,7.753890144411515e-45,9.437858577753895e-46,2.7057392380301036e-64,4.540848910018796e-63
2.3971826155549667e-19,0.8518354417994606,1.3315854678642345e-29,3.683341693231699e-23,7.353932067362025e-34,9.819764941159633e-46,0.0,0.0,4.8589294440990137e-32,6.356984143611368e-59,2.6056689448976637e-44,2.917853846422002e-49,3.1209963686424505e-46,2.3047605883131794e-56,2.0313627701944336e-37,1.671549662011654e-45,1.1423068453185197e-58,1.0922338935157362e-30,5.45783604579308e-52,1.5921770370674675e-49,5.444066895232303e-29,8.926170661300789e-46,4.764593413825491e-50,3.846170522306224e-104,2.534746371209516e-63,1.6861082831491512e-47,5.568353167755645e-57,1.2151877406102741e-85,8.566226269452192e-130,6.808810027075589e-110,4.287264356940511e-62,1.4050773437931626e-76,1.0966965953069902e-60,1.5500106027232913e-87,3.76,0.0,0.9514543077994413,0.9999999999989307,7.67802666801219e-58,3.817184185543639e-85,6.426065873350059e-13,6.154984278993692e-13,2.7108159435636492e-14,1.4212772123727274e-28,1.0691834991026489e-12,1.4819504546853736e-32,1.945230816918221e-33,1.8283352241280708e-61,1.0260568623636347e-59,1.092233893515714e-30,1.0214500812560716e-30,8.28668361235597e-30,5.077760360716498e-30,7.353932176739777e-34,2.031362775531743e-37,6.205937800657152e-44,7.554112080759623e-45,4.331092195507684e-63,7.268327220638662e-62
4.7948855659516e-19,0.8518354417995564,5.327208947079661e-29,7.367482899621507e-23,2.942051698807321e-33,7.857303956166421e-45,0.0,0.0,1.9438881721401043e-31,1.0174131566989687e-57,2.0849310496397395e-43,2.3347264064186003e-48,2.4972712848709172e-45,1.844158644101807e-55,8.126773823599618e-37,1.3374939687565558e-44,1.8282223016102586e-57,4.369646796817735e-30,4.367098171973195e-51,1.2739835370187418e-48,2.1779812544529604e-28,7.142292726478634e-45,3.812517024360138e-49,4.925836381241144e-102,4.056773228167325e-62,1.3492282316602536e-46,8.911955174330625e-56,7.7811901697661815e-84,4.389515610286263e-127,8.720124196752093e-108,6.861617186828026e-61,4.497601825029247e-75,1.7552246880032144e-59,9.924092662926546e-86,3.76,0.0,0.9514543077987986,0.9999999999978614,1.2288276903755852e-56,2.4439890575370235e-83,1.2853526594941203e-12,1.2311304565078504e-12,5.422220298626893e-14,5.686034328536344e-28,2.138599075386968e-12,5.92876680822589e-32,7.782189929061195e-33,2.9261868057949215e-60,1.6421682542467514e-58,4.36964679681756e-30,4.0864654517528646e-30,3.3152130408952986e-29,2.0314347878970674e-29,2.9420517863261398e-33,8.12677386630788e-37,4.965880779320533e-43,6.044820133018872e-44,6.931275497703352e-62,1.1631699318299712e-60
9.590291466744864e-19,0.8518354417997481,2.131057005849498e-28,1.4735765322447482e-22,1.1769164682557797e-32,6.286440075127689e-44,0.0,0.0,7.776185522723984e-31,1.6280976444766182e-56,1.66810321592549e-42,1.8679584821094614e-47,1.9980067259289094e-44,1.4754669993086667e-54,3.2509740961385585e-36,1.0700968821398255e-43,2.925580849743008e-56,1.748000975061948e-29,3.494010426235154e-50,1.0192836029042571e-47,8.712634061103091e-28,5.714376718143005e-44,3.0503506385175674e-48,6.30682357462636e-100,6.491780553149666e-61,1.0795192447653887e-45,1.4261200700190852e-54,4.981238442122601e-82,2.248356078150707e-124,1.116486261722819e-105,1.0980183142953256e-59,1.4394493253785915e-73,2.80876769892534e-58,6.352707609879464e-84,3.76,0.0,0.951454307797513,0.9999999999957225,1.9663990981727458e-55,1.5644702616777482e-81,2.5708448038106134e-12,2.4623945137501996e-12,1.0845029006040959e-13,2.274598839748228e-27,4.277430225400642e-12,2.3716997357125378e-31,3.113129323833742e-32,4.682579361147168e-59,2.6278511042525636e-57,1.7480009750618074e-29,1.6347192145484022e-29,1.3261931429472988e-28,8.126400484179654e-29,1.1769165382774825e-32,3.2509741303090836e-36,3.9731568923172083e-42,4.836468380151291e-43,1.1091263482196327e-60,1.8612619756634652e-59
1.918110326833139e-18,0.8518354418001315,8.524574886126163e-28,2.947233020828486e-22,4.7078575176269705e-32,5.029390909157932e-43,0.0,0.0,3.1106007805062624e-30,2.605145521775353e-55,1.3345459295007248e-41,1.4944377423739344e-46,1.5984812668655255e-43,1.180429635542556e-53,1.3004425531142207e-35,8.561181917070461e-43,4.6812695796009464e-55,6.992288436276504e-29,2.795341294073425e-49,8.15465593715774e-47,3.485195438211381e-27,4.571718400936399e-43,2.440415426727572e-47,8.073856383171208e-98,1.038760367712983e-59,8.636700640394386e-45,2.2819579183846896e-53,3.1884012285082277e-80,1.151394961433095e-121,1.4293011613986523e-103,1.7569569680883298e-58,4.606584729889754e-72,4.494354976678162e-57,4.066145244490575e-82,3.76,0.0,0.9514543077949421,0.9999999999914448,3.1464584440267414e-54,1.001362517113306e-79,5.141829092436653e-12,4.9249226283364426e-12,2.1690646410019383e-13,9.098765583582174e-27,8.555092515208135e-12,9.487184987682836e-31,1.2453024032914224e-31,7.49267140848964e-58,4.204867358888568e-56,6.992288436275382e-29,6.539142927583854e-29,5.304988430355897e-28,3.25069246351966e-28,4.7078580778271887e-32,1.300442580452208e-35,3.178706432696189e-41,3.869419647165899e-42,1.7747000212786393e-59,2.978171237518374e-58
