Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71),CH2CFO(79),CH2F(46),C2H4F(63),C2H4F(62),C1OO1(734),CH2O2(778),CHO2(166),C2H2O(133)
7.041279785187894e-19,0.5885581441261039,1.4615613957514897e-33,1.1056012136514768e-27,5.035008895244393e-39,2.25240989271573e-51,0.0,0.0,2.532935649525179e-36,2.110793470182388e-66,1.4842605506874713e-48,3.449805318784111e-55,6.464325658480085e-51,1.3826840999537188e-65,9.894018064810459e-44,1.127569042680598e-51,1.0848352003291365e-65,4.975472988358837e-34,8.923797285240539e-60,1.280275879639848e-58,5.088099713493498e-34,2.6835040135757397e-52,1.1268050449656674e-56,6.748470593320886e-105,1.1521412024588382e-72,9.623714770579189e-54,7.807624502527894e-65,1.064723051531506e-96,1.4014988722943908e-142,3.4921759162925874e-123,5.360427331152433e-71,5.019759667621347e-85,2.1049752572936384e-68,1.0692168974581263e-98,3.76,0.0,0.6067854461890548,0.9999999999996465,2.6937652300705466e-64,2.3560391062139917e-95,1.9000175914646245e-15,1.835160333499492e-15,6.485725796513248e-17,8.863528577178577e-33,3.536300778961272e-13,2.2299723520113793e-37,3.093748047997243e-39,6.144314665594369e-69,1.2846486641741487e-66,4.975472988358823e-34,4.858957676089562e-34,9.662753065695493e-34,4.978190248248937e-34,5.035015467107651e-39,9.894018136818386e-44,1.0875304485492977e-49,8.789044088928543e-53,8.991319882829788e-69,2.8780196056293476e-67,4.314701020656313e-62,3.210535266783208e-60
1.4088677102769523e-18,0.588558144126104,5.850054520871321e-33,2.2121629848476657e-27,2.015315835714832e-38,1.8032974791175029e-50,0.0,0.0,1.0138343619633292e-35,3.3811998682946913e-65,1.1883109370583414e-47,2.761941898342005e-54,5.17539112146392e-50,1.1069880108550238e-64,3.96018568068823e-43,9.027409648136076e-51,1.7377563903468333e-64,1.991485844303595e-33,7.144473127705142e-59,1.024999166253516e-57,2.0365658824641908e-33,2.148434896178665e-51,9.021585961591167e-56,4.326037196937971e-103,1.8455712480824655e-71,7.70677699410479e-53,1.2506737066432556e-63,6.828224245091599e-95,7.1993283137231665e-140,4.479943354168486e-121,8.586664911571615e-70,1.6082548457214988e-83,3.3718800923389096e-67,6.854104508940982e-97,3.76,0.0,0.606785446189053,0.9999999999992926,4.3136114295106515e-63,1.5103145351722824e-93,3.801685936701148e-15,3.671915072181409e-15,1.297708645197385e-16,3.547721332293956e-32,7.075673921381192e-13,8.925700888043783e-37,1.2383054744873154e-38,9.842344694849177e-68,2.057830003599451e-65,1.991485844303583e-33,1.944849349238955e-33,3.867619411676471e-33,1.992573452761869e-33,2.015321097201411e-38,3.960185738338546e-43,8.706870145871546e-49,7.038365014469708e-52,1.439836905847773e-67,4.6085824731467857e-66,6.909144258273362e-61,5.142834462434483e-59
2.818347173793278e-18,0.5885581441261045,2.3407838123903555e-32,4.425286528596792e-27,8.063889345041128e-38,1.4431860474979497e-49,0.0,0.0,4.0566580288432966e-35,5.413066103790457e-64,9.51009905682853e-47,2.210392951596345e-53,4.141885816890219e-49,8.85926844563931e-64,1.5845901097412673e-42,7.2246718242049575e-50,2.7820275734249453e-63,7.968537433884932e-33,5.717764656987231e-58,8.203108511699625e-57,8.148916279868361e-33,1.7194008701592848e-50,7.220128964386897e-55,2.7709112008172798e-101,2.9546314467147e-70,6.1685451939795965e-52,2.002241721486557e-62,4.374548832643069e-93,3.692124555123617e-137,5.740709604434856e-119,1.3746654085104403e-68,5.149508927296917e-82,5.398146424616098e-66,4.39018800610964e-95,3.76,0.0,0.6067854461890492,0.9999999999985847,6.904649438619244e-62,9.673859963885562e-92,7.60502262717417e-15,7.345424549627309e-15,2.595980775468617e-16,1.4195506443897405e-31,1.4154420179003167e-12,3.5714429850622924e-36,4.954834875755773e-38,1.5756911607128818e-66,3.29444324674111e-64,7.968537433884836e-33,7.78193066364263e-33,1.5475515448475778e-32,7.972889255295136e-33,8.063931452924474e-38,1.5845901558792043e-42,6.968147874480673e-48,5.63354712212551e-51,2.3047201592952867e-66,7.376734345781687e-65,1.1059131160614382e-59,8.233320681861446e-58
5.6373061008259295e-18,0.5885581441261053,9.364659469665391e-32,8.851533621522036e-27,3.2260815724713623e-37,1.154768116877497e-48,0.0,0.0,1.6229273657077517e-34,8.663423644364072e-63,7.609524227363017e-46,1.768650233089381e-52,3.314137971111743e-48,7.088760783131925e-63,6.339392257223583e-42,5.7808353522176326e-49,4.452539168332454e-62,3.1879338745393666e-32,4.5751041441926434e-57,6.563733148279898e-56,3.260097137592097e-32,1.3757819332227392e-49,5.777248625423665e-54,1.774102766575904e-99,4.728784934155546e-69,4.936085902764775e-51,3.204518090469107e-61,2.801149012801465e-91,1.8919233985902323e-134,7.35219678926848e-117,2.2001040962149606e-67,1.6483382638994718e-80,8.639547249466209e-65,2.8108609352539193e-93,3.76,0.0,0.6067854461890415,0.9999999999971689,1.1049736731074675e-60,6.193783663891692e-90,1.521169600812012e-14,1.4692443504847364e-14,5.19252503272753e-16,5.679126928375899e-31,2.8311912585375642e-12,1.4288097551977267e-35,1.9822565979598154e-37,2.521839260608371e-65,5.272642765788194e-63,3.1879338745392917e-32,3.1132789808250357e-32,6.191213879791106e-32,3.189674863194441e-32,3.2261152651756745e-37,6.339392626399226e-42,5.575579229627086e-47,4.507982932218156e-50,3.6883374064782233e-65,1.1805177487922232e-63,1.7698211041004015e-58,1.3177142710304164e-56
1.1275223954891233e-17,0.588558144126107,3.7461686495302296e-31,1.7704027829080496e-26,1.2905382507404103e-36,9.239022245774883e-48,0.0,0.0,6.492237811577035e-34,1.3863492469830525e-61,6.088197514828859e-45,1.415054592564053e-51,2.651562155221181e-47,5.671547087464666e-62,2.5359632783245073e-41,4.6251075113874264e-48,7.125101272839198e-61,1.275277349998946e-31,3.6604687536040775e-56,5.251485107366392e-55,1.3041449877737403e-31,1.1007300525642326e-48,4.622258933069847e-53,1.1356561986699957e-97,7.56715644042556e-68,3.9493686869654087e-50,5.127974130374176e-60,1.793197687609355e-89,9.690637332377388e-132,9.413432612036615e-115,3.520678239906129e-66,5.2754770658863487e-79,1.382529118785505e-63,1.7993167145085837e-91,3.76,0.0,0.6067854461890263,0.9999999999943374,1.7681417499570033e-59,3.964827315720863e-88,3.0425042770011635e-14,2.9386481416600515e-14,1.0385613534111144e-15,2.2718356516489845e-30,5.662689696263471e-12,5.715704192895107e-35,7.929671782236366e-37,4.03553077424976e-64,8.437458286967871e-62,1.2752773499988858e-31,1.2454129345047276e-31,2.4766871035608676e-31,1.2759737835113768e-31,1.2905652074631599e-36,2.535963573696118e-41,4.460887801060052e-46,3.606849153869954e-49,5.901968242036914e-64,1.889020632670365e-62,2.832001899847131e-57,2.1086492314072224e-55
2.2551059663021838e-17,0.5885581441261103,1.4985284310622333e-30,3.5409016331029403e-26,5.162367832998463e-36,7.391568902119274e-47,0.0,0.0,2.5970008003667196e-33,2.2183199814830697e-60,4.870789402878134e-44,1.132097508184281e-50,2.121350479927522e-46,4.53745305432314e-61,1.0144265855557277e-40,3.7002617512208056e-47,1.140100064558286e-59,5.101317108516243e-31,2.928574679503557e-55,4.201387531903813e-54,5.216792224526368e-31,8.8062584665331e-48,3.697994051367772e-52,7.2689384131686006e-96,1.210833295782846e-66,3.159694955177232e-49,8.20535478898005e-59,1.1477971788562975e-87,4.962633090733125e-129,1.2050879536834625e-112,5.633494720033947e-65,1.688280983431524e-77,2.212209413070115e-62,1.1516805479939202e-89,3.76,0.0,0.6067854461889959,0.9999999999886744,2.8291740331861996e-58,2.537749051801621e-86,6.085173629379314e-14,5.877455724535898e-14,2.077179048434153e-15,9.08771235611222e-30,1.1325686397520939e-11,2.286374728198523e-34,3.171997834870886e-36,6.457323286106564e-63,1.3500926201949272e-60,5.10131710851576e-31,4.981854364653891e-31,9.90715150957326e-31,5.104102806896133e-31,5.162583497017748e-36,1.0144268218690291e-40,3.56888001678876e-45,2.885671911156012e-48,9.443652536505515e-63,3.0225868347096675e-61,4.531433569235255e-56,3.374083838220906e-54
4.510273107928305e-17,0.5885581441261168,5.994235642890532e-30,7.081899368225576e-26,2.0649929631977942e-35,5.9133958275742524e-46,0.0,0.0,1.0388214574494839e-32,3.549440931111372e-59,3.896724281962878e-43,9.05699650895954e-50,1.6971207497809858e-45,3.630048581041571e-60,4.0577888734982555e-40,2.9602797651079844e-46,1.824229645417412e-58,2.0405684664603385e-30,2.3430124059680062e-54,3.3611898058362314e-53,2.0867593455723126e-30,7.045173995696058e-47,2.95847461596144e-51,4.6523586363731797e-94,1.9374045746204595e-65,2.5278359808197683e-48,1.312904457199599e-57,7.346418591581096e-86,2.5411363487331387e-126,1.5426225939415982e-110,9.013919686873683e-64,5.402711971161624e-76,3.5396703254005094e-61,7.371142985316883e-88,3.76,0.0,0.606785446188935,0.9999999999773485,4.5267966450405724e-57,1.6242446256028445e-84,1.2170512334135005e-13,1.1755070892388452e-13,4.1544144174654944e-15,3.635158874267085e-29,2.2651679103258523e-11,9.145685124644938e-34,1.2688249902442794e-35,1.0332108168797827e-61,2.1602305023426174e-59,2.0405684664599524e-30,1.9927822199646592e-30,3.962941206480698e-30,2.041682649259003e-30,2.0651654985075192e-35,4.057790764125895e-40,2.8551719254933424e-44,2.308626492255649e-47,1.5110248680981718e-61,4.836262077861396e-60,7.250478167259806e-55,5.398729978556756e-53
9.020607391180547e-17,0.5885581441261304,2.397718620277856e-29,1.4163894977402768e-25,8.260086419480486e-35,4.730773361050093e-45,0.0,0.0,4.155328119014705e-32,5.6792086817080666e-58,3.1174168511835666e-42,7.245685547653652e-49,1.3577128463163778e-44,2.9040732907932937e-59,1.6231320408843875e-39,2.3682520627705266e-45,2.918830910018926e-57,8.16235775757347e-30,1.874587454386255e-53,2.6889837568658934e-52,8.347122297126057e-30,5.636206085792032e-46,2.3668188205588706e-50,2.9775885395748195e-92,3.099907325608768e-64,2.0223008110090755e-47,2.1006852679887564e-56,6.21280735826019e-84,3.972789728702882e-123,2.8451031995462167e-108,1.442253579136093e-62,1.7289066832600916e-74,5.663596737649945e-60,4.717668735388159e-86,3.76,0.0,0.6067854461888134,0.9999999999546965,7.242970472254826e-56,1.0395466073038033e-82,2.434118974364395e-13,2.3510301236497004e-13,8.308885071469233e-15,1.454078320684799e-28,4.530366172762464e-11,3.658311377725318e-33,5.075351925557306e-35,1.6531723112161257e-60,3.456443841950363e-58,8.16235775757038e-30,7.971209413221407e-30,1.5851925889861744e-29,8.166813580304187e-30,8.261466718324035e-35,1.6231335535264763e-39,2.2841647053753367e-43,1.846955860985769e-46,2.417672771283989e-60,7.738118097638314e-59,1.160091272199173e-53,8.638123731986255e-52
1.8041275957685033e-16,0.5885581441261571,9.590923040981572e-29,2.8327886751488818e-25,3.304075805959744e-34,3.784642034009404e-44,0.0,0.0,1.662139716874803e-31,9.086816511406939e-57,2.493948965299094e-41,5.79658659366905e-48,1.086176935598111e-43,2.3232723558573184e-58,6.492561027319077e-39,1.894613118015075e-44,4.670205333713177e-56,3.264960397357887e-29,1.4999273183953697e-52,2.151199769889578e-51,3.3388659039393436e-29,4.5089916234731375e-45,1.893482511553349e-49,1.905684908081717e-90,4.959907444674044e-63,1.6178534901643193e-46,3.3611268829999175e-55,3.991466765383776e-82,2.0368061236905133e-120,3.650517607466426e-106,2.3076273927975398e-61,5.5325942694411846e-73,9.061905363647105e-59,3.0193688333126707e-84,3.76,0.0,0.60678544618857,0.9999999999093925,1.1588833540689294e-54,6.653229912230496e-81,4.868254456265209e-13,4.70207619583279e-13,1.6617826043240946e-14,5.816342700681707e-28,9.06076158279234e-11,1.4633320848294458e-32,2.0301513644078813e-34,2.645115639381385e-59,5.530399581647927e-57,3.264960397355415e-29,3.188499539581211e-29,6.340802454636691e-29,3.266741972471344e-29,3.3051800515622806e-34,6.492573130479455e-39,1.8273426300333136e-42,1.477617085993851e-45,3.868304791455136e-59,1.2381068799971234e-57,1.8561578757657402e-52,1.3821120113323547e-50
3.6082613090694e-16,0.5885581441262104,3.8363787951161877e-28,5.665587252261962e-25,1.3216532298275812e-33,3.027724029981817e-43,0.0,0.0,6.648575897178211e-31,1.4538972727990658e-55,1.9951661884126607e-40,4.637289047833491e-47,8.689444677535321e-43,1.8586232983879564e-57,2.597030888230151e-38,1.5156953494662395e-43,7.472469541819075e-55,1.3059880305425827e-28,1.2003429454289595e-51,1.7209649207800627e-50,1.3355497602378629e-28,3.607203999096956e-44,1.5148158775647237e-48,1.2196512826507692e-88,7.93592199554261e-62,1.2942879778685654e-45,5.377827199712264e-54,2.5548460116139885e-80,1.0428867546516901e-117,4.6728567854825987e-104,3.692222855091737e-60,1.7704646874380217e-71,1.449933291829761e-57,1.932437194009858e-82,3.76,0.0,0.6067854461880832,0.9999999998187846,1.8542211452909916e-53,4.2581546717673954e-79,9.736525420062928e-13,9.40416835364448e-13,3.323570664184145e-14,2.326542864558293e-27,1.8121547943480907e-10,5.85334395189106e-32,8.120628255830108e-34,4.232255177661209e-58,8.848804969935303e-56,1.3059880305406047e-28,1.2754027047366873e-28,2.5363273102159725e-28,1.3067000519635382e-28,1.3225366288908623e-33,2.5970405739099385e-38,1.4618784498034368e-41,1.1821634760808602e-44,6.189316654680972e-58,1.9809776594127368e-56,2.969862162435386e-51,2.211388178841862e-49
