Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71),CH2CFO(79),CH2F(46),C2H4F(63),C2H4F(62),C1OO1(734),CH2O2(778),CHO2(166),C2H2O(133),S(338),S(376),CH2F2(41),CH3O2(183),C2H2O(373),S(1537),CHF2(81),C2H3F2(64),CH2CF2(57),CH3F(39),C2H3F2(65),S(3087),CF2CH(73),C2HF2(72),C2HF(58),C2HF(4088),S(3189),S(4414),CF2(43),CF2O(49),S(4555),S(5169),C2F(4087),F(37),C2H3F2(66),S(4570)
0.0,0.6714694318035158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.8977947314380383,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.843363898084828e-22,0.6714694318035158,7.764075244549657e-28,2.0922856295504242e-29,1.1429371767789666e-41,1.5008947028273724e-42,0.0,0.0,1.8561823015138027e-22,3.692573803121324e-40,8.699053159946425e-54,1.0041641882893078e-53,2.4144175245830853e-51,2.096936473830647e-70,1.319666782618548e-46,5.382000021998905e-39,6.175089150831722e-25,7.471455894774022e-39,5.333516611548487e-66,1.0086942682207691e-64,2.438916215737488e-38,5.738060218959599e-59,1.0733278565364074e-25,1.2697802825435979e-59,1.678711161717498e-43,2.6590783708696844e-58,1.1057243547537368e-36,3.158602423794028e-45,1.2144956316357573e-63,1.033304472478109e-64,2.182664460284346e-59,4.193479944373612e-64,1.111083697628548e-51,2.914686363293787e-64,3.76,0.0,0.8977947314380383,0.9999999999999996,1.524908351489368e-54,1.6690242080567724e-22,1.2346475778214272e-17,1.1862472966691395e-17,4.840028115228765e-19,2.557219861508923e-37,4.606588889966021e-16,8.826666956456848e-42,2.3655231756794416e-43,7.801878921787676e-45,4.930834303866067e-57,7.46996239436458e-39,7.223490791828437e-39,2.5824525055829526e-38,1.401162104648732e-38,2.4968047205729626e-43,1.253383730739022e-47,1.9924478478353056e-27,2.1400756985767996e-40,4.465886283317262e-59,1.4340782268611376e-57,2.399099751532467e-52,8.877195844520572e-69,1.363217599452514e-44,2.5598876384719404e-53,1.073327856536461e-25,3.249998606569942e-42,1.6897292034510622e-64,9.153114371506052e-61,6.17508915083161e-25,3.3976949018361295e-23,1.2516272620951837e-36,1.4332739309911727e-45,1.5164205754054075e-22,2.7826778432864846e-38,5.868519292286809e-60,1.6612479224826264e-75,3.2471550882152478e-55,5.3348706757610187e-76,1.9499152727619313e-74,2.180276399841314e-90,1.6690242080567724e-22,9.225387367576588e-42,1.247255495129846e-94,1.2662348465515463e-94,3.0003914577085143e-81,1.99244784893815e-27,5.921497548663777e-38,1.5013459693670991e-66
1.356141891463752e-21,0.6714694318035158,2.1739410722021965e-27,5.858399762744275e-29,6.903340547965059e-41,9.065404018079524e-42,0.0,0.0,5.197310444238649e-22,2.2303145770852804e-39,1.0327515915138215e-52,1.1921437243616861e-52,2.8663964851843165e-50,2.4894829817314727e-69,7.97078736701537e-46,3.2507280132870257e-38,1.7290249622329178e-24,4.512759360454194e-38,6.3319509275022945e-65,1.1975218352317593e-63,1.473105394305525e-37,6.812225091949263e-58,3.0053179983017665e-25,1.507483151435752e-58,1.0139415416773634e-42,3.1612623833606704e-57,6.678575102710758e-36,1.9077959931320614e-44,1.83534579852803e-62,1.5613017542055107e-63,2.591259247249558e-58,6.337187473715681e-63,1.3190785658242837e-50,3.460781113402062e-63,3.76,0.0,0.8977947314380383,0.9999999999999988,1.8103711949466687e-53,4.673267782558963e-22,3.4570132178999963e-17,3.321492430673635e-17,1.35520787226362e-18,1.5445607963508664e-36,1.2898448891885422e-15,5.331306841703298e-41,1.4287759981122928e-42,4.712334868758868e-44,5.853886485544543e-56,4.5118572862054807e-38,4.3629884382585555e-38,1.5598013133716753e-37,8.463019112076065e-38,1.5080700523546016e-42,7.570437733710313e-47,5.578853973948025e-27,1.292605721940401e-39,5.3019001955731206e-58,1.7025376709290323e-56,2.848211225016619e-51,1.13713050325314e-67,8.233834324310805e-44,1.5461721336539525e-52,3.005317998302092e-25,1.9629991583682572e-41,2.2313755915186458e-63,1.0866577410395153e-59,1.729024962232851e-24,9.513545725140955e-23,7.559828663054827e-36,8.656974543199141e-45,4.245977611135117e-22,1.6807374173449493e-37,6.967112490483096e-59,3.7161482444854714e-74,3.855022520728195e-54,1.1933892306847548e-74,4.713908770512678e-73,9.705477446884087e-89,4.673267782558963e-22,5.572133970016257e-41,5.552144709433631e-93,5.63663109252685e-93,6.711755675234073e-80,5.578853980609207e-27,3.5765845193928426e-37,1.7823979348325731e-65
3.0997528947742902e-21,0.6714694318035158,4.96900818260983e-27,1.3390628029144317e-28,3.3236613104033805e-40,4.36460181532529e-41,0.0,0.0,1.1879566729688348e-21,1.0738004619476817e-38,1.0139616368432964e-51,1.1704537779463367e-51,2.8142450666518e-49,2.44418915389616e-68,3.8375910038537474e-45,1.5650856063968098e-37,3.952057056532553e-24,2.1726993742162177e-37,6.216746981850164e-64,1.1757340390383191e-62,7.0923683553658426e-37,6.688282991220624e-57,6.869298281831785e-25,1.4800558973327952e-57,4.881692058274402e-42,3.105676212745594e-56,3.2154464236211464e-35,9.185217785800056e-44,1.9743812584378547e-61,1.6794987051684892e-62,2.544113694907353e-57,6.817258715814263e-62,1.2950791579548127e-49,3.398801360044232e-62,3.76,0.0,0.8977947314380383,0.9999999999999971,1.7774331745849817e-52,1.0681754931563344e-21,7.901744498057135e-17,7.591982698682799e-17,3.0976179937433697e-18,7.436395357260098e-36,2.948216889564647e-15,2.5667947509425964e-40,6.87894139490389e-42,2.268786390454521e-43,5.7473804645699984e-55,2.172265064295037e-37,2.100591122254974e-37,7.5097718862288025e-37,4.074579400315096e-37,7.260708144353639e-42,3.644839889058945e-46,1.2751666226210136e-26,6.223340131461542e-39,5.205437051893078e-57,1.6715615812277588e-55,2.796390670377791e-50,1.2836058972148162e-66,3.964236814634039e-43,7.444153252929906e-52,6.8692982818333545e-25,9.450995947905569e-41,2.2895156548219555e-62,1.0668870199910547e-58,3.95205705653223e-24,2.174524737174976e-22,3.639732078172668e-35,4.1679605913406685e-44,9.705091682594431e-22,8.092027168275776e-37,6.840355156175223e-58,7.342485687589716e-73,3.7848839708207525e-53,2.3579360165468588e-73,9.625140186162923e-72,3.9714629926262424e-87,1.0681754931563346e-21,2.6827426464912664e-40,2.2719271013594722e-91,2.3064987693290873e-91,1.3261298186691832e-78,1.2751666258280856e-26,1.721971487151306e-36,1.7499688618941432e-64
6.5869749013953666e-21,0.6714694318035158,1.0559142463077783e-26,2.845508456199377e-28,1.4515302148504355e-39,1.9061362927441638e-40,0.0,0.0,2.5244079300587772e-21,4.6895687299640884e-38,8.968375851048021e-51,1.0352531117190157e-50,2.4891678911394636e-48,2.1618576270586747e-67,1.6759768139245328e-44,6.835140027933731e-37,8.398121245132396e-24,9.488748986527198e-37,5.498642326632244e-63,1.0399234427652826e-61,3.097423593987877e-36,5.915710563341349e-56,1.4597258848889033e-24,1.3090926800911e-56,2.1319631753811378e-41,2.747701976219768e-55,1.4042699305344345e-34,4.0114270802056665e-43,1.814796532441187e-60,1.5437202180151379e-61,2.2502397519745534e-56,6.266238318041034e-61,1.1454828489049753e-48,3.007955216578242e-61,3.76,0.0,0.8977947314380382,0.9999999999999938,1.5721195141530157e-51,2.2698729229572107e-21,1.6791207058371407e-16,1.6132963234701817e-16,6.58243823669592e-18,3.247669224108221e-35,6.264960890285756e-15,1.1209867034750852e-39,3.004214433141631e-41,9.908386230656543e-43,5.083492933879546e-54,9.486852240985344e-37,9.173833305531827e-37,3.2797146820837114e-36,1.779475872900359e-36,3.170942012619131e-41,1.5917973381107262e-45,2.709729073088104e-26,2.717896137192749e-38,4.604150122771565e-56,1.4784772887614328e-54,2.4733758798221615e-49,1.4304583254161314e-65,1.7312863879115524e-42,3.2510573011213124e-51,1.4597258848895884e-24,4.127498230344011e-40,2.0642638056844012e-61,9.436494978261657e-58,8.398121245130988e-24,4.6208650664964015e-22,1.5895666228607522e-34,1.8202578923775745e-43,2.0623319825512653e-21,3.534000860972468e-36,6.050217782528212e-57,1.3065563392674258e-71,3.347687009740215e-52,4.1958211574027793e-72,1.7381760855846012e-70,1.439050864067449e-85,2.269872922957212e-21,1.1716241956822211e-39,8.232277788755102e-90,8.35754746579816e-90,2.3597771574750283e-77,2.709729087094231e-26,7.520301886801747e-36,1.547827640578393e-63
1.356141891463752e-20,0.6714694318035159,2.173941126262443e-26,5.8583997627890155e-28,6.059852914352397e-39,7.957743895771332e-40,0.0,0.0,5.197310444238673e-21,1.9578026304149328e-37,7.538460288302534e-50,8.701926192352782e-50,2.0922955961147538e-47,1.8171715972348473e-66,6.996873281434335e-44,2.8535364116594274e-36,1.7290249622334382e-23,3.9613659155567714e-36,4.621940233298338e-62,8.741183137325487e-61,1.2931133775851568e-35,4.972511176791894e-55,3.005317998299237e-24,1.1003712763676753e-55,8.900526579425417e-41,2.3099130358743283e-54,5.86255052887901e-34,1.6746928068841186e-42,1.5525966415365039e-59,1.3206742954979643e-60,1.8914620986506715e-55,5.360904047977096e-60,9.628473550218285e-48,2.531318149756621e-60,3.76,0.0,0.897794731438038,0.9999999999999871,1.3214611789785343e-50,4.673267782558962e-21,3.4570132178999953e-16,3.3214924306742634e-16,1.3552078722573221e-17,1.3558379705647303e-34,1.2898448891603565e-14,4.679898820358819e-39,1.254200387770991e-40,4.136556204319397e-42,4.272982114319392e-53,3.960574061620006e-36,3.829894817746169e-36,1.3692163184541057e-35,7.428961478815802e-36,1.3238058785900029e-40,6.645440541027684e-45,5.578853974080959e-26,1.1346681353856111e-37,3.870065599165001e-55,1.2427492461401975e-53,2.0790214590498042e-48,1.698251034436721e-64,7.227780041758369e-42,1.3572524261535756e-50,3.0053179983020963e-24,1.723149261203549e-39,1.7506855542353524e-60,7.931942801635834e-57,1.7290249622328493e-23,9.513545725137908e-22,6.63612774362748e-34,7.599218382283566e-43,4.245977611134747e-21,1.4753757925092633e-35,5.08557303985661e-56,2.203698429982645e-70,2.813932644954714e-51,7.076865656058062e-71,2.952387489366949e-69,4.897603892136361e-84,4.673267782558968e-21,4.891300382289053e-39,2.8017380584662755e-88,2.844371802190438e-88,3.980109088353749e-76,5.578854032553781e-26,3.139578000300407e-35,1.3010423955174513e-62
2.7510306941121826e-20,0.6714694318035159,4.40999498161607e-26,1.1884182376047279e-27,2.475647644989841e-38,3.250998115681111e-39,0.0,0.0,1.0543115472598509e-20,7.998262560512972e-37,6.180485199140307e-49,7.134364843285957e-49,1.7153903408627956e-46,1.489827064293875e-65,2.858451037815285e-43,1.1657627327613322e-35,3.507450637674753e-23,1.6183472327565104e-35,3.78934591424489e-61,7.166550056026402e-60,5.282790079945688e-35,4.076765089209674e-54,6.096502225115439e-24,9.021508539984411e-55,3.6361555247259258e-40,1.8939272943926232e-53,2.3950431813493598e-33,6.841674449177656e-42,1.2837169274984096e-58,1.09195480436949e-59,1.5507349058000827e-54,4.4325078102566734e-59,7.894004344303905e-47,2.0801661947689555e-59,3.76,0.0,0.8977947314380377,0.9999999999999739,1.0834137138863176e-49,9.480057501762464e-21,7.012798242025704e-16,6.737884645083539e-16,2.749135969421663e-17,5.539040508760972e-34,2.616542489374156e-14,1.911891369474739e-38,5.123817819666252e-40,1.6899181819643725e-41,3.503248899969871e-52,1.6180237345771624e-35,1.5646369994043972e-35,5.5936954251423e-35,3.034973165126435e-35,5.4081790302335435e-40,2.7148792966797143e-44,1.1317103776301363e-25,4.635489566146915e-37,3.17291359790653e-54,1.01888091572733e-52,1.704507401286552e-47,2.2053122671751808e-63,2.952784128061642e-41,5.5448190224317985e-50,6.09650222512712e-24,7.039626981776159e-39,1.4415047421732138e-59,6.503086233290871e-56,3.5074506376723477e-23,1.9298907042415527e-21,2.7110747147876486e-33,3.104528665626383e-42,8.61326886830106e-21,6.027391515661836e-35,4.1694602108164895e-55,3.619581443179286e-69,2.3070319929735318e-50,1.162377309052395e-69,4.866045498022351e-68,1.6159596923799043e-82,9.480057501762486e-21,1.998255805366513e-38,9.244307769228927e-87,9.384977396294846e-87,6.537341129113387e-75,1.1317104015181927e-25,1.2826200550298125e-34,1.0666731615153559e-61
5.540808299409043e-20,0.6714694318035159,8.882103074100512e-26,2.393574760287977e-27,1.0006963613927912e-37,1.314105481593913e-38,0.0,0.0,2.1234725529318355e-20,3.2330256081753176e-36,5.005117154370552e-48,5.777593625137748e-48,1.3891675725164343e-45,1.2065005830356743e-64,1.155431612181693e-42,4.71219935523051e-35,7.064301988561058e-23,6.541618266784516e-35,3.068710672256849e-60,5.80365804073805e-59,2.135388214864472e-34,3.301470066521784e-53,1.2278870678729982e-23,7.305851514082153e-54,1.4697922002189036e-39,1.533799818116113e-52,9.681147473383011e-33,2.76552058353325e-41,1.043897286011838e-57,8.879578346981384e-59,1.2558253322338387e-53,3.6044558479508696e-58,6.392769383845185e-46,1.69240961686364e-58,3.76,0.0,0.897794731438037,0.9999999999999474,8.77376514962461e-49,1.909363694016946e-20,1.4124368290277113e-15,1.357066907390653e-15,5.5369921637058667e-17,2.238968735253565e-33,5.269937689602707e-14,7.728170600707103e-38,2.0711290855985476e-39,6.830919486126776e-41,2.8370217869684123e-51,6.540310635350977e-35,6.324512915237778e-35,2.2610611263165208e-34,1.226784678378856e-34,2.186072489124621e-39,1.0973976191332926e-43,2.2793603381680966e-25,1.873738997738855e-36,2.569507695242564e-53,8.251161818190136e-52,1.3803542858546137e-46,3.1026349512410863e-62,1.1935626722188892e-40,2.241304503730732e-49,1.2278870678777202e-23,2.8455297799862545e-38,1.1698359817965006e-58,5.266368316195255e-55,7.064301988551337e-23,3.886962967694923e-21,1.0958597460720887e-32,1.2549001238483648e-41,1.734785138263108e-20,2.4363680203252237e-34,3.376537049227988e-54,5.867497621358411e-68,1.868294321737618e-49,1.8842637081968085e-68,7.901542434181867e-67,5.25056927887774e-81,1.9093636940169556e-20,8.077269458906566e-38,3.003656502452145e-85,3.0493628170261907e-85,1.0597311683358626e-73,2.279360434727439e-25,5.184555335729604e-34,8.638195815635987e-61
1.1120363510002765e-19,0.671469431803516,1.7826320786178156e-25,4.803887805780857e-27,4.0237560656815694e-37,5.283960861710248e-38,0.0,0.0,4.261794564275873e-20,1.2999853776841137e-35,4.028553721473727e-47,4.650309995469169e-47,1.1181229171890198e-44,9.710966323982447e-64,4.6459396948278966e-42,1.894754635719992e-34,1.417800469034836e-22,2.630355934411586e-34,2.4699654906173175e-59,4.6712888980409106e-58,8.586302094216905e-34,2.657310330952662e-52,2.464360758588762e-23,5.880384893248298e-53,5.909969793268634e-39,1.2345550403634982e-51,3.8927468197417724e-32,1.1120087960032968e-40,8.419409789469636e-57,7.16169495923006e-58,1.0107974817155751e-52,2.907146983294202e-57,5.1454569583957356e-45,1.3748145251492066e-57,3.76,0.0,0.8977947314380356,0.9999999999998943,7.061889493692186e-48,3.832079581698342e-20,2.834750838677991e-15,2.7236237931570276e-15,1.1112704552096365e-16,9.002794810824175e-33,1.0576728089263609e-13,3.1074634089440104e-37,8.327918962355693e-39,2.746682681860811e-40,2.2834819493270176e-50,2.629830141507274e-34,2.543058826767253e-34,9.091627343667405e-34,4.932847235720531e-34,8.790101780238293e-39,4.412587563083744e-43,4.5746602596195325e-25,7.534222099878393e-36,2.0681633357598115e-52,6.641252865995676e-51,1.1110292172906997e-45,4.6168727955786406e-61,4.79926394869849e-40,9.01218684006365e-49,2.4643607586077502e-23,1.1441750094383105e-37,9.42571631341619e-58,4.238832158191993e-54,1.4178004690309275e-22,7.801107494593045e-21,4.406403841289883e-32,5.045898205959421e-41,3.4817016411280705e-20,9.796528654334278e-34,2.717730797243479e-53,9.449424133156455e-67,1.5037658080412608e-48,3.0345486133865826e-67,1.273600299688076e-65,1.6930253726466338e-79,3.832079581698381e-20,3.2478345243044998e-37,9.685172024553214e-84,9.832550233932836e-84,1.7066643768850195e-72,4.574660647880401e-25,2.084686897990894e-33,6.952771498462354e-60
2.2279473931190207e-19,0.6714694318035165,3.5714762318768475e-25,9.624513897272158e-27,1.6137061562420734e-36,2.1191050508959486e-37,0.0,0.0,8.538438586964224e-20,5.213522797184492e-35,3.2326606524693298e-46,3.7315809157792314e-46,8.972232240909819e-44,7.792438899580599e-63,1.8632296123365402e-41,7.598813538860267e-34,2.840541009398175e-22,1.0548903755803963e-33,1.9819920257194387e-58,3.748415153205397e-57,3.443491171554377e-33,2.1323241890488176e-51,4.937308139991712e-23,4.718638543123586e-52,2.3701622169585144e-38,9.906607559327709e-51,1.5611655820155252e-31,4.459693797924045e-40,6.762927810082732e-56,5.752660220209371e-57,8.111013212734126e-52,2.3352151215406897e-56,4.1289051594081103e-44,1.1234492377039902e-56,3.76,0.0,0.8977947314380327,0.9999999999997882,5.666721577955682e-47,7.677511357061123e-20,5.679378857978542e-15,5.456737564696885e-15,2.2264129328165724e-16,3.6105233788130464e-32,2.119030888540062e-13,1.246231811787766e-36,3.339867979769776e-38,1.1015426037832795e-39,1.8323504554362774e-49,1.054679509064141e-33,1.0198803304339562e-33,3.6461491976455936e-33,1.978292368436314e-33,3.5252243204677434e-38,1.7696449720824536e-42,9.16526010402447e-25,3.0215600383751117e-35,1.6595708293904077e-51,5.329187173243082e-50,8.915309765810887e-45,7.106439415636882e-60,1.9247202485169452e-39,3.614290008160221e-48,4.9373081400678636e-23,4.588653532632002e-37,7.567484412945662e-57,3.4013970962034174e-53,2.8405410093824996e-22,1.562939654835482e-20,1.767165021583224e-31,2.023630864286089e-40,6.975534646853825e-20,3.928846150813124e-33,2.180807819246007e-52,1.51684185444874e-65,1.2066773570491957e-47,4.871122575465064e-66,2.045276940650215e-64,5.438329362571584e-78,7.67751135706128e-20,1.3025269071954696e-36,3.111067102230228e-82,3.1584078714790264e-82,2.739574293954737e-71,9.165261661124202e-25,8.360526859921673e-33,5.57916125724075e-59
4.45976947735651e-19,0.671469431803517,7.149166981768922e-25,1.9265766082276892e-26,6.463241727780113e-36,8.487476716558544e-37,0.0,0.0,1.7091726632342033e-19,2.0881284779254936e-34,2.59006232734864e-45,2.9898056874337623e-45,7.188704045934977e-43,6.243433689994436e-62,7.462637003231359e-41,3.0434889355598167e-33,5.686022090148365e-22,4.2250637840020976e-33,1.5880059310178598e-57,3.0032935457356643e-56,1.3791925841005751e-32,1.708454163336248e-50,9.883202902683302e-23,3.780652916442406e-51,9.49301156829952e-38,7.937378270085823e-50,6.2528053240364955e-31,1.7862366603555176e-39,5.421323722383885e-55,4.611468175282706e-56,6.498680811787022e-51,1.8720225879195426e-55,3.3081485663507356e-43,9.325712586394729e-56,3.76,0.0,0.897794731438027,0.9999999999995759,4.540273063128303e-46,1.5368374907786637e-19,1.1368634896579606e-14,1.0922965107805028e-14,4.456697887745787e-16,1.4460925903862224e-31,4.241747046493548e-13,4.9914275585931095e-36,1.3376892582652968e-37,4.411916030618447e-39,1.4681101398761427e-48,4.224219217702992e-33,4.0848409878050935e-33,1.460361500271924e-32,7.923488191366346e-33,1.4119287635494093e-37,7.087810319375091e-42,1.834645979884259e-24,1.210200052701016e-34,1.3296761862664238e-50,4.269834793024467e-49,7.143096795853457e-44,1.1144779994898894e-58,7.708926311531978e-39,1.4476012112370206e-47,9.883202902988301e-23,1.8378548420296613e-36,6.064772075100015e-56,2.7252588055213784e-52,5.686022090085581e-22,3.1285974655740504e-20,7.077877570120146e-31,8.105078662754893e-40,1.396320065828866e-19,1.5735877355736044e-32,1.7473000713526827e-51,2.430902063909659e-64,9.668102837576323e-47,7.806497332612123e-65,3.2784697507253434e-63,1.7435770374275202e-76,1.5368374907787265e-19,5.216901573053857e-36,9.97435940215982e-81,1.0126138139609873e-80,4.3904621751845837e-70,1.8346466035363323e-24,3.348571571602696e-32,4.470118252456177e-58
