Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71),CH2CFO(79),CH2F(46),C2H4F(63),C2H4F(62),C1OO1(734),CH2O2(778),CHO2(166),C2H2O(133),S(338),S(376),CH2F2(41),CH3O2(183),C2H2O(373),S(1537),CHF2(81),C2H3F2(64),CH2CF2(57),CH3F(39)
0.0,0.4859394508649622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5263441087308794,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.289727770641971e-21,0.4859394508649622,1.361132714740095e-32,1.4145080652730982e-33,2.6206011715325658e-45,2.183035929914177e-48,0.0,0.0,8.97768944177694e-25,1.300563672251034e-44,1.9682309023451806e-55,2.2891583655280627e-55,1.8280513298759456e-61,8.463681669354243e-80,1.7809447823974327e-53,1.1108471698605094e-41,4.948296379000916e-28,2.4899061303637847e-41,9.236966398238386e-73,8.481642279380742e-72,1.4514757424727016e-42,2.803358904918608e-64,1.8583617297302198e-29,4.082169799697278e-63,9.024544606609783e-47,6.115483001807545e-66,9.02049257472959e-64,1.4249692036752592e-69,2.333613885974938e-68,2.6655519956547708e-70,2.2366285310264864e-62,2.8505768700530303e-91,8.66529445062285e-78,3.6077452437360077e-87,3.76,0.0,0.5263441087308794,0.9999999999999997,3.2358275308933248e-56,1.3178893558352372e-45,9.011501616654181e-20,8.835411224833739e-20,1.7609039182044188e-21,8.399665853781276e-41,4.153311739631897e-16,9.762390286239644e-46,2.437574321815834e-48,3.033336707840642e-61,4.038886654096123e-72,2.4896472505478425e-41,2.4752303384787047e-41,8.395152305701346e-42,3.7613582611628223e-42,1.244868227675875e-47,1.7527744710493127e-53,5.823478093751467e-44,1.0375084784832855e-45,1.0992993455794354e-60,4.58414486673947e-59,5.467551987341779e-54,2.9651177215331666e-74,2.679110886175712e-49,1.3813499770744366e-68,1.858361729731331e-29,7.597665976028301e-44,2.7411673272695983e-70,3.1867031750294654e-64,4.948296379000917e-28,8.977689577889864e-25,1.7383512368252067e-38,3.8234566835005983e-50
1.2011237757797518e-20,0.4859394508649622,3.8111723785879785e-32,3.960622582768191e-33,1.5828431088454702e-44,1.3185539926787636e-47,0.0,0.0,2.51375304369759e-24,7.855404580396366e-44,2.3366837272619605e-54,2.717688812027261e-54,2.17026253885583e-60,1.0048082877843552e-78,1.0756906485668898e-52,6.709516905950078e-41,1.385522986120256e-27,1.5039033027602894e-40,1.0966128260211832e-71,1.0069405714079903e-70,8.76691348453529e-42,3.3281476919191066e-63,5.203412843241018e-29,4.846351986200439e-62,5.4508249423921e-46,9.241717912339446e-65,1.3631564325561654e-62,2.153413460666767e-68,3.526557304485326e-67,4.0281821758334864e-69,2.655325392034276e-61,8.039089333062227e-90,2.437915656563338e-76,1.0174418826574689e-85,3.76,0.0,0.5263441087308794,0.9999999999999988,3.841574444673657e-55,7.960051709244831e-45,2.5232204526631703e-19,2.473915142953505e-19,4.930530970966527e-21,5.073398175678117e-40,1.1629272870809676e-15,5.896483732914828e-45,1.4722948903882614e-47,3.601264262264385e-60,9.035036612272946e-71,1.5037469393514545e-40,1.4950391244283864e-40,5.07067199263815e-41,2.2718603897400048e-41,7.51900454385918e-47,1.0586757807272413e-52,3.5173807686258874e-43,6.266551210039277e-45,1.3050881832382681e-59,5.442296785769646e-58,6.49107771931809e-53,9.322804521190005e-73,1.6181840219356837e-48,1.639938697581222e-67,5.203412843247727e-29,4.588990249521042e-43,3.443917814585441e-69,3.7832562503834585e-63,1.3855229861202566e-27,2.513753081809104e-24,1.049964147042404e-37,2.3093678368435602e-49
2.7454257732108615e-20,0.4859394508649622,8.711254815546595e-32,9.052851617772447e-33,7.620708225413688e-44,6.348272849349442e-47,0.0,0.0,5.745721242737572e-24,3.782039158906191e-43,2.29416993976642e-53,2.668242992323782e-53,2.1307766301868595e-59,9.86526735375651e-78,5.178987427194341e-52,3.2303435699432624e-40,3.1669096825605842e-27,7.2406470274041495e-40,1.0766613465209353e-70,9.886202240843364e-70,4.220891459110874e-41,3.2675951395723092e-62,1.1893515070248218e-28,4.758177118526621e-61,2.6243375716018125e-45,9.941818406404483e-64,1.4664144613101665e-61,2.3165439352803402e-67,3.7937094221517335e-66,4.3333345682960295e-68,2.6070142157633277e-60,1.7486806417155548e-88,5.298518044424395e-75,2.2131583318870803e-84,3.76,0.0,0.5263441087308794,0.9999999999999973,3.771680570000266e-54,3.8324222467688677e-44,5.767361034658675e-19,5.654663183894e-19,1.126978507646736e-20,2.442622830270934e-39,2.658119513252671e-15,2.8389030952768743e-44,7.088466128008176e-47,3.5357806968216374e-59,1.7851911023505108e-69,7.239894204899302e-40,7.19796982410479e-40,2.4413102904897563e-40,1.0938029823426377e-40,3.620077479124748e-46,5.097068165013233e-52,1.693467429662928e-42,3.0170746554297426e-44,1.2813433177231147e-58,5.343279256598829e-57,6.3729785962779626e-52,2.079866403061709e-71,7.790870157279331e-48,1.6101015407249956e-66,1.1893515070280522e-28,2.2094012658289524e-42,3.4643422649968044e-68,3.714428167877366e-62,3.1669096825605864e-27,5.74572132984911e-24,5.0551253966873915e-37,1.1118612035755091e-48
5.83402976807308e-20,0.4859394508649622,1.8511432126515222e-31,1.9237309687837235e-32,3.328163507063235e-43,2.7724601416553212e-46,0.0,0.0,1.2209657640818292e-23,1.6517158637590043e-42,2.029167331066659e-52,2.3600307115997844e-52,1.8846477992235872e-58,8.725717253747572e-77,2.2617998736267667e-51,1.4107759057113785e-39,6.729683075441236e-27,3.162180785877458e-39,9.522954283534626e-70,8.744233924344431e-69,1.843374192940599e-40,2.8901508966131683e-61,2.5273719524205026e-28,4.208553776694802e-60,1.1461171650391198e-44,9.138243939997125e-63,1.3478849848249e-60,2.1293029822139366e-66,3.4870725575346224e-65,3.98308103606697e-67,2.3058745503446634e-59,3.2417708073824546e-87,9.81925754387747e-74,4.102822558412242e-83,3.76,0.0,0.5263441087308794,0.9999999999999943,3.336008751230887e-53,1.6737194819107496e-43,1.2255642198649684e-18,1.2016159265775928e-18,2.3948293287375495e-20,1.0667575634212725e-38,5.648503965340666e-15,1.2398235663917552e-43,3.0957193888772206e-46,3.1273731115146965e-58,3.1766685126461223e-68,3.161852008511121e-39,3.143542529670287e-39,1.0661843428156022e-39,4.776924991640503e-40,1.5809833446254905e-45,2.22602358154118e-51,7.39581717906438e-42,1.3176357676741326e-43,1.1333336544015966e-57,4.7260699916610645e-56,5.636827396517893e-51,3.895359588755496e-70,3.4024870490648185e-47,1.4241165811412158e-65,2.52737195243461e-28,9.649035789555139e-42,3.0971675355825186e-67,3.2853780941594614e-61,6.729683075441246e-27,1.2209657825928198e-23,2.207706070767693e-36,4.8557899881843967e-48
1.2011237757797519e-19,0.4859394508649622,3.811183649665806e-31,3.960622582819193e-32,1.3894427584417517e-42,1.1574497096383812e-45,0.0,0.0,2.5137530436982765e-23,6.895588590276704e-42,1.7056374082503026e-51,1.9837480186116503e-51,1.5841600339656283e-57,7.334491115592612e-76,9.44256923610943e-51,5.889711694497204e-39,1.3855229861202523e-26,1.3201482306023463e-38,8.004627981978477e-69,7.3500554930241024e-68,7.695724386592675e-40,2.429345973256867e-60,5.203412843188829e-28,3.537543033698867e-59,4.784813550421607e-44,7.817960083817996e-62,1.1531430109792082e-59,1.8216635313574049e-65,2.983263988463713e-64,3.407609684621031e-66,1.9382264989266983e-58,5.571815658344921e-86,1.6874261682216409e-72,7.0517037022177e-82,3.76,0.0,0.5263441087308794,0.9999999999999883,2.804116364997373e-52,6.9874493646384095e-43,2.52322045266317e-18,2.4739151429543526e-18,4.930530970881763e-20,4.4535028355942856e-38,1.1629272868495008e-14,5.176019330116663e-43,1.2924019055798076e-45,2.6287515358090223e-57,5.357928820017399e-67,1.3200109725238527e-38,1.3123671252835048e-38,4.451109752406632e-39,1.994272150035874e-39,6.600297602427576e-45,9.293210275280418e-51,3.0876080853070437e-41,5.500869952921619e-43,9.526352260545207e-57,3.972546594921589e-55,4.738093070759981e-50,6.728264980615875e-69,1.4204791931092718e-46,1.1970557986046757e-64,5.203412843247728e-28,4.0282825004894796e-41,2.61643838460261e-66,2.7615724525364436e-60,1.3855229861202566e-26,2.5137530818082695e-23,9.21673825764437e-36,2.0271967337162636e-47
2.4365653737246397e-19,0.4859394508649622,7.731284422976607e-31,8.034405810980175e-32,5.6763271080189535e-42,4.7285775168933933e-45,0.0,0.0,5.099327602932385e-23,2.8170729366440887e-41,1.3983845975308982e-50,1.6263964835750733e-50,1.2987901070409656e-56,6.013258947707718e-75,3.8575976363271783e-50,2.4061394037172673e-38,2.8106323432725036e-26,5.393236277011389e-38,6.562695851127474e-68,6.026019564820162e-67,3.143954517227612e-39,1.9917246037747475e-59,1.0555494624633347e-27,2.900291508372341e-58,1.954752459967651e-43,6.464040581916619e-61,9.534405612803402e-59,1.5061866361417208e-64,2.4666203563308277e-63,2.8174775839548134e-65,1.589075186528945e-57,9.23500816202506e-85,2.796586599969217e-71,1.168768173894912e-80,3.76,0.0,0.5263441087308794,0.9999999999999764,2.2989840135695287e-51,2.854601060313343e-42,5.118532918259574e-18,5.018513575709369e-18,1.0001934255020538e-19,1.8194012225242423e-37,2.3590810670717107e-14,2.1145727858584085e-42,5.2798834853178954e-45,2.155211717626278e-56,8.800424611592321e-66,5.39267553297418e-38,5.361447920852137e-38,1.8184235699596005e-38,8.14725244773264e-39,2.6964396754056394e-44,3.7965796404828264e-50,1.2613886490189566e-40,2.2472848647366774e-42,7.810279158449877e-56,3.256933709428891e-54,3.884574962372823e-49,1.1179112891445828e-67,5.803184967881698e-46,9.814186708008509e-64,1.0555494624873967e-27,1.6456848410710198e-40,2.1503202995758125e-65,2.264127239572796e-59,2.81063234327252e-26,5.0993276802376953e-23,3.7653383130104355e-35,8.281760115779418e-47
4.907448569614415e-19,0.4859394508649622,1.5571565566727147e-30,1.6181972267662317e-31,2.294462234985573e-41,1.9113810154994434e-44,0.0,0.0,1.0270476721405452e-22,1.1387059221132487e-40,1.1324481026100078e-49,1.3170980475284657e-49,1.0517939025396051e-55,4.869692999887645e-74,1.5593026422258491e-49,9.72600017805144e-38,5.660851057576978e-26,2.1800323345997427e-37,5.3146707478318555e-67,4.88002687868374e-66,1.2708366833721687e-38,1.6129502230798623e-58,2.125965818715383e-27,2.348731258612337e-57,7.901421981207793e-43,5.256450449293874e-60,7.753218798618249e-58,1.2248059598542691e-63,2.005814709174011e-62,2.2911259797883652e-64,1.2868742856013338e-56,1.5037247694618254e-83,4.5533591016492246e-70,1.903035987813654e-79,3.76,0.0,0.5263441087308794,0.9999999999999525,1.8617768593253901e-50,1.1538753897228182e-41,1.0309157849452382e-17,1.0107710441225389e-17,2.0144740822699476e-19,7.3543106383855115e-37,4.751388625881495e-14,8.547441292783353e-42,2.134213323378333e-44,1.7453472777078892e-55,1.4265875866845445e-64,2.17980567289409e-37,2.1671829711553132e-37,7.350358810421358e-38,3.29324970261716e-38,1.0899462462957616e-43,1.5346382033165424e-49,5.098734598028024e-40,9.083884733213388e-42,6.324966585685215e-55,2.637549359209431e-53,3.145829518026267e-48,1.8224775464806126e-66,2.345791868869551e-45,7.947782910066546e-63,2.125965818812646e-27,6.6521212499745765e-40,1.743461893585239e-64,1.833586672067486e-58,5.660851057577048e-26,1.0270476877090658e-22,1.522009948697835e-34,3.34761985318823e-46
9.849214961393965e-19,0.4859394508649622,3.125244624274396e-30,3.2477105182467317e-31,9.225932225431476e-41,7.685694639239058e-44,0.0,0.0,2.0612774958370993e-22,4.5786864307163915e-40,9.11492753675198e-49,1.0601151063939599e-48,8.465752374903148e-55,3.91955257965156e-73,6.269887343307674e-49,3.910781894797646e-37,1.1361288486185821e-25,8.76581414418299e-37,4.2777568694673653e-66,3.927870184683267e-65,5.109978410418467e-38,1.2982426630255383e-57,4.2667985310720576e-27,1.8904632519280466e-56,3.1771270269190273e-42,4.23951771558996e-59,6.253251243113751e-57,9.878503806181073e-63,1.6177622285768378e-61,1.847876104437758e-63,1.0357883805745475e-55,2.4271569429436898e-82,7.349014817121779e-69,3.0715077567979577e-78,3.76,0.0,0.5263441087308794,0.9999999999999046,1.498519987232506e-49,4.639682192792088e-41,2.0690407711838e-17,2.0286104172281367e-17,4.043035395566291e-19,2.957135962032098e-36,9.536003736962528e-14,3.436888551815438e-41,8.581577911525982e-44,1.4048077096671196e-54,2.2974759934476894e-63,8.764902747431199e-37,8.714147405777802e-37,2.9555469494008092e-37,1.3242012210909474e-37,4.382643748949718e-43,6.170712804518915e-49,2.0501787568176714e-39,3.652590098857836e-41,5.090883412907681e-54,2.1229291852644585e-52,2.532037275624785e-47,2.943306102282437e-65,9.432741863781111e-45,6.397067229864344e-62,4.2667985314631484e-27,2.6747886975205714e-39,1.4041193640704527e-63,1.475890812436548e-57,1.1361288486186102e-25,2.061277527077302e-22,6.119935063276382e-34,1.3460632199524674e-45
1.9732747744953064e-18,0.4859394508649622,6.261548114884052e-30,6.506737101784016e-31,3.700011857468227e-40,3.0824000564659886e-43,0.0,0.0,4.1297371432379707e-22,1.836258045477045e-39,7.31415530913666e-48,8.506756297103538e-48,6.793233138032664e-54,3.1451940997705097e-72,2.5145052518621768e-48,1.5683984535733633e-36,2.2762163343403083e-25,3.5154835389044565e-36,3.432706692707001e-65,3.151868454544849e-64,2.049329891953725e-37,1.0417579765994406e-56,8.548463955195724e-27,1.5169777024479007e-55,1.2741700382672827e-41,3.4054111844105534e-58,5.022951226475605e-56,7.934951511001943e-62,1.299474599676943e-60,1.4843145788975954e-62,8.311549437213257e-55,3.9008231166785845e-81,1.1809569671514789e-67,4.935830508334944e-77,3.76,0.0,0.5263441087308794,0.9999999999998089,1.2024679161354021e-48,1.8607200741675573e-40,4.145290743660923e-17,4.06428916344891e-17,8.100158021201201e-19,1.1859437817293458e-35,1.910523393297044e-13,1.3783460286774354e-40,3.4415965664510455e-43,1.1272698648875999e-53,3.687958307936306e-62,3.51511802804192e-36,3.494762855420634e-36,1.1853065166037583e-36,5.3106391593003036e-37,1.757650463285648e-42,2.474731894524683e-48,8.222133779699876e-39,1.4648519957344118e-40,4.0851133985860504e-53,1.7035169727445778e-51,2.031800449199273e-46,4.731278586091759e-64,3.783284991452861e-44,5.133243742782106e-61,8.548463956764174e-27,1.0727099005525508e-38,1.1270489500373793e-62,1.1844069093153064e-56,2.276216334340421e-25,4.129737205804348e-22,2.454367681153014e-33,5.398315556326295e-45
