Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71),CH2CFO(79),CH2F(46),C2H4F(63),C2H4F(62),C1OO1(734),CH2O2(778),CHO2(166),C2H2O(133),S(338),S(376),CH2F2(41),CH3O2(183),C2H2O(373),S(1537),CHF2(81),C2H3F2(64),CH2CF2(57),CH3F(39),C2H3F2(65),S(3087),CF2CH(73),C2HF2(72),C2HF(58),C2HF(4088),S(3189),S(4414),CF2(43),CF2O(49),S(4555),S(5169),C2F(4087),F(37),C2H3F2(66),S(4570),CHF3(42)
0.0,0.653765964720525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.555500901446933,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.7188631082953674e-22,0.653765964720525,8.191092493211499e-28,6.581037761436932e-29,1.3127300374641607e-41,9.187512174050014e-43,0.0,0.0,1.7103657479978121e-22,2.313204419593617e-40,8.641621047901092e-54,9.942848402259274e-54,3.4779012056960465e-51,9.291370901288423e-70,2.9308136138428532e-46,6.674442467363156e-39,8.01265981735331e-25,9.234194207170525e-39,2.0411885417729205e-65,5.0629739468678425e-64,4.5317489861214303e-38,1.427104389435294e-58,1.682460563050483e-25,1.1362942257241724e-59,2.4370663176850934e-43,6.815545138520818e-58,2.0750807562368376e-36,8.668253487866366e-45,1.3791933652651377e-63,1.5706545510010858e-64,2.845208069313218e-59,1.2355870322380524e-63,1.7042004171172174e-51,5.09371836996715e-64,3.76,0.0,0.555500901446933,0.9999999999999996,1.4711241931437752e-54,2.1792226144825853e-22,1.2928121194473952e-17,1.239960040315751e-17,5.285207913164401e-19,3.796655970276916e-37,4.633344734178819e-16,1.653018998322849e-41,5.84807092118937e-43,1.4210895112348827e-44,5.805216350436733e-57,9.232284506956889e-39,8.885099359601472e-39,3.626551780704348e-38,2.0112745819443459e-38,5.148400541139525e-43,3.439488940762748e-47,3.4933845727342935e-27,2.5465513584152598e-40,4.4587860625519715e-59,1.351641967118997e-57,2.3783326404833944e-52,4.737527106155763e-68,3.1266349157818204e-44,8.995995358427626e-53,1.6824605630505497e-25,2.94355488093107e-42,5.293085802959912e-64,1.5614914040930735e-60,8.012659817353172e-25,3.2503683419869597e-23,1.380806599906787e-36,1.759028272173144e-45,1.3853371048915806e-22,1.670634798203174e-38,1.0288920789413166e-59,3.179466808672358e-75,4.150962190483534e-55,1.23699104012231e-75,2.8041705362896762e-74,2.347141056794565e-90,2.1792226144825853e-22,1.009194201316337e-41,1.4090242981754174e-94,1.344472568988642e-94,7.198080956850445e-81,3.4933845748062006e-27,6.22713259844287e-38,2.340948635271475e-66,7.681413051724245e-46
1.041281670322703e-21,0.653765964720525,2.293505902448025e-27,1.8426905732029128e-28,7.928889426527785e-41,5.549257361934808e-42,0.0,0.0,4.789024094393873e-22,1.3971754694345445e-39,1.025933251850305e-52,1.180414962334935e-52,4.1289643114014587e-50,1.1030715534008602e-68,1.770211422760957e-45,4.031363250287035e-38,2.243544748858972e-24,5.577453301142004e-38,2.4232990380129953e-64,6.010762669721821e-63,2.7371763876175046e-37,1.6942583311376875e-57,4.710889576541136e-25,1.3490085047797325e-58,1.4719880558817903e-42,8.103292091070656e-57,1.2533487767667604e-35,5.235625251137619e-44,2.0842370135887513e-62,2.3729100316264715e-63,3.377831019888671e-58,1.8672192196428645e-62,2.0232267352011343e-50,6.047734664555811e-63,3.76,0.0,0.555500901446933,0.9999999999999987,1.7465186421445253e-53,6.101823320551238e-22,3.619873934452707e-17,3.4718881128841434e-17,1.4798582156856286e-18,2.2931802060465877e-36,1.2973365255685807e-15,9.984234749875e-41,3.5322348364020824e-42,8.583380647856261e-44,6.891952851232684e-56,5.576299842210937e-38,5.366600013193709e-38,2.1904372755449155e-37,1.2148098474941073e-37,3.10963392809879e-42,2.077451320230145e-46,9.781476803666304e-27,1.538117020482828e-39,5.29347081347309e-58,1.6046693433633018e-56,2.823556510779805e-51,5.783585897276192e-67,1.8884874916822434e-43,5.433581196522491e-52,4.71088957654154e-25,1.777907148082376e-41,7.043679646394046e-63,1.8538025972315234e-59,2.243544748858888e-24,9.10103135756325e-23,8.34007186343688e-36,1.062453076393837e-44,3.8789438936963987e-22,1.0090634181146637e-37,1.2215014293796265e-58,7.1123441142844e-74,4.928022312541028e-54,2.767099477111448e-74,6.943559160342536e-73,1.0696104607540337e-88,6.101823320551238e-22,6.095532975950671e-41,6.421033471430812e-93,6.126866213782548e-93,1.6101819177232992e-79,9.781476816180628e-27,3.7611880894593954e-37,2.7791742197942246e-65,4.6395734832673696e-45
2.3800723893090353e-21,0.653765964720525,5.242299226096996e-27,4.211864167323638e-28,3.81741894931215e-40,2.6717285534266437e-41,0.0,0.0,1.0946340787186e-21,6.726798452178237e-39,1.007267350827229e-51,1.1589384098253551e-51,4.05384164535656e-49,1.0830021922538636e-67,8.522805989053116e-45,1.9409278695087402e-37,5.1281022831064345e-24,2.6853036754616058e-37,2.3792093680692633e-63,5.901402432470132e-62,1.3178326051643518e-36,1.6634328763261067e-56,1.0767747603521579e-24,1.3244645495040798e-57,7.08698885182816e-42,7.961064640242864e-56,6.03433483913238e-35,2.5207283309710394e-43,2.2421270700444827e-61,2.5524400518729163e-62,3.316374525591456e-57,2.0086694981887113e-61,1.986416006190496e-49,5.93870200079922e-62,3.76,0.0,0.555500901446933,0.999999999999997,1.714742359594722e-52,1.3947024732688544e-21,8.273997564463329e-17,7.93574425802109e-17,3.382533064422391e-18,1.1040675561555232e-35,2.9653406298640245e-15,4.8069792471301924e-40,1.7006190238873146e-41,4.132528298667393e-43,6.766560178051056e-55,2.684748334636435e-37,2.5837868937637335e-37,1.0546012578280582e-36,5.848786484289993e-37,1.4971548792390662e-41,1.0002033839879609e-45,2.235766126557146e-26,7.405371350271736e-39,5.19716103454589e-57,1.5754738768727513e-55,2.7721845257409955e-50,5.998121265800139e-66,9.092254373343328e-43,2.6160354502790614e-51,1.076774760352352e-24,8.559857593747705e-41,7.248434829125469e-62,1.8200743877166875e-58,5.12810228310603e-24,2.0802357388714884e-22,4.015385592528769e-35,5.115254215498018e-44,8.866157471305927e-22,4.858205993174027e-37,1.199277676843872e-57,1.405279733446346e-72,4.838361529224435e-53,5.4673222706273414e-73,1.4312351842718043e-71,4.41965135861273e-87,1.3947024732688547e-21,2.9347367374279017e-40,2.653183597857549e-91,2.5316331112386914e-91,3.181448130560117e-78,2.2357661325822537e-26,1.8108501596270412e-36,2.728609729272214e-64,2.233754915479558e-44
5.0576538272817e-21,0.653765964720525,1.1139885942975823e-26,8.950211355574234e-28,1.6671671479580623e-39,1.1668140597576816e-40,0.0,0.0,2.3260974172770257e-21,2.9377696128838934e-38,8.909165650530241e-51,1.0250678990011509e-50,3.585577027018616e-48,9.579031744385695e-67,3.722133289578459e-44,8.476541933546389e-37,1.0897217351602075e-23,1.1727426643275782e-36,2.1043837469584624e-62,5.219723620264913e-61,5.7553212123766926e-36,1.471287541332898e-55,2.2881463657479e-24,1.1714738949525593e-56,3.095074223459971e-41,7.04353846254414e-55,2.6353525604162942e-34,1.1008684168818448e-42,2.06090106184894e-60,2.346049412822e-61,2.9332957111390077e-56,1.8463138378122316e-60,1.7569624620283556e-48,5.254494015108901e-61,3.76,0.0,0.5555009014469329,0.9999999999999937,1.516670198237414e-51,2.9637427556963147e-21,1.758224482448457e-16,1.6863456548295626e-16,7.187882761889456e-18,4.821753082241306e-35,6.301348838431096e-15,2.0993341278775454e-39,7.42705006996626e-41,1.8047836792645338e-42,5.984945848608453e-54,1.172500132397299e-36,1.1284076186607318e-36,4.605720761486603e-36,2.5543187190650157e-36,6.538468706628959e-41,4.3681509549148793e-45,4.7510030189546286e-26,3.2341202251875443e-38,4.596830079122736e-56,1.393488802418581e-54,2.4519658190192154e-49,5.8698074696955655e-65,3.9708263825674334e-42,1.1424914105702266e-50,2.2881463657487485e-24,3.738314698782617e-40,6.543371038436245e-61,1.6098351928858748e-57,1.0897217351600312e-23,4.420500945101435e-22,1.7536243818814465e-34,2.2339659056788584e-43,1.884058462652456e-21,2.121706193717202e-36,1.0607476548677566e-56,2.500620518113091e-71,4.2794759798942454e-52,9.728807862664689e-72,2.5952674590150253e-70,1.608242025034503e-85,2.9637427556963166e-21,1.2816766356717415e-39,9.654520268635728e-90,9.212217053072264e-90,5.6612169642054065e-77,4.751003045267855e-26,7.90845840002094e-36,2.4134244050190245e-63,9.75539457608052e-44
1.041281670322703e-20,0.653765964720525,2.2935059655057004e-26,1.8426905732112008e-27,6.960094662042164e-39,4.871219077561286e-40,0.0,0.0,4.78902409439388e-21,1.2264609832685358e-37,7.488690547570368e-50,8.616313342033767e-50,3.013893538426416e-47,8.051753361110115e-66,1.5539173780577114e-43,3.538789396191606e-36,2.243544748859623e-23,4.895969768793923e-36,1.7688613456726367e-61,4.387492214776221e-60,2.4027333124438082e-35,1.236705830215641e-54,4.710889576537999e-24,9.846943953048954e-56,1.2921325616365492e-40,5.921338068797492e-54,1.1002078169527302e-33,4.595910014572092e-42,1.7631442478355824e-59,2.007063097842621e-60,2.4656117895373863e-55,1.579561229204154e-59,1.476832814261996e-47,4.419712179916189e-60,3.76,0.0,0.5555009014469326,0.999999999999987,1.2748526878696265e-50,6.101823320551235e-21,3.6198739344527044e-16,3.471888112884727e-16,1.4798582156797747e-17,2.0129869954314806e-34,1.2973365255469975e-14,8.76430672917521e-39,3.100647202464569e-40,7.53461658853344e-42,5.030707605758285e-53,4.8949572457123225e-36,4.7108796803827966e-36,1.9227977541223176e-35,1.0663777833430184e-35,2.7296819843555956e-40,1.8236170365239516e-44,9.7814768038154e-26,1.3501815302319178e-37,3.863912661365076e-55,1.1713113024294579e-53,2.0610250128960866e-48,5.882460644388333e-64,1.6577418679194778e-41,4.769676739487586e-50,4.710889576541542e-24,1.5606727978697953e-39,5.552517985707083e-60,1.3531634939974175e-56,2.2435447488588866e-23,9.101031357559808e-22,7.321036592704228e-34,9.326367899231987e-43,3.878943893696012e-21,8.857705700065773e-36,8.916223707311808e-56,4.2176622551656437e-70,3.5971574188659006e-51,1.6409056452806395e-70,4.416738114766755e-69,5.4843444428909335e-84,6.101823320551242e-21,5.350747655379159e-39,3.2923349694733423e-88,3.1415029961167674e-88,9.548469870982774e-76,9.781476913667948e-26,3.3016257036930556e-35,2.0286286321472698e-62,4.072685200374367e-43
2.1123142455117688e-20,0.6537659647205251,4.6525408192513486e-26,3.738029448533389e-27,2.8434257732336107e-38,1.990051990986302e-39,0.0,0.0,9.714877448627596e-21,5.010493301016557e-37,6.139680958941536e-49,7.064174255470026e-49,2.4709720145705897e-46,6.601313871875503e-65,6.348259520113191e-43,1.445710936197055e-35,4.5511907762596025e-23,2.0001634021786772e-35,1.4502194139458053e-60,3.5971311987911404e-59,9.815949573917313e-35,1.013926158230976e-53,9.556375998112656e-24,8.073119580004164e-55,5.278783126757879e-40,4.854996964636577e-53,4.494707921205023e-33,1.877580084777665e-41,1.4578017599780563e-58,1.6594662402138993e-59,2.0214575110522366e-54,1.3060132091019338e-58,1.2107967676078772e-46,3.628455910554196e-59,3.76,0.0,0.5555009014469323,0.9999999999999737,1.045201256893631e-49,1.2377984450261073e-20,7.343172838461199e-16,7.0429730289960885e-16,3.001998094651098e-17,8.223708697779526e-34,2.631739808916668e-14,3.580505271184226e-38,1.266715553855515e-39,3.0781367248864947e-41,4.124478037691694e-52,1.9997497534496157e-35,1.9245480616211556e-35,7.855256219016499e-35,4.3565011954419325e-35,1.1151641655816785e-39,7.450070626363355e-44,1.9842424373800182e-25,5.515932104383036e-37,3.167869047675628e-54,9.60311773375948e-53,1.68975282743697e-47,6.377944046636967e-63,6.772416594155487e-41,1.9485685789972298e-49,9.556375998127136e-24,6.375857614293136e-39,4.573149881432908e-59,1.1094052109016543e-55,4.5511907762565944e-23,1.8462092182470484e-21,2.9908823276607786e-33,3.8101255988015363e-42,7.868714755782444e-21,3.6186617982936887e-35,7.310059097624573e-55,6.927523121119289e-69,2.949166983072846e-50,2.695192449695106e-69,7.286401918186966e-68,1.811312000323891e-82,1.2377984450261103e-20,2.185955007819188e-38,1.0873580062977605e-86,1.0375427975158329e-86,1.5683390435294588e-74,1.9842424822583678e-25,1.3488218293519732e-34,1.663192317213112e-61,1.663824792951545e-42
4.2543793958899005e-20,0.6537659647205251,9.370610972060297e-26,7.528707199236292e-27,1.149358161214599e-37,8.044108764764658e-39,0.0,0.0,1.9566584157095067e-20,2.0253215031663516e-36,4.97207282285637e-48,5.720751466316269e-48,2.0010572016600353e-45,5.345915124047546e-64,2.566067997960558e-42,5.843794753384654e-35,9.166482831064159e-23,8.084980270758196e-35,1.174425301399626e-59,2.913050106710618e-58,3.967763761316151e-34,8.211036907480823e-53,1.924734884123982e-23,6.537821545646247e-54,2.1337685403159383e-39,3.931832757044276e-52,1.8168328059335054e-32,7.589486040421e-41,1.1854601806566787e-57,1.349445505682513e-58,1.6370287022747196e-53,1.0620305929387882e-57,9.805346144276581e-46,2.946368469719276e-58,3.76,0.0,0.5555009014469315,0.999999999999947,8.464310765407754e-49,2.493030670968073e-20,1.4789770646478175e-15,1.4185142861222933e-15,6.046277852552408e-17,3.32415454139896e-33,5.300546375503588e-14,1.4472974779904157e-37,5.120266799252378e-39,1.2442320793590626e-40,3.340109249139345e-51,8.083308236358238e-35,7.779330973557749e-35,3.1752201584424887e-34,1.7609674376452281e-34,4.5076719184777576e-39,3.0114376640229322e-43,3.996431951482269e-25,2.229627948758789e-36,2.565422487550966e-53,7.77685371837647e-52,1.3684056494239396e-46,7.683756469685906e-62,2.7375191949838334e-40,7.876425747209466e-49,1.924734884129834e-23,2.5772235888904246e-38,3.711776773891592e-58,8.984251416542784e-55,9.166482831051996e-23,3.718421383226751e-21,1.2089624569341028e-32,1.5401136857626709e-41,1.5848256479952582e-20,1.4627209562919996e-34,5.91987546583999e-54,1.1229813668168148e-67,2.3883118851926855e-49,4.369023104651997e-68,1.1837242583711104e-66,5.888130242969924e-81,2.493030670968085e-20,8.835979645740745e-38,3.534733696142594e-85,3.372796692737937e-85,2.542345173860909e-73,3.9964321328877332e-25,5.452153492292029e-34,1.346896259650787e-60,6.72544583704231e-42
8.538509696646163e-20,0.6537659647205252,1.8806753058948785e-25,1.5110062700876223e-26,4.621518625341147e-37,3.2345011050715e-38,0.0,0.0,3.9269997574030164e-20,8.14372868735611e-36,4.0019567687827486e-47,4.604558479293054e-47,1.610624923913993e-44,4.302857575910548e-63,1.0318046559978351e-41,2.349764168380555e-34,1.8397066940691653e-22,3.2509350082696143e-34,9.452796882733838e-59,2.344676155520826e-57,1.5954203575725682e-33,6.608956847235559e-52,3.862929452740551e-23,5.262207557554497e-53,8.579789454058133e-39,3.164733432720085e-51,7.305404805333744e-32,3.0517046978699754e-40,9.561165819462771e-57,1.0883747469048448e-57,1.3176231178681322e-52,8.565699243469042e-57,7.892195622631587e-45,2.3842927323981782e-57,3.76,0.0,0.5555009014469301,0.9999999999998936,6.812813682964306e-48,5.003495122851997e-20,2.968296626251209e-15,2.8469482525693115e-15,1.2134837368189664e-16,1.3366279209071035e-32,1.063815950806774e-13,5.819519504735272e-37,2.0588367603696017e-38,5.003002467691296e-40,2.6884105064873134e-50,3.2502626905105614e-34,3.1280347695050207e-34,1.2767420605638227e-33,7.080772616499505e-34,1.8125151026473467e-38,1.2108858402942398e-42,8.020810980107945e-25,8.965235919363571e-36,2.0648752050020407e-52,6.259488443431249e-51,1.1014119152009273e-45,1.0239120669753127e-60,1.1007445295859664e-39,3.167076152453745e-48,3.8629294527640827e-23,1.0362902700521082e-37,2.9908848275231863e-57,7.231307773515936e-54,1.839706694064275e-22,7.462845713176434e-21,4.8611848672270413e-32,6.192729394273225e-41,3.180733992828198e-20,5.881536632424086e-34,4.764830825385617e-53,1.8085268845915595e-66,1.922321183613458e-48,7.036177020464724e-67,1.9084116109563192e-65,1.8990570292042995e-79,5.003495122852046e-20,3.552908553501878e-37,1.1400326750490946e-83,1.0878042778703447e-83,4.0943685263110996e-72,8.020811709531341e-25,2.1922869398045593e-33,1.0840992870913791e-59,2.7042721924827383e-41
1.710677029815869e-19,0.6537659647205256,3.767904435780816e-25,3.027277370509257e-26,1.8534356790191603e-36,1.2971798904916303e-37,0.0,0.0,7.867682440790094e-20,3.2659994407977083e-35,3.2113182730827423e-46,3.6948682028090865e-46,1.2924250677876691e-43,3.4527722201191947e-62,4.137998156422515e-41,9.423605272817774e-34,3.6858235160020186e-22,1.3037703402852857e-33,7.585274711888522e-58,1.8814549522725744e-56,6.398349203112215e-33,5.303271652388447e-51,7.739318589938239e-23,4.222590162678965e-52,3.4408793115376924e-38,2.5395206917513967e-50,2.9297940690623607e-31,1.2238746793108468e-39,7.680048344732986e-56,8.742410130297861e-57,1.0573095710822007e-51,6.880496124766508e-56,6.332989953854116e-44,1.9337856656104356e-56,3.76,0.0,0.5555009014469271,0.9999999999997868,5.466853925472511e-47,1.0024424026619821e-19,5.946935749457975e-15,5.703816185469948e-15,2.431195639880274e-16,5.360475784073117e-32,2.13133857707573e-13,2.3338876059238566e-36,8.256856247466243e-38,2.0064277542211604e-39,2.1572801210237125e-49,1.303500710729027e-33,1.2544818471679952e-33,5.1203066995414365e-33,2.8397065144234476e-33,7.268996627358467e-38,4.8561938045137634e-42,1.6069569039044004e-24,3.5954605836450487e-35,1.656932311211494e-51,5.022845266879184e-50,8.83813697358678e-45,1.472330627303548e-59,4.4144786964207825e-39,1.270139189103462e-47,7.739318590032611e-23,4.155987475063747e-37,2.4013253703040577e-56,5.80267007345792e-53,3.6858235159824057e-22,1.4951694373036907e-20,1.9495525535617058e-31,2.4835614640821364e-40,6.372550682489717e-20,2.3587592477403467e-33,3.823476671973708e-52,2.9030861883827654e-65,1.542541686245847e-47,1.1294622395678742e-65,3.0650741004573514e-64,6.100868440760329e-78,1.0024424026620017e-19,1.4248752376730547e-36,3.66244365571326e-82,3.494655866343081e-82,6.5723682503939995e-71,1.6069571964358067e-24,8.792051152884295e-33,8.699214036994711e-59,1.0845341015123843e-40
