Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71),CH2CFO(79),CH2F(46),C2H4F(63),C2H4F(62),C1OO1(734),CH2O2(778),CHO2(166),C2H2O(133),S(338),S(376),CH2F2(41),C2H2O(373),CH3O2(183),CHF2(81),S(1537),C2H3F2(64),CH2CF2(57),CH3F(39),C2H3F2(65),S(140),S(2988),F(37),C2HF(58),C2HF(3940),CF2CH(73),C2HF2(72),S(3117),CF2(43),CF2O(49),S(4341),S(4409),C2F(3939),C2H3F2(66),S(4619),CHF3(42),S(4047),CHO2(165),C2H2F3(67),C2H2F3(68),S(5214),CFO(51),CHF2O(615),S(3044),CFO3(5914),CHFO2(172),S(459),C2H4(456),C2H2F2(59),C#CC(5603),C3H4(6319),CHF(40),CHFO2(735),CF(50),S(3734),CHFO2(782),CHO3(1596),S(3113),S(1075),S(6101),S(6880),S(2986),S(1341),S(6104)
0.0,0.7927086242321464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7149188297694099,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3097801877009044e-22,0.7927086242321464,7.772724925040758e-27,7.76140404651682e-27,1.1415086435415697e-39,7.112610610719518e-42,0.0,0.0,8.884851154319583e-22,1.897626804467867e-39,4.589998205786029e-53,4.330716927849329e-44,1.0613179691767902e-49,8.644577777957627e-65,6.626727723841806e-44,1.0939276864137061e-37,1.9956286300256306e-23,1.7383077631277953e-37,4.542829469679994e-62,6.469240528058646e-60,6.057945574436157e-36,6.553565756634206e-56,9.367292781955881e-24,3.78216726873058e-58,7.509659256657186e-42,2.407425745143351e-55,2.47424135576585e-34,4.9228580796347296e-42,1.1317986625027754e-61,1.9367368230659214e-61,5.670511998549364e-58,8.861133237383506e-61,6.941492729511965e-50,3.2548224368762565e-62,3.76,0.0,0.7149188297694097,0.9999999999999994,1.056539575203758e-53,5.752769047891129e-21,1.5407940658509053e-16,1.4748307649170518e-16,6.59633009338531e-18,1.883338099199786e-35,4.893513737352464e-16,1.7668883204022222e-39,1.9325833572293766e-40,1.197722818338158e-42,6.9145866768885575e-56,1.7379444649841402e-37,1.6329245242995517e-37,1.0282172980450774e-36,7.296083747929807e-37,8.207584273270452e-41,3.5740225959275956e-42,3.1640769101789154e-25,3.622911308112877e-38,7.179315614469269e-52,6.444321279462158e-57,1.8873234576600684e-46,4.1335902215564995e-64,7.614242900428989e-42,1.858773566630626e-49,9.367292781955994e-24,1.698854141674457e-58,1.2315807863298099e-41,1.995628630025604e-23,8.35678786392052e-59,1.965711395437451e-22,1.5939250355757307e-35,2.405008774832433e-27,6.919217486131043e-22,8.73144230194554e-42,1.0793223814252552e-38,3.1640769126492393e-25,1.0250606777723664e-53,3.539265242772466e-73,5.90812548442601e-58,5.4992651196042074e-73,9.492689011322562e-61,5.752769047891129e-21,9.9396142820213e-41,1.778719702468909e-77,1.2819313789183503e-81,1.7502095409556367e-78,5.706158762023677e-37,1.8197909046843627e-59,9.003386745335816e-44,8.406761730438154e-63,1.47385871644887e-46,5.58635112358099e-62,3.7807124172735415e-57,9.0034954260469e-82,3.702094581003755e-45,5.293707238747643e-41,3.880700603580726e-55,1.5636269970149426e-64,8.979087260931384e-50,8.265399964387818e-60,1.2765378391865555e-62,3.2925802872688055e-51,6.089812029983119e-73,6.899627431912532e-77,2.4050087748324403e-27,1.1401875270414905e-48,2.844003951414393e-38,8.355770321947049e-79,1.3307924428643304e-47,3.23765631549874e-88,8.921903353854193e-40,5.053453567166475e-58,2.7470958905484398e-76,1.9182284614298824e-80,1.4953607502612759e-59,6.996437166635234e-79,1.09777305745191e-80
3.6673845255625328e-22,0.7927086242321465,2.1763629847158565e-26,2.1731931330253658e-26,6.894712207011548e-39,4.2960168181826744e-41,0.0,0.0,2.4877583232094826e-21,1.1461665898985914e-38,5.449246535651428e-52,2.6157530273266367e-43,1.2599966930065398e-48,1.0262842737990905e-63,4.00254354520027e-43,6.607323225938628e-37,5.587760164071851e-23,1.0499378889304274e-36,5.39324714671629e-61,7.680282354911695e-59,3.658999126959675e-35,7.780393266276864e-55,2.6228419789476115e-23,4.4901889814369334e-57,4.5358341910209276e-41,2.863805918186201e-54,1.4944417788823872e-33,2.9734062959727274e-41,1.710374138774242e-60,2.923311674100127e-60,6.732031844682025e-57,1.3390944602723733e-59,8.240940168475869e-49,3.864398371044787e-61,3.76,0.0,0.7149188297694096,0.9999999999999987,1.2543237837433562e-52,1.6107753334095162e-20,4.314223384382534e-16,4.1295261417677726e-16,1.8469724261476153e-17,1.1375362119164828e-34,1.3701838464581662e-15,1.0672005455231644e-38,1.1672803477669347e-39,7.234245822768521e-42,8.208997302806492e-55,1.0497184568510406e-36,9.862864126765672e-37,6.210432480191499e-36,4.4068345837490654e-36,4.957380901159941e-40,2.1587096479402324e-41,8.85941534851359e-25,2.188238430100159e-37,4.3363082802242795e-51,7.650698222973906e-56,1.1399504065350496e-45,4.9092574261143e-63,4.599002712074908e-41,1.1226992342858524e-48,2.6228419789476782e-23,2.017857014714528e-57,7.438747949432074e-41,5.587760164071692e-23,9.921178552472148e-58,5.503991907224591e-22,9.627307214877167e-35,6.734024569530813e-27,1.9373808961166654e-21,5.273791150378037e-41,6.519107183808181e-38,8.859415363434344e-25,1.2169520366512439e-52,7.9171947774716e-72,7.014134211486504e-57,1.2301642214893033e-71,1.1269720394258254e-59,1.6107753334095162e-20,6.003527026341258e-40,3.978924825640183e-76,2.8676292173888e-80,3.915148734735835e-77,3.446519892262141e-36,2.160455762041037e-58,5.43804559420906e-43,9.980507526376137e-62,8.902106648853167e-46,8.442093829986825e-61,4.48846178178976e-56,2.0140459128270797e-80,2.2360651269263975e-44,3.197399172203179e-40,4.607167756570977e-54,1.856337970855564e-63,5.423368705602516e-49,9.823272777743688e-59,1.5155057300907925e-61,3.908951317172682e-50,1.9147343392189305e-71,2.169353258631879e-75,6.734024569530856e-27,6.886732663331837e-48,1.7177783866540841e-37,2.6271878815454602e-77,8.037986354898009e-47,1.0179709491536434e-86,5.388829625727869e-39,5.999460077418625e-57,8.637309015232461e-75,6.03121719928977e-79,1.7752922827102558e-58,2.199791788185056e-77,3.4515741363191866e-79
8.382593201285789e-22,0.7927086242321467,4.9745439919571914e-26,4.967298589775356e-26,3.3195071354495754e-38,2.0683471795593606e-40,0.0,0.0,5.686304738764523e-21,5.518298747392545e-38,5.350102854058151e-51,1.2593724869770469e-42,1.237072224872013e-47,1.0076119857986184e-62,1.927052422092924e-42,3.181141712090819e-36,1.2772023232164628e-22,5.0549989751941424e-36,5.295122030824599e-60,7.540546759506601e-58,1.7616505730463864e-34,7.638836245935098e-54,5.995067380451513e-23,4.408494168432324e-56,2.1838089118358897e-40,2.814203754627413e-53,7.195093862564292e-33,1.431567153367803e-40,1.8399424496576686e-59,3.1435656002845187e-59,6.609548785515534e-56,1.4405367290748518e-58,8.091003925516463e-48,3.7946678717773705e-60,3.76,0.0,0.714918829769409,0.9999999999999969,1.2315025289466434e-51,3.681772190650321e-20,9.861082021445788e-16,9.438916895469319e-16,4.221651259764695e-17,5.47674719247015e-34,3.1318487919019097e-15,5.138111235732933e-38,5.6199524028287624e-39,3.4829779557364293e-41,8.059642230594925e-54,5.053942504183109e-36,4.74854451665766e-36,2.990055902713931e-35,2.121701153897179e-35,2.3867655068238824e-39,1.0393257708956903e-40,2.0250092225233425e-24,1.0535426083991955e-36,2.0877474543148652e-50,7.511500883330029e-55,5.488442186501003e-45,4.823672549597283e-62,2.2142218357683817e-40,5.405313532376165e-48,5.995067380451833e-23,1.9815722638963948e-56,3.5814369266471193e-40,1.2772023232163857e-22,9.740671935505182e-57,1.2580552930797776e-21,4.635134003453845e-34,1.5392056158927566e-26,4.428299191123676e-21,2.5391034214100665e-40,3.138669485184095e-37,2.0250092297070446e-24,1.1948107260111286e-51,1.5643042718854923e-70,6.886521908300497e-56,2.430597790652479e-70,1.1064678311646012e-58,3.681772190650322e-20,2.8904398332123788e-39,7.861684949308004e-75,5.665952096722544e-79,7.735674140848184e-76,1.6593509679962443e-35,2.1211482784992637e-57,2.618184865582243e-42,9.798921472998573e-61,4.2859811496863e-45,9.08161934090332e-60,4.406798393577692e-55,3.97941532799126e-79,1.076569104156086e-43,1.5394100650272176e-39,4.523344623533411e-53,1.82256362771883e-62,2.6111185754787836e-48,9.649187913407164e-58,1.487932528322236e-60,3.8378315830207985e-49,4.271666981407378e-70,4.8397077840499176e-74,1.5392056158927776e-26,3.315665328638499e-47,8.270363490709903e-37,5.861111642325199e-76,3.869944423845649e-46,2.2710371940669078e-85,2.5944894953006997e-38,5.8903054855728485e-56,1.9269361275332027e-73,1.3455313794822628e-77,1.7429924905047367e-57,4.907614469066115e-76,7.700272027312118e-78
1.7813010552732303e-21,0.7927086242321468,1.0570906097710955e-25,1.0555509503285825e-25,1.4497159773295036e-37,9.033015619889072e-40,0.0,0.0,1.2083397569874578e-20,2.4099860416741766e-37,4.732105502369408e-50,5.50001054340609e-42,1.0941763735015504e-46,8.912213905960606e-62,8.415944209276261e-42,1.3892881617451582e-35,2.714054936835153e-22,2.2076508591913982e-35,4.683475472087213e-59,6.669528214810363e-57,7.693590879537549e-34,6.756464152464357e-53,1.273951818345874e-22,3.899263167370392e-55,9.53726725595442e-40,2.4901250563649072e-52,3.1422865218197353e-32,6.2520300071730156e-40,1.6912241054049844e-58,2.8890435318169547e-58,5.8460710500317064e-55,1.3241014651377912e-57,7.156401344411663e-47,3.3573701021661938e-59,3.76,0.0,0.7149188297694079,0.9999999999999933,1.0892500405456245e-50,7.823765905131924e-20,2.095479929557228e-15,2.0057698402872825e-15,8.971008926994503e-17,2.3918393859808043e-33,6.6551786827810136e-15,2.2439481669141722e-37,2.454380863687173e-38,1.521107979298828e-40,7.128662280433633e-53,2.207189470539362e-35,2.0738141458548096e-35,1.305835968516054e-34,9.266026359862485e-35,1.0423632028673872e-38,4.539008696827475e-40,4.303144597887509e-24,4.601097361303049e-36,9.117756391190106e-50,6.643837466251069e-54,2.397009881907995e-44,4.273077014923291e-61,9.670088486888691e-40,2.360642430255676e-47,1.2739518183460134e-22,1.7528483160389714e-55,1.5641075986388908e-39,2.714054936834817e-22,8.615514018958029e-56,2.673367497793976e-21,2.0242847951807824e-33,3.2708119337721065e-26,9.410135781137256e-21,1.1088931723514872e-39,1.3707394244095088e-36,4.3031446292606214e-24,1.0567965563554796e-50,2.783595871362584e-69,6.091051969440536e-55,4.3251193804169464e-69,9.786582663213618e-58,7.823765905131926e-20,1.2623310138173093e-38,1.3989448319156682e-73,1.008225902551154e-77,1.3765218818151285e-74,7.246821627767566e-35,1.8761316310915687e-56,1.1434301166971722e-41,8.667035073612226e-60,1.871800572218152e-44,8.347572862552844e-59,3.8977632737159004e-54,7.081156956845491e-78,4.701660117876773e-43,6.723008193203338e-39,4.000847094266908e-52,1.612036888838773e-61,1.1403440821382213e-47,8.536440361773841e-57,1.3160594989171794e-59,3.394518573143625e-48,8.000359501627742e-69,9.064237058681558e-73,3.270811933772198e-26,1.4480381593445994e-46,3.611885018293021e-36,1.0977213444285584e-74,1.690106402433749e-45,4.253401342774937e-84,1.1330817259393795e-37,5.209908505741513e-55,3.6089381087367173e-72,2.5200313609282186e-76,1.5416571190897567e-56,9.191418764354197e-75,1.4421757301584464e-76
3.667384525562533e-21,0.7927086242321473,2.176363067430286e-25,2.1731931330348728e-25,6.052278828342779e-37,3.771106275651241e-39,0.0,0.0,2.487758323209457e-20,1.0061217317288498e-36,3.977619851571969e-49,2.296146155679411e-41,9.197211709993694e-46,7.491252789128926e-61,3.5134910391783757e-41,5.800004593363231e-35,5.587760164073071e-22,9.216507760275316e-35,3.936743336827325e-58,5.606140333772651e-56,3.211922743569316e-33,5.679215227655724e-52,2.6228419789470882e-22,3.2775656404054643e-54,3.9816213378794554e-39,2.09349414573095e-51,1.3118427668244482e-31,2.610099575255549e-39,1.446877828560217e-57,2.471471663006624e-57,4.9139749697588016e-54,1.1327967295382464e-56,6.015386535500219e-46,2.8238035045782463e-58,3.76,0.0,0.7149188297694057,0.9999999999999863,9.155802913282646e-50,1.6107753334095106e-19,4.3142233843825194e-15,4.129526141768152e-15,1.8469724261436713e-16,9.985458601930949e-33,1.3701838464505686e-14,9.368041874802614e-37,1.0246556960082687e-37,6.350326382913214e-40,5.992070180856688e-52,9.214581553431307e-35,8.657765827785621e-35,5.451608114224252e-34,3.868383603144849e-34,4.3516611831462585e-38,1.8949467803602963e-39,8.859415348696628e-24,1.920867575561173e-35,3.8064961435242096e-49,5.584545711599277e-53,1.0007570788631051e-43,3.6028567148042316e-60,4.0370715888168044e-39,9.855217455988601e-47,2.6228419789476704e-22,1.4734420645905363e-54,6.529841329120944e-39,5.587760164071668e-22,7.241858659294002e-55,5.503991907220623e-21,8.450990538618955e-33,6.734024569530802e-26,1.937380896116265e-20,4.629410708530977e-39,5.722567266311615e-36,8.859415479673205e-24,8.883011823853827e-50,4.694941295975151e-68,5.119896720627787e-54,7.294946390424565e-68,8.226212414369354e-57,1.6107753334095118e-19,5.269983492333126e-38,2.359524933127384e-72,1.7005203500662408e-76,2.3217053503476228e-73,3.0254053756227e-34,1.5770016813416185e-55,4.773595652731259e-41,7.285165207409482e-59,7.814398935564693e-44,7.14152443888419e-58,3.2763048894135557e-53,1.1943406211481137e-76,1.9628505468499958e-42,2.806723577978447e-38,3.362953051852101e-51,1.3550141375743898e-60,4.76071206574524e-47,7.176123177039676e-56,1.1062273543355646e-58,2.853297395822394e-47,1.3818631490148542e-67,1.5656215402288225e-71,6.734024569531183e-26,6.0452742683911404e-46,1.5078908950369774e-35,1.896040638482222e-73,7.055861532031124e-45,7.346693138572016e-83,4.730393158212564e-37,4.379242035323913e-54,6.233543103387019e-71,4.352727488465667e-75,1.2958557004051165e-55,1.58758901710354e-73,2.490999930088812e-75
7.439551466141137e-21,0.7927086242321477,4.41490812878242e-25,4.408477498464237e-25,2.4725533824983958e-36,1.540620018662054e-38,0.0,0.0,5.0465954556534106e-20,4.110335563549464e-36,3.261093090514051e-48,9.380506437584065e-41,7.540429831964087e-45,6.141781638953553e-60,1.4353757318928709e-40,2.369491125877649e-34,1.1335170618551067e-21,3.7652441473906867e-34,3.227580038777851e-57,4.596252554364118e-55,1.312175243207934e-32,4.6561637673713645e-51,5.320622300148593e-22,2.6871463341795187e-53,1.626622233628818e-38,1.7165297782348504e-50,5.359305746220998e-31,1.0663109389613227e-38,1.19630656852795e-56,2.0433956999675123e-56,4.0287735700734883e-53,9.366183232112709e-56,4.931777316139532e-45,2.3179644534196228e-57,3.76,0.0,0.7149188297694012,0.9999999999999722,7.506480398754259e-49,3.2675728192021363e-19,8.751710294033075e-15,8.377038744730559e-15,3.746715493025149e-16,4.0793856563684214e-32,2.7795158027820893e-14,3.8271507775494075e-36,4.186052855137488e-37,2.5943155335045576e-39,4.9126611599437116e-51,3.764457229006495e-34,3.536979836570953e-34,2.2271597962484577e-33,1.5803609241302078e-33,1.7777955851620977e-37,7.741475903678646e-39,1.7971956850638025e-23,7.847370809822492e-35,1.5550879566967236e-48,4.5785479783723464e-52,4.088849373209383e-43,2.9720023216590194e-59,1.6492754717523857e-38,4.026177901101626e-46,5.320622300150972e-22,1.208043662432764e-53,2.6676532464220715e-38,1.1335170618545333e-21,5.937313267984013e-54,1.1165240726066909e-20,3.452505384055433e-32,1.366044984104817e-25,3.930115532120639e-20,1.8912653284039396e-38,2.337855451058052e-35,1.797195738572008e-23,7.282829782152811e-49,7.711455176653151e-67,4.197600872374697e-53,1.1981971657366746e-66,6.744345944278944e-56,3.2675728192021416e-19,2.152960211947541e-37,3.875526787958149e-71,2.793109781385122e-75,3.8134080095856105e-72,1.2359768124874678e-33,1.2929212567892698e-54,1.9501695828859973e-40,5.9728185881763896e-58,3.1924369519169353e-43,5.904750688983377e-57,2.6861126943448658e-52,1.9617080566495684e-75,8.018884946252655e-42,1.1466381627369933e-37,2.7571520929725164e-50,1.1109224564834516e-59,1.944906217066291e-46,5.88371011647994e-55,9.069520975398246e-58,2.3393055940645436e-46,2.2959862895945594e-66,2.6013036049333797e-70,1.3660449841049727e-25,2.469691791087478e-45,6.160226318896788e-35,3.150299878527841e-72,2.8825496629117525e-44,1.2206640745317797e-81,1.9325199540574473e-36,3.5903672289837026e-53,1.0357125097027091e-69,7.232121822639621e-74,1.0624207954964505e-54,2.637802896330134e-72,4.138833639948501e-74
1.498388534729835e-20,0.7927086242321492,8.891998835621694e-25,8.879046229390101e-25,9.994456100342787e-36,6.227432899321013e-38,0.0,0.0,1.0164269720541138e-19,1.661463353398136e-35,2.6409177419384504e-47,3.79175082704221e-40,6.106435576745228e-44,4.973774007660052e-59,5.802018205136478e-40,9.577861979825873e-34,2.2829991527515674e-21,1.5219718855105593e-33,2.613778001301553e-56,3.7221644844265813e-54,5.304022131829163e-32,3.770682138027434e-50,1.0716182942547906e-21,2.176120770391792e-52,6.575067142846407e-38,1.3901528783387227e-49,2.166317070539928e-30,4.31020008808322e-38,9.728166337711175e-56,1.6616297904781085e-55,3.2626052900581015e-52,7.616425973819735e-55,3.993881135555054e-44,1.881747201653194e-56,3.76,0.0,0.7149188297693924,0.999999999999944,6.078942445752922e-48,6.581167790787347e-19,1.7626684113334072e-14,1.6872063950658043e-14,7.546201626760251e-16,1.6489529060598442e-31,5.598179715391477e-14,1.546995535172379e-35,1.69206949329192e-36,1.0486638182090475e-38,3.9784003767381804e-50,1.5216538004873403e-33,1.4297038013661757e-33,9.002535988612837e-33,6.388071533279962e-33,7.186134005449013e-37,3.129228335815621e-38,3.619703985581344e-23,3.172032749993699e-34,6.285995644447999e-48,3.70782685969841e-51,1.653126066125864e-42,2.4362210419574312e-58,6.666635163942818e-38,1.6274454826951536e-45,1.0716182942557513e-21,9.783157838728629e-53,1.0783080943096973e-37,2.2829991527492503e-21,4.8081902268200765e-53,2.2487738363731454e-20,1.395557877045771e-31,2.7513300384082824e-25,7.915584804126561e-20,7.644796844857651e-38,9.449985524085752e-35,3.619704201870065e-23,5.897824377681799e-48,1.250060115047783e-65,3.399326100240481e-52,1.942329263918452e-65,5.46174620491125e-55,6.581167790787368e-19,8.702609405433014e-37,6.282395931347617e-70,4.5277513190859505e-74,6.1816987144286064e-71,4.996015891756604e-33,1.0470411549903088e-53,7.88289726056456e-40,4.8369433484837475e-57,1.2904340660619756e-42,4.8016454884568345e-56,2.175283702054486e-51,3.1800132956762214e-74,3.2413615062212456e-41,4.634894785432351e-37,2.2328132488825056e-49,8.996538078603134e-59,7.861621893129911e-46,4.7648969920884984e-54,7.344734476475058e-57,1.8944303206652804e-45,3.743037129041018e-65,4.2407814111470486e-69,2.7513300384089115e-25,9.982889089380726e-45,2.4900619716325316e-34,5.135783896646366e-71,1.1651726617402173e-43,1.9899905917805753e-80,7.81155463765386e-36,2.9075725103199316e-52,1.6884727912295635e-68,1.1790183864228777e-72,8.60375905313246e-54,4.300284468127952e-71,6.747343420955725e-73
3.0072553109612766e-20,0.7927086242321516,1.7846182585840274e-24,1.7820183691510372e-24,4.018726841545866e-35,2.5040237494557316e-37,0.0,0.0,2.0399618250315867e-19,6.680671070200523e-35,2.1256403569203485e-46,1.524646446291776e-39,4.914990600013547e-43,4.003326029913221e-58,2.33296600207499e-39,3.851216177114252e-33,4.581963334547938e-21,6.119782013371473e-33,2.1037959374228993e-55,2.9959217980706983e-53,2.132723971280986e-31,3.034973026636366e-49,2.1507304227331746e-21,1.7515313142392892e-51,2.643805579942152e-37,1.1189409862929704e-48,8.710665662480687e-30,1.7331131292431563e-37,7.846118578406359e-55,1.340154417745495e-54,2.6260285776906073e-51,6.14292559978994e-54,3.214622997674409e-43,1.5219980359382532e-55,3.76,0.0,0.7149188297693746,0.9999999999998876,4.892861736687958e-47,1.3208357733957606e-18,3.537663175193563e-14,3.3862114362523716e-14,1.5145173894119039e-15,6.630367111608135e-31,1.1235507540395634e-13,6.220401007677909e-35,6.803737012755814e-36,4.216631091348419e-38,3.2021627363284087e-49,6.118503007237024e-33,5.748776104491636e-33,3.6198801263988796e-32,2.568615467751108e-32,2.8895128819792228e-36,1.2582489509837773e-37,7.264720587133477e-23,1.2754604176648178e-33,2.527636732987821e-47,2.9843816302349957e-50,6.649944001358366e-42,2.008236286427504e-57,2.680624687066819e-37,6.543886724538613e-45,2.150730422737037e-21,7.874379306367387e-52,4.33582942150721e-37,4.581963334538621e-21,3.8700498091746635e-52,4.5132733638948434e-20,5.611476844725591e-31,5.521900147015179e-25,1.5886523348127106e-19,3.0739391883911245e-37,3.7997976166741215e-34,7.264721456820911e-23,4.747082158252884e-47,2.013183278065589e-64,2.736073413566387e-51,3.128061420401244e-64,4.3960885073078175e-54,1.3208357733957686e-18,3.49928096647341e-36,1.0117604972864155e-68,7.291803917201556e-73,9.955435208380941e-70,2.0088760167927455e-32,8.427498120500938e-53,3.169678319236186e-39,3.893192811419404e-56,5.1887786839691084e-42,3.8727015087044974e-55,1.750857568817637e-50,5.121313378687877e-73,1.3033372056308916e-40,1.8636708081986962e-36,1.797162353060004e-48,7.241196526627443e-58,3.161123586556661e-45,3.8352499703730964e-53,5.911683292147632e-56,1.524802333780491e-44,6.04501496150665e-64,6.848873306625138e-68,5.521900147017709e-25,4.014075796547572e-44,1.001242967094665e-33,8.29430471149352e-70,4.685108026600747e-43,3.213840349263937e-79,3.140991763332533e-35,2.340267376577116e-51,2.726888068214137e-67,1.904117843399197e-71,6.925053796097719e-53,6.944970902779605e-70,1.0896977648446662e-71
6.02498886342416e-20,0.7927086242321567,3.575455943243756e-24,3.5702458616825115e-24,1.6116892060629846e-34,1.0042258154116736e-36,0.0,0.0,4.0870315309862437e-19,2.6792478994667235e-34,1.7056925204736905e-45,6.11451509054722e-39,3.94397042115106e-42,3.2124170183210826e-57,9.3562371128098e-39,1.5445099368711973e-32,9.179891698154477e-21,2.4543063016944979e-32,1.688163760868343e-54,2.4040385664074295e-52,8.553177009021492e-31,2.4353747179825184e-48,4.308954679684029e-21,1.4054935720872706e-50,1.0602842846510397e-36,8.978897017335381e-48,3.49336652463908e-29,6.950563861437135e-37,6.302429132431643e-54,1.0764808403139038e-53,2.1072225521040718e-50,4.93433532695361e-53,2.5795325057065503e-42,1.2331903630616474e-54,3.76,0.0,0.7149188297693391,0.9999999999997748,3.926213402510486e-46,2.646273762029746e-18,7.087652702913699e-14,6.784221518629785e-14,3.034311842839095e-15,2.6590737621118175e-30,2.2510163189545478e-13,2.4946590183821293e-34,2.728602846809975e-35,1.691057661258319e-37,2.5695339309295837e-48,2.4537933628323438e-32,2.305516338081087e-32,1.4517338337571315e-31,1.0301296866856674e-31,1.1588239056276812e-35,5.046141059031101e-37,1.4554753792305947e-22,5.1151667384442104e-33,1.0137479432186523e-46,2.394778308318238e-49,2.669168256535275e-41,1.6874796731239219e-56,1.075050400258842e-36,2.624391272080525e-44,4.308954679699518e-21,6.31871057526119e-51,1.7388615227356793e-36,9.17989169811711e-21,3.1054712631495916e-51,9.042272418893397e-20,2.250453194162894e-30,1.106304036422884e-24,3.182840043608302e-19,1.2327870999250757e-36,1.5238887943768742e-33,1.4554757280141533e-22,3.809234471158051e-46,3.2316050140961355e-63,2.1955266158494496e-50,5.02123135645343e-63,3.527584171795682e-53,2.646273762029779e-18,1.403368176734733e-35,1.6240996695852768e-67,1.1704960180035955e-71,1.5980678305598367e-68,8.056491319046047e-32,6.762536496282284e-52,1.271182774147482e-38,3.1240420464430102e-55,2.0809323739440138e-41,3.1107652145450524e-54,1.4049529338166004e-49,8.22084217374016e-72,5.226965126433841e-40,7.474153487891699e-36,1.4421096069940002e-47,5.810604177739658e-57,1.267751942915906e-44,3.0775650880972633e-52,4.743756759766169e-55,1.223557844155015e-43,9.717184999001949e-63,1.1009363811113816e-66,1.1063040364238984e-24,1.6098239283827908e-43,4.015432114844735e-33,1.333285257936003e-68,1.8789378651637095e-42,5.166155230647305e-78,1.259678181384431e-34,1.8779172926275932e-50,4.38339292859533e-66,3.0608138213924634e-70,5.556919546739325e-52,1.1163837890903464e-68,1.7516573313134372e-70
