Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71),CH2CFO(79),CH2F(46),C2H4F(63),C2H4F(62),C1OO1(734),CH2O2(778),CHO2(166),C2H2O(133),S(338),S(376),CH2F2(41),C2H2O(373),CH3O2(183),CHF2(81),S(1537),C2H3F2(64),CH2CF2(57),CH3F(39),C2H3F2(65),S(140),S(2988),F(37),C2HF(58),C2HF(3940),CF2CH(73),C2HF2(72),S(3117),CF2(43),CF2O(49),S(4341),S(4409),C2F(3939),C2H3F2(66),S(4619),CHF3(42),S(4047),CHO2(165),C2H2F3(67),C2H2F3(68),S(5214),CFO(51),CHF2O(615),S(3044),CFO3(5914),CHFO2(172),S(459),C2H4(456)
0.0,0.671286511373092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7142757492664125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.057238764781513e-22,0.671286511373092,1.076969276639225e-27,6.39360334866731e-29,1.783696778097793e-41,1.626699562814031e-42,0.0,0.0,2.217595557429993e-22,3.986340413589423e-40,1.2393891685916998e-53,1.4260879842664738e-53,4.956182580920128e-51,2.1351718340284142e-67,3.785672663062973e-46,9.018983002276203e-39,1.0353366013579622e-24,1.247508618889559e-38,3.2736066798000935e-65,6.584759019084664e-64,6.066124291602973e-38,1.9910832730877847e-58,2.1402642958695767e-25,2.0307747352826603e-59,3.25090667871966e-43,9.260948951288794e-58,2.776788955374376e-36,1.1242936492740123e-44,2.479484174944689e-63,2.755385699506469e-64,4.09097859842237e-59,1.6590086374330645e-63,2.4158304037228446e-51,7.14603001156578e-64,3.76,0.0,0.7142757492664125,0.9999999999999994,2.1368311144122634e-54,2.81408222501276e-22,1.6993857362346276e-17,1.6301232318739157e-17,6.926250436071187e-19,5.1777107980934554e-37,4.944137932002066e-16,2.1579846776130377e-41,7.462565122175645e-43,1.8601891655336e-44,8.414212946931694e-57,1.2472512358042573e-38,1.200835952545955e-38,4.607232483842491e-38,2.7518141147789444e-38,6.6680629571079125e-43,4.460603409941332e-47,4.4028345100988664e-27,4.245352107288923e-40,6.389685279256857e-59,1.9466895873080412e-57,3.410839344676797e-52,6.153132198020248e-68,4.0149021803342617e-44,1.1156807358633872e-52,2.140264295869667e-25,3.397647598245819e-61,4.08261845390187e-42,1.0353366013579435e-24,2.1411077047664476e-60,4.2013670647810815e-23,1.8788976608674137e-36,2.94014938807475e-45,1.7974696206446113e-22,2.2063030295538561e-44,2.3384202154806715e-38,4.4028345128702314e-27,5.857967090803011e-55,1.7748081125846227e-75,1.4044742270021133e-59,4.636063148617999e-75,4.075938036150476e-74,2.81408222501276e-22,1.3777888149836053e-41,3.6410479136244493e-90,2.177121489472398e-94,1.005203154286021e-80,8.535476446043573e-38,6.454561270884986e-61,1.2906635561347413e-45,1.2485655172735332e-72,1.3798877168915227e-71,1.97590096600469e-65,3.7499396366604763e-59,2.0867128569397628e-94,2.2279449911397223e-60,2.8422738533410304e-42,8.440713298960935e-57,5.0328348046189066e-79,4.985619864604033e-82,1.6470453531450965e-62,2.176566055841268e-66
1.1360268541388236e-21,0.671286511373092,3.0155139804895237e-27,1.7902089376276866e-28,1.0773528540057368e-40,9.825265375477763e-42,0.0,0.0,6.209267560803982e-22,2.407749609808012e-39,1.4714028223566513e-52,1.693051654950501e-52,5.883979960067008e-50,2.534876001358282e-66,2.286546288489861e-45,5.447465733374379e-38,2.898942483802355e-24,7.534952058109039e-38,3.8864258525118834e-64,7.817425907457768e-63,3.663939072128424e-37,2.3638140618099848e-57,5.992740028434522e-25,2.410935765727564e-58,1.9635476339466653e-42,1.1010664146005234e-56,1.6771805290457036e-35,6.790733901354727e-44,3.7469964851765555e-62,4.1628364808255034e-63,4.856809792047061e-58,2.507093998010593e-62,2.8680738552991057e-50,8.484658540684231e-63,3.76,0.0,0.7142757492664125,0.9999999999999987,2.5368458991106417e-53,7.8794302300357285e-22,4.758280061456957e-17,4.564345049247021e-17,1.93935012209936e-18,3.1273373220474615e-36,1.3843586209588448e-15,1.303422745278995e-40,4.50738933379799e-42,1.1235542559821927e-43,9.989353610590145e-56,7.533397464270921e-38,7.253049153369347e-38,2.782768420240164e-37,1.662095725326071e-37,4.0275100277815114e-42,2.694204459617797e-46,1.2327936628294237e-26,2.564192672802531e-39,7.58583436355193e-58,2.311109878051527e-56,4.04934846999704e-51,7.541412089022488e-67,2.4250009206437685e-43,6.738711644661075e-52,5.992740028435069e-25,4.0346959666389157e-60,2.465901546156744e-41,2.898942483802242e-24,2.5419230706712707e-59,1.1763827781386711e-22,1.1348541871639021e-35,1.7758502303994312e-44,5.032914937804876e-22,1.3326070298521514e-43,1.412405810150246e-37,1.2327936645033288e-26,6.954578530199772e-54,3.970174755526438e-74,1.66739315204622e-58,1.0370695489407267e-73,1.0088229214256569e-72,7.87943023003573e-22,8.321844442501372e-41,1.6585427611413064e-88,9.917060066629168e-93,2.248599248011179e-79,5.155427773410181e-37,7.662855140792825e-60,7.795607879100469e-45,1.4822973998657877e-71,3.0867536271748915e-70,2.98598157307703e-64,4.451928336643366e-58,9.505237463379019e-93,2.645655936098745e-59,1.7167334074175848e-41,1.0020814828526294e-55,1.1260851011316518e-77,1.567558655369191e-80,1.9561757557557796e-61,2.584019312003169e-65
2.5966328094601684e-21,0.671286511373092,6.892603411788891e-27,4.091906143152957e-28,5.186990231228414e-40,4.730442352784723e-41,0.0,0.0,1.4192611567551962e-21,1.1592277922718044e-38,1.4446320169082123e-51,1.6622481545519648e-51,5.776926416316261e-49,2.4887562897427394e-65,1.1008736104184497e-44,2.6227202570612476e-37,6.626154248691383e-24,3.6277550637548566e-37,3.815715952954386e-63,7.675195112646474e-62,1.7640289439984855e-36,2.3208066631116363e-56,1.3697691493563245e-24,2.367071031445435e-57,9.453636621716626e-42,1.0817375217697272e-55,8.074902282222396e-35,3.2694463216983655e-43,4.030847833524556e-61,4.477810032870162e-62,4.768444654321064e-57,2.697017720420416e-61,2.8158919185773005e-49,8.332176885436409e-62,3.76,0.0,0.7142757492664124,0.9999999999999969,2.490690347079953e-52,1.801012624008166e-21,1.0876068711901615e-16,1.043278868399346e-16,4.432800279081553e-18,1.5056783000840967e-35,3.1642482764691844e-15,6.275419442509316e-40,2.1701139375343762e-41,5.40943009337018e-43,9.807606610921378e-55,3.6270065937384574e-37,3.492030949991301e-37,1.339783206300345e-36,8.002275445771001e-37,1.9390727104593612e-41,1.2971434716307644e-45,2.817814086475462e-26,1.2345483927996496e-38,7.447817161558173e-57,2.2690613829644548e-55,3.9756743401451864e-50,7.879059669831601e-66,1.1675335596239355e-42,3.244399579960056e-51,1.3697691493565871e-24,3.961730448475816e-59,1.1872254463946852e-40,6.626154248690838e-24,2.495675151750502e-58,2.6888749214596675e-22,5.463834397802201e-35,8.549954420554952e-44,1.1503805572125262e-21,6.415929209966415e-43,6.800125986616597e-37,2.8178140945345934e-26,6.828046441035147e-53,7.844396285250403e-73,1.6370570756376407e-57,2.0490754069112978e-72,2.0790743554351008e-71,1.801012624008167e-21,4.006609873972911e-40,6.85193080552916e-87,4.0970308974142705e-91,4.442853192686979e-78,2.4821165505092625e-36,7.523436617337845e-59,3.7532496213084397e-44,1.455329261984745e-70,6.098905004811847e-69,3.212182810429831e-63,4.3709296404915965e-57,3.926894796744287e-91,2.597800974196589e-58,8.265332365509743e-41,9.838495421268465e-55,2.2252051656545282e-76,3.4971371289178573e-79,1.920937052073541e-60,2.5370056752646703e-64
5.517844720102858e-21,0.6712865113730923,1.4646782368782718e-26,8.69530055421693e-28,2.265294908721556e-39,2.0659084696993913e-40,0.0,0.0,3.0159299581047928e-21,5.062652325258568e-38,1.2777606592695802e-50,1.4702396684503851e-50,5.1096259936165077e-48,2.201276754008292e-64,4.807804282087257e-44,1.1454108412883824e-36,1.4080577778470405e-23,1.5843359460144968e-36,3.37495755725889e-62,6.788623158318428e-61,7.703977850339296e-36,2.052727211223662e-55,2.9107594423816008e-24,2.0936475210869384e-56,4.128651481973812e-41,9.570641782511641e-55,3.5265219733189588e-34,1.4278533371745176e-42,3.705043612937379e-60,4.115741328553994e-61,4.217635295829307e-56,2.4790247005999697e-60,2.4906245130177907e-48,7.373076139030056e-61,3.76,0.0,0.7142757492664122,0.9999999999999933,2.202987405850146e-51,3.8271518260173536e-21,2.311164601279093e-16,2.2169675953487255e-16,9.419700593036782e-18,6.575692713563392e-35,6.724027587462116e-15,2.740640540579421e-39,9.477457705221244e-41,2.3624402402260915e-42,8.674716979722068e-54,1.5840090694916773e-36,1.5250616597206137e-36,5.851185254469101e-36,3.494803925762886e-36,8.468439981694425e-41,5.664966330830236e-45,5.987854933795398e-26,5.39159717625725e-38,6.587509935621043e-56,2.00695909692732e-54,3.516438930766801e-49,7.807290251888503e-65,5.098925826712379e-42,1.4169145346181369e-50,2.9107594423827487e-24,3.5042812632247354e-58,5.184925436455592e-40,1.4080577778468028e-23,2.2073964225627993e-57,5.713859208101142e-22,2.3862000293013686e-34,3.733989722889326e-43,2.4445586840765444e-21,2.8020048475577474e-42,2.969793673659216e-36,5.987854968991742e-26,6.039329751924106e-52,1.3958684065104402e-71,1.4479586792114798e-56,3.6462208049215505e-71,3.7697214681857076e-70,3.827151826017356e-21,1.7497917950297847e-39,2.4931219842391767e-85,1.4907327715858451e-89,7.905819875643781e-77,1.0840055086473169e-35,6.654394487819608e-58,1.6391427163613981e-43,1.2872238252939195e-69,1.0852675592775732e-67,2.9525495873516632e-62,3.8660377678117884e-56,1.4288275853003768e-89,2.2978368570299573e-57,3.6096877937369325e-40,8.702037782695913e-54,3.959837198895579e-75,6.549750807062134e-78,1.699186902257419e-59,2.2439531301398985e-63
1.1360268541388237e-20,0.6712865113730923,3.01551406603507e-26,1.790208937639861e-27,9.457160322310703e-39,8.624761306370133e-40,0.0,0.0,6.209267560803988e-21,2.1135576872851117e-37,1.074034825080277e-49,1.2358250301041465e-49,4.2949485256879267e-47,1.8503057486167007e-63,2.007163645953542e-43,4.781864787800588e-36,2.898942483803232e-23,6.614290697574986e-36,2.8368551975875146e-61,5.706246809799721e-60,3.2162590994110623e-35,1.7254409071274618e-54,5.992740028430283e-24,1.759836893200057e-55,1.7236307210570238e-40,8.045809737296535e-54,1.472253504133645e-33,5.961008551819511e-42,3.1697428154410912e-59,3.521050879624372e-60,3.545176597734757e-55,2.120859130870346e-59,2.0935199745719202e-47,6.203167269612517e-60,3.76,0.0,0.714275749266412,0.9999999999999862,1.851743654596986e-50,7.879430230035725e-21,4.758280061456956e-16,4.564345049247849e-16,1.939350122091061e-17,2.7452222651353823e-34,1.3843586209336994e-14,1.1441634760801703e-38,3.9566520278295796e-40,9.862722955644923e-42,7.291622312319253e-53,6.61292605241634e-36,6.366832220283899e-36,2.442754662923512e-35,1.4590118436500596e-35,3.5354070034090184e-40,2.365011928135116e-44,1.2327936628546703e-25,2.250885687284873e-37,5.5371990282543276e-55,1.6869700493208987e-53,2.9557788026289556e-48,7.971092440359337e-64,2.1287011879321484e-41,5.915339262192395e-50,5.992740028435073e-24,2.945629152267969e-57,2.1646043042589666e-39,2.898942483802239e-23,1.855449721421642e-56,1.1763827781382021e-21,9.961915397916799e-34,1.558867205588058e-42,5.0329149378043495e-21,1.1697818662912647e-41,1.239830398246739e-35,1.2327936775484512e-25,5.0764205533979896e-51,2.3543360919908073e-70,1.2170966090634976e-55,6.149884810312974e-70,6.415253621992485e-69,7.879430230035736e-21,7.30503629704853e-39,8.501614779157877e-84,5.083439896958178e-88,1.333432075917379e-75,4.525509611690347e-35,5.593419524346854e-57,6.843098175256224e-43,1.081991834361829e-68,1.8304623647483827e-66,2.5259686333097517e-61,3.2496376900963315e-55,4.8723415030354756e-88,1.931514468013038e-56,1.506973597035855e-39,7.314587093465214e-53,6.679007008785817e-74,1.1313065712117369e-76,1.4283244190594073e-58,1.8861783879300441e-62
2.3045116183958995e-20,0.6712865113730923,6.117185875380804e-26,3.6315667020976915e-27,3.8635585733255856e-38,3.523496510970559e-39,0.0,0.0,1.2595942766202394e-20,8.634572789451234e-37,8.805586401101601e-49,1.013204025387805e-48,3.5212582912048884e-46,1.51699244347803e-62,8.199918415080209e-43,1.9535477942197403e-35,5.880711895717167e-23,2.7021535690478505e-35,2.3258253099449704e-60,4.678325891589445e-59,1.3139467860610517e-34,1.4146207024135283e-53,1.2156701200520162e-23,1.4428206099119517e-54,7.041593902372748e-40,6.59688228047155e-53,6.014635948849588e-33,2.435268083858978e-41,2.6208046566243614e-58,2.9112524408443364e-59,2.9065499653707214e-54,1.753569506401498e-58,1.7163941602964342e-46,5.095000935593419e-59,3.76,0.0,0.7142757492664116,0.999999999999972,1.5181713257223743e-49,1.5983987038072465e-20,9.652510981812678e-16,9.25909995704756e-16,3.9341102476511753e-17,1.1215128696985781e-33,2.80827034526428e-14,4.674281131179226e-38,1.6164214557676786e-39,4.0292441401003587e-41,5.978112512829281e-52,2.70159606695558e-35,2.601058706555478e-35,9.97944984921941e-35,5.960539445127214e-35,1.4443291287006473e-39,9.661845411628873e-44,2.5008100018495046e-25,9.195602478474523e-37,4.5397303070262005e-54,1.3830799688646264e-52,2.4233260429947847e-47,8.844612690014989e-63,8.696439158270792e-41,2.4166091016553916e-49,1.2156701200539734e-23,2.4150324437689173e-56,8.843114875891264e-39,5.880711895713107e-23,1.5212098203086634e-55,2.386376492793553e-21,4.069767489343368e-33,6.368481180805893e-42,1.0209627445259034e-20,4.778940614319065e-41,5.065111723530333e-35,2.5008100618783943e-25,4.1619562740708155e-50,3.8670041007088174e-69,9.97849371050461e-55,1.010120465143485e-68,1.0583225170433927e-67,1.5983987038072504e-20,2.984345684811706e-38,2.807776042646803e-82,1.678876440255898e-86,2.1901661887319126e-74,1.8488183401171669e-34,4.585823266213953e-56,2.795628889662246e-42,8.870866197351149e-68,3.0065399305860776e-65,2.088520209196472e-60,2.664249313181025e-54,1.609158271565767e-86,1.5835898210386e-55,6.156478857243737e-39,5.996940427959471e-52,1.097041915490764e-72,1.8796827884917032e-75,1.1710487211316152e-57,1.5464039413880285e-61
4.641481146910051e-20,0.6712865113730924,1.2320530098200823e-25,7.31428223109933e-27,1.5617121500381355e-37,1.4242537050577902e-38,0.0,0.0,2.536929317699926e-20,3.490232376437393e-36,7.130992168332606e-48,8.205188893414014e-48,2.851606258980993e-45,1.2284998114093518e-61,3.314538128782422e-42,7.896552529633376e-35,1.1844250719551236e-22,1.0922536764063703e-34,1.8835136749727065e-59,3.788629600806298e-58,5.311182991286454e-34,1.1455965213357307e-52,2.4484623544669983e-23,1.168433537556953e-53,2.846324840738667e-39,5.3425026518209316e-52,2.4312120162593863e-32,9.843755795355358e-41,2.13119482154742e-57,2.3673740222310552e-58,2.353799519353095e-53,1.4259771196987496e-57,1.389980491520581e-45,4.141077786323941e-58,3.76,0.0,0.7142757492664106,0.9999999999999435,1.2294545008891144e-48,3.219310065414592e-20,1.9440972822524108e-15,1.8648609772652826e-15,7.923630498712798e-17,4.5333343337532426e-33,5.6560937937478617e-14,1.889419168582356e-37,6.533833967951613e-39,1.628684903494708e-40,4.841230505802087e-51,1.0920283251326823e-34,1.05138951649978e-34,4.033853186695233e-34,2.409345344526522e-34,5.838209349985895e-39,3.905472395650089e-43,5.036842680017466e-25,3.717009546834595e-36,3.6763913033925287e-53,1.1200540175465336e-51,1.9624722585328685e-46,1.090297130731065e-61,3.5152399357766796e-40,9.768320373727307e-49,2.4484623544749094e-23,1.955766935772389e-55,3.574528422078237e-38,1.1844250719534824e-22,1.2319152126640095e-54,4.8063639221009475e-21,1.645065089175591e-32,2.574241916644106e-41,2.0563052460164685e-20,1.93172420507119e-40,2.047399142815921e-34,5.036842922663838e-25,3.3704600967195227e-49,6.268580287720218e-68,8.08084306452266e-54,1.6374488337021115e-67,1.719300841517252e-66,3.2193100654146084e-20,1.2063202413850634e-37,9.12731219666573e-81,5.457568259354495e-85,3.550353772575864e-73,7.4732193313669386e-34,3.7137185764462125e-55,1.1300378956839497e-41,7.183927778185015e-67,4.873730787926849e-64,1.6983507552839244e-59,2.1575781691428604e-53,5.230933555514207e-85,1.2824391006014347e-54,2.4885471877063135e-38,4.856477839739572e-51,1.778362618637264e-71,3.0643573536678596e-74,9.483544238305899e-57,1.2523195288756276e-60
9.315420203938353e-20,0.6712865113730927,2.4727220960355046e-25,1.4679713289446514e-26,6.279575882483979e-37,5.726862146109488e-38,0.0,0.0,5.0915993998593185e-20,1.4034070879658105e-35,5.739642879952096e-47,6.604249864673464e-47,2.295220801328515e-44,9.888035252835265e-61,1.332761203708152e-41,3.1751690418480223e-34,2.3771328367244167e-22,4.3919039944013085e-34,1.5160157285925903e-58,3.0494187060670206e-57,2.1356033213738793e-33,9.22075745020369e-52,4.914046823284986e-23,9.404569624459269e-53,1.1444946998691812e-38,4.3001818180096974e-51,9.775796588623275e-32,3.958141232411909e-40,1.7188858314169522e-56,1.9093696881845262e-57,1.8945426291041686e-52,1.1501078843587796e-56,1.1187772251275354e-44,3.357268836906997e-57,3.76,0.0,0.7142757492664086,0.9999999999998865,9.895719425505868e-48,6.461132788629274e-20,3.901789650394691e-15,3.742762940388675e-15,1.590267100060162e-16,1.8228337972342186e-32,1.1351740690004706e-13,7.597271377471975e-37,2.627225901815005e-38,6.548870364747322e-40,3.89664348841055e-50,4.39099786672611e-34,4.227591003727841e-34,1.621994624811454e-33,9.687871663319803e-34,2.347518369336691e-38,1.5703732739239268e-42,1.010890803706656e-24,1.4945931907811117e-35,2.9590795602781214e-52,9.01516915803e-51,1.579568404806917e-45,1.4796781523872548e-60,1.4134626654844528e-39,3.9277986614784874e-48,4.9140468233167965e-23,1.5741757911916477e-54,1.4373021571710728e-37,2.3771328367178185e-22,9.91552634181877e-54,9.646338780702511e-21,6.614734370977577e-32,1.0350913528427862e-40,4.126990248996114e-20,7.767378068892601e-40,8.232501905345458e-34,1.010890901273695e-24,2.7128395091989554e-48,1.009535530365606e-66,6.504165574833048e-53,2.6370608914545886e-66,2.7718619531613353e-65,6.461132788629341e-20,4.850560634733186e-37,2.943755021798374e-79,1.760183460789838e-83,5.717735299338895e-72,3.0049486247243736e-33,2.9891237964882314e-54,4.543832679459699e-41,5.78236329371588e-66,7.848993184711182e-63,1.3697827120234261e-58,1.7366066155859164e-52,1.6870888811223522e-83,1.0322213565219863e-53,1.0006338791327172e-37,3.908915869442098e-50,2.8640064889694597e-70,4.948945314672992e-73,7.6332167200584925e-56,1.0079781593397657e-59
1.8663298317994957e-19,0.6712865113730931,4.954061235072025e-25,2.9410575407516494e-26,2.5183908008218388e-36,2.296728373316685e-37,0.0,0.0,1.0200939564178189e-19,5.628290111904423e-35,4.6057019419363504e-46,5.299494608035777e-46,1.8417701450495302e-43,7.934525563581919e-60,5.344968518831314e-41,1.2733847986731227e-33,4.762548366272923e-22,1.7613499349699922e-33,1.2165072447383709e-57,2.4469664659560726e-56,8.564724490712559e-33,7.399077150839959e-51,9.845215760873058e-23,7.546574844516788e-52,4.589935634237851e-38,3.4506541629431854e-50,3.920531665093185e-31,1.5873999451834392e-39,1.3807025768227243e-55,1.5337082877896546e-56,1.5202511457267383e-51,9.238383197534176e-56,8.97748265007373e-44,2.7327853303144125e-56,3.76,0.0,0.7142757492664047,0.9999999999997726,7.940691630101733e-47,1.2944778235058604e-19,7.81717438667923e-15,7.498566866644816e-15,3.1860752003441565e-16,7.310378808936879e-32,2.274303447967712e-13,3.0468456188552316e-36,1.0536350922964995e-37,2.626389921617184e-39,3.1268109971027613e-49,1.76098653715244e-33,1.695453075861706e-33,6.504923900097424e-33,3.8852698375106684e-33,9.414599152375098e-38,6.297899199256459e-42,2.0253038754017443e-24,5.993987168181613e-35,2.374474991592932e-51,7.234105493544554e-50,1.267504166972552e-44,2.153661331630379e-59,5.6686186614784094e-39,1.5752229398147742e-47,9.845215761000632e-23,1.2631786983986183e-53,5.764224499362218e-37,4.762548366246458e-22,7.956586985251201e-53,1.9326288497852738e-20,2.6528043339825964e-31,4.151179281523771e-40,8.268360254949463e-20,3.115066010597047e-39,3.3016014716652284e-33,2.0253042666892086e-24,2.1768828573995956e-47,1.6205281045816342e-65,5.219183279357199e-52,4.233066771268647e-65,4.451840930006821e-64,1.2944778235058871e-19,1.9452917611672746e-36,9.457022046864368e-78,5.654714360210865e-82,9.178231442519026e-71,1.2051187981221231e-32,2.3985835981604194e-53,1.8222801337801967e-40,4.640164103197712e-65,1.2599372349647236e-61,1.1002860562219067e-57,1.3935174413452263e-51,5.41989283182149e-82,8.282937504037732e-53,4.012989399636103e-37,3.1366588102988872e-49,4.597371347675153e-69,7.955285064076305e-72,6.12518992684237e-55,8.088429296472944e-59
