Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284)
2.6237520622621916e-20,0.8705840396285741,1.0924735326742066e-48,5.137113482129928e-23,2.255285424145928e-60,2.81297071972116e-47,0.0,0.0,5.828621559272843e-48,4.3090046436706e-93,3.76749736348913e-46,3.0612316256064746e-60,6.88547208023978e-48,6.734815024814314e-89,1.0754669216321103e-69,6.692836886104292e-47,9.920079043184554e-87,7.397735239034789e-32,2.346143292883917e-62,3.562301171418547e-50,8.032961590499681e-30,3.86780935109288e-47,2.6304108168296995e-51,2.0362441485481312e-125,4.800330889580426e-81,7.943500586098176e-49,5.22952767254726e-77,2.3805289053734554e-93,3.7323568354509937e-183,2.51265504908954e-139,4.204788131203982e-79,5.09069828012946e-98,1.4288722897938697e-88,4.564127005466352e-149,3.76,0.0,0.6064403113958755,0.9999999999998131,4.325593765848006e-61,1.387702216327781e-114,1.8923802419262074e-13,1.8183543960699568e-13,7.402584585624986e-15,1.28813347676747e-29,1.8690757941068007e-13,2.1837566272544083e-33,4.64810014219909e-34,1.5341656463384482e-78,8.047221350353455e-88,7.397735239034764e-32,6.82459070927146e-32
5.2497836658469396e-20,0.8705840396286048,8.74643096875426e-48,1.0278690138969574e-22,3.6114122923958127e-59,2.2520869825436244e-46,0.0,0.0,4.666441299150859e-47,2.762616498807627e-91,3.016288690670038e-45,4.9019648689246215e-59,5.512564326349826e-47,2.1573109882222485e-87,1.7224239571979843e-68,5.3583449331467105e-46,6.356938833066712e-85,2.9610220012589205e-31,3.758197807369632e-61,2.852006968753112e-49,3.215278086409606e-29,3.0965992745448325e-46,2.1062426595001198e-50,5.226472480599436e-123,1.53851445104647e-79,6.361242931640912e-48,1.675554986871617e-75,1.5262217968583442e-91,8.44581659689833e-180,1.2894751439770322e-136,1.3476419547449228e-77,3.2647400636214653e-96,9.15643405980341e-87,4.686218216704763e-146,3.76,0.0,0.6064403113956861,0.9999999999996261,6.926594021963234e-60,1.780221135591757e-112,3.786404602219937e-13,3.638288596135523e-13,1.4811600608441283e-14,5.155890879658844e-29,3.739775459294261e-13,8.740717543256868e-33,1.8604513868185932e-33,4.91539108804516e-77,5.1567827675439654e-86,2.961022001258901e-31,2.7316148232580362e-31
1.0501846873016435e-19,0.8705840396286663,6.999802994867274e-47,2.0561843454236225e-22,5.7806253453645e-58,1.8023540414743565e-45,0.0,0.0,3.734571266570161e-46,1.7696292303492083e-89,2.413947664553277e-44,7.846340800821175e-58,4.4117268424931614e-46,6.906869587347316e-86,2.7572206127304556e-67,4.288306814154483e-45,4.071031107257e-83,1.1847944916418492e-30,6.01661361340462e-60,2.2824723581448605e-48,1.2865300439307475e-28,2.4782205393731807e-45,1.6857600914612734e-49,1.3397316784976023e-120,4.927103144731621e-78,5.091572590205903e-47,5.36514827666561e-74,9.776414585392767e-90,2.0501822377065367e-176,6.609792814173283e-134,4.315832658381169e-76,2.0915780945190085e-94,5.863849151283394e-85,4.805125344138115e-143,3.76,0.0,0.6064403113953073,0.9999999999992519,1.108706788786473e-58,2.2812222906318476e-110,7.574453322805031e-13,7.278156996274155e-13,2.9629632653087126e-14,2.0630279376435683e-28,7.48117478919912e-13,3.4974255486664975e-32,7.444228898090387e-33,1.5738956249282398e-75,3.302442159108809e-84,1.1847944916418331e-30,1.0930017385163877e-30
2.1005973287355427e-19,0.870584039628789,5.600905912205618e-46,4.112815009111899e-22,9.25089357017245e-57,1.4421570741427802e-44,0.0,0.0,2.98822442596495e-45,1.1330604494350969e-87,1.9315248951851497e-43,1.2556703529524818e-56,3.5300517704751416e-45,2.210754406273463e-84,4.4126272358029635e-66,3.431297938336651e-44,2.6062891128407833e-81,4.739949459702609e-30,9.629380394443307e-59,1.8263246738731203e-47,5.146957913790125e-28,1.9829529598484498e-44,1.3489145356838456e-48,3.431960892554079e-118,1.5772903667526907e-76,4.074289622610576e-46,1.7173872205303703e-72,6.25965712959046e-88,5.5054356431960476e-173,3.3861814223860507e-131,1.3816072196306088e-74,1.3392968645633194e-92,3.7540579548744876e-83,4.923747419004758e-140,3.76,0.0,0.6064403113945497,0.9999999999985036,1.774292348678341e-57,2.921590730150815e-108,1.515055076396576e-12,1.4557893796581423e-12,5.926569673843176e-14,8.253455112832644e-28,1.4963973447128603e-12,1.3991979582853298e-31,2.9781762988409697e-32,5.038019334054819e-74,2.114235623686632e-82,4.739949459702483e-30,4.372718673298075e-30
4.2014226116033412e-19,0.8705840396290349,4.481150183536823e-45,8.226076339028233e-22,1.4802944319637994e-55,1.1538352078432534e-43,0.0,0.0,2.3908065310150904e-44,7.253180050670783e-86,1.5453666378291306e-42,2.009277250592118e-55,2.82430956472551e-44,7.075304485693017e-83,7.0610635390801785e-65,2.745299374062708e-43,1.6682904295945745e-79,1.896134094273446e-29,1.5409247885113056e-57,1.4611984688643391e-46,2.0589507250694998e-27,1.586512995312506e-43,1.0792542364338596e-47,8.788698192016404e-116,5.048317158394785e-75,3.259844369598003e-45,5.496502903613828e-71,4.007061358057409e-86,1.6639044570945965e-169,1.734228749197118e-128,4.422008515448145e-73,8.573702037800488e-91,2.402979405419902e-81,5.043607215508166e-137,3.76,0.0,0.6064403113930344,0.9999999999970071,2.83915698393588e-56,3.740677271148148e-106,3.030274564624936e-12,2.9117367397315956e-12,1.1853782489333285e-13,3.301650736203421e-27,2.992957075546661e-12,5.597247344079874e-31,1.1913674746797496e-31,1.6124147663693522e-72,1.3533260865308788e-80,1.896134094273345e-29,1.7492298228486647e-29
8.403073177338938e-19,0.8705840396295266,3.5850903403071555e-44,1.6452599009020032e-21,2.3685922684435915e-54,9.231119887329598e-43,0.0,0.0,1.9127360272178617e-43,4.642545117479355e-84,1.2363520030155994e-41,3.2150073613913993e-54,2.2595549186215187e-43,2.264240185494353e-81,1.1298391087777608e-63,2.1963439152797405e-42,1.0677908108914855e-77,7.584845015079908e-29,2.465658815607573e-56,1.1690142699671153e-45,8.23613803137845e-27,1.2692706504468148e-42,8.634524488565358e-47,2.250275237048205e-113,1.6156195868596152e-73,2.6080405758804344e-44,1.7590191510479866e-69,2.5648011613099716e-84,5.620690502163942e-166,8.880541321623517e-126,1.4151812072910582e-71,5.487878496926542e-89,1.538029172668086e-79,5.165519188964685e-134,3.76,0.0,0.606440311390004,0.9999999999940139,4.542882571740137e-55,4.788733409053431e-104,6.060713541066516e-12,5.823631459926504e-12,2.370820811399824e-13,1.3207140341963968e-26,5.9860765342058815e-12,2.2389900437538657e-30,4.7656638184540335e-31,5.1601250179936055e-71,8.661975941735771e-79,7.584845015079099e-29,6.997204004954961e-29
1.6806374308810131e-18,0.8705840396305099,2.8681403560613695e-43,3.290564438964013e-21,3.789844577974938e-53,7.385071215678714e-42,0.0,0.0,1.5302251460409105e-42,2.9713920562647704e-82,9.891050816527294e-41,5.14414279558528e-53,1.8076868456179782e-42,7.245798781065375e-80,1.8077981808035408e-62,1.75711690149742e-41,6.83413300475791e-76,3.033999739698089e-28,3.945197430827248e-55,9.352336145253672e-45,3.29452224001365e-26,1.0154406226881356e-41,6.9078160544562875e-46,5.761176357904134e-111,5.170235659250731e-72,2.0864984972358017e-43,5.629082457479291e-68,1.6415629578241292e-82,2.071281477292688e-162,4.547167470653152e-123,4.528801459286265e-70,3.5124748527539895e-87,9.843778263633468e-78,5.289934792411001e-131,3.76,0.0,0.606440311383943,0.9999999999880277,7.268797245460982e-54,6.1300055247331826e-102,1.2121591493889116e-11,1.1647420900508327e-11,4.741705933806708e-13,5.282963614829297e-26,1.1972315439490792e-11,8.956142396026255e-30,1.9063043140541786e-30,1.65130365239781e-69,5.5438850912980815e-77,3.0339997396974415e-28,2.79893854279899e-28
3.361297657175252e-18,0.8705840396324761,2.2945395261095722e-42,6.581173531342641e-21,6.063828896226343e-52,5.908127113886301e-41,0.0,0.0,1.2241946504683998e-41,1.901743145486614e-80,7.912934595635176e-40,8.230733304198157e-52,1.44616664555352e-41,2.3186935791953583e-78,2.892523018209917e-61,1.4057102319235154e-40,4.37393211467168e-74,1.2136122466983667e-27,6.312430542099145e-54,7.481957711733369e-44,1.3178223016563908e-25,8.123621392248513e-41,5.526331780610636e-45,1.4749215476715393e-108,1.65451589818506e-70,1.669225216700935e-42,1.8013417807215121e-66,1.0506291670496799e-80,8.123975361562909e-159,2.328234321812091e-120,1.4492519313876527e-68,2.2480655861129948e-85,6.300143402390934e-76,5.4171201490785e-128,3.76,0.0,0.6064403113718213,0.9999999999760553,1.1630223721829365e-52,7.846680631401787e-100,2.424334739929207e-11,2.3294999782439988e-11,9.483476168516043e-13,2.11320693909198e-25,2.3944793201926508e-11,3.5824934073555604e-29,7.625294846533231e-30,5.284273532428462e-68,3.548157018703777e-75,1.2136122466978487e-27,1.1195868030573342e-27
6.722618109763729e-18,0.8705840396364093,1.8356425292575809e-41,1.316239178111831e-20,9.702188328356022e-51,4.7265297767634224e-40,0.0,0.0,9.793615398438481e-41,1.217132339492301e-78,6.330385292441818e-39,1.3169257202749603e-50,1.1569401913789856e-40,7.419887491751148e-77,4.62807818943011e-60,1.1245748743422998e-39,2.7993444021785935e-72,4.854473720349754e-27,1.009998055769876e-52,5.985601688057049e-43,5.27131601835997e-25,6.49893567856714e-40,4.4210975602687703e-44,3.7758765424242486e-106,5.294515713272467e-69,1.3353907472409364e-41,5.764350366024684e-65,6.724119124819768e-79,3.3464897411329475e-155,1.192077637919992e-117,4.637662976371803e-67,1.4387973818257626e-83,4.0321318935981164e-74,5.547247260980654e-125,3.76,0.0,0.6064403113475778,0.9999999999521103,1.8608476530296867e-51,1.0043927368611728e-97,4.848685920912899e-11,4.659015754937538e-11,1.896701659751701e-12,8.45287072176121e-25,4.78897485342615e-11,1.4330046562984884e-28,3.050133469770392e-29,1.6909838307120685e-66,2.2708430743607333e-73,4.854473720345609e-27,4.4783699655898794e-27
1.3445259014940684e-17,0.870584039644275,1.4685184056374016e-40,2.632482854074334e-20,1.5523551118630667e-49,3.781235101997644e-39,0.0,0.0,7.834915692321928e-40,7.78970066000527e-77,5.064323342325197e-38,2.1070878818669552e-49,9.255549147135182e-40,2.3743795472064584e-75,7.404972965379154e-59,8.996625821539334e-39,1.7915893433070432e-70,1.941794460308659e-26,1.6160042139943958e-51,4.7884955583149185e-42,2.108531769953381e-24,5.1991639691541627e-39,3.53689179974549e-43,9.666343336901076e-104,1.694255440123813e-67,1.0683168373364086e-40,1.844601207140203e-63,4.303465899325615e-77,1.4504892626392372e-151,6.103493102677494e-115,1.484061273210851e-65,9.208535183813928e-82,2.580577268588211e-72,5.68044078950657e-122,3.76,0.0,0.6064403112990908,0.9999999999042204,2.977365753689366e-50,1.285634253678882e-95,9.697388282492694e-11,9.318047309553449e-11,3.793409729384807e-12,3.381156864907415e-24,9.577965842878576e-11,5.73203324021744e-28,1.2200565045662836e-28,5.411174370880565e-65,1.4533467976201673e-71,1.941794460305343e-26,1.7913525220251556e-26
