Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139)
2.1618452198891674e-19,0.8631777887730734,6.6023988542624556e-49,7.857272799479597e-23,1.3306817205504992e-61,9.839274889897878e-76,0.0,0.0,4.460603617824679e-50,8.223119942147218e-112,1.1097007750117078e-60,1.9726310297204532e-75,6.833233657587028e-57,4.891805706090708e-99,3.069401130270564e-77,5.445498880359596e-63,4.893213813998859e-99,8.574531494464338e-76,2.051279721470883e-62,7.048459216035007e-49,1.1011769688233187e-28,2.27485767190174e-45,1.913011767218235e-75,4.381673763648979e-158,2.2174067931539224e-114,2.118222754433333e-102,2.959138737964705e-78,1.5273957522886597e-134,3.333127185160042e-211,8.78475018960448e-196,1.5485423284823022e-127,9.16419672277398e-107,6.764592158315287e-91,4.9778621794759076e-167,3.76,0.0,0.8698945694232066,1.0,2.7867227357009096e-76,1.7921677702546892e-142,8.616006285774335e-13,8.262427930764093e-13,3.535783550102378e-14,2.42588684527796e-28
4.3241596920509393e-19,0.8631777887732055,5.282922218664697e-48,1.5716251106404273e-22,2.129523985810147e-60,3.1495138157996834e-74,0.0,0.0,3.569160615925611e-49,1.0530930880648697e-109,1.775883298562167e-59,6.314315448104606e-74,1.0935398562788634e-55,3.1321315643041616e-97,9.825034237931153e-76,8.715331170335287e-62,3.1339346794882337e-97,2.7446743492807413e-74,3.283001702582218e-61,5.639838280241387e-48,4.405424918697357e-28,1.8202317679444174e-44,6.1234766362435566e-74,4.491282781440614e-155,2.84035184201672e-112,2.712483704411332e-100,9.472951724483748e-77,7.825386572017036e-132,2.735238563075093e-207,4.214136492856555e-192,3.9671658528044725e-125,1.1734875967448369e-104,4.331061510534043e-89,1.0203122065499667e-163,3.76,0.0,0.8698945694223449,1.0,8.920191635162414e-75,9.184982134125505e-140,1.7233882770427189e-12,1.6526649312450932e-12,7.072334579762413e-14,9.705127021950922e-28
8.648788636374482e-19,0.8631777887734698,4.22673907193251e-47,3.143420772025362e-22,3.407585006863639e-59,1.0079957837865164e-72,0.0,0.0,2.8555996103901474e-48,1.3483008489954626e-107,2.8417029866609053e-58,2.0208843811315717e-72,1.7498417690870459e-54,2.005004602352645e-95,3.1444831383671577e-74,1.3946556573951667e-60,2.007313061613811e-95,8.784276982888845e-73,5.253566167787348e-60,4.512299032946129e-47,1.7623133863873574e-27,1.4563236813016991e-43,1.9598068122047488e-72,4.6033161571292626e-152,3.638539423752904e-110,3.4727208108353835e-98,3.0319379168232824e-75,4.007909273248794e-129,2.2441170984231044e-203,2.2287062935575762e-188,1.0164012467441115e-122,1.5023652557044125e-102,2.7724306940791587e-87,2.0905035074853044e-160,3.76,0.0,0.8698945694206213,1.0,2.854890019438878e-73,4.707038219682553e-137,3.4469635739698767e-12,3.305509207613091e-12,1.4145436635677743e-13,3.882366758362115e-27
1.7298046525021568e-18,0.8631777887739984,3.3815517849694294e-46,6.287012094795233e-22,5.4524133319913184e-58,3.2258287097717825e-71,0.0,0.0,2.284588141198899e-47,1.726043806152421e-105,4.5469566433241464e-57,6.467315562701339e-71,2.799889238661352e-53,1.2833438913723378e-93,1.0063101600658917e-72,2.231611201249893e-59,1.2862990212289802e-93,2.8111797035047003e-71,8.406316673526866e-59,3.610010599048685e-46,7.049540393694266e-27,1.1651142547847556e-42,6.271852702041483e-71,4.7199905579709324e-149,4.663181652424768e-108,4.445557363442709e-96,9.70315081636545e-74,2.052385323070444e-126,1.8421821328992133e-199,1.3242047206370923e-184,2.6052514805293966e-120,1.9232202726793234e-100,1.7745320878602748e-85,4.2824300899493666e-157,3.76,0.0,0.8698945694171741,1.0,9.136334036390303e-72,2.4131608641993124e-134,6.894114167810533e-12,6.6111977604716076e-12,2.829164073388945e-13,1.5530098946425193e-26
3.4596562302315744e-18,0.8631777887750552,2.7053056407389218e-45,1.2574194740334972e-21,8.724083195147306e-57,1.0323039411148423e-69,0.0,0.0,1.827713895327643e-46,2.2094760632311612e-103,7.275316392521105e-56,2.069618670430012e-69,4.479936711955898e-52,8.213851959589081e-92,3.2203134067930656e-71,3.5707076469294216e-58,8.251679554678922e-92,8.996112776599159e-70,1.3450595342103442e-57,2.8880770302066693e-45,2.8198735282198044e-26,9.321135283334214e-42,2.00706821237238e-69,4.844680053255834e-146,5.982862732115547e-106,5.69061726808638e-94,3.105160186460816e-72,1.0509072528427492e-123,1.514617660734692e-195,8.792710682239208e-181,6.685047705893795e-118,2.46184531284301e-98,1.1357570012496277e-83,8.772147894418569e-154,3.76,0.0,0.8698945694102799,1.0,2.923736652394744e-70,1.238445225668142e-131,1.3788415355437216e-11,1.3222574866678728e-11,5.658404887583704e-13,6.212165956466201e-26
6.919359385690409e-18,0.8631777887771694,2.1642701981663063e-44,2.514856003141445e-21,1.3958710606942472e-55,3.30343461945537e-68,0.0,0.0,1.4621884695297707e-45,2.8282189591300957e-101,1.1640655691087665e-54,6.622904053101547e-68,7.167989884789464e-51,5.257009596234294e-90,1.030519633742282e-69,5.713236017424181e-57,5.305430155058793e-90,2.878810125886536e-68,2.1521343488213246e-56,2.3104890450152555e-44,1.1279608856119167e-25,7.456996726150715e-41,6.422738838176263e-68,4.983665447662069e-143,7.693246355286884e-104,7.28418456897313e-92,9.936755684308845e-71,5.380865222979323e-121,1.2495092929799096e-191,6.361021284339751e-177,1.7192194239090167e-115,3.1512409555942553e-96,7.26902550128252e-82,1.7969696281912974e-150,3.76,0.0,0.8698945693964912,1.0,9.356132909131356e-69,6.369770638052746e-129,2.757701773047206e-11,2.6445329081053297e-11,1.131688649418289e-12,2.4848916528313436e-25
1.3838765696608079e-17,0.8631777887813975,1.7314264330347042e-43,5.0297290613573406e-21,2.233407897045299e-54,1.0571089996907811e-66,0.0,0.0,1.1697577171189045e-44,3.620177612320266e-99,1.862517139767389e-53,2.119349186711713e-66,1.1468856733277725e-49,3.364532331885201e-88,3.2976937780951046e-68,9.141260655458376e-56,3.4265114389490676e-88,9.212278864404506e-67,3.443446234110399e-55,1.848402204580148e-43,4.511866491785336e-25,5.9656327813970645e-40,2.0552957175388985e-66,5.149454903906084e-140,9.937016334460569e-102,9.323880709619062e-90,3.179800714133262e-69,2.7550593386165254e-118,1.0378510599819003e-187,4.866044443260731e-173,4.441197687913577e-113,4.033638955578369e-94,4.6522341439454695e-80,3.681688459213753e-147,3.76,0.0,0.8698945693689141,1.0,2.9939906309315374e-67,3.290734171556976e-126,5.515422247966768e-11,5.289083751764378e-11,2.2633849620219955e-12,9.939617107565225e-25
2.7677578318443416e-17,0.8631777887898539,1.3851452565669487e-42,1.0059475177789135e-20,3.573463996055892e-53,3.3827646740444796e-65,0.0,0.0,9.358089505291254e-44,4.633864046436478e-97,2.9800380776001235e-52,6.781949222898807e-65,1.8350229109222853e-48,2.1533154735539814e-86,1.0552669610820449e-66,1.4626083473889507e-54,2.2326492373498258e-86,2.947943071060697e-65,5.509538996808344e-54,1.478726151353545e-42,1.804751187061917e-24,4.772520386070443e-39,6.576977157529041e-65,5.367450035636341e-137,1.2948653818038802e-99,1.1934646967575776e-87,1.0175424521905382e-67,1.4106048060944489e-115,8.737235120202747e-184,3.8449838091186215e-169,1.1574012754509951e-110,5.163090205212485e-92,2.977448356288924e-78,7.545931381094336e-144,3.76,0.0,0.8698945693137596,1.0,9.58081498094773e-66,1.7149186386493805e-123,1.103086319745626e-10,1.0578185442219012e-10,4.526777552364883e-12,3.975856906716663e-24
5.535520356211409e-17,0.8631777888067664,1.1081178498316626e-41,2.0118967410652722e-20,5.717551484866898e-52,1.0824872360924477e-63,0.0,0.0,7.486482715214741e-43,5.9313694737300847e-95,4.768072233210664e-51,2.1702288444944819e-63,2.9360413248941177e-47,1.3781266332372298e-84,3.3768621991206907e-65,2.3401786707291783e-53,1.4796741752675145e-84,9.43343996593426e-64,8.815282416911137e-53,1.1829826765577035e-41,7.21901393271373e-24,3.8180219743908097e-38,2.1046376271719362e-63,5.689529065448447e-134,1.7161049614391344e-97,1.527639910934707e-85,3.256145807489221e-66,7.222333538374499e-113,7.549636427050638e-180,3.0919410900662296e-165,3.0676453815229515e-108,6.6087761644974915e-90,1.905572870196591e-76,1.5477665494683116e-140,3.76,0.0,0.8698945692034508,1.0,3.065867988928932e-64,9.08808577860045e-121,2.2061745095036722e-10,2.115638883567443e-10,9.05356259359256e-12,1.5903447469631137e-23
1.1071045404945544e-16,0.8631777888405915,8.864949385286188e-41,4.0237951876379896e-20,9.148089656841826e-51,3.463963222607749e-62,0.0,0.0,5.989190622371753e-42,7.592167974204244e-93,7.62893353512833e-50,6.944740458407633e-62,4.69766985546849e-46,8.820025591535921e-83,1.0805971716911637e-63,3.744290127916076e-52,1.0119836206730273e-82,3.018704333418913e-62,1.4104467898072384e-51,9.463868440705636e-41,2.887607412987955e-23,3.0544198475585413e-37,6.73484829889724e-62,6.221829760325053e-131,2.3468175492294822e-95,1.9553823516517293e-83,1.0419682537261829e-64,3.697844229785818e-110,6.849969410229325e-176,2.50921444095281e-161,8.389188410855802e-106,8.459246746989859e-88,1.2195685330728306e-74,3.179461370185534e-137,3.76,0.0,0.8698945689828331,1.0,9.810789083613373e-63,4.968151249024575e-118,4.4123508884603555e-10,4.2312795672769855e-10,1.8107132118215565e-11,6.361382728696285e-23
