Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71),CH2CFO(79),CH2F(46),C2H4F(63),C2H4F(62),C1OO1(734),CH2O2(778),CHO2(166),C2H2O(133),S(338),S(376),CH2F2(41),CH3O2(183),C2H2O(373),S(1537),CHF2(81),C2H3F2(64),CH2CF2(57),CH3F(39),C2H3F2(65),S(3087)
0.0,0.8082866466012809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7688792621108906,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.406038578001898e-23,0.8082866466012809,9.097463054869509e-27,7.626789590967425e-27,1.160564743524618e-40,6.523645389242756e-42,0.0,0.0,7.760757663334472e-22,1.3622765607794771e-39,2.2937223239367443e-53,2.4693725501339867e-53,1.9479588229156195e-56,1.0784510368783168e-66,2.1324037719960497e-44,7.676979152020931e-38,1.8998565660147993e-23,1.2384895428191198e-37,2.5826165288146954e-62,5.061708339517097e-60,4.835473435739507e-36,4.2446513474880175e-56,9.327063291187069e-24,2.211724905603019e-58,5.446710936611132e-42,1.5169537896967713e-55,3.379449152801115e-54,3.328195978377089e-61,6.772733726550402e-62,3.2530850174527125e-62,3.0632328953699855e-58,3.4434494184572604e-76,6.753740839776408e-70,3.9858762441208125e-80,3.76,0.0,0.7688792621108904,0.9999999999999997,3.768888219647508e-54,1.3642602103566687e-39,1.4203524249931298e-16,1.3597932639255938e-16,6.0559161067536044e-18,1.41995729954279e-35,3.7255729567548786e-16,1.3841016061131723e-39,1.6076945064388609e-40,8.709880534670167e-55,3.402127169017707e-68,1.2382322468232624e-37,1.161651072824717e-37,8.829059002987475e-37,5.361594674104597e-37,6.570621241931586e-41,1.5794115768468857e-44,3.0626005501346976e-37,2.9786358598197946e-38,1.2176453417514276e-58,2.629889462036519e-57,5.955390910357209e-52,4.226879799044141e-68,6.230928130723161e-42,1.2266691625267837e-61,9.327063291187147e-24,7.999607244443898e-42,3.531226844378684e-61,4.735475845553009e-59,1.8998565660147993e-23,1.7309376430415006e-22,1.0992301102501239e-35,2.241883503848144e-43,6.029910994923292e-22,6.324834491420222e-39
2.6336908018405313e-22,0.8082866466012811,2.5472896593632994e-26,2.135501085471379e-26,7.009811050994088e-40,3.9402818202701624e-41,0.0,0.0,2.1730121457336514e-21,8.228150427108039e-39,2.7231075790734082e-52,2.931639091530602e-52,2.3126167145664935e-55,1.2803370709818487e-65,1.287971878285524e-43,4.636895407820564e-37,5.319598384841436e-23,7.480476838630654e-37,3.0660823430667023e-61,6.0092601406747105e-59,2.920625955186673e-35,5.039250079737783e-55,2.6115777215323545e-23,2.6257598079318736e-57,3.289813405713084e-41,1.8046044654051812e-54,5.106593702497279e-53,5.029569766407582e-60,1.0234955207562961e-60,4.9160620783745194e-61,3.636670093385867e-57,7.717882376192044e-75,1.9038186348098278e-68,1.1240808748640164e-78,3.76,0.0,0.7688792621108903,0.999999999999999,4.474424094804465e-53,8.240131670554274e-39,3.9769867899807637e-16,3.8074211389916804e-16,1.6956565098908257e-17,8.576542089237411e-35,1.0431604278910806e-15,8.359973700924796e-39,9.710474818893418e-40,1.0341485689988512e-53,7.611232796358407e-67,7.478922770815676e-37,7.01637247985944e-37,5.332751637803946e-36,3.238403183158884e-36,3.968655230189758e-40,9.539645924171052e-44,1.8498107322812806e-36,1.7990960593311407e-37,1.4455885497275103e-57,3.1222047693295514e-56,7.070240088774803e-51,1.3289976996405907e-66,3.763480591067111e-41,1.4563606825183593e-60,2.6115777215324012e-23,4.831762775644076e-41,4.8580497473231655e-60,5.621956923991189e-58,5.319598384841437e-23,4.846625400516026e-22,6.639349865910615e-35,1.3540976363247346e-42,1.6883750785785035e-21,3.8202000328176507e-38
6.0198646899212145e-22,0.8082866466012811,5.822376383115343e-26,4.8811453382226556e-26,3.3749222743276515e-39,1.8970760869431004e-40,0.0,0.0,4.966884904534056e-21,3.961500238746712e-38,2.673563360036683e-51,2.8783006444719287e-51,2.2705408039937376e-54,1.2570425285850896e-64,6.2010301689631626e-43,2.23246553740757e-36,1.2159082022494702e-22,3.601527590522724e-36,3.010297826164813e-60,5.899927240541169e-58,1.4061556751130656e-34,4.9475656106320645e-54,5.969320506359547e-23,2.577986549970787e-56,1.583903540366458e-40,1.7733825725845461e-53,5.4932925014794026e-52,5.41058165150746e-59,1.1010297764578435e-59,5.288475251172461e-60,3.570504262847008e-56,1.5263720442207075e-73,4.140573661178265e-67,2.4451214328147635e-77,3.76,0.0,0.7688792621108897,0.9999999999999977,4.3930161094519986e-52,3.9672686917171853e-38,9.090255519956026e-16,8.702676889123923e-16,3.8757863083210213e-17,4.129235827068873e-34,2.3843666923211253e-15,4.0249674705789277e-38,4.6751756247281787e-39,1.0153820788510768e-52,1.50392926814758e-65,3.600779373766769e-36,3.3780813197715025e-36,2.5674903580680257e-35,1.5591517312291796e-35,1.9107366572482993e-39,4.59292886549434e-43,8.906042399790555e-36,8.661873080355738e-37,1.4192874103461327e-56,3.0653991569491348e-55,6.941603645108419e-50,2.964920171937476e-65,1.8119539005797392e-40,1.4298894307746893e-59,5.969320506359772e-23,2.32628578668423e-40,5.061401687311712e-59,5.519670646043519e-57,1.215908202249471e-22,1.107800091546437e-21,3.196561160607163e-34,6.519397229197109e-42,3.859143036750778e-21,1.8392618701047545e-37
1.279221246608258e-21,0.8082866466012812,1.2372549894616818e-25,1.0372433843733215e-25,1.4739172244395822e-38,8.285029724435136e-40,0.0,0.0,1.0554630422134842e-20,1.7300912321899278e-37,2.364736590703024e-50,2.5458243243612177e-50,2.0082676280799706e-53,1.1118398809794889e-63,2.708152790433588e-42,9.749763523065371e-36,2.5838049297801215e-22,1.5728817193851466e-35,2.6625743369205676e-59,5.218418829708635e-57,6.14105126338935e-34,4.376065753206315e-53,1.2684806076013527e-22,2.2801999086802967e-55,6.917322889495533e-40,1.5691766836033556e-52,5.049228584229318e-51,4.9732567158815775e-58,1.012036055290969e-58,4.861019879879104e-59,3.1580705858144832e-55,2.7172729990181623e-72,7.675448426563336e-66,4.532843054264521e-76,3.76,0.0,0.7688792621108888,0.999999999999995,3.885572999578353e-51,1.7326104671529621e-37,1.9316792979906537e-15,1.8493188389388693e-15,8.236045905178478e-17,1.8033457704177314e-33,5.06677922117665e-15,1.7578090397655966e-37,2.041772023181421e-38,8.981133628505606e-52,2.67622502984144e-64,1.5725549534704066e-35,1.475296862484523e-35,1.1212904933786531e-34,6.809225236108321e-35,8.344688978230456e-39,2.0058527026198353e-42,3.8895026986698833e-35,3.782867541970909e-36,1.2553436415334561e-55,2.7113108397798414e-54,6.139769812933588e-49,5.552966922292083e-64,7.913278727727821e-40,1.2647312852697702e-58,1.2684806076014503e-22,1.0159501200443178e-39,4.592615077367179e-58,4.882086178711777e-56,2.5838049297801225e-22,2.354075194535823e-21,1.3960222400174542e-33,2.847192049894012e-41,8.200678953095034e-21,8.032539804101138e-37
2.6336908018405313e-21,0.8082866466012816,2.5472897173609314e-25,2.1355010854786365e-25,6.153314271637316e-38,3.458836857463661e-39,0.0,0.0,2.1730121457336335e-20,7.222790325252708e-37,1.9877036206447445e-49,2.1399187421215317e-49,1.688069948609972e-52,9.345684133411061e-63,1.1306004799110503e-41,4.0703343464004054e-35,5.319598384841413e-22,6.566471556070682e-35,2.2380541626837785e-58,4.386395459692244e-56,2.563768015629244e-33,3.678346943311679e-52,2.611577721531986e-22,1.9166454155967403e-54,2.8878461385906795e-39,1.3192412561913894e-51,4.31970089503031e-50,4.254725854613732e-57,8.658181523217234e-58,4.158704849291088e-58,2.6545486154048313e-54,4.584018430269397e-71,1.3191768492217095e-64,7.790799063988774e-75,3.76,0.0,0.7688792621108868,0.9999999999999897,3.26605822954036e-50,7.233307635310994e-37,3.976986789980751e-15,3.807421138991934e-15,1.6956565098881647e-16,7.528613602161366e-33,1.0431604278869439e-14,7.33850671562878e-37,8.523996273175302e-38,7.54926093816621e-51,4.513895303176825e-63,6.565107372700636e-35,6.15907398809084e-35,4.681167083377157e-34,2.842717496206195e-34,3.4837433833516805e-38,8.374040180660407e-42,1.6237908116803514e-34,1.579272732876248e-35,1.055191970838867e-54,2.279020129567043e-53,5.1608464766459695e-48,9.59136910333392e-63,3.3036380964478054e-39,1.063086925636476e-57,2.611577721532394e-22,4.2413917610036425e-39,3.906307552814383e-57,4.1036876019214244e-55,5.319598384841419e-22,4.8466254005134656e-21,5.828118044544331e-33,1.1886466337464427e-40,1.6883750785782374e-20,3.353427247348713e-36
5.342629912305078e-21,0.8082866466012822,5.167359275555251e-25,4.33201648770208e-25,2.5138296583084602e-37,1.4130477469253258e-38,0.0,0.0,4.4081103527738994e-20,2.95074552171071e-36,1.6296395321737687e-48,1.754434673355866e-48,1.3839817327719026e-51,7.662156495013596e-62,4.618871866283698e-41,1.662864392243417e-34,1.0791185294963956e-21,2.6826178893649035e-34,1.83489202070095e-57,3.596232012707033e-55,1.0473828880750537e-32,3.0157310604886935e-51,5.297771949392602e-22,1.5713817105444408e-53,1.1797793757132582e-38,1.0816946458978499e-50,3.571604234066757e-49,3.517889663102245e-56,7.158751916210035e-57,3.438497590860218e-57,2.176359335981201e-53,7.530015477596306e-70,2.186410175686272e-63,1.291267809876852e-73,3.76,0.0,0.7688792621108826,0.9999999999999789,2.6777118635626845e-49,2.9550421860409057e-36,8.067601773960923e-15,7.723625739098513e-15,3.4397603486241003e-16,3.0756843090893824e-32,2.1161254394181974e-14,2.998019442919522e-36,3.482330608757633e-37,6.189370853482536e-50,7.41412705935092e-62,2.6820605759460284e-34,2.516182689759396e-34,1.9124094962773402e-33,1.1613428527863118e-33,1.4232228442320151e-37,3.4210686520980244e-41,6.633715295604742e-34,6.451844417802314e-35,8.65110129709574e-54,1.8684783948135253e-52,4.2311737467519596e-47,1.5936202955670947e-61,1.3496439581296266e-38,8.715845121100355e-57,5.29777194939427e-22,1.732746927575093e-38,3.2209074591703705e-56,3.364451031982478e-54,1.0791185294963982e-21,9.831725812464231e-21,2.3809763880046333e-32,4.856009344727252e-40,3.424989445115235e-20,1.3699844501776483e-35
1.0760508133234171e-20,0.8082866466012835,1.0407498801527168e-24,8.725047292200217e-25,1.0161301410870984e-36,5.71176517531284e-38,0.0,0.0,8.878306766854304e-20,1.1927385182372927e-35,1.3197243491901587e-47,1.4207866854683893e-47,1.120784289365953e-50,6.205012984469243e-61,1.867021857754857e-40,6.721563742586014e-34,2.1734359115208875e-21,1.0843570422666e-33,1.4859431321166416e-56,2.9123219225016943e-54,4.233689095715952e-32,2.442217200891687e-50,1.0670160405111229e-21,1.2725456500204594e-52,4.768856867124228e-38,8.760246430831633e-50,2.9043660826774e-48,2.860689528756479e-55,5.821378168718772e-56,2.7961291357643292e-56,1.762472216204133e-52,1.2207080263549187e-68,3.5599794457786984e-62,2.1024948891736014e-72,3.76,0.0,0.7688792621108744,0.9999999999999575,2.1684804915618863e-48,1.1944752986573166e-35,1.6248831741921178e-14,1.5556034939313463e-14,6.92796802607718e-16,1.243240773689987e-31,4.2620554624514894e-14,1.2118473930408007e-35,1.4076137097488443e-36,5.012325205852507e-49,1.2018651816620147e-60,1.084131767272012e-33,1.017081273491558e-33,7.730264951900307e-33,4.694333493694636e-33,5.752894293256102e-37,1.3828506474369148e-40,2.681453786461916e-33,2.6079386697920573e-34,7.005886125372155e-53,1.5131422476903227e-51,3.4265142006857616e-46,2.598003270000525e-60,5.455476673712113e-38,7.05832382125839e-56,1.0670160405117974e-21,7.004040123654804e-38,2.615666740288815e-55,2.724619677518509e-53,2.173435911520898e-21,1.9801926636347677e-20,9.624287245680051e-32,1.962876618069979e-39,6.898218178187352e-20,5.537696189278056e-35
2.1596264575092357e-20,0.8082866466012858,2.088777949180411e-24,1.7511108901401506e-24,4.085814610470701e-36,2.2966758610845243e-37,0.0,0.0,1.78186995950146e-19,4.7959491232861183e-35,1.0622289715615878e-46,1.143572730425648e-46,9.021047021397504e-50,4.994334273806027e-60,7.507212775392078e-40,2.7027112183794047e-33,4.3620706755698066e-21,4.360151975322998e-33,1.196016308411414e-55,2.344090049510779e-53,1.7023477649467274e-31,1.965708871372502e-49,2.1414937316538064e-21,1.0242554481051451e-51,1.9175363720746344e-37,7.05116932468154e-49,2.342475204634627e-47,2.3072498669296862e-54,4.6951523869784684e-55,2.255179444727687e-55,1.4185909712190366e-51,1.9659606776950547e-67,5.7458030809688544e-61,3.3934352281427715e-71,3.76,0.0,0.7688792621108581,0.9999999999999145,1.745381753272013e-47,4.8029326409687114e-35,3.261129167784135e-14,3.1220853339750524e-14,1.3904383380908167e-15,4.999016471250419e-31,8.553915508401211e-14,4.872785068479912e-35,5.659952817903473e-36,4.034360268651841e-48,1.9355694112920204e-59,4.359246154477686e-33,4.0896390677765115e-33,3.10830553819933e-32,1.8875708513742686e-32,2.313213495675314e-36,5.560381633983351e-40,1.0782007740711038e-32,1.0486406689918271e-33,5.638946652075897e-52,1.2179085213360445e-50,2.7579567286756748e-45,4.195782204006472e-59,2.193623180823568e-37,5.681155656118312e-55,2.141493731656518e-21,2.816293728832565e-37,2.108229058885435e-54,2.193010957103328e-52,4.362070675569848e-21,3.9742328284042257e-20,3.869883572329667e-31,7.892640550984076e-39,1.3844675644324075e-19,2.226683282029529e-34
4.326777745880873e-20,0.8082866466012906,4.184834742569044e-24,3.508323212062411e-24,1.6385944046817266e-35,9.21069906340515e-37,0.0,0.0,3.569948525133312e-19,1.9233901025048062e-34,8.523718535997857e-46,9.176450969733232e-46,7.238822109432518e-49,4.007638722504438e-59,3.010728091201485e-39,1.0839080802813727e-32,8.739340203667385e-21,1.7486159547676584e-32,9.597277675165783e-55,1.880984639098161e-52,6.827175931087175e-31,1.5773575732563014e-48,4.2904491139350066e-21,8.219004917481253e-51,7.690178491110987e-37,5.658183620185325e-48,1.8816029714386833e-46,1.8533087697989886e-53,3.7714017305609936e-54,1.8114827719236906e-54,1.1383299146653158e-50,3.155840700345999e-66,9.233336859248125e-60,5.4531593136702234e-70,3.76,0.0,0.7688792621108254,0.9999999999998287,1.4005589368939993e-46,1.926190805441033e-34,6.53362115496803e-14,6.255049014065334e-14,2.7857214090269464e-15,2.0048291914146525e-30,1.7137635599833206e-13,1.954204753137448e-34,2.2698942276392448e-35,3.23732199122001e-47,3.107019638719598e-58,1.748252680094838e-32,1.6401281796973237e-32,1.2465695431654498e-31,7.570003350615362e-32,9.277020747776107e-36,2.2299617298719855e-39,4.3240673410834114e-32,4.2055180986549814e-33,4.524899559929039e-51,9.772948871637538e-50,2.2130865846590422e-44,6.744597336821169e-58,8.797410112197662e-37,4.558770661379056e-54,4.290449113945881e-21,1.1294597470763621e-36,1.6928853969346475e-53,1.7597531886200133e-51,8.739340203667549e-21,7.962313157914212e-20,1.551996397273189e-30,3.1653018680612374e-38,2.773759057656745e-19,8.929995869325135e-34
