Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71),CH2CFO(79),CH2F(46)
0.0,0.7263827482631106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7653300794542538,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.801552257377676e-22,0.7263827482631106,1.9075655594167893e-37,3.86389271657192e-28,3.1076500220293956e-42,2.601213948160397e-57,0.0,0.0,4.655229737384861e-40,1.7727092472642915e-74,2.226394816061449e-55,6.582632695374296e-61,1.70431331457812e-57,3.094773380238046e-69,3.724342457813925e-46,2.673813531701928e-57,4.656370501640263e-74,2.2401557762411026e-38,2.4034838272049443e-64,1.4081442825622986e-62,2.6212633182209792e-37,1.065782806006039e-57,4.325535048442523e-62,-2.586455386075245e-130,1.3608305632990995e-79,1.3300608392227156e-59,1.1944609512683092e-72,2.2390086056264168e-112,1.463311834869507e-162,-6.680689310400983e-137,3.3914870579270644e-78,1.626725358376546e-95,2.3789261321080114e-76,-2.4246840782867715e-110,3.76,0.0,0.7653300794542537,0.9999999999999998,3.927808052325218e-73,-1.3361070536226062e-107,3.501325351493997e-17,3.35138404621074e-17,1.4994130528325699e-18,1.4556883719595463e-36,3.6076120403412753e-16,8.41008300215165e-41,4.845202774718875e-42,4.156994042617776e-77,4.786464320721103e-75,2.2401557762411026e-38,2.1357318222652357e-38,1.2135338607381406e-37,6.986869284160311e-38,3.107650022305771e-42,3.7243424578212956e-46
5.044346320657493e-22,0.7263827482631106,1.1521695978875882e-36,1.0818899606404254e-27,1.8770206133274116e-41,3.088161199262816e-56,0.0,0.0,2.8117587613805e-39,5.57368150687859e-73,2.6431759256307657e-54,7.814901535966027e-60,2.0233607670686278e-56,3.6741149570181053e-68,2.2495028445193035e-45,3.175457757253652e-56,1.464037387663603e-72,1.3530540888507084e-37,2.85341599993231e-63,1.671748892257965e-61,1.5832430442054808e-36,1.2652973472903724e-56,5.48890831330286e-61,4.4951369665174055e-128,4.2786690239129634e-78,2.009987940233881e-58,3.755576344539295e-71,1.7369445856554674e-110,4.445824183297152e-160,1.1610721624173623e-134,1.0663377948076315e-76,9.409765198858837e-94,7.47972438764202e-75,1.2565170674219672e-108,3.76,0.0,0.7653300794542537,0.999999999999999,1.0075906205822143e-71,6.923959008974182e-106,9.803710984183191e-17,9.38387532939014e-17,4.1983565479305295e-18,8.792357766634139e-36,1.0101313712950063e-15,5.079690133300903e-40,2.9265024759317284e-41,1.3070254389096887e-75,1.5049409658838126e-73,1.3530540888507084e-37,1.2899820206475445e-37,7.3297445188573814e-37,4.220069047632273e-37,1.8770206136555258e-41,2.249502844528346e-45
1.1529934447217126e-21,0.7263827482631106,5.547200646781732e-36,2.4728913386080433e-27,9.03704626438609e-41,3.0319749779962643e-55,0.0,0.0,1.3537408076315835e-38,1.2434576834055275e-71,2.5950857976092854e-53,7.672716669783038e-59,1.9865475994768263e-55,3.607267852003906e-67,1.0830387867318282e-44,3.118168044586536e-55,3.266186875370998e-71,6.5143729973252474e-37,2.801500749839042e-62,1.641332975754628e-60,7.622633729386746e-36,1.2422764386806481e-55,5.544002660062242e-60,1.1687557113531583e-125,9.545475223117164e-77,2.1622533051092768e-57,8.378484230698823e-70,1.8935222058986346e-108,6.378507487946404e-157,3.018839539761811e-132,2.3789409610597954e-75,4.220347538812003e-92,1.668685365022075e-73,1.3187657761868088e-106,3.76,0.0,0.7653300794542536,0.9999999999999977,2.1048627619744886e-70,7.266976640005922e-104,2.240848224956158e-16,2.14488578957492e-16,9.596243538123781e-18,4.2331417856560776e-35,2.3088717058145605e-15,2.445652137027624e-39,1.408984966890497e-40,2.915901854862559e-74,3.3574405082774445e-72,6.5143729973252474e-37,6.210708139137435e-37,3.5289564670250305e-36,2.0317815878329854e-36,9.037046267607534e-41,1.0830387867408339e-44
2.4501110700336393e-21,0.7263827482631107,2.422608260456956e-35,5.2548940945478825e-27,3.946715528312647e-40,2.681747532038052e-54,0.0,0.0,5.912141766479457e-38,2.3288586248908125e-70,2.2953239995835995e-52,6.786431003738082e-58,1.757078854807025e-54,3.1905875640869394e-66,4.729914921418921e-44,2.7581768540073184e-54,6.117206541956605e-70,2.844997835842808e-36,2.4778956882761456e-61,1.4517404295504542e-59,3.3290044141407874e-35,1.0987794416800052e-54,4.965148952609219e-59,2.0475475082852766e-123,1.7877618674767944e-75,1.9874833108373738e-56,1.5691973699276289e-68,1.5491521915382884e-106,5.2185379021599104e-154,5.288716296734128e-130,4.4554931375831585e-74,1.5878571671806097e-90,3.125263011869876e-72,1.0528945568126418e-104,3.76,0.0,0.7653300794542534,0.9999999999999951,3.8386721160810805e-69,5.801909851510892e-102,4.761802478031833e-16,4.557882302846839e-16,2.0392017518499642e-17,1.8487242323862664e-34,4.906352374844858e-15,1.0680805412752317e-38,6.153407523916001e-40,5.46116146513728e-73,6.2881144971545916e-71,2.844997835842808e-36,2.712379414266648e-36,1.5411880031359074e-35,8.873323990874995e-36,3.946715531161975e-40,4.729914921499085e-44
5.044346320657493e-21,0.7263827482631107,1.011391259600652e-34,1.0818899606445979e-26,1.6476760419817184e-39,2.254170388129571e-53,0.0,0.0,2.4682028067620697e-37,4.022524128261261e-69,1.9293581253123998e-51,5.70440417189688e-57,1.4769306494176958e-53,2.681881094934263e-65,1.9746463711286563e-43,2.3184901740739196e-53,1.0565953060406344e-68,1.1877305925779571e-35,2.0828206321442056e-60,1.2202753049600159e-58,1.3897938113208927e-34,9.235903271599725e-54,4.197907140676232e-58,3.0424728732421123e-121,3.0879140411154336e-74,1.7003338161389686e-55,2.7103982247209757e-67,1.114979728973379e-104,3.335566623825864e-151,7.858560449456257e-128,7.695756392335295e-73,5.498336411316769e-89,5.398114655573216e-71,7.499904620521352e-103,3.76,0.0,0.7653300794542528,0.9999999999999899,6.550315731144582e-68,4.1327757106386666e-100,9.803710984183183e-16,9.383875329391097e-16,4.198356547920873e-17,7.718059748108295e-34,1.0101313712870208e-14,4.459026007758484e-38,2.568926511176588e-39,9.432798336393694e-72,1.0861154051202084e-69,1.1877305925779568e-35,1.1323650121558453e-35,6.434156529619844e-35,3.7044380944540564e-35,1.647676044376751e-39,1.97464637119624e-43
1.0232816821905199e-20,0.7263827482631107,4.131863304301112e-34,2.1946910630315826e-26,6.731294256271021e-39,1.848105075494496e-52,0.0,0.0,1.0083413820370324e-36,6.683484001045441e-68,1.5818043580661198e-50,4.676815185888216e-56,1.2108769787992075e-52,2.1987681540527922e-64,8.06707473728698e-43,1.9008686990192696e-52,1.755548904040608e-67,4.852267017695546e-35,1.707622195795405e-59,1.0004554209348379e-57,5.677761197800467e-34,7.5721515118299365e-53,3.451407751021679e-57,4.188528038993986e-119,5.130615363064817e-73,1.4058688804216858e-54,4.503367187798569e-66,7.557837306911084e-103,1.9025812662781354e-148,1.0818765576442875e-125,1.278661434581017e-71,1.829346006812804e-87,8.969048237829705e-70,5.059711745276395e-101,3.76,0.0,0.7653300794542518,0.9999999999999795,1.0820241128522607e-66,2.7881226310416758e-98,1.9887527996485866e-15,1.90358613824813e-15,8.516666140045647e-17,3.153079241181292e-33,2.0491236388779925e-14,1.8216576186129943e-37,1.0494903018326459e-38,1.567273551638433e-70,1.8045969901710896e-68,4.852267017695545e-35,4.62608055622164e-35,2.628562883701579e-34,1.5133838344197072e-34,6.731294275906945e-39,8.067074737841876e-43
2.060975782440061e-20,0.7263827482631111,1.6701652104014205e-33,4.420293267835015e-26,2.7208967635889677e-38,1.4966434056044475e-51,0.0,0.0,4.075877086112135e-36,1.0895765745975662e-66,1.2809861802529732e-49,3.787406192451698e-55,9.805995715619775e-52,1.7806194580575366e-63,3.260840590224212e-42,1.5393848736879703e-51,2.8619877923427437e-66,1.9613639096801737e-34,1.38287673185238e-58,8.101947384315146e-57,2.295041855742646e-33,6.1321246155658576e-52,2.7989128866781953e-56,5.557771626486463e-117,8.364197942547741e-72,1.1432292254890798e-53,7.341625107271655e-65,4.976465110986462e-101,1.0274471708499762e-145,1.4355455614283615e-123,2.0845408559061942e-70,5.9682749988178106e-86,1.4621812304949568e-68,3.3240241272501e-99,3.76,0.0,0.7653300794542498,0.9999999999999587,1.7589435113888455e-65,1.8316827837971069e-96,4.0055162021091186e-15,3.833983348866849e-15,1.7153285324227012e-16,1.2745250426776607e-32,4.127108174003544e-14,7.363431352490636e-37,4.2422075991428614e-38,2.5550514489278596e-69,2.9419485518310407e-67,1.9613639096801724e-34,1.8699357254567246e-34,1.0625071446919644e-33,6.117339427954091e-34,2.7208967794906476e-38,3.260840590673901e-42
4.136363982939144e-20,0.7263827482631117,6.715660854428892e-33,8.871497677559736e-26,1.0940606225597896e-37,1.2046288180398459e-50,0.0,0.0,1.638892249968773e-35,1.7596690783842428e-65,1.0310491212167528e-48,3.0484340010558717e-54,7.892718454674591e-51,1.4331974502228635e-62,1.3111696596190092e-41,1.2390357102661466e-50,4.622117932915285e-65,7.886558017329865e-34,1.1130595087598014e-57,6.521152108390346e-56,9.228262362337022e-33,4.9356673733927765e-51,2.2543558100150926e-55,7.242367886734534e-115,1.3508202020075948e-70,9.220557866954278e-53,1.185674415861873e-63,3.230280694433058e-99,5.401667442677945e-143,1.8706686370488479e-121,3.366539050561583e-69,1.9283544085371074e-84,2.3614265949991592e-67,2.155271425838859e-97,3.76,0.0,0.7653300794542458,0.9999999999999172,2.836685411481599e-64,1.1876488898849819e-94,8.039043007030161e-15,7.694777770106991e-15,3.4426523692317016e-16,5.124809140898612e-32,8.283077244029076e-14,2.960803361339023e-36,1.705773017767051e-37,4.126414915996365e-68,4.751254773067999e-66,7.886558017329855e-34,7.518929309038874e-34,4.272294498005244e-33,2.4597552789220562e-33,1.0940606353588444e-37,1.3111696599810856e-41
8.28714038393731e-20,0.7263827482631126,2.6932803678503134e-32,1.77739064974806e-25,4.3876724339309945e-37,9.666387618860757e-50,0.0,0.0,6.572690934863322e-35,2.8286166504003364e-64,8.273519866834622e-48,2.4461763029482617e-53,6.333409494467638e-50,1.1500506941592692e-61,5.258376769937687e-41,9.942500606250102e-50,7.429919594350753e-64,3.1628625002183474e-33,8.931601696298471e-57,5.232813879170408e-55,3.700945951422202e-32,3.9605622296752186e-50,1.8095970221758214e-54,9.35329111625602e-113,2.171404022814245e-69,7.406453514435723e-52,1.9059369945136199e-62,2.0820054714469886e-97,2.802389520486711e-140,2.415909909075993e-119,5.41161320081147e-68,6.200511478746435e-83,3.7959242899879345e-66,1.3883710531735451e-95,3.76,0.0,0.7653300794542377,0.999999999999834,4.5566823285126417e-63,7.650532178522123e-93,1.6106096616872163e-14,1.54163666125981e-14,6.897300042740613e-16,2.0552776781429126e-31,1.6595015383177858e-13,1.1874145731041406e-35,6.8409127273444766e-37,6.633091464387129e-67,7.637503293287667e-65,3.162862500218339e-33,3.015426945047467e-33,1.7133811767103407e-32,9.864718820738087e-33,4.38767253663535e-37,5.258376772843633e-41
