Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71),CH2CFO(79),CH2F(46),C2H4F(63),C2H4F(62),C1OO1(734),CH2O2(778),CHO2(166),C2H2O(133),S(338),S(376),CH2F2(41),C2H2O(373),CH3O2(183)
0.0,0.6403826645132289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.585405107144262,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.9112885421202962e-22,0.6403826645132289,2.4321281577190856e-38,2.461657558874979e-29,1.8524715312331647e-43,2.614572719425568e-54,0.0,0.0,4.866613568445185e-41,4.1975784817073076e-76,4.5414763034213163e-54,5.240212358282409e-54,2.1603857777890932e-58,1.564605026169942e-71,9.449737878050205e-48,3.305954245200399e-39,1.1960596899060626e-72,4.578388847268121e-39,3.834299478947869e-66,7.627255187186552e-65,1.601199378817844e-38,3.5289532302625354e-59,7.779566119636887e-26,3.430342202363814e-95,8.677007416448485e-82,8.892813719716222e-61,2.130696157473305e-74,8.972792137916337e-95,-7.355189994791863e-141,-6.571526609203576e-129,2.9458399189117587e-80,3.2231144596296154e-97,5.052018321462968e-78,-9.820626735571861e-113,3.76,0.0,0.585405107144262,0.9999999999999997,7.404647848400868e-55,3.119444707610865e-97,8.026934685242921e-18,7.708388358999586e-18,3.1854632624333507e-19,1.5820860031844526e-37,3.998450294756309e-16,6.043345881989829e-42,1.7444409935025497e-43,2.0755665160933833e-74,1.7936599479592488e-76,4.578388847268119e-39,4.421839195340499e-39,1.5764605771014626e-38,8.605341941465696e-39,1.7539267517898826e-43,9.055002969971426e-48,5.817064285208056e-57,1.8280482834703631e-59,2.334640794010234e-59,7.387516903066204e-58,1.252333164183198e-52,2.1692398632958853e-70,9.85447805425114e-45,1.491143629958243e-64,7.779566119637216e-26,1.1336556123440248e-64,4.216798313687956e-88
1.095160791793683e-21,0.6403826645132289,1.4690054072620092e-37,6.892641164851952e-29,1.1188928049284893e-42,3.1040207325017994e-53,0.0,0.0,2.9394345953410316e-40,1.3197858359045474e-74,5.391640667421494e-53,6.221180111856619e-53,2.564809995395129e-57,1.8574990870685194e-70,5.707641678341041e-47,1.9967963641008768e-38,3.760603034615085e-71,2.7653468637545624e-38,4.552080344673354e-65,9.055077358227885e-64,9.671244248059866e-38,4.189573274967686e-58,2.1782785134982203e-25,2.0868445623972e-93,2.7281899646567437e-80,1.3438820093238965e-59,6.699249630479866e-73,4.286410477802247e-93,7.443643394665195e-139,1.1413777468507973e-126,9.262192039489601e-79,1.8582117497385868e-95,1.5884353926614076e-76,5.089234188129415e-111,3.76,0.0,0.585405107144262,0.9999999999999989,8.790797925620844e-54,1.8977104454315057e-95,2.2475417118680178e-17,2.1583487405199077e-17,8.91929713481101e-19,9.555799459231402e-37,1.119566082530407e-15,3.650180912723725e-41,1.0536423600766841e-42,4.668773088008484e-73,5.639553862413367e-75,2.76534686375456e-38,2.6707908739827703e-38,9.521821885690665e-38,5.197626532644122e-38,1.0593717586645046e-42,5.469221793890631e-47,6.946067978225705e-56,2.7625465661954176e-58,2.7716855506564275e-58,8.770460067318047e-57,1.4867699325171375e-51,6.820437136160749e-69,5.952104756898999e-44,1.7702857175256782e-63,2.1782785134984205e-25,1.5022496733653336e-63,1.3393278640561e-86
2.5032246669569897e-21,0.6403826645132289,7.072628682642321e-37,1.5754608376813944e-28,5.386987213780597e-42,3.0475459617617143e-52,0.0,0.0,1.4152112257040703e-39,2.9443695985859696e-73,5.293544779266956e-52,6.1079915251355854e-52,2.5181456626030313e-56,1.8237036185023346e-69,2.7479837749350755e-46,9.6137149450403e-38,8.389698499742476e-70,1.3313954767924485e-37,4.469259482779756e-64,8.890328646184679e-63,4.656287793602423e-37,4.1133478851940263e-57,4.978922316566857e-25,9.421013887194076e-92,6.086441737604005e-79,1.4456869407880824e-58,1.4945657400386732e-71,2.2319250491455873e-91,1.5588133743192787e-136,2.967157367674793e-124,2.0663440927710407e-77,8.33328267285597e-94,3.543711981756432e-75,5.341358306189921e-109,3.76,0.0,0.585405107144262,0.9999999999999974,8.630857532093986e-53,8.567172077664244e-94,5.1372381985554695e-17,4.9333685497599014e-17,2.038696487955684e-18,4.60070609725635e-36,2.5590081886345205e-15,1.7574049824853936e-40,5.072834409122235e-42,9.24959026254059e-72,1.2581534437803608e-73,1.331395476792446e-37,1.2858708380006787e-37,4.5843473582077985e-37,2.502433436576486e-37,5.1004190029559134e-42,2.6331948637094954e-46,6.837240078373959e-55,2.9718215341819957e-57,2.7212573095215116e-57,8.6108897022073e-56,1.4597195361683553e-50,1.5216020015661337e-67,2.865682236373017e-43,1.7380770152009923e-62,4.978922316567819e-25,1.5434396789035445e-62,3.0549571282066185e-85
5.319352417283603e-21,0.6403826645132289,3.088802760298299e-36,3.3478542800770106e-28,2.352638845652345e-41,2.695519890817454e-51,0.0,0.0,6.18059923192756e-39,5.514478398456252e-72,4.682080409773266e-51,5.402449333570209e-51,2.227271321494699e-55,1.613045197777328e-68,1.2001167105103873e-45,4.198561891401963e-37,1.5712976784096855e-68,5.814553836101375e-37,3.953009412057744e-63,7.863395007781917e-62,2.0335232110987993e-36,3.638209622271495e-56,1.0580209922702414e-24,3.5571955874015777e-90,1.1399231789916989e-77,1.328835368512467e-57,2.799156224295024e-70,8.907026969692874e-90,2.505100826257421e-134,5.197867149862649e-122,3.870033799058737e-76,3.135215304887454e-92,6.636980353271068e-74,4.2645079127856887e-107,3.76,0.0,0.5854051071442619,0.9999999999999946,7.633895745783015e-52,3.2348011682310916e-92,1.0916631171930371e-16,1.0483408168240268e-16,4.332230036901052e-18,2.0092492240400802e-35,5.437892400820992e-15,7.675049270155274e-40,2.2154400617654592e-41,1.6479343499297133e-70,2.3563821584912515e-72,5.814553836101352e-37,5.6157357780375954e-37,2.0021049329154933e-36,1.0928784265643466e-36,2.2274869838156445e-41,1.1499853772295554e-45,6.054431035604947e-54,2.7316159905582154e-56,2.4069212730414733e-56,7.616234426371128e-55,1.2911053989387908e-49,2.849792146805522e-66,1.251518731693156e-42,1.537309436997226e-61,1.0580209922706615e-24,1.3923680245631468e-61,5.973469011845276e-84
1.095160791793683e-20,0.6403826645132288,1.2895143492182133e-35,6.892641164881116e-28,9.821804067473642e-41,2.265746885487911e-50,0.0,0.0,2.580278513991596e-38,9.524890079410581e-71,3.9355707009204616e-50,4.541084187515133e-50,1.872155748905335e-54,1.3558616819933088e-67,5.010251022924321e-45,1.7528169408029625e-36,2.7140259853170135e-67,2.4274617668852397e-36,3.32274261819789e-62,6.609657309132998e-61,8.489559106493449e-36,3.0581344060938874e-55,2.178278513496667e-24,1.2341563976438768e-88,1.9689338179973197e-76,1.136846634557044e-56,4.834846276469779e-69,3.1656968903035484e-88,3.581576434469647e-132,7.723367938133114e-120,6.684520978540376e-75,1.0856296973379609e-90,1.1463733065511346e-72,3.037664351550636e-105,3.76,0.0,0.5854051071442617,0.9999999999999888,6.41674935105074e-51,1.122302798158586e-90,2.2475417118680173e-16,2.1583487405202514e-16,8.919297134776604e-18,8.388219988846396e-35,1.1195660825106919e-14,3.2041819866562754e-39,9.249026147704834e-41,2.7810975067259436e-69,4.070064190809719e-71,2.4274617668852196e-36,2.3444591413291758e-36,8.358393979761675e-36,4.562552297348937e-36,9.299319719371808e-41,4.800962575067451e-45,5.091877444511193e-53,2.336954991830815e-55,2.023162357924889e-55,6.401903947901315e-54,1.0852518827368912e-48,4.922307237812737e-65,5.2248444335929504e-42,1.2922012118872245e-60,2.17827851349842e-24,1.1811588264991299e-60,1.1188086030838875e-82
2.2216118919243283e-20,0.6403826645132289,5.268086874708206e-35,1.398221493454082e-27,4.012527443026533e-40,1.8575961873815014e-49,0.0,0.0,1.05412796538116e-37,1.5825747323736025e-69,3.2266186377779372e-49,3.723055178753838e-49,1.5349063938788958e-53,1.1116173246060205e-66,2.0468510233220326e-44,7.160829133254489e-36,4.509394766296986e-66,9.916973379275427e-36,2.7241851839625812e-61,5.418996400701724e-60,3.468261902495652e-35,2.5072433508143065e-54,4.418793555946776e-24,4.110256085226236e-87,3.271413003657484e-75,9.399667819145385e-56,8.033169399568955e-68,1.0662938989081471e-86,4.841385689785529e-130,1.0632519527910843e-117,1.1106431581654265e-73,3.611965191442467e-89,1.90471639618687e-71,2.0493201963631664e-103,3.76,0.0,0.5854051071442615,0.9999999999999772,5.26083880165093e-50,3.7377369065291245e-89,4.559298901217978e-16,4.378364587913308e-16,1.809343133046696e-17,3.426861566305838e-34,2.2711197673330702e-14,1.3090128914438756e-38,3.778528969696634e-40,4.569251900622292e-68,6.762472535543604e-70,9.916973379275262e-36,9.577880570333632e-36,3.414676668399216e-35,1.8639514858755403e-35,3.799075570350013e-40,1.961349863636682e-44,4.175728416193617e-52,1.932239582020299e-54,1.6587107354256904e-54,5.248667643212124e-53,8.897550616127065e-48,8.17848709275732e-64,2.1345195077434162e-41,1.0594246254219023e-59,4.418793555953936e-24,9.726789861166635e-60,2.1481737886140367e-81
4.474514092185619e-20,0.640382664513229,2.1294449442036666e-34,2.816136247406619e-27,1.6219277504091045e-39,1.504329553971069e-48,0.0,0.0,4.260953776638693e-37,2.579996235012426e-68,2.612999428604859e-48,3.015026612225565e-48,1.24300699296387e-52,9.002165300840121e-66,8.27369909952645e-44,2.894521627460774e-35,7.351451581540091e-65,4.0085991988909454e-35,2.206115846168098e-60,4.388443782257843e-59,1.4019269137260675e-34,2.0304306701631268e-53,8.89982364083602e-24,1.341656043870321e-85,5.3332289139187886e-74,7.643653764868134e-55,1.309609358847596e-66,3.4996833437073673e-85,6.367072557380268e-128,1.410824240045992e-115,1.8106286597805684e-72,1.178406653207399e-87,3.105168457540814e-70,1.3463197372984033e-101,3.76,0.0,0.5854051071442611,0.9999999999999543,4.260363658022442e-49,1.2200595849661857e-87,9.182813279917893e-16,8.818396282701846e-16,3.6441699721604696e-17,1.3851922358899717e-33,4.5742271368385986e-14,5.291239400459883e-38,1.527341823086297e-39,7.407986167673023e-67,1.102453702403257e-68,4.008599198890812e-35,3.8715324635208986e-35,1.3802669053389427e-34,7.53438992605375e-35,1.5356471163543476e-39,7.928089743058665e-44,3.3820518009132894e-51,1.5712651423357202e-53,1.3432669586535662e-53,4.2505071383351155e-52,7.205467173323023e-47,1.3332998102417717e-62,8.628069730039734e-41,8.579495297656479e-59,8.899823640864967e-24,7.8941344963345315e-59,4.445201894134157e-80
8.9803184927082e-20,0.640382664513229,8.562404464125195e-34,5.651965755394079e-27,6.52170017470171e-39,1.2108152987429266e-47,0.0,0.0,1.7133107732364714e-36,4.1667008110802624e-67,2.1031692659455076e-47,2.426755721718174e-47,1.0004801672065425e-51,7.245725804679184e-65,3.3268180188179814e-43,1.1638744158268487e-34,1.1872613940919138e-63,1.611840107595419e-34,1.7756740491538936e-59,3.5322013419418866e-58,5.637086461110357e-34,1.6342672468234864e-52,1.7861883810570625e-23,4.336000498972264e-84,8.613179122467127e-73,6.164883671855831e-54,2.115022612653528e-65,1.1340931997961764e-83,8.26055660511966e-126,1.8384488126589212e-113,2.924170122340303e-71,3.807435453936621e-86,5.014855373150277e-69,8.729432632659678e-100,3.76,0.0,0.5854051071442602,0.9999999999999082,3.4291113152198987e-48,3.9430217905901195e-86,1.8429842037317715e-15,1.7698459672288629e-15,7.313823650290822e-17,5.569797057438731e-33,9.180441875292742e-14,2.1275840912802885e-37,6.141374296133919e-39,1.193115854111441e-65,1.780465684248123e-67,1.6118401075953118e-34,1.556726175848411e-34,5.549992519937726e-34,3.029545051769384e-34,6.174769746469286e-39,3.1878500177852454e-43,2.722344744763392e-50,1.2672822668312911e-52,1.0811781101113493e-52,3.4211779306374763e-51,5.799586842254001e-46,2.1532827545913525e-61,3.4693093728836076e-40,6.905524225411783e-58,1.7861883810687014e-23,6.360727879996138e-58,1.0225359771321751e-78
1.799192729375336e-19,0.6403826645132292,3.433907152912322e-33,1.1323624771698542e-26,2.615493480502359e-38,9.716030227469876e-47,0.0,0.0,6.871142497695519e-36,6.697849860688208e-66,1.6876608829341096e-46,1.9473186394546033e-46,8.028223263114024e-51,5.8142386381934255e-64,1.3342028210777395e-42,4.667656962968796e-34,1.9084880157039818e-62,6.464199746018627e-34,1.4248667382985766e-58,2.834369126638372e-57,2.260723795762267e-33,1.3113965430198878e-51,3.578600414986428e-23,1.3943927794197047e-82,1.3845434462779093e-71,4.951969826176642e-53,3.3998370781368745e-64,3.651960807117839e-82,1.0644957690587532e-123,2.3742956078514975e-111,4.700518069149684e-70,1.2242578023792983e-84,8.061233611824589e-68,5.6232785845356645e-98,3.76,0.0,0.5854051071442583,0.999999999999816,2.751645872547616e-47,1.26801673880089e-84,3.692389955211729e-15,3.5458586451501007e-15,1.4653131006162751e-16,2.2337377352091278e-32,1.8392871349973377e-13,8.532563791851632e-37,2.4629657727796505e-38,1.915281181529418e-64,2.8620466192844734e-66,6.4641997460177665e-34,6.243168227029555e-34,2.2257952299083024e-33,1.2149830654367687e-33,2.4763590276037143e-38,1.2784704380965057e-42,2.1845802508289754e-49,1.0179500450055222e-51,8.675773434706301e-52,2.7452798309827705e-50,4.653803195184931e-45,3.461339138068511e-60,1.3913486138397484e-39,5.541248313237294e-57,3.5786004150331047e-23,5.106818291138589e-57,2.6230803164121256e-77
