Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71),CH2CFO(79),CH2F(46),C2H4F(63),C2H4F(62),C1OO1(734),CH2O2(778),CHO2(166),C2H2O(133),S(338),S(376),CH2F2(41),CH3O2(183),C2H2O(373),S(1537),CHF2(81),C2H3F2(64),CH2CF2(57),CH3F(39),C2H3F2(65),S(3087),CF2CH(73),C2HF2(72),C2HF(58),C2HF(4088),S(3189),S(4414),CF2(43),CF2O(49),S(4555),S(5169),C2F(4087),F(37),C2H3F2(66),S(4570),CHF3(42),CHO2(165),S(459),C2H2F2(59),CHF2O(616),CHFO2(172),S(4185),S(3185),CFO(51),C#CC(5436),CFO3(6311),C3H4(6313),S(3720),C3H4(6745),C2H2F3(67),C2H2F3(68),S(3125),C2H4(456),S(1075),S(4373),C3H3(4302),C3H3(8085),CHF(40),CF(50),S(7024),S(1340),S(8723),CHO3(1596),S(1341),S(5297),S(3358),S(5795),C3H5(1339),S(1542),CFO2(168)
0.0,0.7630097168758972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.8450353849259871,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1073551397353444e-22,0.7630097168758972,5.225551746316046e-27,1.5586748155778384e-27,1.3141231334889377e-39,7.02366070589809e-42,0.0,0.0,6.829191401553075e-22,1.695091056480517e-39,4.211153272668825e-53,4.723958899332993e-53,5.48675490094307e-50,1.4552891962929027e-65,1.4435402615214802e-44,6.320229295320265e-38,9.294874929523045e-24,9.27501976279597e-38,5.316074494451675e-63,3.5036850772481356e-61,1.6602672009112098e-36,1.2823649044085025e-56,3.253329155196796e-24,2.3186642665026602e-58,3.4753361620172884e-42,5.10062309724045e-56,7.289105264960435e-35,8.298006227594965e-43,5.589634069194683e-62,3.2657882324257123e-62,5.2824525232321306e-58,1.4195352373795977e-61,3.2157462909620417e-50,1.3046811346867638e-62,3.76,0.0,0.845035384925987,0.9999999999999993,1.3325484905162793e-53,2.607547936634714e-21,9.072524085375521e-17,8.680608785175992e-17,3.919153001995299e-18,7.461765231872802e-36,5.331212563844748e-16,5.0400656812329904e-40,3.691906320066024e-41,3.811049310794315e-43,5.110799764034169e-56,9.273038377632345e-38,8.795358129436151e-38,5.025773026180778e-37,3.3446687785425992e-37,2.0279034154589013e-41,8.457402006235377e-43,9.187269008003716e-26,1.2080961442862163e-38,9.283359012496457e-53,6.346530713550424e-57,1.1432403883798872e-51,2.7295907651585863e-65,1.621387686898971e-42,2.9169119701683756e-50,3.253329155196859e-24,1.176269674523422e-41,7.370935133367528e-62,3.3109119660941074e-59,9.294874929522904e-24,1.4315911160651957e-22,1.032009280597136e-35,4.932282252804672e-28,5.3976525410051235e-22,1.9003624384144926e-38,2.3361375355608327e-58,2.1005647884116176e-73,5.140982557476037e-54,8.260373321931297e-74,4.047465694683505e-60,1.4040352993504407e-76,2.607547936634714e-21,6.883604310188542e-41,9.509351946065383e-81,7.530157736943355e-81,4.20004503977273e-79,9.18726901527882e-26,3.965796026584594e-37,8.413386387184217e-60,3.300276470224261e-44,2.924027396314859e-56,5.216448699953927e-61,1.8607782446358355e-51,2.63307430679696e-41,1.810642965173148e-80,7.976721568432079e-63,1.1948472495185017e-39,6.082613437322355e-59,1.2179912968094805e-73,4.9612965880436145e-78,1.1555749799784004e-77,3.208772552947853e-79,6.786477924262395e-76,6.06845949568751e-63,1.2857509314764077e-57,1.740038772916504e-55,9.352340002184783e-64,5.289412285764135e-58,2.0725143082358916e-61,5.507833859565909e-75,1.6115565038061522e-93,4.932282252804687e-28,1.0040353136860308e-38,3.0290131611964963e-81,3.7583994355705595e-80,2.3048242438726494e-82,1.2182099892669176e-97,8.111174019737963e-80,1.903161024071606e-81,7.962146316665235e-54,5.0846313762312526e-54,2.0357165229789824e-60,1.3748453905262355e-40,9.852867114275908e-76
5.900594391258964e-22,0.7630097168758975,1.4631544925354353e-26,4.364289483620242e-27,7.937303726289241e-39,4.24229107499527e-41,0.0,0.0,1.91217359243486e-21,1.0238349981142313e-38,4.99948127642973e-52,5.6082840053387205e-52,6.513875418398573e-49,1.727719333838828e-64,8.718983179589236e-44,3.817418494373288e-37,2.6025649802664996e-23,5.6021119367372526e-37,6.311243640314655e-62,4.159574923709271e-60,1.0028013893504416e-35,1.5224236145139266e-55,9.109321634550824e-24,2.752718217191948e-57,2.099103041858434e-41,6.066085350154234e-55,4.402619580035346e-34,5.011995827311666e-42,8.44705500536729e-61,4.931586820298536e-61,6.271327635587961e-57,2.1452016757922082e-60,3.817733996629569e-49,1.5490699945562457e-61,3.76,0.0,0.8450353849259868,0.9999999999999984,1.5820015679944768e-52,7.301134222577197e-21,2.5403067439051456e-16,2.4305704598492995e-16,1.097362840558461e-17,4.506906200050162e-35,1.4927395178755889e-15,3.044199671465673e-39,2.229911417321254e-40,2.301873783721737e-42,6.067541479863934e-55,5.6009151800952206e-37,5.312396310176269e-37,3.035566907812669e-36,2.0201799422393884e-36,1.2248536630217577e-40,5.108270811766099e-42,2.572435322245533e-25,7.296900711488724e-38,5.6071631483056716e-52,7.534601263121186e-56,1.3572549890840438e-50,3.246976916915384e-64,9.79318163066398e-42,1.7618148301896882e-49,9.109321634551206e-24,7.104668834121492e-41,1.0013775572464501e-60,3.9307146868061345e-58,2.6025649802664132e-23,4.008455124982368e-22,6.233336054806555e-35,1.3810390307853086e-27,1.5113427114814162e-21,1.147818912802284e-37,2.773465940280096e-57,4.698882102211453e-72,6.103374492234683e-53,1.8478124706224887e-72,4.805151272728918e-59,3.1407708032352934e-75,7.301134222577199e-21,4.157697003354141e-40,2.1272039929269988e-79,1.68446616512257e-79,9.395332752168816e-78,2.5724353266396976e-25,2.3953408000569885e-36,9.988372318863402e-59,1.993366988026831e-43,3.471405324904537e-55,6.205248645895609e-60,2.209115932212348e-50,1.5903768813050981e-40,5.692951185429462e-79,9.46996384604284e-62,7.216877387091673e-39,7.223771212158753e-58,3.8285514240226597e-72,1.1101881496653302e-76,3.6333126290477994e-76,1.0088894310077085e-77,1.9220087476223034e-74,9.170656033852014e-62,1.5264435058492123e-56,2.0657740312064366e-54,1.1103098184167806e-62,6.279590268895024e-57,2.4604889867373632e-60,1.7317510907893827e-73,9.28174034499303e-92,1.3810390307853172e-27,6.064373294662605e-38,9.523702021010491e-80,1.1817009169398905e-78,7.246736194943985e-81,7.410965851250428e-96,2.550282890592817e-78,5.983842765460792e-80,9.45266010713626e-53,6.036474369859046e-53,3.076374809525919e-59,8.30406615877278e-40,2.2052983868596602e-74
1.3487072894306204e-21,0.7630097168758972,3.3443531426108647e-26,9.975518819714237e-27,3.82147007220992e-38,2.0424805462244e-40,0.0,0.0,4.370682496993963e-21,4.929324792245336e-38,4.9085204124349654e-51,5.506246493219381e-51,6.395361512536016e-48,1.6962850871986796e-63,4.197815080503709e-43,1.837922679078907e-36,5.948719954895075e-23,2.697175747033745e-36,6.196416432283629e-61,4.083895326041307e-59,4.828057020250863e-35,1.494724532579023e-54,2.0821306593258056e-23,2.7026350690354687e-56,1.0106277559146146e-40,5.960374654202012e-54,2.119671811049358e-33,2.413060309751075e-41,9.086956313609342e-60,5.303911867670703e-60,6.157226661099276e-56,2.3077101411997827e-59,3.748273876743518e-48,1.521209240104863e-60,3.76,0.0,0.8450353849259865,0.9999999999999966,1.5532185206242258e-51,1.6688306794462164e-20,5.806415414640332e-16,5.5555896225127885e-16,2.508257921275431e-17,2.169881329427092e-34,3.4119760408540545e-15,1.4656511001039496e-38,1.073606357877223e-39,1.108253139581943e-41,5.957148204966195e-54,2.6965995602233567e-36,2.557690144035281e-36,1.4614947960125886e-35,9.726296807996743e-36,5.897143133423018e-40,2.4594125034131453e-41,5.879852165153824e-25,3.5131435875842855e-37,2.6996222579705697e-51,7.397516199696165e-55,1.332560996693868e-49,3.2007703025814127e-63,4.714995396193299e-41,8.482380012369489e-49,2.0821306593259896e-23,3.420592213514149e-40,1.0385023954089442e-59,3.859198989722697e-57,5.948719954894656e-23,9.162183142815998e-22,3.0010829879762515e-34,3.1566606417949913e-27,3.454497626243151e-21,5.5262539709083024e-37,2.723006821898032e-56,9.284201801240252e-71,5.992329268991382e-52,3.650966058916193e-71,4.717726013725088e-58,6.205633842047871e-74,1.6688306794462167e-20,2.0017521334032196e-39,4.2029966254925656e-78,3.3282212854530415e-78,1.8563594269302217e-76,5.879852186309835e-25,1.1532534845306404e-35,9.80664317289653e-58,9.597203975579559e-43,3.408246333143172e-54,6.0977312692837164e-59,2.16892312220395e-49,7.65698008416157e-40,1.2700660926077504e-77,9.297666660165291e-61,3.474615801599691e-38,7.093433628458195e-57,8.54079863871682e-71,2.1938975366779812e-75,8.105720607151493e-75,2.2507768216484095e-76,4.1851764172379775e-73,9.865373402230077e-61,1.4986712857294985e-55,2.0281891937113487e-53,1.090108792062593e-61,6.1653389703178e-56,2.4157226776788723e-59,3.863441420057139e-72,4.162321949652811e-90,3.1566606417950333e-27,2.919734692197441e-37,2.1246855311643112e-78,2.636309740464424e-77,1.616706981132686e-79,3.345664236884529e-94,5.689540838072039e-77,1.3349624039152805e-78,9.280677746678014e-52,5.926646332126767e-52,3.309423637076729e-58,3.998050395641773e-39,4.35846254669667e-73
2.866002990040068e-21,0.7630097168758975,7.106750499832797e-26,2.1197977491938947e-26,1.6689363795558428e-37,8.920049230299342e-40,0.0,0.0,9.28770030611215e-21,2.152765641730248e-37,4.341530736965841e-50,4.87021266718571e-50,5.656624832669481e-47,1.5003449498094407e-62,1.8332961321314987e-42,8.026691205054399e-36,1.2641029904152968e-22,1.177927509888162e-35,5.480660164052972e-60,3.612159167241583e-58,2.1085393451583366e-34,1.322066921849982e-53,4.424527651066922e-23,2.390450112193512e-55,4.413676925761818e-40,5.273733030893849e-53,9.257163686488005e-33,1.0538468929632342e-40,8.352478396918222e-59,4.874750570915447e-59,5.445997253392181e-55,2.1211833345197066e-58,3.315305796126292e-47,1.346067172596003e-59,3.76,0.0,0.8450353849259858,0.9999999999999927,1.3738041918665238e-50,3.546265193823208e-20,1.2338632756110697e-15,1.1805627947840115e-15,5.330048082705804e-17,9.476441844462765e-34,7.250449086795934e-15,6.400883415180196e-38,4.688721026504573e-39,4.840032624739325e-41,5.269030124745399e-53,1.1776758739674143e-35,1.1170104824334793e-35,6.382731743241505e-35,4.2477293487437926e-35,2.5754373389435316e-39,1.0740900547917872e-40,1.2494685851042284e-24,1.5342821032434628e-36,1.1790087669614816e-50,6.543019304403706e-54,1.178635110800498e-48,2.853765436232959e-62,2.0591623651423917e-40,3.704478205337684e-48,4.424527651067727e-23,1.4938624866447847e-39,9.405231261576209e-59,3.4134178048553813e-56,1.264102990415114e-22,1.9469639178480398e-21,1.3106517863581356e-33,6.707903863814359e-27,7.340807455766331e-21,2.413460296785329e-36,2.4084692986905283e-55,1.6520743159480305e-69,5.300147377449847e-51,6.496699031469347e-70,4.172775232595054e-57,1.1042593856185038e-72,3.5462651938232097e-20,8.742177473943496e-39,7.4790079298151e-77,5.9223919512715706e-77,3.3032924153168514e-75,1.2494685943436144e-24,5.036560953760788e-35,8.673864829719996e-57,4.191351117356283e-42,3.014555284501766e-53,5.395511425022789e-58,1.918387939347683e-48,3.3440043696280146e-39,2.378693230588476e-76,8.223680868192547e-60,1.517456006888382e-37,6.274495480671731e-56,1.59956068694547e-69,3.90420977473665e-74,1.5181117619694383e-73,4.2154558886517543e-75,7.761959275203685e-72,9.067978041169859e-60,1.325557780315518e-54,1.793910373325716e-52,9.641889318218929e-61,5.453172511196751e-55,2.13667935121702e-58,7.2357982044231e-71,1.565969546344994e-88,6.70790386381454e-27,1.2751248483796705e-36,3.979300856695464e-77,4.937516378016778e-76,3.0279132522744094e-78,1.2632591569586184e-92,1.065588031611905e-75,2.5002368394337973e-77,8.208654366572529e-51,5.2420515636217494e-51,3.0419304859575786e-57,1.746053645959516e-38,7.75659889637208e-72
5.900594391258964e-21,0.7630097168758976,1.4631545442560955e-25,4.364289483653527e-26,6.967480853982367e-37,3.723945026695059e-39,0.0,0.0,1.9121735924348465e-20,8.987372781459617e-37,3.6493181890332176e-49,4.093707199417148e-49,4.754734009066538e-46,1.2611303328790348e-61,7.653650466579855e-42,3.350985572376699e-35,2.602564980267172e-22,4.917615478351978e-35,4.6068251055991135e-59,3.036237428985343e-57,8.802736699241137e-34,1.1112769083237375e-52,9.109321634547837e-23,2.009317354722811e-54,1.8426232331014396e-39,4.4336235599591885e-52,3.8646836114714494e-32,4.399603820398911e-40,7.145721118453302e-58,4.170276923415672e-58,4.577688837465721e-54,1.8147172270087602e-57,2.786714283799848e-46,1.1324175816696173e-58,3.76,0.0,0.8450353849259845,0.999999999999985,1.1547652011887323e-49,7.301134222577185e-20,2.5403067439051406e-15,2.430570459849618e-15,1.0973628405552283e-16,3.956227925924835e-33,1.4927395178619488e-14,2.6722428242025493e-37,1.957448730917577e-38,2.0206183446106365e-40,4.428937302746143e-52,4.916564947893519e-35,4.6632988801828325e-35,2.6646648584737727e-34,1.7733433863785089e-34,1.075194392055926e-38,4.4841145437050425e-40,2.5724353223106718e-24,6.405325757005233e-36,4.922236499795267e-50,5.499801971802001e-53,9.907138287172087e-48,2.4369364929222903e-61,8.59659754096423e-40,1.5465467294847353e-47,9.109321634551197e-23,6.23658181432353e-39,7.992809208370524e-58,2.869183343010665e-55,2.6025649802664072e-22,4.008455124979773e-21,5.471713205723969e-33,1.38103903078531e-26,1.511342711481152e-20,1.0075721648463945e-35,2.024463805312932e-54,2.7864649746692975e-68,4.455093228577567e-50,1.0957632494052849e-68,3.5074690115691015e-56,1.8624948557921506e-71,7.301134222577191e-20,3.6496870052656074e-38,1.261444002841039e-75,9.98897966078751e-76,5.571485477795193e-74,2.5724353608832876e-24,2.102665053293668e-34,7.29090602893079e-56,1.7498065846665772e-41,2.533915357202671e-52,4.5360998163183466e-57,1.6125206545782034e-47,1.396055997460036e-38,4.1086010168602614e-75,6.9124992836614305e-59,6.335080116946059e-37,5.274263500572252e-55,2.7628132038645082e-68,6.585249486975706e-73,2.6221605410622693e-72,7.281151737806056e-74,1.3343623342372352e-70,7.757846523981266e-59,1.1142111852030838e-53,1.50788975998855e-51,8.104589786095296e-60,4.5837200944652046e-54,1.7960077392849276e-57,1.2498041982215577e-69,5.422455357574296e-87,1.3810390307853856e-26,5.323395233149036e-36,6.873252648836023e-76,8.528331670032585e-75,5.22996715804107e-77,4.382832858796883e-91,1.8405383316132682e-74,4.318537375310646e-76,6.899868603578227e-50,4.406260196507989e-50,2.6024355743790534e-56,7.289430260490874e-38,1.3083401136136222e-70
1.1969777193696755e-20,0.7630097168758979,2.9681136241154445e-25,8.853272952631557e-26,2.8464432722520474e-36,1.521353105502631e-38,0.0,0.0,3.8789807160820847e-20,3.671635031978987e-36,2.991931537096697e-48,3.356268493979456e-48,3.8982182095509106e-45,1.0339508411785205e-60,3.126765948060031e-41,1.368986946281768e-34,5.279488959972108e-22,2.0090063808001423e-34,3.776953559409492e-58,2.4892908860239782e-56,3.5962051678701015e-33,9.110919499682107e-52,1.8478909601504395e-22,1.6473597652429127e-53,7.52771714037485e-39,3.6352442583581847e-51,1.5788493568025376e-31,1.797382118609071e-39,5.908220405438016e-57,3.447997255015177e-57,3.753065881328321e-53,1.5004436701573896e-56,2.2847167360381307e-45,9.300101737574618e-58,3.76,0.0,0.8450353849259818,0.9999999999999697,9.467462799256702e-49,1.4810872280085115e-19,5.1531936804932745e-15,4.930585789981393e-15,2.226078905118816e-16,1.616248196272617e-32,3.028128736202578e-14,1.0916983868286213e-36,7.996816765672712e-38,8.254885249385672e-40,3.6311103859390935e-51,2.0085772048103095e-34,1.9051097522309488e-34,1.0886025405567002e-33,7.244686361033956e-34,4.392519924007859e-38,1.831907104157799e-39,5.218368796838562e-24,2.616784572369474e-35,2.0109816490356516e-49,4.509069940461475e-52,8.122470531849359e-47,2.0605362400559938e-60,3.5119906065190614e-39,6.318148028429222e-47,1.8478909601518124e-22,2.5478471658050056e-38,6.587666640322012e-57,2.3523298602079867e-54,5.279488959968983e-22,8.131437539238657e-21,2.235373382142888e-32,2.801536319593062e-26,3.0658666432897226e-20,4.116261056095118e-35,1.6597778354955822e-53,4.5767772228232875e-67,3.65255459417443e-49,1.7997944275148317e-67,2.8756350080427977e-55,3.0591533933658805e-70,1.4810872280085146e-19,1.491016228007162e-37,2.0719255625446474e-74,1.6406929087747987e-74,9.151181627381454e-73,5.2183689544202845e-24,8.590072825410732e-34,5.9775252604874194e-55,7.148530846862978e-41,2.077456902547541e-51,3.719305890269875e-56,1.3220418570216528e-46,5.703344271463053e-38,6.8265020396639214e-74,5.667284548364345e-58,2.5880869363461775e-36,4.324228314085658e-54,4.590430596477939e-67,1.0816475092264559e-71,4.356758956678767e-71,1.2097742511212314e-72,2.21184001970568e-69,6.414338183600254e-58,9.134976474338669e-53,1.2362591281001662e-50,6.6446337538763605e-59,3.758010703783729e-53,1.4724756548799567e-56,2.0765683677499425e-68,1.8040850523855712e-85,2.80153631959337e-26,2.1747806508443827e-35,1.1420012077979216e-74,1.4169950623787828e-73,8.689668665759913e-76,1.4596663328548636e-89,3.058081965661695e-73,7.175314438863003e-75,5.6569291536252185e-49,3.612518324097107e-49,2.151744059067073e-55,2.9779701096283687e-37,2.1490138637332517e-69
2.410814279857234e-20,0.7630097168758986,5.978032149089012e-25,1.783123989082267e-25,1.1505778814359892e-35,6.14955292244965e-38,0.0,0.0,7.812594963376464e-20,1.4841335843193447e-35,2.42294373127797e-47,2.71799324441338e-47,3.156878174208966e-44,8.373201981704037e-60,1.2638887888897096e-40,5.533664119044409e-34,1.0633336919386726e-21,8.120725004094637e-34,3.0586749249496126e-57,2.0158922987315214e-55,1.4536436272303056e-32,7.3782588274079e-51,3.7218085535396424e-22,1.3340746485796806e-52,3.042823625981026e-38,2.9440315059371596e-50,6.381961536451937e-31,7.265309153661807e-39,4.804466712466071e-56,2.803827070387609e-56,3.039330055606689e-52,1.2201364817112623e-55,1.850222848114853e-44,7.55714892998796e-57,3.76,0.0,0.8450353849259766,0.9999999999999389,7.666996835634133e-48,2.9830348395100883e-19,1.037896755366951e-14,9.930616450247192e-15,4.483511034223163e-16,6.533133625137393e-32,6.098907172787506e-14,4.412819427161184e-36,3.232441194850099e-37,3.336756602158799e-39,2.940567333470956e-50,8.11899020596604e-34,7.700758219203584e-34,4.400305521475848e-33,2.9284180596821384e-33,1.7755267878134738e-37,7.404861411748723e-39,1.0510235746354359e-23,1.0577461629373095e-34,8.129416195404544e-49,3.6515617432196094e-51,6.5777872258672856e-46,1.7700445726369088e-59,1.4196027639181312e-38,2.5538964618642615e-46,3.7218085535451926e-22,1.0298805609898733e-37,5.348697112774806e-56,1.9049777201642845e-53,1.063333691937409e-21,1.6377402367738095e-20,9.035736616068356e-32,5.642530897208576e-26,6.174914506904995e-20,1.6638585322221781e-34,1.3441311617063714e-52,7.419153212582966e-66,2.9579334092206856e-48,2.9175443253942547e-66,2.3287637853960134e-54,4.959019478532331e-69,2.9830348395101003e-19,6.026925986602316e-37,3.35868062221541e-73,2.6596339073409615e-73,1.483445976910533e-71,1.051023638332488e-23,3.4722447794737544e-33,4.840754933720837e-54,2.889550464018874e-40,1.6823784613827043e-50,3.01212485858608e-55,1.0706237720664118e-45,2.3053829431416066e-37,1.1128921247494701e-72,4.589513961544481e-57,1.0461461196207028e-35,3.5018995032509044e-53,7.483540160556763e-66,1.7534118552541297e-70,7.102616688491563e-70,1.972237360587057e-71,3.6015980162666556e-68,5.216034350653688e-57,7.397740789178325e-52,1.0011546941171206e-49,5.380998936666473e-58,3.043334555413833e-52,1.1924489618263963e-55,3.385330538233441e-67,5.885837015318574e-84,5.642530897209823e-26,8.790811108172178e-35,1.8617501961555234e-73,2.3100595834301143e-72,1.4166353123109779e-74,4.7645940240873976e-88,4.985445424413603e-72,1.1697573493142587e-73,4.581127894251769e-48,2.9255109996706434e-48,1.7497625335737836e-54,1.2037431319292876e-36,3.483693217202757e-68
4.8384874008323504e-20,0.7630097168759,1.1997870660055622e-24,3.5787173768145108e-25,4.6264230576386065e-35,2.4727085264509705e-37,0.0,0.0,1.5679823457964826e-19,5.967635867981437e-35,1.950195907172446e-46,2.187677424543344e-46,2.5409301967692246e-43,6.7394814069556225e-59,5.082041232257094e-40,2.2250620043227892e-33,2.1341032838234944e-21,3.265307808234908e-33,2.4618876918357477e-56,1.6225655006931393e-54,5.845037091551897e-32,5.938664598350021e-50,7.469643740309615e-22,1.0737793390479938e-51,1.2235059971821144e-37,2.3696592849739073e-49,2.5661586648906488e-30,2.9213514732114386e-38,3.8749764573718505e-55,2.2613773569452975e-55,2.4463172446570828e-51,9.840852555850438e-55,1.4892203138960448e-43,6.1239988649403435e-56,3.76,0.0,0.8450353849259662,0.9999999999998775,6.171066067359047e-47,5.986930062513204e-19,2.0830515300021855e-14,1.9930677770787797e-14,8.998375292340536e-16,2.626944296861952e-31,1.2240464045572054e-13,1.7743752834129537e-35,1.299750387709048e-36,1.3416951542176747e-38,2.366824413623356e-49,3.26461025340997e-33,3.0964410106507056e-33,1.7693434969179393e-32,1.1775040221340441e-32,7.13931515689434e-37,2.977462205897793e-38,2.1093969647226022e-23,4.253150799803786e-34,3.2693709387562494e-48,2.9390945694758844e-50,5.294375413782221e-45,1.587865907563083e-58,5.708160348604482e-38,1.0269105431360068e-45,7.469643740331931e-22,4.141104439948634e-37,4.3106226459762634e-55,1.5332918163691991e-52,2.134103283818414e-21,3.2869332024663633e-20,3.633229952701877e-31,1.1324520052439655e-25,1.2393010234128056e-19,6.69030197888097e-34,1.081873710837514e-51,1.1948317615186008e-64,2.380802142107995e-47,4.698615193121342e-65,1.8743916923743387e-53,7.986347992179536e-68,5.986930062513252e-19,2.4234004318396863e-36,5.409051599713344e-72,4.2832584156985104e-72,2.389044013701415e-70,2.1093972208456472e-23,1.3961743543348306e-32,3.896260706771789e-53,1.1618755333133175e-39,1.3541245493265516e-49,2.424473875487929e-54,8.617311539205127e-45,9.269843419841224e-37,1.7973237550247761e-71,3.6940401149492827e-56,4.206507535814002e-35,2.8186442841119983e-52,1.2085920958877785e-64,2.8238274382485186e-69,1.1470744923710437e-68,3.185168605474374e-70,5.813147446343302e-67,4.20692238787315e-56,5.954345376033887e-51,8.058163963141424e-49,4.331099700980088e-57,2.4495405020247898e-51,9.597866651852475e-55,5.467317861944577e-66,1.901714826895769e-82,1.132452005244467e-25,3.534746483163437e-34,3.006731543726493e-72,3.7307523998696234e-71,2.2878698259364574e-73,1.539834458540634e-86,8.051507678356438e-71,1.889161244349183e-72,3.687290278177297e-47,2.354705766166289e-47,1.4112468728305104e-53,4.840198190715683e-36,5.6104198803724195e-67
9.693833642782584e-20,0.7630097168759029,2.4037553526066757e-24,7.1699041526550835e-25,1.8554025684535718e-34,9.916669888563744e-37,0.0,0.0,3.141428044713997e-19,2.3932888920981144e-34,1.5649093973151212e-45,1.7554733602850388e-45,2.0389364606676642e-42,5.408009391322054e-58,2.0381258339685997e-39,8.923493820591125e-33,4.275642467600732e-21,1.3095344758317618e-32,1.9755098501438263e-55,1.3020066287126127e-53,2.344121299408398e-31,4.765404336209535e-49,1.4965314113815824e-21,8.616402953248395e-51,4.906806275129432e-37,1.901521107318517e-48,1.0291443988484898e-29,1.1715947000792468e-37,3.1125918208343685e-54,1.8164569887881572e-54,1.9630155254248757e-50,7.904723695108297e-54,1.1950055140554215e-42,4.980481749384506e-55,3.76,0.0,0.8450353849259453,0.9999999999997548,4.951891879514239e-46,1.199472050851929e-18,4.173361079272602e-14,3.993080041190501e-14,1.8028103808210004e-15,1.0535221559647053e-30,2.452357778959989e-13,7.116038495519843e-35,5.212580382705035e-36,5.380797656865532e-38,1.8992275346494748e-48,1.309254725045913e-32,1.2418113368789863e-32,7.095858780695349e-32,4.7223177801941974e-32,2.8631847185408338e-36,1.1940955148148226e-37,4.226143745632962e-23,1.705703697539547e-33,1.3116199142071256e-47,2.3584382940382623e-49,4.248402841200536e-44,1.5360454337759436e-57,2.2892276606809682e-37,4.118370641235109e-45,1.496531411390532e-21,1.66076809584314e-36,3.4612120081016416e-54,1.2303701479615427e-51,4.275642467580356e-21,6.585319133822144e-20,1.4570877112100969e-30,2.2688498362902004e-25,2.4829201688544265e-19,2.6831103245786583e-33,8.681355249655716e-51,1.9179695994329498e-63,1.9104437813222483e-46,7.542317971110894e-64,1.5040812880923425e-52,1.281985723690752e-66,1.199472050851948e-18,9.718919624095026e-36,8.682725741736623e-71,6.875578355429824e-71,3.8349447353596485e-69,4.2261447728009265e-23,5.599283615091112e-32,3.1265038391788138e-52,4.6596405536166044e-39,1.0865996710291685e-48,1.945509089765051e-53,6.914849810851669e-44,3.717621815151833e-36,2.8891454461377284e-70,2.9642345497385396e-55,1.686997662506951e-34,2.2617888853441497e-51,1.9427751775976643e-63,4.5328777798102134e-68,1.843888744806504e-67,5.120065506918019e-69,9.341695661398261e-66,3.3792316078283445e-55,4.7779871726935865e-50,6.46616909496101e-48,3.475440557236146e-56,1.9656021269585515e-50,7.701683535459197e-54,8.788553783989019e-65,6.114847345684625e-81,2.2688498362922125e-25,1.4175914351163533e-33,4.8332331542643715e-71,5.99707552888447e-70,3.6776839656675236e-72,4.951876858992506e-85,1.2942563443266778e-69,3.0367715272302825e-71,2.958818230428195e-46,1.8895030830412177e-46,1.133590235158425e-52,1.9411359574511423e-35,9.005997926199383e-66
