Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71),CH2CFO(79),CH2F(46),C2H4F(63),C2H4F(62),C1OO1(734),CH2O2(778),CHO2(166),C2H2O(133),S(338),S(376),CH2F2(41),C2H2O(373),CH3O2(183),CHF2(81),S(1537),C2H3F2(64),CH2CF2(57),CH3F(39),C2H3F2(65),S(140),S(2988),F(37),C2HF(58),C2HF(3940),CF2CH(73),C2HF2(72),S(3117),CF2(43),CF2O(49),S(4341),S(4409),C2F(3939),C2H3F2(66),S(4619),CHF3(42),S(4047),CHO2(165),C2H2F3(67),C2H2F3(68)
0.0,0.5084206833332424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7183313037973028,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.445077633091983e-21,0.5084206833332424,4.897331988321451e-30,2.4142210076944558e-33,1.2899062131489244e-43,2.637358627377285e-44,0.0,0.0,1.1417489375477226e-23,1.863227750174073e-41,4.292330095415249e-55,4.99192487430637e-55,3.416028647024244e-54,7.778668019898568e-73,6.826389513443044e-51,2.4353357489800384e-41,1.0263341685242172e-27,5.274884004654474e-41,3.4206235174675e-72,3.1420848900805857e-71,3.771924538139559e-42,9.214465698991934e-64,4.1091315439137254e-29,3.010474488747157e-62,2.09526987884855e-46,4.3808724465348337e-63,1.0793295560807254e-40,1.3906549247961122e-50,9.6923470992727e-68,1.1901384550847027e-69,5.784227357808414e-62,3.277165244356402e-69,1.0246174511401549e-54,7.091168752908167e-68,3.76,0.0,0.7183313037973028,0.9999999999999994,7.607484024718334e-56,2.8909260632204078e-25,1.6808831574768796e-19,1.6467144143046964e-19,3.416874317218271e-21,2.039810828529802e-40,4.743415906416271e-16,2.3841034825896772e-45,6.593819198188266e-48,1.8799138894578417e-48,2.543265381879427e-59,5.274313894529477e-41,5.239529100150851e-41,2.1150369749095965e-41,9.344006577151346e-42,3.143766111039017e-47,5.425439416591065e-53,3.326262979695117e-31,3.7175904747228516e-44,2.37932711396298e-60,9.875843630150232e-59,1.1919150507567279e-53,9.78164595268429e-74,7.047017698276011e-49,3.0263780006956345e-59,4.1091315439161636e-29,6.297726438830017e-67,1.5121553103530165e-43,1.0263341685241675e-27,8.20470773592564e-64,1.5375230961672562e-24,2.1007179695638243e-37,1.339703291303214e-49,9.879971176641457e-24,7.3934446432236485e-50,7.848383306635146e-38,3.3262629807681197e-31,1.2203118306887604e-57,1.6384684173004246e-80,3.8851741431107025e-62,4.158184915562456e-78,1.656547755221145e-75,2.890926063220408e-25,1.1887436231522428e-43,2.9945792633559163e-90,1.1053234060175854e-94,1.1599700955892321e-85,1.084086573241893e-39,3.795134868140273e-71,1.0632960149120234e-49,2.1386261976089723e-83,2.8801090048084054e-73,5.774719981360582e-73,2.104477862797349e-62
1.2446217372657553e-20,0.5084206833332424,1.3712529600033136e-29,6.759818821566951e-33,7.791033527949868e-43,1.5929646141233975e-43,0.0,0.0,3.1968970251336867e-23,1.1253895611051592e-40,5.0958542892735093e-54,5.926413211846134e-54,4.055509209742951e-53,9.234834673214276e-72,4.1231392661167946e-50,1.4709427923823318e-40,2.8737356718679686e-27,3.186029938857361e-40,4.060964851148495e-71,3.7302831815034485e-70,2.2782424210363944e-41,1.093941367784264e-62,1.1505568322950543e-28,3.574035313040641e-61,1.26554300682453e-45,5.2072969309063705e-62,6.519150518720377e-40,8.39958564986784e-50,1.4647074936422427e-66,1.79853521979921e-68,6.867034719189462e-61,4.952480044651147e-68,1.2164258379923577e-53,8.423123872120018e-67,3.76,0.0,0.7183313037973028,0.9999999999999987,9.031605034204029e-55,8.094592977017142e-25,4.706472840935263e-19,4.610800360053273e-19,9.567248088198953e-21,1.2320457404304859e-39,1.3281564537776694e-15,1.4399985034908699e-44,3.9826667957079687e-47,1.1354679892147977e-47,3.019364661312922e-58,3.1856855923416503e-40,3.164675576462575e-40,1.2774823328439253e-40,5.643779972593176e-41,1.898834843023393e-46,3.276965408239066e-52,9.313536343167427e-31,2.2454246467326373e-43,2.8247371500546484e-59,1.1724601557663718e-57,1.4150415482462115e-52,3.0546231105243045e-72,4.2564012402814635e-48,1.8279323147876474e-58,1.1505568322965269e-28,7.477306514717332e-66,9.13341807453253e-43,2.8737356718676687e-27,9.740634369235e-63,4.305064669268216e-24,1.2688336536165183e-36,8.091807879507497e-49,2.766391929459523e-23,4.4656405645247055e-49,4.740423517207301e-37,9.313536349648362e-31,1.4487542053922231e-56,3.6651883107607936e-79,4.612478784995325e-61,9.301693410075199e-77,3.722248239329689e-74,8.094592977017144e-25,7.180011483839543e-43,1.2411285816458162e-88,4.581105893426922e-93,2.5948067050267514e-84,6.547882902380878e-39,4.505584115455663e-70,6.4223079301138595e-49,4.78402125966234e-82,6.44268863933979e-72,8.72681007671456e-72,2.498436118712956e-61
2.8448496851788695e-20,0.5084206833332424,3.134292495438881e-29,1.5451014449401834e-32,3.751047268632616e-42,7.669438936225897e-43,0.0,0.0,7.307193200305867e-23,5.418266297506485e-40,5.0031399592046355e-53,5.8185876368072885e-53,3.9817229909583394e-52,9.066815443964916e-71,1.9851140705050293e-49,7.081956358009773e-40,6.56853867855611e-27,1.5339362686221215e-39,3.9870806665423314e-70,3.6624141478772254e-69,1.0968756556911334e-40,1.0740381218743168e-61,2.6298441880992615e-28,3.5090090640837295e-60,6.093044807691663e-45,5.115329763387307e-61,3.1386903490719405e-39,4.0440693774560756e-49,1.575665483235066e-65,1.934781424497723e-67,6.742095408259346e-60,5.327729514849894e-67,1.194294101045137e-52,8.27938011725878e-66,3.76,0.0,0.7183313037973028,0.999999999999997,8.867283379349357e-54,1.8501926804610613e-24,1.0757652207852028e-18,1.0538972251550914e-18,2.1867995630111494e-20,5.931769889341946e-39,3.035786179974206e-15,6.932972927469456e-44,1.917482622835196e-46,5.466789590277319e-47,2.964430128950224e-57,1.5337704805974543e-39,1.5236550622810537e-39,6.15052752301504e-40,2.717237112626255e-40,9.142073530233492e-46,1.5777177832717696e-51,2.128808307019644e-30,1.0810753100494564e-42,2.7733436851444218e-58,1.1511283335146117e-56,1.3892961831242948e-51,6.8005824265592854e-71,2.049276572441971e-47,8.800707261535161e-58,2.629844188106351e-28,7.341546811781948e-65,4.397347642507033e-42,6.56853867855467e-27,9.563423906938128e-62,9.840147815469731e-24,6.108887855491124e-36,3.8958571711628497e-48,6.323181553049938e-23,2.150013702274788e-48,2.2823098655690097e-36,2.128808310139935e-30,1.4223954698462511e-55,7.241794464993319e-78,4.5285590412672607e-60,1.8378578787350556e-75,7.369227652002222e-73,1.8501926804610624e-24,3.456866456126715e-42,4.919860549632606e-87,1.8159602874370703e-91,5.126900786794652e-83,3.1525237549871906e-38,4.423609202302841e-69,3.0920648114307265e-48,9.452419835205554e-81,1.2729667065200994e-70,9.3880517566943e-71,2.452979396876411e-60
6.045305581005097e-20,0.5084206833332424,6.660371618682936e-29,3.2833405705431164e-32,1.6381808915211943e-41,3.3494455061756615e-42,0.0,0.0,1.5527785550651238e-22,2.3662992427213614e-39,4.42522063514485e-52,5.146474875378034e-52,3.521788893908564e-51,8.019495581734027e-70,8.669514682029179e-49,3.092876401179662e-39,1.3958144691934957e-26,6.699102686617783e-39,3.5265300000512134e-69,3.2393638382759904e-68,4.7903441634387836e-40,9.499745557028874e-61,5.588418899695052e-28,3.1036787789188577e-59,2.660992746137739e-44,4.5255586410891837e-60,1.370748536211352e-38,1.7661781058450092e-48,1.4483080423512062e-64,1.7783972114469828e-66,5.963307036801665e-59,4.897247623864395e-66,1.0563396074194148e-51,7.339930357123004e-65,3.76,0.0,0.7183313037973028,0.9999999999999936,7.843011730372589e-53,3.9316594459797546e-24,2.286001094168556e-18,2.239531603454815e-18,4.646949071374129e-20,2.590559752209374e-38,6.451045632065091e-15,3.027811422989969e-43,8.374150381714027e-46,2.3874906393365037e-46,2.6220048777486967e-56,6.698378646755751e-39,6.65420195674915e-39,2.686096958112386e-39,1.1866888352885529e-39,3.99258469632681e-45,6.890308068650529e-51,4.523717652459204e-30,4.721339902898545e-42,2.4529910837405337e-57,1.018159974860999e-55,1.2288167406488858e-50,1.2726218283828137e-69,8.949752009900872e-47,3.8435000975794517e-57,5.5884188997260116e-28,6.493627380512575e-64,1.9204372441488088e-41,1.3958144691928663e-26,8.458760284307178e-61,2.091031410787113e-23,2.667911821345564e-35,1.7014231800094797e-47,1.3436760800229397e-22,9.38967469715095e-48,9.967446799421561e-36,4.523717666086335e-30,1.2580926849572915e-54,1.2886386322806793e-76,4.005459195060811e-59,3.2703699052041958e-74,1.3125152731405019e-71,3.931659445979761e-24,1.5097044014033398e-41,1.7575165971299924e-85,6.487135789094934e-90,9.12304602080383e-82,1.376789948016961e-37,3.9126322436548165e-68,1.350385939006447e-47,1.682007606528148e-79,2.2651762398151176e-69,8.629515914603596e-70,2.1696324974291774e-59
1.2446217372657551e-19,0.5084206833332424,1.371253007466273e-28,6.75981882189281e-32,6.839082749514137e-41,1.3983275887012944e-41,0.0,0.0,3.196897025134601e-22,9.878833531425523e-39,3.7196645833604825e-51,4.3259222379090274e-51,2.9602757690028703e-50,6.740869247245824e-69,3.619351719988362e-48,1.2912150140867271e-38,2.873735671870289e-26,2.796743499902767e-38,2.9642648282549803e-68,2.7228804923828823e-67,1.9998743901229814e-39,7.98510854328823e-60,1.1505568322836133e-27,2.608829024356624e-58,1.110912089765573e-43,3.804452755659716e-59,5.722605306239479e-38,7.373669573454499e-48,1.2390580223564984e-63,1.5214561603849848e-65,5.01251888063088e-58,4.189949980934264e-65,8.879170892642538e-51,6.198105032460413e-64,3.76,0.0,0.7183313037973028,0.9999999999999867,6.592523936494008e-52,8.094592977017143e-24,4.706472840935262e-18,4.610800360055043e-18,9.567248088021968e-20,1.0815077012653745e-37,1.3281564535038106e-14,1.2640516665596377e-42,3.496042938890182e-45,9.967303439430869e-46,2.2039530870488553e-55,2.7964412275115376e-38,2.777998328501779e-38,1.1213926040765463e-38,4.9541922871186295e-39,1.6668263538483445e-44,2.8765679872984617e-50,9.313536343473352e-30,1.9710664696985249e-41,2.0618868119524353e-56,8.558248075791944e-55,1.0328945122011478e-49,2.1973152362261703e-68,3.7363643634055995e-46,1.6045856489952208e-56,1.1505568322965382e-27,5.458329634584179e-63,8.017447455495986e-41,2.8737356718676624e-26,7.110131580103684e-60,4.3050646692667405e-23,1.1138006674622956e-34,7.10310685097718e-47,2.766391929458285e-22,3.9200043500662396e-47,4.1612128291733823e-35,9.313536400363944e-30,1.0575027074681837e-53,2.1734774047049027e-75,3.366829803386499e-58,5.515956857530522e-73,2.2147259537261427e-70,8.094592977017168e-24,6.302718689953112e-41,5.940951152188719e-84,2.1928530804931237e-88,1.5387350566392378e-80,5.747827011326326e-37,3.2888031545668784e-67,5.637595471674555e-47,2.836951678975142e-78,3.820550813273319e-68,7.383212072952059e-69,1.823706844253691e-58
2.524804095596246e-19,0.5084206833332424,2.781684782458904e-28,1.37127753251675e-31,2.793988460193191e-40,5.712624657721889e-41,0.0,0.0,6.485133965275168e-22,4.0358258359892374e-38,3.0496057580673946e-50,3.5466524229697437e-50,2.4270129277132203e-49,5.526571874961127e-68,1.478623274136678e-47,5.275034645530309e-38,5.829578077227973e-26,1.1425609754813789e-37,2.4302897522951762e-67,2.2323819371632672e-66,8.17013942660355e-39,6.5466744237192335e-59,2.3339867168916297e-27,2.1388756529784095e-57,4.538438368381717e-43,3.1193130845296077e-58,2.337870991567981e-37,3.01256739062243e-47,1.0244771339189237e-62,1.2579693382568895e-64,4.109565821968935e-57,3.464748036573873e-64,7.27968075456962e-50,5.128238630747049e-63,3.76,0.0,0.7183313037973028,0.999999999999973,5.404949426996638e-51,1.642046003909192e-23,9.547416334468676e-18,9.353337873258623e-18,1.9407846121005183e-19,4.418311846849819e-37,2.6942602336149114e-14,5.1640635081939745e-42,1.4282476136123798e-44,4.071968679026093e-45,1.806933897434732e-54,1.142437487345361e-37,1.1349029608719256e-37,4.5812546889594285e-38,2.023949200563618e-38,6.809536370182723e-44,1.1751718866911497e-49,1.8893173726041762e-29,8.052449671872653e-41,1.690459386112118e-55,7.016568839577497e-54,8.46829325833839e-49,3.6502197025763615e-67,1.526442345730141e-45,6.555256084250249e-56,2.3339867169444322e-27,4.47508614044529e-62,3.2753888884406825e-40,5.829578077217243e-26,5.8293710099321e-59,8.733131186223387e-23,4.5502391507902644e-34,2.9018509175063555e-46,5.611823628326789e-22,1.6014496836938592e-46,1.699991217746528e-34,1.88931739584584e-29,8.670046111895535e-53,3.569943163710686e-74,2.760330489263416e-57,9.059975705934605e-72,3.63848423848605e-69,1.6420460039092025e-23,2.5748662374926154e-40,1.9536924091242564e-82,7.2112365644386765e-87,2.5273769510185223e-79,2.3481748811030135e-36,2.6963595272262644e-66,2.3031417006562886e-46,4.659701661946417e-77,6.275266182230106e-67,6.105376282570138e-68,1.495185054645137e-57
5.085168812257229e-19,0.5084206833332424,5.6025486676308555e-28,2.7618688334018113e-31,1.129374810262837e-39,2.3091343811661093e-40,0.0,0.0,1.306160784556276e-21,1.6313453302112086e-37,2.4696498091870043e-49,2.8721711033037195e-49,1.9654579933503375e-48,4.4755611902387e-67,5.976831685443433e-47,2.1322533441913424e-37,1.1741262887959727e-25,4.6184141449244944e-37,1.9681219404218735e-66,1.8078407711211749e-65,3.3025009855286697e-38,5.301666682314382e-58,4.700846486026864e-27,1.7321169578782434e-56,1.8345093518865866e-42,2.5262010299636925e-57,9.450048340973543e-37,1.2178756713723114e-46,8.330877912200718e-62,1.0229597596275569e-63,3.328032950307874e-56,2.8181528859856085e-63,5.8952742133115624e-49,4.228551570704355e-62,3.76,0.0,0.7183313037973028,0.9999999999999457,4.377068179307503e-50,3.3072194163241466e-23,1.9229303321535502e-17,1.8838412899678286e-17,3.9089042185721737e-19,1.785952291150473e-36,5.4264677919031024e-14,2.087397036603419e-41,5.773205211396731e-44,1.6459548443635872e-44,1.4633019171527204e-53,4.617914986124187e-37,4.587459221805535e-37,1.8518163931652203e-37,8.18112627000569e-38,2.752529007992899e-43,4.750232690364794e-49,3.805244849333904e-29,3.2549289049659054e-40,1.3689778450171828e-54,5.68219936226909e-53,6.857843433881414e-48,5.950259289477257e-66,6.1702500476311e-45,2.6497394357659224e-55,4.7008464862402996e-27,3.624047851258205e-61,1.3239645576719524e-39,1.1741262887916355e-25,4.720865777813432e-58,1.7589264220126255e-22,1.839279416812572e-33,1.1729745376324583e-45,1.1302687026055048e-21,6.473315672069493e-46,6.871636307325941e-34,3.805244943280426e-29,7.021228127290079e-52,5.787031707471039e-73,2.2353871970647755e-56,1.4686611043397137e-70,5.898775726996848e-68,3.30721941632419e-23,1.040802101763643e-39,6.33745987208596e-81,2.3392076531833137e-85,4.096986949526224e-78,9.491698310272657e-36,2.1835818529814508e-65,9.309666996884145e-46,7.553577227899172e-76,1.017247689783655e-65,4.9660818505819104e-67,1.2108396225410033e-56
1.0205898245579194e-18,0.5084206833332424,1.1244277778721522e-27,5.543051436092425e-31,4.541166461433617e-39,9.284929053901523e-40,0.0,0.0,2.6214555606163764e-21,6.55956782361242e-37,1.9877890210073062e-48,2.3117732061684254e-48,1.581971583914575e-47,3.6023210106754704e-66,2.40325773354457e-46,8.573696916443717e-37,2.356463250948878e-25,1.857044016956872e-36,1.5841323242441683e-65,1.4551075311845945e-64,1.3279211213580156e-37,4.267242580487765e-57,9.434566023974138e-27,1.3941584184704138e-55,7.376481419285498e-42,2.0333841902486954e-56,3.799822874796558e-36,4.8982128366321496e-46,6.719154843014663e-61,8.250541001622262e-63,2.6786904507121308e-55,2.2740350311920904e-62,4.745029563803673e-48,3.5251590236561224e-61,3.76,0.0,0.7183313037973028,0.9999999999998911,3.523045267914866e-49,6.637566241154058e-23,3.859307729566915e-17,3.78085629525676e-17,7.845143431015533e-19,7.181235613078857e-36,1.0890882900743447e-13,8.393331679695517e-41,2.321380424046958e-43,6.618312030412833e-44,1.1777926858414546e-52,1.8568433073902272e-36,1.8445971755750105e-36,7.446072270488935e-37,3.289594891020895e-37,1.1067842569145402e-42,1.9100476970737804e-48,7.637099803657546e-29,1.3087925969907233e-39,1.1018724777484795e-53,4.573528385553625e-52,5.519789011182152e-47,9.609269231166014e-65,2.481131758788717e-44,1.0654486672228903e-54,9.434566024832354e-27,2.91695181746337e-60,5.323603256334455e-39,2.3564632509314393e-25,3.799908360161185e-57,3.530153028789027e-22,7.395661640543114e-33,4.7164790279089415e-45,2.2684413821476573e-21,2.6028917617090484e-45,2.7630547366082968e-33,7.637100181412375e-29,5.651295229485557e-51,9.319836159995868e-72,1.7992340906659873e-55,2.365233432489475e-69,9.500306855818284e-67,6.63756624115423e-23,4.185019475051935e-39,2.041810410928592e-79,7.536487229446751e-84,6.5980711786869094e-77,3.816570144548624e-35,1.7575366425944742e-64,3.7433761557775354e-45,1.2164803370291276e-74,1.6382460433875675e-64,4.0074079238282355e-66,9.745890688858276e-56
2.044735711222312e-18,0.5084206833332424,2.25277413638899e-27,1.1105416645155615e-30,1.8212108765734907e-38,3.723672845186959e-39,0.0,0.0,5.2520451127469065e-21,2.6306800811160238e-36,1.5950755026116681e-47,1.8550524540857893e-47,1.2694325668169858e-46,2.890635744409169e-65,9.638138393912103e-46,3.438435930947043e-36,4.721137175280908e-25,7.447577105720392e-36,1.2711930079698635e-64,1.167632154294233e-63,5.325557623915093e-37,3.424193429264929e-56,1.890200509857591e-26,1.1187243297927317e-54,2.9582989703302357e-41,1.631754315462076e-55,1.523898923795606e-35,1.9653555713877087e-45,5.39719057329935e-60,6.627283203208539e-62,2.1494803886343566e-54,1.8283839549422755e-61,3.8075873928913415e-47,3.0239558546617433e-60,3.76,0.0,0.7183313037973028,0.9999999999997818,2.8270219552772606e-48,1.3298259890813878e-22,7.732062524393645e-17,7.574886305854622e-17,1.5717621853902455e-18,2.879996668974918e-35,2.1819713087479978e-13,3.36610140655395e-40,9.309773763386094e-43,2.654239129781878e-43,9.451044532317967e-52,7.446772170521057e-36,7.39765968120839e-36,2.9862080137191824e-36,1.319274681828107e-36,4.438735575524127e-42,7.660145751977837e-48,1.5300809715761564e-28,5.248843685739643e-39,8.841832854521855e-53,3.669968496446798e-51,4.429283052007257e-46,1.5446287533322453e-63,9.951261004595023e-44,4.272926443725287e-54,1.8902005102017736e-26,2.340671254263119e-59,2.1350030097750924e-38,4.721137175210971e-25,3.049419657412534e-56,7.072606242325144e-22,2.965991096899118e-32,1.8915190409812906e-44,4.5447867412179675e-21,1.0438760141433199e-44,1.1081085300130231e-32,1.5300811230727389e-28,4.534808514879192e-50,1.496040106710379e-70,1.4437720460159316e-54,3.796723479509606e-68,1.5250505481894257e-65,1.329825989081458e-22,1.6783799890665396e-38,6.556006652101745e-78,2.419875035381494e-82,1.0591365492676997e-75,1.5306153282308083e-34,1.4103124698698966e-63,1.501261266447777e-44,1.952720385543523e-73,2.6297477131641213e-63,3.2223143851424205e-65,7.820463503026678e-55
