Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143)
0.0,0.5757328870362518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.666052142654921,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.675074216956657e-22,0.5757328870362517,3.710943567001021e-69,3.136883643338303e-31,1.0337137352398841e-79,4.446990140837295e-100,0.0,0.0,3.802957961592571e-68,3.8581588061001535e-150,8.391802438533587e-82,8.913488566966412e-100,5.039179659661425e-75,9.88550937505814e-125,8.886508396561779e-100,2.384485106585065e-85,-9.306789325740597e-130,3.8753726717536326e-100,1.0337095745895712e-79,4.174052318292589e-68,2.3435971248045788e-40,1.4876860893228386e-61,3.207238896310207e-100,1.840167265083693e-207,-1.6203068120350046e-148,-4.588430642035572e-130,1.6387905326133515e-106,-1.2567948783773679e-175,9.99206904839385e-274,-1.0002942399933935e-256,-2.1154407187624777e-164,-5.884254031744092e-134,-1.4978641361406952e-114,4.229043879034978e-204,3.76,0.0,0.666052142654921,0.9999999999999996,1.2594961183199314e-100,1.552372745104537e-188,1.1320964550795885e-18,1.0963312644527848e-18,3.5765190626803696e-20,5.072497962335216e-39,3.278681368106927e-16
2.429020780747864e-21,0.5757328870362517,4.40563220274366e-68,8.783274201347248e-31,3.2501494546108235e-78,2.5612386352270775e-98,0.0,0.0,4.5148716920027474e-67,4.1111676010231326e-148,1.8774290222852597e-80,5.1336915893818225e-98,1.1272443331476086e-73,1.0347240165254186e-122,5.118173847183772e-98,7.4972026927205255e-84,8.588398647976375e-128,2.232016239849305e-98,3.250148296037568e-78,4.9554349122769255e-67,1.4155326633819822e-39,1.7661809252440634e-60,1.847205393643038e-98,4.505541119667838e-204,2.6752206467734353e-146,4.234315076453084e-128,9.949043630930267e-105,4.210276355622744e-173,-8.491210568960979e-270,5.831045876903117e-254,6.265733460272156e-162,5.4300320632615486e-132,7.762324834419952e-113,2.7378629809886655e-201,3.76,0.0,0.666052142654921,0.9999999999999991,7.254052779510242e-99,2.091537539416388e-185,3.1698700742228483e-18,3.0697275404678383e-18,1.0014253375500988e-19,3.0637887692492147e-38,9.180307830674147e-16
5.552047498852261e-21,0.5757328870362517,4.3254758216965297e-67,2.0076055317365124e-30,7.250897142396e-77,1.1485669059312485e-96,0.0,0.0,4.4327278000324403e-66,9.356055564763857e-146,3.7096749125635535e-79,2.302159917734388e-96,2.2272448453831618e-72,9.295084436872254e-121,2.2952039762312086e-96,1.6725846786915521e-82,1.830899088574504e-125,1.0009297655174277e-96,7.250902058017009e-77,4.865275382201722e-66,6.815180438931955e-39,1.7340469057146637e-59,8.283644305590431e-97,2.2874655318151363e-200,1.1502058438853032e-143,9.026897685848633e-126,4.496669944609681e-103,4.573411383728207e-170,3.526680792245569e-265,4.4026208329030014e-249,5.412335826202e-159,1.1575879258862988e-129,8.14686477494614e-111,8.9502038486857e-198,3.76,0.0,0.666052142654921,0.9999999999999979,3.25302173793164e-97,5.379533343691413e-182,7.245417312509367e-18,7.016520092498108e-18,2.288972200112603e-19,1.475082407445197e-37,2.09835607557076e-15
1.1798100935061055e-20,0.5757328870362517,3.825834379835661e-66,4.2661617549400836e-30,1.3580122447209437e-75,4.3211957613671266e-95,0.0,0.0,3.920697540083764e-65,1.581132028770388e-143,6.601325572433324e-78,8.661296842978224e-95,3.9632632011236114e-71,7.009179191403181e-119,8.635130998684205e-95,3.1325659946566817e-81,2.9281534364603382e-123,3.7657479401892165e-95,1.3580137081659378e-75,4.3032809780666695e-65,2.9763683485020595e-38,1.533744850648193e-58,3.1165140208314036e-95,6.834828843286566e-197,3.6819891528370933e-141,1.4436755561297787e-123,1.698696729202379e-101,3.357488611288314e-167,2.3747472598448985e-260,6.3936840893640454e-245,3.466547844182244e-156,1.8513267731581534e-127,6.504404401753255e-109,1.398221123807515e-194,3.76,0.0,0.666052142654921,0.9999999999999956,1.2238680805614955e-95,8.036966874446435e-179,1.5396511789082405e-17,1.4910105196559293e-17,4.864065925231135e-19,6.442072412146255e-37,4.459006660537054e-15
2.4290207807478643e-20,0.5757328870362517,3.2158443200665316e-65,8.783274201347202e-30,2.3456280191931766e-74,1.4962928980358855e-93,0.0,0.0,3.295582522189252e-64,2.3151255774719414e-141,1.113423095951455e-76,2.99913146598135e-93,6.684622671421754e-70,4.8598323767690124e-117,2.9900717070522105e-93,5.410728741623793e-80,4.174722205735396e-121,1.3039589525367193e-93,2.345630966653821e-74,3.6171669541947916e-64,1.242575195571606e-37,1.2892049620295942e-57,1.079149858862315e-93,1.6754984277672297e-193,1.0502981799608178e-138,2.058278607362589e-121,5.894888572422291e-100,2.0456787271680053e-164,1.0806007478305036e-255,6.872244681742952e-241,1.97806461107986e-153,2.639469661425326e-125,4.633170816902673e-107,1.754523889390059e-191,3.76,0.0,0.666052142654921,0.9999999999999908,4.237866595744337e-94,9.8505570089494e-176,3.169870074222848e-17,3.069727540468425e-17,1.0014253375442295e-18,2.689438419612609e-36,9.180307830308053e-15
4.927442155231381e-20,0.5757328870362517,2.6365434667211442e-64,1.781749909416135e-29,3.8972957041154197e-73,4.978260720154028e-92,0.0,0.0,2.7019176624006007e-63,3.1657383996611337e-139,1.8288121538303847e-75,9.97829828051817e-92,1.097951281047283e-68,3.2357520479734033e-115,9.948156907408936e-92,8.99000672850129e-79,5.635081473911498e-119,4.33835356876168e-92,3.8973009328264073e-73,2.965572009070887e-63,5.0763251162135515e-37,1.0569681183547697e-56,3.5903995538426096e-92,3.746738608809089e-190,2.835968829090436e-136,2.778287427921557e-119,1.9634538071560617e-98,1.1407318613652348e-161,4.154567295498471e-251,6.428516526691039e-237,1.0683225873685318e-150,3.562781708561094e-123,3.1257073067862146e-105,1.98508043328963e-188,3.76,0.0,0.666052142654921,0.9999999999999813,1.4099649098475459e-92,1.1013536262448948e-172,6.430307864852063e-17,6.227161582094454e-17,2.031462827576099e-18,1.0987233486188213e-35,1.86229101692037e-14
9.924284904198416e-20,0.5757328870362517,2.1351412563570248e-63,3.5885948879789306e-29,6.353575360158073e-72,1.6241601902252687e-90,0.0,0.0,2.188082974958725e-62,4.1869920893116336e-137,2.9645951183711996e-74,3.2554249243011283e-90,1.7798263405094102e-67,2.1119786932423734e-113,3.245591446928929e-90,1.465597992799999e-77,7.405535810475736e-117,1.4153901439871622e-90,6.353584147993241e-72,2.4015971005914637e-62,2.051931775429914e-36,8.559601859925154e-56,1.1713697514331247e-90,8.01432517954025e-187,7.454725610503906e-134,3.651183471055326e-117,6.409374984147732e-97,6.092800908329299e-159,1.4731281183972783e-246,5.623197443360152e-233,5.616743307968658e-148,4.682151499569228e-121,2.053462047071423e-103,2.1356720870611625e-185,3.76,0.0,0.6660521426549209,0.9999999999999625,4.6000179679582783e-91,1.1778840012965222e-169,1.2951183446110493e-16,1.2542029665350656e-16,4.09153780759839e-18,4.4412154458046374e-35,3.75081148444096e-14
1.9917970402132484e-19,0.5757328870362518,1.7185474362085029e-62,7.202284845104386e-29,1.0261040965920965e-70,5.2476640229412745e-89,0.0,0.0,1.761159537164566e-61,5.447391498817231e-135,4.774407055725627e-73,1.0518282579613189e-88,2.866355452398691e-66,1.364971615544282e-111,1.0486510855984816e-88,2.3669446731831014e-76,9.604364498096804e-115,4.573127688837711e-89,1.0261055368741998e-70,1.9330142807806427e-61,8.250727421771789e-36,6.88951224539623e-55,3.784697432626734e-89,1.6772133901377601e-183,1.933730609988566e-131,4.735282590180801e-115,2.071452737942309e-95,3.1858492552640834e-156,5.0201333528574115e-242,4.7591990768341885e-229,2.9140027922569972e-145,6.072361107926667e-119,1.3314488112906346e-101,2.241373424858575e-182,3.76,0.0,0.6660521426549207,0.9999999999999247,1.486266498872256e-89,1.2325078331027914e-166,2.599293460862736e-16,2.5171765831879636e-16,8.211687767477177e-18,1.7857931975329765e-34,7.52785241844798e-14
3.9905341398000625e-19,0.5757328870362519,1.3790260872221194e-61,1.4429664759354749e-28,1.6494323494363795e-69,1.6873541694144762e-87,0.0,0.0,1.4132196146229645e-60,7.029570158408825e-133,7.664022512228741e-72,3.3820891871472943e-87,4.601135303067297e-65,8.778643364010814e-110,3.3718732245020954e-87,3.804794432867014e-75,1.2374409422528764e-112,1.470461149816537e-87,1.6494346814627122e-69,1.551122223337514e-60,3.308910718938723e-35,5.52839969059915e-54,1.2169462383490062e-87,3.4721742785110527e-180,4.983023650719689e-129,6.101010857202856e-113,6.661567116446656e-94,1.6483654040099382e-153,1.677455460973448e-237,3.9626354685434026e-225,1.5018359718021734e-142,7.823722314840388e-117,8.576854601153729e-100,2.323516091156273e-179,3.76,0.0,0.6660521426549205,0.9999999999998492,4.778998736903745e-88,1.2757650959323238e-163,5.207643693366107e-16,5.043123816500389e-16,1.6451987686571567e-17,7.161829437235974e-34,1.508193428232538e-13
