Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71),CH2CFO(79),CH2F(46),C2H4F(63),C2H4F(62),C1OO1(734),CH2O2(778),CHO2(166),C2H2O(133),S(338),S(376),CH2F2(41),C2H2O(373),CH3O2(183),CHF2(81),S(1537),C2H3F2(64),CH2CF2(57),CH3F(39),C2H3F2(65),S(140),S(2988),F(37),C2HF(58),C2HF(3940),CF2CH(73),C2HF2(72),S(3117),CF2(43),CF2O(49),S(4341),S(4409),C2F(3939),C2H3F2(66),S(4619),CHF3(42),S(4047),CHO2(165),C2H2F3(67),C2H2F3(68),S(5214),CFO(51),CHF2O(615),S(3044),CFO3(5914),CHFO2(172),S(459),C2H4(456),C2H2F2(59),C#CC(5603)
0.0,0.9100692619072762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.791175592534286,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.901523020966221e-23,0.9100692619072763,1.0866333146195595e-26,7.687100058980659e-26,6.66561284265106e-40,5.260840937222679e-42,0.0,0.0,1.072389571693182e-21,1.3587140879430317e-39,1.0907003793243443e-53,9.890751761864493e-54,6.595172658950134e-50,5.1441972878472246e-64,4.752566644954235e-43,1.0880787815890484e-37,5.836559869616052e-23,2.2029666966779856e-37,4.4501671225279605e-61,3.2259407261124474e-58,2.733726557274021e-35,2.8611459310233924e-55,4.785688806122147e-23,2.639687257031251e-58,1.1016427225338699e-41,8.062255647747594e-55,8.803810642672953e-34,4.874042235809462e-41,9.84452107683606e-62,1.3689690159030802e-61,3.1128563106013067e-58,5.370124028727942e-60,5.385932449214378e-50,3.1346508352391064e-62,3.76,0.0,0.7911755925342857,0.9999999999999998,2.038958342508469e-54,1.8045129153763705e-20,3.241130606666709e-16,3.1159457786830374e-16,1.251848279836716e-17,4.127789681786229e-35,2.1840977515586674e-16,7.135761810486416e-39,1.60804230409873e-39,3.663170866164141e-42,2.0966776761360945e-56,2.2025599415148184e-37,2.028381908361005e-37,1.3568607607098228e-36,1.0974961266918953e-36,4.318038640174316e-40,2.4733314141591618e-43,2.278309867697168e-24,1.6072998598446133e-37,5.415103716781802e-59,8.93471763489195e-58,2.401800760349139e-52,1.2422207952348719e-62,5.201863777500173e-41,1.94944417501634e-48,4.785688806122158e-23,9.542199709545607e-58,4.667560165061234e-42,5.836559869616029e-23,8.852265725229935e-59,2.614150371996088e-22,1.2667433729481503e-35,1.103871163207269e-42,8.109854008266928e-22,9.38649109907018e-41,1.3664786268016489e-39,2.2783098685759614e-24,1.236683525678766e-53,8.832886539001697e-73,5.5067428288981646e-58,3.585757666591854e-73,4.523790522499004e-73,1.8045129153763705e-20,7.100216820982067e-41,1.3193095806515853e-90,1.0535393786895133e-94,3.864564633827759e-78,5.7489012657941885e-37,1.4574498097123255e-59,3.1729072512034123e-43,4.938720372749453e-66,6.30137268283263e-72,9.438694395262141e-61,7.247032844728375e-57,5.760259385196011e-95,4.450626908539751e-58,6.87798920410692e-41,4.47513664226305e-55,2.6911047804006207e-78,5.480264843684645e-80,5.599869736137331e-59,2.954305654409346e-61,2.3175693947222692e-51,1.7835697283994387e-74
8.124264458705419e-23,0.9100692619072765,3.042573285849495e-26,2.1523880165148726e-25,4.0260301569671396e-39,3.177547929090392e-41,0.0,0.0,3.002690800740907e-21,8.2066330911759e-39,1.294883242345328e-52,1.1742300491699528e-52,7.829788980705325e-49,6.107191020132128e-63,2.870550253552315e-42,6.571995840797819e-37,1.634236763492502e-22,1.33059188479406e-36,5.283238407927127e-60,3.829836830040786e-57,1.651170840593549e-34,3.396752449311133e-54,1.3399928657141973e-22,3.133836711547495e-57,6.653922044104563e-41,9.59728901122492e-54,5.317501628174266e-33,2.9439215127975527e-40,1.48770402513148e-60,2.0080920855467e-60,3.6955830119666866e-57,8.11533143440424e-59,6.3941790037079124e-49,3.721575616780836e-61,3.76,0.0,0.7911755925342852,0.9999999999999993,2.4206513444235175e-53,5.052636163053836e-20,9.075165698666782e-16,8.724648180312517e-16,3.505175183542652e-17,2.4931849677987564e-34,6.115473704363781e-16,4.3100001335340153e-38,9.712575516757062e-39,2.2125552031644708e-41,2.4891757371100165e-55,1.330346204675122e-36,1.2251426726499482e-36,8.195438994687032e-36,6.62887660521881e-36,2.6080953386681587e-39,1.4938921741537344e-42,6.379267629557196e-24,9.708091153461386e-37,6.428811132563452e-58,1.0607296776143465e-56,2.851417862686346e-51,1.4747785060263179e-61,3.1419257216157153e-40,1.1774642817107641e-47,1.339992865714204e-22,1.133743691730008e-56,2.819206339696986e-41,1.6342367634924874e-22,1.0509409869009894e-57,7.319621041588846e-22,7.651129972606713e-35,6.667381825772612e-42,2.2707591223147197e-21,5.669440623839246e-40,8.253530905881754e-39,6.379267634865108e-24,1.468190681685803e-52,1.975881387228486e-71,6.537613093406342e-57,8.021199879818703e-72,1.3844298835182357e-71,5.052636163053836e-20,4.2885309598733245e-40,7.399475465193515e-89,5.908877566384368e-93,8.644876503287361e-77,3.472336364539625e-36,1.730284414090815e-58,1.9164359797302717e-42,5.863248826603746e-65,1.4095918636588264e-70,1.4263754971370398e-59,8.603677393261454e-56,3.2306972236838954e-93,5.286215450879528e-57,4.154305479280418e-40,5.312882221694615e-54,6.022539811113632e-77,1.7230829510947533e-78,6.65998053146827e-58,3.507351675498818e-60,2.7514183854142316e-50,5.607828597244523e-73
1.8569747334183816e-22,0.9100692619072767,6.954453247968275e-26,4.919744037749635e-25,1.9383602146517675e-38,1.5298525490561955e-40,0.0,0.0,6.86329325883635e-21,3.951140567738323e-38,1.2713256900066592e-51,1.1528660253672653e-51,7.687333251271432e-48,5.996076358714428e-62,1.3820463803526267e-41,3.1641330968609005e-36,3.7353983165543233e-22,6.406227153947909e-36,5.187114798210078e-59,3.760156510356943e-56,7.949676828553459e-34,3.334951697201361e-53,3.062840835918145e-22,3.076819466795606e-56,3.2035770371284773e-40,9.433971514579969e-53,2.560148134888998e-32,1.4173714857263484e-39,1.6004041024191254e-59,2.1393202244224715e-59,3.628345315666977e-56,8.730103239455677e-58,6.277842862804751e-48,3.654115263628109e-60,3.76,0.0,0.7911755925342839,0.9999999999999986,2.376609844309967e-52,1.154888265840876e-19,2.074323588266691e-15,1.9942052983571516e-15,8.011828990953912e-17,1.2003612394632456e-33,1.3978225609972054e-15,2.075079534489772e-37,4.6761870203201835e-38,1.0652500878825273e-40,2.4438874993080887e-54,6.405044309927646e-36,5.8985345895123144e-36,3.945751092143717e-35,3.191518736419673e-35,1.2556856365669926e-38,7.192447752398573e-42,1.4581183153297752e-23,4.6740279924280114e-36,6.311844892281164e-57,1.0414306875229251e-55,2.799538966262486e-50,1.4479743598008722e-60,1.512701986505452e-39,5.66898366096094e-47,3.0628408359181776e-22,1.1135079120868e-55,1.3573264959998068e-40,3.7353983165542528e-22,1.0318200929380365e-56,1.6730562380773549e-21,3.683689728533047e-34,3.2100573426077823e-41,5.190306565290693e-21,2.729591611610867e-39,3.9737198467388846e-38,1.458118317885307e-23,1.4414783175310806e-51,3.904008656672345e-70,6.41867081121614e-56,1.5848542562512165e-70,3.064731748073239e-70,1.154888265840876e-19,2.0647430515418172e-39,3.2916476884254595e-87,2.628557020571004e-91,1.7080819184211464e-75,1.6717804880928508e-35,1.698803498201044e-57,9.226814286549707e-42,5.756572466711065e-64,2.7851159860447487e-69,1.534429670930326e-58,8.447141483815164e-55,1.4371717425597708e-91,5.191103007381788e-56,2.000119260554051e-39,5.21621927022157e-53,1.190207503123619e-75,3.844103277242676e-77,6.543985721074119e-57,3.4435386787900644e-59,2.701358886488129e-49,1.2510757114233025e-71
3.9460713085140604e-22,0.9100692619072771,1.4778213250841472e-25,1.045445608022376e-24,8.465328310258148e-38,6.681268036895148e-40,0.0,0.0,1.4584498175027197e-20,1.7255668916876367e-37,1.1244738284746226e-50,1.0196969436502951e-50,6.799359204469457e-47,5.30346163587835e-61,6.035759639091207e-41,1.381860052618037e-35,7.937721422678079e-22,2.7977677047896337e-35,4.587944297043132e-58,3.32581585099346e-55,3.4718327277386316e-33,2.9497270090489127e-52,6.508536776325976e-22,2.7214119745088912e-55,1.399086257617996e-39,8.34872720671576e-52,1.1180839516191582e-31,6.190033676191905e-39,1.4710470954695414e-58,1.9588307573771432e-58,3.2092303420089044e-55,8.024468952874718e-57,5.552680917841752e-47,3.2324687502522626e-59,3.76,0.0,0.7911755925342816,0.999999999999997,2.1020844930800366e-51,2.4541375649118567e-19,4.4079376250667085e-15,4.237686259008969e-15,1.7025136605773984e-16,5.242292895866546e-33,2.9703729421180778e-15,9.06241749932105e-37,2.0422137262064856e-37,4.652227000049073e-40,2.161590816997361e-53,2.7972511257264483e-35,2.576045023616937e-35,1.7232131661010115e-34,1.393820080898336e-34,5.483909073065798e-38,3.141130896006527e-41,3.0985014200860866e-23,2.04127082200253e-35,5.582755327853987e-56,9.211336492866507e-55,2.476160511888559e-49,1.2807664937648907e-59,6.606366997511976e-39,2.475794102284624e-46,6.508536776326115e-22,9.85040672619713e-55,5.927801409627761e-40,7.93772142267777e-22,9.12633187219292e-56,3.555244505913971e-21,1.60876408364397e-33,1.4019163772743e-40,1.1029401451242323e-20,1.1920843695832014e-38,1.7354278560377729e-37,3.0985014312467654e-23,1.2749712476335925e-50,6.94697481416564e-69,5.677243036802381e-55,2.8201637373652916e-69,5.722639260223407e-69,2.4541375649118567e-19,9.017275362649615e-39,1.2345529343758905e-85,9.858566560239227e-90,3.039440511363685e-74,7.301104607557585e-35,1.502572455821119e-56,4.029592209079735e-41,5.091623155981774e-63,4.955965088988872e-68,1.4104052271926933e-57,7.471400981600677e-54,5.39020198977486e-90,4.591894912268711e-55,8.735046289213292e-39,4.613686872707002e-52,2.1181176942879685e-74,7.199580003164924e-76,5.790137411610837e-56,3.0457709742919738e-58,2.3893213431825562e-48,2.3431263482646703e-70
8.124264458705418e-22,0.9100692619072779,3.0425733571130407e-25,2.1523880165190413e-24,3.534107929255749e-37,2.789297906875574e-39,0.0,0.0,3.0026908007408745e-20,7.203902094273833e-37,9.451882663852252e-50,8.571167224968918e-50,5.715271103480423e-46,4.4578790624906635e-60,2.519810835154131e-40,5.768993699984644e-35,1.6342367634926041e-21,1.1680129425863963e-34,3.8564436264372493e-57,2.795548618198466e-54,1.4494218206672482e-32,2.479423285491855e-51,1.3399928657141368e-21,2.2875107419470827e-54,5.8409097148744076e-39,7.019386996859673e-51,4.667780402742436e-31,2.584217226468676e-38,1.258511761037578e-57,1.6729316282050681e-57,2.6975514730959296e-54,6.865102153014842e-56,4.6673628855683396e-46,2.7178336721845225e-58,3.76,0.0,0.7911755925342769,0.9999999999999939,1.7669286765459863e-50,5.052636163053802e-19,9.075165698666718e-15,8.724648180312675e-15,3.505175183540432e-16,2.1885540892812886e-32,6.1154737043566974e-15,3.7833809119228564e-36,8.525840296341308e-37,1.94221319325878e-39,1.8169473273113992e-52,1.1677972809935189e-34,1.0754480878116195e-34,7.194075753279305e-34,5.818924463717084e-34,2.289424087060386e-37,1.3113603158090836e-40,6.37926762963151e-23,8.521903856894978e-35,4.6926422393047654e-55,7.742683346912123e-54,2.0813621101046033e-48,1.076644697929696e-58,2.7580281749086454e-38,1.0335953016061482e-45,1.339992865714195e-21,8.28047705662432e-54,2.4747403995154598e-39,1.6342367634924755e-21,7.67123184143192e-55,7.319621041585912e-21,6.716273363369472e-33,5.852724907334517e-40,2.2707591223144306e-20,4.976717580738553e-38,7.245069679299455e-37,6.379267676225146e-23,1.0716901564164666e-49,1.17170884152734e-67,4.7720654044557415e-54,4.756618560296137e-68,9.871086700752729e-68,5.052636163053803e-19,3.7645349584868455e-38,4.268905361251557e-84,3.408949626330018e-88,5.1264606763793964e-73,3.0480674511231487e-34,1.2630026858993726e-55,1.6822754246341152e-40,4.279816056391306e-62,8.358959501660205e-67,1.206631367122017e-56,6.280162710715213e-53,1.863853831751712e-88,3.8599321051292414e-54,3.646709876015243e-38,3.878081811997955e-51,3.572680701640297e-73,1.2435484046509443e-74,4.867774610132887e-55,2.5601540417407905e-57,2.0083685563554318e-47,4.047168072257594e-69
1.6480650759088136e-21,0.9100692619072794,6.172077546987847e-25,4.366272833519732e-24,1.443798404239143e-36,1.139519225892407e-38,0.0,0.0,6.091172767217125e-20,2.9430290630480233e-36,7.749225497340932e-49,7.027160739286894e-49,4.685724552766286e-45,3.6548385891374063e-59,1.029424945563155e-39,2.356822164072727e-34,3.315166005942377e-21,4.771713983737798e-34,3.161745482104205e-56,2.291959657133422e-53,5.921361072122578e-32,2.0327810098931572e-50,2.718271241877109e-21,1.8754395118259192e-53,2.3862022027171183e-38,5.755625385531196e-50,1.906940600443191e-30,1.0557370724212553e-37,1.040561861257223e-56,1.3820825508008144e-56,2.2116156768431936e-53,5.676199250827788e-55,3.826586083774619e-45,2.2294724070723914e-57,3.76,0.0,0.7911755925342676,0.9999999999999876,1.4486348823824624e-49,1.0249633359337632e-18,1.8409621845866628e-14,1.7698572022920367e-14,7.110498229462579e-16,8.940957562321251e-32,1.2405675228821431e-14,1.545634551201099e-35,3.4830839523783226e-36,7.934574623103252e-39,1.489643194276554e-51,4.770832935738741e-34,4.39355634877454e-34,2.9390146821243697e-33,2.3772205102568803e-33,9.353044416501488e-37,5.357334776510466e-40,1.2940800048853558e-22,3.4814757884168432e-34,3.8473116252853137e-54,6.347919601020111e-53,1.7064264084642223e-47,8.828349244115624e-58,1.1267445017277218e-37,4.222574060958098e-45,2.7182712418773464e-21,6.789080774833999e-53,1.0110122019929179e-38,3.3151660059418528e-21,6.289339340087341e-54,1.4848374112924613e-20,2.743816815539239e-32,2.3910290943615657e-39,4.6063970766943164e-20,2.033151518032749e-37,2.9598473647949982e-36,1.2940800239203768e-22,8.786363390219354e-49,1.9245352906293478e-66,3.9124277544695187e-53,7.812760439070748e-67,1.6390415905843715e-66,1.0249633359337634e-18,1.5379353642938242e-37,1.4193490463402197e-82,1.1334262513922585e-86,8.420227054750722e-72,1.245235009775297e-33,1.0354859093077175e-54,6.872644022785863e-40,3.50885177941004e-61,1.372961608184323e-65,9.976661501632668e-56,5.148856821692797e-52,6.197043351264063e-87,3.1646723011100055e-53,1.4897999735644736e-37,3.1794857733092587e-50,5.868271128110513e-72,2.0661742732145305e-73,3.991220138205e-54,2.0989689882731977e-56,1.6465818830169655e-46,6.724430282577418e-68
3.319342335985357e-21,0.9100692619072823,1.2431086430005533e-24,8.794042467550555e-24,5.8360639937295576e-36,4.606119053135299e-38,0.0,0.0,1.2268136700169392e-19,1.1896194022702626e-35,6.275524131943184e-48,5.690776958355739e-48,3.7946212284384716e-44,2.9597830475712653e-58,4.1611002208521786e-39,9.52665201062387e-34,6.677024490842648e-21,1.9288030853968198e-33,2.5604634662333373e-55,1.856088353415059e-52,2.39350881977207e-31,1.6461987652208871e-49,5.474827994202628e-21,1.518779540729419e-52,9.645410824289654e-38,4.661337032191548e-49,7.708158800551758e-30,4.26745816160352e-37,8.461676243605234e-56,1.1234397296250502e-55,1.791023715121773e-52,4.615791015965079e-54,3.098868621580745e-44,1.807473794477215e-56,3.76,0.0,0.791175592534249,0.999999999999975,1.1731420861681222e-48,2.0643627751905043e-18,3.7078534140266e-14,3.5646419708136875e-14,1.4321144321291195e-15,3.6140780002962358e-31,2.4986078277700876e-14,6.247701981668301e-35,1.4079182232758621e-35,3.2072819256574885e-38,1.206351680353989e-50,1.9284469516898483e-33,1.7759457230920107e-33,1.1879967253150557e-32,9.60910538730505e-33,3.780650095605611e-36,2.1655203731564387e-39,2.6063864887822463e-22,1.4072681776864235e-33,3.1156527024475144e-53,5.140709873831458e-52,1.3819083476640663e-46,7.151637732794659e-57,4.554481427206195e-37,1.7068319486341575e-44,5.4748279942035855e-21,5.498071523387408e-52,4.0866729673989855e-38,6.677024490840524e-21,5.093270060020632e-53,2.990588025558131e-20,1.1090946266968788e-31,9.664921892104483e-39,9.27767298545205e-20,8.218323508888827e-37,1.1964176287369193e-35,2.6063865657248436e-22,7.115424875249061e-48,3.1197546399636005e-65,3.1683855198088695e-52,1.2664821482766586e-65,2.671212700160692e-65,2.0643627751905062e-18,6.216580637192214e-37,4.629132395534361e-81,3.6966102114163434e-85,1.3649550907966645e-70,5.0334390054570896e-33,8.38563336141259e-54,2.7780325982964848e-39,2.8415591453644217e-60,2.225629931793195e-64,8.112855475249212e-55,4.169677747333432e-51,2.021133153101703e-85,2.562860308306033e-52,6.022009691661763e-37,2.5748300129599183e-49,9.512826175129192e-71,3.3683855409549637e-72,3.232322961002123e-53,1.699799549657669e-55,1.3334446993845206e-45,1.0962518519182963e-66
6.661896856138444e-21,0.9100692619072884,2.4949106209113205e-24,1.7649581735729965e-23,2.3466556641707076e-35,1.8521003323454983e-37,0.0,0.0,2.462206456607299e-19,4.783407295166288e-35,5.051087945406801e-47,4.5804323828702925e-47,3.0542412892257805e-43,2.3822908919883578e-57,1.6731600976193017e-38,3.830624873732743e-33,1.3400741460646079e-20,7.755632374759088e-33,2.060883754582812e-54,1.4939413828681222e-51,9.62419369397724e-31,1.3250039823098986e-48,1.098794149885196e-20,1.2224459052126524e-51,3.878377270388422e-37,3.751962371249971e-48,3.099416751979961e-29,1.715926251942622e-36,6.824648435744426e-55,9.059170901638776e-55,1.4415717014804097e-51,3.7228027585856893e-53,2.494239062119045e-43,1.4580143947132546e-55,3.76,0.0,0.7911755925342117,0.9999999999999498,9.442468120312213e-48,4.14316165370389e-18,7.4416358729063e-14,7.154211507857439e-14,2.87424365048857e-15,1.4532048686215645e-30,5.014688437525968e-14,2.512173488445637e-34,5.661177253327086e-35,1.289633956221352e-37,9.70976782606823e-50,7.754200376633834e-33,7.140999643582974e-33,4.776882582485765e-32,3.8637790138449786e-32,1.5201827756536273e-35,8.707462178038136e-39,5.23099945678595e-22,5.658563448570801e-33,2.5077483505914553e-52,4.1376905381038436e-51,1.1122800615050594e-45,5.759820420047273e-56,1.8313369507648455e-36,6.863096196617295e-44,1.0987941498855808e-20,4.425365386449889e-51,1.6432332263504285e-37,1.3400741460637543e-20,4.099506849242554e-52,6.002089254081185e-20,4.459620714189728e-31,3.8862225849716355e-38,1.8620224802959348e-19,3.3045517374570096e-36,4.810742664783968e-35,5.230999766168749e-22,5.727112967566395e-47,5.0242686709772816e-64,2.550192344682359e-51,2.0396304672301065e-64,4.31334631295379e-64,4.1431616537038974e-18,2.4996597327061925e-36,1.49543363685982e-79,1.1941838729513441e-83,2.1982180945069677e-69,2.0239236862226486e-32,6.749487262858697e-53,1.1170346896744593e-38,2.2871340122961407e-59,3.584308392786585e-63,6.543311898077254e-54,3.3561194048175156e-50,6.529237540549813e-84,2.0628235768694202e-51,2.4214236112499694e-36,2.0724471995765077e-48,1.5320197890101385e-69,5.439951646556314e-71,2.6017064185560664e-52,1.3681466268217242e-54,1.0732723011303757e-44,1.7704496690885412e-65
1.3347005896444616e-20,0.9100692619073006,4.998515381961774e-24,3.536066027255984e-23,9.411138782599762e-35,7.4277516635439e-37,0.0,0.0,4.932992029787644e-19,1.9183602684816972e-34,4.0531800379674786e-46,3.675508522306823e-46,2.4508362851941008e-42,1.9116384093766163e-56,6.710120330583491e-38,1.5362519032506598e-32,2.6848175400264516e-20,3.1103554615909587e-32,1.6537294258091612e-53,1.1987938746135381e-50,3.85973212388143e-30,1.0632322499745283e-47,2.201416850814381e-20,9.809358519788344e-51,1.555402750088455e-36,3.0107586155596085e-47,1.243004742340024e-28,6.881632492029804e-36,5.48192876389858e-54,7.276109725830296e-54,1.156770503437273e-50,2.9903577680696386e-52,2.001469765651203e-42,1.1751039249426305e-54,3.76,0.0,0.7911755925341369,0.9999999999998995,7.576986001122777e-47,8.300759410730266e-18,1.4909200790664993e-13,1.4333350581946742e-13,5.7585020871823825e-15,5.8280014848952965e-30,1.0046849656957695e-13,1.0074939285789011e-33,2.270385280947737e-34,5.172008967756138e-37,7.791477181141825e-49,3.1097811661724503e-32,2.8638602460603965e-32,1.9157435668626293e-31,1.5495481962842972e-31,6.09661284964827e-35,3.492081784656877e-38,1.0480225393633048e-21,2.2693370283101707e-32,2.0123101188791657e-51,3.3202360741689126e-50,8.925347003996998e-45,4.627606801455402e-55,7.344480259820451e-36,2.7524085346086225e-43,2.2014168508159245e-20,3.5510926531298487e-50,6.590100191688648e-37,2.6848175400230273e-20,3.289596069327428e-51,1.2025091711094157e-19,1.7885073677978826e-30,1.5585490721487834e-37,3.73053284379413e-19,1.3252730464353684e-35,1.92932297429635e-34,1.0480226634396452e-21,4.595647475483155e-46,8.065063924560086e-63,2.046368765102864e-50,3.274058618626778e-63,6.933043394400102e-63,8.300759410730302e-18,1.0024753528341695e-35,4.808091883120827e-78,3.839518949521467e-82,3.5286268735552392e-68,8.116839203724858e-32,5.4160384605503496e-52,4.4798087126186964e-38,1.8352810094859962e-58,5.753608774931195e-62,5.255944035685886e-53,2.693074461345425e-49,2.0992689510032303e-82,1.6552902601668983e-50,9.710991689241125e-36,1.6630083594910336e-47,2.45923781893326e-68,8.744563393552923e-70,2.087726214235954e-51,1.0978516175627133e-53,8.612334293264597e-44,2.845946135100654e-64
