Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71),CH2CFO(79),CH2F(46),C2H4F(63),C2H4F(62),C1OO1(734),CH2O2(778),CHO2(166),C2H2O(133),S(338),S(376),CH2F2(41),CH3O2(183),C2H2O(373),S(1537),CHF2(81),C2H3F2(64),CH2CF2(57),CH3F(39),C2H3F2(65),S(3087),CF2CH(73),C2HF2(72),C2HF(58),C2HF(4088),S(3189),S(4414),CF2(43),CF2O(49),S(4555),S(5169),C2F(4087),F(37),C2H3F2(66),S(4570),CHF3(42),CHO2(165),S(459),C2H2F2(59),CHF2O(616),CHFO2(172),S(4185),S(3185),CFO(51),C#CC(5436),CFO3(6311),C3H4(6313),S(3720),C3H4(6745)
0.0,0.740829561353046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.8199668322341603,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2924918117686715e-22,0.740829561353046,3.4873024196427546e-27,7.008354235257853e-28,1.0586084535804269e-39,4.526833975133454e-42,0.0,0.0,4.976466431130618e-22,1.0777114093475081e-39,2.6407893114551656e-53,2.98886925792323e-53,2.6380681938007834e-50,4.494121029230754e-66,5.4947853836397615e-45,3.596942153909109e-38,5.3477838311271445e-24,5.156862299263956e-38,1.3709885459661937e-63,6.614673155281234e-62,6.853766618346675e-37,4.074632852817942e-57,1.6558856730864918e-24,1.1080159864260095e-58,1.797303882217482e-42,1.689136843752596e-56,3.068606195404022e-35,2.756129508363678e-43,2.341539898890056e-62,5.019900764404203e-63,1.753588262959603e-58,4.21277229343944e-62,1.4795781026929487e-50,5.613681892614455e-63,3.76,0.0,0.8199668322341603,0.9999999999999994,9.622540768782267e-54,1.4863118064998411e-21,5.826073260636421e-17,5.575700101715182e-17,2.5037315892123873e-18,3.584376847810456e-36,4.909079090794437e-16,2.1515033031071018e-40,1.3279149367310117e-41,1.6897779274108404e-43,2.84058035145485e-56,5.155760312740043e-38,4.908350383237464e-38,2.6048767693074937e-37,1.6892861731422662e-37,8.146125718229177e-42,1.1005969944894035e-45,4.3412358268011026e-26,4.9797556173079375e-39,1.3831461014955035e-58,3.6505670242803855e-57,7.172297418678208e-52,5.544848181116467e-66,6.108448738794887e-43,4.0139259520770564e-51,1.6558856730865278e-24,8.246377542425458e-42,2.0806647050772987e-62,1.4589412520136337e-59,5.347783831127069e-24,1.019420307390643e-22,6.171838019148172e-36,3.650450438811324e-44,3.957080996764041e-22,1.766753128548775e-38,1.0172442181612681e-58,7.972350432684882e-74,2.547662286282961e-54,2.620779082514884e-74,2.0491878615685666e-60,8.291780030644455e-77,1.4863118064998411e-21,4.2320642250340265e-41,5.463229737513352e-81,4.535402733326566e-81,1.3661742122110583e-79,4.341235829863804e-26,2.462249968431707e-37,3.879250735564584e-60,1.40347912633993e-44,3.2285570176729158e-71,1.730818713275367e-61,9.319964140723365e-52,1.4056849092642238e-41,6.164877861449068e-81,4.3995206759754594e-63,9.922585360140605e-40,2.3393742502970135e-59,2.773213010107698e-74,2.264535597532479e-78,2.7664154642668616e-78,1.1080090802811411e-79,-2.8465428149237337e-114
6.41897707295228e-22,0.740829561353046,9.764446795971979e-27,1.9623391858729923e-27,6.393995059635088e-39,2.7342077258869744e-41,0.0,0.0,1.3934106007165724e-21,6.509376912458945e-39,3.135145104123321e-52,3.548385583041107e-52,3.131914559679778e-49,5.335420485902389e-65,3.318850371718226e-44,2.1725530609610073e-37,1.4973794727156245e-23,3.1147448287601464e-37,1.6276376019585933e-62,7.852939969950372e-61,4.1396750374816597e-36,4.837404122865882e-56,4.636479884642059e-24,1.3154365790849523e-57,1.0855715448593538e-41,2.008695990711119e-55,1.8534381420237034e-34,1.6647022492983507e-42,3.5385350952027556e-61,7.577932426584579e-62,2.0818599857858435e-57,6.36634159181286e-61,1.7565551235167968e-49,6.665185420295678e-62,3.76,0.0,0.8199668322341601,0.9999999999999987,1.1423880400990613e-52,4.161673058199555e-21,1.6313005129781978e-16,1.561196028480265e-16,7.01044844979323e-18,2.1649636160770234e-35,1.3745421454214922e-15,1.2995079950771198e-39,8.020606217860657e-41,1.0206258681567919e-42,3.372336993247847e-55,3.114079228898164e-37,2.9646436314735037e-37,1.5733455686614497e-36,1.0203288485777521e-36,4.920259934300668e-41,6.647605846733744e-45,1.2155460315062025e-25,3.007772392853994e-38,1.642071051696638e-57,4.333953171222757e-56,8.514951495450949e-51,6.6061264178621195e-65,3.689503039282586e-42,2.424411275061233e-50,4.636479884642278e-24,4.980812035624989e-41,2.812992501748626e-61,1.7320550548420863e-58,1.497379472715579e-23,2.8543768606936934e-22,3.727790163565422e-35,2.2048720650438053e-43,1.10798267909392e-21,1.0671188896434009e-37,1.2076737374162324e-57,1.783383856910498e-72,3.0245846662746785e-53,5.862577976421646e-73,2.43279582925447e-59,1.8548380257351942e-75,4.161673058199556e-21,2.556166791920692e-40,1.2221026393627236e-79,1.014551449833703e-79,3.0560770657472313e-78,1.215546033356074e-25,1.4871989809326944e-36,4.605446473261472e-59,8.477013923139147e-44,7.222152906249832e-70,2.058012046105495e-60,1.106466142788358e-50,8.490336851954476e-41,1.9383362377029653e-79,5.223110946518143e-62,5.993241557524874e-39,2.7781969769494443e-58,8.719425417858654e-73,5.067229553941265e-77,8.698052846126342e-77,3.4837578298569236e-78,1.4751322315697213e-112
1.4671947595319498e-21,0.7408295613530461,2.2318735632519496e-26,4.4853467105705806e-27,3.078433383025845e-38,1.3164033273283597e-40,0.0,0.0,3.1849385159235916e-21,3.133984778382548e-38,3.078104069104929e-51,3.4838260071427266e-51,3.074932286692609e-48,5.238347471670243e-64,1.5978835895621587e-43,1.0459907783566273e-36,3.4225816519215436e-23,1.4996155566330012e-36,1.5980242497583113e-61,7.710063029797325e-60,1.9930753326156157e-35,4.749392053245901e-55,1.0597668307752727e-23,1.2915034337781373e-56,5.226559689488354e-41,1.9736187842315734e-54,8.923506816230014e-34,8.014825004021918e-42,3.806594582827935e-60,8.149191191212765e-61,2.043982479306019e-56,6.848620054571156e-60,1.7245962364980313e-48,6.545236673921172e-61,3.76,0.0,0.8199668322341599,0.9999999999999969,1.1216033520521702e-51,9.512395561598982e-21,3.728686886807308e-16,3.568448065097817e-16,1.6023882170949113e-17,1.0423367873425423e-34,3.1418106181017864e-15,6.256571605441787e-39,3.861576636021646e-40,4.9138742129203925e-42,3.310980457657785e-54,1.4992950989495387e-36,1.4273482914425669e-36,7.574981645142049e-36,4.912444191495061e-36,2.3688933595963306e-40,3.2005360600017066e-44,2.7783909291659626e-25,1.4481129335131478e-37,1.612195095906805e-56,4.255100923492173e-55,8.360029871199474e-50,6.532701093343528e-64,1.776336894817185e-41,1.1672496668740442e-49,1.0597668307753776e-23,2.398046589337344e-40,2.9120376369514897e-60,1.7005419247466734e-57,3.4225816519213226e-23,6.524289967299363e-22,1.794770495968178e-34,1.0615509876089327e-42,2.532531837928908e-21,5.137718097818945e-37,1.1857018509822826e-56,3.52366689569091e-71,2.969555160890015e-52,1.1583466152522544e-71,2.3885333714451293e-58,3.664847371913338e-74,9.512395561598982e-21,1.2306842766401056e-39,2.414668873472263e-78,2.0045826983277137e-78,6.038293288883674e-77,2.7783909380722985e-25,7.16022290819855e-36,4.5216546573715646e-58,4.08131729946416e-43,1.4269757105879964e-68,2.0219636714625143e-59,1.086335020245036e-49,4.087731716138211e-40,4.324321518653588e-78,5.128081299917237e-61,2.8854878227288107e-38,2.7280410772859997e-57,1.9452558452312615e-71,1.0013490018806275e-75,1.9404877420474023e-75,7.772072077161136e-77,1.5482112887221192e-110
3.1177888640053936e-21,0.7408295613530461,4.7427313641170784e-26,9.531361759978446e-27,1.3444327360615709e-37,5.749079224468183e-40,0.0,0.0,6.767994346337621e-21,1.3686934898713303e-37,2.722548196571069e-50,3.081404650374095e-50,2.7197427850775284e-47,4.633259016293382e-63,6.978377437219565e-43,4.568116535463106e-36,7.272986010333773e-23,6.549215120137848e-36,1.4134343525665504e-60,6.819463436171928e-59,8.70428360530444e-35,4.200783485943935e-54,2.2520045153972196e-23,1.1423201613657185e-55,2.282575930416117e-40,1.7462269326063602e-53,3.897129868158065e-33,3.5002848824455583e-41,3.498916240114192e-59,7.489494816149601e-60,1.8078793555811763e-55,6.295062277690689e-59,1.5253858407504723e-47,5.791532509778291e-60,3.76,0.0,0.8199668322341594,0.9999999999999933,9.920454631444153e-51,2.021384056839783e-20,7.923459634465527e-16,7.58295213833315e-16,3.4050749613237633e-17,4.55215859671165e-34,6.676347563447166e-15,2.732409194952508e-38,1.68645196965644e-39,2.1460179678217583e-41,2.928524719140116e-53,6.547815597228621e-36,6.233604986681734e-36,3.3081934970162353e-35,2.1453934398879419e-35,1.0345579669748633e-39,1.3977581830289e-43,5.904080724515784e-25,6.324289633981078e-37,1.4259683048054625e-55,3.7635885793331175e-54,7.394351746735614e-49,5.8606669583264e-63,7.757729914550664e-41,5.09768595924157e-49,2.2520045153976772e-23,1.0472899478880549e-39,2.635325214703934e-59,1.50411007611503e-56,7.272986010332808e-23,1.3864116180508984e-21,7.838234284317035e-34,4.636072057317015e-42,5.381630155598705e-21,2.243776473256023e-36,1.0487401034651202e-55,6.270177718924005e-70,2.6265379106633344e-51,2.0612159116178835e-70,2.1126307177644105e-57,6.521400086278241e-73,2.0213840568397836e-20,5.3747215657953905e-39,4.2967742450799365e-77,3.567047807223491e-77,1.0744820282789446e-75,5.904080763412094e-25,3.1270574599073884e-35,3.9993523383323554e-57,1.7824184905209973e-42,2.539227033965821e-67,1.7889580811863663e-58,9.608510230542223e-49,1.785219834763342e-39,8.098975622750205e-77,4.5357298361041664e-60,1.2601683407377778e-37,2.413076646904682e-56,3.6432489124799614e-70,1.7819686364339087e-74,3.6343187829100395e-74,1.4556230848645e-75,1.2360824628938099e-108
6.418977072952281e-21,0.7408295613530461,9.76444710006984e-26,1.9623391858844962e-26,5.612742021013285e-37,2.4001274420595843e-39,0.0,0.0,1.393410600716565e-20,5.714025892360447e-37,2.2884658074145467e-49,2.5901062774173814e-49,2.286107687650624e-46,3.8945333779906325e-62,2.913335210403164e-42,1.907098730001295e-35,1.4973794727159793e-22,2.734168391135046e-35,1.1880767403251972e-59,5.732169921602011e-58,3.6338670610511534e-34,3.5310116361313744e-53,4.6364798846403646e-23,9.601889255809242e-55,9.529305183516323e-40,1.4680402999231397e-52,1.626975004798675e-32,1.4613002314757402e-40,2.9933965082636594e-58,6.407032918438785e-59,1.5196315312689538e-54,5.385559230784942e-58,1.2821787105406894e-46,4.872076627409371e-59,3.76,0.0,0.8199668322341586,0.9999999999999862,8.338739870033887e-50,4.16167305819955e-20,1.6313005129781955e-15,1.5611960284804736e-15,7.010448449772176e-17,1.9004366047022385e-33,1.3745421454077092e-14,1.140727051313202e-37,7.04060499462001e-39,8.959202571222198e-41,2.461601483292816e-52,2.733584117858594e-35,2.602407373165641e-35,1.3811056630829803e-34,8.956595289975667e-35,4.319075862642764e-39,5.8353652650288344e-43,1.2155460315336632e-24,2.6402664282966665e-36,1.1986122812322759e-54,3.163522974134544e-53,6.215398186222718e-48,5.064972305835684e-62,3.238699535961934e-40,2.1281835398845927e-48,4.636479884642276e-23,4.3722293729941754e-39,2.238804322293527e-58,1.2642951512672068e-55,1.4973794727155764e-22,2.8543768606921353e-21,3.272308517751335e-33,1.9354688226816353e-41,1.1079826790937592e-20,9.367325087557315e-36,8.815293450037019e-55,1.0575571788848251e-68,2.2077633746908865e-50,3.4765419085903463e-69,1.775793413832574e-56,1.0999294433390973e-71,4.1616730581995544e-20,2.243840452115002e-38,7.247137794050272e-76,6.016347497523376e-76,1.8122709902851054e-74,1.2155460477721073e-24,1.3054849332616991e-34,3.3616966194188466e-56,7.44124632847526e-42,4.2827775339893364e-66,1.5039467582248604e-57,8.076531804941895e-48,7.452941388898919e-39,1.398896631615727e-75,3.8125542254704396e-59,5.260954757945841e-37,2.0283978582993402e-55,6.292806484280745e-69,3.0056478300054234e-73,6.277381906205573e-73,2.5142268912084135e-74,8.804775964849497e-107
1.3021353490846055e-20,0.7408295613530465,1.9807879108865385e-25,3.9807452056781115e-26,2.2929882549032983e-36,9.805304042989134e-39,0.0,0.0,2.8266329328821575e-20,2.3343660211030418e-36,1.876222533196124e-48,2.123525614216943e-48,1.8742892031394798e-45,3.1929737610688656e-61,1.1901924932356732e-41,7.791120583042155e-35,3.037541216081809e-22,1.1169970015250276e-34,9.74057094234221e-59,4.6995792248538723e-57,1.484553264603536e-33,2.8949366740422435e-52,9.40543062312366e-23,7.872208933625756e-54,3.893032101037704e-39,1.2036802078521062e-51,6.646723763454514e-32,5.969889860292555e-40,2.4749981196463953e-57,5.297307184593411e-58,1.245885741604369e-53,4.452886038729561e-57,1.0512075728730749e-45,4.0008915555122836e-58,3.76,0.0,0.8199668322341569,0.9999999999999721,6.836602750990871e-49,8.442251060919074e-20,3.3092096120414774e-15,3.166997657775159e-15,1.4221195426631823e-16,7.763903627373234e-33,2.7883569235093615e-14,4.660242214711255e-37,2.8763168696178306e-38,3.6601265819651103e-40,2.0181696197075418e-51,1.1167583068178208e-34,1.0631683263880227e-34,5.6422672773581854e-34,3.659061422452221e-34,1.7644834208604581e-38,2.3839371141520352e-42,2.4658219497463155e-24,1.0786349857313672e-35,9.826947652702587e-54,2.593647266172753e-52,5.095758951567159e-47,4.380019697091143e-61,1.3231144430239715e-39,8.694324170027245e-48,9.405430623131472e-23,1.786198361199691e-38,1.8449201975806515e-57,1.0365455551975727e-54,3.037541216080163e-22,5.7903073459718616e-21,1.3368448022987024e-32,7.907021668684579e-41,2.2476220061612532e-20,3.8268579465547717e-35,7.227310552782237e-54,1.7370408897047654e-67,1.8100578020116726e-49,5.710230524246804e-68,1.4559027295816405e-55,1.8066374135682687e-70,8.442251060919091e-20,9.166820394009307e-38,1.1903445588508111e-74,9.881868830553335e-75,2.9766605434451474e-73,2.465822016085658e-24,5.333331921615112e-34,2.756121993745968e-55,3.039991927341995e-41,7.034474959888542e-65,1.2331138451094592e-56,6.621628737186344e-47,3.0447697408457516e-38,2.324287675981333e-74,3.125762298865607e-58,2.1492716793472965e-36,1.663027603254351e-54,1.0455592090480397e-67,4.936863312520403e-72,1.042996392328279e-71,4.177425583190274e-73,5.940026133530365e-105
2.6226106326633604e-20,0.740829561353047,3.989474527401654e-25,8.017557245346586e-26,9.268625144058787e-36,3.963460909938282e-38,0.0,0.0,5.69307759721329e-20,9.435880690313639e-36,1.5194136522268242e-47,1.7196860990957448e-47,1.5178479909228964e-44,2.5857529351425813e-60,4.810948353056655e-41,3.1492955089616555e-34,6.117864702815971e-22,4.515080472850387e-34,7.888166921925023e-58,3.805841101114458e-56,6.000801655186296e-33,2.3443947749483355e-51,1.894333210007828e-22,6.375118895248579e-53,1.5736258194672163e-38,9.748081911650218e-51,2.6867120171420036e-31,2.413126228785918e-39,2.0126273671698951e-56,4.307622292816461e-57,1.008950575320579e-52,3.6210154480380217e-56,8.512951469045845e-45,3.250503131841911e-57,3.76,0.0,0.8199668322341536,0.9999999999999438,5.536458158792043e-48,1.700340706635809e-19,6.665027810168028e-15,6.378600916366003e-15,2.864268938020242e-16,3.138293980298936e-32,5.6159864796153334e-14,1.883744414069205e-36,1.1626532670750812e-37,1.4794816848513326e-39,1.6343660826309524e-50,4.514115630603794e-34,4.297496361155693e-34,2.2806946455868058e-33,1.4790511303052118e-33,7.132324127964233e-38,9.636254975024418e-42,4.9663737863655506e-24,4.36001507122272e-35,7.95811699017984e-53,2.1004028009439876e-51,4.126677715387377e-46,3.915432778802148e-60,5.348240178403836e-39,3.5143848401392142e-47,1.8943332100109853e-22,7.2200993645169e-38,1.4978192556696933e-56,8.394214724586144e-54,6.117864702809319e-22,1.1662168316520317e-20,5.403740433982005e-32,3.196144580966124e-40,4.526900660295108e-20,1.5468771681888514e-34,5.852863619840238e-53,2.815818174545354e-66,1.4658317369790456e-48,9.256529750294468e-67,1.1790277772468279e-54,2.928637100693375e-69,1.7003407066358155e-19,3.705375368113749e-37,1.9295998253225613e-73,1.6018935212673404e-73,4.825295013911798e-72,4.966374054519778e-24,2.1558180353549313e-33,2.2319790478098744e-54,1.2288133425398014e-40,1.1403187045873851e-63,9.986424409473086e-56,5.362366628685519e-46,1.2307446109225481e-37,3.789175532692076e-73,2.5313233504829525e-57,8.687699766895462e-36,1.34677263883276e-53,1.7045253962561408e-66,8.002930306112776e-71,1.7003473581710777e-70,6.810258028390058e-72,3.902354943612742e-103
5.26356119982087e-20,0.7408295613530478,8.006848619455917e-25,1.6091181325008523e-25,3.7268734059016307e-35,1.593690394920567e-37,0.0,0.0,1.142596692587535e-19,3.7941261250640506e-35,1.2229562936571405e-46,1.3841529828007593e-46,1.2216961128717177e-43,2.0812389176142e-59,1.9344611734370123e-40,1.2663178730448899e-33,1.2278511676294313e-21,1.815494000273621e-33,6.34908304442239e-57,3.0632720188829235e-55,2.412895953076591e-32,1.8869728726257486e-50,3.8019135053939624e-22,5.131250309703516e-52,6.327480209497597e-38,7.846251530961609e-50,1.0803150854911394e-30,9.703084862684606e-39,1.6232568840592906e-55,3.4742296006294936e-56,8.120911997345424e-52,2.920484128494536e-55,6.851963952249798e-44,2.633154078210182e-56,3.76,0.0,0.8199668322341469,0.9999999999998873,4.456223187397277e-47,3.412571907723598e-19,1.3376664206421075e-14,1.2801807433553586e-14,5.748567728674885e-16,1.261894206740282e-31,1.1271245591437948e-13,7.574453439048115e-36,4.674977651765298e-37,5.948930785074932e-39,1.3154800099546791e-49,1.8151060413886273e-33,1.72800438566852e-33,9.170572861200179e-33,5.9471995438551454e-33,2.867876182230547e-37,3.874695744368482e-41,9.967477460379743e-24,1.7531428840957226e-34,6.4053848945465354e-52,1.6905869050345325e-50,3.321509238087582e-45,3.744484747159222e-59,2.1505038950610332e-38,1.4131186876598016e-46,3.801913505406659e-22,2.9031701993221694e-37,1.2070751825251273e-55,6.756394412887504e-53,1.2278511676267563e-21,2.3405890257573265e-20,2.172820261987401e-31,1.2851556789196553e-39,9.085457968558283e-20,6.219925059134298e-34,4.710893890191505e-52,4.534788393774328e-65,1.1798289063874644e-47,1.4907355799783695e-65,9.489841282336125e-54,4.716479765840915e-68,3.412571907723625e-19,1.4899151386912087e-36,3.1075610324213566e-72,2.579800132282e-72,7.770988864272318e-71,9.9674785386161e-24,8.66844950381785e-33,1.7964909154438277e-53,4.941004406939934e-40,1.836448119603362e-62,8.038082519845612e-55,4.316099178108909e-45,4.94876995034813e-37,6.119528609679685e-72,2.0374292526252019e-56,3.4932858663749496e-35,1.0840036884697698e-52,2.7528130679365096e-65,1.2888522225808018e-69,2.7460655252357184e-69,1.0998584907011411e-70,2.530256880717336e-101
1.054546233413589e-19,0.7408295613530497,1.6041600239660557e-24,3.223842948563233e-25,1.494642924550403e-34,6.391412842909351e-37,0.0,0.0,2.2891745583198647e-19,1.5216142725891095e-34,9.813454069390164e-46,1.1106955992947765e-45,9.803341908236089e-43,1.6700631595209135e-58,7.758054514328658e-40,5.078501045391518e-33,2.4599805623291046e-21,7.280942942125507e-33,5.0947393731437955e-56,2.4580828770416085e-54,9.676791966014494e-32,1.5141768928999632e-49,7.617074096147075e-22,4.117505218677527e-51,2.5376025674760767e-37,6.2961820800828065e-49,4.33254667544733e-30,3.8913793767320784e-38,1.303888205777913e-54,2.790680659015336e-55,6.516520440700944e-51,2.3458980837756644e-54,5.4982695499384964e-43,2.1400087525982683e-55,3.76,0.0,0.8199668322341335,0.9999999999997742,3.5758384651161675e-46,6.837034309899121e-19,2.6799936998926946e-14,2.564822046795232e-14,1.1517165309746256e-15,5.060760164850119e-31,2.2581763813525862e-13,3.03769460490079e-35,1.8748751320080914e-36,2.3857873174529793e-38,1.0555898619796057e-48,7.279387052987194e-33,6.930070454768207e-33,3.677809881149333e-32,2.3850930120304588e-32,1.1501466335942705e-36,1.5539262940562261e-40,1.9969684811511018e-23,7.030887077543329e-34,5.1399179813352e-51,1.35658952171898e-49,2.665301982053896e-44,3.9564082503313435e-58,8.624482790360655e-38,5.667237972429074e-46,7.617074096197994e-22,1.1643010973894256e-36,9.692013709073846e-55,5.421581209864152e-52,2.459980562318376e-21,4.689333413950327e-20,8.713981068160557e-31,5.1540490729372004e-39,1.8202572585066495e-19,2.4944681416415432e-33,3.780195689646373e-51,7.279339700516619e-64,9.467383943270919e-47,2.3929607539461106e-64,7.614999979857907e-53,7.57099456696157e-67,6.837034309899228e-19,5.9752260870294385e-36,4.988323677950741e-71,4.141150551558922e-71,1.2474158141342253e-69,1.9969689135721056e-23,3.476435956892904e-32,1.4415708205620762e-52,1.9815637604192646e-39,2.9479059436544645e-61,6.450110760707481e-54,3.463397771983859e-44,1.9846780891897283e-36,9.836963521941613e-71,1.6349086624226976e-55,1.4009638734438224e-34,8.69846251687839e-52,4.425066607598699e-64,2.0688972288437823e-68,4.414220129669647e-68,1.7679904012131338e-69,1.6299274652709882e-99
