Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71),CH2CFO(79),CH2F(46),C2H4F(63),C2H4F(62),C1OO1(734),CH2O2(778),CHO2(166),C2H2O(133),S(338),S(376),CH2F2(41),CH3O2(183),C2H2O(373),S(1537),CHF2(81),C2H3F2(64),CH2CF2(57),CH3F(39),C2H3F2(65),S(3087),CF2CH(73),C2HF2(72),C2HF(58),C2HF(4088),S(3189),S(4414),CF2(43)
0.0,0.5432193110322974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6354857073388058,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.87671169185774e-21,0.5432193110322974,3.136545084938535e-29,5.911596543265421e-32,5.311472424199154e-44,9.024680142971513e-44,0.0,0.0,2.4537894270518853e-23,3.2944073273705146e-41,9.637717168237643e-55,1.1201027447946503e-54,3.4871228132322216e-60,1.7009913636389562e-76,3.701915794873702e-51,1.3349611248562024e-40,8.369507175002307e-27,2.281563620044453e-40,4.2306569811945996e-70,4.111692133095817e-69,6.315388955741603e-41,3.287891659178732e-62,5.649321719970455e-28,1.5849947601573005e-61,1.8312711279759122e-45,1.6684585709313126e-61,2.416242240372798e-61,2.811548721196088e-67,1.9956079318628486e-66,4.581916553044928e-68,3.758103002046405e-61,6.153023018067206e-84,1.006191025762143e-75,3.7734335735371445e-85,3.76,0.0,0.6354857073388058,0.9999999999999996,1.5929289065233635e-55,2.2834656157419176e-24,5.997020860439249e-19,5.83364034387038e-19,1.6338051656886986e-20,1.9432065585222317e-39,4.4158725046683925e-16,3.298965204917999e-44,2.0853674096120594e-46,3.673518303654593e-59,1.7015441132167774e-70,2.2812363705533144e-40,2.2489083173653427e-40,2.1277314423224136e-40,1.0289143447236418e-40,5.717870994199034e-46,3.5850653840253594e-51,7.757991368010931e-42,4.946440606830564e-43,5.084365557269649e-60,1.9948862266363932e-58,2.6702973977295172e-53,1.2866812068928499e-72,1.7775417388318178e-47,7.339218817659392e-67,5.64932171997179e-28,3.706181068953791e-43,4.7714145666152996e-68,7.341125972972193e-63,8.369507175002047e-27,3.695055832613022e-24,1.7478413216365173e-37,2.375392783385123e-48,2.0842869803356288e-23,4.295125106621805e-38,1.0249844753452912e-61,1.4980014883954614e-77,6.845030587554616e-57,4.9925210197020576e-79,1.6262955170998898e-75,1.0290495886274203e-90,2.283465615741918e-24
5.254792737201672e-21,0.5432193110322974,8.782326251347142e-29,1.6552470321160726e-31,3.2081293456907586e-43,5.4509068133891125e-43,0.0,0.0,6.87061039574532e-23,1.989822025731801e-40,1.144189782214253e-53,1.3297859787243084e-53,4.139912203895161e-59,2.019416946910676e-75,2.2359571401022886e-50,8.063165194127896e-40,2.3434620090007295e-26,1.3780644265162704e-39,5.022636095686278e-69,4.881400900411234e-68,3.8144949292679924e-40,3.9033849777768995e-61,1.5818100815912948e-27,1.881705779258743e-60,1.106087761297448e-44,1.983204531964984e-60,3.6510356140672554e-60,4.2488124283190546e-66,3.0157627066313398e-65,6.924192294961953e-67,4.461619884029272e-60,1.3780067687886465e-82,2.8251668940613107e-74,1.0641686426748543e-83,3.76,0.0,0.6354857073388058,0.9999999999999988,1.8911251978429184e-54,6.393703724077369e-24,1.67916584092299e-18,1.6334192962837398e-18,4.5746544639250174e-20,1.1736967613465769e-38,1.2364443012997565e-15,1.9925749837746504e-43,1.2595619154110698e-45,4.361468986900394e-58,3.806509824780678e-69,1.3778667678236196e-39,1.3583406236826867e-39,1.2851497911619106e-39,6.214642642126928e-40,3.453594125000295e-45,2.1653794920573666e-50,4.685826786278621e-41,2.9876501265257166e-42,6.036158789808383e-59,2.3683289282591715e-57,3.170177070572734e-52,4.0455315690529795e-71,1.073635311928799e-46,8.713121821692737e-66,1.581810081592102e-27,2.23853336564813e-42,6.089917200003095e-67,8.715385510946948e-62,2.3434620090005736e-26,1.0346156331316332e-23,1.0556961582684468e-36,1.4347372411690395e-47,5.836003544939701e-23,2.5942555643994334e-37,1.2168615691299016e-60,3.350969409481016e-76,8.1264203135401805e-56,1.1168069820226584e-77,3.6824570255609265e-74,4.297084630026346e-89,6.3937037240773705e-24
1.2010954827889537e-20,0.5432193110322974,2.0073888638241336e-28,3.783421787702154e-31,1.5445761831688134e-42,2.6243769961275945e-42,0.0,0.0,1.5704252333132348e-22,9.580136507993602e-40,1.1233723131305514e-52,1.3055917596553525e-52,4.06459035118314e-58,1.9826755334529394e-74,1.0765171131471318e-49,3.882066951076483e-39,5.356484592002063e-26,6.634787007229621e-39,4.931254172813377e-68,4.7925883503361125e-67,1.8365151083297557e-39,3.8323665179384467e-60,3.615565900778064e-27,1.847469892439336e-59,5.325336440153909e-44,1.9481782437922776e-59,3.927483368719985e-59,4.570678527992738e-65,3.244219902671461e-64,7.448730101955568e-66,4.3804448591846105e-59,2.724251957817428e-81,6.135814754316401e-73,2.3147992413268428e-82,3.76,0.0,0.6354857073388058,0.9999999999999972,1.8567179334769933e-53,1.461417994074827e-23,3.83809335068112e-18,3.733529820077277e-18,1.0456353060384296e-19,5.650844672169874e-38,2.826158402936018e-15,9.59339081596305e-43,6.064248427230803e-45,4.2822335753512204e-57,7.521237634351342e-68,6.633835365709345e-39,6.539825386808696e-39,6.187443034261172e-39,2.992082914450543e-39,1.6627569518687697e-44,1.0425370138336439e-49,2.2560238898176053e-40,1.4384249284664103e-41,5.9263364942288484e-58,2.3252393857563593e-56,3.112498646757098e-51,9.025358377190239e-70,5.16909290163759e-46,8.554595217732325e-65,3.61556590078195e-27,1.0777574548518225e-41,6.165478052480771e-66,8.556818777181342e-61,5.356484592001312e-26,2.3648357328722439e-23,5.082722563318847e-36,6.90764221414906e-47,1.3339436674147598e-22,1.2490223810054157e-36,1.1947219044623841e-59,6.62095086649301e-75,7.97856765283921e-55,2.2066223984017602e-76,7.315259155122804e-73,1.7093317039961023e-87,1.461417994074828e-23
2.5523279009265264e-20,0.5432193110322974,4.265701362833761e-28,8.0397712989024e-31,6.74557000158713e-42,1.146134389060576e-41,0.0,0.0,3.337153620790704e-22,4.183897305760703e-39,9.936100891758675e-52,1.1547811264511794e-51,3.59508413569666e-57,1.7536540562474978e-73,4.701433059467479e-49,1.6954006285618446e-38,1.1382529758006064e-25,2.89758579760104e-38,4.361638951899239e-67,4.238990121535681e-66,8.020543973792845e-39,3.38968478494631e-59,7.683077539144682e-27,1.6340661979317426e-58,2.3257143325293645e-43,1.7235610869801095e-58,3.609985241739529e-58,4.2012410295027794e-64,2.9819970204254514e-63,6.846666266887181e-65,3.874453870988337e-58,4.8489127893417934e-80,1.136773514369253e-71,4.291247674729264e-81,3.76,0.0,0.6354857073388058,0.999999999999994,1.6422459855175635e-52,3.105513237409008e-23,8.155948370197379e-18,7.933750867664885e-18,2.2219750253249424e-19,2.4678723293100325e-37,6.005586606090248e-15,4.1896858103088637e-42,2.6484166102880204e-44,3.787633751420202e-56,1.3383815531929504e-66,2.897170190747249e-38,2.8561135629612656e-38,2.702218931736643e-38,1.306721217793024e-38,7.26169685243957e-44,4.553033039355895e-49,9.852649037374152e-40,6.28197957067567e-41,5.241777516340945e-57,2.0566479041899135e-55,2.752969805086724e-50,1.690349737774982e-68,2.2574795842677353e-45,7.566442810816511e-64,7.683077539161652e-27,4.706849957571937e-41,5.527307733455039e-65,7.56841215357225e-60,1.1382529758002788e-25,5.025275932353256e-23,2.219758478478226e-35,3.016748834965814e-46,2.834630293256242e-22,5.454808885407574e-36,1.0567179947017979e-58,1.1781628310875334e-73,7.056952734514965e-54,3.9265666585640636e-75,1.3049263216023543e-71,6.115980634568581e-86,3.105513237409011e-23
5.254792737201672e-20,0.5432193110322974,8.782326447376178e-28,1.6552470321415216e-30,2.8161426998791664e-41,4.784885509932238e-41,0.0,0.0,6.870610395745897e-22,1.7466947649719806e-38,8.351891494485949e-51,9.706631182246448e-51,3.0218848362841307e-56,1.474051899850065e-72,1.962755754422126e-48,7.077963883937796e-38,2.343462009001942e-25,1.2096850314775036e-37,3.6662211562355794e-66,3.5631266154652853e-65,3.348419224335106e-38,2.849234305576662e-58,1.5818100815850236e-26,1.3735310992361023e-57,9.70939952052789e-43,1.448923268812427e-57,3.088399827855438e-57,3.5942501584165e-63,2.5511612328009185e-62,5.857467138419885e-64,3.256711931922796e-57,8.179401690404918e-79,1.9532835252421245e-70,7.375558334352026e-80,3.76,0.0,0.6354857073388058,0.9999999999999877,1.3804067035995508e-51,6.39370372407737e-23,1.6791658409229898e-17,1.6334192962842238e-17,4.574654463876597e-19,1.0302881173166053e-36,1.2364443011925531e-14,1.7491113517039924e-41,1.1056618006485788e-43,3.1837528855546827e-55,2.2573901123876565e-65,1.2095115237972619e-37,1.1923711897836542e-37,1.1281232107078042e-37,5.455303855670737e-38,3.0316158219495864e-43,1.9008016680895552e-48,4.113287023319635e-39,2.622602809742333e-40,4.4060298446540305e-56,1.728736485781486e-54,2.3140369999752433e-49,2.9196588110244488e-67,9.424540482846135e-45,6.360051184729182e-63,1.5818100815921084e-26,1.96501720275986e-40,4.67537997416973e-64,6.361711237311583e-59,2.3434620090005737e-25,1.0346156331314447e-22,9.267054687315446e-35,1.2594332538105785e-45,5.836003544938814e-22,2.277275331528973e-35,8.882351465822903e-58,1.9871438185282027e-72,5.931793986630381e-53,6.622728588684414e-74,2.203565553595802e-70,2.0689822541981443e-84,6.393703724077383e-23
1.0659722409751964e-19,0.5432193110322974,1.7815576962553644e-27,3.357786836689016e-30,1.1504861903861268e-40,1.9547819007705358e-40,0.0,0.0,1.3937523945657296e-21,7.135818047378761e-38,6.847385247163056e-50,7.958082703981732e-50,2.477523763642953e-55,1.2085168059461872e-71,8.018497688159653e-48,2.8915791948413704e-37,4.753880075406755e-25,4.941958064660411e-37,3.0057909338345174e-65,2.9212664743998642e-64,1.367938509370223e-37,2.3359744271968183e-57,3.2088147369150607e-26,1.1261037804073691e-56,3.9666065140406085e-42,1.1879810226070895e-56,2.553541448882572e-56,2.971795547470077e-62,2.109349441903176e-61,4.843067102359018e-63,2.6700492040352896e-56,1.343549217519823e-77,3.237001091713857e-69,1.2224447041372085e-78,3.76,0.0,0.6354857073388058,0.9999999999999749,1.131740816316395e-50,1.2970084697414094e-22,3.406307848729494e-17,3.31350771532055e-17,9.280013340894419e-19,4.2090631339208935e-36,2.5082155821703408e-14,7.145690592937708e-41,4.516989224526422e-43,2.610240329680789e-54,3.7077812260911535e-64,4.941249229172287e-37,4.871225371039468e-37,4.60875141323034e-37,2.2286696271994675e-37,1.2385142544591851e-42,7.765395036939073e-48,1.6804119622768424e-38,1.0714188212025775e-39,3.6123294700227966e-55,1.4173226168658954e-53,1.8971873406843303e-48,4.851056780678295e-66,3.850238516725729e-44,5.214354260386363e-62,3.208814736944006e-26,8.027736442601409e-40,3.8448364439732303e-63,5.215723087888157e-58,4.753880075401161e-25,2.09879171292335e-22,3.785894216316403e-34,5.1451957850286656e-45,1.1838750048302394e-21,9.303412785930937e-35,7.282288380750467e-57,3.263889688950214e-71,4.863243094088599e-52,1.0877851593617814e-72,3.62147913362697e-69,6.806463268591703e-83,1.2970084697414148e-22
2.1469581754852546e-19,0.5432193110322974,3.588207937727911e-27,6.76286644596373e-30,4.650449201314247e-40,7.901541333237618e-40,0.0,0.0,2.807135104548416e-21,2.884411746665529e-37,5.54519010352752e-49,6.444661718439167e-49,2.006362978369361e-54,9.786882423441786e-71,3.2412049702314083e-47,1.1688225429109198e-36,9.574716208224947e-25,1.997618465306642e-36,2.4341695766454182e-64,2.3657173299149637e-63,5.529426169427971e-37,1.8917326553693551e-56,6.462824047530847e-26,9.119480375859335e-56,1.6033657735567788e-41,9.620842354577248e-56,2.0764946292751315e-55,2.416614801961764e-61,1.715287934970446e-60,3.938301736023845e-62,2.1622750711245023e-55,2.1780151567536076e-76,5.270282020183776e-68,1.990434302592382e-77,3.76,0.0,0.6354857073388058,0.9999999999999495,9.165130554880734e-50,2.6122846644087543e-22,6.860591864342502e-17,6.673684553396622e-17,1.8690731094588117e-18,1.7013706158182706e-35,5.051758143368839e-14,2.888402387627622e-40,1.8258392652524325e-42,2.113843229628158e-53,6.010482088810222e-63,1.997331942668897e-36,1.9690271788713842e-36,1.8629310087821374e-36,9.008638966564787e-37,5.00627483697214e-42,3.138896837155266e-47,6.792493826280899e-38,4.330846180434633e-39,2.9253580644585853e-54,1.1477846016484765e-52,1.536391496191767e-47,7.90844689363518e-65,1.5563329925127754e-43,4.2227192962057703e-61,6.462824047647846e-26,3.244939422564253e-39,3.1183065523909414e-62,4.223840509456287e-57,9.574716208202334e-25,4.2271438725058287e-22,1.5303189734752562e-33,2.0797704011223863e-44,2.38442430550233e-21,3.7605881968392176e-34,5.897385936803272e-56,5.290905836337641e-70,3.938380345606385e-51,1.7633466191360102e-71,5.87227683120703e-68,2.2083212222764726e-81,2.6122846644087764e-22
4.3089300445053714e-19,0.5432193110322974,7.201508974421221e-27,1.3573025665232053e-29,1.869925229021906e-39,3.177175297382595e-39,0.0,0.0,5.6339005245154155e-21,1.1598092772308534e-36,4.4632514158320576e-48,5.1872244521132056e-48,1.6148954753180818e-53,7.877334413509077e-70,1.3032742631359878e-46,4.699784038219971e-36,1.9216388473895584e-24,8.032335994242131e-36,1.959234901118711e-63,1.9041351198685266e-62,2.223357943429782e-36,1.522631018060268e-55,1.2970842668585254e-25,7.340151183352368e-55,6.447063256882086e-41,7.743796387239569e-55,1.6747670034922538e-54,1.9490874132339832e-60,1.3834418601326219e-59,3.176383024895223e-61,1.7403870909147867e-54,3.5076774271029e-75,8.505989659029441e-67,3.2125689892513644e-76,3.76,0.0,0.6354857073388057,0.9999999999998986,7.37689442007765e-49,5.242837053743443e-22,1.3769159895568516e-16,1.3394038229562438e-16,3.7512166600607715e-18,6.841136416868638e-35,1.0138843262737526e-13,1.1614138965700598e-39,7.341619384300152e-42,1.701406103454476e-52,9.679703257694142e-62,8.031183899316349e-36,7.917371682903125e-36,7.490763651301882e-36,3.622334106868259e-36,2.0130028620272875e-41,1.262136617064242e-46,2.731231893075067e-37,1.7414142014014632e-38,2.354582676580797e-53,9.238369023139094e-52,1.236621538855939e-46,1.2772162850821232e-63,6.257986916095538e-43,3.3988118814679486e-60,1.297084266905571e-25,1.3047758700526207e-38,2.5117451450052944e-61,3.399734794137168e-56,1.9216388473804656e-24,8.483848191665455e-22,6.153345286466485e-33,8.362665312983954e-44,4.7855229068440054e-21,1.5121159742758519e-33,4.746729262912672e-55,8.520840739865189e-69,3.169951133364113e-50,2.8398153690611465e-70,9.458487592020154e-67,7.11546293690163e-80,5.242837053743534e-22
8.632873782545605e-19,0.5432193110322974,1.4428113262800713e-26,2.7193344106644277e-29,7.499236982839726e-39,1.2741896210965397e-38,0.0,0.0,1.1287431364455915e-20,4.651353939076539e-36,3.581478175251854e-47,4.1624209881177723e-47,1.295851917489061e-52,6.321064768998544e-69,5.22671269838138e-46,1.8848236021911452e-35,3.8499733005373896e-24,3.221325991663596e-35,1.5721681692923174e-62,1.5279485154480896e-61,8.916659774319138e-36,1.2218155000373255e-54,2.5986879909985408e-25,5.890009058063563e-54,2.5855607179606245e-40,6.213951071564016e-54,1.3452634797163592e-53,1.565613050519049e-59,1.1112557368641382e-58,2.551443584736876e-60,1.3965510346990822e-53,5.630640030097863e-74,1.3668684144853523e-65,5.16251212211577e-75,3.76,0.0,0.6354857073388056,0.9999999999997969,5.91949319340923e-48,1.050394183241282e-21,2.7586295958020547e-16,2.683474558194878e-16,7.515503760717577e-18,2.743601680197513e-34,2.031301348936166e-13,4.6577891815922376e-39,2.944317736699819e-41,1.365271714786261e-51,1.553807316220496e-60,3.2208639500687426e-35,3.1752201560408245e-35,3.004131256501276e-35,1.4527179895834707e-35,8.07305599906681e-41,5.0617323726264166e-46,1.095346146455727e-36,6.983849814175355e-38,1.8894043209950973e-52,7.413209327364103e-51,9.923109047165039e-46,2.053087873566423e-62,2.5097650557225997e-42,2.727332516524366e-59,2.5986879911872163e-25,5.23273481419492e-38,2.0162610719466058e-60,2.7281059424620052e-55,3.849973300500922e-24,1.6997256829963394e-21,2.4677666749644345e-32,3.3538028212148547e-43,9.587720109517345e-21,6.064261367201842e-33,3.808951294907923e-54,1.3677836468994973e-67,2.5436861477727862e-49,4.5585325912245825e-69,1.5184062523579482e-65,2.2847961729745596e-78,1.0503941832413185e-21
1.728076125862607e-18,0.5432193110322974,2.8881330699531165e-26,5.443398100097104e-29,3.0036067508362205e-38,5.103406418161927e-38,0.0,0.0,2.2594493044362924e-20,1.86296770896523e-35,2.8695408184418827e-46,3.3350020873149556e-46,1.0382584499248298e-51,5.064543878632574e-68,2.0934113178556297e-45,7.549125595559942e-35,7.70664220688787e-24,1.290210633755605e-34,1.2596565897455823e-61,1.2242181634126307e-60,3.5713148147868563e-35,9.789392197201339e-54,5.201895438995109e-25,4.71917476190384e-53,1.0355729084930123e-39,4.978739434955505e-53,1.0783950073748277e-52,1.2550327150204144e-58,8.908090189813445e-58,2.0452978385680858e-59,1.1189402820279853e-52,9.023738422655748e-73,2.1917283222033492e-64,8.277981789775462e-74,3.76,0.0,0.6354857073388054,0.9999999999995934,4.742797952256877e-47,2.1026151389751575e-21,5.522056808292459e-16,5.37161602869403e-16,1.5044077959842727e-17,1.0988717268992088e-33,4.0661353894156976e-13,1.8655451636030724e-38,1.179262843972848e-40,1.09387894800686e-50,2.490143634001792e-59,1.2900255761173195e-34,1.2717442469281835e-34,1.2032194489324186e-34,5.818449294144333e-35,3.2334446459218905e-40,2.027333161712265e-45,4.3870978809903305e-36,2.7971826824047e-37,1.5138226763697126e-51,5.939588547820723e-50,7.950562599335174e-45,3.2925940990903475e-61,1.005241068261901e-41,2.1851849348411318e-58,5.201895439750798e-25,2.0958233056746486e-37,1.6157598389340408e-59,2.1858572539658383e-54,7.706642206741806e-24,3.4024074106474e-21,9.883938502461687e-32,1.343270463838545e-42,1.9192114514823968e-20,2.4288676487792802e-32,3.05179612509047e-53,2.1920202635669324e-66,2.0380443137747207e-48,7.30553829421811e-68,2.4334968608604892e-64,7.323932153869442e-77,2.102615138975304e-21
