Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71),CH2CFO(79),CH2F(46),C2H4F(63),C2H4F(62),C1OO1(734),CH2O2(778),CHO2(166),C2H2O(133),S(338),S(376),CH2F2(41),CH3O2(183),C2H2O(373),S(1537),CHF2(81),C2H3F2(64),CH2CF2(57),CH3F(39),C2H3F2(65),S(3087),CF2CH(73),C2HF2(72),C2HF(58),C2HF(4088),S(3189),S(4414),CF2(43),CF2O(49),S(4555),S(5169),C2F(4087),F(37),C2H3F2(66),S(4570),CHF3(42),CHO2(165),S(459),C2H2F2(59),CHF2O(616),CHFO2(172),S(4185),S(3185),CFO(51),C#CC(5436),CFO3(6311),C3H4(6313),S(3720),C3H4(6745),C2H2F3(67),C2H2F3(68)
0.0,0.7471216792488317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9229709546537217,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.476645106564657e-22,0.7471216792488317,3.519883711855536e-27,5.315611521607153e-28,1.1637432520925312e-39,5.258121145311413e-42,0.0,0.0,5.1131265042630475e-22,1.2236358179397914e-39,2.731158330371866e-53,3.098573866708053e-53,2.4994494083517036e-50,3.5347589369741717e-66,4.5725605439984694e-45,3.4918695064727047e-38,5.092674768793377e-24,4.968022530940794e-38,1.0129549307968687e-63,4.402949991424199e-62,5.979211457518289e-37,3.343041398670678e-57,1.5018443158397229e-24,1.1706105065753381e-58,1.678818587704809e-42,1.3794591782378236e-56,2.6934277821532996e-35,2.200087706257793e-43,2.3846514641439174e-62,4.7099630375424805e-63,1.7076297578800864e-58,3.2974818609191147e-62,1.3776453037436825e-50,5.083913214133106e-63,3.76,0.0,0.9229709546537217,0.9999999999999994,1.132525172071395e-53,1.4106336486976642e-21,5.807157242313781e-17,5.558468666694133e-17,2.486885756196465e-18,3.320084514332897e-36,4.9601597804802715e-16,1.8651154970082024e-40,1.0746769724524315e-41,1.4852584020982076e-43,2.8484028154128472e-56,4.96696228824295e-38,4.73541568717698e-38,2.4821169754049378e-37,1.593233900378895e-37,6.892216834058655e-42,8.770763553080205e-46,3.8230120199949195e-26,4.836934204500868e-39,1.4267084162139378e-58,3.837397430950575e-57,7.432170054998579e-52,3.728424907132235e-66,5.036295161374817e-43,2.995161058383843e-51,1.5018443158397576e-24,8.695686707012309e-42,1.5976403583392996e-62,1.3103738818915828e-59,5.0926747687933025e-24,1.0377584290261092e-22,6.112138049587091e-36,3.5386306479073337e-44,4.075403274073927e-22,2.0470389023906616e-38,9.076337868507547e-59,7.071806217997718e-74,2.4610315298147805e-54,2.2107871218677784e-74,1.9444320639617176e-60,8.561047979077962e-77,1.4106336486976642e-21,4.237704744078687e-41,5.577732532540191e-81,4.716229191005537e-81,1.1406299992864453e-79,3.8230120226825117e-26,2.484973956166539e-37,3.6167780551571645e-60,1.3819690572563037e-44,3.3343902918351553e-71,1.4136896974256803e-61,9.002251381769419e-52,1.330076101953301e-41,5.827867926355074e-81,4.3189740133633365e-63,1.0994589870967755e-39,1.9917603490522134e-59,2.393258467387738e-74,2.1122463517321614e-78,2.3587641388215987e-78,1.0721240506132191e-79,-2.584558960922263e-114,1.0897246465898056e-63,4.5443979845444474e-58
6.934606298381039e-22,0.7471216792488317,9.85567441385202e-27,1.488371226050693e-27,7.029009242648246e-39,3.175905177329531e-41,0.0,0.0,1.4316754211936525e-21,7.390760340356336e-39,3.24243119627662e-52,3.678626894594637e-52,2.967346337594633e-49,4.196465809975441e-65,2.7618265685749115e-44,2.1090891819094144e-37,1.425948935262169e-23,3.0006856086929966e-37,1.2025800940097688e-62,5.2271822298191446e-61,3.611443720341282e-36,3.9688587485021846e-56,4.2051640843511096e-24,1.3897487934062347e-57,1.0140064269736996e-41,1.6403824326416028e-55,1.6268303804202925e-34,1.3288530008865716e-42,3.603685292614399e-61,7.111249153374635e-62,2.027298048555398e-57,4.983154682576616e-61,1.6355405046042314e-49,6.036266212380304e-62,3.76,0.0,0.9229709546537215,0.9999999999999987,1.3445338843156896e-52,3.949774216353459e-21,1.626004027847858e-16,1.5563712266743726e-16,6.963280117348583e-18,2.0053310466565908e-35,1.3888447385334354e-15,1.1265297601933536e-39,6.491048913617349e-41,8.970960748679695e-43,3.381623822458984e-55,3.000045222102041e-37,2.8601910750528927e-37,1.4991986531443052e-36,9.623132758286768e-37,4.1628989682715477e-41,5.29754118607565e-45,1.070443365600444e-25,2.9215082595185274e-38,1.6937882317306082e-57,4.555758230021176e-56,8.823472289290031e-51,4.447005964188276e-65,3.041922278546031e-42,1.8090772792695979e-50,4.2051640843513205e-24,5.25219477103545e-41,2.155727455199163e-61,1.5556758730853463e-58,1.4259489352621243e-23,2.905723601272999e-22,3.6917313819505327e-35,2.1373329113378616e-43,1.1411129167406885e-21,1.23641149704389e-37,1.0775442413338642e-57,1.581935713286489e-72,2.9217366321956426e-53,4.9454423601325834e-73,2.3084297463355954e-59,1.9150721887279741e-75,3.949774216353459e-21,2.5595736654236657e-40,1.2477164565990296e-79,1.0550016051105765e-79,2.5515436832034352e-78,1.0704433672237502e-25,1.5009242695245337e-36,4.293838907081802e-59,8.347093105874361e-44,7.45889770721938e-70,1.6806942757585484e-60,1.068747284045273e-50,8.033659655796516e-41,1.8323749219503574e-79,5.127485948665017e-62,6.640732282064471e-39,2.365369427361923e-58,7.524787542820402e-73,4.726445204993603e-77,7.416331854714565e-77,3.3709295549762233e-78,1.3393672519261485e-112,1.6467918959642173e-62,5.395109287251068e-57
1.5850528682013804e-21,0.7471216792488317,2.2527255900471056e-26,3.40199137383341e-27,3.3841653770991146e-38,1.529061637398716e-40,0.0,0.0,3.2724009627283467e-21,3.558332958568909e-38,3.1834381874654524e-51,3.6116976991552995e-51,2.913358230373167e-48,4.120115016936175e-64,1.3297006061945096e-43,1.0154356524821152e-36,3.2593118520279266e-23,1.444700952004685e-36,1.180700267855798e-61,5.13207851000508e-60,1.738754691846672e-35,3.896649054291649e-55,9.61180362137343e-24,1.3644636064641926e-56,4.882004453045505e-41,1.6117152854003152e-54,7.832487990497288e-34,6.397855444400633e-42,3.8766801922298485e-60,7.647737987269378e-61,1.9904132457852693e-56,5.360650674927205e-60,1.605783366042782e-48,5.9278070205341226e-61,3.76,0.0,0.9229709546537213,0.9999999999999969,1.3200713406142613e-51,9.028055351665047e-21,3.7165806350808176e-16,3.5574199466843503e-16,1.5916068839646742e-17,9.654805767672887e-35,3.1745022595000888e-15,5.4237558653057315e-39,3.1251606358985273e-40,4.3191314333113696e-42,3.3200983216478554e-54,1.4443926334259644e-36,1.377058881828058e-36,7.2179961644734e-36,4.633124182299195e-36,2.0042566560943615e-40,2.5505380412584486e-44,2.446727692809816e-25,1.406580466668857e-37,1.6629713299433733e-56,4.472870445505618e-55,8.66293741609308e-50,4.407514432481047e-64,1.4645546345411883e-41,8.709928357866574e-50,9.611803621374447e-24,2.5287056943992032e-40,2.23000212860821e-60,1.527371798294107e-57,3.259311852027712e-23,6.641653945766354e-22,1.7774097448198207e-34,1.0290337924141503e-42,2.6082580954072366e-21,5.952789128151004e-37,1.057939943563406e-56,3.1256393060083727e-71,2.8685783511506658e-52,9.771360725305228e-72,2.2664300137545182e-58,3.7838599276624795e-74,9.028055351665048e-21,1.2323245395782913e-39,2.4652774600337673e-78,2.0845053887203133e-78,5.041420346123841e-77,2.446727700625336e-25,7.226304264531458e-36,4.215716501088737e-58,4.018766018569441e-43,1.4737524937682974e-68,1.6511505627079443e-59,1.0493024210612654e-49,3.867861304478066e-40,4.0879276521326684e-78,5.0341961099765e-61,3.1972267344773444e-38,2.3226630510325392e-57,1.678738707004069e-71,9.340042452893497e-76,1.6545428396008642e-75,7.520358402576993e-77,1.405720419257941e-110,1.7715436021132636e-61,5.296950290784697e-56
3.368237344927933e-21,0.7471216792488318,4.7870419204213406e-26,7.229231669409881e-27,1.477953930172014e-37,6.6778139407477805e-40,0.0,0.0,6.953852045797726e-21,1.55401748878353e-37,2.815715030153114e-50,3.1945057138741593e-50,2.5768323620309562e-47,3.6441950736609583e-63,5.8071518908755214e-43,4.4346742732188185e-36,6.92603768555982e-23,6.309388614368036e-36,1.0443160165433669e-60,4.539265323160856e-59,7.593598551051879e-35,3.4465419603758426e-54,2.0425082695416255e-23,1.2068526078588648e-55,2.132099606385022e-40,1.426011791844053e-53,3.420653283330033e-33,2.794111794703801e-41,3.563336989841761e-59,7.02878437570363e-60,1.760497975184325e-55,4.927362023371541e-59,1.4202972023457721e-47,5.245506501337857e-60,3.76,0.0,0.9229709546537208,0.9999999999999933,1.167588151450235e-50,1.918461762228822e-20,7.897733849546733e-16,7.559517386704546e-16,3.382164628421878e-17,4.216507333195364e-34,6.745817301416741e-15,2.36869668120644e-38,1.3648397550216094e-39,1.886278170674831e-41,2.936589366583571e-53,6.308042106119168e-36,6.013977922683671e-36,3.152288558759975e-35,2.023407053478478e-35,8.753115387005221e-40,1.1138869712646292e-43,5.19929634725843e-25,6.142906439716152e-37,1.4708793087891778e-55,3.956203255391027e-54,7.662270039873489e-49,3.9715188826955236e-63,6.396094871617399e-41,3.8038545442367166e-49,2.04250826954207e-23,1.1043522117905868e-39,2.017485918983477e-59,1.3509430605535633e-56,6.926037685558884e-23,1.411351463475136e-21,7.76241532297451e-34,4.4940609228699514e-42,5.542548452740155e-21,2.599739406035064e-36,9.357361445975962e-56,5.561908885723693e-70,2.5372250659748192e-51,1.738761432886847e-70,2.0046316806635102e-57,6.733176570417348e-73,1.9184617622288225e-20,5.381885024982094e-39,4.3868295208594505e-77,3.7092659645228875e-77,8.970938143866012e-76,5.199296381390861e-25,3.155916924330638e-35,3.7287535037396546e-57,1.7551007027852698e-42,2.6224638203605908e-67,1.4608350010918313e-58,9.280961084570135e-49,1.6891966494784888e-39,7.656236072969971e-77,4.452689448817471e-60,1.3963129136128218e-37,2.054499953053805e-56,3.144091808603826e-70,1.662122898299828e-74,3.0987756267635204e-74,1.4084798993840848e-75,1.1223186204466537e-108,1.628353833015711e-60,4.685092546145286e-55
6.93460629838104e-21,0.7471216792488319,9.855674713371523e-26,1.4883712260606995e-26,6.170166722725092e-37,2.787855908826169e-39,0.0,0.0,1.4316754211936456e-20,6.487717106716731e-37,2.3667781442719884e-49,2.6851745361660267e-49,2.165982866081037e-46,3.0631655386353174e-62,2.4243716004257086e-42,1.851389212330463e-35,1.425948935262512e-22,2.6340455459706464e-35,8.778105377248383e-60,3.815526015372271e-58,3.170177914779486e-34,2.897026187429844e-53,4.2051640843494636e-23,1.01443233523e-54,8.901096152010126e-40,1.198834347473947e-52,1.4280554100934883e-32,1.1664868688386457e-40,3.0485098159454643e-58,6.0129661091867445e-59,1.4798046261030498e-54,4.215462799621912e-58,1.1938453778961064e-46,4.413249383471866e-59,3.76,0.0,0.9229709546537199,0.9999999999999862,9.81428193766021e-50,3.9497742163534546e-20,1.626004027847856e-15,1.5563712266745902e-15,6.963280117326567e-17,1.7603088094926285e-33,1.3888447385183427e-14,9.888842365191477e-38,5.6979373080057144e-39,7.874840048015665e-41,2.468380305401782e-52,2.633483405271903e-35,2.510717397313247e-35,1.3160184203558315e-34,8.447326139784435e-35,3.654253372393403e-39,4.650258836053941e-43,1.070443365627514e-24,2.564542515226406e-36,1.2363626861731327e-54,3.3254272152633616e-53,6.440599654890366e-48,3.4611607607310237e-62,2.6702437095650337e-40,1.5880343932354268e-48,4.20516408435132e-23,4.610453092058137e-39,1.7136897847851693e-58,1.135549046013426e-55,1.4259489352621219e-22,2.905723601271456e-21,3.240655593890089e-33,1.8761819695452393e-41,1.1411129167405289e-20,1.0853400260465602e-35,7.865427091261451e-55,9.38097287579316e-69,2.1326905472275193e-50,2.9326752992734826e-69,1.685013715718979e-56,1.1356486427793114e-71,3.949774216353458e-20,2.246831055312465e-38,7.399029179407311e-76,6.256219206847386e-76,1.5130798399495015e-74,1.0704433798771324e-24,1.317533191558718e-34,3.1342419941409086e-56,7.327199942198156e-42,4.423168540386416e-66,1.2280828074630337e-57,7.801207011435854e-48,7.052063492536573e-39,1.3224243845453086e-75,3.7427537763971868e-59,5.8293315495863544e-37,1.7269828589170466e-55,5.430636718940684e-69,2.8035030024022505e-73,5.352364284141017e-73,2.4327987619732047e-74,7.994421333468674e-107,1.3930910772908816e-59,3.938102583037275e-54
1.4067344205287252e-20,0.7471216792488319,1.9992940828078732e-25,3.01926734431779e-26,2.5207144338729868e-36,1.1389301382451762e-38,0.0,0.0,2.90425585442138e-20,2.6504441270902703e-36,1.9404277181874003e-48,2.201468316564878e-48,1.7758036167807218e-45,2.5113681772368558e-61,9.904349040703141e-42,7.563529025788586e-35,2.892639268676178e-22,1.0760935523476138e-34,7.1968211564357255e-59,3.1281987517777504e-57,1.295121118547077e-33,2.375157099408599e-52,8.530475713962237e-23,8.316929178416525e-54,3.636388213711472e-39,9.829506636981225e-52,5.834072313219848e-32,4.765481082366431e-40,2.5205668682246288e-57,4.971516667486588e-58,1.2132332385090817e-53,3.485427568518493e-57,9.787865698959404e-46,3.624947694854184e-58,3.76,0.0,0.9229709546537183,0.9999999999999719,8.046341286543989e-49,8.012399124602712e-20,3.2984653136342185e-15,3.157210202683247e-15,1.4125511095097073e-16,7.191435861369126e-33,2.8173707552450323e-14,4.0399147711852654e-37,2.3277933094640268e-38,3.217129109357822e-40,2.0237273076337574e-51,1.0758638995210635e-34,1.0257099794815836e-34,5.376364653373377e-34,3.451008357555988e-34,1.492881741030306e-38,1.8997824688298047e-42,2.1714708274786486e-24,1.047699296431746e-35,1.0136448280267229e-53,2.7263861448879408e-52,5.280392721675794e-47,3.0391008059363952e-61,1.0908816898378498e-39,6.487638659581727e-48,8.530475713969821e-23,1.8835205234858718e-38,1.412098133617305e-57,9.309917201407032e-55,2.8926392686745853e-22,5.894467876861376e-21,1.3239135500919283e-32,7.664815528802506e-41,2.314829059673274e-20,4.4339681441260685e-35,6.448552725538377e-54,1.5408276592711333e-67,1.748508562347886e-49,4.81692798531619e-68,1.3814760483895405e-55,1.8653063059068202e-70,8.012399124602727e-20,9.179037983880671e-38,1.2152927645055242e-74,1.0275858833393578e-74,2.4852381806049437e-73,2.1714708856929904e-24,5.382552988008357e-34,2.5696409497136987e-55,2.9934002573077184e-41,7.265067609456438e-65,1.0069213356997218e-56,6.395900837046913e-47,2.8809980398581403e-38,2.1972278937316337e-74,3.0685356735496788e-58,2.3814721444104643e-36,1.415905523042085e-54,9.023084130531394e-68,4.604833854288609e-72,8.893033309418316e-72,4.0421315286051456e-73,5.393331051774655e-105,1.151834792095254e-58,3.2286944277093117e-53
2.833282001909968e-20,0.7471216792488325,4.026747517272054e-25,6.081059580902638e-26,1.0189130769739901e-35,4.603737992856614e-38,0.0,0.0,5.849416720876799e-20,1.0713518931255193e-35,1.5714086755843616e-47,1.7828061203286313e-47,1.4380918096783424e-44,2.03377106153837e-60,4.0034962391608953e-41,3.0572993626436634e-34,5.826019935505934e-22,4.349742191378329e-34,5.8281723908192115e-58,2.5332964532247856e-56,5.235086633230137e-33,1.923463799213385e-51,1.7181098973176164e-22,6.735264879630982e-53,1.4698862568272324e-38,7.96048405668398e-51,2.3582253077795676e-31,1.926284946882049e-39,2.049683116727165e-56,4.042707331258327e-57,9.82507731740671e-53,2.8342941026041373e-56,7.926467410525033e-45,2.946427280084857e-57,3.76,0.0,0.9229709546537149,0.9999999999999434,6.516135789497848e-48,1.6137648941101196e-19,6.6433878852069305e-15,6.358888154702104e-15,2.8449973050482615e-16,2.906893356308663e-32,5.674422788591824e-14,1.6329981432120263e-36,9.409312739204662e-38,1.3004150235036367e-39,1.6388668424097976e-50,4.348813897863017e-34,4.146083733881481e-34,2.1732125535549155e-33,1.3949527549919019e-33,6.034466713206638e-38,7.67922448883963e-42,4.37352575137209e-24,4.2349680688826576e-35,8.208758622768645e-53,2.207898186408168e-51,4.276198929367405e-46,2.7873840323346156e-60,4.409518260447032e-39,2.622407274905203e-47,1.7181098973206825e-22,7.61349110495267e-38,1.1463906477445035e-56,7.539412410398209e-54,5.826019935499495e-22,1.1871956428030328e-20,5.35147024503302e-32,3.098240986685968e-40,4.6622613455376346e-20,1.7922808169035923e-34,5.222205341551448e-53,2.4977480724117844e-66,1.4159875669273037e-48,7.80844783967323e-67,1.1187551211750738e-54,3.0237419033882324e-69,1.6137648941101263e-19,3.7103139132821545e-37,1.9700419417790168e-73,1.6657609985413518e-73,4.0286781869232307e-72,4.3735259866837654e-24,2.17571397736826e-33,2.080961863505334e-54,1.2099802445767459e-40,1.1776987667712215e-63,8.154568766301139e-56,5.179566322761937e-46,1.164545470899199e-37,3.5820360193820525e-73,2.484979745601383e-57,9.626291172340842e-36,1.1466452341856674e-53,1.4709904441513516e-66,7.464691472412654e-71,1.4497888779868434e-70,6.589694572959565e-72,3.5431985641797766e-103,9.366531671884367e-58,2.6146804571132316e-52
5.686377164672453e-20,0.7471216792488332,8.081655232291369e-25,1.2204644054355005e-25,4.0970046694589645e-35,1.8511430199522353e-37,0.0,0.0,1.1739738453787444e-19,4.3078588424895203e-35,1.264806411885118e-46,1.434957467320228e-46,1.1575013995751895e-43,1.6369558844015794e-59,1.6097882297439597e-40,1.2293266272240374e-33,1.1692781269175145e-21,1.7490122044794194e-33,4.6910202249831915e-57,2.039017377374767e-55,2.105005310483731e-32,1.5481710031852232e-50,3.448234549155756e-22,5.421127129926773e-52,5.91034799075393e-38,6.407408159961868e-50,9.48232024394522e-31,7.745517504119025e-39,1.653143688514064e-55,3.260571049933997e-56,7.90807698745981e-52,2.2859645646710097e-55,6.379910558993931e-44,2.389008203744796e-56,3.76,0.0,0.9229709546537083,0.9999999999998862,5.244752974657275e-47,3.2388148574098057e-19,1.3333233028352308e-14,1.2762244058745986e-14,5.709889696063179e-16,1.168849033571257e-31,1.138852685485905e-13,6.566213712141183e-36,3.7834432689518326e-37,5.228911615436706e-39,1.3191026129874275e-49,1.748638941681737e-33,1.6671220341752758e-33,8.738392096373697e-33,5.609043675501713e-33,2.4264325447015656e-37,3.0877823931061776e-41,8.777635599923658e-24,1.7028620344316194e-34,6.6071230858497256e-52,1.7771085431316743e-50,3.4418569191379506e-45,2.7687009465594552e-59,1.7730479415001267e-38,1.0544584317019579e-46,3.4482345491680848e-22,3.061351287951693e-37,9.238481423985524e-56,6.068375158446183e-53,1.1692781269149252e-21,2.3826933530324683e-20,2.1518026489037707e-31,1.2457890742578095e-39,9.35712591726185e-20,7.206682337367697e-34,4.2032852421439836e-52,4.022546299685252e-65,1.1397099819846974e-47,1.257526452462206e-65,9.004714510238931e-54,4.869643118662841e-68,3.2388148574098313e-19,1.491900905982868e-36,3.172691814210276e-72,2.6826567354924496e-72,6.488062022744101e-71,8.777636546101558e-24,8.748450211598423e-33,1.6749391473179975e-53,4.865277348352383e-40,1.8966475573798998e-62,6.563609756838886e-55,4.168965588634998e-45,4.682586119858662e-37,5.784997742354648e-72,2.0001278876135678e-56,3.8706893424294367e-35,9.229231285589426e-53,2.375653496486962e-65,1.202170135976811e-69,2.3414129104672697e-69,1.0642374337334716e-70,2.2973826458841406e-101,7.554451046448837e-57,2.104522303940786e-51
1.139256749019742e-19,0.7471216792488351,1.6191474046693816e-24,2.445181300239041e-25,1.6430821157636926e-34,7.4239132265805796e-37,0.0,0.0,2.3520381919607956e-19,1.7276440695340952e-34,1.0149274911699232e-45,1.151462998749128e-45,9.288219762450392e-43,1.3135540053386913e-58,6.455970796604445e-40,4.930149604909719e-33,2.342630393655235e-21,7.014321206293132e-33,3.764248373136603e-56,1.6361830325286584e-54,8.442012781751052e-32,1.2423097296675265e-49,6.908483852813449e-22,4.3501131111018643e-51,2.3703138910653833e-37,5.1415892121146974e-49,3.802834524864842e-30,3.106307330787179e-38,1.327894912430327e-54,2.619060471522494e-55,6.345733749147636e-51,1.8362169850445723e-54,5.1194764307375786e-43,1.9450613138571037e-55,3.76,0.0,0.9229709546536948,0.999999999999772,4.208583959585475e-46,6.488914784009131e-19,2.6712923314642866e-14,2.5568955866858436e-14,1.1439674477844248e-15,4.687607404975879e-31,2.281673498568808e-13,2.633345379777655e-35,1.517329969628951e-36,2.0970274267859845e-38,1.0584967727786151e-48,7.012824255063681e-33,6.6859049949573e-33,3.504486064696453e-32,2.2494773844302362e-32,9.731079912108909e-37,1.2383388445598388e-40,1.7585855300085534e-23,6.829238381731732e-34,5.3018001749352156e-51,1.426017687330865e-49,2.7618734168447236e-44,3.064541491749299e-58,7.110715603305245e-38,4.228849931020343e-46,6.908483852862892e-22,1.2277387887519953e-36,7.417829216220212e-55,4.869489110803478e-52,2.3426303936448515e-21,4.7736887734739206e-20,8.629691039338906e-31,4.9961713811194105e-39,1.8746855060692237e-19,2.890201944007878e-33,3.372871717804972e-51,6.457077694868909e-64,9.145454840949412e-47,2.018608456256847e-64,7.225716297457192e-53,7.816855668805299e-67,6.488914784009233e-19,5.9831899020247585e-36,5.092873007003963e-71,4.3062581789659024e-71,1.0414776435279851e-69,1.7585859094682112e-23,3.5085198188322586e-32,1.3440331817049803e-52,1.9511938229599308e-39,3.04453937342637e-61,5.26692484744871e-54,3.3453323325817773e-44,1.877926467801026e-36,9.299214922964318e-71,1.6049766661580634e-55,1.5523195471245943e-34,7.405890014394663e-52,3.8187936118723864e-64,1.9297529773419975e-68,3.763752869778382e-68,1.7107305924900476e-69,1.4799157680659991e-99,6.068152218286702e-56,1.688746610722896e-50
