Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71),CH2CFO(79),CH2F(46),C2H4F(63),C2H4F(62),C1OO1(734),CH2O2(778),CHO2(166),C2H2O(133),S(338),S(376),CH2F2(41),C2H2O(373),CH3O2(183),CHF2(81),S(1537),C2H3F2(64),CH2CF2(57),CH3F(39),C2H3F2(65),S(140),S(2988),F(37),C2HF(58),C2HF(3940),CF2CH(73),C2HF2(72),S(3117),CF2(43),CF2O(49),S(4341),S(4409),C2F(3939),C2H3F2(66),S(4619),CHF3(42),S(4047),CHO2(165),C2H2F3(67),C2H2F3(68),S(5214),CFO(51),CHF2O(615),S(3044),CFO3(5914),CHFO2(172),S(459),C2H4(456),C2H2F2(59),C#CC(5603),C3H4(6319),CHF(40),CHFO2(735)
0.0,0.7141259547481855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.660105327153342,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4784443337070593e-22,0.7141259547481855,2.6267550735505845e-27,5.757321311180341e-28,5.145365548837659e-41,2.969253729572625e-42,0.0,0.0,3.9681181762766523e-22,7.250413666189653e-40,2.288727822223404e-53,2.5980752636929916e-53,2.0478262349229066e-50,3.120352435534365e-66,3.751504840526225e-45,2.794560872227651e-38,3.850005751116248e-24,3.982428489864423e-38,8.835474324191304e-64,3.783558274908841e-62,4.693018060313467e-37,2.7085342581457516e-57,1.1478091447296762e-24,7.177359415418023e-59,1.3552138892154199e-42,1.1683416023379615e-56,2.1113438887098698e-35,1.7616187008989888e-43,1.412009065831068e-62,5.014043495739636e-63,1.38674150863007e-58,2.8192201267941785e-62,1.133102650948254e-50,4.207577754363974e-63,3.76,0.0,0.6601053271533419,0.9999999999999994,3.902709306780785e-54,1.0672114358624854e-21,4.3452344450119223e-17,4.158993405390788e-17,1.8624103962113422e-18,2.57123686365479e-36,5.038637738236647e-16,1.5307974812108388e-40,8.957148474272602e-42,1.215331786980343e-43,2.3044339594195958e-56,3.981578278921755e-38,3.7947539810240956e-38,1.9104457107195133e-37,1.229361718906898e-37,5.687610418318605e-42,2.298148973416482e-43,2.941084020310301e-26,2.8595217589333137e-39,1.8158791447684279e-53,3.2076468662963083e-57,6.232310431564938e-52,3.3001055376757856e-66,4.180678356841316e-43,6.676110483732172e-51,1.1478091447297042e-24,5.648530761919605e-60,6.831954477287423e-42,3.85000575111619e-24,1.1346471942936508e-59,8.07038776967813e-23,4.874765469340188e-36,1.3055431192544537e-28,3.161105666859473e-22,3.2207064084682666e-43,1.6443062766494944e-38,2.9410840224182803e-26,1.9978928574653323e-54,1.8835995246929478e-74,7.878108949368501e-59,6.180479083772534e-74,1.6070765422172993e-73,1.0672114358624854e-21,3.36803244849447e-41,7.382400354667841e-90,4.821606584434875e-94,1.017160354428556e-79,1.96142563335854e-37,2.9738060788854955e-60,8.096215399923892e-45,1.542166341591136e-70,2.8490202876015026e-71,6.814542828343112e-64,2.853886530159028e-58,4.057529321937011e-94,1.7449345553384418e-59,1.0705893548455172e-41,4.5026069665040445e-56,1.9277562430359366e-78,3.8944559806294996e-81,2.6234609156907415e-61,1.1211941882762628e-64,7.307861529349438e-52,7.301954954846474e-77,1.4794808590877665e-78,1.3055431192544566e-28,1.1015409260847544e-51
6.939644134379767e-22,0.7141259547481855,7.354914222374705e-27,1.6120499671310625e-27,3.1078007915774586e-40,1.793429256011404e-41,0.0,0.0,1.1110730893574628e-21,4.379249854378552e-39,2.7171776931293896e-52,3.0844349530888967e-52,2.4311793061000567e-49,3.7044824114661323e-65,2.2659089236777054e-44,1.68791476682542e-37,1.0780016103125688e-23,2.4053868078819552e-37,1.0489475119616066e-62,4.4918403839720616e-61,2.8345829084295235e-36,3.2155718712709045e-56,3.2138656052430037e-24,8.520961097984244e-58,8.185491890861099e-42,1.389341364021648e-55,1.2752517087805252e-34,1.0640177109726065e-42,2.133828100283981e-61,7.573184783508426e-62,1.6463395190457498e-57,4.260405534721471e-61,1.345219467205546e-49,4.995640418663658e-62,3.76,0.0,0.6601053271533419,0.9999999999999986,4.633296489207676e-53,2.988192020414959e-21,1.2166656446033386e-16,1.164518153509432e-16,5.214749109390615e-18,1.5530270656471207e-35,1.4108185667052037e-15,9.24601678651681e-40,5.41011767846384e-41,7.340603993363992e-43,2.735823996622737e-55,2.4048732804713886e-37,2.2920314045369474e-37,1.1539092092743721e-36,7.4253447821963045e-37,3.4353166930676296e-41,1.388081979943542e-42,8.235035256879679e-26,1.7271511423957232e-38,1.0967979876643012e-52,3.8081183596644896e-56,7.398998944350295e-51,3.935358689628182e-65,2.5251297283985366e-42,4.0323707329900977e-50,3.2138656052431723e-24,6.708167714492057e-59,4.1265005042816194e-41,1.0780016103125334e-23,1.3470531494885824e-58,2.2597085755097916e-22,2.9443583434814165e-35,3.65552073391247e-28,8.851095867206438e-22,1.945306670716533e-42,9.931609910962372e-38,8.235035269611874e-26,2.3718984003824656e-53,4.213536792756488e-73,9.352899314423809e-58,1.3825490246095637e-72,4.2528424469026216e-72,2.9881920204149595e-21,2.0342915988907737e-40,3.5903418901854557e-88,2.3449305464912055e-92,2.275347026442167e-78,1.1847010825485129e-36,3.5305025768522107e-59,4.890114101581508e-44,1.8308599131251424e-69,6.373144422549465e-70,1.0298137213145254e-62,3.388134088605282e-57,1.973330731919182e-92,2.072218364713368e-58,6.466359703265773e-41,5.345494990633516e-55,4.3135705155013095e-77,1.2244792716173773e-79,3.1166164879989764e-60,1.3310817582266106e-63,8.675893207744208e-51,2.2958514690831924e-75,4.651724537907586e-77,3.6555207339124913e-28,6.653307193551942e-51
1.5862043735725181e-21,0.7141259547481856,1.6811232585755207e-26,3.684685639159387e-27,1.496272301721252e-39,8.634589895840257e-41,0.0,0.0,2.5395956328170564e-21,2.1084202941279497e-38,2.667741181665565e-51,3.028316527461539e-51,2.38694625942484e-48,3.6370827988580276e-64,1.0909376076248232e-43,8.126583016436786e-37,2.464003680714533e-23,1.1580902048583116e-36,1.0298628878270927e-61,4.4101155252346217e-60,1.3647296519394393e-35,3.157067531295516e-55,7.345978526269295e-24,8.365930134611136e-57,3.940961989838384e-41,1.3650653973572243e-54,6.139788028364751e-34,5.122787416658515e-42,2.295474898140482e-60,8.145496629389064e-61,1.6163859024593978e-56,4.5831500803000617e-60,1.3207444499445786e-48,4.905605367403164e-61,3.76,0.0,0.6601053271533418,0.9999999999999968,4.548997968274663e-52,6.830153189519905e-21,2.7809500448076306e-16,2.661755779450185e-16,1.1919426535744583e-17,7.477156799502536e-35,3.2247281524640526e-15,4.451559075366043e-39,2.6047387763231423e-40,3.534184836542915e-42,2.686048223098837e-54,1.1578429635143914e-36,1.1035144576793949e-36,5.555576126769128e-36,3.5749838785792196e-36,1.653957110251774e-40,6.683017214694923e-42,1.8822937730061771e-25,8.315489274978093e-38,5.280681316348877e-52,3.738833187347264e-55,7.264381039020929e-50,3.898857429428455e-64,1.2157412674689683e-41,1.9414129298931137e-49,7.345978526270107e-24,6.587096887489708e-58,1.9867323619952056e-40,2.4640036807143613e-23,1.322544770980418e-57,5.16504817259341e-22,1.41758179848404e-34,8.355475963228505e-28,2.0231076267900013e-21,9.36581423585069e-42,4.7816426524958665e-37,1.8822937791361823e-25,2.3287439146604187e-52,8.325238660807174e-72,9.182735676405216e-57,2.7316844480572892e-71,8.98457383686053e-71,6.830153189519907e-21,9.794238360223621e-40,1.521705679183361e-86,9.93859147408601e-91,4.4957022954810555e-77,5.703825741805952e-36,3.466268365546898e-58,2.3543794383382957e-43,1.7975491881614412e-68,1.259225941225457e-68,1.1078266335350345e-61,3.3264901395540694e-56,8.363628516473103e-91,2.0347932437800597e-57,3.1132738438890356e-40,5.248238680156825e-54,8.524100312958442e-76,2.7317458965115584e-78,3.0608080817903756e-59,1.3068640013603801e-62,8.518043398751979e-50,5.121918332912637e-74,1.0377741553053172e-75,8.355475963228607e-28,3.203281013054501e-50
3.3706842938416012e-21,0.7141259547481855,3.5723869575445277e-26,7.829956983225101e-27,6.53461424825615e-39,3.770952288475064e-40,0.0,0.0,5.3966407197362376e-21,9.20802535606084e-38,2.359586867927867e-50,2.6785116740690023e-50,2.111226935153386e-47,3.216958546936769e-63,4.764411147466205e-43,3.5490923077278514e-36,5.236007821518765e-23,5.057684182186975e-36,9.109020621847732e-61,3.900697239101851e-59,5.960132936601025e-35,2.7923904787796815e-54,1.5610204368320424e-23,7.399570462919126e-56,1.7211216393035232e-40,1.2077827505699278e-53,2.681406738657862e-33,2.2372559924007793e-41,2.1099369068905465e-59,7.486610937253826e-60,1.4296750257374517e-55,4.212704945481397e-59,1.1681835090201107e-47,4.3404751091637635e-60,3.76,0.0,0.6601053271533415,0.9999999999999931,4.023537187232905e-51,1.4514075527729796e-20,5.909518845216213e-16,5.65623103133187e-16,2.5328781388434206e-17,3.2654708168358016e-34,6.852547323964831e-15,1.9441128011428081e-38,1.137557856237392e-39,1.5434713694692483e-41,2.375779234801872e-53,5.0566044142712636e-36,4.819337555875665e-36,2.426266052610456e-35,1.5612893830096513e-35,7.223265237513142e-40,2.9186491962387176e-41,3.9998742676599307e-25,3.6315926338453227e-37,2.3062747693301398e-51,3.306955613260647e-54,6.425262762502743e-49,3.510462367337696e-63,5.309461526616507e-41,8.478660326985777e-49,1.5610204368323977e-23,5.826601025643942e-57,8.676582186155262e-40,5.2360078215180154e-23,1.1697758741835765e-56,1.097572736675929e-21,6.1909521460611446e-34,1.7755386421860586e-27,4.2991037069285764e-21,4.0902971387802514e-41,2.0882689713439668e-36,3.999874294431273e-25,2.0597476203299942e-51,1.481431738110133e-70,8.122027171158953e-56,4.860886972253034e-70,1.6462883063501657e-69,1.4514075527729802e-20,4.277401209589732e-39,5.597189844435439e-85,3.655646688298202e-89,7.999862030351293e-76,2.4910105543646414e-35,3.065875115083499e-57,1.0282193558317435e-42,1.5899120223723386e-67,2.240725282221245e-67,1.018283585590999e-60,2.9422428571335026e-55,3.07633842965125e-89,1.7998615758624528e-56,1.3596484806520207e-39,4.642007678186387e-53,1.5169164506484682e-74,5.116257736154773e-77,2.707605741468558e-58,1.155906476906966e-61,7.53411292244034e-49,9.592786183864943e-73,1.9436361401924954e-74,1.7755386421861027e-27,1.3989569761276736e-49
6.939644134379766e-21,0.7141259547481856,7.354914460654167e-26,1.612049967139281e-26,2.728072815102803e-38,1.5742983741454524e-39,0.0,0.0,1.1110730893574577e-20,3.844169325813733e-37,1.9833749398640217e-49,2.2514504546968917e-49,1.774613449959471e-46,2.704047494991954e-62,1.9890478664451127e-42,1.4816761744539614e-35,1.0780016103128444e-22,2.1114835853793035e-35,7.656680704572183e-60,3.278771064106923e-58,2.4882381755808297e-34,2.347172451564128e-53,3.213865605241687e-23,6.219784831650174e-55,7.185344040619613e-40,1.0153719304503131e-52,1.1194345297906668e-32,9.340104532498002e-41,1.8050954456505613e-58,6.404761061772842e-59,1.2017280035148628e-54,3.604058486059173e-58,9.819286276666026e-47,3.6509924883396613e-59,3.76,0.0,0.6601053271533408,0.9999999999999859,3.382025442224192e-50,2.988192020414956e-20,1.2166656446033372e-15,1.164518153509597e-15,5.214749109374021e-17,1.3632697851045654e-33,1.4108185666898717e-14,8.116288245425065e-38,4.749080121102049e-39,6.443689134607688e-41,1.996985598287212e-52,2.11103280352083e-35,2.0119785607165292e-35,1.012918315820491e-34,6.518075833625385e-35,3.01557104941606e-39,1.2184785857052244e-40,8.235035257036779e-25,1.5161184365864544e-36,9.628765524829795e-51,2.7796954519531354e-53,5.400820502984729e-48,3.0548722246873955e-62,2.2165956768823815e-40,3.539673789856122e-48,3.2138656052431713e-23,4.897763246085481e-56,3.622302263857999e-39,1.0780016103125317e-22,9.83267109217339e-56,2.2597085755085615e-21,2.5846006518433616e-33,3.655520733912477e-27,8.851095867205164e-21,1.7076185377927655e-40,8.718111878787598e-36,8.235035368801864e-25,1.7313419839892636e-50,2.4986511569342347e-69,6.827053803708915e-55,8.198596721080897e-69,2.8153895714505543e-68,2.988192020414959e-20,1.7857308041933468e-38,1.9183249781958326e-83,1.2528998566279497e-87,1.3492936598585664e-74,1.0399478708060633e-34,2.5770527670571044e-56,4.292613405410759e-42,1.3364170594951705e-66,3.779310699739777e-66,8.711631279453964e-60,2.4731324048520686e-54,1.0543535264964821e-87,1.5129357157675136e-55,5.676264759374855e-39,3.9018871554597976e-52,2.5585799824506694e-73,8.837062916332576e-76,2.2760467842247247e-57,9.716091559293509e-61,6.332875875674341e-48,1.656915257519268e-71,3.357148083998471e-73,3.655520733912662e-27,5.840369990101684e-49
1.4077563815456096e-20,0.7141259547481857,1.491996988755994e-25,3.270158504787331e-26,1.114506760279444e-37,6.431522744017343e-39,0.0,0.0,2.2538911241251165e-20,1.5704686017513245e-36,1.626090606850079e-48,1.8458751100061473e-48,1.4549353239010215e-45,2.216941508060019e-61,8.1259095447574e-42,6.053130631670333e-35,2.186803266635267e-22,8.626099406636014e-35,6.277409458849636e-59,2.688134613361662e-57,1.0165264839383645e-33,1.9243537859814912e-52,6.519555942058653e-23,5.0993553885578643e-54,2.9354474925957068e-39,8.325260417381981e-52,4.573255316673128e-32,3.815738416909301e-40,1.492487821588013e-57,5.295505150799687e-58,9.852492226293226e-54,2.9799064313728115e-57,8.050444145875328e-46,2.9975050681670107e-58,3.76,0.0,0.6601053271533396,0.9999999999999714,2.772788790976209e-49,6.061760955698904e-20,2.4680931647667666e-15,2.362308254262707e-15,1.0578491050405922e-16,5.569401896106752e-33,2.86194623524958e-14,3.3157685762401143e-37,1.9401541881574137e-38,2.6324572639029953e-40,1.6372494462616167e-51,8.624257815584616e-35,8.219588912867367e-35,4.1381018272215285e-34,2.662846657605019e-34,1.2319591718106906e-38,4.977882602377387e-40,1.6705357236067837e-24,6.193838510720009e-36,3.9340917694472156e-50,2.278962273610765e-52,4.427918952140237e-47,2.6752716869553427e-61,9.055516650372724e-40,1.446072244854511e-47,6.519555942064716e-23,4.015543504302843e-55,1.4798286675985399e-38,2.186803266633989e-22,8.061417870314154e-55,4.583980253171654e-21,1.0558936997202795e-32,7.415484917365321e-27,1.7955080187756082e-20,6.976178909191967e-40,3.5616331674670796e-35,1.670535769266468e-24,1.4194587617472174e-49,4.1040420282329615e-68,5.59723141130721e-54,1.346622002105184e-67,4.6555703297961876e-67,6.061760955698916e-20,7.295293004750324e-38,6.351062346230832e-82,4.148017251222815e-86,2.216218887987082e-73,4.248526378874557e-34,2.1128235573966424e-55,1.7536726407986726e-41,1.0956757849748307e-65,6.2075291728204205e-65,7.202946564294975e-59,2.0276233658641427e-53,3.490683308503096e-86,1.240413462280496e-54,2.3189393661559714e-38,3.199002832137348e-51,4.2025381707728733e-72,1.4682912206827741e-74,1.86609678252186e-56,7.965840743120549e-60,5.192074259121948e-47,2.752989481636017e-70,5.577951751920011e-72,7.415484917366083e-27,2.3859817075368873e-48
2.835340317760876e-20,0.7141259547481862,3.005008242411746e-25,6.586375580141471e-26,4.5050145232778155e-37,2.5997244898441487e-38,0.0,0.0,4.539527193660397e-20,6.348085184604854e-36,1.316850333022528e-47,1.4948375221755137e-47,1.1782443470335832e-44,1.7953367113125757e-60,3.2846225600998715e-41,2.4467721825492366e-34,4.404406579282057e-22,3.486807299813948e-34,5.083608965127211e-58,2.176921104501311e-56,4.1089625766896464e-33,1.5583915881334133e-51,1.3130936615683285e-22,4.1295902033700616e-53,1.1865548102744016e-38,6.742262364310631e-51,1.8485829190491158e-31,1.54238324883014e-39,1.2136663099062133e-56,4.3061871190903026e-57,7.978803647963488e-53,2.4232123396132273e-56,6.51945839115e-45,2.4342613858221297e-57,3.76,0.0,0.660105327153337,0.9999999999999424,2.2454762524438442e-48,1.220889882626677e-19,4.970948205093616e-15,4.757888455770091e-15,2.1305974932352522e-16,2.251241293462972e-32,5.764201572260718e-14,1.3402866731105693e-36,7.84241343264876e-38,1.0640813154534635e-39,1.3258870501375837e-50,3.4860628992074183e-34,3.322489258421335e-34,1.67268692110818e-33,1.0763651942522697e-33,4.979775965702578e-38,2.012139737375495e-39,3.36460011952394e-24,2.50364855699062e-35,1.590567905739821e-49,1.8455627352151192e-51,3.585843568933866e-46,2.442976427501103e-60,3.6603846581420875e-39,5.845255261076144e-47,1.3130936615707801e-22,3.2519156871907505e-54,5.981704078681482e-38,4.404406579276892e-22,6.528345268995189e-54,9.232523608489147e-21,4.2680911571442474e-32,1.4935413284271055e-26,3.61630488288489e-20,2.81988305468045e-39,1.4396690719023243e-34,3.364600304087684e-24,1.1495145072101397e-48,6.652828982906105e-67,4.532783206572719e-53,2.1829323183005724e-66,7.572058816429065e-66,1.2208898826266824e-19,2.948874074225425e-37,2.067048208430087e-80,1.3500342399760852e-84,3.592586320763343e-72,1.7173222904313812e-33,1.711019295418567e-54,7.088625203549186e-41,8.873072033078178e-65,1.0062672289533192e-63,5.857318728464608e-58,1.6420219713627617e-52,1.136095079142026e-84,1.0045259047483872e-53,9.373523684450844e-38,2.590635433212499e-50,6.812545728646122e-71,2.3936852678974576e-73,1.511235943552029e-55,6.450947376853604e-59,4.20467634864851e-46,4.4880676737484844e-69,9.093469157830596e-71,1.4935413284274125e-26,9.644519547518726e-48
5.69050819019141e-20,0.7141259547481867,6.0310314228216435e-25,1.32188097310819e-25,1.8114465291955875e-36,1.0453379164662226e-37,0.0,0.0,9.110799332730809e-20,2.5525371328365975e-35,1.0599157116693452e-46,1.2031752866550995e-46,9.483535554227639e-44,1.445043176021001e-59,1.3207322851159255e-40,9.83836333304794e-34,8.839613204583422e-22,1.40202987987091e-33,4.0917308114688883e-57,1.7521754927660918e-55,1.6521957802204487e-32,1.2543291271410544e-50,2.635369796289537e-22,3.323853461899299e-52,4.771084705535366e-38,5.426859692621335e-50,7.433070613771814e-31,6.201861417948092e-39,9.788658470229926e-56,3.4730840938330183e-56,6.4220353161108665e-52,1.9544116338974287e-55,5.247427293195795e-44,1.970258407576012e-56,3.76,0.0,0.660105327153332,0.9999999999998843,1.8073546401557929e-47,2.450317456740242e-19,9.976658285747276e-15,9.549048858789506e-15,4.2760942695776937e-16,9.052142227677185e-32,1.1568712245849887e-13,5.38923376475642e-36,3.1533999492017685e-37,4.278624169549892e-39,1.0671892475114818e-49,1.4017305596135314e-33,1.335958317908637e-33,6.725800542247202e-33,4.328017105773201e-33,2.0023460299774604e-37,8.090725386860632e-39,6.752728911802032e-24,1.0067060733195688e-34,6.398378977391463e-49,1.4854694495629097e-50,2.8861988655203514e-45,2.4113748206651024e-59,1.471824606507625e-38,2.350351464532899e-46,2.635369796299395e-22,2.6174344207386474e-53,2.405216901548107e-37,8.839613204562649e-22,5.254580340374395e-53,1.8529610319089362e-20,1.7161806825385339e-31,2.9975270018082674e-26,7.25789861109985e-20,1.1338625740556803e-38,5.788846019150293e-34,6.75272965392473e-24,9.252292808943981e-48,1.071417598156279e-65,3.6483783044905824e-52,3.515545220960109e-65,1.2214773980601147e-64,2.450317456740263e-19,1.185729295631185e-36,6.67066907555339e-79,4.3567593724853915e-83,5.785749516263119e-71,6.905277399228203e-33,1.377177184249411e-53,2.8503050184936685e-40,7.141829090543736e-64,1.620562350674612e-62,4.724143308910233e-57,1.3216421352360323e-51,3.666346183932778e-83,8.085326053673778e-53,3.7690526472170035e-37,2.0851687768357445e-49,1.0971435062699844e-69,3.86580810349842e-72,1.2163831072823547e-54,5.19228852165231e-58,3.38428932395958e-45,7.2482412813830126e-68,1.468597697936387e-69,2.997527001809504e-26,3.8780188919201867e-47
1.1400843935052473e-19,0.7141259547481881,1.2083080476035005e-24,2.6483678033891353e-25,7.264710796676626e-36,4.1922736514520186e-37,0.0,0.0,1.8253343610871037e-19,1.0236815552810078e-34,8.50515607757792e-46,9.654723956249414e-46,7.609940029877378e-43,1.1595561431047699e-58,5.2967271752237876e-40,3.9456237280811144e-33,1.7710026455217278e-21,5.62276689268648e-33,3.2833563720133525e-56,1.4060104847988693e-54,6.626044041367843e-32,1.0065201296531176e-49,5.279922065717079e-22,2.667183074193278e-51,1.9134183588974266e-37,4.354753678961777e-49,2.9809937682556365e-30,2.4872287953224505e-38,7.862782813406378e-55,2.7897653100357765e-55,5.153278895522489e-51,1.569894682190899e-54,4.2107299312604835e-43,1.59858660739489e-55,3.76,0.0,0.660105327153322,0.9999999999997682,1.4502882757775261e-46,4.909172604967335e-19,1.9988078447054446e-14,1.9131369664846937e-14,8.56708782207506e-16,3.6303139001361547e-31,2.3177733591295794e-13,2.1613237791415781e-35,1.2646544189868867e-36,1.7159196582192965e-38,8.563521618876772e-49,5.62156648419925e-33,5.357790376262471e-33,2.6973468361542605e-32,1.7357284346679124e-32,8.030303279845879e-37,3.244742746664004e-38,1.3528986498133338e-23,4.037341614307873e-34,2.5682622556563185e-48,1.1919956815677864e-49,2.315992822967851e-44,2.6492323957792243e-58,5.902675237862311e-38,9.42596085320668e-46,5.279922065756616e-22,2.1003301858132384e-52,9.645995534764587e-37,1.7710026455133974e-21,4.216469985294289e-52,3.712378374015073e-20,6.882652117531889e-31,6.005498348570658e-26,1.4541086067515345e-19,4.5472960549150486e-38,2.3215861661272562e-33,1.3528989474377277e-23,7.424382289964597e-47,1.7198625282083027e-64,2.9275938371431377e-51,5.643228670152552e-64,1.9623608918558677e-63,4.909172604967418e-19,4.7553048059064426e-36,2.143639211963322e-77,1.4000574937810718e-81,9.287409323640226e-70,2.769325083156225e-32,1.1050979587417773e-52,1.1430997962681905e-39,5.730882156883655e-63,2.6013614730482984e-61,3.794694532428055e-56,1.0605345794130719e-50,1.1781911761462393e-81,6.487976016752419e-52,1.5115586864970877e-36,1.6732166240637763e-48,1.7611615223716118e-68,6.214173627495217e-71,9.760744186935686e-54,4.1664923282169065e-57,2.715679047367534e-44,1.165133616693759e-66,2.3607279072534062e-68,6.005498348575616e-26,1.5552590242949298e-46
