Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71),CH2CFO(79),CH2F(46),C2H4F(63),C2H4F(62),C1OO1(734),CH2O2(778),CHO2(166),C2H2O(133),S(338),S(376),CH2F2(41),CH3O2(183),C2H2O(373),S(1537),CHF2(81),C2H3F2(64)
0.0,0.6688539755335271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5092766665198964,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.607431142695697e-22,0.6688539755335271,1.134709986501714e-29,1.5372616070790198e-28,3.507618224065343e-42,5.206385491438063e-46,0.0,0.0,3.629541815810327e-23,8.021847095682953e-43,7.299218659898797e-54,8.359381556044072e-54,8.107833427253912e-58,4.888979537566226e-70,9.73975525268325e-47,8.102074018733779e-39,1.2026226187747616e-24,1.1298141393859192e-38,5.70473728104893e-65,1.9178548759457455e-63,8.205026909313548e-38,2.9083685698172178e-58,2.971939950355686e-25,7.056197395659463e-60,3.3802938413193805e-43,7.655570686040006e-60,7.540624440440312e-57,2.2978687947702457e-63,1.8379207483915148e-63,2.717200514478307e-64,3.1458757739302466e-59,2.8980050253589237e-83,4.387431591508053e-72,6.730331296949998e-82,3.76,0.0,0.5092766665198964,0.9999999999999997,1.1833005050118613e-54,1.4034321632293777e-42,1.6325282376783687e-17,1.5639601246174978e-17,6.856811306087084e-19,5.650901419858518e-37,4.086421635971174e-16,2.8881889329553026e-41,1.293527558824224e-42,6.215748938237253e-57,1.515285454606572e-69,1.129575786578775e-38,1.0823466791369725e-38,5.08631311278743e-38,2.872949665411404e-38,9.767532113859178e-43,8.422699353626654e-47,1.758487794329612e-39,6.880134436162425e-41,3.7893470364087625e-59,1.0875110648588066e-57,2.00201237876291e-52,1.0918217644111532e-69,6.489006252797318e-44,7.657437487004223e-64,2.9719399503557674e-25,2.719295800105545e-42,1.2382182892748244e-63,2.1070289752168414e-60,1.2026226187747616e-24,3.629542950520306e-23
7.300807199547951e-22,0.6688539755335271,3.177187987978167e-29,4.304332499822243e-28,2.1186014073508413e-41,3.144656882124598e-45,0.0,0.0,1.016271708426891e-22,4.845195645792507e-42,8.665632393032358e-53,9.924257783445693e-53,9.625619844846064e-57,5.80419650699767e-69,5.882812172619746e-46,4.893652707314937e-38,3.367343332569332e-24,6.824077401898759e-38,6.772664101724603e-64,2.276877308722794e-62,4.9558362532254195e-37,3.452815166087008e-57,8.321431860995657e-25,8.37711754812678e-59,2.04169748015687e-42,1.1569098420746232e-58,1.1395185190923518e-55,3.472539322841434e-62,2.7774658349692566e-62,4.1062334174796064e-63,3.734783718810034e-58,8.172837927799118e-82,1.2368840852932053e-70,1.898061111040642e-80,3.76,0.0,0.5092766665198964,0.9999999999999988,1.4048143595501124e-53,8.476730265905443e-42,4.571079065499432e-17,4.379088348929034e-17,1.9199071657039827e-18,3.413144457593774e-36,1.1441980580710159e-15,1.744466115505631e-40,7.812906455304141e-42,7.379676263145683e-56,3.389785517977231e-68,6.822637750943605e-38,6.537373941982507e-38,3.0721331201230605e-37,1.7352615979081847e-37,5.899589397973856e-42,5.0873104096062095e-46,1.0621266277750616e-38,4.155601199442222e-40,4.4987128016299356e-58,1.2910931362001635e-56,2.3767890960661e-51,3.432862265074056e-68,3.9193597790820255e-43,9.090927282834898e-63,8.321431860996149e-25,1.6424546632637333e-41,1.6628715007814017e-62,2.501464800775619e-59,3.367343332569332e-24,1.0162720261456851e-22
1.668755931325246e-21,0.6688539755335271,7.262144094024545e-29,9.838474285312637e-28,1.020015379581252e-40,1.5140169688542025e-44,0.0,0.0,2.3229067621186047e-22,2.3327531354246076e-41,8.507969269978402e-52,9.743695142066523e-52,9.45049064283863e-56,5.698594548984236e-68,2.8323208274788835e-45,2.3560831246473894e-37,7.696784760158472e-24,3.2854995173458837e-37,6.649441779939713e-63,2.2354516434023772e-61,2.3860218252284355e-36,3.389994404978972e-56,1.902041568227455e-24,8.224703684380254e-58,9.829894490556226e-42,1.2445508152890024e-57,1.2258349162208082e-54,3.735599342918024e-61,2.987871002245116e-61,4.417298532377053e-62,3.66683280209303e-57,1.7777708027499106e-80,2.6901539511713075e-69,4.128697504921258e-79,3.76,0.0,0.5092766665198963,0.9999999999999973,1.3792550686417802e-52,4.081180730671029e-41,1.0448180721141556e-16,1.0009344797552264e-16,4.388359235892927e-18,1.643282132893702e-35,2.6153098470151625e-15,8.398853417043277e-40,3.761578141069416e-41,7.245558518012085e-55,6.697791755875895e-67,3.284806387382706e-37,3.147464142923104e-37,1.479099853197764e-36,8.354537627011816e-37,2.8403983405145084e-41,2.449320972058164e-45,5.113682505910149e-38,2.0007430940362103e-39,4.416862905654969e-57,1.2676028971987717e-55,2.33354562868225e-50,7.658526840055338e-67,1.887003021902041e-42,8.925533982641673e-62,1.9020415682276907e-24,7.90771218670669e-41,1.717126659790984e-61,2.455952977847023e-58,7.696784760158472e-24,2.322907488332992e-22
3.546106354066148e-21,0.668853975533527,1.5432056718491188e-28,2.0906757856309235e-27,4.45467514480112e-40,6.612110276214483e-44,0.0,0.0,4.936176869502025e-22,1.0187745811517407e-40,7.525202469608906e-51,8.61818800973647e-51,8.35885195022758e-55,5.040342344043066e-67,1.2369489170893206e-44,1.028963400378784e-36,1.635566761533675e-23,1.4348639570320995e-36,5.881355958077404e-62,1.9772316629050607e-60,1.0420384174828789e-35,2.99841166073881e-55,4.0418383324828126e-24,7.274657267028214e-57,4.292973178475067e-41,1.1439566164754242e-56,1.1267509046100155e-53,3.433659384042457e-60,2.746368215906471e-60,4.060258384774554e-61,3.243272087890801e-56,3.295687591651924e-79,4.98684216264758e-68,7.65390935478457e-78,3.76,0.0,0.5092766665198962,0.9999999999999943,1.2199354886468035e-51,1.782358847301309e-40,2.22023840324258e-16,2.1269857694799361e-16,9.325263376264399e-18,7.176644803208388e-35,5.5575334248888546e-15,3.6679999448627196e-39,1.6427799997155443e-40,6.408673472185818e-54,1.1918481715564237e-65,1.4345612489670232e-36,1.3745802824965019e-36,6.459617653231554e-36,3.6486460750677855e-36,1.240476580324466e-40,1.0696828179348872e-44,2.2332794987982336e-37,8.737770733928118e-39,3.906665220691507e-56,1.1211804074254644e-54,2.0639946820014367e-49,1.4343573162608019e-65,8.24103797813419e-42,7.894536774890938e-61,4.041838332483842e-24,3.453505666133801e-40,1.55234153680281e-60,2.1722626013914274e-57,1.635566761533675e-23,4.936178412707598e-22
7.300807199547952e-21,0.6688539755335271,3.1771883616920024e-28,4.304332499836563e-27,1.859739182613743e-39,2.7604262194397896e-43,0.0,0.0,1.0162717084268831e-21,4.253183330131154e-40,6.325386103168127e-50,7.244106307664243e-50,7.02611872284276e-54,4.236711443571029e-66,5.164018234959595e-44,4.2957196447290006e-36,3.36734333256933e-23,5.990274567131828e-36,4.943634071563182e-61,1.6619823498166321e-59,4.3503052673185684e-35,2.520345668706577e-54,8.321431860991846e-24,6.114787763918591e-56,1.792231794667044e-40,9.786789698219118e-56,9.639581382097344e-53,2.9375678953851485e-59,2.349575829694728e-59,3.4736365313027264e-60,2.7261656116748147e-55,5.664445383688472e-78,8.570915808515018e-67,1.3155114598583006e-76,3.76,0.0,0.509276666519896,0.9999999999999885,1.025429284834679e-50,7.440997329442157e-40,4.571079065499428e-16,4.379088348929612e-16,1.9199071656981683e-17,2.9961079327982514e-34,1.1441980580577832e-14,1.5313177722614038e-38,6.8582831169647174e-40,5.386899604020488e-53,2.0102356806062832e-64,5.9890108205483195e-36,5.7386020927171456e-36,2.696763212392264e-35,1.5232379125968992e-35,5.178745543547071e-40,4.4657151975115083e-44,9.323502285532243e-37,3.647847278054974e-38,3.2837875122637116e-55,9.42419688627118e-54,1.7349118952234137e-48,2.4774955625260343e-64,3.4404711486064e-41,6.635835049133277e-60,8.321431860996144e-24,1.4417706332157436e-39,1.3181436263956471e-59,1.825917613972618e-56,3.36734333256933e-23,1.016272026145678e-21
1.481020889051156e-20,0.6688539755335271,6.4451544011759885e-28,8.731645928273127e-27,7.597641379868789e-39,1.127724457978616e-42,0.0,0.0,2.0615797513802317e-21,1.737564168313355e-39,5.185933691106555e-49,5.939156022636854e-49,5.760436629304588e-53,3.4735120127534697e-65,2.109669946741142e-43,1.7549416407507243e-35,6.830896474640635e-23,2.447222618566585e-35,4.0530899109069413e-60,1.3625935431239009e-58,1.7772416486653974e-34,2.0663316520772706e-53,1.6880618918003188e-23,5.01327244877489e-55,7.321851672047276e-40,8.091906980473746e-55,7.970188455120187e-52,2.4288379451874007e-58,1.9426747323331715e-58,2.872069857625183e-59,2.2350752764389363e-54,9.388404355708974e-77,1.4205514129071632e-65,2.180363769669437e-75,3.76,0.0,0.5092766665198956,0.9999999999999767,8.407088815348021e-50,3.039890202841359e-39,9.272760390013122e-16,8.883293507829986e-16,3.8946688218313606e-17,1.2240078511379466e-33,2.321087489172217e-14,6.255932756410351e-38,2.8018324335821007e-39,4.416515069541918e-52,3.3018257633723435e-63,2.4467063368521727e-35,2.34440620082105e-35,1.101715765475748e-34,6.222923893231931e-35,2.1156865401964283e-39,1.8243903709780487e-43,3.80895490202687e-36,1.4902646394119289e-37,2.69224740069545e-54,7.726525993336451e-53,1.4223855906531377e-47,4.1163959296877577e-63,1.4055447386368677e-40,5.440458975579409e-59,1.6880618918020735e-23,5.890103474858784e-39,1.0859891854057594e-58,1.496997591764341e-55,6.830896474640636e-23,2.061580395895503e-21
2.982901227243878e-20,0.6688539755335274,1.2981089119336842e-27,1.7586272785247387e-26,3.0710881223363267e-38,4.558444804991395e-42,0.0,0.0,4.152195837286874e-21,7.023512180931385e-39,4.199703557465099e-48,4.809682532004797e-48,4.6649509319858905e-52,2.812940084792155e-64,8.527623231885335e-43,7.093754702928932e-35,1.3758002758783231e-22,9.892065101859801e-35,3.2822973212432486e-59,1.103463578845098e-57,7.183894900399322e-34,1.6733689451181763e-52,3.399899303199896e-23,4.05987800688128e-54,2.959609512176083e-39,6.580204369579661e-54,6.481223366107972e-51,1.9750906836305883e-57,1.5797508292078525e-57,2.335519510091447e-58,1.8100219070987263e-53,1.528658773313193e-75,2.3129878224537833e-64,3.550157176487627e-74,3.76,0.0,0.5092766665198947,0.9999999999999531,6.808278491156801e-49,1.2287722236511528e-38,1.867612303904049e-15,1.789170382563482e-15,7.844192134056686e-17,4.9476354362795305e-33,4.6748663513076373e-14,2.5287480439301914e-37,1.132545467128058e-38,3.5766121235878513e-51,5.3524079411115945e-62,9.889978208623693e-35,9.47646470178296e-35,4.453311273221666e-34,2.5154053336221875e-34,8.551943324081227e-39,7.374477575191601e-43,1.539640471347365e-35,6.0238879453246775e-37,2.1802517464025954e-53,6.25714107308262e-52,1.151884729127083e-46,6.710764288660634e-62,5.6814366790519255e-40,4.405824926067886e-58,3.39989930320699e-23,2.3808739991893043e-38,8.81574613432302e-58,1.2123074856347997e-54,1.3758002758783239e-22,4.152197135395105e-21
5.98666190362932e-20,0.6688539755335274,2.6052969112430063e-27,3.529552649960045e-26,1.2348710274655581e-37,1.8329324072868042e-41,0.0,0.0,8.333428009099947e-21,2.824123357423865e-38,3.380286788994142e-47,3.871250937667337e-47,3.754758351894592e-51,2.2640989004714552e-63,3.428919795654355e-42,2.85236756657071e-34,2.7612215327068365e-22,3.97755587088126e-34,2.6418784825249295e-58,8.881634874164122e-57,2.888612543534444e-33,1.3468729068393694e-51,6.823574125988284e-23,3.2677430213385276e-53,1.1900459680090828e-38,5.307173208418403e-53,5.227340838537595e-50,1.5929821949289248e-56,1.2741262741601212e-56,1.8836810948930706e-57,1.4568630991780195e-52,2.467263045245336e-74,3.733162198992136e-63,5.729967996006018e-73,3.76,0.0,0.5092766665198928,0.9999999999999061,5.479894836510913e-48,4.940839067935537e-38,3.748284833709515e-15,3.590852446126085e-15,1.5743238758343098e-16,1.9894224484062368e-32,9.382424075204687e-14,1.016798466650513e-36,4.5539155123858906e-38,2.8787700788705857e-50,8.61989285605835e-61,3.9767167402894245e-34,3.8104447773899086e-34,1.7906568765661604e-33,1.0114334214828705e-33,3.4386988455956727e-38,2.965244999476542e-42,6.19082661943021e-35,2.4221788487980876e-36,1.7548562832678696e-52,5.036291494530437e-51,9.271370416748861e-46,1.083790224978442e-60,2.284480795846913e-39,3.5461912792834396e-57,6.823574126016811e-23,9.573389636091371e-38,7.104117397074683e-57,9.757705707015667e-54,2.7612215327068384e-22,8.33343061439412e-21
1.1994183256400207e-19,0.6688539755335281,5.2196771325702566e-27,7.071403392992473e-26,4.9523851345988325e-37,7.350893189664215e-41,0.0,0.0,1.669589235272524e-20,1.1325997783314594e-37,2.7124672651323948e-46,3.1064350794026815e-46,3.01295711141298e-50,1.8167967796186413e-62,1.3751502002137552e-41,1.1439269694440246e-33,5.532064046363839e-22,1.595177805003493e-33,2.119941174710392e-57,7.1269526406923825e-56,1.1584628263122287e-32,1.0807806846460933e-50,1.3670923771522e-22,2.6221579793512437e-52,4.772616592773472e-38,4.263010137587947e-52,4.198884195304798e-49,1.2795699387053985e-55,1.0234475133646113e-55,1.5130750943898875e-56,1.1690408870538067e-51,3.96483069136528e-73,5.999083876015931e-62,9.20790474443799e-72,3.76,0.0,0.509276666519889,0.9999999999998119,4.39727049455471e-47,1.981497450670565e-37,7.50962989332042e-15,7.19421657325783e-15,3.1541332006258983e-16,7.978473808801311e-32,1.8797539521503626e-13,4.077816625691472e-36,1.826323799495203e-37,2.3100322825259653e-49,1.3836840947860762e-59,1.5948412761050642e-33,1.5281587818881508e-33,7.181334965718685e-33,4.056300394704046e-33,1.3790720749853497e-37,1.1891958691136154e-41,2.4827983658719384e-34,9.714020529686513e-36,1.4081616505714665e-51,4.041306749709583e-50,7.439690868394488e-45,1.742161133000388e-59,9.161790512874508e-39,2.8455952075135194e-56,1.3670923771636403e-22,3.839357424384389e-37,5.703979632161202e-56,7.829944919208381e-53,5.532064046363847e-22,1.6695897572391392e-20
