Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71),CH2CFO(79),CH2F(46),C2H4F(63),C2H4F(62),C1OO1(734),CH2O2(778),CHO2(166),C2H2O(133),S(338),S(376),CH2F2(41),CH3O2(183),C2H2O(373),S(1537),CHF2(81),C2H3F2(64),CH2CF2(57),CH3F(39),C2H3F2(65),S(3087),CF2CH(73),C2HF2(72),C2HF(58),C2HF(4088),S(3189),S(4414),CF2(43),CF2O(49),S(4555),S(5169),C2F(4087),F(37),C2H3F2(66),S(4570),CHF3(42),CHO2(165),S(459),C2H2F2(59),CHF2O(616),CHFO2(172),S(4185),S(3185),CFO(51),C#CC(5436),CFO3(6311),C3H4(6313),S(3720),C3H4(6745),C2H2F3(67),C2H2F3(68),S(3125),C2H4(456),S(1075),S(4373),C3H3(4302),C3H3(8085),CHF(40),CF(50),S(7024)
0.0,0.6820783136434129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7895543106496588,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.2245220665197715e-22,0.6820783136434129,1.3027698449607295e-27,7.276915848226734e-29,1.1223063129188981e-39,2.2537876871740967e-42,0.0,0.0,2.614910479991059e-22,5.438184095521297e-40,1.6170978339950223e-53,1.8598594756335606e-53,6.74201784257886e-51,2.9877658259523784e-67,5.007741048615476e-46,1.1469160082031492e-38,1.269236222338878e-24,1.5866791211441517e-38,4.69056432493478e-65,9.787375661707528e-64,8.056886990889816e-38,2.851756709287735e-58,2.6554170342001215e-25,2.9990376881558043e-59,4.175232599721183e-43,1.3054193628218526e-57,3.688992585674125e-36,1.5298583297752179e-44,3.7797447410359775e-63,5.501416445612714e-64,5.526254248124021e-59,2.360010508299381e-63,3.296453510715299e-51,9.829491143030438e-64,3.76,0.0,0.7895543106496588,0.9999999999999994,1.1362790554955762e-53,3.4514680115012318e-22,2.056036459736598e-17,1.9720414888809916e-17,8.399497085560699e-19,6.779363221976224e-37,5.236293260769032e-16,2.817781301854815e-41,9.91610535093344e-43,2.423961536279664e-44,1.1287365397677876e-56,1.5863511626185633e-38,1.5268404850045548e-38,6.002348548624545e-38,3.593425232043038e-38,8.759938939247355e-43,3.2381801416402364e-44,5.5016742610970034e-27,6.122435645604149e-40,1.245200536131659e-54,2.6573833988842044e-57,4.499390712457858e-52,9.069607024184281e-68,5.309175599079423e-44,6.525533167795945e-52,2.6554170342002367e-25,5.088899586279683e-42,1.0097607732586096e-63,2.890312705423575e-60,1.2692362223388538e-24,4.965808001236604e-23,2.3707003403557814e-36,1.606997313315294e-29,2.118342707565798e-22,2.7913490838370593e-38,1.8978696264862088e-59,1.3136329012322137e-74,7.907834049929633e-55,2.6334186770296167e-75,6.276523095640544e-61,5.726097550995049e-77,3.4514680115012318e-22,1.7383196178617915e-41,3.434337951352295e-81,3.2810243949653517e-81,1.4685769421306357e-80,5.5016742647781396e-27,1.074922965217235e-37,8.800270389649888e-61,1.8615282946816033e-45,1.5630315712159734e-56,1.3696724422605222e-62,2.7520040081755006e-52,3.637844483816189e-42,7.884183716588513e-82,1.767808977212722e-63,1.0997200384645742e-39,3.045805033400873e-60,1.1751471063474662e-75,7.015389123831537e-79,1.0821718239634738e-79,1.4128561772047622e-80,7.175754855819977e-88,3.191430589538496e-65,5.671302149981927e-59,1.261657789494418e-56,3.153649551999714e-66,2.4633283221123886e-58,8.090529099485681e-62,4.1933072095230704e-77,4.963714651719788e-96,1.606997313315298e-29,6.803365323323058e-40,2.2408058426255347e-93
1.182866178625536e-21,0.6820783136434129,3.6477555733692756e-27,2.0375364375045785e-28,6.778730130034653e-39,1.3612877653875165e-41,0.0,0.0,7.321749343974966e-22,3.284663193694864e-39,1.9198185505133618e-52,2.2080251695124662e-52,8.004123582707675e-50,3.5470755885703e-66,3.0246755933635064e-45,6.92737268954643e-38,3.553861422548938e-24,9.583541891732118e-38,5.56863796947112e-64,1.1619572385579895e-62,4.8663597424977684e-37,3.3856055652666583e-57,7.4351676957599695e-25,3.560457543378555e-58,2.5218404902315825e-42,1.5520663098833224e-56,2.2281515217465885e-35,9.240344707759024e-44,5.71195025265381e-62,8.311956019041253e-63,6.560769043372879e-58,3.566448090860504e-62,3.9135496079202653e-50,1.1670977170029272e-62,3.76,0.0,0.7895543106496588,0.9999999999999986,1.3489904946961115e-52,9.664110432203449e-22,5.756902087262475e-17,5.521716168866849e-17,2.3518591839562685e-18,4.094735386072284e-36,1.4661621130134179e-15,1.7019399063212744e-40,5.989327631970928e-42,1.4640727679129803e-43,1.3400360200114841e-55,9.581561022233628e-38,9.22211652941662e-38,3.6254185233682684e-37,2.170428840153432e-37,5.2910031215593696e-42,1.9558608055506984e-43,1.540468793109676e-26,3.697951129944937e-39,7.521510179061167e-54,3.1548455711500545e-56,5.3416766538255e-51,1.1113761682001763e-66,3.20674206680922e-43,3.9414220361353106e-51,7.435167695760664e-25,3.0736953501129477e-41,1.3435214314953218e-62,3.4313792487441706e-59,3.553861422548791e-24,1.3904262403462083e-22,1.4319030055748704e-35,4.499592477282825e-29,5.93135958118419e-22,1.6859748466374839e-37,2.253152883326242e-58,2.93854550341298e-73,9.38818058407425e-54,5.890852243766834e-74,7.451488219145255e-60,1.2809051177674928e-75,9.664110432203449e-22,1.0499450491885746e-40,7.682476623655881e-80,7.33952033055363e-80,3.285147876467815e-79,1.5404687953330818e-26,6.492534709911896e-37,1.044768100658972e-59,1.1243630899947937e-44,1.8556310813471948e-55,1.627233321373824e-61,3.2671791585739784e-51,2.1972580682244427e-41,2.478913507467844e-80,2.098742817746946e-62,6.64230903232599e-39,3.6168739713383936e-59,3.694850525892435e-74,1.5696852294732922e-77,3.402521362030753e-78,4.4422458781203273e-79,3.427944429745807e-86,4.822890086991444e-64,6.732969912459043e-58,1.4978401276877532e-55,3.744012895040075e-65,2.924463385483066e-57,9.60507614690789e-61,1.3184428795894608e-75,2.8588454972000856e-94,4.499592477282849e-29,4.109232655286069e-39,1.0777354375862263e-91
2.7036941225726536e-21,0.6820783136434129,8.337727060103298e-27,4.657226142872759e-28,3.2636667579749136e-38,6.554014629317705e-41,0.0,0.0,1.6735427071942778e-21,1.581423934977593e-38,1.8848892381412928e-51,2.167852204923417e-51,7.858495997303878e-49,3.4825398467289627e-65,1.456251096937017e-44,3.33523175185387e-37,8.123111822969373e-24,4.6140628843191804e-37,5.467321786152146e-63,1.1408165071288512e-61,2.342942736951238e-36,3.324007620346589e-56,1.6994669018878176e-24,3.495678329314355e-57,1.2141576399989006e-41,1.5248236828852551e-55,1.0727590439131601e-34,4.448828616861395e-43,6.144655430608151e-61,8.941008678467779e-62,6.441401951613309e-57,3.83662269439747e-61,3.842346212086824e-49,1.1461611259889155e-61,3.76,0.0,0.7895543106496586,0.9999999999999967,1.3244468671033671e-51,2.208939527360788e-21,1.3158633342314227e-16,1.2621065528838855e-16,5.375678134753756e-18,1.9714388249486524e-35,3.3512276868788023e-15,8.194108025808025e-40,2.8836034360619287e-41,7.048880147502217e-43,1.3156553107507505e-54,4.61310918092087e-37,4.4400521303769016e-37,1.745482957938583e-36,1.0449680574772715e-36,2.5473902469139207e-41,9.416627851889734e-43,3.521071527119688e-26,1.7804042857417332e-38,3.6217915703094857e-53,3.0974460897230816e-55,5.244489814427023e-50,1.1607171756586296e-65,1.543908271660059e-42,1.8976250493748995e-50,1.6994669018881515e-24,1.47985199969016e-40,1.3824986442169365e-61,3.368948504523944e-58,8.123111822968662e-24,3.178117120791141e-22,6.893996589754286e-35,1.0284782805217891e-28,1.3557393328420789e-21,8.117243135796675e-37,2.2121597657540378e-57,5.80607193140565e-72,9.217371368591137e-53,1.1639331340172999e-72,7.315915320281062e-59,2.5308526617357196e-74,2.2089395273607883e-21,5.055033448742875e-40,1.5179279200304836e-78,1.4501655358183096e-78,6.490898609133135e-78,3.5210715378244293e-26,3.125875982851414e-36,1.025759516616775e-58,5.413324281038651e-44,1.8218695994080716e-54,1.598134840736682e-60,3.2077358720257992e-50,1.0578851758929448e-40,5.530319670436252e-79,2.0605581438391566e-61,3.1979858718549205e-38,3.5514601616146184e-58,8.243008269817385e-73,3.101790958577287e-76,7.590837986240462e-77,9.910406186483045e-78,1.7849234619623935e-84,5.188245574112239e-63,6.610469786019763e-57,1.4705883194346297e-54,3.6758943732189956e-64,2.871255496815036e-56,9.430320718355825e-60,2.9413735369227295e-74,1.2820263141792018e-92,1.0284782805218008e-28,1.978418636020758e-38,5.588283469954259e-90
5.745350010466889e-21,0.682078313643413,1.771767015323907e-26,9.896605553626606e-28,1.4253290174139833e-37,2.862310398893716e-40,0.0,0.0,3.556278252787841e-21,6.906493801312043e-38,1.6671631858013484e-50,1.9174407252615469e-50,6.95075071497241e-48,3.080267055921492e-64,6.3598311317379e-44,1.4565833304170826e-36,1.7261612623811514e-23,2.015082483886043e-36,4.835784215345094e-62,1.0090392812198644e-60,1.0232246478435021e-35,2.9400470970089742e-55,3.6113671665108634e-24,3.0918878949809993e-56,5.3025454016457e-41,1.3490847553393702e-54,4.685020583797091e-34,1.942920692485423e-42,5.64799697163693e-60,8.218104713252128e-61,5.6973470796456805e-56,3.526518351995877e-60,3.398511711400874e-48,1.0142960594321625e-60,3.76,0.0,0.7895543106496585,0.9999999999999929,1.1714582550736228e-50,4.693996495641673e-21,2.796209585241772e-16,2.681976424878402e-16,1.1423316036337092e-17,8.609791291888795e-35,7.12135883457899e-15,3.578582253370186e-39,1.2593453795792823e-40,3.0784311510761605e-42,1.163682223033575e-53,2.0146659765524496e-36,1.9390874159388925e-36,7.622982656738345e-36,4.5636500446859356e-36,1.1125122487778214e-40,4.1124887798830216e-42,7.482276995179954e-26,7.775493269917747e-38,1.582178039166982e-52,2.7396559888793316e-54,4.638691848886453e-49,1.149450603829692e-64,6.742653087790572e-42,8.287427166292514e-50,3.611367166512323e-24,6.46290247457549e-40,1.2479917881228107e-60,2.979796818455944e-57,1.7261612623808402e-23,6.753498881680352e-22,3.010789432251506e-34,2.185516346108804e-28,2.8809460822893255e-21,3.5450133364715214e-36,1.9566306198714244e-56,1.0331595761697224e-70,8.152660592101082e-52,2.0711568232729773e-71,6.470844250686683e-58,4.503517088621383e-73,4.6939964956416756e-21,2.2076659146852876e-39,2.7010716311148537e-77,2.5804920889288946e-77,1.1550207267559059e-76,7.482277041930367e-26,1.3651521658255713e-35,9.072726760896305e-58,2.3641409343527236e-43,1.6114230286581595e-53,1.413733727090252e-59,2.837206052365409e-49,4.620062494438264e-40,1.0357676690829552e-77,1.8225403431472448e-60,1.3966444488499463e-37,3.141381914294671e-57,1.543824221794948e-71,5.519761362914707e-75,1.4216799453869647e-75,1.8561093981384744e-76,7.123160841576942e-83,4.7688924820595765e-62,5.8468856645464485e-56,1.3007187146570292e-53,3.2512874984862784e-63,2.5395929765427433e-55,8.34101188039592e-59,5.5088671065408086e-73,4.8233034106942794e-91,2.1855163461088555e-28,8.64027396060388e-38,2.226849810423969e-88
1.182866178625536e-20,0.6820783136434129,3.647755681818152e-26,2.037536437520423e-27,5.950468071158843e-37,1.194958264304058e-39,0.0,0.0,7.32174934397497e-21,2.8833252074453894e-37,1.4013511119382375e-49,1.6117244643084518e-49,5.842524790070338e-47,2.5891500605128144e-63,2.6551043039725486e-43,6.080948675484844e-36,3.5538614225500863e-23,8.412572700602678e-36,4.064768029262606e-61,8.481583150433597e-60,4.2717614825742424e-35,2.471286736164472e-54,7.435167695754577e-24,2.5989180759526144e-55,2.2137083243719903e-40,1.1341438415545166e-53,1.955903868916278e-33,8.111314387506274e-42,4.831980320006606e-59,7.030676653036138e-60,4.788963511355702e-55,3.017012593980484e-59,2.856653869118498e-47,8.534677574104325e-60,3.76,0.0,0.7895543106496582,0.9999999999999853,9.846812490489243e-50,9.664110432203443e-21,5.756902087262473e-16,5.521716168867901e-16,2.351859183945721e-17,3.594418380272886e-34,1.4661621129857047e-14,1.4939876462564838e-38,5.257519057161113e-40,1.285184406536367e-41,9.781450255682894e-53,8.410833864445142e-36,8.095308251342108e-36,3.18244520046739e-35,1.9052340580213684e-35,4.6445196570293e-40,1.7168831110975825e-41,1.5404687931461453e-25,3.246115379299752e-37,6.609013467087582e-52,2.3028459352763897e-53,3.8991000011117833e-48,1.1725263501275812e-63,2.814924971895429e-41,3.459837724437909e-49,7.43516769576067e-24,2.698134560645754e-39,1.0589987340660698e-59,2.5046988029794806e-56,3.553861422548786e-23,1.3904262403456163e-21,1.2569453204563336e-33,4.499592477282842e-28,5.931359581183527e-21,1.47997328424902e-35,1.644666074168795e-55,1.7425747131437176e-69,6.852802462298149e-51,3.493308709088324e-70,5.43913449032181e-57,7.59583981786102e-72,9.664110432203457e-21,9.216570613910536e-39,4.5557521027984065e-76,4.352377080589307e-76,1.9481112770485195e-75,1.5404688126635218e-25,5.699241561578927e-35,7.62617351531325e-57,9.869823019361595e-43,1.3544981511057972e-52,1.188408299463872e-58,2.3848426415062217e-48,1.9287851453118777e-39,1.7890310712640712e-76,1.5319549747089405e-59,5.830715643938608e-37,2.6405824826830694e-56,2.666572421174309e-70,9.310116376266455e-74,2.4555985588075974e-74,3.205967403477009e-75,2.5316829082881337e-81,4.0798895427785846e-61,4.914659702341341e-55,1.0933324538509837e-52,2.732903978474003e-62,2.1346809280662272e-54,7.011123069130856e-58,9.515197968053803e-72,1.6701568355240738e-89,4.499592477283057e-28,3.6071442944111224e-37,7.9096817953709715e-87
2.39952853378323e-20,0.6820783136434131,7.399733206275007e-26,4.133288201863924e-27,2.4309603660880597e-36,4.8817945576380956e-39,0.0,0.0,1.485269152634924e-20,1.1779324278262934e-36,1.1489123077178153e-48,1.3213890925496524e-48,4.790054813359181e-46,2.1227416494624165e-62,1.0846967420914477e-42,2.4842659504013605e-35,7.209261742889984e-23,3.436810443813874e-35,3.332542443517205e-60,6.953714302402929e-59,1.7451539497784747e-34,2.0261101751660125e-53,1.508276875423248e-23,2.130750058682212e-54,9.043720820298538e-40,9.299020724391146e-53,7.990505500204638e-33,3.313739012798544e-41,3.995174769921795e-58,5.813066204855774e-59,3.92628162359718e-54,2.4945274975833984e-58,2.342057433650636e-46,7.011852718359674e-59,3.76,0.0,0.7895543106496576,0.9999999999999702,8.073011799121757e-49,1.9604338305326977e-20,1.1678287091303869e-15,1.1201195656848757e-15,4.7709143445511237e-17,1.4684371913169296e-33,2.974214571992387e-14,6.103427011179963e-38,2.147868083514865e-39,5.250397646050733e-41,8.019423889854888e-52,3.436100072482655e-35,3.307197564010532e-35,1.3001327050149738e-34,7.783502789548038e-35,1.897437840616101e-39,7.01402771399782e-41,3.1249509804668325e-25,1.3261440505808065e-36,2.7030471593741355e-51,1.888012229775903e-52,3.1967177545646207e-47,1.2996143571495866e-62,1.1499887301060225e-40,1.413456619189322e-48,1.5082768754257378e-23,1.1022760059867488e-38,8.722051495626e-59,2.053503456785342e-55,7.209261742884674e-23,2.8205789446997344e-21,5.135031765221685e-33,9.12774473963095e-28,1.2032186578970762e-20,6.046173769542667e-35,1.348396670780146e-54,2.8621842614158886e-68,5.618341487454858e-50,5.73777004440396e-69,4.4593310738383565e-56,1.2476189709732879e-70,1.9604338305327028e-20,3.7652698250795533e-38,7.482836508893429e-75,7.148792424099484e-75,3.1997786223515562e-74,3.1249510602016846e-25,2.3283261395767253e-34,6.252397801823153e-56,4.032144748223039e-42,1.1104994196036524e-51,9.743607317198861e-58,1.9552380836311518e-47,7.87971666566201e-39,2.9725018826313034e-75,1.2559892450874752e-58,2.3820375921153294e-36,2.1649336100346438e-55,4.430549959722906e-69,1.529207953904978e-72,4.080013731992202e-73,5.326762790179604e-74,8.527405252107514e-80,3.3733342561058635e-60,4.029334955212606e-54,8.963800020313707e-52,2.240601323790028e-61,1.7501404121120327e-53,5.748142286271729e-57,1.5809643735750305e-70,5.556716991492231e-88,9.127744739631828e-28,1.473636142480569e-36,2.663440104542836e-85
4.832853244098618e-20,0.6820783136434131,1.4903689021062169e-25,8.324791730662824e-27,9.826330477072845e-36,1.9732995287248627e-38,0.0,0.0,2.9914575891097827e-20,4.761391208465472e-36,9.304189744203903e-48,1.0700951471510465e-47,3.8791105783830407e-45,1.719051223522352e-61,4.3845176596096694e-42,1.0041800171445028e-34,1.4520062383577883e-22,1.3892137313657601e-34,2.698779321651971e-59,5.631298129315957e-58,7.05419129113067e-34,1.6407965503074729e-52,3.037797087115022e-23,1.7255366409464234e-53,3.65561655221942e-39,7.530837526918435e-52,3.2298900803450953e-32,1.339468247446803e-40,3.2488097727213935e-57,4.7270757629004815e-58,3.1796046545132813e-53,2.0285134435258783e-57,1.8966588316937904e-45,5.702041216409251e-58,3.76,0.0,0.7895543106496564,0.99999999999994,6.537734261997518e-48,3.948479405157402e-20,2.352105709938664e-15,2.2560154632817895e-15,9.609024665687444e-17,5.935657910143158e-33,5.990319489810039e-14,2.467102783367069e-37,8.682026208466947e-39,2.1222946751727806e-40,6.494337383469197e-51,1.3889265878963865e-34,1.3368221328588713e-34,5.255344266958198e-34,3.1462162750101454e-34,7.669747237345362e-39,2.835182146652335e-40,6.293915355365753e-25,5.3604862846404286e-36,1.095080298600738e-50,1.5289612536063834e-51,2.588784918075854e-46,1.6003857747889973e-61,4.648438559808581e-40,5.713417784725553e-48,3.037797087125085e-23,4.455575854969849e-38,7.07919633757401e-58,1.662980421893131e-54,1.4520062383556419e-22,5.680884353403793e-21,2.075661941595726e-32,1.8384049264327295e-27,2.423384057454057e-20,2.443960107645701e-34,1.0919666061354154e-53,4.6397240775675727e-67,4.549878601843584e-49,9.301172499200731e-68,3.611281919573063e-55,2.0224441155044612e-69,3.948479405157422e-20,1.521982264784755e-37,1.2130000438166406e-73,1.1588500581394276e-73,5.186979034612494e-73,6.2939156776667775e-25,9.411466523480343e-34,5.063353844231916e-55,1.6298573760182365e-41,8.99311221629904e-51,7.890752783942668e-57,1.5834024930942692e-46,3.185107462064304e-38,4.845928291067745e-74,1.0171326543920815e-57,9.62857680237189e-36,1.753229161917439e-54,7.2229146473480055e-68,2.4789268145492963e-71,6.651452125281844e-72,8.683967753517769e-73,2.798779783017161e-78,2.7431437616553666e-59,3.2630599142957826e-53,7.259117658656099e-51,1.814499517001223e-60,1.4173091059542465e-52,4.654994654050187e-56,2.5773709437343626e-69,1.8128818543688052e-86,1.8384049264330832e-27,5.956672902002044e-36,8.740480367063146e-84
9.699502664729395e-20,0.6820783136434134,2.991160371413031e-25,1.6707798788708215e-26,3.9511242672385135e-35,7.934551543762982e-38,0.0,0.0,6.003834462059517e-20,1.914534463564648e-35,7.488821353169742e-47,8.613056716933243e-47,3.122245668423052e-44,1.3836419787573683e-60,1.7629952671102015e-41,4.037763683472893e-34,2.914166366498611e-22,5.585967314825433e-34,2.1722124652691407e-58,4.5325586463578233e-57,2.8364592927159262e-33,1.3206558097682394e-51,6.09683751048334e-23,1.3888620069282436e-52,1.4699073376612176e-38,6.061573513644742e-51,1.298724595710918e-31,5.385958643929095e-40,2.6202827779236137e-56,3.812552633461695e-57,2.5592224453038047e-52,1.6360778243121336e-56,1.5265960333105532e-44,4.627588053230159e-57,3.76,0.0,0.7895543106496541,0.9999999999998798,5.262137304246833e-47,7.924570554406799e-20,4.7206597115552114e-15,4.527807258478589e-15,1.9285245307662145e-16,2.3867019396428107e-32,1.202252932466249e-13,9.920111785167175e-37,3.491004553758959e-38,8.53365354698424e-40,5.227207720573411e-50,5.584812723407818e-34,5.375303000218986e-34,2.113150815862093e-33,1.2650797265973346e-33,3.083971720922694e-38,1.1400142715846141e-39,1.2631844106193783e-24,2.1554279587799628e-35,4.4230965788347e-50,1.2306410333823143e-50,2.083679321144089e-45,2.1701588127921464e-60,1.869116897626635e-39,2.2973402734458443e-47,6.096837510523801e-23,1.7915674549496036e-37,5.704285465990254e-57,1.3385114514333698e-53,2.9141663664899806e-22,1.14014951707952e-20,8.346145376219132e-32,3.6896658313720504e-27,4.86371485656615e-20,9.827056103533304e-34,8.789097325894709e-53,7.472132632104442e-66,3.6621381291962725e-48,1.4979251570551063e-66,2.906673863320075e-54,3.257083899559581e-68,7.924570554406881e-20,6.119823747508512e-37,1.9534991758378866e-72,1.8662922931319955e-72,8.353469829457887e-72,1.263184540215203e-24,3.7843092959497814e-33,4.0754276755953237e-54,6.553584827960445e-41,7.238439094647285e-50,6.351215153402198e-56,1.2744600793436251e-45,1.2807177018632537e-37,7.826187139504952e-73,8.18676848795865e-57,3.8716083842128946e-35,1.411155269622543e-53,1.1665026448618233e-66,3.9922470672461364e-70,1.0742112948738902e-70,1.4024631118031741e-71,9.06961231835479e-77,2.2124518664871952e-58,2.6263944988239383e-52,5.842769420644159e-50,1.4604710509445527e-59,1.1407737114542874e-51,3.746744672920899e-55,4.162460958644583e-68,5.857424004216122e-85,3.689665831373472e-27,2.3951519754537832e-35,2.8322144311597947e-82
1.943280150599095e-19,0.682078313643414,5.99274453542418e-25,3.3473812906589373e-26,1.5845775496582842e-34,3.182110794581556e-37,0.0,0.0,1.2028588207959055e-19,7.67813949536189e-35,6.009307507635623e-46,6.911435601505119e-46,2.505405516660783e-43,1.1102855492088429e-59,7.070399539940281e-41,1.6193238304484236e-33,5.838486622793229e-22,2.2402227324159048e-33,1.7430638285339919e-57,3.63709286316031e-56,1.13754704013184e-32,1.0597431153525735e-50,1.2214918357159056e-22,1.1144742930851934e-51,5.894985856142493e-38,4.864072154399165e-50,5.208466497387242e-31,2.1600229283238718e-39,2.104753624330156e-55,3.062447537062253e-56,2.053614838153726e-51,1.3141999267195173e-55,1.224997175030386e-43,3.774476450691986e-56,3.76,0.0,0.7895543106496493,0.9999999999997591,4.222533789090334e-46,1.587675285290554e-19,9.457767714788276e-15,9.071390848884079e-15,3.863768659041978e-16,9.571742256068553e-32,2.408694899123598e-13,3.9784085139930874e-36,1.400048965271102e-37,3.422376749344505e-39,4.194504997354279e-49,2.2397596894917183e-33,2.1557369190431234e-33,8.474679901104566e-33,5.073535524212967e-33,1.2368106659317328e-37,4.5719671128977945e-39,2.5307701611970613e-24,8.64423015343428e-35,1.7897625074091906e-49,9.875119259947958e-50,1.6720214294836828e-44,3.156959366586248e-59,7.495996324998644e-39,9.213362895240392e-47,1.2214918357321324e-22,7.1849867924828204e-37,4.57986102338329e-56,1.0740713548984235e-52,5.838486622758617e-22,2.2842716805511158e-20,3.347177586332586e-31,7.392187641250893e-27,9.744376454782869e-20,3.9410890233118775e-33,7.052697122073475e-52,1.1994427734161305e-64,2.9386352151805186e-47,2.404501617377514e-65,2.332422719422485e-53,5.2283409941247186e-67,1.587675285290588e-19,2.454323038574673e-36,3.1357988119592915e-71,2.9958124514077265e-71,1.3409169090360808e-70,2.5307706809342787e-24,1.5176772850394508e-32,3.2702740480807047e-53,2.6282806344415168e-40,5.808391512305531e-49,5.0964706861688444e-55,1.0226739509770182e-44,5.136250799293484e-37,1.2580367271212565e-71,6.56936612691772e-56,1.5526881239853426e-34,1.132364796566836e-52,1.8751189325216656e-65,6.408450173221997e-69,1.726763282795721e-69,2.2544184917291616e-70,2.9205596775990595e-75,1.7771729762789565e-57,2.1075161807613442e-51,4.688454495292515e-49,1.1719424313792146e-58,9.153991240205064e-51,3.006526638215839e-54,6.691034421698258e-67,1.8834187501589115e-83,7.392187641256594e-27,9.605630679136149e-35,9.119878389141855e-81
