Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71),CH2CFO(79),CH2F(46),C2H4F(63),C2H4F(62),C1OO1(734),CH2O2(778),CHO2(166),C2H2O(133),S(338),S(376),CH2F2(41),CH3O2(183),C2H2O(373),S(1537),CHF2(81),C2H3F2(64),CH2CF2(57),CH3F(39),C2H3F2(65),S(3087),CF2CH(73),C2HF2(72),C2HF(58),C2HF(4088),S(3189),S(4414),CF2(43),CF2O(49),S(4555),S(5169),C2F(4087),F(37),C2H3F2(66),S(4570),CHF3(42),CHO2(165),S(459),C2H2F2(59),CHF2O(616),CHFO2(172),S(4185),S(3185),CFO(51),C#CC(5436),CFO3(6311),C3H4(6313),S(3720),C3H4(6745),C2H2F3(67),C2H2F3(68),S(3125),C2H4(456),S(1075),S(4373),C3H3(4302),C3H3(8085),CHF(40),CF(50),S(7024),S(1340),S(8723),CHO3(1596)
0.0,0.7087276101031817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7917309576127565,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.242872412433511e-22,0.7087276101031817,2.2183492389902658e-27,2.365236657147194e-28,1.1663916556492012e-39,3.411278291505034e-42,0.0,0.0,3.716496176599314e-22,8.09228849575997e-40,2.3329481317093337e-53,2.6666227782295125e-53,1.5093077634599075e-50,1.3013637662966405e-66,1.7815791495591757e-45,2.1978727195195106e-38,2.6988197681083765e-24,3.072440471875469e-38,2.870012411646429e-64,8.787164320906425e-63,2.5233339214970047e-37,1.2093971110785281e-57,6.865399043205682e-25,6.399553752020094e-59,9.387427651862363e-43,5.305773194979473e-57,1.1511704916917056e-35,7.037472605363115e-44,1.0618575569466037e-62,2.4481308625037503e-63,1.1146890626107215e-58,1.1198960020784113e-62,7.892888807281917e-51,2.667462668020883e-63,3.76,0.0,0.7917309576127564,0.9999999999999993,1.131035669475307e-53,7.407920744157287e-22,3.557008263004693e-17,3.407026483761201e-17,1.4998177924349211e-18,1.6779101070967105e-36,5.292180427955633e-16,8.366270624147486e-41,3.906070415682232e-42,6.91734522185448e-44,2.0354650412015087e-56,3.0717905938760646e-38,2.940988211211513e-38,1.357939533766132e-37,8.456094202055785e-38,2.870935014538711e-42,1.1184236834710752e-43,1.5987875189084633e-26,1.8496610733313975e-39,6.392902409029849e-54,3.724672972765064e-57,6.4508323306320956e-52,7.967032185083167e-67,1.9376000254953037e-43,2.702388127628984e-51,6.865399043205901e-25,7.02570817669953e-42,5.131568471143185e-63,7.314204107916126e-60,2.6988197681083284e-24,7.332096686445734e-23,4.1097334306280317e-36,5.881787115375954e-29,2.9833086914470436e-22,2.3967217613715557e-38,4.958043013484695e-59,3.827145215948237e-74,1.5840804371190597e-54,9.715267146125189e-75,1.2803640618016207e-60,8.14708806579606e-77,7.407920744157287e-22,2.932529790156068e-41,5.126315329693186e-81,4.575470712097381e-81,5.2540424434493496e-80,1.5987875200573544e-26,1.7520389587275807e-37,2.0838446997148156e-60,5.439196000028717e-45,1.9982633933974468e-56,5.484241933949502e-62,5.720552189883651e-52,7.74120101269315e-42,2.550295725989753e-81,3.1514440194016907e-63,1.1253605036975192e-39,9.474404193722056e-60,6.688443743926126e-75,1.4821014147660374e-78,6.378806871198006e-79,4.615334101073367e-80,3.201284007155256e-87,2.3277974786500623e-64,1.8217998258515137e-58,3.349999941808477e-56,2.8035701574579942e-65,3.316491816854766e-58,1.1598417420057204e-61,2.6578071327317785e-76,4.465736754919776e-95,5.881787115375968e-29,1.9076650741023292e-39,7.289998471147598e-93,1.2961444524844904e-81,3.1276316536057227e-93,1.502916733860172e-98
9.080042754813831e-22,0.7087276101031817,6.211377882703751e-27,6.6226626400152864e-28,7.045005600128528e-39,2.0604120918216157e-41,0.0,0.0,1.040618929447808e-21,4.887742251439022e-39,2.7696760311507595e-52,3.1658145623583385e-52,1.791850176779231e-49,1.5449790633472424e-65,1.0760738063336678e-44,1.3275151225897003e-37,7.55669535070361e-24,1.8557540450163103e-37,3.4072787359829323e-63,1.0432121481780803e-61,1.5240936885842958e-36,1.4357962502725528e-56,1.92231173209752e-24,7.597550214398223e-58,5.67000630172484e-42,6.308830771469121e-56,6.953069769816348e-35,4.250633566726475e-43,1.604679140057771e-61,3.698268819922746e-62,1.323358855131495e-57,1.6923868931171578e-61,9.370437592003196e-50,3.1671544245412997e-62,3.76,0.0,0.7917309576127564,0.9999999999999984,1.3427655468218618e-52,2.0742178083640407e-21,9.959623136413142e-17,9.539674154531474e-17,4.199489818816672e-18,1.013457704686124e-35,1.4818105198261098e-15,5.053227456987364e-40,2.3592665310742636e-41,4.178076514001706e-43,2.4165040969140007e-55,1.8553615187037894e-37,1.7763568795701284e-37,8.201954783945597e-37,5.107480898040566e-37,1.7340447491585286e-41,6.755279048165249e-43,4.476605052951002e-26,1.1171952882921693e-38,3.861387575063488e-53,4.42193175326115e-56,7.658428142921526e-51,9.563879361277532e-66,1.170310416219334e-42,1.6322424296889666e-50,1.9223117320976524e-24,4.243527738726538e-41,6.8826341916499515e-62,8.683423122490295e-59,7.55669535070332e-24,2.052987072204734e-22,2.4822789920992867e-35,1.6469003923052676e-28,8.35326433605165e-22,1.447619943868334e-37,5.886194719051308e-58,8.56117483169125e-73,1.8806202949473771e-53,2.1732663995192067e-73,1.520048214171053e-59,1.8224710119664673e-75,2.0742178083640407e-21,1.7712479932543624e-40,1.1467362339909326e-79,1.0235144964125277e-79,1.1753082784296295e-78,4.4766050598903055e-26,1.0582315310714202e-36,2.473940427500889e-59,3.285274384037468e-44,2.3723383006410212e-55,6.517707865554211e-61,6.791439560070584e-51,4.675685411665677e-41,8.01853780992017e-80,3.741394339833711e-62,6.79717744233297e-39,1.1251197132260845e-58,2.1029537281897906e-73,3.3162982580282344e-77,2.0055989412135876e-77,1.4511348867231544e-78,1.5292919365124505e-85,3.5177676099683537e-63,2.162840753251176e-57,3.977119930914962e-55,3.3283985720253914e-64,3.937339086918695e-57,1.3769641161090006e-60,8.356570874450472e-75,2.572035725111736e-93,1.6469003923052767e-28,1.1522297047575538e-38,3.5087114956836124e-91,4.0752855418059916e-80,1.5064673010299702e-91,9.142975915561768e-97
2.075438343957447e-21,0.708727610103182,1.4197435224254736e-26,1.5137514605764037e-27,3.3918669346389016e-38,9.919997327985254e-41,0.0,0.0,2.3785575530235597e-21,2.353237494566997e-38,2.719284355372469e-51,3.108215510441525e-51,1.7592491290877158e-48,1.5168696059949592e-64,5.180832166916962e-44,6.391413868361465e-37,1.7272446515894693e-23,8.934656892266488e-37,3.3452864697278356e-62,1.0242318732450655e-60,7.33785504371486e-36,1.4096732726735151e-55,4.393855387651138e-24,7.459319853354513e-57,2.729863961161532e-41,6.198349155524959e-55,3.3476037898371505e-34,2.046497203270322e-42,1.7262405931771584e-60,3.977965294677333e-61,1.2992815713791153e-56,1.820592743547106e-60,9.199951193761838e-49,3.110256995552539e-61,3.76,0.0,0.7917309576127562,0.9999999999999966,1.318335176371313e-51,4.741069276260663e-21,2.2764852883230036e-16,2.180496949607246e-16,9.598833871575742e-18,4.879362591432891e-35,3.3869954738813334e-15,2.4329114975054486e-39,1.1358852768836208e-40,2.0115639905176807e-42,2.372538052023143e-54,8.932767047031014e-37,8.552393718178687e-37,3.9488881641891535e-36,2.4590321939561315e-36,8.348679027935368e-41,3.252376071533817e-42,1.0232240121065294e-25,5.378814401247776e-38,1.859167800559947e-52,4.341478817037801e-55,7.519090164569583e-50,9.601620113600459e-65,5.634540886442569e-42,7.85854468416099e-50,4.3938553876517776e-24,2.0430759377842554e-40,7.103775475817755e-61,8.525436325460627e-58,1.72724465158933e-23,4.692541879324769e-22,1.1951104816265646e-34,3.764343753840613e-28,1.909317562526055e-21,6.969666882067187e-37,5.779103532405605e-57,1.691544270968476e-71,1.8464041575048275e-52,4.2940081787378226e-72,1.492392350436482e-58,3.60089560701464e-74,4.7410692762606655e-21,8.527796629775302e-40,2.265757556782902e-78,2.0222921679636836e-78,2.32221110179206e-77,1.0232240154475056e-25,5.094929291979228e-36,2.4289293819859057e-58,1.5817181968379596e-43,2.3291758113427314e-54,6.402110895247056e-60,6.667875632869814e-50,2.2511412544896864e-40,1.788891675512017e-78,3.673323149014679e-61,3.2725483447523106e-38,1.1047887480559884e-57,4.691574084265989e-72,6.553311061791081e-76,4.4743809099987267e-76,3.2374021054611053e-77,7.96299076892057e-84,3.7842540369864605e-62,2.123489877012917e-56,3.904759932171761e-54,3.267841626915756e-63,3.8657028677669274e-56,1.3519115344812733e-59,1.864304992657967e-73,1.1534087742174554e-91,3.764343753840658e-28,5.547490035485778e-38,1.818530704286006e-89,9.09173786334082e-79,7.804283003391057e-90,4.127576371782802e-95
4.410306480909575e-21,0.708727610103182,3.0169550123852796e-26,3.21672185373118e-27,1.4813174026858775e-37,4.332323488376295e-40,0.0,0.0,5.054434800175061e-21,1.0277206389615142e-37,2.4051762190286844e-50,2.74918141973163e-50,1.5560359318142044e-47,1.341653988500333e-63,2.2626055199389936e-43,2.7912983537884637e-36,3.6703948846279333e-23,3.901999399336097e-36,2.9588680016047295e-61,9.059214928286138e-60,3.2046340803028184e-35,1.2468400456383225e-54,9.336942698757231e-24,6.597683936182413e-56,1.1922033117864763e-40,5.484078050492605e-54,1.4619865244460584e-33,8.937591961662007e-42,1.5867125101946074e-59,3.656267434358603e-60,1.1491998359891953e-55,1.6734386788029308e-59,8.137252644742765e-48,2.752278582608333e-60,3.76,0.0,0.791730957612756,0.9999999999999928,1.1660525338361844e-50,1.007477221205391e-20,4.837531237686383e-16,4.63355601791562e-16,2.0397521977076153e-17,2.1309458360083324e-34,7.197365381968302e-15,1.0625163692701726e-38,4.9607094279494914e-40,8.785028431779969e-42,2.098483038874303e-53,3.901174054263207e-36,3.735055028213411e-36,1.7245832078801373e-35,1.0739239636593375e-35,3.6460874743093296e-40,1.4203980780081938e-41,2.174351025741075e-25,2.3490695631309507e-37,8.120141119612706e-52,3.839988847965841e-54,6.650550099556573e-49,8.866360447832154e-64,2.4607520450911805e-41,3.432032931405245e-49,9.336942698760029e-24,8.922649384408732e-40,6.420765457904031e-60,7.540651903371298e-57,3.6703948846273244e-23,9.971651493563694e-22,5.219361456896904e-34,7.999230476911311e-28,4.057299820367716e-21,3.043836636940535e-36,5.111552681604073e-56,3.010012969727087e-70,1.6331235674498544e-51,7.640958126080852e-71,1.3200041331560672e-57,6.407601337570696e-73,1.0074772212053916e-20,3.724312833499709e-39,4.03179451333156e-77,3.598560862222867e-77,4.132250580372506e-76,2.1743510403319956e-25,2.2250894775834314e-35,2.1483605316144422e-57,6.907778920339739e-43,2.0601296280542328e-53,5.663780723737599e-59,5.897660486025518e-49,9.83132528610499e-40,3.3503961278828874e-77,3.249012726242507e-60,1.429207839695771e-37,9.772285544701153e-57,8.786799033257816e-71,1.1661968476978516e-74,8.380020255079362e-75,6.063295853297606e-76,3.177820489199337e-82,3.478381745108345e-61,1.8782027484603237e-55,3.4537159400064387e-53,2.890369217436449e-62,3.4191704161907166e-55,1.1957504423369692e-58,3.491636924618418e-72,4.339412079985998e-90,7.999230476911506e-28,2.422734644106036e-37,7.245441628180708e-88,1.7027818818567964e-77,3.108899407337437e-88,1.5584943014680216e-93
9.080042754813832e-21,0.708727610103182,6.211378078903321e-26,6.622662640060835e-27,6.184208558354588e-37,1.80865980250438e-39,0.0,0.0,1.0406189294478048e-20,4.290531360451918e-37,2.0216955354987782e-49,2.310852634171997e-49,1.3079419588857463e-46,1.1277410180508618e-62,9.445932650952311e-43,1.1653121158880613e-35,7.55669535070585e-23,1.629007938237145e-35,2.487106846061815e-60,7.614816005876436e-59,1.3378716451791712e-34,1.0480441861083318e-53,1.9223117320964857e-23,5.545750888640177e-55,4.977214141017034e-40,4.610375446654076e-53,6.1035059469277516e-33,3.7312695529292857e-41,1.3574659585106554e-58,3.127949666627437e-59,9.659717066334668e-55,1.4316625150072582e-58,6.83985115414667e-47,2.3156286306893587e-59,3.76,0.0,0.7917309576127555,0.9999999999999851,9.80137414631735e-50,2.074217808364039e-20,9.959623136413136e-16,9.539674154533074e-16,4.199489818800606e-17,8.896279387786338e-34,1.481810519804832e-14,4.435796684953845e-38,2.0709985344243426e-39,3.6675764366495464e-41,1.763901437259479e-52,1.6286633729095793e-35,1.559311949561652e-35,7.199795408002371e-35,4.4834211459142485e-35,1.5221697499689922e-39,5.929882369762999e-41,4.476605053056911e-25,9.806903010803745e-37,3.3905564113977104e-51,3.227742003365276e-53,5.590188084350625e-48,8.08082866814818e-63,1.0273155449584743e-40,1.43280619365368e-48,1.9223117320976538e-23,3.725030475286386e-39,5.451579418583085e-59,6.3383723184655515e-56,7.556695350703308e-23,2.0529870722036977e-21,2.1789806649183568e-33,1.6469003923052726e-27,8.35326433605055e-21,1.2707418778779912e-35,4.296568440721591e-55,5.07682708089719e-69,1.3727387615160075e-50,1.288759270553215e-69,1.1095430101342276e-56,1.0807356210520911e-71,2.0742178083640415e-20,1.5548272947420997e-38,6.800210746202184e-76,6.069498870809581e-76,6.969644586229063e-75,4.476605113971134e-25,9.289310559168272e-35,1.8058264752512263e-56,2.8838617194870183e-42,1.731663084498854e-52,4.761219259315966e-58,4.9573389992216963e-48,4.104384776916124e-39,5.786976126679829e-76,2.7309909641094466e-59,5.9666613906035385e-37,8.214414549750626e-56,1.517701020732395e-69,1.96701756248777e-73,1.4474401026723467e-73,1.0472835751387082e-74,1.1294471604410703e-80,2.9758293579557954e-60,1.5787425802861987e-54,2.903056349571373e-52,2.429529999098336e-61,2.8740187676335286e-54,1.0051002961520195e-57,6.030934478501738e-71,1.5026006308205137e-88,1.6469003923053544e-27,1.0114440222855247e-36,2.573382239516945e-86,2.941132249873067e-76,1.1041205634786834e-86,5.4071407259404156e-92
1.8419515302622345e-20,0.7087276101031821,1.2600224558333136e-25,1.343454421280056e-26,2.5264509818891986e-36,7.388965673748111e-39,0.0,0.0,2.1109698283083978e-20,1.7528220573355776e-36,1.657508146007549e-48,1.894576605789808e-48,1.0723298404153766e-45,9.245902218391739e-62,3.8589717011023187e-42,4.7606802253780253e-35,1.532929628286564e-22,6.655028960113844e-35,2.0390804661557257e-59,6.2430862294295054e-58,5.465642207331724e-34,8.592499439355572e-53,3.8995466565361847e-23,4.5467416386627476e-54,2.0333543791036652e-39,3.780133973408628e-52,2.493481331805553e-32,1.5243460518844174e-40,1.1223791053150955e-57,2.5862242115926402e-58,7.919619666503905e-54,1.1837270696986657e-57,5.607723222549913e-46,1.902055203427852e-58,3.76,0.0,0.7917309576127545,0.9999999999999699,8.035758699326046e-49,4.207698982681333e-20,2.020380693386663e-15,1.9351910427770803e-15,8.518965060958225e-17,3.6344204083415356e-33,3.00595848298327e-14,1.8121676822989075e-37,8.46070476343462e-39,1.4983246444534497e-40,1.446152968696911e-51,6.653621298268032e-35,6.370298104820451e-35,2.941351347697066e-34,1.8316238285287739e-34,6.218560123430565e-39,2.422550435345145e-40,9.081113107875569e-25,4.006439871279311e-36,1.385608389235562e-50,2.6462979062592224e-52,4.583173936437887e-47,7.654969168113347e-62,4.1969192560895605e-40,5.853480850960736e-48,3.8995466565409566e-23,1.521796493906075e-38,4.491237505640245e-58,5.196580632926351e-55,1.532929628285526e-22,4.1646309178965254e-21,8.90184700007225e-33,3.340855081533564e-27,1.6945193367414276e-20,5.191395203991022e-35,3.522586561645557e-54,8.338703928665615e-68,1.1254541740696018e-49,2.116790971778357e-68,9.096703954748466e-56,1.7751115028264217e-70,4.2076989826813425e-20,6.351976826681101e-38,1.1169366570371057e-74,9.969170120729608e-75,1.144766216137638e-73,9.08111335673004e-25,3.79498646615775e-34,1.4805256478454587e-55,1.178151610619863e-41,1.4197220193445264e-51,3.903722367276975e-57,4.0643260213731282e-47,1.6767751041417172e-38,9.61514738747702e-75,2.2390313919013808e-58,2.4375758654283747e-36,6.734760779450791e-55,2.5216829450750666e-68,3.230877101934367e-72,2.4049433788657244e-72,1.7400773235452408e-73,3.8042890752743507e-79,2.46047415805397e-59,1.2943485509279145e-53,2.3801009906548705e-51,1.9918763222499215e-60,2.3562942468636356e-53,8.240419483855489e-57,1.0020487836295267e-69,4.999246944431799e-87,3.3408550815338996e-27,4.132078857078721e-36,8.665128711620739e-85,4.886735224550941e-75,3.717693399494454e-85,1.8008036193951585e-90
3.709846039823937e-20,0.7087276101031824,2.5377918902767678e-25,2.705830735860167e-26,1.0212318813917483e-35,2.986738250152003e-38,0.0,0.0,4.2516716260295624e-20,7.085187007885525e-36,1.3422930706258395e-47,1.5342772563293818e-47,8.684005067906844e-45,7.487571332634566e-61,1.5598580612309665e-41,1.9243430638216293e-34,3.087449814720106e-22,2.6900691106090125e-34,1.6513002429434514e-58,5.055813091544554e-57,2.2092999683090195e-33,6.958428821602843e-52,7.854016505408282e-23,3.6820692612260606e-53,8.219143505730074e-39,3.06135817019363e-51,1.0079050216445963e-31,6.161656051662655e-40,9.127000484429218e-57,2.1030646662488267e-57,6.413513335939949e-53,9.625885227247706e-57,4.5412796556308507e-45,1.5461044913132923e-57,3.76,0.0,0.7917309576127525,0.9999999999999394,6.507565735969519e-48,8.474661331315909e-20,4.069217452877357e-15,3.8976382974257554e-15,1.7157915545160011e-16,1.4690908384201586e-32,6.054254409189881e-14,7.3250715126452755e-37,3.4199521405154053e-38,6.056467774459563e-40,1.1711321680911806e-50,2.689500111140856e-34,2.5749763461917673e-34,1.1889412428919978e-33,7.403716366311996e-34,2.5136414467462316e-38,9.79233619215287e-40,1.8290129218260818e-24,1.619467053433628e-35,5.604532909926565e-50,2.1430406543019693e-51,3.711573080453571e-46,7.867095199233233e-61,1.6964619068021118e-39,2.366070578765331e-47,7.85401650542757e-23,6.151344742694974e-38,3.645778357398442e-57,4.2083258208117986e-54,3.08744981471591e-22,8.387918609274865e-21,3.598268885715158e-32,6.728764459990184e-27,3.412905143013396e-20,2.098444944716932e-34,2.8526819931471592e-53,1.3517398570201636e-66,9.114219695252649e-49,3.431409383945034e-67,7.36674671055955e-55,2.8775322408371227e-69,8.474661331315949e-20,2.5675705927209837e-37,1.8106024531184997e-73,1.616045436595533e-73,1.8557153676721336e-72,1.8290130224170386e-24,1.5339942062322826e-33,1.1989680548356327e-54,4.762277181320209e-41,1.1497277000369967e-50,3.161410259040009e-56,3.2913965868748323e-46,6.777793064165467e-38,1.567511698421228e-73,1.813225671971088e-57,9.853071382908617e-36,5.45401876999121e-54,4.110979640351253e-67,5.237426861425145e-71,3.920664683846825e-71,2.8367652102238955e-72,1.2486057632238785e-77,2.0008181836266483e-58,1.0481970147940497e-52,1.927467490516516e-50,1.6130744539885643e-59,1.9081882049749057e-52,6.673305345296538e-56,1.6335924213738972e-68,1.6310069569789823e-85,6.728764459991543e-27,1.670252340275561e-35,2.8435510869881308e-83,7.966611774194216e-74,1.2199808807193925e-83,5.878122946209794e-89
7.445635058947342e-20,0.7087276101031829,5.093331313393641e-25,5.430583365149048e-26,4.106328479958382e-35,1.2009544633534996e-37,0.0,0.0,8.533075221471809e-20,2.8489225340861794e-35,1.080394240278912e-46,1.2349198161981235e-46,6.989642769916995e-44,6.026648812452667e-60,6.272120659130085e-41,7.737698823910389e-34,6.196490187593528e-22,1.0816649581608918e-33,1.329110119090234e-57,4.0693582218917533e-56,8.883498004069471e-33,5.60074888528519e-51,1.576295620312327e-22,2.9636496742198517e-52,3.304881454546554e-38,2.4640905740194057e-50,4.052741762697893e-31,2.4775792922718377e-39,7.361256539009992e-56,1.696193901692949e-56,5.162153495813389e-52,7.763646588093458e-56,3.6552169491999307e-44,1.2537292553444805e-56,3.76,0.0,0.7917309576127484,0.9999999999998784,5.237855049957716e-47,1.700858602858502e-19,8.166890971858723e-15,7.822532806727622e-15,3.4435816513109776e-16,5.907149648209906e-32,1.2150846261002042e-13,2.945379038487266e-36,1.3751477142893172e-37,2.435279054860737e-39,9.426290550640465e-50,1.0814361659423118e-33,1.03538666358166e-33,4.780680446060061e-33,2.9770017881216957e-33,1.0107241853249463e-37,3.937455314603643e-39,3.670816144202308e-24,6.511805795109927e-35,2.256519302263334e-49,1.7249055587555036e-50,2.987396914576566e-45,9.017052921794977e-60,6.82139904004809e-39,9.51386597249963e-47,1.576295620320082e-22,2.4734286664414426e-37,2.9378979135176534e-56,3.387226887686021e-53,6.196490187576649e-22,1.6834493992002278e-20,1.4468480931827894e-31,1.3504583216903563e-26,6.849676755554227e-20,8.437754829710794e-34,2.2960866722913265e-52,2.1769353809184407e-65,7.335916929832027e-48,5.526179028311841e-66,5.92939864518185e-54,4.634176964517472e-68,1.7008586028585182e-19,1.0324088427512443e-36,2.915919432962252e-72,2.602591355586698e-72,2.9885723910796763e-71,3.6708165486741204e-24,6.168123235728518e-33,9.650337983802905e-54,1.91489071012395e-40,9.25400877027428e-50,2.544607865994994e-55,2.6492023181433094e-45,2.7253207812448106e-37,2.5315355815132923e-72,1.459441767871204e-56,3.9618766676832594e-35,4.389882728098296e-53,6.639243100040151e-66,8.434743167994504e-70,6.331883936805659e-70,4.581383391912268e-71,4.0461812232194794e-76,1.613734706249733e-57,8.436801485859901e-52,1.551393522247766e-49,1.2983448527919558e-58,1.5358759288042093e-51,5.371256706286633e-55,2.6382561240762474e-67,5.269785936611129e-84,1.3504583216909027e-26,6.716011199780801e-35,9.214011496514555e-82,1.2866099327162032e-72,3.953097441275227e-82,1.8997077655282273e-87
1.491721309719415e-19,0.7087276101031839,1.0204412376547246e-24,1.0880088624241455e-25,1.6468213807276808e-34,4.816365734133406e-37,0.0,0.0,1.7095882412355977e-19,1.1425453573431712e-34,8.669483372137805e-46,9.909453818907889e-46,5.608748130370593e-43,4.8360061268514e-59,2.515400911740197e-40,3.1031633053994494e-33,1.2414570933365702e-21,4.3379602698151294e-33,1.0665272041658953e-56,3.2654036938686706e-55,3.5626800238244673e-32,4.49424825765062e-50,3.1580835598436407e-22,2.3781422194228538e-51,1.3254052777080843e-37,1.9772950495074793e-49,1.6253307100979553e-30,9.936237131177242e-39,5.912961574466348e-55,1.3624736169206004e-55,4.1423030793169984e-51,6.236217573820317e-55,2.933081404125512e-43,1.0209478331038614e-55,3.76,0.0,0.7917309576127401,0.9999999999997565,4.20304880936317e-46,3.407643542312307e-19,1.6362238009821372e-14,1.567232182534943e-14,6.899161844719409e-16,2.3690312125652654e-31,2.434402996222212e-13,1.1812287298008491e-35,5.514957384821888e-37,9.766558215679799e-39,7.56400451965846e-49,4.3370427104081936e-33,4.152363608447613e-33,1.9172666799704349e-32,1.1939108666601647e-32,4.0534561607870975e-37,1.579095688147798e-38,7.354422590151462e-24,2.611525371473229e-34,9.073403732002328e-49,1.3841280799028921e-49,2.397197884048561e-44,1.1544585830687049e-58,2.7356863709914027e-38,3.8154859646066564e-46,3.1580835598747434e-22,9.919555220446426e-37,2.3588604126055128e-55,2.7180364996457252e-52,1.2414570933298018e-21,3.3727644757340065e-20,5.80250797227469e-31,2.705622073073089e-26,1.3723219980623468e-19,3.3839170744949785e-33,1.8424649626078706e-51,3.4944634152253914e-64,5.886611336118245e-47,8.870741204243462e-65,4.757968992346097e-53,7.438880343516455e-67,3.4076435423123713e-19,4.1404212156041524e-36,4.680696468577717e-71,4.177735512290232e-71,4.797320556502994e-70,7.35442421226433e-24,2.47369329356933e-32,7.743788474706973e-53,7.679568209584463e-40,7.425759240842527e-49,2.04189953054669e-54,2.125818019366276e-44,1.0929755261988185e-36,4.069369515853493e-71,1.171110106285481e-55,1.5888897430042794e-34,3.522609993958168e-52,1.0672389376412131e-64,1.353965372854804e-68,1.0178318497887189e-68,7.364439998107899e-70,1.302934823618606e-74,1.296243260569968e-56,6.770001861210809e-51,1.2448955982496208e-48,1.0418435048458548e-57,1.2324437915450514e-50,4.310095236779802e-54,4.2409196662558025e-66,1.694467335004621e-82,2.705622073075281e-26,2.6934208719740052e-34,2.9669492837564356e-80,2.068187900222233e-71,1.2729088255290174e-80,6.109175487729872e-86
