Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71),CH2CFO(79),CH2F(46),C2H4F(63),C2H4F(62),C1OO1(734),CH2O2(778),CHO2(166),C2H2O(133),S(338),S(376),CH2F2(41),C2H2O(373),CH3O2(183),CHF2(81),S(1537),C2H3F2(64),CH2CF2(57),CH3F(39),C2H3F2(65),S(140),S(2988),F(37),C2HF(58),C2HF(3940),CF2CH(73),C2HF2(72),S(3117),CF2(43),CF2O(49),S(4341),S(4409),C2F(3939),C2H3F2(66),S(4619),CHF3(42),S(4047),CHO2(165),C2H2F3(67),C2H2F3(68),S(5214),CFO(51),CHF2O(615),S(3044),CFO3(5914),CHFO2(172),S(459),C2H4(456),C2H2F2(59),C#CC(5603),C3H4(6319),CHF(40),CHFO2(735),CF(50),S(3734),CHFO2(782),CHO3(1596),S(3113),S(1075),S(6101),S(6880),S(2986)
0.0,0.6258122062472292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7375685353528112,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.736521762244063e-22,0.6258122062472291,3.752593165309074e-28,6.01228895780684e-30,1.0731983309139808e-39,8.323681658192499e-43,0.0,0.0,1.2074318916518358e-22,2.2772460428715456e-40,7.579384926436811e-54,7.139289907224245e-47,1.2050413295024225e-51,1.3778619824277351e-68,3.3723665407790194e-47,2.7862048720294643e-39,2.3509935432695505e-25,3.952379021881027e-39,9.966837571946597e-67,1.1648130749405436e-65,7.0690407065232e-39,1.3492035175735192e-59,3.2546624473308135e-26,5.801772745831767e-60,7.163516912596722e-44,6.617141427704676e-59,3.1132855167464764e-37,5.5926362932883065e-46,3.590020290120839e-64,2.3863998656579925e-65,1.2180966370822572e-59,8.945015950366923e-65,5.141799236096277e-52,1.1381761941303814e-64,3.76,0.0,0.7375685353528112,0.9999999999999993,1.3595757413173616e-53,6.330123849955021e-23,6.2030779158757834e-18,5.9752112554881276e-18,2.2786666038765635e-19,9.66992268227816e-38,5.290801137355282e-16,2.8237825838713015e-42,5.387675854520864e-44,2.5455546227978072e-45,3.0973681488493637e-57,3.951631982215983e-39,3.84167241769519e-39,9.804584141658272e-39,5.416913043118424e-39,7.107173853115e-44,2.2911568916113577e-45,5.286899797519045e-28,5.505419505663649e-41,3.857550683369474e-56,1.312026499844574e-57,1.1492909658076763e-48,1.0442630850349242e-69,3.403803475202188e-45,3.442606930450739e-53,3.2546624473310936e-26,1.8485435699406332e-62,2.44677793928198e-42,2.3509935432694927e-25,4.1873737235091623e-61,2.111037118929209e-23,7.995284937236693e-37,9.522412014522229e-31,9.96331932352063e-23,1.272447293103205e-45,3.8837629844084177e-38,5.286899800624671e-28,1.8597395205651473e-55,1.7050818726536046e-76,2.725190808702425e-60,1.4490712561342325e-75,1.7461216910141553e-62,6.330123849955021e-23,5.570965326118927e-42,3.5463071201112208e-78,1.9098517612576945e-82,1.0200133583672974e-81,3.754527888941305e-38,1.4231269137104718e-61,1.7410761662311244e-46,7.461382671283982e-65,2.725362466085114e-49,4.3221709413857675e-67,4.990434658564621e-60,2.0771140415698124e-82,6.100900323897443e-48,7.063416312062833e-43,1.6691952622443377e-57,3.3037461103935916e-66,1.62026986569403e-52,1.0144499932796592e-63,2.861691875192268e-68,5.83808962932722e-53,2.663016974611956e-77,2.349300046984053e-81,9.52241201452225e-31,2.3445678726848968e-51,7.08242283247125e-41,1.0965826418439862e-81,2.861864466496033e-50,2.312643001879913e-93,1.0665682623901572e-39,1.3226577756126843e-58,1.9897474111142395e-84,1.2824557075146104e-85,2.384711175251956e-60
2.1662260934283375e-21,0.6258122062472291,1.050726088368749e-27,1.6834409081871607e-29,6.482117918722044e-39,5.0275037298872316e-42,0.0,0.0,3.380809296625144e-22,1.3754566098944154e-39,8.998245785476783e-53,4.312131615827453e-46,1.4306250663847654e-50,1.6357977455379274e-67,2.0369093906302753e-46,1.6828677427055165e-38,6.582781921154928e-25,2.3872369292244573e-38,1.1832629594213888e-65,1.3828660825694816e-64,4.26970058674027e-38,1.6017744160633727e-58,9.113054852525375e-26,6.887864603851442e-59,4.326764215208399e-43,7.866292646357275e-58,1.88042445211415e-36,3.377952725957855e-45,5.425238662430905e-63,3.606106038964605e-64,1.4461243275440272e-58,1.3517710923188283e-63,6.104344053091346e-51,1.3514541217387495e-63,3.76,0.0,0.7375685353528112,0.9999999999999984,1.6140883200952426e-52,1.7724346779874058e-22,1.7368618164452196e-17,1.6730591515367044e-17,6.380266490851496e-19,5.840633300093259e-37,1.481424318455883e-15,1.705564680659938e-41,3.254156216135047e-43,1.5375149921680227e-44,3.677195466305927e-56,2.386785717266067e-38,2.3203701402830743e-38,5.921968821559292e-38,3.271815478042282e-38,4.292733014622449e-43,1.3838587625332672e-44,1.4803319433077876e-27,3.3252733814208957e-40,2.3321640136228343e-55,1.5576378606104685e-56,6.942956789584108e-48,1.585189774494298e-68,2.0558973155381228e-44,2.079334591548916e-52,9.113054852527063e-26,2.1950001875526114e-61,1.4778538753263312e-41,6.582781921154579e-25,4.97125012112223e-60,5.910903933001661e-23,4.8291521020909115e-36,2.666275364066225e-30,2.78972941058576e-22,7.685581650357964e-45,2.3457928425825456e-37,1.4803319451835863e-27,2.2078827588141716e-54,3.814199945849927e-75,3.23534834145312e-59,3.2415153268967553e-74,2.072995671573818e-61,1.7724346779874063e-22,3.364863056975975e-41,7.932947175410475e-77,4.272261995864829e-81,2.2817290821325484e-80,2.267734844920493e-37,1.6895362719564784e-60,1.0516100044108373e-45,8.858153507348574e-64,1.646118983959885e-48,6.531666107166828e-66,5.924644026648116e-59,4.646421026423057e-81,3.684943795634234e-47,4.2663034524844875e-42,1.9816686153364578e-56,3.92220738225235e-65,9.786429988791907e-52,1.2046340667910053e-62,3.3974009670953977e-67,6.930980007948598e-52,8.372951450892465e-76,7.386575235716739e-80,2.666275364066239e-30,1.4161189951075736e-50,4.277783390811026e-40,3.447831279180317e-80,1.7285661377588943e-49,7.271320434081551e-92,6.442072304836524e-39,1.5702593120371185e-57,6.2560842208704536e-83,4.0322459373393804e-84,2.8311291072578676e-59
4.9513739278362e-21,0.6258122062472291,2.4016596403732653e-27,3.8478649330050953e-29,3.120860746300251e-38,2.420526638710821e-41,0.0,0.0,7.727564106571774e-22,6.622231492670474e-39,8.834531071418068e-52,2.0761062728168228e-45,1.4045961736664414e-49,1.6060359267168993e-66,9.806841900581604e-46,8.102283767857482e-38,1.5046358676926434e-24,1.1493518195754017e-37,1.1617345963100952e-64,1.3577061201509077e-63,2.0556770374573327e-37,1.5726316200839742e-57,2.082983966291089e-25,6.762546312541412e-58,2.0831507181830944e-42,7.727739848261389e-57,9.053434282687938e-36,1.6263392413058167e-44,5.8362241852446e-62,3.879208091767621e-63,1.4198134401829846e-57,1.4541744383314447e-62,5.993281189587133e-50,1.3273133384865118e-62,3.76,0.0,0.7375685353528112,0.9999999999999966,1.5847214840846788e-51,4.0512792639712133e-22,3.969969866160502e-17,3.8241352035126034e-17,1.4583466264789836e-18,2.812013516002368e-36,3.3861127278822083e-15,8.211559753922358e-41,1.5667361385011287e-42,7.402472843068228e-44,3.6102923142739e-55,1.149134580439752e-37,1.1171583390585282e-37,2.8511730683907716e-37,1.5752383129369706e-37,2.066766167497092e-42,6.662684240805932e-44,3.383615870429374e-27,1.600975992247068e-39,1.1250808400252418e-54,1.5292980882033037e-55,3.3439971627273284e-47,2.2501382563854623e-67,9.898260753626898e-44,1.0011101037100783e-51,2.0829839662919005e-25,2.155243536192345e-60,7.11523024743223e-41,1.5046358676924753e-24,4.88080292549547e-59,1.351063756114606e-22,2.325028859748353e-35,6.094343689294234e-30,6.376524367053078e-22,3.700276728365533e-44,1.1293982758657589e-36,3.383615879460537e-27,2.1677123851683455e-53,7.536216345331205e-74,3.1764849815969394e-58,6.40468890178981e-73,2.0352794430516772e-60,4.051279263971215e-22,1.6200367168355993e-40,1.5674166802706802e-75,8.441269766116662e-80,4.508312162055051e-79,1.0918167101040492e-36,1.6587967306190839e-59,5.0630494915066143e-45,8.696987641649316e-63,7.925354868042647e-48,7.026472171088808e-65,5.8168506380233744e-58,9.180544959272613e-80,1.774141814189642e-46,2.0540414635456757e-41,1.9456139976719387e-55,3.850846466253309e-64,4.7117447694381844e-51,1.1828391436897175e-61,3.3355892056092924e-66,6.804877271959626e-51,1.8679594091507316e-74,1.647904301590369e-78,6.0943436892943015e-30,6.818003373856115e-50,2.0595685596802253e-39,7.691921918918222e-79,8.322301868499807e-49,1.6221919737441766e-90,3.101580507030536e-38,1.5416899058263385e-56,1.3956979756272845e-81,8.995718872666148e-83,2.779619345869788e-58
1.0521669596651926e-20,0.6258122062472292,5.103526777697632e-27,8.176712982660891e-29,1.3629618802632298e-37,1.0571075835158371e-40,0.0,0.0,1.6421073726465093e-21,2.892102474446882e-38,7.814042684954404e-51,9.066906116066915e-45,1.2423494090604958e-48,1.4205205894018728e-65,4.282905506785444e-45,3.5384801874730776e-37,3.197351218847244e-24,5.019521357916674e-37,1.0275411050548233e-63,1.200875687741143e-62,8.977681697288457e-37,1.3909748584781843e-56,4.426340928366747e-25,5.981395630042517e-57,9.0976664789975e-42,6.836912296636328e-56,3.953872606256853e-35,7.10265436705778e-44,5.364495519123822e-61,3.5656329353434496e-62,1.2558089089661193e-56,1.33663831790267e-61,5.300989340431771e-49,1.1747899789777006e-61,3.76,0.0,0.7375685353528112,0.9999999999999928,1.4016682062747908e-50,8.608968435938828e-22,8.436185965591068e-17,8.126287307464862e-17,3.0989865812620424e-18,1.228080180645068e-35,7.195489546677322e-15,3.5862038815417673e-40,6.842348335307307e-42,3.2328543709244944e-43,3.193262666685412e-54,5.0185726175311664e-37,4.878923970398138e-37,1.2451821859870326e-36,6.879479564741107e-37,9.026110907237885e-42,2.9097692523465323e-43,7.190183724711829e-27,6.991882772193651e-39,4.9332420813273924e-54,1.3526468402471447e-54,1.4615205285396288e-46,3.215080625710295e-66,4.322830669503167e-43,4.372110887800806e-51,4.426340928370292e-25,1.9063597225414898e-59,3.107407982888353e-40,3.1973512188465095e-24,4.317015052072218e-58,2.8710104817432864e-22,1.01540118702898e-34,1.2950480339750273e-29,1.3550114279987428e-21,1.616008062262965e-43,4.932378990196527e-36,7.190183764153288e-27,1.917317056116825e-52,1.3410294328002697e-72,2.809565309246696e-57,1.139680239570247e-71,1.8001816185796325e-59,8.608968435938835e-22,7.075125964173261e-40,2.7891342357996575e-74,1.5020788533518858e-78,8.022300614170579e-78,4.768250418954606e-36,1.4671869229550792e-58,2.2111667312226176e-44,7.692387078788413e-62,3.4612111758174674e-47,6.458545712517298e-64,5.144938515594584e-57,1.6336289240282252e-78,7.748143411352492e-46,8.970538716297105e-41,1.720873547563295e-54,3.406030089926306e-63,2.0577427294313603e-50,1.0462563912942448e-60,2.950292283004729e-65,6.0188368842665985e-50,3.498481242259684e-73,3.0863423797597828e-77,1.2950480339750564e-29,2.9776011984012016e-49,8.994676997213545e-39,1.4406118472645148e-77,3.6345678723769465e-48,3.0381874813973144e-89,1.3545416932354563e-37,1.3636072657472586e-55,2.613987845769915e-80,1.6847985873012506e-81,2.4585418332295823e-57
2.1662260934283377e-20,0.6258122062472291,1.0507261185607694e-26,1.6834409082052177e-28,5.6900975505281905e-37,4.41321613150217e-40,0.0,0.0,3.380809296625195e-21,1.2073958519305101e-37,6.568173708195501e-50,3.7852586493132055e-44,1.0442695354795018e-47,1.1940331481768446e-64,1.788028739917516e-44,1.4772458231461136e-36,6.582781921157642e-24,2.0955513575161614e-36,8.637102310374323e-63,1.0094083737350736e-61,3.7480053826021945e-36,1.1691981810739983e-55,9.11305485251229e-25,5.027723433173512e-56,3.7980966670584793e-41,5.747556140408422e-55,1.6506639809689274e-34,2.9652214098249275e-43,4.5894388586507713e-60,3.0504635046789724e-61,1.0555830561489152e-55,1.14352476102404e-60,4.455800949187767e-48,9.888214637911581e-61,3.76,0.0,0.7375685353528111,0.9999999999999851,1.1781865842211725e-49,1.7724346779874064e-21,1.7368618164452195e-16,1.6730591515371223e-16,6.38026649080972e-18,5.126993006105555e-35,1.4814243184037408e-14,1.4971695259911638e-39,2.8565457381257807e-41,1.3496530609815482e-42,2.684129679807538e-53,2.0951552770759433e-36,2.0368547157947067e-36,5.1983905118751063e-36,2.8720472954440273e-36,3.7682236793247604e-41,1.2147713839324387e-42,1.4803319433433863e-26,2.918973421903602e-38,2.0760108144275683e-53,1.1369811722821328e-53,6.110829718386983e-46,4.76046812312853e-65,1.8046968329487313e-42,1.8252702720405123e-50,9.113054852527084e-25,1.6024384521275582e-58,1.2972816634075198e-39,6.582781921154575e-24,3.628711502764006e-57,5.910903932999845e-22,4.239100073722173e-34,2.6662753640662415e-29,2.7897294105854967e-21,6.746515548229261e-43,2.0591711343313966e-35,1.4803319598094187e-26,1.6116205126803215e-51,2.261842147393509e-71,2.361609056550664e-56,1.922237358892411e-70,1.5131611195069727e-58,1.772434677987409e-21,2.9537258159102556e-39,4.704282557139665e-73,2.533475534647897e-77,1.3530782549867154e-76,1.9906506867159134e-35,1.2332590133838558e-57,9.231185834335088e-44,6.465914840814639e-61,1.4449879390187618e-46,5.525434266984042e-63,4.324630828158889e-56,2.755353956560329e-77,3.234697351732887e-45,3.745023328635289e-40,1.446497907136515e-53,2.8629735192475474e-62,8.590670827909222e-50,8.794607996593797e-60,2.4799007958879698e-64,5.0591950633536674e-49,6.042756335139262e-72,5.3308889418331304e-76,2.666275364066363e-29,1.2430898861797759e-48,3.7551005857538093e-38,2.488298711285328e-76,1.5173605400704816e-47,5.247718329102499e-88,5.654944927192223e-37,1.1461940756215987e-54,4.515013958644832e-79,2.9100705797458316e-80,2.06655254907971e-56
4.394344360954628e-20,0.6258122062472292,2.1314730534473136e-26,3.4149801281153557e-28,2.3245905127117665e-36,1.802942840382596e-39,0.0,0.0,6.858213144582654e-21,4.932606018701618e-37,5.384985638413924e-49,1.5464047966902003e-43,8.561552572886715e-47,9.789405153167027e-64,7.30468082195918e-44,6.035031200977604e-36,1.335364332578323e-23,8.56101105752687e-36,7.081218604950757e-62,8.275739706739161e-61,1.5311824931987943e-35,9.585793088241322e-55,1.848648270078025e-24,4.122031432770622e-55,1.5516464173358437e-40,4.712480394720024e-54,6.743500960608408e-34,1.2113921729026222e-42,3.794636799381392e-59,2.5221780952257287e-60,8.654307650725544e-55,9.454925888243591e-60,3.6531348262759315e-47,8.128925691199025e-60,3.76,0.0,0.7375685353528109,0.9999999999999699,9.659485447829767e-49,3.5955103467744515e-21,3.5233482562174444e-16,3.3939199931191313e-16,1.2942826309831314e-17,2.094543932639728e-34,3.005175045783699e-14,6.116426028159549e-39,1.1669921408422666e-40,5.5137731349461e-42,2.2006116797073496e-52,8.559392939647721e-36,8.321216123054805e-36,2.1237121433925616e-35,1.173325032776924e-35,1.5394423719812962e-40,4.962737473506683e-42,3.002959085150641e-26,1.1924958866053909e-37,8.615852758728724e-53,9.321658584938505e-53,2.5040482385422327e-45,7.277064282417788e-64,7.372776430116679e-42,7.456824971931667e-50,1.84864827008407e-24,1.3137870955410738e-57,5.299818887604149e-39,1.3353643325770693e-23,2.9750373076570045e-56,1.199069083550975e-21,1.731810698544604e-33,5.408730024248698e-29,5.659165375758539e-21,2.7561717349188615e-42,8.412385974731518e-35,3.002959152419757e-26,1.321303866297443e-50,3.715082518958621e-70,1.9361898367593204e-55,3.1572806786003675e-69,1.2405809071345732e-57,3.5955103467744635e-21,1.2066933735003572e-38,7.726798226287542e-72,4.161241173240229e-76,2.222435096842233e-75,8.132457588555936e-35,1.0111002495371017e-56,3.77124061992931e-43,5.30114764062244e-60,5.903250546476004e-46,4.568556485774913e-62,3.5455936361150474e-55,4.525677147340245e-76,1.3214794137595658e-44,1.529964226840764e-39,1.1859263779928147e-52,2.347238664581513e-61,3.5095693398874496e-49,7.210427731870173e-59,2.0331763778238086e-63,4.147833776627156e-48,1.0040130027822354e-70,8.857351706852924e-75,5.408730024249196e-29,5.07842779564672e-48,1.534081115185596e-37,4.1343455244584757e-75,6.198912908452674e-47,8.719179103630671e-87,2.310229519067243e-36,9.397191619492211e-54,7.501763246416141e-78,4.835125792039593e-79,1.6942846355685512e-55
8.850580896007208e-20,0.6258122062472293,4.2929671364385314e-26,6.878058568063152e-28,9.396366522505772e-36,7.287783638638879e-39,0.0,0.0,1.381302084049793e-20,1.9938382183442056e-36,4.360900985294509e-48,6.2508407298381345e-43,6.933367246678014e-46,7.927714100455585e-63,2.9526687800214703e-43,2.439456103268427e-35,2.6895366135053566e-23,3.4604975486489276e-35,5.734554903832274e-61,6.701908577570014e-60,6.189284452540007e-35,7.762823771341921e-54,3.723333839722374e-24,3.3381279251389876e-54,6.2720029057881215e-40,3.8164036869986544e-53,2.725830907546318e-33,4.896660850798456e-42,3.0857356255292283e-58,2.050991710953122e-59,7.00848271363016e-54,7.68865707800686e-59,2.95840329619828e-46,6.6185992430228715e-59,3.76,0.0,0.7375685353528105,0.9999999999999395,7.822501754777116e-48,7.241661684348542e-21,7.096321135761894e-16,6.835641676286099e-16,2.6067945947579477e-17,8.466481464356346e-34,6.052676500175384e-14,2.47235719390027e-38,4.717168819481583e-40,2.2287552587013422e-41,1.7821123928023565e-51,3.459843479495943e-35,3.3635686014995694e-35,8.584384035836986e-35,4.742767380955338e-35,6.222672565933435e-40,2.0060178341372146e-41,6.048213369016547e-26,4.820259037349911e-37,3.5915421971130805e-52,7.548920801559005e-52,1.0183003707750583e-44,1.1357952982172446e-62,2.980194929705578e-41,3.014168152600438e-49,3.7233338397468065e-24,1.0639433348733228e-56,2.1422715311839463e-38,2.689536613500289e-23,2.40926296055984e-55,2.4150264640516738e-21,7.000255736222669e-33,1.089363934461372e-28,1.1398037306102765e-20,1.1140886827179739e-41,3.4004209134592537e-34,6.04821364092907e-26,1.0700261280307965e-49,6.022308856934405e-69,1.567976748780386e-54,5.118088072042045e-68,1.0046545828597691e-56,7.241661684348591e-21,4.877647549366702e-38,1.2525472895506401e-70,6.745551261975976e-75,3.60266306316863e-74,3.2872693841014445e-34,8.188151966093683e-56,1.5243957558701224e-42,4.293006800913842e-59,2.3861909460089068e-45,3.715107743966525e-61,2.871313652250417e-54,7.336317680116899e-75,5.341631076804896e-44,6.184360025051732e-39,9.603939281159504e-52,1.900854726733522e-60,1.418624040368308e-48,5.8392220987643875e-58,1.6465252224371388e-62,3.359023332163003e-47,1.6367945943077697e-69,1.4439718761691734e-73,1.0893639344615738e-28,2.0527817123662992e-47,6.201001145968194e-37,6.740026659809015e-74,2.5056997094539878e-46,1.4214516716199994e-85,9.33831708998903e-36,7.610089551815466e-53,1.2229767524944768e-76,7.882475363780305e-78,1.3720756251578442e-54
1.7763053966112369e-19,0.6258122062472293,8.615956155293481e-26,1.3804215448468829e-27,3.778237652041654e-35,2.930386079632613e-38,0.0,0.0,2.7722636232329897e-20,8.017135783771877e-36,3.5100325029686074e-47,2.513455905673424e-42,5.580577149306255e-45,6.380914003509896e-62,1.1872551301275292e-42,9.808945699953778e-35,5.397881175367086e-23,1.3914508448173089e-34,4.6156694616302435e-60,5.394279076115574e-59,2.488684056914623e-34,6.248195921605315e-53,7.472704978974093e-24,2.6868157647170776e-53,2.5219447831456124e-39,3.071820476563746e-52,1.0960446192558651e-32,1.9689418781775428e-41,2.4887575704479865e-57,1.6541984710444092e-58,5.641036612136825e-53,6.201290764730471e-58,2.3811803479918168e-45,5.384507729231912e-58,3.76,0.0,0.7375685353528099,0.9999999999998785,6.296229954600393e-47,1.4533964359496714e-20,1.4242266894850784e-15,1.3719085042631827e-15,5.2318185221895663e-17,3.404334959770241e-33,1.214767940748582e-13,9.941239539094436e-38,1.8967528356177786e-39,8.961726870284329e-41,1.434399093783649e-50,1.3911878464596444e-34,1.3524761409591573e-34,3.451743065225971e-34,1.9070459043839403e-34,2.5021095621575683e-39,8.066109483198913e-41,1.2138721937753944e-25,1.9382049586510578e-36,1.5317018487256586e-51,6.076028201003688e-51,4.143790415622749e-44,1.793890485919063e-61,1.1983239301669662e-40,1.2119839781778527e-48,7.472704979072336e-24,8.563559474265225e-56,8.613979606371845e-38,5.397881175346712e-23,1.9391854230521016e-54,4.8469412250479414e-21,2.814772043289837e-32,2.1863457985344214e-28,2.287578116678379e-20,4.479701594364394e-41,1.3672942937019169e-33,1.2138723031102236e-25,8.612501179875412e-49,9.698742756425467e-68,1.2620441062451344e-53,8.242523086591011e-67,8.0863341130740435e-56,1.4533964359496916e-20,1.9612806269327697e-37,2.0171887960541357e-69,1.0863502353969777e-73,5.801977799182363e-73,1.3217965614090138e-33,6.590537055272599e-55,6.129528291766293e-42,3.455385356532369e-58,9.59479048050354e-45,2.996422997122725e-60,2.311083025976061e-53,1.1814913456501778e-73,2.1478463626432915e-43,2.486703966211583e-38,7.730085857306004e-51,1.5299732545112425e-59,5.704224872967474e-48,4.6999265011344246e-57,1.325276849719705e-61,2.7036342061460476e-46,2.643427641826288e-68,2.332018436856904e-72,2.1863457985352326e-28,8.254144983147996e-47,2.4933952877360207e-36,1.088516105914645e-72,1.007530832516564e-45,2.2956657436382645e-84,3.7548962304728183e-35,6.125262359023966e-52,1.9751107497936182e-75,1.2730218767717923e-76,1.1043658309746078e-53
3.5588000106322687e-19,0.6258122062472296,1.726193760449344e-25,2.765652921132049e-27,1.5152422843287547e-34,1.1752161484446802e-37,0.0,0.0,5.554186701599949e-20,3.215230024454789e-35,2.8165800298109094e-46,1.0080245500957291e-41,4.478061709623538e-44,5.1202816317673696e-61,4.761424084566455e-42,3.933825941411281e-34,1.0814570299121197e-22,5.580340231939038e-34,3.7037853100919975e-59,4.328569238782107e-58,9.980736159459423e-34,5.0137837294931124e-52,1.497144725732961e-23,2.156000441437659e-52,1.0114126547780026e-38,2.4649625807651376e-51,4.395629140923728e-32,7.896466589617459e-41,1.999105425040592e-56,1.3287419162924987e-57,4.526576621149016e-52,4.981391168146761e-57,1.91074726766929e-44,4.412660874015245e-57,3.76,0.0,0.7375685353528084,0.9999999999997566,5.052328015988801e-46,2.911856970979303e-20,2.8534158413028536e-15,2.7485971775370463e-15,1.0481866376580754e-16,1.3652905813828388e-32,2.433768521621497e-13,3.986881688496876e-37,7.606827215602288e-39,3.5940532974242265e-40,1.1510149371121625e-49,5.57928549067173e-34,5.4240342334475255e-34,1.3843033520641342e-33,7.6481070233106565e-34,1.0034580779837183e-38,3.234870668329126e-40,2.4319739079251074e-25,7.773068767562879e-36,6.845108741262343e-51,4.875629974235808e-50,1.7013478122721981e-43,2.851295607146842e-60,4.8058201876182745e-40,4.8605995966767876e-48,1.4971447257723612e-23,6.871724320425676e-55,3.454591091814307e-37,1.0814570299039488e-22,1.556075767205536e-53,9.710770747019944e-21,1.128849483114192e-31,4.3803095266807015e-28,4.583126888811612e-20,1.796560699336735e-40,5.483461655019697e-33,2.4319743464066734e-25,6.910989800135978e-48,1.5568630070840121e-66,1.0127109176693111e-52,1.3231075020184857e-65,6.488773866986112e-55,2.9118569709793845e-20,7.865612518246349e-37,3.238034757963937e-68,1.7438327181991068e-72,9.313459311504743e-72,5.3009953991940265e-33,5.28849092907172e-54,2.4582149970763086e-41,2.772729136058423e-57,3.8479574734921504e-44,2.406976676671653e-59,1.85449858142512e-52,1.8965552702289874e-72,8.613824562020821e-43,9.972795109574186e-38,6.202907076676689e-50,1.2277071820941388e-58,2.287649301751798e-47,3.7714004628104488e-56,1.0634674281512662e-60,2.1694961814906298e-45,4.2492327297045245e-67,3.748651527385968e-71,4.380309526683949e-28,3.3102813157789023e-46,9.999630301607673e-36,1.7497578489330042e-71,4.040649266068641e-45,3.690271887583873e-83,1.5058813302572951e-34,4.915137648495953e-51,3.1749329342721057e-74,2.0463454868950007e-75,8.86184028771826e-53
