Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71),CH2CFO(79),CH2F(46),C2H4F(63),C2H4F(62),C1OO1(734)
4.73735507846864e-20,0.8515650809980395,9.218680344063654e-31,1.727713229512543e-23,6.984976628680963e-35,2.1185577690285e-47,0.0,0.0,3.8686667987628774e-33,3.3919901670809076e-61,4.462846771453053e-46,6.412497720843436e-51,6.146100720218614e-48,8.646738862023269e-58,2.1495749027943135e-38,4.0279286910205326e-47,5.652438527320919e-61,7.510791458815883e-32,1.6814148229465806e-53,6.82846183756259e-51,4.8445229178450135e-30,2.1970971716362545e-47,1.274125104937585e-51,3.163528472626012e-108,1.9044401875499562e-65,4.29965669852173e-49,2.9932236787628965e-59,4.205428879580859e-89,3.5691538375404417e-135,8.56531116650545e-114,2.9716278753280688e-64,1.9236365902405262e-79,6.204682529865218e-63,6.202911158525334e-91,3.76,0.0,0.79353361569335,0.9999999999997521,4.310658150810017e-60,1.3009989398994915e-88,1.7262717988122594e-13,1.65485954821936e-13,7.14122505928994e-15,1.0755788374594989e-29,2.479222217109402e-13,1.3255609933619431e-33,2.0516675440632822e-34,1.041814096457987e-63,4.9132203617797995e-62,7.510791458815848e-32,6.992930742275466e-32,5.712525304009655e-31,3.544841708040204e-31,6.984976643089609e-35,2.1495749040450782e-38,1.3470060703383157e-45,1.9989721112375016e-46,4.477598129980834e-66
9.478826017127089e-20,0.8515650809980658,3.689874594947004e-30,3.4569275133965305e-23,2.795810990889289e-34,1.6961343906865122e-46,0.0,0.0,1.5484749231720965e-32,5.43350018245297e-60,3.572991019554455e-45,5.133897252348402e-50,4.920617669112777e-47,6.922648676812238e-57,8.603901564784978e-38,3.2247950142489396e-46,9.05442653950438e-60,3.0062739526445425e-31,1.3461542353152514e-52,5.466921467183349e-50,1.9390716862491938e-29,1.7590136664500513e-46,1.0202102572692434e-50,4.058337236402761e-106,3.050650384602161e-64,3.443212534129249e-48,4.794731294333634e-58,2.6970034908865063e-87,1.8334305202699555e-132,1.0988022292115628e-111,4.7601377979774396e-63,6.163072360179742e-78,9.93904522973456e-62,3.976311915523666e-89,3.76,0.0,0.7935336156931773,0.999999999999504,6.904815580169428e-59,8.339918875739453e-87,3.4540433993606054e-13,3.311156854521631e-13,1.428865448389742e-14,4.305118389008453e-29,4.960598406219838e-13,5.305698485329727e-33,8.21201697683905e-34,1.66884242127206e-62,7.870301042770643e-61,3.006273952644515e-31,2.798994707038073e-31,2.2864988485933572e-30,1.4188604955842265e-30,2.795811002424969e-34,8.603901574800397e-38,1.0786154517162642e-44,1.6007989270449176e-45,7.172359531643669e-65
1.8961767894443984e-19,0.8515650809981188,1.4764304663129927e-29,6.915356082082424e-23,1.1186885691799507e-33,1.357423005046372e-45,0.0,0.0,6.195916674698167e-32,8.698656336198826e-59,2.859478721351282e-44,4.108678102118506e-49,3.937989612381886e-46,5.540222875372973e-56,3.4426813357817854e-37,2.580817255962563e-45,1.449550791418734e-58,1.2029011666733647e-30,1.0773325196291972e-51,4.3751986827926366e-49,7.758812502851519e-29,1.4077455333249143e-45,8.165324472715772e-50,5.2004525684013665e-104,4.883879343493702e-63,2.755965579471646e-47,7.676031720017727e-57,1.727853524938185e-85,9.402616998641017e-130,1.4080320547869584e-109,7.6206499377847795e-62,1.9733736409181545e-76,1.5911720994024374e-60,2.5469052668338263e-87,3.76,0.0,0.7935336156928318,0.9999999999990077,1.1053918963193468e-57,5.341880554280593e-85,6.909586600455793e-13,6.623751467139758e-13,2.858351333160312e-14,1.7226081231011316e-28,9.923350783283165e-13,2.1229704935521008e-32,3.285876456007281e-33,2.6717007850110235e-61,1.2599805249140756e-59,1.2029011666733419e-30,1.1199624685844505e-30,9.14897369648839e-30,5.677290133379385e-30,1.1186885784120006e-33,3.4426813437978424e-37,8.632967911242681e-44,1.2812879541920157e-44,1.1482341532633511e-63
3.7927651649077774e-19,0.8515650809982247,5.906683258322179e-29,1.383221322312588e-22,4.4754827355981126e-33,1.0861446482602862e-44,0.0,0.0,2.478770123758447e-31,1.3921896298758207e-57,2.2880174331490682e-43,3.2875667400461886e-48,3.1509900097005023e-45,4.433020053325242e-55,1.3772967080907413e-36,2.0650463869962456e-44,2.3199555279897904e-57,4.812387951288674e-30,8.620297123804409e-51,3.500823691896882e-48,3.104030224684561e-28,1.1264103124292522e-44,6.5337169333481664e-49,6.660281512743785e-102,7.816478679084956e-62,2.2053308213444535e-46,1.2285221239751352e-55,1.1063933910013592e-83,4.818099908210961e-127,1.8032834414665703e-107,1.2196584634771191e-60,6.316701116745226e-75,2.5466154987135443e-59,1.630680705330709e-85,3.76,0.0,0.7935336156921406,0.9999999999980151,1.7691243199738687e-56,3.4201906348992515e-83,1.3820673002640149e-12,1.3248940692430361e-12,5.71732310209775e-14,6.891554186323757e-28,1.9848855532779636e-12,8.493264371082706e-32,1.3145645462486923e-32,4.275963992285724e-60,2.0165549221302228e-58,4.8123879512884924e-30,4.480579148701331e-30,3.6601852235394556e-29,2.2712857360129993e-29,4.4754828094685355e-33,1.3772967145050756e-36,6.907992431277964e-43,1.02528995241043e-43,1.8377001186345992e-62
7.585941915834535e-19,0.8515650809984368,2.3628655952086494e-28,2.766592751989947e-22,1.790338803969076e-32,8.689982301620624e-44,0.0,0.0,9.915887460346434e-31,2.227827153723828e-56,1.8305877490401794e-42,2.6303031298483962e-47,2.521031363031589e-44,3.5467527792020576e-54,5.5096352108422316e-36,1.6521941600129816e-43,3.7124683578424696e-56,1.9251118500286916e-29,6.896892702128877e-50,2.800924880202517e-47,1.241713141787729e-27,9.012138133950239e-44,5.2275566387570024e-48,8.527530573460546e-100,1.2508183577069625e-60,1.764488028339537e-45,1.9659210838291173e-54,7.082733056150741e-82,2.467881453904232e-124,2.3088446205053125e-105,1.951737168176003e-59,2.0216492964005094e-73,4.0751770294650046e-58,1.0438473362754902e-83,3.76,0.0,0.7935336156907584,0.9999999999960301,2.8309968150524437e-55,2.1893659900432255e-81,2.764284580698479e-12,2.6499319143228957e-12,1.1435266637557817e-13,2.7568460286137813e-27,3.969986501325185e-12,3.3975822484033807e-31,5.258686145685768e-32,6.842536740900447e-59,3.226956830318005e-57,1.925111850028547e-29,1.792377523900901e-29,1.4641932466227197e-28,9.085882360404289e-29,1.7903388630710268e-32,5.509635262162862e-36,5.527041262786028e-42,8.203358112620153e-43,2.9407406377724915e-61
1.5172295417688053e-18,0.8515650809988605,9.451846974864316e-28,5.533335617219337e-22,7.161646706339631e-32,6.952315985956554e-43,0.0,0.0,3.9665163830181836e-30,3.564782464013818e-55,1.46453972639811e-41,2.104342416809307e-46,2.0169208405029727e-43,2.837536924148187e-53,2.2039437624200636e-35,1.32181815271452e-42,5.9403810673867164e-55,7.700760761797532e-29,5.517776411212175e-49,2.2408462805378074e-46,4.967054678246351e-27,7.210052779306524e-43,4.1822786932583784e-47,1.0916756423251979e-97,2.0014548024410916e-59,1.411679778051219e-44,3.145702300138855e-53,4.533530160628746e-80,1.2638150487487842e-121,2.955732100714e-103,3.1230063934862256e-58,6.469765762736509e-72,6.520757144118931e-57,6.681300501188777e-82,3.76,0.0,0.793533615687994,0.9999999999920599,4.529913285653845e-54,1.4013363373634886e-79,5.52871914155778e-12,5.30000760456957e-12,2.28711536988187e-13,1.1027832833188568e-26,7.940188390011338e-12,1.3590882020485953e-30,2.1035600554788468e-31,1.0948854337590426e-57,5.163506162502175e-56,7.700760761796373e-29,7.16980182811323e-29,5.85701130725093e-28,3.634500831396792e-28,7.161647179177681e-32,2.2039438034789508e-35,4.421891953013498e-41,6.563101929313742e-42,4.7055214092910954e-60
3.0345002421395085e-18,0.8515650809997083,3.7808157073822334e-27,1.1066821371176802e-21,2.864717030168472e-31,5.561984979463228e-42,0.0,0.0,1.5866388336142247e-29,5.703859165694006e-54,1.1716595966385713e-40,1.683513919639833e-45,1.6135749780250604e-42,2.2700834194328584e-52,8.815954402593883e-35,1.05747965461305e-41,9.504955234776566e-54,3.0803669873709095e-28,4.4143264064276376e-48,1.7927195761494287e-45,1.9868622942943974e-26,5.76817913605506e-42,3.3459165212635522e-46,1.3974419592563892e-95,3.2024440422247096e-58,1.1293795679556448e-43,5.033306537063488e-52,2.9016452492160376e-78,6.471398247435674e-119,3.783600544086962e-101,4.996991791038899e-57,2.0704031738103355e-70,1.0433590797154501e-55,4.276249244792722e-80,3.76,0.0,0.793533615682465,0.9999999999841195,7.2481160797991535e-53,8.96900746614065e-78,1.1057588263237863e-11,1.060015898541074e-11,4.57429277827035e-13,4.411222874290176e-26,1.5880592137750475e-11,5.436463421331168e-30,8.414411435521954e-31,1.7518803422032895e-56,8.261910185384282e-55,3.0803669873699817e-28,2.8679790734110877e-28,2.3428521861894454e-27,1.453829909491506e-27,2.8647174084478906e-31,8.815954731074516e-35,3.537617143155033e-40,5.2506477506519e-41,7.529103387094827e-59
6.069041642880915e-18,0.8515650810014039,1.5123416643860864e-26,2.213379297308646e-21,1.1458985204995808e-30,4.4496410674485995e-41,0.0,0.0,6.346619896296398e-29,9.126340448218614e-53,9.37338809925115e-40,1.3468271623271706e-44,1.290875312183852e-41,1.816088285257127e-51,3.5264176267829836e-34,8.459937798225417e-41,1.520820530509803e-52,1.232159338950046e-27,3.531503836454975e-47,1.4341926818866022e-44,7.947530024346136e-26,4.614598074771584e-41,2.6767709818990566e-45,1.7887879359751875e-93,5.124003586415602e-57,9.035179564237963e-43,8.053436736711525e-51,1.857112479484772e-76,3.313526374769711e-116,4.843178344392226e-99,7.995332164217484e-56,6.625415448200077e-69,1.6694049521991913e-54,2.7368690561232e-78,3.76,0.0,0.7935336156714073,0.9999999999682386,1.15971899332282e-51,5.74031054136977e-76,2.2115326506443977e-11,2.1200461748484368e-11,9.14864757959252e-13,1.7645070946150825e-25,3.176139951469607e-11,2.1746074959913478e-29,3.3657988301547676e-30,2.803059471633576e-55,1.3219296964703848e-53,1.2321593389493037e-27,1.1472032936015664e-27,9.37150405849256e-27,5.815378784031869e-27,1.1458988231267064e-30,3.5264178895713156e-34,2.8301351483390066e-39,4.2005847267242474e-40,1.2046780762229107e-57
1.213812444436373e-17,0.8515650810047951,6.049397403019309e-26,4.426773655288474e-21,4.583617809381754e-30,3.559734418681103e-40,0.0,0.0,2.538660871304676e-28,1.4602277348503634e-51,7.498755110278171e-39,1.0774681916304398e-43,1.0327063933898073e-40,1.4528792439513432e-50,1.4105742197689298e-33,6.767990511716956e-40,2.4333351641131207e-51,4.928662502793004e-27,2.825221113433229e-46,1.1473609540249653e-43,3.179028179609899e-25,3.691700366578354e-40,2.1414324318785614e-44,2.289688532946054e-91,8.198480331057251e-56,7.228200918227852e-42,1.2885615766478686e-49,1.1885710528370118e-74,1.696569320677357e-113,6.199379493863963e-97,1.2792647851303727e-54,2.1201531706394473e-67,2.6710725025578606e-53,1.7516186045783737e-76,3.76,0.0,0.7935336156492918,0.999999999936477,1.8555668357658045e-50,3.6738456324220046e-74,4.4230802992239964e-11,4.240106728019679e-11,1.8297357120417696e-12,7.058064240708462e-25,6.352301379445663e-11,8.698474276157027e-29,1.346326393617511e-29,4.48493590876486e-54,2.1151068969142527e-52,4.928662502787067e-27,4.5888364685851884e-27,3.748620675275299e-26,2.3261633362175372e-26,4.583620230413119e-30,1.4105744300011436e-33,2.2641246937665975e-38,3.360494459756311e-39,1.9275021600341514e-56
2.4276290047329355e-17,0.8515650810115775,2.419765096293725e-25,8.853562521639728e-21,1.8334521175719913e-29,2.847796690509968e-39,0.0,0.0,1.0154669313734402e-27,2.336374987446297e-50,5.999022100829904e-38,8.619772197482116e-43,8.261675908911888e-40,1.1623068347568461e-49,5.642311184216888e-33,5.4144085960253045e-39,3.8933546291966745e-50,1.971470077629231e-26,2.2601856438881326e-45,9.178914867687896e-43,1.271614506118063e-24,2.953369056386493e-39,1.7131530685416994e-43,2.9308272854513577e-89,1.3117628514455005e-54,5.782583734466999e-41,2.0617078703803103e-48,7.606915995983167e-73,8.686548881906003e-111,7.93528367770837e-95,2.046833014867736e-53,6.784523663520883e-66,4.2737364324384146e-52,1.12104327704245e-74,3.76,0.0,0.7935336156050609,0.9999999998729538,2.9689204459434588e-49,2.351276516920709e-72,8.846175596136704e-11,8.480227836588225e-11,3.659477595479143e-12,2.8232328465812618e-24,1.2704624045745522e-10,3.4793985985824033e-28,5.385319380299169e-29,7.175930103743554e-53,3.3841869537279514e-51,1.9714700776244818e-26,1.8355392187608737e-26,1.4994520717314309e-25,9.30467693684411e-26,1.8334540544028142e-29,5.642312866081066e-33,1.811306387390823e-37,2.688406347505131e-38,3.0840172800988715e-55
4.855262125326061e-17,0.8515650810251418,9.679072543179105e-25,1.7707140855908738e-20,7.333820444594681e-29,2.278241862076414e-38,0.0,0.0,4.061872893511448e-27,3.738208473568281e-49,4.799225142034028e-37,6.895829731423764e-42,6.609350931288363e-39,9.298468329036942e-49,2.2569273083163942e-32,4.33153347524107e-38,6.229383746912375e-49,7.885890840370585e-26,1.808154473029847e-44,7.343142790499019e-42,5.0864644953686e-24,2.3626987509887685e-38,1.370526687210916e-42,5.405195131186972e-87,2.098825461464605e-53,4.626076336444905e-40,3.2987400351971906e-47,6.432801655887057e-71,1.3579576543850355e-107,1.4634715786377848e-92,3.2749404637047995e-52,2.1710536739587062e-64,6.83799708401216e-51,7.174703112819511e-73,3.76,0.0,0.793533615516599,0.9999999997459074,4.75028464606923e-48,1.5048222666024086e-70,1.7692366188976149e-10,1.6960470062629565e-10,7.318961263443236e-12,1.1292945509594966e-23,2.5409268619736256e-10,1.3917612407881076e-27,2.1541305794384875e-28,1.1481514435894108e-51,5.414713182046576e-50,7.885890840332589e-26,7.342165917552507e-26,5.9978158200742e-25,3.7218754505070807e-25,7.333835939264019e-29,2.2569286538107675e-32,1.4490477665723653e-36,2.1507295631862407e-37,4.934438765663335e-54
