Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71),CH2CFO(79),CH2F(46),C2H4F(63),C2H4F(62),C1OO1(734)
0.0,0.8515650809980129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7935336156935227,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.144825237259601e-23,0.8515650809980129,1.6301993818257235e-36,1.876317581841881e-26,1.235198981719388e-40,7.115445240250919e-56,0.0,0.0,6.841215866319588e-39,1.3255232286447333e-72,1.4989037499203337e-54,2.1537187739018075e-59,2.064245959786403e-56,2.9041170290587015e-66,3.801233524688711e-44,1.3512287420694563e-55,2.2088621111091327e-72,1.328182248902782e-37,5.647245141506318e-62,2.293425604794136e-59,8.566885900051608e-36,7.379229802432832e-56,3.533048008523848e-60,-6.804059737140397e-128,7.442178725503837e-77,9.63217572859084e-58,1.1696931062354068e-70,-1.4171949350456258e-105,3.616120915180471e-160,-1.8422116041898064e-133,1.1612538896472932e-75,1.4265361051974264e-93,2.424668235151016e-74,-1.6871539753200137e-107,3.76,0.0,0.7935336156935225,0.9999999999999997,1.822658600671323e-71,-3.538637710218772e-105,1.874752170734698e-16,1.7971975979768706e-16,7.75545727578274e-18,1.9020162219629967e-35,2.692465483603129e-16,2.3440759752361052e-39,3.628097555014971e-40,4.071205153080116e-75,1.9199901509382643e-73,1.3281822489027817e-37,1.2366055604795333e-37,1.0101831142523027e-36,6.268574834397399e-37,1.2351989817242274e-40,3.8012335246919784e-44,3.4686846801963103e-54,4.4781367443104156e-55,1.8203071473199166e-77
1.4405510664326882e-22,0.8515650809980129,9.846404266226825e-36,5.253689229158144e-26,7.460601849594793e-40,8.44745658924148e-55,0.0,0.0,4.132094383257044e-38,4.167657114575639e-71,1.7794985319058715e-53,2.5568949283784986e-58,2.4506728034589464e-55,3.447767736898304e-65,2.295945048911853e-43,1.6052186003861195e-54,6.945015895278495e-71,8.02222078337466e-37,6.704409432039759e-61,2.7227548780116023e-58,5.174399083631185e-35,8.76062162144827e-55,4.678749143293774e-59,1.1825133582896275e-125,2.339940066159654e-75,1.4556143961048797e-56,3.677702276900923e-69,4.228054149194155e-104,1.0986474264183412e-157,3.201676521025547e-131,3.651168029675981e-74,9.060991742911171e-92,7.623544878250608e-73,8.743150434798024e-106,3.76,0.0,0.7935336156935221,0.9999999999999993,5.438030814610957e-70,1.833788870918559e-103,5.249306078057152e-16,5.03215327433525e-16,2.1715280372190234e-17,1.148817798065564e-34,7.538903354087658e-16,1.4158218890427275e-38,2.1913709232293768e-39,1.2800520394110127e-73,6.036756232985314e-72,8.022220783374659e-37,7.469097585295315e-37,6.101506010083569e-36,3.786219199975822e-36,7.460601849652243e-40,2.2959450489163383e-43,4.802966834482348e-53,6.767360248004591e-54,5.573849861257976e-76
3.2926881518461445e-22,0.851565080998013,4.740619802348386e-35,1.200843252379417e-25,3.591958638854481e-39,8.293762972083227e-54,0.0,0.0,1.9894255739257537e-37,9.297813760120712e-70,1.74712221090853e-52,2.5103746028669886e-57,2.4060850907286555e-54,3.3850388090702433e-64,1.1053987089792845e-42,1.5764687914343105e-53,1.549394841761737e-69,3.8623539798120544e-36,6.582428937073066e-60,2.673216884948057e-57,2.4912504197350254e-34,8.601230257715742e-54,4.805847416331209e-58,3.074587607705696e-123,5.220277567681535e-74,1.5658835438463165e-55,8.204751469645389e-68,5.454509025175455e-102,1.576250105011517e-154,8.32450211794157e-129,8.145555023738325e-73,4.076084632060726e-90,1.7007709252821191e-71,9.176292044209114e-104,3.76,0.0,0.7935336156935214,0.9999999999999983,1.1947859353671354e-68,1.924636016781772e-101,1.1998413892702054e-15,1.150206462705206e-15,4.9634926564999456e-17,5.531063173467102e-34,1.7231779095052299e-15,6.816572935988353e-38,1.0550507689988441e-38,2.855725684362019e-72,1.346767107432727e-70,3.862353979812054e-36,3.596048969872881e-36,2.937612496245185e-35,1.822901561842453e-35,3.5919586389108885e-39,1.1053987089839537e-42,5.0157198858945915e-52,7.280017342499399e-53,1.2340935127876228e-74
6.996962322673057e-22,0.8515650809980133,2.070353214917824e-34,2.551791911308023e-25,1.5687027067985924e-38,7.335739424985992e-53,0.0,0.0,8.688344150226051e-37,1.7413776163721942e-68,1.5453098100207745e-51,2.220397907156595e-56,2.128155014704788e-53,2.9940284922771434e-63,4.827566576352674e-42,1.3945497519808222e-52,2.901845063786091e-68,1.6867914561093792e-35,5.822083851366131e-59,2.3644300615185867e-56,1.0879945093065722e-33,7.607690757116222e-53,4.335000978020989e-57,5.386381545524665e-121,9.777002144965599e-73,1.439316754773513e-54,1.5366591465205242e-66,4.681495392631902e-100,1.289599633031684e-151,1.4583726439507912e-126,1.525572307343675e-71,1.534708148451316e-88,3.185355715111635e-70,7.326295631172246e-102,3.76,0.0,0.7935336156935201,0.9999999999999964,2.224379009136194e-67,1.5366176635819617e-99,2.5496629521991836e-15,2.444188733248589e-15,1.0547421895059487e-16,2.4155606018916703e-33,3.661753057696392e-15,2.9769764885516555e-37,4.6076838948740355e-38,5.348458157526946e-71,2.5223457426305884e-69,1.6867914561093792e-35,1.5704890618073505e-35,1.2829325550998965e-34,7.961090039681488e-35,1.5687027068484841e-38,4.827566576395024e-42,4.555545624374711e-51,6.691590174307259e-52,2.3045163583376976e-73
1.4405510664326883e-21,0.8515650809980138,8.643317122432384e-34,5.253689229170836e-25,6.549025001210863e-38,6.166130998252396e-52,0.0,0.0,3.627212652322802e-36,3.0077967822536564e-67,1.2989260072262288e-50,1.8663782299897528e-55,1.788842520821693e-52,2.5166613515076013e-62,2.0154140147881649e-41,1.1722748420651868e-51,5.012215709842005e-67,7.042022283708122e-35,4.893812284211973e-58,1.9874459343049652e-55,4.5421629042075216e-33,6.39472247911158e-52,3.6772466656387482e-56,8.003682292741014e-119,1.6887339836740326e-71,1.2313657865351948e-53,2.6541965354715793e-65,3.4410477447323624e-98,8.242817383182731e-149,2.1670116029916873e-124,2.635046777901924e-70,5.3161015101076865e-87,5.501909855913452e-69,5.218615491441302e-100,3.76,0.0,0.7935336156935174,0.9999999999999926,3.8317592054892587e-66,1.0945527108462744e-97,5.249306078057132e-15,5.032153274335437e-15,2.171528037216936e-16,1.0084490008835791e-32,7.538903354071651e-15,1.2428290820717972e-36,1.9236173236734383e-37,9.238131399523683e-70,4.356725007351251e-68,7.04202228370812e-35,6.556482681647571e-35,5.355990871760958e-34,3.323598377194612e-34,6.549025001630234e-38,2.01541401482418e-41,3.876470954620739e-50,5.7247962763206e-51,3.975217304719496e-72
2.9222607347634536e-21,0.8515650809980143,3.5310770690033536e-33,1.0657483864918878e-24,2.675490402477459e-37,5.055366734463718e-51,0.0,0.0,1.481834721508421e-35,4.997499339120698e-66,1.0649380185325454e-49,1.5301696347923157e-54,1.4666011758879e-51,2.0633110262384585e-61,8.233623863801587e-41,9.611302926422591e-51,8.327871366108119e-66,2.876895878435017e-34,4.012242982725053e-57,1.629428253368954e-54,1.8556217534949132e-32,5.242779841234708e-51,3.0281270094435585e-55,1.1018552699912374e-116,2.8058567710382448e-70,1.0181170445895154e-52,4.409987240548936e-64,2.3557371272108357e-96,4.701638941474994e-146,2.9832932740651153e-122,4.378169631958593e-69,1.769009015014308e-85,9.141505513888549e-68,3.5206701187787406e-98,3.76,0.0,0.793533615693512,0.9999999999999848,6.358389039670669e-65,7.3842555152712726e-96,1.0648592329772988e-14,1.0208082356509467e-14,4.4050997326352253e-16,4.1198432174105553e-32,1.5293203946793908e-14,5.077362325414055e-36,7.858604428102656e-37,1.5349293488266365e-68,7.238763760191629e-67,2.8768958784350154e-34,2.67853710820846e-34,2.1880970327910364e-33,1.3577983834273684e-33,2.675490402821283e-37,8.233623864098519e-41,3.196971893435898e-49,4.733372267998249e-50,6.600727702918948e-71
5.885680071424984e-21,0.8515650809980161,1.427317808353455e-32,2.1465073136504596e-24,1.0814759981402079e-36,4.093967051050241e-50,0.0,0.0,5.989812869325474e-35,8.147185226474647e-65,8.624144177978048e-49,1.2391710426199072e-53,1.1876916564460288e-50,1.6709227639956182e-60,3.3281624100616918e-40,7.783596194925314e-50,1.3576532173545416e-64,1.1628873116801223e-33,3.249218392553335e-56,1.3195532453585574e-53,7.500719816019491e-32,4.2457390436786353e-50,2.4575605423681477e-54,1.4620553799987439e-114,4.5742546985111175e-69,8.279158722045537e-52,7.189392225391227e-63,1.5586270290218928e-94,2.5390167094839396e-143,3.958541653587169e-120,7.137521493106002e-68,5.771899614440637e-84,1.4902961185367884e-66,2.312936586838503e-96,3.76,0.0,0.7935336156935012,0.9999999999999692,1.0359305471510847e-63,4.851154516430725e-94,2.144716483320456e-14,2.055994052085885e-14,8.872243123457066e-16,1.6653064990988888e-31,3.080180513212538e-14,2.0523510319772305e-35,3.176573558129496e-36,2.5023222347573718e-67,1.1801011899219372e-65,1.1628873116801214e-33,1.0827075252563458e-33,8.844638053140671e-33,5.4884381590868555e-33,1.0814759984186451e-36,3.328162410302819e-40,2.5964930395752442e-48,3.849099718529391e-49,1.0757545988101002e-69
1.1812518744748043e-20,0.8515650809980195,5.739182131649795e-32,4.30802516800346e-24,4.348567423862839e-36,3.2951808501681085e-49,0.0,0.0,2.4084774106021603e-34,1.3157725902996375e-63,6.941461518144098e-48,9.97392660606317e-53,9.55957571960732e-50,1.344904007453714e-59,1.3382394672906538e-39,6.264960870279671e-49,2.1926135726918538e-63,4.675918734696461e-33,2.6152536390951117e-55,1.0620912504025074e-52,3.0160064486576652e-31,3.4173401533016833e-49,1.980177500962145e-53,1.9052137504335026e-112,7.387433556663317e-68,6.677441442521822e-51,1.1610887647806134e-61,1.0141279899592528e-92,1.3348544110774955e-140,5.158401040612556e-118,1.1527116276827507e-66,1.8649817405623205e-82,2.406832212500272e-65,1.4996901167993092e-94,3.76,0.0,0.7935336156934796,0.9999999999999383,1.672514016685204e-62,3.1454509062357775e-92,4.3044309840067115e-14,4.126365684956293e-14,1.7806529905041796e-15,6.6961241900017274e-31,6.181900750233616e-14,8.252413233948589e-35,1.2772862566585733e-35,4.0412570931918663e-66,1.905866574085368e-64,4.675918734696456e-33,4.35351933980635e-33,3.556390061022969e-32,2.2068768447326246e-32,4.348567426103944e-36,1.3382394674849984e-39,2.0928802565173069e-47,3.104438366288721e-48,1.7370827214067209e-68
2.3666196091394162e-20,0.8515650809980261,2.3016687259688597e-31,8.631060876852884e-24,1.7439700317082612e-35,2.6441751096589792e-48,0.0,0.0,9.659071634368547e-34,2.1150660102927488e-62,5.570085710527607e-47,8.003447966396584e-52,7.670957474161291e-49,1.0792007668775953e-58,5.36693880602544e-39,5.02725473030803e-48,3.5245622809681194e-62,1.8752525482485375e-32,2.098576344308907e-54,8.52261340277593e-52,1.2095534800974684e-30,2.7422002564596226e-48,1.5898147349036106e-52,2.460523836632025e-110,1.1875083684413733e-66,5.363684101589453e-50,1.866416278470977e-60,6.5440467178569e-91,6.92523566989598e-138,6.661913251656882e-116,1.8529502753192246e-65,5.996862819828648e-81,3.868912488259893e-64,9.660622410705991e-93,3.76,0.0,0.7935336156934364,0.9999999999998762,2.6881046581914724e-61,2.0262194952360147e-90,8.623859985378986e-14,8.267108950699232e-14,3.567510346797543e-15,2.6854452916375453e-30,1.2385341224094906e-13,3.309586805053187e-34,5.122489169544313e-35,6.496202747911354e-65,3.063624855356178e-63,1.8752525482485329e-32,1.7459559711398126e-32,1.4262714778925264e-31,8.850563197105244e-32,1.7439700335066066e-35,5.366938807585994e-39,1.6806024701777517e-46,2.4936537225346534e-47,2.792098928660431e-67
