Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71),CH2CFO(79),CH2F(46),C2H4F(63),C2H4F(62),C1OO1(734),CH2O2(778),CHO2(166),C2H2O(133),S(338),S(376),CH2F2(41),CH3O2(183),C2H2O(373),S(1537),CHF2(81),C2H3F2(64),CH2CF2(57),CH3F(39),C2H3F2(65),S(3087),CF2CH(73)
0.0,0.8620416526203852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5298080258779388,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5621421572067425e-23,0.8620416526203855,1.1173383188083055e-26,7.946798117241286e-26,5.156981913147288e-40,3.2527205022965446e-42,0.0,0.0,8.603821070401543e-22,9.018798657673686e-40,1.2819119361628968e-53,1.190629678655242e-53,4.782285935039122e-56,4.052933166244044e-65,2.2546377332248284e-43,1.0121517382953602e-37,4.3010936157689866e-23,2.0210937394925047e-37,3.546729262181674e-61,2.7227347983470046e-58,2.258123318181053e-35,2.715044319502994e-55,3.436279427816537e-23,2.0161379132677633e-58,1.0075183758443993e-41,8.13329590416039e-55,2.630786373833777e-53,9.713942551268395e-61,6.826251674421622e-62,8.17792897418691e-62,3.1645294982652697e-58,2.3715022754418253e-75,2.0756693398982378e-69,5.026586768620904e-80,3.76,0.0,0.5298080258779386,0.9999999999999997,2.1052831477139237e-54,1.5716011575734443e-39,2.4169929767750927e-16,2.322952995879848e-16,9.403998089524494e-18,3.5285010002241556e-35,2.598690210668317e-16,6.209272714697478e-39,1.3546090391304968e-39,1.699148616996766e-54,1.243256485962591e-68,2.020717518267115e-37,1.8627682090566148e-37,1.5034858979891718e-36,9.578516376253795e-37,3.712492758582909e-40,1.4029589978251934e-43,8.450544251529728e-37,9.182946071922753e-38,6.478704791024525e-59,1.084865962753917e-57,2.8901734700019666e-52,8.695581325956407e-68,4.420699713824082e-41,1.0122565927368343e-60,3.436279427816548e-23,4.5394337815163036e-42,4.1102071163236896e-60,9.853507983205935e-59,4.3010936157689866e-23,2.0882551139497017e-22,1.1914916174250306e-35,6.471877097330707e-43,6.515677690283468e-22,1.4620812471052724e-39,6.196110205759238e-58
9.973998040178879e-23,0.8620416526203852,3.128547297311645e-26,2.2251034728278047e-25,3.1148170755479716e-39,1.9646431857921696e-41,0.0,0.0,2.4090698997124303e-21,5.4473543892349015e-39,1.5218895395214968e-52,1.4135155545015548e-52,5.677529862079713e-55,4.811642254964792e-64,1.3618011908677573e-42,6.113396499303933e-37,1.2043062124153151e-22,1.2207406186536664e-36,4.2106769800740375e-60,3.232430752597566e-57,1.363906484181358e-34,3.2233006161139576e-54,9.621582397886265e-23,2.393558930631472e-57,6.085410990100129e-41,9.681467698225824e-54,3.975333433803939e-52,1.4679709996812026e-59,1.031583153038593e-60,1.2358486265791203e-60,3.7569294203608994e-57,5.318401580466012e-74,5.852260943869108e-68,1.4175778941424083e-78,3.76,0.0,0.5298080258779382,0.9999999999999993,2.499392153177043e-53,9.49247099174359e-39,6.767580334970257e-16,6.504268388463584e-16,2.6331194650667195e-17,2.131214604135261e-34,7.276332589870573e-16,3.7504007196775055e-38,8.181838596349054e-39,2.0174908227041191e-53,2.781516182718549e-67,1.2205133810335313e-36,1.1251119982700839e-36,9.081054823854196e-36,5.785423891257041e-36,2.2423456261880494e-39,8.473872346875262e-43,5.1041287279237556e-36,5.546499427441282e-37,7.691518327904467e-58,1.2879528709814115e-56,3.431213943586106e-51,2.734021764378496e-66,2.6701026271560873e-40,1.2018165446066883e-59,9.621582397886327e-23,2.7418180040358346e-41,5.738887232269367e-59,1.1698084677687177e-57,1.2043062124153154e-22,5.847114319058981e-22,7.196609369247061e-35,3.909013766788239e-42,1.824389753279352e-21,8.830970732515584e-39,7.356022036277253e-57
2.279770980612315e-22,0.8620416526203855,7.150965272911883e-26,5.085950795036133e-25,1.499650340353738e-38,9.458911256754194e-41,0.0,0.0,5.506445485056974e-21,2.6226666496514994e-38,1.4942017910421972e-51,1.3877979534469096e-51,5.57423248588548e-54,4.724098898573635e-63,6.556486528217216e-42,2.9433372549628456e-36,2.7526999140921454e-22,5.877340594447084e-36,4.134067628035453e-59,3.173619680953276e-56,6.5666226092705305e-34,3.1646556588126976e-53,2.1992188338025567e-22,2.350010351704852e-56,2.929863436955449e-40,9.516548403035627e-53,4.2763752654603015e-51,1.5791762172680942e-58,1.109730082207368e-59,1.3294695574756013e-59,3.6885755832070275e-56,1.0521229361284383e-72,1.2728822036703387e-66,3.0835415575178265e-77,3.76,0.0,0.5298080258779373,0.9999999999999984,2.4539180372767854e-52,4.5702161662235566e-38,1.5468755051360568e-15,1.4866899173631095e-15,6.018558777294704e-17,1.0260880908649912e-33,1.663161734827222e-15,1.8056565054343638e-37,3.939203085792741e-38,1.980899078110935e-52,5.496189499306175e-66,5.876246543123652e-36,5.416929951934961e-36,4.3721369913519063e-35,2.7854325622142253e-35,1.0795928942018626e-38,4.0798047656921237e-42,2.457418268344545e-35,2.6704007177150448e-36,7.551578304418652e-57,1.264519766185846e-55,3.3687861966335827e-50,6.099447058297736e-65,1.2855394767895424e-39,1.1799793196421814e-58,2.1992188338025864e-22,1.3200673436649206e-40,6.0109914829418045e-58,1.1485248905302506e-56,2.7526999140921463e-22,1.3364832729276792e-21,3.4648576234718005e-34,1.8820218599044935e-41,4.170033721781286e-21,4.2517322665817363e-38,7.2221860558326e-56
4.84451333380117e-22,0.8620416526203857,1.51958012984866e-25,1.0807645439456689e-24,6.549367029805588e-38,4.1309550751949795e-40,0.0,0.0,1.1701196655746027e-20,1.1453874295245485e-37,1.321605204846474e-50,1.2274915735197633e-50,4.930345507596035e-53,4.178411977070073e-62,2.8633899211949276e-41,1.285432707635044e-35,5.849487317445795e-22,2.5667890491584474e-35,3.656536000214989e-58,2.8070306677038444e-55,2.8678166140899657e-33,2.7991020916348215e-52,4.673340021830357e-22,2.078557543062421e-55,1.279548337322321e-39,8.421737630509344e-52,3.9306868265952354e-50,1.4515350176145901e-57,1.0200331352054636e-58,1.222011570754768e-58,3.262503331561003e-55,1.873248589879554e-71,2.359626296755905e-65,5.71636637099776e-76,3.76,0.0,0.5298080258779355,0.9999999999999966,2.1704627142741614e-51,1.9959334701182555e-37,3.287110448414113e-15,3.1592160743966283e-15,1.2789437401748446e-16,4.481196270282684e-33,3.5342186865064063e-15,7.885776347669253e-37,1.720353479697018e-37,1.7521283241637598e-51,9.780486032267223e-65,2.5663112482022024e-35,2.3657156255001692e-35,1.9094270904456236e-34,1.2164715797838412e-34,4.714865803461774e-38,1.7817579272549213e-41,1.0732191199439666e-34,1.1662341511340948e-35,6.6792854913556195e-56,1.1184534129605271e-54,2.9796532406317383e-49,1.142358560946655e-63,5.614288636654684e-39,1.0436897471744252e-57,4.673340021830486e-22,5.765080902525494e-40,5.466185690241091e-57,1.0158572590528987e-55,5.849487317445796e-22,2.8400269549709437e-21,1.5131943541295926e-33,8.21928391361741e-41,8.86132165878485e-21,1.8568431838232872e-37,6.3879417777287645e-55
9.973998040178879e-22,0.8620416526203865,3.128547364713299e-25,2.2251034728313405e-24,2.7342318104483566e-37,1.7245924438681587e-39,0.0,0.0,2.4090698997124002e-20,4.781767048298501e-37,1.1108890618915026e-49,1.0317806294720038e-49,4.1442524747446004e-52,3.5122070349348214e-61,1.1954089261552602e-40,5.366428516441429e-35,1.2043062124153054e-21,1.0715839006815912e-34,3.0735388310762705e-57,2.359478412490771e-54,1.19725698329962e-32,2.352813966572209e-51,9.621582397885714e-22,1.7471528574310277e-54,5.34186242872641e-39,7.080745593641721e-51,3.362770533334614e-49,1.2418187776341623e-56,8.726598225560338e-58,1.0454566265452265e-57,2.742330630751244e-54,3.1603491357932857e-70,4.055531251305501e-64,9.824973253993212e-75,3.76,0.0,0.5298080258779321,0.9999999999999928,1.8244046915575446e-50,8.332629337454243e-37,6.767580334970203e-15,6.504268388463732e-15,2.6331194650647034e-16,1.8708112303170542e-32,7.276332589860194e-15,3.292156393335701e-36,7.182137125481428e-37,1.472787479142753e-50,1.649646817833607e-63,1.0713844281878893e-34,9.87639704440258e-35,7.971482231132967e-34,5.0785293826862455e-34,1.9683636606559776e-37,7.43848860662115e-41,4.4804785621582845e-34,4.868798007332591e-35,5.6143419126269654e-55,9.401274854666846e-54,2.5045780863254828e-48,1.9731400438207917e-62,2.343854988357793e-38,8.772886401728868e-57,9.621582397886254e-22,2.4068077909597544e-39,4.653945639634339e-56,8.538892362414158e-55,1.204306212415306e-21,5.84711431905628e-21,6.317288555585742e-33,3.4313892370113844e-40,1.8243897532790753e-20,7.751954772148467e-37,5.369449966546243e-54
2.0232967452934297e-21,0.8620416526203875,6.346481953441362e-25,4.513781330608928e-24,1.1170229103980382e-36,7.045523000855572e-39,0.0,0.0,4.886970367987945e-20,1.9535078644466785e-36,9.107740713171566e-49,8.459160976224356e-49,3.397708563996739e-51,2.8795195258493504e-60,4.883635515669703e-40,2.1923611512168003e-34,2.4430211737567387e-21,4.377769883512894e-34,2.5198728292319852e-56,1.9344429562412537e-53,4.8911854321131107e-32,1.9289790408283497e-50,1.951806714999546e-21,1.4324214710512754e-53,2.1823251028134995e-38,5.805926464205151e-50,2.7803979192642044e-48,1.0267597963088578e-55,7.215320168756544e-57,8.64403755976435e-57,2.2483283357290965e-53,5.191555464111064e-69,6.721695919932664e-63,1.6284172639604264e-73,3.76,0.0,0.5298080258779251,0.9999999999999853,1.4957571920439697e-49,3.404150971350251e-36,1.3728520108082292e-14,1.3194373016598205e-14,5.34147091484086e-16,7.642874306510347e-32,1.4760560396549445e-14,1.3449533070969513e-35,2.9341373631279683e-36,1.2074873399059884e-49,2.709569776766851e-62,4.376954973289847e-34,4.03483045153179e-34,3.256610594475705e-33,2.074744961159099e-33,8.041407815269247e-37,3.0388653077778054e-40,1.830421687055995e-33,1.9890628509620356e-34,4.6029767042241464e-54,7.70773312695426e-53,2.053404435401589e-47,3.278401467856286e-61,9.575412408878718e-38,7.192560297111944e-56,1.951806714999766e-21,9.832595148113969e-39,3.8391785759558215e-55,7.000699857114034e-54,2.4430211737567413e-21,1.1861289047222182e-20,2.5808185030058147e-32,1.4018344667958343e-39,3.7009049280797684e-20,3.1669264644767815e-36,4.40219949107618e-53
4.075090627844513e-21,0.8620416526203898,1.278235160689262e-24,9.091137046189075e-24,4.5151852007723925e-36,2.847913164007951e-38,0.0,0.0,9.842771304538822e-20,7.896391127128281e-36,7.375684967710833e-48,6.850447877450733e-48,2.751552486688725e-50,2.3319095686157624e-59,1.974043558045745e-39,8.861874301606304e-34,4.920451096439536e-21,1.7695645814437253e-33,2.0406583494230236e-55,1.5665620597847295e-52,1.9770953549869688e-31,1.5621372394217803e-49,3.931103665421109e-21,1.160012045291592e-52,8.82130698933398e-38,4.702070386645777e-49,2.2609711230546515e-47,8.349440412643947e-55,5.86737853222773e-56,7.029187787056708e-56,1.8207545781232072e-52,8.416272721944266e-68,1.094449996671986e-61,2.651455374915371e-72,3.76,0.0,0.5298080258779112,0.9999999999999704,1.2113029542606953e-48,1.3760122503110056e-35,2.7650399654306104e-14,2.6574582272868208e-14,1.075817381437894e-15,3.089371993731771e-31,2.972901600985465e-14,5.436516306829468e-35,1.1860252350006384e-35,9.77857419256372e-49,4.392345313583227e-61,1.769235181702274e-33,1.6309429798922423e-33,1.3163740710087073e-32,8.386450856171768e-33,3.2504656101769637e-36,1.2283579447335137e-39,7.398857118319026e-33,8.0401100673739e-34,3.7276098753133106e-53,6.2419221226772925e-52,1.6629001498895012e-46,5.344621638718078e-60,3.87053479365384e-37,5.824728984648043e-55,3.931103665421996e-21,3.974492168537716e-38,3.11847785353833e-54,5.669348250113058e-53,4.920451096439548e-21,2.3889638503534918e-20,1.0432081026520177e-31,5.6664390488598404e-39,7.453935277679202e-20,1.280122311737958e-35,3.56501528260076e-52
8.17867839294668e-21,0.8620416526203944,2.5654092817775677e-24,1.8245848477449267e-23,1.8155361110027908e-35,1.1451334532423385e-37,0.0,0.0,1.9754373177639748e-19,3.175104142628166e-35,5.936593093513673e-47,5.513836427824369e-47,2.2146888209768756e-49,1.8769236923657464e-58,7.93754232529662e-39,3.563320680735136e-33,9.875310941804848e-21,7.115341353783305e-33,1.642499373195225e-54,1.2609054335338507e-51,7.949813466590616e-31,1.2573439531550675e-48,7.88969756626268e-21,9.336786128173309e-52,3.5470087428918837e-37,3.7847474054357093e-48,1.823554209407125e-46,6.73412660598614e-54,4.7322533466258805e-55,5.669294600075153e-55,1.4655016865436225e-51,1.355457764635802e-66,1.7664435753148368e-60,4.279459665561065e-71,3.76,0.0,0.5298080258778833,0.9999999999999404,9.749619985929242e-48,5.532884739282736e-35,5.549415874675226e-14,5.333500078541244e-14,2.1591579613398137e-15,1.2422228911227856e-30,5.966592723617187e-14,2.1859992963175528e-34,4.768955306685418e-35,7.870658671689692e-48,7.073749473360884e-60,7.11401685191044e-33,6.557949990624093e-33,5.293082243275035e-32,3.372155004305789e-32,1.306997925942591e-35,4.9391732710602935e-39,2.975047905912373e-32,3.232892896399889e-33,3.0003047223861337e-52,5.024041959272031e-51,1.3384467096683182e-45,8.631578079254331e-59,1.5563250175491092e-36,4.6882514934430014e-54,7.889697566266255e-21,1.5981258205168687e-37,2.513781665493849e-53,4.563184694519877e-52,9.875310941804893e-21,4.79463374160841e-20,4.194693898799515e-31,2.278450219661065e-38,1.4959995976870263e-19,5.147315513663157e-35,2.869434448753878e-51
1.6385853923151015e-20,0.8620416526204034,5.139758285546393e-24,3.655527134036922e-23,7.281111825724627e-35,4.592498087530485e-37,0.0,0.0,3.9577576923838263e-19,1.2733587711973619e-34,4.763742148505091e-46,4.424506484932444e-46,1.777148302657679e-48,1.5061130585922734e-57,3.18330948768899e-38,1.4290509663862036e-32,1.9785030632534344e-20,2.853570124348137e-32,1.3180023064981556e-53,1.011797201360549e-50,3.188230764201123e-30,1.0089393376507594e-47,1.5806885367939622e-20,7.49218285760014e-51,1.4225091497417474e-36,3.037066241421075e-47,1.464777546871029e-45,5.409217404568214e-53,3.801203238986257e-54,4.553885732244538e-54,1.175972809381505e-50,2.175844283838358e-65,2.838624905166472e-59,6.876976799241343e-70,3.76,0.0,0.5298080258778276,0.9999999999998805,7.823456029535846e-47,2.2189342447702943e-34,1.1118167693163873e-13,1.0685583781051786e-13,4.325839121120874e-15,4.981869391128893e-30,1.195397496876336e-13,8.766834890385584e-34,1.9125643747464098e-34,6.315712481899914e-47,1.1354944707378353e-58,2.853038939857312e-32,2.6300312576868284e-32,2.122762718429938e-31,1.3523849800374466e-31,5.241646253403399e-35,1.980829391965458e-38,1.1931272725343064e-31,1.2965346461232616e-32,2.407555587129991e-51,4.0314772691882346e-50,1.0740191920693973e-44,1.3875009552611417e-57,6.24155940576523e-36,3.762027713690837e-53,1.5806885367953952e-20,6.409199319511544e-37,2.018654177811943e-52,3.6616683391065864e-51,1.9785030632534527e-20,9.605973524087728e-20,1.682259865684639e-30,9.137604442759832e-38,2.9972117375221155e-19,2.064303740283666e-34,2.302540434450299e-50
