Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71),CH2CFO(79),CH2F(46),C2H4F(63),C2H4F(62)
5.102228282707227e-20,0.8229776712233986,8.819054093729462e-31,2.1219106475221595e-23,7.262740230800212e-35,2.422145236172822e-47,0.0,0.0,3.914788691455915e-33,3.3842602401582084e-61,4.927765405267144e-46,7.348785313297268e-51,7.150173280839802e-48,1.0386487284602736e-57,2.1939096020593157e-38,4.684438420801773e-47,5.5755150248368846e-61,7.434708065143104e-32,2.0288404661768468e-53,8.396551058957646e-51,4.819365851015484e-30,2.4770680929880176e-47,1.5061154342254678e-51,3.495602524250424e-108,2.002064063827961e-65,5.043236250885121e-49,2.8883784537862292e-59,3.974653232676398e-89,3.781236228795126e-135,1.025174766801013e-113,3.085693553407298e-64,2.151395037557616e-79,6.246908920766544e-63,6.209249902680354e-91,3.76,0.0,0.5841555021594255,0.9999999999997263,4.486909294547872e-60,1.271147757249217e-88,1.4741803635396791e-13,1.413409841853869e-13,6.077052168581009e-15,1.0436608626813238e-29,2.735620700527266e-13,1.3657382404019023e-33,2.167325155349923e-34,1.0504902086978534e-63,4.821394461089049e-62,7.434708065143065e-32,6.917308832807681e-32,5.461647310421586e-31,3.3965546702209223e-31,7.262740246065491e-35,2.1939096032710663e-38,1.171324709748685e-45,1.7846310586589558e-46
1.0208889430994566e-19,0.8229776712234214,3.5299199492022995e-30,4.2456648319784903e-23,2.9069888191960674e-34,1.9391889585303927e-46,0.0,0.0,1.5669356999616096e-32,5.421117906186592e-60,3.945208617130203e-45,5.883496630012758e-50,5.724486236858267e-47,8.315505256332356e-57,8.781355901376693e-38,3.7504025113442525e-46,8.931205703507867e-60,2.97582076729536e-31,1.624306000776609e-52,6.722346309678361e-50,1.9290023033967075e-29,1.983160637837643e-46,1.2059698107376405e-50,4.484338930772995e-106,3.207030363200143e-64,4.038679245570238e-48,4.626783711645825e-58,2.549003654910106e-87,1.942374641759153e-132,1.3151469882500671e-111,4.942855274253581e-63,6.892782697303939e-78,1.0006686081649691e-61,3.98037530197305e-89,3.76,0.0,0.5841555021592779,0.9999999999994525,7.187067059268828e-59,8.148560963239296e-87,2.949641509323466e-13,2.828047667935922e-13,1.2159384138754345e-14,4.1773633092429517e-29,5.47361813448115e-13,5.46651217844394e-33,8.674948834509731e-34,1.6827403558475326e-62,7.723208621168988e-61,2.975820767295329e-31,2.7687262355984215e-31,2.1860822704633052e-30,1.3595070357373992e-30,2.906988831417573e-34,8.781355911079566e-38,9.379420140330068e-45,1.4291522467059193e-45
2.0422211727569241e-19,0.8229776712234668,1.412427772954028e-29,8.493173201839547e-23,1.1631741822256777e-33,1.551940528489021e-45,0.0,0.0,6.269783828132925e-32,8.678833172074812e-59,3.1573659240850693e-44,4.708585424023139e-49,4.5813287788812895e-46,6.654931456435226e-56,3.5136861848929566e-37,3.0014632074406014e-45,1.4298239916359305e-58,1.1907159258422594e-30,1.2999384699389114e-51,5.3799201060293165e-49,7.718521855464246e-29,1.587131233275835e-45,9.652070382171716e-50,5.746341556545369e-104,5.134232825936205e-63,3.232580294333556e-47,7.407159307143371e-57,1.6330364246745467e-85,9.961329117343308e-130,1.6852615190658747e-109,7.913167924448864e-62,2.207022378286438e-76,1.6020009300861595e-60,2.5495079452914973e-87,3.76,0.0,0.5841555021589828,0.999999999998905,1.1505721157628864e-57,5.219312082800574e-85,5.90056380088955e-13,5.657323320112508e-13,2.4324048077703867e-14,1.6714894503172306e-28,1.0949613001016062e-12,2.1873169177727833e-32,3.471109498814693e-33,2.693950412786069e-61,1.2364320500821903e-59,1.1907159258422345e-30,1.1078511373462712e-30,8.747176585295632e-30,5.439798982516282e-30,1.1631741920065963e-33,3.5136861926588023e-37,7.507066772349769e-44,1.1439010405871623e-44
4.0848856320718595e-19,0.8229776712235578,5.650630808806221e-29,1.6988189945355231e-22,4.653454156194818e-33,1.2417882209031975e-44,0.0,0.0,2.508321795073624e-31,1.3890170015468328e-57,2.526372455051949e-43,3.76758374641843e-48,3.665759088988153e-45,5.3249562812176606e-55,1.4057032712747053e-36,2.401627143499289e-44,2.288383472672017e-57,4.763639053569176e-30,1.0401482973608956e-50,4.304753482802093e-48,3.0879113421612295e-28,1.2699461273503298e-44,7.723381531630877e-49,7.359408039550431e-102,8.2171607028607e-62,2.586719155092017e-46,1.1854900313675125e-55,1.0456793234842062e-83,5.104395821145157e-127,2.1583345166945462e-107,1.2664749478218187e-60,7.064603446583759e-75,2.5639466653951074e-59,1.632347095687019e-85,3.76,0.0,0.5841555021583926,0.9999999999978098,1.8414286618327844e-56,3.341714987285518e-83,1.1802408384015755e-12,1.1315874624515598e-12,4.865337595001429e-14,6.687046208643903e-28,2.1901602728594466e-12,8.750691968012151e-32,1.3886698250808697e-32,4.3115737460441516e-60,1.978866409008574e-58,4.763639053568979e-30,4.432125937232634e-30,3.499440215587784e-29,2.176273811161417e-29,4.6534542344570254e-33,1.4057032774888014e-36,6.007066017044289e-43,9.153525869320144e-44
8.17021455070173e-19,0.8229776712237395,2.2604362795752114e-28,3.397822344756091e-22,1.8615331669765527e-32,9.935249109460007e-44,0.0,0.0,1.0034103766181428e-30,2.222750210623553e-56,2.0212898726644854e-42,3.0143532007228873e-47,2.932885729524525e-44,4.2603695137725993e-54,5.623270711203948e-36,1.9214843662656622e-43,3.6619457281080344e-56,1.9056107040432257e-29,8.32197673263262e-50,3.4441297803801886e-47,1.2352650640279302e-27,1.016053368481415e-43,6.179395503231963e-48,9.422661333483674e-100,1.314936799306708e-60,2.0696373247887198e-45,1.8970597287628636e-54,6.694063400687749e-82,2.614525233079202e-124,2.7634363512795026e-105,2.026654430259377e-59,2.261014269493053e-73,4.1029109282805594e-58,1.0449140428422205e-83,3.76,0.0,0.5841555021572122,0.9999999999956194,2.9466965569952983e-55,2.139131389001023e-81,2.3606097550244318e-12,2.2632977233521465e-12,9.731203167228063e-14,2.6750361797207335e-27,4.3805582161785585e-12,3.5005616678842566e-31,5.555131386497928e-32,6.899520627612833e-59,3.1666464454880776e-57,1.9056107040430676e-29,1.7729946618434705e-29,1.3998900103637176e-28,8.705803729714679e-29,1.861533229592264e-32,5.623270760922399e-36,4.8062179204716516e-42,7.323747835793963e-43
1.634087238796147e-18,0.8229776712241029,9.042113039943476e-28,6.795829051266949e-22,7.446435753707204e-32,7.948576723050548e-43,0.0,0.0,4.013804829540849e-30,3.5566587647931294e-55,1.6171086685756498e-41,2.4115970643461436e-46,2.3464199764786678e-43,3.4084574138379893e-53,2.2493998120664282e-35,1.537260558980412e-42,5.8595389879775e-55,7.622753004702219e-29,6.657897838411572e-49,2.755434628971984e-46,4.941261317673544e-27,8.128812834936073e-43,4.943792701817488e-47,1.2062683073043236e-97,2.104051764232277e-59,1.6558146679213154e-44,3.0355161258076194e-53,4.2847496966225604e-80,1.3389120990230164e-121,3.537690401301378e-103,3.242882723769828e-58,7.235791657938244e-72,6.565134612651578e-57,6.688128120956301e-82,3.76,0.0,0.5841555021548515,0.9999999999912386,4.715043111481574e-54,1.3691829328633452e-79,4.721347588260605e-12,4.52671824523319e-12,1.946293430273954e-13,1.070058012119497e-26,8.761354094030511e-12,1.4002816461248056e-30,2.2221429773498103e-31,1.104003518107351e-57,5.067002536132132e-56,7.622753004700955e-29,7.092267224395876e-29,5.599787895599523e-28,3.482463192589704e-28,7.446436254656678e-32,2.2493998518434615e-35,3.8452003927753067e-41,5.859369162291782e-42
3.268218806248095e-18,0.8229776712248301,3.6169187987656216e-27,1.3591842488567548e-21,2.978634972534285e-31,6.359012482161622e-42,0.0,0.0,1.6055545970721158e-29,5.690860774736417e-54,1.2937176484899623e-40,1.929323480156085e-45,1.8771805452385335e-42,2.7268306517806985e-52,8.997782299533749e-35,1.229837676714791e-41,9.375603215270743e-54,3.0491632504947175e-28,5.3264453253105744e-48,2.2044000264840552e-45,1.976544740158571e-26,6.503204627017374e-42,3.9551449596340915e-46,1.544130768870723e-95,3.366605146750916e-58,1.3246936611040077e-43,4.857002252717076e-52,2.742415547821769e-78,6.855934682660469e-119,4.528558952528258e-101,5.188800890238795e-57,2.3155407454416357e-70,1.0504597345538316e-55,4.280619149971724e-80,3.76,0.0,0.58415550215013,0.999999999982477,7.544331998945693e-53,8.76321524868347e-78,9.4428232546948e-12,9.053559289314762e-12,3.8926396537995326e-13,4.280319125916975e-26,1.7522945814589323e-11,5.601240550922289e-30,8.88875277649069e-31,1.7664698070470652e-56,8.107498777649676e-55,3.049163250493705e-28,2.8369646004670647e-28,2.23996072809968e-27,1.3930136165969387e-27,2.978635373303376e-31,8.997782617759115e-35,3.076250739879039e-40,4.687643715637973e-41
6.536481941151991e-18,0.8229776712262843,1.446782233914658e-26,2.71838694602843e-21,1.1914661655817804e-30,5.087270628820071e-41,0.0,0.0,6.422283719866388e-29,9.10554264498891e-53,1.0349864118186555e-39,1.5434771573597818e-44,1.501762271206489e-41,2.1814904066207355e-51,3.5991495246645537e-34,9.838818371199305e-41,1.5001238336518526e-52,1.2196777178739659e-27,4.261207835209087e-47,1.7635409508566572e-44,7.906259388015726e-26,5.202625446245971e-41,3.1641607280769775e-45,1.976556149480418e-93,5.386666130222161e-57,1.0597717034480802e-42,7.771344756762454e-51,1.7552022042088556e-76,3.5104191706353936e-116,5.7967582831748845e-99,8.302232305090448e-56,7.409870583599196e-69,1.6807662124141546e-54,2.739665875272503e-78,3.76,0.0,0.584155502140687,0.9999999999649538,1.2071141983256337e-51,5.608600189341423e-76,1.8885774587410572e-11,1.8107241378755847e-11,7.78533208654382e-13,1.712145062350654e-25,3.504612911512657e-11,2.2405190190181253e-29,3.555537299033122e-30,2.826403038934502e-55,1.2972234238045398e-53,1.2196777178731558e-27,1.1347973778527613e-27,8.959934038686973e-27,5.572111137340462e-27,1.1914664862008573e-30,3.599149779248498e-34,2.4610367633736955e-39,3.7501743658407145e-40
1.3073008210959784e-17,0.8229776712291926,5.78715834636454e-26,5.4367923792180004e-21,4.765889353570355e-30,4.069841081727491e-40,0.0,0.0,2.5689265547081804e-28,1.456900056141098e-51,8.279940585558527e-39,1.2347891416605817e-43,1.201416965667785e-40,1.7452026739504066e-50,1.439667126285867e-33,7.871101540739679e-40,2.4002201554813442e-51,4.8787357697014644e-27,3.408988102211168e-46,1.4108411327167907e-43,3.162519841143969e-25,4.162125055302924e-40,2.531347191469322e-44,2.5300360555432915e-91,8.618744235042352e-56,8.478240783991154e-42,1.2434264496740696e-49,1.1233474303108956e-74,1.7973810474921132e-113,7.419983133190499e-97,1.328369255988328e-54,2.371181230715729e-67,2.689250703508898e-53,1.753408602962088e-76,3.76,0.0,0.5841555021218011,0.9999999999299074,1.931399696854339e-50,3.58954994624709e-74,3.777167725223164e-11,3.621460556274977e-11,1.5570716894804914e-12,6.848615044253676e-25,7.009249515387963e-11,8.962121714867593e-29,1.4222221690901054e-29,4.5222859541161834e-54,2.0755765059802785e-52,4.878735769694984e-27,4.5392125502172e-27,3.5839918294193464e-26,2.2288557822380275e-26,4.7658919185381815e-30,1.439667329954503e-33,1.9688438804677686e-38,3.0001633111506256e-39
2.614606075057537e-17,0.8229776712350094,2.314869206106569e-25,1.0873603400982037e-20,1.9063609500869485e-29,3.2558832109210465e-39,0.0,0.0,1.0275732355517232e-27,2.3310506774328674e-50,6.623972374635393e-38,9.878343859351575e-43,9.611364554627602e-40,1.396166269845621e-49,5.758683101354116e-33,6.296900066927031e-39,3.840370397525003e-50,1.951499337727153e-26,2.7272011416928358e-45,1.1286762551696941e-42,1.2650111539641247e-24,3.3297099240592826e-39,2.0250863243750817e-43,3.238474873430892e-89,1.3790053868294763e-54,6.782619582074271e-41,1.9894913385048616e-48,7.189481449538002e-73,9.202711814588866e-111,9.497670196140287e-95,2.1254005324696125e-53,7.587817525679151e-66,4.302821748451426e-52,1.1221888979123851e-74,3.76,0.0,0.5841555020840293,0.9999999998598147,3.0902534716840787e-49,2.2973269455220294e-72,7.554348257943193e-11,7.242933395118467e-11,3.11414862824172e-12,2.7394529532698303e-24,1.4018522498209993e-10,3.584857846761385e-28,5.688903269404668e-29,7.23569044268505e-53,3.320938054985867e-51,1.9514993377219694e-26,1.8156895985556106e-26,1.4336003654493858e-25,8.915445728093023e-26,1.9063630020672814e-29,5.758684730709448e-33,1.5750808940206472e-37,2.4001402738916513e-38
