Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71),CH2CFO(79),CH2F(46),C2H4F(63)
0.0,0.7193165462532586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7117551607215538,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8210634613538063e-22,0.7193165462532586,1.8107214934797978e-37,3.901222499445815e-28,2.977875000446376e-42,2.5190316035119106e-57,0.0,0.0,4.4617316757079665e-40,1.6288079643984996e-74,2.1567494031599437e-55,6.374397408908748e-61,1.6665815362732473e-57,2.965569502222873e-69,3.533382214616049e-46,2.589028530105115e-57,4.278877002568039e-74,2.1475047565602645e-38,2.3264154713262472e-64,1.3531230428947757e-62,2.4875245188290714e-37,1.021895728404926e-57,4.187970052566104e-62,-2.3177434673457744e-130,1.2498193311360908e-79,1.2877619723675833e-59,1.086779417464832e-72,2.1211592366645474e-112,1.2615169007383914e-162,-6.002389867557554e-137,3.115143200836352e-78,1.510802593115214e-95,2.186806195145025e-76,-2.136626134756752e-110,3.76,0.0,0.7117551607215536,0.9999999999999997,3.783380225757068e-73,-1.177041660055254e-107,3.289349721874556e-17,3.1484878795380985e-17,1.408618423364578e-18,1.3816476878661799e-36,3.6458844748835815e-16,8.059536149568931e-41,4.64219914943398e-42,3.8194666082191545e-77,4.398573279100857e-75,2.1475047565602645e-38,2.0474080061539782e-38,1.1519380938099396e-37,6.632451313455634e-38,2.977875000714176e-42,3.533382214623126e-46,8.652485936721146e-56
5.098977691790658e-22,0.7193165462532586,1.0936757820616514e-36,1.0923422998451038e-27,1.798636500290592e-41,2.9905943196956774e-56,0.0,0.0,2.6948859321276545e-39,5.1212328493432545e-73,2.560492891434044e-54,7.567684603873938e-60,1.978565599865066e-56,3.5207241130385073e-68,2.1341628576277995e-45,3.074765760623411e-56,1.345347391657896e-72,1.2970928729634485e-37,2.7619204478272787e-63,1.606427676524682e-61,1.5024648093727683e-36,1.2131946087623314e-56,5.31429919290263e-61,4.028128377957865e-128,3.9296319481945567e-78,1.946065892642362e-58,3.417008373215781e-71,1.6455198407979996e-110,3.8327321704752625e-160,1.0431869316760283e-134,9.794508646364196e-77,8.739174628157545e-94,6.875668566632446e-75,1.1072400025487288e-108,3.76,0.0,0.7117551607215536,0.999999999999999,9.648217365452809e-72,6.099652107951989e-106,9.210179221248758e-17,8.815766062706738e-17,3.9441315854201866e-18,8.34515203471027e-36,1.0208476529668402e-15,4.8679598343409015e-40,2.803888286259604e-41,1.2009014130953835e-75,1.3829818161403212e-73,1.2970928729634485e-37,1.2366344357163656e-37,6.95770608661109e-37,4.0060005933266725e-37,1.7986365006085247e-41,2.134162857636464e-45,1.0559285791241909e-54
1.1654806152664361e-21,0.7193165462532586,5.2655781030370554e-36,2.496782399647251e-27,8.659660501612536e-41,2.9361832370726255e-55,0.0,0.0,1.2974715712959411e-38,1.1425188768259793e-71,2.513907104331125e-53,7.429997619878194e-59,1.942567438684615e-55,3.4566678117894675e-67,1.027507548009905e-44,3.019292602042242e-55,3.0013960234043124e-71,6.244943832092874e-37,2.7116698742087736e-62,1.5772002187981638e-60,7.233721300755076e-36,1.191121661028791e-55,5.367622321506154e-60,1.0473313900935862e-125,8.766792707690587e-77,2.0934888832400876e-57,7.623157711274338e-70,1.793855864317814e-108,5.4988928578253355e-157,2.7123326685833046e-132,2.185100999490881e-75,3.9195822719254225e-92,1.5339238342580486e-73,1.162093424152686e-106,3.76,0.0,0.7117551607215535,0.9999999999999977,2.0111092296668905e-70,6.40183301536161e-104,2.1051838219997156e-16,2.015032242904427e-16,9.015157909528874e-18,4.017831476312663e-35,2.3333660639215544e-15,2.3437131122965108e-39,1.3499515126575793e-40,2.679144991143649e-74,3.0853563541576704e-72,6.244943832092874e-37,5.953862481886206e-37,3.349835976797884e-36,1.9287168419521008e-36,8.659660504734018e-41,1.0275075480185268e-44,1.0492954979621338e-53
2.4766463074411768e-21,0.7193165462532586,2.2996162967170738e-35,5.305662599255956e-27,3.7819012508917425e-40,2.5970208219964213e-54,0.0,0.0,5.666399228149782e-38,2.139811411281452e-70,2.2235223646983133e-52,6.571748752802289e-58,1.7181789006457233e-54,3.057383534008517e-66,4.487395412557814e-44,2.670716511650568e-54,5.621282581173656e-70,2.7273310408476294e-36,2.3984412960615615e-61,1.3950157323028246e-59,3.1591561389130597e-35,1.0535336201563613e-54,4.807177445519759e-59,1.834823785078132e-123,1.641923250183193e-75,1.9242769600727925e-56,1.4277330722000304e-68,1.46761189214243e-106,4.498886432716286e-154,4.751745761101521e-130,4.0924523422476645e-74,1.4746976466021604e-90,2.872869579084331e-72,9.278083059880133e-105,3.76,0.0,0.7117551607215533,0.999999999999995,3.6642845718205753e-69,5.111184455320227e-102,4.473515621749396e-16,4.2819435161720333e-16,1.9157210557736135e-17,1.7546925635877873e-34,4.9584028858219794e-15,1.0235610909971652e-38,5.8955929198034594e-40,5.0177420617751216e-73,5.778530988604349e-71,2.7273310408476294e-36,2.600208167805666e-36,1.462961379137155e-35,8.423213168080408e-36,3.781901253652657e-40,4.487395412634531e-44,9.33085481797827e-53
5.0989776917906574e-21,0.7193165462532586,9.600445358409461e-35,1.0923422998491013e-26,1.578869325528981e-39,2.1829524831696067e-53,0.0,0.0,2.3656101344609623e-37,3.6959920794728354e-69,1.8690045248179258e-51,5.523950804408109e-57,1.4442328940469452e-53,2.569915081508544e-65,1.873399250185318e-43,2.2449720547342624e-53,9.7093677456615e-69,1.1386070219427143e-35,2.016034427964724e-60,1.172594779003974e-58,1.3188854998832983e-34,8.855584879040886e-54,4.064343438550604e-58,2.7263844041220937e-121,2.836014097241564e-74,1.6462594523372327e-55,2.4660538300830928e-67,1.05629227975075e-104,2.8755823394834277e-151,7.060670153013236e-128,7.068693700259233e-73,5.106494338014348e-89,4.962167766208401e-71,6.608899016546116e-103,3.76,0.0,0.7117551607215529,0.9999999999999898,6.250034431855483e-68,3.6407630435799593e-100,9.21017922124875e-16,8.815766062707648e-16,3.944131585411019e-17,7.325496041046136e-34,1.0208476529586827e-14,4.2731660665185734e-38,2.4612939890498856e-39,8.66690158768137e-72,9.980975264579039e-70,1.138607021942714e-35,1.0855357248539414e-35,6.107575773367083e-35,3.5165256863867533e-35,1.578869327849696e-39,1.8733992502499834e-43,7.862952126193e-52
1.0343640460489619e-20,0.7193165462532587,3.922095183719685e-34,2.215894379703171e-26,6.450196368441584e-39,1.78971633419927e-52,0.0,0.0,9.664289278855543e-37,6.1409461182834356e-68,1.532322829969237e-50,4.528868612685635e-56,1.1840693834309187e-52,2.1069716515449455e-64,7.653447212112134e-43,1.8405931353324243e-52,1.613225972840303e-67,4.6515812030221517e-35,1.6528668304961294e-59,9.613640450200318e-58,5.388077608765577e-34,7.260343515740741e-53,3.3415941105296415e-57,3.753373652796713e-119,4.7120798388296314e-73,1.3611591507342702e-54,4.097385321628966e-66,7.16002719053042e-103,1.6402098071373777e-148,9.720321640268412e-126,1.1744740304397606e-71,1.6989766090489913e-87,8.244715960874117e-70,4.4586065649350444e-101,3.76,0.0,0.7117551607215519,0.9999999999999792,1.0322053560326272e-66,2.4561927737708976e-98,1.8683506420247448e-15,1.788341115578048e-15,8.000952644669646e-17,2.992704157808429e-33,2.0708623816972493e-14,1.7457277681556996e-37,1.0055189045808867e-38,1.4400186613370732e-70,1.6583539683312593e-68,4.65158120302215e-35,4.4347676375744204e-35,2.4951439887048914e-34,1.4366154842934582e-34,6.450196387468207e-39,7.653447212643024e-43,6.454404985205757e-51
2.0832965997887544e-20,0.719316546253259,1.5853735821590217e-33,4.4629985394395427e-26,2.6072725029263977e-38,1.4493586890659938e-51,0.0,0.0,3.9064602452069214e-36,1.0011292067581698e-66,1.240914755903962e-49,3.667595221695007e-55,9.588900857986054e-52,1.7062802703418908e-63,3.093645731214015e-42,1.4905717734446094e-51,2.6299654939557053e-66,1.880243494697438e-34,1.338534417306425e-58,7.785375287033392e-57,2.1779471174126242e-33,5.8796144161645866e-52,2.7098592707280195e-56,4.9803638407184394e-117,7.681879405111394e-72,1.1068720158269044e-53,6.679772200885363e-65,4.7145266577097025e-101,8.857592344800942e-146,1.289792674386923e-123,1.91468909160886e-70,5.542942418534431e-86,1.344096788103229e-68,2.929122555186262e-99,3.76,0.0,0.71175516072155,0.9999999999999583,1.6777847872686935e-65,1.6136184138144852e-96,3.76301608182448e-15,3.601870134193258e-15,1.6114594763122154e-16,1.2096988698016836e-32,4.1708918391167754e-14,7.056510756801695e-37,4.0644681810274015e-38,2.347593860236798e-69,2.703535516321976e-67,1.880243494697437e-34,1.7926039849101262e-34,1.0085770941499e-33,5.807029482541745e-34,2.607272518334649e-38,3.093645731644231e-42,5.230088655778041e-50
4.181161707268339e-20,0.7193165462532596,6.374717446539957e-33,8.957206859025217e-26,1.0483728070581928e-37,1.1665699644806888e-50,0.0,0.0,1.570770483363068e-35,1.6168263430685347e-65,9.987961527640811e-49,2.951999708466686e-54,7.717981626420603e-51,1.373362804586559e-62,1.2439413421612102e-41,1.199746526351699e-50,4.247401301007101e-65,7.5603763964765965e-34,1.0773689561614578e-57,6.2663473433479265e-56,8.75742956952554e-33,4.7324251970237394e-51,2.1826283077988256e-55,6.489944094286198e-115,1.2406255759483284e-70,8.927323799712704e-53,1.0787849946914142e-63,3.0602534320415878e-99,4.65676188007489e-143,1.6807371142520463e-121,3.092227997511282e-69,1.7909291093743726e-84,2.170719904970865e-67,1.8992203137994368e-97,3.76,0.0,0.7117551607215462,0.9999999999999163,2.705660476953315e-64,1.0462576461563603e-94,7.552346961423929e-15,7.228928171426245e-15,3.234187899976821e-16,4.8641459509254305e-32,8.370950753725392e-14,2.837391939696747e-36,1.6343047794673377e-37,3.791370356035776e-68,4.366217083637836e-66,7.560376396476588e-34,7.207981781482615e-34,4.055444136706981e-33,2.3349810146653674e-33,1.0483728194600948e-37,1.243941342507601e-41,4.210886278357835e-49
8.376891922227508e-20,0.7193165462532605,2.5565468122222005e-32,1.7945623498648289e-25,4.2044438591794664e-37,9.360989287490442e-50,0.0,0.0,6.299492182569216e-35,2.5990011252621675e-64,8.014710107188577e-48,2.3687938563565173e-53,6.193194194327476e-50,1.1020371592911553e-61,4.988761148336001e-41,9.627229032442084e-50,6.827573551774036e-64,3.0320490814160772e-33,8.645207486292719e-57,5.028349102267383e-55,3.512120942993325e-32,3.7974731828841926e-50,1.752020470809936e-54,8.381559372968598e-113,1.9942693797599423e-69,7.170911964854688e-52,1.7341153718102112e-62,1.972418185919755e-97,2.41593190083451e-140,2.1706193007818785e-119,4.970666194553407e-68,5.758628414182677e-83,3.489368855100648e-66,1.223429437107657e-95,3.76,0.0,0.7117551607215387,0.9999999999998322,4.346100825776873e-63,6.739725736494816e-93,1.5131008720622745e-14,1.4483044245902503e-14,6.479644747202445e-16,1.9507400805195212e-31,1.677106858202089e-13,1.1379210733135853e-35,6.5542931267969694e-37,6.09451711935472e-67,7.0185664521844266e-65,3.0320490814160697e-33,2.890723079035824e-33,1.626414482961548e-32,9.364318214422278e-33,4.204443958696917e-37,4.988761151116029e-41,3.3794730631519077e-48
