Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71),CH2CFO(79),CH2F(46),C2H4F(63),C2H4F(62),C1OO1(734),CH2O2(778),CHO2(166),C2H2O(133),S(338),S(376),CH2F2(41),CH3O2(183),C2H2O(373),S(1537),CHF2(81),C2H3F2(64),CH2CF2(57),CH3F(39),C2H3F2(65),S(3087),CF2CH(73),C2HF2(72),C2HF(58),C2HF(4088),S(3189),S(4414),CF2(43),CF2O(49),S(4555),S(5169),C2F(4087),F(37),C2H3F2(66),S(4570),CHF3(42),CHO2(165),S(459),C2H2F2(59),CHF2O(616),CHFO2(172),S(4185),S(3185),CFO(51),C#CC(5436),CFO3(6311),C3H4(6313),S(3720),C3H4(6745),C2H2F3(67),C2H2F3(68),S(3125),C2H4(456),S(1075),S(4373),C3H3(4302),C3H3(8085),CHF(40),CF(50),S(7024),S(1340),S(8723),CHO3(1596),S(1341),S(5297),S(3358),S(5795),C3H5(1339),S(1542),CFO2(168),S(7021)
0.0,0.48893214308255667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5291206180457969,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.364301713522511e-21,0.48893214308255667,3.7930704817373615e-30,2.3732396665416308e-33,8.488339574129448e-40,1.8492824302292189e-44,0.0,0.0,9.629989326708388e-24,1.39234267905385e-41,4.989477683036871e-55,5.80288573850659e-55,3.7726315325252265e-54,7.812969970334341e-73,5.851020794576791e-51,2.2599493736085848e-41,7.795381863378997e-28,4.963749432823763e-41,3.815206238575874e-72,2.8771551419866416e-71,3.197446931505735e-42,8.684849834517356e-64,3.0400254268395656e-29,2.4563906912521723e-62,1.8990732283374103e-46,4.2609796899562803e-63,9.029571655752009e-41,1.098320060077852e-50,7.091728648544275e-68,8.4901199742771e-70,9.13499878836861e-62,3.1608853047701493e-69,1.0713480848460563e-54,7.203632435922202e-68,3.76,0.0,0.5291206180457969,0.9999999999999993,3.336630988913507e-53,2.2002976143072977e-25,1.333462150484844e-19,1.3067899046799827e-19,2.6672245804861574e-21,1.7780662456865778e-40,5.499999682960907e-16,2.1161086107659126e-45,5.611830953500505e-48,1.6573167256489457e-48,2.7281452524396914e-59,4.963221375055666e-41,4.93214500138074e-41,1.8348369473640615e-41,8.071013225565864e-42,2.7521945794532744e-47,4.769097462020094e-49,2.4262273425404773e-31,2.4232152467293035e-44,3.0761858310415266e-60,9.78318939692746e-59,1.4176423443586095e-53,1.1590598266660398e-73,6.066550685581719e-49,4.117438658092341e-57,3.040025426841827e-29,1.46021667828409e-43,8.717112567725092e-70,8.906544746424918e-64,7.795381863378534e-28,1.2894689080320196e-24,2.2383085718793533e-37,1.0468101574027473e-34,8.340524211746318e-24,8.483826344692179e-38,4.673674299178371e-62,6.706164233427846e-78,1.306013089613174e-57,1.8586247161667598e-80,1.0259943105866462e-63,2.335818419103001e-78,2.200297614307298e-25,1.1252032664276088e-43,8.682946987033714e-83,1.271962971165105e-82,1.3674234268758584e-85,2.4262273434396283e-31,1.0330136596490413e-39,3.5887571469832596e-64,6.879786481979731e-50,1.1969662145913547e-57,6.340967754848226e-68,8.84646819575489e-55,2.892170452136593e-45,2.8219397117559376e-86,8.6523146004097e-66,8.487119888511114e-40,2.0183172926036025e-64,8.416365681245889e-83,1.4328060096331076e-81,7.988504361652944e-87,2.0713385413024704e-85,1.9932331034510265e-84,3.8093467186727966e-73,1.8204042289494207e-62,2.1910796761762736e-59,6.347072066368763e-75,1.255996689539056e-59,3.4858392654349665e-63,2.136789298797502e-84,1.2957128201223642e-104,1.046810157402751e-34,3.405329468104916e-44,1.898280173024541e-92,5.367371167541604e-90,2.1991721824916226e-93,3.8119664160015765e-104,4.15066105321981e-90,1.3577332640941624e-92,4.523821095635185e-54,1.545719490926489e-54,5.994413484809009e-68,5.100136809716838e-43,1.0055624160175389e-80,2.0279281264114294e-90
1.502004479786303e-20,0.48893214308255667,1.0620597379716479e-29,6.645071067999148e-33,5.126957102773915e-39,1.1169665905828188e-43,0.0,0.0,2.696397011478417e-23,8.409749781485433e-41,5.92350790529593e-54,6.889185950287572e-54,4.478868155408359e-53,9.27555794876922e-72,3.5340165599213726e-50,1.3650094216576813e-40,2.1827069217462675e-27,2.998104657477714e-40,4.529413604531428e-71,3.4157585845662597e-70,1.9312579466295624e-41,1.031065372353826e-62,8.51207119514346e-29,2.9162270286545985e-61,1.1470402299158039e-45,5.0647949847398135e-62,5.4538612800670335e-40,6.633875762090726e-50,1.0717020333681469e-66,1.2830256162732649e-68,1.0845070562333136e-60,4.776763268754655e-68,1.2719044463276998e-53,8.556330285492467e-67,3.76,0.0,0.5291206180457969,0.9999999999999984,3.961248310037932e-52,6.160833320060433e-25,3.733694021357563e-19,3.6590117331040646e-19,7.468228825349918e-21,1.0739520123931264e-39,1.539999911202623e-15,1.2781296009097317e-44,3.3895458959480075e-47,1.0010193022724518e-47,3.238854043624412e-58,2.9977857105853515e-40,2.9790155808018134e-40,1.10824151620637e-40,4.874891988235365e-41,1.6623256478706807e-46,2.880534867060148e-48,6.7934365591270685e-31,1.4636220090245228e-43,3.234772122867569e-59,1.1614602451742e-57,1.6830249912049757e-52,3.621229148523709e-72,3.664199389740029e-48,2.4869332149530043e-56,8.51207119515712e-29,8.819708736836275e-43,1.0961113045332146e-68,1.057385725802769e-62,2.182706921745989e-27,3.61051294248955e-24,1.3519383774150868e-36,2.931068440727695e-34,2.3353467792888778e-23,5.124231112193656e-37,5.5485861588609516e-61,1.5001421211112285e-76,1.550498739986882e-56,4.157669145071577e-79,1.218060445533423e-62,5.225132370816905e-77,6.160833320060436e-25,6.796227729222935e-43,1.9423405092147535e-81,2.8453302879351745e-81,3.0588715089806628e-84,6.7934365645579365e-31,6.239402504280022e-39,4.2605724848938284e-63,4.155391035149747e-49,1.4210382899600845e-56,7.528249071343017e-67,1.050252704200005e-53,1.7468709530886814e-44,8.872629965204541e-85,1.0272027893606136e-64,5.1262204126605725e-39,2.396252591680641e-63,2.6461475094425927e-81,3.2052655662250288e-80,2.5117135873586895e-85,6.512619788021718e-84,5.6232642752092804e-83,5.757948289883945e-72,2.161183900608754e-61,2.601249791556396e-58,7.535267473852596e-74,1.491119270875819e-58,4.138388375921821e-62,6.718407441833431e-83,7.46264243907385e-103,2.9310684407277187e-34,2.056818998732769e-43,5.968500695374118e-91,1.6875874018898547e-88,6.914567199867721e-92,2.319005196118091e-102,1.3050342664441832e-88,4.268931296408658e-91,5.370680404617956e-53,1.8350781796221896e-53,9.058757658244222e-67,3.0804826330126734e-42,2.2495102599482556e-79,6.376130499848079e-89
3.433153096654407e-20,0.48893214308255667,2.4275651299082172e-29,1.5188733877644495e-32,2.4684091481564346e-38,5.377713347972128e-43,0.0,0.0,6.163193169093845e-23,4.048932510688862e-40,5.815735187330318e-53,6.763843621554176e-53,4.39737931429408e-52,9.106797797385409e-71,1.7014768470584162e-49,6.571932778425203e-40,4.9890443925635986e-27,1.4434583351428421e-39,4.447006741581544e-70,3.3536120334987504e-69,9.298175676820157e-41,1.0123060967111127e-61,1.9456162731721962e-28,2.863168989723594e-60,5.5225049480053115e-45,4.975349044489776e-61,2.625799437481917e-39,3.1939486335371453e-49,1.152888142936995e-65,1.3802199577838133e-67,1.0647754590146421e-59,5.138716596954771e-67,1.2487633276917965e-52,8.409505325654982e-66,3.76,0.0,0.5291206180457969,0.9999999999999964,3.8891770806769776e-51,1.4081904731566706e-24,8.534157763103002e-19,8.3634553899526815e-19,1.7070237315032156e-20,5.1706166424330734e-39,3.5199997969099644e-15,6.153643840212057e-44,1.6319204413271317e-46,4.819477037894463e-47,3.179926106020532e-57,1.4433047759432311e-39,1.4342677663532822e-39,5.3357058429118466e-40,2.3470506459849297e-40,8.003383665258006e-46,1.3868535419554594e-47,1.5527854992355178e-30,7.0467099374891656e-43,2.959688661750097e-58,1.1403285560158779e-56,1.652403916529941e-51,8.063376719297763e-71,1.7641571028393252e-47,1.1973515599710988e-55,1.945616273178773e-28,4.2463101004506886e-42,1.1029929356997719e-67,1.0381491295151695e-61,4.989044392562258e-27,8.252601011404186e-24,6.50900132702451e-36,6.699585007377601e-34,5.337935495517002e-23,2.4670967010358534e-36,5.447634806966055e-60,2.9640280422558236e-75,1.522288857247293e-55,8.214853603467595e-78,1.1958989684351549e-61,1.0323981054710466e-75,1.4081904731566719e-24,3.27209109877175e-42,3.837737533852804e-80,5.62189316961528e-80,6.043814637795405e-83,1.5527855018502468e-30,3.0040037222591295e-38,4.183055330509126e-62,2.0006419090097195e-48,1.39518381971909e-55,7.391390874226351e-66,1.0311443328971176e-52,8.410431674785903e-44,1.9794349374846102e-83,1.0085137898236744e-63,2.46805446357882e-38,2.3527015850221073e-62,5.90336465063514e-80,6.333195593250706e-79,5.603494844148773e-84,1.4529296488363174e-82,1.2232924789252045e-81,6.1976433587619134e-71,2.121863169263447e-60,2.553922470550828e-57,7.39822010119735e-73,1.463989744597383e-57,4.06309424778302e-61,1.4988397424751295e-81,3.346562096570301e-101,6.699585007377718e-34,9.902698093210098e-43,1.3315432040890293e-89,3.7649149106278747e-87,1.5426172456400346e-90,1.0469097992089747e-100,2.911459838393796e-87,9.523756743115677e-90,5.272965868699953e-52,1.801690638606127e-52,9.744998113987084e-66,1.483119784181212e-41,4.444755747616857e-78,1.4224796403740802e-87
7.295450330390615e-20,0.48893214308255667,5.158575963144341e-29,3.227605952385647e-32,1.0780191259140167e-37,2.3485887286188533e-42,0.0,0.0,1.3096785484325784e-22,1.7682752023986636e-39,5.143951912066496e-52,5.9825430909476395e-52,3.88943220473583e-51,8.054859520539663e-70,7.430796409065873e-49,2.8701357044533917e-39,1.0601719334200641e-26,6.303961780486429e-39,3.933329958349086e-69,2.9662318651806956e-68,4.06075760301381e-40,8.953732785389175e-61,4.134434580476182e-28,2.5324405470534694e-59,2.4118229999886386e-44,4.4017205635475274e-60,1.1467556002693796e-38,1.394901505090648e-48,1.0597028284956456e-64,1.2686597682312523e-66,9.417818355946845e-59,4.7235408383040214e-66,1.1045170215428806e-51,7.453854748572218e-65,3.76,0.0,0.5291206180457969,0.9999999999999925,3.4399330843289637e-50,2.992404755457925e-24,1.813508524659388e-18,1.7772342703651726e-18,3.627425429421548e-20,2.2581441319976757e-38,7.479999567901755e-15,2.6874579357800414e-43,7.127025311447493e-46,2.104792241271734e-46,2.8126086289865536e-56,6.303291147114244e-39,6.263824151255068e-39,2.330242923128753e-39,1.0250186796369203e-39,3.495289005051168e-45,6.056753776765682e-47,3.29966918590311e-30,3.077483363346576e-42,2.5246472181532494e-57,1.0086076938766624e-55,1.4615325512255997e-50,1.509039771211012e-69,7.704562393230507e-47,5.229151210488348e-55,4.134434580504904e-28,1.8544751814213687e-41,9.862378893080881e-67,9.182339123079271e-61,1.0601719334194791e-26,1.7536777149231763e-23,2.8426518862861075e-35,1.4236618140677458e-33,1.1343112927971782e-22,1.0774459457752529e-35,4.818371299631974e-59,5.2743295390636634e-74,1.3464472548553696e-54,1.461789306935212e-76,1.0577590944746609e-60,1.8370972678978872e-74,2.9924047554579305e-24,1.4290081483633354e-41,6.82904889201169e-79,1.0003858518076506e-78,1.0754645228124792e-81,3.29966919732232e-30,1.3119273477539902e-37,3.699865068223283e-61,8.737328832626537e-48,1.2340242885770588e-54,6.5376471207763926e-65,9.120354851093725e-52,3.6730564741852555e-43,3.7072625715867656e-82,8.920190260436699e-63,1.0778642258406922e-37,2.0809564078924427e-61,1.1056315267395117e-78,1.1269689458132515e-77,1.0494725692012526e-82,2.7211764334312362e-81,2.267861768779017e-80,5.7033216883740793e-70,1.8767639438776987e-59,2.2589155029501938e-56,6.543730508068094e-72,1.2948823539155705e-56,3.593760849076082e-60,2.8071609582547997e-80,1.2590603015109033e-99,1.4236618140677963e-33,4.3247684244529446e-42,2.493846145769786e-88,7.051269886735275e-86,2.8892082410518104e-89,3.9529322251797275e-99,5.452842726069164e-86,1.7836964061124555e-88,4.663878595973969e-51,1.593574966328217e-51,8.957332182086388e-65,6.477173747467792e-41,7.909288649783573e-77,2.66414694094545e-86
1.5020044797863032e-19,0.48893214308255667,1.062059782706853e-28,6.645071092396551e-32,4.500517642199623e-37,9.804895825125033e-42,0.0,0.0,2.6963970114794e-22,7.382200884345975e-39,4.323801528408882e-51,5.0286879529189175e-51,3.269302123915846e-50,6.770594768633917e-69,3.1022112252426275e-48,1.1982251578607125e-38,2.182706921748425e-26,2.631779950002287e-38,3.3062056357479115e-68,2.4932966115599865e-67,1.6952863630857144e-39,7.526151908986609e-60,8.512071195037287e-28,2.12866887078831e-58,1.0068886256646105e-43,3.7003515516942236e-59,4.787478891779587e-38,5.823608217658753e-48,9.065980803573092e-64,1.0853650791299096e-65,7.916243799254968e-58,4.041389422492889e-65,9.284131087400753e-51,6.291897285910641e-64,3.76,0.0,0.5291206180457969,0.9999999999999846,2.8914710288942264e-49,6.160833320060434e-24,3.7336940213575634e-18,3.659011733105707e-18,7.468228825185758e-20,9.427307234411738e-38,1.5399999108193762e-14,1.121960785524282e-42,2.975392771994896e-45,8.787093276668869e-46,2.3641670245898914e-55,2.6314999737676083e-38,2.615023279283432e-38,9.72830549471181e-39,4.2792512121055224e-39,1.4592152662559532e-44,2.528575474363199e-46,6.793436559326178e-30,1.2847887238162017e-41,2.0836738312367845e-56,8.477955396918517e-55,1.2285061731361942e-49,2.6056000521938547e-68,3.216523893781287e-46,2.1830696797605265e-54,8.512071195157197e-28,7.742068828267418e-41,8.332161837326522e-66,7.7183558070425e-60,2.182706921745983e-26,3.6105129424880135e-23,1.1867512048098293e-34,2.931068440727735e-33,2.3353467792875475e-22,4.4981247279499094e-35,4.050131408118529e-58,8.895927684062553e-73,1.1317700472271574e-53,2.4655213257378963e-75,8.891102537039299e-60,3.098533058196988e-73,6.160833320060459e-24,5.965827718601629e-41,1.151818911131747e-77,1.6872969583228081e-77,1.8139281109039564e-80,6.793436606999129e-30,5.477038423456584e-37,3.109959523405865e-60,3.647662793204763e-47,1.037271770072698e-53,5.495306720018223e-64,7.666207794946721e-51,1.533428773697427e-42,6.403374168220687e-81,7.497957395678388e-62,4.499870964886622e-37,1.7491765828057403e-60,1.9097007486881658e-77,1.9008063505300967e-76,1.8127028777991809e-81,4.700155579966485e-80,3.897944901309461e-79,4.890692022668336e-69,1.5775331783399122e-58,1.8987545900986378e-55,5.500548848868567e-71,1.0884266476687278e-55,3.0207725339673042e-59,4.8486724651576316e-79,4.3597260848886654e-98,2.9310684407279462e-33,1.8055056839529585e-41,4.307544103687874e-87,1.2179318405058202e-84,4.9905845188776134e-88,1.3714558363268354e-97,9.418432076717591e-85,3.0808994366361745e-87,3.9202709789210023e-50,1.3394957792572647e-50,7.663186266029017e-64,2.7040925357265347e-40,1.3340238095955229e-75,4.6016513256710995e-85
3.046923373280786e-19,0.48893214308255667,2.154464234472467e-28,1.3480001415492397e-31,1.838608305111508e-36,4.0056200369491227e-41,0.0,0.0,5.469833937574775e-22,3.0158699365398833e-38,3.5449137260145765e-50,4.1228222202633933e-50,2.6803714040427433e-49,5.550942653310497e-68,1.2673545081529624e-47,4.895140740986273e-38,4.427776898408956e-26,1.0751679827557654e-37,2.7106350122414547e-67,2.0441552007902488e-66,6.92579795153031e-39,6.170394045925312e-59,1.7267344423972056e-27,1.745211349028609e-57,4.113468575508942e-43,3.0339659854748517e-58,1.955841338837733e-37,2.379272102324357e-47,7.495928247289004e-63,8.97400812022812e-65,6.490214954062733e-57,3.341996824209311e-64,7.611691588865386e-50,5.201907737062342e-63,3.76,0.0,0.5291206180457969,0.9999999999999687,2.3706026448067145e-48,1.2497690449265451e-23,7.574065014753915e-18,7.422566658589672e-18,1.5149835616424343e-19,3.8513626106219614e-37,3.123999818201148e-14,4.583575896076175e-42,1.2155450322309843e-44,3.589814318120151e-45,1.938286962965704e-54,1.075053603325855e-37,1.0683223354992232e-37,3.974330221288583e-38,1.7482137486346927e-38,5.961377942153494e-44,1.0330055866635231e-45,1.3780971306523843e-29,5.248781153028286e-41,1.692717794862017e-55,6.950740047866679e-54,1.0072035837711342e-48,4.3285372742474796e-67,1.3140719278744034e-45,8.918568185072716e-54,1.726734442446192e-27,3.1628877338348515e-40,6.8480179343382565e-65,6.328050664484803e-59,4.42777689839898e-26,7.324183397614973e-23,4.848265899028434e-34,5.945881694047784e-33,4.737417752265937e-22,1.8376307215607224e-34,3.3205424278517933e-57,1.4611587937229135e-71,9.278934633634263e-53,4.049626180938913e-74,7.289463038169012e-59,5.089349852747703e-72,1.2497690449265551e-23,2.437235283214929e-40,1.8918660202853158e-76,2.771390319955302e-76,2.9793823689838304e-79,1.3780971501283414e-29,2.2375489073439794e-36,2.5497327130794927e-59,1.4901892715306483e-46,8.504180663974871e-53,4.505396335745538e-63,6.2852203230602645e-50,6.26455688593094e-42,1.0639301973996192e-79,6.147278480479528e-61,1.8383441163293915e-36,1.4340835625454565e-59,3.1729940739380774e-76,3.1220869329679474e-75,3.0118329423961246e-80,7.809378792890456e-79,6.46061591365418e-78,4.062556570863188e-68,1.2933570101431995e-57,1.556713730882457e-54,4.50992673311336e-70,8.92357936694659e-55,2.4766118307088967e-58,8.056141823540769e-78,1.4505083302606086e-96,5.945881694048648e-33,7.3760798407869e-41,7.1571985819146e-86,2.0236130321453685e-83,8.292580898485113e-87,4.567520642197325e-96,1.564887337595298e-83,5.1189852932716836e-86,3.214075000066843e-49,1.0981995687016915e-49,6.336070596254918e-63,1.1047100328669902e-39,2.191143453726467e-74,7.645712540142615e-84
6.136761160269753e-19,0.48893214308255667,4.339273453926799e-28,2.7149862233980244e-31,7.431948737423339e-36,1.6191357979085698e-40,0.0,0.0,1.1016707789772462e-21,1.2190628479619525e-37,2.8707630433240034e-49,3.338768351157548e-49,2.1706342562212495e-48,4.49529727836072e-67,5.1228495543577005e-47,1.978694153979278e-37,8.917916851745255e-26,4.346000893412774e-37,2.1951552732634757e-66,1.6554098798976844e-65,2.799518265995548e-38,4.996945076646737e-58,3.477789088109178e-27,1.4133173981034926e-56,1.6627297669251684e-42,2.4570924937358453e-57,7.905823403353013e-37,9.618514946878018e-47,6.095564361495232e-62,7.297514272610785e-64,5.255944353151408e-56,2.718466267854052e-63,6.1641451948355174e-49,4.282983252309875e-62,3.76,0.0,0.5291206180457969,0.999999999999937,1.9197754837851051e-47,2.5171404707675487e-23,1.5254807001546618e-17,1.4949676509569194e-17,3.051304919774219e-19,1.5567823451262198e-36,6.291999630258177e-14,1.8527546626067692e-41,4.913427370788121e-44,1.451060342612854e-44,1.569675034880585e-53,4.345538553448003e-37,4.318329688544309e-37,1.6064878194427533e-37,7.066559486994428e-38,2.4096903009234598e-43,4.1755737446777755e-45,2.77560408023253e-29,2.1216412628456064e-40,1.3645206737951942e-54,5.628889495980254e-53,8.156595753584576e-48,7.056045446171355e-66,5.311825987706481e-45,3.6050409734899073e-53,3.47778908830719e-27,1.2784897922418833e-39,5.5524075413125294e-64,5.124742996053547e-58,8.917916851704929e-26,1.4751524307858037e-22,1.959746593487612e-33,1.1975508200688169e-32,9.541559698213321e-22,7.427997188401561e-34,2.689061349281448e-56,2.3686013704956156e-70,7.514321838626956e-52,6.564618549272895e-73,5.903196161235188e-58,8.250055427402033e-71,2.517140470767589e-23,9.85169469515864e-40,3.0667963451045164e-75,4.492543133611688e-75,4.829707210227004e-78,2.775604158957462e-29,9.04453043676564e-36,2.0648396572574192e-58,6.023583297912006e-46,6.886905986993236e-52,3.6485975595614465e-62,5.089934372950405e-49,2.5322340548504317e-41,1.7344747513582949e-78,4.9782254924454e-60,7.430880844132391e-36,1.161359215050176e-58,5.172779301685021e-75,5.061042890576088e-74,4.910047842408528e-79,1.273125841785992e-77,1.051948579504093e-76,3.334247941097913e-67,1.0473940393589047e-56,1.2606671397963357e-53,3.6526515420177554e-69,7.226546108413422e-54,2.005624470962569e-57,1.313354445274293e-76,4.732291096533051e-95,1.1975508200691658e-32,2.981529404887731e-40,1.1668527849709087e-84,3.2990034426491466e-82,1.3521119014361515e-85,1.4909148772996704e-94,2.551163800171798e-82,8.345318840806008e-85,2.6028412635530487e-48,8.893504833845872e-49,5.152387382092802e-62,4.465414578004489e-39,3.551942234979404e-73,1.2464441245879017e-82
1.2316436734247684e-18,0.48893214308255667,8.70889315652788e-28,5.448958456014054e-31,2.988353900409033e-35,6.510474913818661e-40,0.0,0.0,2.2110455494195574e-21,4.901798095330127e-37,2.310639847850507e-48,2.6873312768320364e-48,1.7471152901678028e-47,3.618206331331899e-66,2.0598752745767527e-46,7.956242166263646e-37,1.7898196758478804e-25,1.7475078468804142e-36,1.7668724827930083e-65,1.3324178887386079e-64,1.1256739820320775e-37,4.021976122061819e-57,6.979898379233206e-27,1.1375607978290058e-55,6.685763263297527e-42,1.9777743141176549e-56,3.178896819128494e-36,3.868460601978932e-46,4.916293484571328e-61,5.885709597103407e-63,4.2304412934343e-55,2.193848114822986e-62,4.9614403208989055e-48,3.560555284203483e-61,3.76,0.0,0.5291206180457969,0.9999999999998737,1.5452023260371174e-46,5.0518833224495563e-23,3.0616290975132025e-17,3.000389621157461e-17,6.12394763557406e-19,6.259753339355138e-36,1.2627999243546172e-13,7.449845013960463e-41,1.9756675370265255e-43,5.834649809940484e-44,1.2634110247623162e-52,1.747321941996834e-36,1.7363813737816935e-36,6.459616865472985e-37,2.8414324896077894e-37,9.689307150616115e-43,1.6789798378948373e-44,5.570617979955272e-29,8.531026204738697e-40,1.0957616792411788e-53,4.530619960815773e-52,6.5651378655169e-47,1.1395082795128656e-64,2.1359721658096767e-44,1.4495816689253364e-52,6.979898380029404e-27,5.1407512245955135e-39,4.4717389641335395e-63,4.125037817439205e-57,1.7898196758316655e-25,2.9606206128300736e-22,7.880054859609973e-33,2.403476121397008e-32,1.914984359007051e-21,2.9867649999210153e-33,2.164390517075249e-55,3.8145594874679174e-69,6.048179946443159e-51,1.0572115796826968e-71,4.7514058383639073e-57,1.3286459934415123e-69,5.0518833224497185e-23,3.961323107602873e-39,4.9389809703095e-74,7.235102211717442e-74,7.778094569855705e-77,5.57061829650476e-29,3.636765909325951e-35,1.6619625930237578e-57,2.422056352711088e-45,5.543181084860735e-51,2.936722780441927e-61,4.096821997625038e-48,1.0182001762130454e-40,2.8011813806225933e-77,4.006908972142711e-59,2.987924505218749e-35,9.347633983485107e-58,8.354050884477141e-74,8.150657899370571e-73,7.929740377397627e-78,2.0561016351797716e-76,1.697853126978035e-75,2.7386262008565797e-66,8.43033844098099e-56,1.0146945896684561e-52,2.9406091212354468e-68,5.8165532893176845e-53,1.6143010595464445e-56,2.1210709421626205e-75,1.5290039700562853e-93,2.40347612139841e-32,1.198859860359328e-39,1.884627910080363e-83,5.327910568908405e-81,2.184348809105138e-84,4.81837968458195e-93,4.1201443706291e-81,1.34779733460531e-83,2.0949930877235299e-47,7.158266406157933e-48,4.15558708173471e-61,1.7955235599717032e-38,5.720296892462288e-72,2.0130106317291487e-81
2.4675787882203546e-18,0.48893214308255667,1.744813761649972e-27,1.0916903196919958e-30,1.1984635714502444e-34,2.6109924968989474e-39,0.0,0.0,4.4297950903152755e-21,1.9658402745112414e-36,1.854142958633475e-47,2.156414174109713e-47,1.401949990638906e-46,2.90338271370903e-65,8.26102115182765e-46,3.190808959693191e-36,3.5858756572189704e-25,7.008288074384524e-36,1.4178368653620593e-64,1.0691814429527228e-63,4.514456137973848e-37,3.227382542713585e-56,1.3984116960281586e-26,9.128208991819917e-55,2.681290096655489e-41,1.5871553358870002e-55,1.2748798038770166e-35,1.5521460370127034e-45,3.9490342863833166e-60,4.727722018283131e-62,3.39466274810746e-54,1.764317184384261e-61,3.9812433962552663e-47,3.0388539438928764e-60,3.76,0.0,0.5291206180457969,0.999999999999747,1.2399275531924768e-45,1.0121369025813573e-22,6.133925892230284e-17,6.011233561577096e-17,1.2269233065318831e-18,2.510441062893173e-35,2.52999984268179e-13,2.9877210552491832e-40,7.923310472576122e-43,2.339955528658121e-43,1.0138077773930264e-51,7.007542512515487e-36,6.963665914164526e-36,2.5905952759949507e-36,1.1395415143024622e-36,3.885884379640333e-42,6.733460092047964e-44,1.1160645781650559e-28,3.421323067580375e-39,8.782686819079644e-53,3.635537177449126e-51,5.2681096714955666e-46,1.8316903487670763e-63,8.567088415672423e-44,5.8135554464912164e-52,1.3984116963474695e-26,2.0616711667927926e-38,3.589359500664135e-62,3.3104021307597356e-56,3.5858756571539407e-25,5.931556976901243e-22,3.160254442757506e-32,4.815326724053845e-32,3.8366411373634585e-21,1.1978263512845024e-32,1.7367870814345226e-54,6.12321277499006e-68,4.853283505135229e-50,1.697058722160292e-70,3.812703954354212e-56,2.1327710713379467e-68,1.0121369025814223e-22,1.5886677406606737e-38,7.928158278504383e-73,1.1613941358920696e-72,1.2485564370676312e-75,1.1160647051155589e-28,1.458505787964533e-34,1.3336203139491048e-56,9.713529275999013e-45,4.448053722044145e-50,2.3565562943190278e-60,3.28744164424386e-47,4.0834381071934295e-40,4.502817335384687e-76,3.215292103820553e-58,1.1982913647779755e-34,7.500889453693654e-57,1.3428891595324566e-72,1.3083614514810749e-71,1.2746826048462056e-76,3.3051233278076686e-75,2.728407604407349e-74,2.279231469913418e-65,6.764815674717383e-55,8.142285049724598e-52,2.3606765534200802e-67,4.667418159883179e-52,1.2953749350444697e-55,3.409559607012224e-74,4.916418475207204e-92,4.8153267240594687e-32,4.80796424239019e-39,3.029990817025775e-82,8.56449662904386e-80,3.513477443275971e-83,1.5495189713491733e-91,6.62303752219215e-80,2.1666288012366422e-82,1.6811000096162234e-46,5.744057976573958e-47,3.33799353461042e-60,7.200852525083029e-38,9.182346120110227e-71,3.2358559303994107e-80
