Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141)
0.0,0.6157708476347161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7916642672801077,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.071799786223072e-22,0.615770847634716,1.2131609593152617e-67,1.5599914041463084e-30,9.234425462525984e-79,5.928368042651011e-99,0.0,0.0,5.811165051369963e-67,6.857457815333588e-148,9.101480975301629e-81,1.188277866676689e-98,2.7965951138440918e-74,4.694940211633225e-123,1.595416581685857e-98,4.775173078920543e-84,-1.9874196479432745e-128,5.166333806231815e-99,9.234239999938472e-79,7.024326010685132e-67,1.3051433460809494e-39,1.2616381941890798e-60,4.913683391965341e-99,2.3840562658121654e-205,-3.673944374408819e-147,-1.3700918544752586e-128,1.7970509570090856e-104,-6.92761688295465e-174,2.514430116121833e-271,-7.397339594885352e-254,-4.287644262170277e-163,-1.2592629684314915e-132,-2.797178964308832e-113,1.0920677556378508e-201,3.76,0.0,0.7916642672801077,0.9999999999999998,1.679058487025341e-99,1.942771461264548e-186,2.8144957274584892e-18,2.7161036302692647e-18,9.839209718922478e-20,2.1117175453691712e-38,3.3538737560244123e-16,2.7756585532794282e-43,9.000216570386196e-45
1.7001039401424602e-21,0.615770847634716,1.4402646908990918e-66,4.3679759316105906e-30,2.903417972589606e-77,3.414436460123528e-97,0.0,0.0,6.899015148986478e-66,7.307153440964502e-146,2.0363981162191882e-79,6.843837690704799e-97,6.255871405864638e-73,4.91423072784322e-121,9.188782657214806e-97,1.501390818782031e-82,1.834071583977259e-126,2.975543756098935e-97,2.9033928038181885e-77,8.339279839885368e-66,7.883065810329015e-39,1.4978168641412723e-59,2.8300300531824867e-97,5.837542542189574e-202,6.066097756915087e-145,1.2643982964006348e-126,1.091074763131043e-102,2.320759104364401e-171,-2.1369099085525478e-267,4.363406311368855e-251,1.2700017804843442e-160,1.1620928142720558e-130,1.4496157655032855e-111,7.07039061475365e-199,3.76,0.0,0.7916642672801077,0.9999999999999991,9.670517207321539e-98,2.6176730768389933e-183,7.88058803688377e-18,7.605090164754031e-18,2.754978721297393e-19,1.2754773974025498e-37,9.390846516850387e-16,1.676497766183181e-42,5.436130808510261e-44
3.885951863182766e-21,0.615770847634716,1.4140604141779087e-65,9.983944986542861e-30,6.477344930857573e-76,1.531176621563291e-95,0.0,0.0,6.773493983877011e-65,1.6629371567557803e-143,4.023962645222322e-78,3.0690594768317444e-95,1.2360547693494222e-71,4.414528785273216e-119,4.1206358207623996e-95,3.349520325310409e-81,3.909916236099658e-124,1.3343587116019968e-95,6.477309629881748e-76,8.18755439805452e-65,3.795356850403518e-38,1.4705654791467802e-58,1.2691042596227535e-95,2.963713776405502e-198,2.6081000058756592e-142,2.6954961316996124e-124,4.931100413232603e-101,2.520923856368811e-168,8.875569009750584e-263,3.269696286477186e-246,1.097023611217442e-157,2.4773708430610097e-128,1.5214242965403472e-109,2.3113228543596786e-195,3.76,0.0,0.7916642672801077,0.9999999999999979,4.33666581270649e-96,6.7327549694158e-180,1.8012772655734334e-17,1.7383063233723927e-17,6.297094220104083e-19,6.1408746219271e-37,2.146479203843046e-15,8.071615072972024e-42,2.6172629786635424e-43
8.257647709263378e-21,0.615770847634716,1.2507204226157454e-64,2.1215883096422233e-29,1.2131335105098684e-74,5.760669137200989e-94,0.0,0.0,5.991078721360759e-64,2.810290279037334e-141,7.160739891235257e-77,1.15465621492189e-93,2.1994934199042994e-70,3.3288802820270984e-117,1.5502861827855362e-93,6.273280870714923e-80,6.253118463851072e-122,5.020190969238336e-94,1.2131284078943632e-74,7.24179914397579e-64,1.6575320495229264e-37,1.3006985126811497e-57,4.7746874118500263e-94,8.855419064813712e-195,8.348932586594883e-140,4.310918810913925e-122,1.862773253868661e-99,1.850691404627034e-165,5.976491291182105e-258,4.748043212528917e-242,7.026324705723522e-155,3.962047818759407e-126,1.2146942513015513e-107,3.610796503509982e-192,3.76,0.0,0.7916642672801077,0.9999999999999954,1.6315620650024592e-94,1.0058660652888833e-176,3.827714189343546e-17,3.6939009371665154e-17,1.3381325217703059e-18,2.6818812826121845e-36,4.561268308130312e-15,3.5250863627011996e-41,1.1430275044340028e-42
1.70010394014246e-20,0.6157708476347161,1.0513058767674076e-63,4.367975931624028e-29,2.0953852876479043e-73,1.9947368260895125e-92,0.0,0.0,5.035862654877081e-63,4.114884011412809e-139,1.207789045588039e-75,3.9982068486959756e-92,3.7097671373851035e-69,2.3080876849205365e-115,5.3681488488292115e-92,1.0835532649401144e-78,8.915184131738507e-120,1.7383327460475058e-92,2.0953776408810705e-73,6.087168531643282e-63,6.919870020922279e-37,1.0933154728731063e-56,1.6533226586427804e-92,2.1708279632717714e-191,2.381556951082816e-137,6.146168179031174e-120,6.464215207181057e-98,1.1276047294024082e-162,2.7195299965182107e-253,5.10334144776898e-238,4.009326266194373e-152,5.648760041278255e-124,8.652419657763481e-106,4.530916585452416e-189,3.76,0.0,0.7916642672801077,0.9999999999999906,5.649581424654394e-93,1.2328455581572453e-173,7.88058803688377e-17,7.605090164755336e-17,2.754978721284339e-18,1.1196326425487386e-35,9.390846516589845e-15,1.4716541649813153e-40,4.7719148255728425e-42
3.448782278574705e-20,0.615770847634716,8.619240749997684e-63,8.860751175611365e-29,3.481513073088952e-72,6.636615064757825e-91,0.0,0.0,4.128704458475209e-62,5.626755823459682e-137,1.983818150524775e-74,1.330228439442411e-90,6.09330366288756e-68,1.5367607099315173e-113,1.7860169348159153e-90,1.8003399556131993e-77,1.2033802875743887e-117,5.783542540093967e-91,3.4815012892558157e-72,4.990628533472996e-62,2.8269926933460996e-36,8.9636607999994e-56,5.50070862468294e-91,4.854390796603796e-188,6.430574432973776e-135,8.296166799419255e-118,2.153074301088641e-96,6.287862433021014e-160,1.0455727500423707e-248,4.7737977328965946e-234,2.1653758781028833e-149,7.62474950697955e-122,5.837239148632869e-104,5.1263049615055906e-186,3.76,0.0,0.7916642672801076,0.9999999999999809,1.8796513255305384e-91,1.3783979846066625e-170,1.598633573196422e-16,1.5427468619935282e-16,5.5886711202893585e-18,4.574064671920673e-35,1.9050002933048915e-14,6.012187453020532e-40,1.9494829099728393e-41
6.946138955439195e-20,0.6157708476347161,6.980084628257519e-62,1.7846301663680938e-28,5.675744264294445e-71,2.1651991713600502e-89,0.0,0.0,3.3435319143659506e-61,7.4419232251894e-135,3.2158726388504647e-73,4.33987705240365e-89,9.87750781581821e-67,1.0030452976446204e-111,5.826889685992466e-89,2.935008510010145e-76,1.5814634517714421e-115,1.886883809464096e-89,5.675725786743991e-71,4.0415403771884904e-61,1.1427156463752396e-35,7.25900491443896e-55,1.794609095121232e-89,1.038360788475438e-184,1.6903629259087174e-132,1.0902697680376089e-115,7.028345336557225e-95,3.3584311301448506e-157,3.7073954747839326e-244,4.175758693558791e-230,1.1384538759499431e-146,1.0020324520385147e-119,3.83482736367135e-102,5.515185679873533e-183,3.76,0.0,0.7916642672801075,0.9999999999999616,6.132372380758313e-90,1.4741794262339194e-167,3.2197831122125116e-16,3.107222553030439e-16,1.1256055918207208e-17,1.848910073371128e-34,3.83683157641271e-14,2.430222295232819e-39,7.880121617446053e-41
1.3940852309168173e-19,0.6157708476347161,5.618179362463526e-61,3.5817402640199694e-28,9.166341561566055e-70,6.995761786652916e-88,0.0,0.0,2.691165365385811e-60,9.682146143821859e-133,5.179081394224986e-72,1.4022148884156326e-87,1.5907421830767133e-65,6.482680743111509e-110,1.8826689357159906e-87,4.740046583528519e-75,2.0510266203009648e-113,6.096524432812998e-88,9.166312305261477e-70,3.252983301626992e-60,4.5948093556179603e-35,5.84267867429438e-54,5.798384691646179e-88,2.173049556898384e-181,4.384744157966888e-130,1.4139896179814164e-113,2.271496053447813e-93,1.7560815585354892e-154,1.2634079929714391e-239,3.5341532829005446e-226,5.906372279065578e-144,1.2995526956010582e-117,2.48647210315146e-100,5.788130663049929e-180,3.76,0.0,0.7916642672801072,0.999999999999923,1.9813704406642247e-88,1.5425437871473848e-164,6.46208219024469e-16,6.236173935107947e-16,2.2590825513674146e-17,7.434386086835271e-34,7.700494141892364e-14,9.771816964995584e-39,3.168562244208855e-40
2.793027901662613e-19,0.6157708476347162,4.5082351178050645e-60,7.175960459475563e-28,1.473462587639964e-68,2.2494442798947092e-86,0.0,0.0,2.1594907220499473e-59,1.2494296695348791e-130,8.313597237170345e-71,4.508735874404401e-86,2.5534935000870372e-64,4.169254630923025e-108,6.0536064499484405e-86,7.619486444823975e-74,2.642573889828041e-111,1.9603000260520345e-86,1.473457931517418e-68,2.610314233822152e-59,1.8427240594765583e-34,4.688381677069367e-53,1.8644350215060046e-86,4.4986563641647607e-178,1.1299031769099793e-127,1.8218059655036405e-111,7.304880906671352e-92,9.086004565314792e-152,4.221622050027614e-235,2.9426280273971944e-222,3.044060999157984e-141,1.6743633990969024e-115,1.601722050516317e-98,6.000216324864887e-177,3.76,0.0,0.7916642672801065,0.9999999999998457,6.370975084669112e-87,1.596682347407835e-161,1.294668034630904e-15,1.249407669927771e-15,4.526036470313298e-17,2.9815213317286243e-33,1.542781926990773e-13,3.9189356589002383e-38,1.2707351772317899e-39
