Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71),CH2CFO(79),CH2F(46),C2H4F(63),C2H4F(62),C1OO1(734),CH2O2(778),CHO2(166),C2H2O(133),S(338),S(376),CH2F2(41),CH3O2(183),C2H2O(373),S(1537),CHF2(81),C2H3F2(64),CH2CF2(57),CH3F(39),C2H3F2(65),S(3087),CF2CH(73),C2HF2(72)
0.0,0.8714088565305224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9221789221527159,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.423913957812275e-23,0.8714088565305225,1.2975313588844382e-26,1.9863214557131366e-26,2.411802815516101e-40,7.436900861810407e-42,0.0,0.0,9.888338270359733e-22,1.659256036809828e-39,1.6375738373602688e-53,1.6712259977650192e-53,2.706783986579406e-56,5.779939987488295e-66,7.15607600535026e-44,9.58477606484255e-38,3.5518608325854656e-23,1.68279586640151e-37,8.372046529943746e-62,3.1468916003929906e-59,1.1118638877939162e-35,1.011301553917314e-55,2.1695010972936596e-23,2.821149627392025e-58,7.95121153487595e-42,3.206561098790225e-55,1.1909050565538973e-53,7.689931492556395e-61,9.801933510658978e-62,7.041170421520595e-62,3.1253183850399438e-58,9.918092740640428e-76,1.33385845935396e-69,5.396799163813947e-80,3.76,0.0,0.9221789221527157,0.9999999999999997,2.7925279269038684e-54,2.2642505371212586e-39,2.302260022964143e-16,2.207030678071267e-16,9.522934489287595e-18,2.4666848027739443e-35,2.840694588374733e-16,2.9730613316634796e-39,4.60526705920736e-40,1.560464400988761e-54,2.5959988086785888e-68,1.6824596913341855e-37,1.5664233109279102e-37,1.3093976987289672e-36,8.124422240397895e-37,1.5670965072258268e-40,4.937391861173623e-44,7.516970447971831e-37,7.680807061856252e-38,8.578954815390385e-59,1.6618283267180466e-57,4.04170986095749e-52,5.160313224380789e-68,1.6503724106715268e-41,3.912630647991884e-61,2.16950109729367e-23,6.848865625016927e-42,1.0437218101489028e-60,6.167770404703414e-59,3.5518608325854656e-23,2.2923638543421827e-22,1.2593278379664746e-35,5.663108127102798e-43,7.596104169153176e-22,3.3976787635784955e-39,4.2022249488872104e-58,1.1861255943280096e-73
1.518695908187437e-22,0.8714088565305225,3.6330878096297366e-26,5.561700075997892e-26,1.4567289005800193e-39,4.491888125434215e-41,0.0,0.0,2.768734715700723e-21,1.0021906462331352e-38,1.9441287818506602e-52,1.984079504551086e-52,3.2134939488680986e-55,6.861944753145819e-65,4.322269907231376e-43,5.789204743164847e-37,9.945210331239299e-23,1.0164087033067597e-36,9.939293640418037e-61,3.735989707986565e-58,6.715657882275272e-35,1.2006172048106371e-54,6.074603072422215e-23,3.3492688376397843e-57,4.802531767065033e-41,3.815517080174958e-54,1.7995490235318193e-52,1.1621024482945276e-59,1.4812681921307833e-60,1.0640616741001885e-60,3.7103779867260407e-57,2.2234745853103945e-74,3.760410826912544e-68,1.521983712985718e-78,3.76,0.0,0.9221789221527152,0.9999999999999991,3.315289155245191e-53,1.3676073244212391e-38,6.446328064299599e-16,6.179685898599565e-16,2.66642165700034e-17,1.489877620875345e-34,7.953944847448023e-16,1.7957290443249012e-38,2.781581303761691e-39,1.85279990830152e-53,5.80783702214013e-67,1.016205653566096e-36,9.461196798003153e-37,7.908762100322497e-36,4.907151033200044e-36,9.46526290369462e-40,2.9821846841534406e-43,4.540250150574819e-36,4.639207465361135e-37,1.0184935156832041e-57,1.9729225894795856e-56,4.79831794692824e-51,1.622482826995397e-66,9.968249360540658e-41,4.645307897921925e-60,6.074603072422273e-23,4.1367148375102005e-41,1.4462690728693642e-59,7.322377024520574e-58,9.9452103312393e-23,6.418618792157913e-22,7.606340141317378e-35,3.420517308770755e-42,2.1269091673628697e-21,2.0521979732013444e-38,4.9888814593188156e-57,2.6533155094879384e-72
3.471304932999856e-22,0.8714088565305225,8.304200730133582e-26,1.2712457316571846e-25,7.013522587645193e-39,2.1626507779655617e-40,0.0,0.0,6.328536493030218e-21,4.825116555042967e-38,1.9087576582611213e-51,1.9479810230087175e-51,3.155027414760111e-54,6.737098049415474e-64,2.0809869023555844e-42,2.7872528796561333e-36,2.2731909328546954e-22,4.893570379499282e-36,9.758457435513779e-60,3.668016849418086e-57,3.2333001857047323e-34,1.1787730912460265e-53,1.3884807022679197e-22,3.288332005688061e-56,2.3122123143418662e-40,3.7499042127919096e-53,1.935822221274502e-51,1.2501367868067396e-58,1.5934807269608045e-59,1.1446689930857477e-59,3.642871109612056e-56,4.39787469093307e-73,8.178729021262253e-67,3.310647018587953e-77,3.76,0.0,0.9221789221527145,0.9999999999999981,3.2549705522069704e-52,6.584440561948606e-38,1.4734464146970502e-15,1.4124996339656227e-15,6.094678073142756e-17,7.173119406464864e-34,1.8180445365589692e-15,8.645662352479749e-38,1.3392116608181567e-38,1.81918483724768e-52,1.1475970558736813e-65,4.892592782403502e-36,4.555158988176223e-36,3.807728507903138e-35,2.362581987507282e-35,4.5571166430886066e-39,1.435793553236072e-42,2.1859350062699594e-35,2.233578693587736e-36,9.999629732820824e-57,1.937027097622309e-55,4.711017013930529e-50,3.619668546184201e-65,4.799282970359685e-40,4.560892848832928e-59,1.3884807022679474e-22,1.991650123754887e-40,1.510732948512244e-58,7.189153183897918e-57,2.2731909328546963e-22,1.4671128667788584e-21,3.662125352806316e-34,1.6468318433624712e-41,4.8615066682578915e-21,9.88044984448526e-38,4.898113400422686e-56,5.242504324843934e-71
7.376522982624694e-22,0.8714088565305229,1.764642664719425e-25,2.701397179773751e-25,3.0629895758339433e-38,9.444864170460534e-40,0.0,0.0,1.3448140047689179e-20,2.1072551667484693e-37,1.6882747280204831e-50,1.722967154684828e-50,2.7905860188105005e-53,5.958886929499082e-63,9.088216526792024e-42,1.2172665602349198e-35,4.830530732316221e-22,2.1371507503337187e-35,8.631245090952993e-59,3.244319364341192e-56,1.412067137498298e-33,1.0426114500266044e-52,2.950521492319263e-22,2.908492419855905e-55,1.0098038649291835e-39,3.318259703888744e-52,1.7793358298640226e-50,1.1490910916684356e-57,1.4646833206307415e-58,1.052148013746954e-58,3.2220782422505414e-55,7.82956756561431e-72,1.5161258766767746e-65,6.137381621200014e-76,3.76,0.0,0.9221789221527128,0.9999999999999961,2.8789845921418615e-51,2.8755981821439835e-37,3.131073631231228e-15,3.001561722176982e-15,1.2951190905424606e-16,3.132689699521084e-33,3.863344640185338e-15,3.7757878912150266e-37,5.848689165200064e-38,1.609086076012015e-51,2.042141494197381e-64,2.136723807998216e-35,1.989357604876234e-35,1.662935077385066e-34,1.031801624530092e-34,1.9902125642552134e-38,6.270487663760237e-42,9.546552468921646e-35,9.754624968556796e-36,8.844559256478626e-56,1.713278531712719e-54,4.166841198249539e-49,6.77923758549535e-64,2.0959729616839233e-39,4.034098586323115e-58,2.9505214923193853e-22,8.698059343771136e-40,1.372277869393722e-57,6.35872457680174e-56,4.830530732316223e-22,3.1176148419046757e-21,1.5993463542172243e-33,7.192147321430563e-41,1.0330701670047615e-20,4.315052029743651e-37,4.3323258333042395e-55,9.328756340127733e-70
1.518695908187437e-21,0.8714088565305234,3.6330878785527504e-25,5.561700076013989e-25,1.2787378529022732e-37,3.943044905297063e-39,0.0,0.0,2.7687347157007e-20,8.797375507165599e-37,1.4190967125111352e-49,1.448257710099822e-49,2.345655694237866e-52,5.0088035141142e-62,3.7941514980341837e-41,5.081848269578763e-35,9.945210331239248e-22,8.922183683694959e-35,7.255081570905722e-58,2.7270459106350228e-55,5.895102333083562e-33,8.763777457999004e-52,6.074603072421741e-22,2.4447631287035698e-54,4.2157323557906696e-39,2.7897966654687677e-51,1.5222522803657888e-49,9.830716299925305e-57,1.253067417682416e-57,9.001347772826407e-58,2.708350907390478e-54,1.3208737564300428e-70,2.605777282872686e-64,1.0548590899260011e-74,3.76,0.0,0.9221789221527095,0.999999999999992,2.419960021575967e-50,1.2005056347816777e-36,6.4463280642995715e-15,6.179685898599808e-15,2.6664216569976373e-16,1.307836282429102e-32,7.95394484743022e-15,1.5763171180501353e-36,2.441712594797763e-37,1.352548744773278e-50,3.4444132359600746e-63,8.920401283487999e-35,8.305176394519862e-35,6.942426598654484e-34,4.307568671854996e-34,8.308745682016974e-38,2.6178051648568663e-41,3.985497731512344e-34,4.072363904195604e-35,7.434384979747074e-55,1.4401138386796915e-53,3.5024810981421876e-48,1.1709446273694477e-62,8.750274522560061e-39,3.3909189969166187e-57,6.07460307242225e-22,3.631268554383651e-39,1.1677762092929782e-56,5.3448911490583665e-55,9.94521033123926e-22,6.418618792155048e-21,6.676956196896463e-33,3.002579928998873e-40,2.126909167362576e-20,1.8014492804483837e-36,3.641580905105535e-54,1.573431108731459e-68
3.080783128037372e-21,0.8714088565305244,7.36997842790417e-25,1.1282305868522884e-24,5.224061371499509e-37,1.6108625321541055e-38,0.0,0.0,5.616576137564218e-20,3.594014945971465e-36,1.1634612539402088e-48,1.1873691708314703e-48,1.9231102566945142e-51,4.106519740029805e-61,1.5500346870607504e-40,2.076100834748514e-34,2.0174569529085208e-21,3.6450031584892207e-34,5.948154206098224e-57,2.2357969987127892e-54,2.4083416555173183e-32,7.185074245199733e-51,1.2322766232625854e-21,2.004364519277717e-53,1.7222642232997973e-38,2.287482401704941e-50,1.258624892446256e-48,8.128226485517945e-56,1.0360603728877569e-56,7.442488407571153e-57,2.2204697055491196e-53,2.1697810381961906e-69,4.3188410781003787e-63,1.74835158191277e-73,3.76,0.0,0.9221789221527028,0.9999999999999838,1.98402943355322e-49,4.9044572334260167e-36,1.3076836930436211e-14,1.2535934251445888e-14,5.409026789903219e-16,5.34293795018656e-32,1.613514526188855e-14,6.439769766854603e-36,9.975192660976382e-37,1.1089071250061428e-49,5.657493564993588e-62,3.6442749898463875e-34,3.3929355483854255e-34,2.8362077913493884e-33,1.7597823549557857e-33,3.3943937191088387e-37,1.0694588267505996e-40,1.628205866910526e-33,1.6636935328258199e-34,6.095157973024121e-54,1.1806923329621189e-52,2.8715456152467087e-47,1.9455419498505417e-61,3.57477265740965e-38,2.7800866562804144e-56,1.232276623262794e-21,1.4834916898408928e-38,9.631016371215172e-56,4.3820646893082405e-54,2.0174569529085253e-21,1.3020626692650726e-20,2.727754470147394e-32,1.2266518727705523e-39,4.314587168077689e-20,7.359508109053651e-36,2.9855880410558947e-53,2.5843653208084532e-67
6.204957567737242e-21,0.8714088565305264,1.4843760013346085e-24,2.272351745365435e-24,2.111649132324795e-36,6.511364151886821e-38,0.0,0.0,1.1312258981291085e-19,1.452758304516694e-35,9.422011005026726e-48,9.615623392389703e-48,1.5573845458886356e-50,3.3255661541854186e-60,6.265488034314828e-40,8.391931514015489e-34,4.0633287924776755e-21,1.4733685552598687e-33,4.816969493550427e-56,1.8106063765093932e-53,9.734902032303395e-32,5.818659409392642e-50,2.481909255303072e-21,1.623186354370098e-52,6.96166735693368e-38,1.8525577142372568e-49,1.0234917797809423e-47,6.60973901770657e-55,8.425070887770706e-56,6.052107971316688e-56,1.7981939371194996e-52,3.5175019557303466e-68,7.032078529190294e-62,2.84673732079079e-72,3.76,0.0,0.9221789221526896,0.9999999999999675,1.6067184747772417e-48,1.9824600292753495e-35,2.6337854662709298e-14,2.5248430957139768e-14,1.0894237055695301e-15,2.1597009456876755e-31,3.2497546090679486e-14,2.603057902830285e-35,4.032132363196691e-36,8.980241123278474e-49,9.171068441986135e-61,1.473074217852018e-33,1.3714787970224362e-33,1.1464405363222229e-32,7.113321643708263e-33,1.3720682131999632e-36,4.3229235697021335e-40,6.581468441764684e-33,6.724915261390072e-34,4.936016954206662e-53,9.561552627473027e-52,2.3254520890661734e-46,3.17172435873659e-60,1.4449802642401196e-37,2.2513888027347026e-55,2.481909255303915e-21,5.99651060025007e-38,7.822137626380405e-55,3.548709599054514e-53,4.063328792477692e-21,2.622464249362184e-20,1.1026019698746297e-31,4.958322994530869e-39,8.68994316950585e-20,2.974830846087118e-35,2.4178066022429406e-52,4.1893675528898273e-66
1.2453306447136984e-20,0.8714088565305305,2.9791325131186203e-24,4.5605940624371974e-24,8.490848290668898e-36,2.6181910821984925e-37,0.0,0.0,2.270362466874411e-19,5.841477247829842e-35,7.583654202387747e-47,7.739490247731684e-47,1.2535185719518675e-49,2.6767049585974086e-59,2.51932518197332e-39,3.3743587527278e-33,8.155072471615838e-21,5.9243501596938514e-33,3.8771161171194986e-55,1.4573335310096445e-52,3.914361291535224e-31,4.683363304607592e-49,4.981174519382702e-21,1.3064815920176417e-51,2.799255825696065e-37,1.4911376279189135e-48,8.254827692919337e-47,5.330994342790958e-54,6.795124890140089e-55,4.881244331533922e-55,1.4473429199322917e-51,5.6649831055488445e-67,1.1349775573727005e-60,4.594645513627538e-71,3.76,0.0,0.9221789221526631,0.9999999999999347,1.29322680992232e-47,7.971384585956111e-35,5.2859890127254714e-14,5.0673424368534404e-14,2.1864657587203112e-15,8.684062515464942e-31,6.522234774775845e-14,1.0466781340696066e-34,1.6213026892960795e-35,7.228088794687806e-48,1.4769745052517646e-59,5.9231666419222936e-33,5.514655922941611e-33,4.609786974246559e-32,2.860235347398625e-32,5.5170259415346e-36,1.738228554646586e-39,2.64637951407717e-32,2.70405884935146e-33,3.972935868530967e-52,7.695969390847362e-51,1.8717261510265928e-45,5.122343272332656e-59,5.810202093328612e-37,1.81211459343044e-54,4.9811745193860915e-21,2.4111705387478846e-37,6.30500064729566e-54,2.856310217611468e-52,8.155072471615904e-21,5.263267409548311e-20,4.433514026664427e-31,1.9937198686295297e-38,1.74406551723539e-19,1.1961663994275867e-34,1.9460610979034675e-51,6.746847292914947e-65
2.4950004205936464e-20,0.8714088565305386,5.968646315469165e-24,9.137078696762598e-24,3.405209929671742e-35,1.0500118816228806e-36,0.0,0.0,4.548635604364738e-19,2.3426936428350684e-34,6.085404915204959e-46,6.210453509672048e-46,1.0058697101930451e-48,2.147887156271939e-58,1.0103620775383132e-38,1.3532687817260336e-32,1.6338559829891567e-20,2.3759293871522844e-32,3.111141514689591e-54,1.1694183789755052e-51,1.5698339519938941e-30,3.758104104029742e-48,9.979705047536585e-21,1.0483691982562911e-50,1.1226267858796752e-36,1.1965592314660797e-47,6.630724805906656e-46,4.282145163685518e-53,5.458213846503942e-54,3.920880900540583e-54,1.1614015427749393e-50,9.093676175833627e-66,1.823876269096682e-59,7.383471996032574e-70,3.76,0.0,0.92217892215261,0.9999999999998692,1.037733070498596e-46,3.1968817478576668e-34,1.0590396105634249e-13,1.0152341119135115e-13,4.380549864991338e-15,3.4826974728529316e-30,1.3067195105990473e-13,4.1976474559055394e-34,6.50214892956545e-35,5.800089835998551e-47,2.3708729455635847e-58,2.3754547435917467e-32,2.2116236740686024e-32,1.8487307544196595e-31,1.147082301450379e-31,2.2125741591836797e-35,6.971073947282654e-39,1.0613165473563183e-31,1.0844485405766048e-32,3.1880308277597794e-51,6.17553076089758e-50,1.5019423589818834e-44,8.234017175028648e-58,2.3301509097598136e-36,1.4541082454801932e-53,9.979705047550178e-21,9.66987228275295e-37,5.0629889197327455e-53,2.292009067962047e-51,1.6338559829891832e-20,1.0544873729888175e-19,1.7780374184497304e-30,7.995708386414207e-38,3.4942079178016927e-19,4.79716226018139e-34,1.5615914724170434e-50,1.0830184106384884e-63
