Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71),CH2CFO(79),CH2F(46),C2H4F(63),C2H4F(62),C1OO1(734),CH2O2(778),CHO2(166),C2H2O(133),S(338),S(376),CH2F2(41),CH3O2(183)
0.0,0.8475426583338298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7487400843049227,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.402187574776946e-23,0.8475426583338296,1.854273944513728e-36,2.1842742754682415e-26,1.6227609290672601e-40,7.751882897871107e-54,0.0,0.0,7.954784073487666e-39,1.7559429153250222e-72,1.5055341464945129e-53,1.5356774654704106e-53,2.6013914765791482e-56,4.7118471139818153e-66,5.478198077790042e-44,8.593057894322346e-38,6.819427784672437e-70,1.517863844427703e-37,8.25352555579111e-62,3.1429417152303393e-59,1.004825433723501e-35,9.459311717919943e-56,1.8989280426840867e-23,7.204505181208783e-94,1.0271953355476256e-76,2.5902443185364856e-57,1.546728622843843e-70,3.399227815670026e-92,-1.323089112726697e-137,-1.3038165139944532e-125,1.5873632389974683e-75,2.0632101637916133e-93,3.576750213930351e-74,-2.8541270280496845e-107,3.76,0.0,0.7487400843049224,0.9999999999999997,2.1699743727198552e-54,2.103708022156669e-95,1.9690009538197095e-16,1.887770352280145e-16,8.123060153956455e-18,2.1877400686467135e-35,2.881451011258117e-16,2.7644113801894976e-39,4.363493032654282e-40,9.19223389731157e-72,2.7766985673817363e-73,1.517863844427703e-37,1.4124432955990464e-37,1.1484642022600051e-36,7.137645170369023e-37,1.4671891508186955e-40,4.54916732464923e-44,4.235404287642431e-54,5.610611185481857e-55,7.9060537103116465e-59,1.519974931886898e-57,3.714616444515798e-52,4.928258521326505e-68,1.5557177825549627e-41,5.403015524094034e-62,1.8989280426840953e-23,2.7815414070908923e-84
1.5126125209375449e-22,0.8475426583338298,1.1199814624862267e-35,6.115967971312111e-26,9.801476011578933e-40,9.203035376352689e-53,0.0,0.0,4.804689580386562e-38,5.520965476648325e-71,1.7873701387440327e-52,1.8231562870105443e-52,3.088371960995461e-55,5.593904893718937e-65,3.3088316389850193e-43,5.1902069681706455e-37,2.1441372063455727e-68,9.167897620345553e-37,9.798585539900824e-61,3.731300404321464e-58,6.06914561968996e-35,1.123009487151457e-54,5.316998519515413e-23,4.3828520815820924e-92,3.229666486221966e-75,3.9143772141729676e-56,4.863162266800414e-69,1.6238519182802367e-90,1.3390006742323793e-135,1.731964198752464e-123,4.990924001529931e-74,1.4562593515595325e-91,1.1245874952658677e-72,1.479062511856923e-105,3.76,0.0,0.7487400843049221,0.9999999999999991,2.576193575292986e-53,1.2797883915551018e-93,5.513202670695185e-16,5.285756986384419e-16,2.2744568431076482e-17,1.32139500146251e-34,8.068062831521489e-16,1.6697044736346043e-38,2.6355497917236068e-39,2.3902922521232344e-70,8.730384567638308e-72,9.167897620345551e-37,8.531157505416957e-37,6.936723781650021e-36,4.311137682902639e-36,8.861822470990442e-40,2.7476970640915283e-43,5.882537585114274e-53,8.478755623503518e-54,9.386066964882495e-58,1.8045142391360505e-56,4.409992642928701e-51,1.5495233271075467e-66,9.396535406707865e-41,6.414460030232338e-61,5.316998519515465e-23,8.745959765447225e-83
3.4574000478572456e-22,0.84754265833383,5.392228630644943e-35,1.3979355363003985e-25,4.718988781746572e-39,9.035594705758898e-52,0.0,0.0,2.3132512085702324e-37,1.2316970270515904e-69,1.7548506011906473e-51,1.7899856537649382e-51,3.032181905102801e-54,5.492128996056352e-64,1.5930600010210955e-42,2.4988612356688624e-36,4.783452158534006e-67,4.413948059599076e-36,9.62030938803156e-60,3.6634128632725004e-57,2.9220323612679622e-34,1.1025773738407523e-53,1.215313947317795e-22,1.978628934331327e-90,7.20520826708042e-74,4.210908383760468e-55,1.0849447495047848e-67,8.45536327253682e-89,2.8040734697386182e-133,4.151400103212759e-121,1.1134476897073139e-72,6.5709332323950875e-90,2.5088928384754607e-71,1.5523362730237145e-103,3.76,0.0,0.7487400843049214,0.9999999999999981,2.5293221288421866e-52,5.7775769382746e-92,1.2601606104446129e-15,1.2081730254593025e-15,5.198758498531016e-17,6.3619481196230694e-34,1.844128647204328e-15,8.038908293593241e-38,1.2689037738964841e-38,5.04483244089782e-69,1.9477007712679293e-70,4.4139480595990746e-36,4.107385103600103e-36,3.33973390017148e-35,2.0756272155429366e-35,4.2665860506490105e-39,1.3228978580130253e-42,6.1498444107278845e-52,9.121058392025164e-53,9.215296204740833e-57,1.771682780607139e-55,4.329756927726215e-50,3.4569013016113384e-65,4.5240273117836106e-40,6.297754894970338e-60,1.21531394731782e-22,1.951348476610025e-81
7.346975101696647e-22,0.8475426583338301,2.3549279095314233e-34,2.9706130146404297e-25,2.0609063799350146e-38,7.991881192389897e-51,0.0,0.0,1.0102575773329545e-36,2.3068322171167833e-68,1.5521454837070516e-50,1.5832220398278956e-50,2.681930556698534e-53,4.8577259006289063e-63,6.957311558790781e-42,1.0913183525788606e-35,8.958876498027499e-66,1.9276870824265978e-35,8.50905470741982e-59,3.2402471907339063e-56,1.2761283008288683e-33,9.752172008706837e-53,2.5825421380502554e-22,7.470926376489747e-89,1.3494557668485357e-72,3.870550280307181e-54,2.031981442660303e-66,3.374313520763074e-87,4.5063044716158575e-131,7.04580057729737e-119,2.085364295180681e-71,2.4759020005853087e-88,4.698878621948383e-70,1.2393758176364802e-101,3.76,0.0,0.74874008430492,0.999999999999996,2.2371567792991054e-51,2.1815034061396447e-90,2.6778412971947995e-15,2.5673676791010474e-15,1.1047361809375199e-16,2.7784298871797007e-33,3.918773375306705e-15,3.5108024528428983e-37,5.541636151477276e-38,9.238331123732728e-68,3.6478279883877485e-69,1.9276870824265973e-35,1.7938029854088025e-35,1.4585495368695718e-34,9.064809366364784e-35,1.8633302216102446e-38,5.777442502356212e-42,5.588132233588198e-51,8.383824082265663e-52,8.150825133186221e-56,1.5670333557776376e-54,3.8296209696350746e-49,6.474393553742223e-64,1.975761583962346e-39,5.570292884901121e-59,2.5825421380503635e-22,3.655310053806401e-80
1.512612520937545e-21,0.8475426583338306,9.831360453802673e-34,6.115967971327118e-25,8.603878446090876e-38,6.717657689169993e-50,0.0,0.0,4.2176265157633486e-36,3.984478986411837e-67,1.3046718028390438e-49,1.3307935207853278e-49,2.2543242313480067e-52,4.083211319419575e-62,2.904540620841965e-41,4.5560392955690125e-35,1.547423123510193e-64,8.047714103186363e-35,7.152373191002976e-58,2.7236230033512332e-55,5.327584449602199e-33,8.197288185762107e-52,5.316998519514987e-22,2.5920114194828597e-87,2.330849251313696e-71,3.3113372538934613e-53,3.509742624096864e-65,1.1992838750592007e-85,6.442725947285129e-129,1.032235759058366e-116,3.6019482264567524e-70,8.579270885323627e-87,8.116144290945112e-69,8.828234850522084e-100,3.76,0.0,0.7487400843049171,0.9999999999999919,1.8804650718087798e-50,7.568650708147468e-89,5.513202670695161e-15,5.2857569863846275e-15,2.274456843105335e-16,1.1599397843950242e-32,8.06806283150353e-15,1.4656909137784764e-36,2.3135240059189818e-37,1.5790847236399406e-66,6.300715699266657e-68,8.047714103186355e-35,7.488774353248263e-35,6.089157200376834e-34,3.7843794693261664e-34,7.779036878275165e-38,2.4119685155754195e-41,4.756105185645861e-50,7.172538012229621e-51,6.851259648502748e-55,1.3171859563734084e-53,3.2190271769489606e-48,1.1182904794870326e-62,8.248415684164179e-39,4.682166805259989e-58,5.316998519515442e-22,6.315886428612083e-79
3.0684425424733055e-21,0.8475426583338315,4.016431534766796e-33,1.2406677884726989e-24,3.5149650829460493e-37,5.507541637365166e-49,0.0,0.0,1.7230380494538814e-35,6.620271428847562e-66,1.0696487689188679e-48,1.0910649315400889e-48,1.8482312053995123e-51,3.347663336894288e-61,1.186599616439673e-40,1.8612907121412082e-34,2.5710666633825406e-63,3.2877538016101377e-34,5.86394767084189e-57,2.2329906925181945e-54,2.1764920824626177e-32,6.72063211397968e-51,1.0785911282443694e-21,8.632480235294608e-86,3.872740891961923e-70,2.7378776765103453e-52,5.831489862572348e-64,4.03951838510819e-84,8.708940874008083e-127,1.4115566324484814e-114,5.984690849973955e-69,2.8553560678287154e-85,1.348509512699686e-67,5.9558522161207e-98,3.76,0.0,0.7487400843049115,0.9999999999999836,1.5417188787828268e-49,2.5206780095872737e-87,1.1183925417695841e-14,1.0722535600952152e-14,4.613898167436881e-16,4.7387324982791367e-32,1.636664174386548e-14,5.9878256259625965e-36,9.451500448498483e-37,2.610357104063827e-65,1.0468733369774129e-66,3.2877538016101318e-34,3.059408675984217e-34,2.4876194006584233e-33,1.546042494479657e-33,3.177990388776457e-37,9.853678392275556e-41,3.922798303700125e-49,5.930393131835717e-50,5.617076595520768e-54,1.079908628057671e-52,2.6391529650883407e-47,1.8580563570086113e-61,3.3697469466208733e-38,3.838723231844338e-57,1.0785911282445554e-21,1.050140816636021e-77
6.180102585544826e-21,0.8475426583338332,1.6235058435647563e-32,2.498809771163272e-24,1.4208050860456975e-36,4.4601500105997925e-48,0.0,0.0,6.964795285975292e-35,1.079271329925768e-64,8.66229305588713e-48,8.835726693983751e-48,1.4967455487740482e-50,2.7110245642455595e-60,4.796425370596784e-40,7.523634653253301e-34,4.191487565033664e-62,1.328962653282329e-33,4.748776858044337e-56,1.8083337569946105e-53,8.797728988458801e-32,5.442542130055211e-50,2.1723736808298097e-21,2.8177853255767213e-84,6.313545083572706e-69,2.226396657028302e-51,9.506800268021368e-63,1.3258103814351548e-82,1.1453439074814797e-124,1.866878481845456e-112,9.756556543514009e-68,9.317194818444465e-84,2.198410852053957e-66,3.912751843173787e-96,3.76,0.0,0.7487400843049001,0.999999999999967,1.2485239197991466e-48,8.227921466613519e-86,2.2525370911697028e-14,2.159609283008867e-14,9.292780816083637e-16,1.9154714416133e-31,3.296379956846255e-14,2.420374855116073e-35,3.820447597793838e-36,4.244855622285648e-64,1.7066677565483614e-65,1.3289626532823243e-33,1.2366619025626987e-33,1.0055355353563634e-32,6.24935095360195e-33,1.2845945270628278e-36,3.983014353084511e-40,3.186140689400741e-48,4.8224972053952095e-49,4.548854259606598e-53,8.745380055217824e-52,2.1372544957822807e-46,3.029100811032156e-60,1.3621055938170514e-37,3.1086975992363383e-56,2.1723736808305617e-21,1.7144296856577226e-76
1.2403422671687868e-20,0.8475426583338367,6.528045592566857e-32,5.015093736586812e-24,5.7129947622137604e-36,3.589916752814952e-47,0.0,0.0,2.800513552208692e-34,1.7430260807106503e-63,6.972167053856471e-47,7.111761535271915e-47,1.2047110315918512e-49,2.1820684231040535e-59,1.92862154606521e-39,3.0252204039238334e-33,6.769263613560563e-61,5.3437003790345847e-33,3.8222287513526246e-55,1.4555043291107217e-52,3.5375281324420375e-31,4.380631396733011e-49,4.359938785999483e-21,9.106595266051803e-83,1.0196392175410736e-67,1.7956695606703182e-50,1.535350782674842e-61,4.296367385279436e-81,1.4859572822604377e-122,2.4288117235026262e-110,1.5756864879109672e-66,3.0106411070879833e-82,3.550439398727428e-65,2.5369979021811e-94,3.76,0.0,0.7487400843048775,0.9999999999999338,1.0049206697798797e-47,2.6591276107419016e-84,4.520826189969872e-14,4.3343207288367547e-14,1.8650546113311797e-15,7.702026421190822e-31,6.615811521714939e-14,9.73222084052518e-35,1.53618517615005e-35,6.846887882693717e-63,2.7562729858493886e-64,5.343700379034546e-33,4.9725631197872414e-33,4.043214162592158e-32,2.5128365327893795e-32,5.165298096606858e-36,1.6015525535735823e-39,2.5682207974947327e-47,3.889518703211977e-48,3.661313649521879e-52,7.039042699289051e-51,1.7202483551322433e-45,4.892005900825866e-59,5.476966688170764e-37,2.502150279197702e-55,4.359938786002508e-21,2.7766739773829656e-75
2.4850062843973953e-20,0.8475426583338437,2.6180382565737778e-31,1.0047661667603464e-23,2.2911664199862005e-35,2.880682109078543e-46,0.0,0.0,1.1231311904661377e-33,2.8018635177112433e-62,5.5947249689978624e-46,5.706740750730701e-46,9.66704732831734e-49,1.7509724876598462e-58,7.734634996737892e-39,1.213248688261474e-32,1.0881393554857212e-59,2.143062854903811e-32,3.067097860208625e-54,1.1679505596507384e-51,1.4187070009224972e-30,3.5151808133499436e-48,8.735068996334003e-21,2.928544562497222e-81,1.6390402628452464e-66,1.4423794438609607e-49,2.4680315414884322e-60,1.3834987551329734e-79,1.9148852639411948e-120,3.1342151538554798e-108,2.5328700097049153e-65,9.680939174437304e-81,5.7072276401954155e-64,1.6342695410941988e-92,3.76,0.0,0.7487400843048321,0.9999999999998674,8.063855498041386e-47,8.55139170767893e-83,9.057404387569935e-14,8.68374362049487e-14,3.736607670750673e-15,3.088857076415284e-30,1.3254674651249384e-13,3.903055841312147e-34,6.160789632103917e-35,1.0999312458102068e-61,4.4306283256165304e-63,2.1430628549037808e-32,1.9942202143151424e-32,1.6215097163596848e-31,1.0077598390014184e-31,2.0715155617926302e-35,6.422942052774564e-39,2.0623294369193333e-46,3.12427294368432e-47,2.9379736222840047e-51,5.648388462722716e-50,1.380390967516815e-44,7.863756608799515e-58,2.196508607695326e-36,2.007818020345009e-54,8.735068996346137e-21,4.4887093257931655e-74
