Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71),CH2CFO(79),CH2F(46),C2H4F(63),C2H4F(62),C1OO1(734),CH2O2(778),CHO2(166),C2H2O(133),S(338),S(376),CH2F2(41),C2H2O(373),CH3O2(183),CHF2(81),S(1537),C2H3F2(64),CH2CF2(57),CH3F(39),C2H3F2(65),S(140),S(2988),F(37),C2HF(58),C2HF(3940),CF2CH(73),C2HF2(72),S(3117),CF2(43),CF2O(49),S(4341),S(4409),C2F(3939),C2H3F2(66),S(4619),CHF3(42),S(4047),CHO2(165),C2H2F3(67),C2H2F3(68),S(5214),CFO(51),CHF2O(615),S(3044),CFO3(5914),CHFO2(172),S(459),C2H4(456),C2H2F2(59),C#CC(5603),C3H4(6319),CHF(40)
0.0,0.7863567759815743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5033853060506421,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.022250870823052e-22,0.7863567759815743,6.916942454587403e-27,1.658306908882659e-26,2.9115705099337804e-40,4.167529110180819e-42,0.0,0.0,7.780776306574675e-22,1.1984040216201064e-39,3.647763179216404e-53,3.8670824957935237e-53,1.0709598487652017e-49,1.529970095637968e-64,1.0481698249911713e-43,1.0695990721635546e-37,2.1407235086299247e-23,1.7895367619014366e-37,9.448915138962896e-62,1.959054465057574e-59,8.367063959074518e-36,1.0454559593124495e-55,1.1613799195372569e-23,2.78766061868649e-58,8.158039945171066e-42,3.7682339036286514e-55,3.253919757219322e-34,8.485233183039848e-42,8.725934819910887e-62,2.721600930523697e-61,5.2755761317651765e-58,1.6058060166741523e-60,7.408259913323222e-50,3.700921306697253e-62,3.76,0.0,0.5033853060506419,0.9999999999999996,6.012245267695354e-54,6.269963562457825e-21,1.494944257978435e-16,1.4319467690360746e-16,6.2997488942360545e-18,2.1624379968646814e-35,4.605507727123924e-16,2.46790711477622e-39,3.273154662319331e-40,1.570123028605048e-42,5.818091513659324e-56,1.789170834059894e-37,1.6727629085697415e-37,1.0490250840338195e-36,7.69357860201433e-37,1.2292746670001005e-40,5.429897383483668e-42,4.2872921026112325e-25,3.5985259554506233e-38,1.471145254041867e-51,3.9923592841299806e-57,9.33780812862199e-52,1.1475481466487372e-63,1.2237766901480923e-41,3.553713817640108e-49,1.1613799195372674e-23,3.0248542958527515e-58,9.383148289665799e-42,2.1407235086299006e-23,1.0002062705025565e-58,1.7665923102324457e-22,1.4733105305786494e-35,3.866918816554305e-27,6.014253165766461e-22,1.5847698857931792e-41,6.354917413995473e-39,4.287292105861483e-25,1.1246788656529707e-53,5.501117997218961e-73,6.963138608192177e-58,6.3473915455547e-73,1.0707851479912534e-72,6.269963562457825e-21,8.903854017391486e-41,1.4967288033846564e-89,1.1100465493457304e-93,2.7551519536173173e-78,5.073113804707165e-37,1.9513622411688635e-59,8.407006981492456e-44,1.9579093893713405e-67,4.610637134846533e-71,9.214489377997577e-62,3.6781799167033805e-57,7.32680031275134e-94,3.0436516579592086e-58,5.561295094325877e-41,3.3012446517462155e-55,9.387699838225108e-78,5.172817275274788e-80,1.5278983008032889e-59,3.220664524817634e-62,3.138955986304671e-51,5.212244385006499e-75,9.009816823753452e-77,3.866918816554317e-27
2.8623024383045454e-22,0.7863567759815745,1.9367438926315887e-26,4.643259344872371e-26,1.7585885880173346e-39,2.517187588134054e-41,0.0,0.0,2.1786173658409076e-21,7.238360290585437e-39,4.33062562945696e-52,4.591000339025748e-52,1.271443532453923e-48,1.8163804975413162e-63,6.330945742946423e-43,6.460378395867746e-37,5.994025824163862e-23,1.0808802041895904e-36,1.1217752053447126e-60,2.325789460916478e-58,5.053706631281305e-35,1.2411653148958386e-54,3.251863774704284e-23,3.3095106865045897e-57,4.927456126883307e-41,4.483244233212236e-54,1.9653675333602638e-33,5.125080856280858e-41,1.3186632699849622e-60,4.1070700113987865e-60,6.263163983638869e-57,2.4266940580948997e-59,8.795086169096819e-49,4.39394045398948e-61,3.76,0.0,0.5033853060506418,0.9999999999999988,7.137737582183622e-53,1.7555897974881907e-20,4.185843922339617e-16,4.0094509533010297e-16,1.763929690385877e-17,1.3061125501060838e-34,1.2895421635943193e-15,1.4906158973250858e-38,1.9769854160413983e-39,9.483543092779774e-42,6.907238245018625e-55,1.080659183772674e-36,1.0103487967758358e-36,6.336111507563609e-36,4.646921475616177e-36,7.424818988765324e-40,3.279658019624072e-41,1.200441788732333e-24,2.173509677092151e-37,8.885718466214673e-51,4.739728942117969e-56,1.108584581029786e-50,1.3625962505402396e-62,7.391611208666785e-41,2.1464431458978922e-48,3.251863774704349e-23,3.593077282380638e-57,5.667421566958151e-41,5.994025824163723e-23,1.1874448843659165e-57,4.946458468650595e-22,8.898795604694794e-35,1.0827372686352052e-26,1.6839908864145835e-21,9.572010110195184e-41,3.8383701180530583e-38,1.2004417906954848e-24,1.335218749303113e-52,1.2305780915058074e-71,8.266644323121375e-57,1.4198865878988076e-71,3.143702398741423e-71,1.755589797488191e-20,5.3779278265048065e-40,8.05927630444878e-88,5.977149522175299e-92,6.163164714163449e-77,3.0641607380429824e-36,2.3166572527155085e-58,5.0778322168434745e-43,2.3244300276880752e-66,1.0313810845163767e-69,1.3924936358975e-60,4.366735197113083e-56,3.945184191981941e-92,3.614842239395249e-57,3.359022236972474e-40,3.9192376505530533e-54,2.1007787038061724e-76,1.6264165164312123e-78,1.816170811808266e-58,3.8235729332395084e-61,3.72656854704169e-50,1.6388130305563104e-73,2.8328305664568727e-75,1.0827372686352125e-26
6.542405573267533e-22,0.7863567759815745,4.426843208365751e-26,1.0613164216855507e-25,8.466847043147325e-39,1.2119174736178407e-40,0.0,0.0,4.9796968362077816e-21,3.484958894871261e-38,4.251834441720898e-51,4.50747135715793e-51,1.248310799720333e-47,1.7833331434753702e-62,3.048077851073948e-42,3.1103941018514306e-36,1.370063045523203e-22,5.203972903626162e-36,1.101365548742972e-59,2.283473884471501e-57,2.4331421992993155e-34,1.2185834661748997e-53,7.432831485038196e-23,3.249297217140936e-56,2.3723580160557203e-40,4.405881098653116e-53,9.462398653990685e-33,2.467505830215174e-40,1.4185577718033688e-59,4.416197293793387e-59,6.149211539196183e-56,2.6105267471197782e-58,8.635067754967353e-48,4.3144345789896744e-60,3.76,0.0,0.5033853060506412,0.9999999999999971,7.007873084568856e-52,4.012776679973005e-20,9.567643251061976e-16,9.164459321831022e-16,4.031839292309545e-17,6.288369694879734e-34,2.9475249453566544e-15,7.17667388977291e-38,9.518333758032286e-39,4.565917767191407e-41,6.781567468328369e-54,5.202908785453586e-36,4.864394538116485e-36,3.050564944369357e-35,2.2372926574650488e-35,3.574730731763313e-39,1.5790141591169552e-40,2.743866945679503e-24,1.0464513478450023e-36,4.278092096456348e-50,4.653493981578363e-55,1.0884149154715083e-49,1.3382612640606904e-61,3.5587426152090286e-40,1.0334199782346443e-47,7.432831485038507e-23,3.5285679397751983e-56,2.7286195226348253e-40,1.3700630455231355e-22,1.1658404289761274e-56,1.1306190785485886e-21,4.284387022922343e-34,2.474828042594754e-26,3.849122026090357e-21,4.608510827893002e-40,1.8480099839895743e-37,2.7438669551312354e-24,1.3109256858048124e-51,2.4314149386710863e-70,8.11624311952383e-56,2.8054570975464896e-70,6.87313691511155e-70,4.012776679973006e-20,2.5892407482579664e-39,3.539176329981797e-86,2.6248245264856556e-90,1.217737489310504e-75,1.4752614944086261e-35,2.2745078283057383e-57,2.4447576302504225e-42,2.282139186193052e-65,2.0378352204258296e-68,1.4979811134161598e-59,4.2872865109134085e-55,1.7325007832237474e-90,3.549695339833612e-56,1.6172246134294307e-39,3.847930766075141e-53,4.151544279954763e-75,3.628445779143181e-77,1.7841131871377772e-57,3.754006599193072e-60,3.6587670977795684e-49,3.6561017201927885e-72,6.3198891599714664e-74,2.4748280425947883e-26
1.3902611843193507e-21,0.7863567759815746,9.407041925387928e-26,2.2552973960836617e-25,3.697694547884427e-38,5.292762056494645e-40,0.0,0.0,1.0581855776941499e-20,1.5219731074575247e-37,3.760699619176369e-50,3.986807369991388e-50,1.1041167656821615e-46,1.5773379697984044e-61,1.3311756777383966e-41,1.358390821647521e-35,2.911383971736954e-22,2.2727116876321417e-35,9.741453554716822e-59,2.0197067912965816e-56,1.0626171228029243e-33,1.077823275813412e-52,1.5794766905705442e-22,2.8739665914409463e-55,1.0360710730366991e-39,3.898622058885112e-52,4.1324780916653316e-32,1.0776246355194865e-39,1.303898988269852e-58,4.058520798552321e-58,5.438907968816194e-55,2.3995238646020023e-57,7.637619640234528e-47,3.816847308549647e-59,3.76,0.0,0.5033853060506401,0.9999999999999938,6.198384381749654e-51,8.527150444942623e-20,2.0331241908506668e-15,1.9474476058891336e-15,8.567658496153383e-17,2.7462962560152942e-33,6.2634905088752495e-15,3.134242035769551e-37,4.156906421153397e-38,1.994056246336603e-40,5.998219626937044e-53,2.2722469592637002e-35,2.124408893879103e-35,1.332261856721927e-34,9.77084482455078e-35,1.561178827221355e-38,6.895969677023268e-40,5.8307172595928456e-24,4.570127963421889e-36,1.8683562269258115e-49,4.1159627275592056e-54,9.626906668270032e-49,1.1844823339908457e-60,1.5541963967550246e-39,4.513216549073578e-47,1.5794766905706806e-22,3.1213212600058153e-55,1.1916598327875685e-39,2.911383971736658e-22,1.0311726568018199e-55,2.402565541915242e-21,1.8711043738345047e-33,5.259009590513846e-26,8.179384305441495e-21,2.0126577549639258e-39,8.070745115771057e-37,5.8307173008710446e-24,1.1594989233329775e-50,4.3265729733621594e-69,7.178726198990865e-55,4.992161392476807e-69,1.2771095931548702e-68,8.527150444942625e-20,1.1307894602092579e-38,1.3206826884235653e-84,9.794822266727898e-89,2.1668987987630903e-74,6.442854531975849e-35,2.0117764161538443e-56,1.0676898866827437e-41,2.0185262681440188e-64,3.6262188936257785e-67,1.376902728382844e-58,3.792056366928342e-54,6.465017785913544e-89,3.1399122705217605e-55,7.062844769788342e-39,3.4034511861636846e-52,7.388067626701774e-74,6.795677376583705e-76,1.5784194594229932e-56,3.3203763595438246e-59,3.236138063783964e-48,6.847473893306612e-71,1.1836452960934953e-72,5.259009590513996e-26
2.8623024383045456e-21,0.7863567759815749,1.93674397016477e-25,4.643259344885819e-25,1.5437146846085502e-37,2.2096240121263728e-39,0.0,0.0,2.1786173658408823e-20,6.353938122629705e-37,3.1610947108372273e-49,3.3511518177671384e-49,9.280766695808716e-46,1.3258476053573997e-60,5.557396412099676e-41,5.671014280609431e-35,5.994025824164927e-22,9.488123911757154e-35,8.188278682317194e-58,1.69768525454895e-55,4.436217311105452e-33,9.059754070459972e-52,3.2518637747037656e-22,2.415742089583673e-54,4.325392778929463e-39,3.2776889345955913e-51,1.7252282552747968e-31,4.4988708251085585e-39,1.1155130362560082e-57,3.4718732477998516e-57,4.5717298665812944e-54,2.0528432361351623e-56,6.419879508717398e-46,3.209600271514717e-58,3.76,0.0,0.503385306050638,0.9999999999999871,5.210115553598617e-50,1.7555897974881822e-19,4.185843922339596e-15,4.009450953301326e-15,1.7639296903827068e-16,1.1465246259350879e-32,1.289542163588814e-14,1.3084843522577138e-36,1.7354266019687364e-37,8.324792297737695e-40,5.041865016299855e-52,9.48618376225415e-35,8.868988941196537e-35,5.561930995538095e-34,4.079135374781321e-34,6.517614285615466e-38,2.8789315927221493e-39,1.2004417887495545e-23,1.907938461579557e-35,7.800027925563553e-49,3.459714677865002e-53,8.091995119308187e-48,9.969820081799465e-60,6.488464013567535e-39,1.884179066716362e-46,3.2518637747043336e-22,2.623794538559252e-54,4.974945223180916e-39,5.99402582416369e-22,8.667627510156217e-55,4.946458468646933e-21,7.811492433124577e-33,1.082737268635201e-25,1.6839908864142143e-20,8.402449934534452e-39,3.3693772128975256e-36,1.2004418059823895e-23,9.746287101119083e-50,7.297397704771076e-68,6.034152346500867e-54,8.420010163955603e-68,2.1980384991920923e-67,1.7555897974881834e-19,4.720823400025818e-38,4.55630711447605e-83,3.379177963797339e-87,3.654791544698881e-73,2.6897649392537117e-34,1.6910192963980252e-55,4.457395101884855e-41,1.6966929576770998e-63,6.116148183382573e-66,1.1779692827732181e-57,3.1874518649396145e-53,2.2304075605227982e-87,2.639383366021761e-54,2.9485986590066096e-38,2.860805795287698e-51,1.246154900748809e-72,1.1737842702861334e-74,1.3269119064472737e-55,2.7909764573146352e-58,2.7201690345622386e-47,1.1827308304198898e-69,2.04445289720206e-71,1.0827372686352642e-25
5.8063849462749355e-21,0.7863567759815756,3.928823662302891e-25,9.419183242513871e-25,6.30657818938296e-37,9.027035413441379e-39,0.0,0.0,4.4194809421343035e-20,2.5957910469899308e-36,2.5916564619534933e-48,2.747476728474878e-48,7.608933257517124e-45,1.087009971209478e-59,2.2703777677209012e-40,2.3167943742676773e-34,1.215930952902275e-21,3.876208207880799e-34,6.71324558359308e-57,1.391864941503363e-54,1.812339521794885e-32,7.427733754259158e-51,6.596637942969291e-22,1.980571318030053e-53,1.767064084283634e-38,2.6875109363362046e-50,7.0481203509028935e-31,1.8379356104826673e-38,9.223277502838318e-57,2.870503740238189e-56,3.748180356910403e-53,1.6973305706660365e-55,5.2634050940200494e-45,2.633572711247972e-57,3.76,0.0,0.5033853060506337,0.9999999999999739,4.27156751283313e-49,3.561339303476006e-19,8.491283385317419e-15,8.133457648126233e-15,3.5782573719118464e-16,4.6839271987070463e-32,2.615928388981672e-14,5.3455855269182905e-36,7.0897839248295196e-37,3.400949284942103e-39,4.133625557040063e-51,3.875415593465121e-34,3.6232713704443354e-34,2.2722302930128113e-33,1.6664598995050585e-33,2.6626581007087055e-37,1.176137492851341e-38,2.4351819143604997e-23,7.794551160541189e-35,3.186572833774526e-48,2.83648312005842e-52,6.6343064965389705e-47,8.196047543359517e-59,2.6507492639622905e-38,7.697486282671462e-46,6.596637942971612e-22,2.151199384002115e-53,2.0324274521348637e-38,1.2159309529017697e-21,7.106244711449327e-54,1.0034244322103847e-20,3.19124954165168e-32,2.1964098878028267e-25,3.4160957981536916e-20,3.4326749634733137e-38,1.3765005315386426e-35,2.435181984762253e-23,7.990595011352027e-49,1.1985997642785295e-66,4.947162831131173e-53,1.382989222243984e-66,3.645874014580913e-66,3.5613393034760114e-19,1.928610395587174e-37,1.5132550562958128e-81,1.1223032186718458e-85,6.003006086813837e-72,1.098856742553074e-33,1.3863997862668893e-54,1.8209913404706009e-40,1.3910514030857831e-62,1.0045791756805551e-64,9.739677990072031e-57,2.6132656166073775e-52,7.407699774725495e-86,2.1639649101251696e-53,1.2045987626071537e-37,2.3454614335817763e-50,2.046852569740871e-71,1.9502601206500508e-73,1.0879443273635792e-54,2.28821122086834e-57,2.230158920226003e-46,1.965124963980742e-68,3.3968890660718295e-70,2.1964098878030843e-25
1.1694549962215716e-20,0.7863567759815769,7.9129835941238035e-25,1.8971031037864923e-24,2.549219738514474e-36,3.648872319955613e-38,0.0,0.0,8.901208094720962e-20,1.0492602443213707e-35,2.0987906094473347e-47,2.224977888194804e-47,6.161911426833005e-44,8.802888573207747e-59,9.177229939289224e-40,9.364853284334483e-34,2.448987693874591e-21,1.5668253329176852e-33,5.436560334125343e-56,1.127168316167081e-53,7.325766115268632e-32,6.015171371218111e-50,1.328618627949668e-21,1.603918003119596e-52,7.142755557912996e-38,2.1765211693887515e-49,2.848962935573752e-30,7.429230276376222e-38,7.500216088997288e-56,2.3342031705918392e-55,3.0353736311682568e-52,1.3802411696785197e-54,4.2624419081150473e-44,2.1362153555519435e-56,3.76,0.0,0.503385306050625,0.9999999999999474,3.459226119859663e-48,7.172838315451593e-19,1.7102162311272914e-14,1.6381471037778138e-14,7.206912734947737e-16,1.893318263261005e-31,5.268700839728507e-14,2.160771138551432e-35,2.8658040183331335e-36,1.3747180775004423e-38,3.347517147609227e-50,1.566504945467187e-33,1.4645842190443955e-33,9.18471814269224e-33,6.736097357789944e-33,1.0762889769650072e-36,4.754135794308142e-38,4.904662165704011e-23,3.1506822032403487e-34,1.2880692809050696e-47,2.2970575713951553e-51,5.372633406872252e-46,6.673305580480993e-58,1.0714752351788127e-37,3.1114470298107806e-45,1.3286186279506065e-21,1.7421186154002627e-52,8.215396718721078e-38,2.4489876938725487e-21,5.754821213421638e-53,2.0209816028991808e-20,1.2899540884246912e-31,4.423755126138048e-25,6.880305621630035e-20,1.387542104007411e-37,5.564035231968894e-35,4.904662450279153e-23,6.470991010342927e-48,1.942981869060937e-65,4.006340792057851e-52,2.2418851458461333e-65,5.938762108049654e-65,7.172838315451614e-19,7.79575157725287e-37,4.932770784779014e-80,3.658381649334568e-84,9.731131553799024e-71,4.441754645469625e-33,1.1227424917561942e-53,7.360738150697678e-40,1.1265095022083266e-61,1.628466134019513e-63,7.920144654499051e-56,2.1162902498144255e-51,2.4146943952952206e-84,1.7524504312759667e-52,4.8691807972122126e-37,1.8994154791069647e-49,3.3180677184737656e-70,3.179416217358309e-72,8.810701673098401e-54,1.8530529304072918e-56,1.8060405143720255e-45,3.2036496632279317e-67,5.537786508201045e-69,4.423755126139089e-25
2.3470879994097276e-20,0.7863567759815794,1.5881305647944303e-24,3.807472662894686e-24,1.0250300456692957e-35,1.4671957334604458e-37,0.0,0.0,1.786466239989357e-19,4.2190292942738795e-35,1.6892892789077e-46,1.7908557736540274e-46,4.959642390459993e-43,7.085330557693798e-58,3.690123795654564e-39,3.7655663175048856e-33,4.91510117582223e-21,6.300135752623704e-33,4.375816739658803e-55,9.072431222819705e-53,2.9456583350714276e-31,4.8415332276656286e-49,2.6665282952536808e-21,1.290972746622978e-51,2.8720705948559248e-37,1.7518956073288338e-48,1.1455554661917787e-29,2.987261364583463e-37,6.049195989772587e-55,1.8826023952237955e-54,2.4431327699083858e-51,1.1132147288997707e-53,3.430784071692411e-43,1.725013838093117e-55,3.76,0.0,0.5033853060506078,0.9999999999998943,2.784286127291392e-47,1.4395836339402517e-18,3.432392016318332e-14,3.2877497817090315e-14,1.446422346092997e-15,7.61294946533702e-31,1.0574245741066658e-13,8.68836571404352e-35,1.152327191527703e-35,5.527680927541722e-38,2.6943730278675976e-49,6.298847488528163e-33,5.889028729908802e-33,3.69313476929236e-32,2.7085551211158374e-32,4.32771064283106e-36,1.911617093439916e-37,9.843622668877518e-23,1.266875456718159e-33,5.179314902598107e-47,1.8488717729200952e-50,4.324362774334827e-45,5.42910181930813e-57,4.308354802303984e-37,1.2510991677650735e-44,2.666528295257454e-21,1.4022172428658763e-51,3.303374887970625e-37,4.9151011758140176e-21,4.6319807775402184e-52,4.0560959442664266e-20,5.186848655304022e-31,8.878445602808376e-25,1.3808725268572284e-19,5.5792457740624066e-37,2.2372740952505302e-34,9.843623813141644e-23,5.208416528593249e-47,3.129112401313663e-64,3.224651640197913e-51,3.610486929532575e-64,9.587180377580115e-64,1.4395836339402601e-18,3.134637422266148e-36,1.593103246339941e-78,1.1815225024975438e-82,1.567168737325932e-69,1.7860100073909203e-32,9.036808337473233e-53,2.959720437537184e-39,9.067128684663322e-61,2.6225945059791775e-62,6.387884019013917e-55,1.7033745061401438e-50,7.798573353284905e-83,1.410530775242833e-51,1.9578761831097205e-36,1.5288148229945664e-48,5.343670957658087e-69,5.134765685170151e-71,7.091717661147976e-53,1.4914984644831413e-55,1.4536585279363715e-44,5.173902763519975e-66,8.943540002830362e-68,8.878445602812555e-25
4.7023540057860395e-20,0.7863567759815846,3.1817958516300003e-24,7.628211781263001e-24,4.110828944548196e-35,5.884112890586161e-37,0.0,0.0,3.5791571010235925e-19,1.6920194477008386e-34,1.3555482616197228e-45,1.437048975056152e-45,3.9798006709223016e-42,5.68553155398256e-57,1.4799046868700918e-38,1.5101605123853996e-32,9.847328139729534e-21,2.526636217616258e-32,3.511317374637712e-54,7.280054694606924e-52,1.1813407401622108e-30,3.885025506132685e-48,5.342347629855845e-21,1.0359243265407036e-50,1.151828765033665e-36,1.405802723930363e-47,4.594189781568018e-29,1.198025853184091e-36,4.859043188389847e-54,1.5122018348681039e-53,1.960460184734253e-50,8.941949675360694e-53,2.7529881542611564e-42,1.393205280396008e-54,3.76,0.0,0.5033853060505734,0.9999999999997882,2.2342142691865888e-46,2.8841832387303382e-18,6.876743586700178e-14,6.586955137574809e-14,2.897884491253623e-15,3.053133233028492e-30,2.118533554312087e-13,3.484423248062257e-34,4.621347429119039e-35,2.2168472836847954e-37,2.1620646692765706e-48,2.5261195658958166e-32,2.3617639138490592e-32,1.481112221954908e-31,1.0862517466408617e-31,1.735605532062596e-35,7.666439536315666e-37,1.9721543677170468e-22,5.080737205328447e-33,2.077173000855037e-46,1.4836031598415449e-49,3.4700287874546483e-44,4.449345980895912e-56,1.727842977090713e-36,5.017467244307914e-44,5.34234762987098e-21,1.1251944745583262e-50,1.3248010771294417e-36,9.847328139696596e-21,3.716872873006278e-51,8.126324626959533e-20,2.0801582982452367e-30,1.7787826556148556e-24,2.7665564562415027e-19,2.2375270933995017e-36,8.972469767184972e-34,1.9721548266181395e-22,4.179426249539777e-46,5.02291839792175e-63,2.587579870568743e-50,5.795631136605194e-63,1.5407967177329902e-62,2.884183238730371e-18,1.2571298064251683e-35,5.121445569694216e-77,3.798312005048699e-81,2.5156528989087715e-68,7.162698942090936e-32,7.251469572394906e-52,1.1869802728614898e-38,7.275800014088457e-60,4.209844999020533e-61,5.131096520049737e-54,1.366850766396199e-49,2.5070546457448147e-81,1.131864596683922e-50,7.851959175681931e-36,1.2267776140542028e-47,8.577795476983023e-68,8.253985877090244e-70,5.690696152515577e-52,1.1968339943023806e-54,1.166469420445714e-43,8.316897582800068e-65,1.4376479348129004e-66,1.7787826556165318e-24
