Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71),CH2CFO(79),CH2F(46),C2H4F(63),C2H4F(62),C1OO1(734),CH2O2(778),CHO2(166),C2H2O(133),S(338),S(376),CH2F2(41),C2H2O(373),CH3O2(183),CHF2(81),S(1537),C2H3F2(64),CH2CF2(57),CH3F(39),C2H3F2(65),S(140),S(2988),F(37),C2HF(58),C2HF(3940),CF2CH(73),C2HF2(72),S(3117),CF2(43),CF2O(49),S(4341),S(4409),C2F(3939),C2H3F2(66),S(4619),CHF3(42),S(4047),CHO2(165),C2H2F3(67)
0.0,0.7126676775538233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.8234370914220557,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.8800899088265096e-22,0.7126676775538233,2.0428439428027718e-27,2.0888525822798676e-28,3.332155163579572e-41,2.8835576098164985e-42,0.0,0.0,3.405266936387028e-22,6.801717394115961e-40,1.673141078659118e-53,1.9123114097831226e-53,1.0859906388330782e-50,9.284811002601201e-67,1.444563257245927e-45,1.7846479938266556e-38,2.4830984908510403e-24,2.49461784249236e-38,1.7035673858794663e-64,6.292324262716792e-63,2.0566257548965585e-37,8.735061641157145e-58,6.311795668820258e-25,4.7656778926453185e-59,7.617765083570602e-43,3.8111183835807864e-57,9.382958505011485e-36,5.727429054264082e-44,7.944737574601941e-63,1.228020878987514e-63,8.030598231979672e-59,8.039105699358887e-63,5.681189698214659e-51,1.9190741729406957e-63,3.76,0.0,0.8234370914220556,0.9999999999999996,2.9000157827746955e-54,6.815504359776869e-22,3.27523229948693e-17,3.1371453767379384e-17,1.3808692274899277e-18,1.3688008784112361e-36,4.695116722997182e-16,6.781576994624288e-41,3.162726149315117e-42,5.608040209373221e-44,1.4667507608188142e-56,2.494090219932157e-38,2.3879371255812087e-38,1.2181024912513675e-37,6.899877915817746e-38,2.326236777294185e-42,2.2759024264219355e-46,1.4691902063908267e-26,1.558139560456668e-39,8.687808820135733e-59,2.4686119498409426e-57,4.580899740585985e-52,5.683699940938403e-67,1.569511290120986e-43,6.83862327861134e-52,6.3117956688204355e-25,1.628699356759391e-60,5.7120754857556066e-42,2.4830984908510035e-24,5.23440083088042e-60,6.717092213405946e-23,3.3375304308808487e-36,1.1188746087243305e-44,2.7335781434857916e-22,1.0455407221726658e-43,1.9411060437435162e-38,1.4691902073271972e-26,1.1740113924295356e-54,6.373008566622518e-75,3.546401151669332e-59,1.2471803852043962e-74,7.634406944281207e-74,6.815504359776869e-22,2.382360796757884e-41,4.296999220735497e-90,2.8335851663986724e-94,3.427418572373424e-80,1.4240687754282894e-37,1.7044392170688057e-65,4.5859011233133405e-45,1.1581466127937955e-78,1.8657323590273992e-71,1.7350532436199494e-64
8.064251744714228e-22,0.7126676775538233,5.719963050876101e-27,5.848787230385976e-28,2.012621718855201e-40,1.7416687991364133e-41,0.0,0.0,9.534747421883682e-22,4.108237306046041e-39,1.9863530951781432e-52,2.2702961057224406e-52,1.2892880864223932e-49,1.1022927622287306e-65,8.725162073764863e-45,1.0779273882712409e-37,6.952675774383034e-24,1.5067491768679277e-37,2.0224752011592676e-63,7.470247364697817e-62,1.2422019559575974e-36,1.0370265180382562e-56,1.7673027872696146e-24,5.657812794148498e-58,4.6011301104766204e-42,4.531609326197579e-56,5.667306937025816e-35,3.459367233375506e-43,1.2006087422738835e-61,1.8547816072325454e-62,9.5339262210066e-58,1.2148696882487489e-61,6.744708409719236e-50,2.278551192298998e-62,3.76,0.0,0.8234370914220556,0.9999999999999987,3.442898737464286e-53,1.9083412207375238e-21,9.170650438563407e-17,8.784007054866318e-17,3.866433836970893e-18,8.267557305601771e-36,1.314632682438055e-15,4.096072504754739e-40,1.9102865941875862e-41,3.387256286462718e-43,1.7413265032438864e-55,1.506430492840931e-37,1.4423140238498783e-37,7.357339047156797e-37,4.167526261153104e-37,1.405047013784431e-41,1.3746450655633915e-45,4.11373257790048e-26,9.411162945158315e-39,1.0314166631278472e-57,2.93073610685065e-56,5.438444172020603e-51,6.814940570005632e-66,9.47984819824278e-43,4.13052846029748e-51,1.7673027872697226e-24,1.9341589729219478e-59,3.4500935933964004e-41,6.952675774382809e-24,6.2142806699698925e-59,1.8807858197536066e-22,2.0158683802520012e-35,6.758002636701487e-44,7.654018801760157e-22,6.315065961928897e-43,1.172428050421021e-37,4.113732583556158e-26,1.3937863250921012e-53,1.42561652431895e-73,4.210291975584219e-58,2.789895334150129e-73,1.9630966412629622e-72,1.9083412207375238e-21,1.4389459212417612e-40,2.031829721422777e-88,1.3398565518672932e-92,7.666998249655203e-79,8.601375403586616e-37,2.0235102385040396e-64,2.769884278496312e-44,2.590727646979529e-77,4.173568657847241e-70,2.622012461758494e-63
1.8432575416489662e-21,0.7126676775538233,1.3074201311136113e-26,1.3368656526607575e-27,9.689907216486455e-40,8.385385571455085e-41,0.0,0.0,2.179370839287698e-21,1.977939418208921e-38,1.950213250654178e-51,2.2289901793297467e-51,1.2658306886231e-48,1.0822375704629356e-64,4.2007899520703494e-44,5.189756366047018e-37,1.5891830341447503e-23,7.254348686005714e-37,1.9856781469725455e-62,7.334333160624047e-61,5.980667695240327e-36,1.0181587848935247e-55,4.0395492280445594e-24,5.554874151667304e-57,2.2152460863022964e-41,4.452250002566535e-55,2.7285643332556554e-34,1.6655364958799937e-42,1.2915600980280156e-60,1.9949439486582778e-61,9.360465299195937e-57,1.30690146993546e-60,6.621994712235204e-49,2.2375744919494638e-61,3.76,0.0,0.8234370914220555,0.999999999999997,3.3802583966303645e-52,4.361922790257196e-21,2.0961486716716356e-16,2.0077730411123437e-16,8.837563055929202e-18,3.9804729544167294e-35,3.004874702710104e-15,1.972082590039202e-39,9.197207642226733e-41,1.6308180928876696e-42,1.7096446868097587e-54,7.252814359591136e-37,6.944121161172568e-37,3.5422420445567776e-36,2.0064844979185768e-36,6.764696552852336e-41,6.618324256102956e-45,9.402817320944443e-26,4.5310698418080483e-38,1.0126509960791518e-56,2.877414088732994e-55,5.339496737617474e-50,6.826032545410506e-65,4.564138840539625e-42,1.9886716494445233e-50,4.03954922804508e-24,1.899217247378111e-58,1.6610715512577502e-40,1.589183034144642e-23,6.101217619474771e-58,4.2989390165794e-22,9.70553849300103e-35,3.253687362179966e-43,1.7494900118308643e-21,3.0404324200869157e-42,5.644736375205202e-37,9.402817348174104e-26,1.3684276790151107e-52,2.816778015122275e-72,4.1336916126034467e-57,5.512365645637811e-72,4.104485610539114e-71,4.361922790257198e-21,6.9279051969719136e-40,8.519886254455718e-87,5.6182982751139e-91,1.5148696541608207e-77,4.1411919989450866e-36,1.9866943514152544e-63,1.3335800466816708e-43,5.118841255581894e-76,8.246268361424433e-69,2.820641357088161e-62
3.9169222760040534e-21,0.7126676775538234,2.778267800810955e-26,2.8408395119088325e-27,4.231837058569667e-39,3.6621182079792803e-40,0.0,0.0,4.631163033486354e-21,8.638181090527259e-38,1.72494153590074e-50,1.9715165712117385e-50,1.1196129090098037e-47,9.572268751236254e-64,1.8345953367014936e-43,2.2665029521589255e-36,3.377013947557838e-23,3.168164660004401e-36,1.7563098363263807e-61,6.487134621893338e-60,2.6119147087198017e-35,9.005499149572571e-55,8.584042109593523e-24,4.913223280201447e-56,9.674561656134307e-41,3.939191538127644e-54,1.1916357301347174e-33,7.273836210215362e-42,1.1871662462978939e-59,1.8335719699886078e-60,8.279225553242104e-56,1.2012677933314133e-59,5.857079331263341e-48,1.979962144871492e-60,3.76,0.0,0.8234370914220552,0.9999999999999937,2.989800271657865e-51,9.269085929296541e-21,4.454315927302226e-16,4.266517712363912e-16,1.877982149383133e-17,1.7383771155790187e-34,6.3853587432357e-15,8.61260278319804e-39,4.016662209648965e-40,7.122211065923997e-42,1.5121613643723956e-53,3.167494579343118e-36,3.032680149469956e-36,1.546990163886963e-35,8.762844953075886e-36,2.954320711793686e-40,2.890396081626013e-44,1.9980986807131e-25,1.9788372417800265e-37,8.956783381293877e-56,2.545040175804637e-54,4.722724396534465e-49,6.27603664024205e-64,1.9932793476169328e-41,8.685051564087973e-50,8.584042109595797e-24,1.6799348369492704e-57,7.254335866909824e-40,3.3770139475573623e-23,5.396457903705351e-57,9.135245410230057e-22,4.23866364721818e-34,1.420970753089747e-42,3.717666275140461e-21,1.327836717168293e-41,2.4652046755532894e-36,1.998098692605008e-25,1.2103587851375648e-51,5.012305978034453e-71,3.656204206825673e-56,9.808962254134632e-71,7.488173891407775e-70,9.269085929296547e-21,3.0255982118824974e-39,3.119777432940361e-85,2.0572857015615365e-89,2.6956296104021634e-76,1.8085673447935364e-35,1.7572086552289481e-62,5.824094426834829e-43,9.108704516015174e-75,1.4673793952685051e-67,2.592655360876593e-61
8.064251744714228e-21,0.7126676775538234,5.719963210787011e-26,5.848787230419998e-27,1.7667086684711314e-38,1.5288622838858012e-39,0.0,0.0,9.534747421883659e-21,3.6062705623602715e-37,1.4499172969247399e-49,1.6571784710652078e-49,9.41102111759717e-47,8.046068657868216e-63,7.6590743899104e-43,9.462203663260585e-36,6.952675774384782e-23,1.322646380124603e-35,1.4762842471072992e-60,5.452827528887304e-59,1.09042297524721e-34,7.569664657249958e-54,1.767302787268775e-23,4.1298602109198396e-55,4.038939047308809e-40,3.3116142896698757e-53,4.9748445993414124e-33,3.0366840647407923e-41,1.0156457178525285e-58,1.5686116505020902e-59,6.959187938262011e-55,1.0277102031167659e-58,4.923228093423011e-47,1.665712206128522e-59,3.76,0.0,0.8234370914220548,0.9999999999999869,2.513107277354081e-50,1.9083412207375225e-20,9.170650438563403e-16,8.784007054867625e-16,3.8664338369577625e-17,7.257382257307108e-34,1.3146326824212891e-14,3.59559212257238e-38,1.676877404383672e-39,2.9733829190276844e-41,1.2710627413109262e-52,1.322366634634341e-35,1.266084263966794e-35,6.458379408594282e-35,3.6583152709551795e-35,1.233370743488381e-39,1.206683466552016e-43,4.113732577989862e-25,8.26125594954177e-37,7.528716118745877e-55,2.139259617934829e-53,3.969734420759565e-48,5.676094019892713e-63,8.321548942690518e-41,3.625838062546145e-49,1.7673027872697232e-23,1.412125583125963e-56,3.028542422547804e-39,6.952675774382801e-23,4.536048051539009e-56,1.880785819752766e-21,1.7695586344525773e-33,5.932273175544656e-42,7.654018801759266e-21,5.54345690904016e-41,1.029174424391933e-35,4.113732627636238e-25,1.0173794884942725e-50,8.45398664598577e-70,3.073260251115236e-55,1.6544250239403726e-69,1.2780024504769362e-68,1.9083412207375246e-20,1.2631276944410157e-38,1.0670174295273122e-83,7.036270209228178e-88,4.546573339443507e-75,7.550412647317266e-35,1.4770397544837944e-61,2.4314447757840696e-42,1.5363161523667364e-73,2.4749498267875577e-66,2.2180712460051402e-60
1.6358910682134575e-20,0.7126676775538235,1.160335431306459e-25,1.1864682667502395e-26,7.217581376795717e-38,6.24590145673085e-39,0.0,0.0,1.9341916198678222e-20,1.473279194435083e-36,1.1887298005477064e-48,1.3586550333754883e-48,7.715723702128237e-46,6.596653208704306e-62,3.128981797718612e-42,3.865618940541227e-35,1.4103999428041756e-22,5.403442031849622e-35,1.2103470257882108e-59,4.470557454149285e-58,4.454733650145071e-34,6.206068425897152e-53,3.585099939886137e-23,3.3859089165560967e-54,1.6500383881614518e-39,2.71525509489369e-52,2.0323863440062327e-32,1.2405850420803965e-40,8.397555201833605e-58,1.2969397688539527e-58,5.705562728212437e-54,8.497311911421555e-58,4.036359839888049e-46,1.3680043228929094e-58,3.76,0.0,0.8234370914220539,0.9999999999999734,2.0603971815826198e-49,3.8712064763532566e-20,1.8603319461085744e-15,1.781898573987736e-15,7.843337212083839e-17,2.9648774546490925e-33,2.6668262985871263e-14,1.468916703362681e-37,6.85059134860435e-39,1.214723941526318e-40,1.0420940297007432e-51,5.402299180204455e-35,5.172367331355375e-35,2.6384587201327807e-34,1.494541156068144e-34,5.038721944370686e-39,4.929695692261122e-43,8.345000372701193e-25,3.374992613531997e-36,6.172496340155225e-54,1.7538942833997096e-52,3.25462811935819e-47,5.31057511151592e-62,3.39962430467726e-40,1.4812731568320267e-48,3.585099939890012e-23,1.157761441082107e-55,1.23725839851676e-38,1.4103999428033664e-22,3.7189262860192445e-55,3.815308377210801e-21,7.229224414501349e-33,2.4235271575558195e-41,1.5526723854995293e-20,2.2646830259230383e-40,4.204513334982759e-35,8.345000575522834e-25,8.341091721447368e-50,1.3885698451722731e-68,2.5196445567630993e-54,2.7173982047766058e-68,2.1112638317490683e-67,3.8712064763532644e-20,5.160288780209325e-38,3.529056016870259e-82,2.3271777040389834e-86,7.467760362519336e-74,3.084589930325708e-34,1.2109664297085222e-60,9.933245270859654e-42,2.5234038939142747e-72,4.065112522261383e-65,1.8339441994896e-59
3.294822855697527e-20,0.7126676775538238,2.3370137646921616e-25,2.3896473541907452e-26,2.917461794324124e-37,2.5246933708976783e-38,0.0,0.0,3.8956253752267174e-20,5.9552300609833494e-36,9.626642125129483e-48,1.1002740720080005e-47,6.248393097589289e-45,5.342140798178599e-61,1.2647844707499285e-41,1.5625449816931305e-34,2.8406646735368053e-22,2.184157663003128e-34,9.801704126560566e-59,3.6203733334065756e-57,1.800674566455517e-33,5.0258351144946584e-52,7.220694245114932e-23,2.741996826243482e-53,6.669718983387812e-39,2.198961282463163e-51,8.215230553036587e-32,5.014647272915634e-40,6.828752427070939e-57,1.0546424939209088e-57,4.620512624009165e-53,6.909881405821325e-57,3.26874884801622e-45,1.1116562066165922e-57,3.76,0.0,0.823437091422052,0.9999999999999463,1.6685630571443923e-48,7.796936987584718e-20,3.746865750613038e-15,3.588894310990606e-15,1.579714396224326e-16,1.1984508714708158e-32,5.371213530800396e-14,5.937596174646111e-37,2.7691185546970656e-38,4.9101083893616694e-40,8.439147633603643e-51,2.183695704064205e-34,2.0907535743144068e-34,1.0665071999958948e-33,6.041174309359072e-34,2.0367319869072348e-38,1.9926618180882015e-42,1.6807535962755075e-24,1.3642259758790725e-35,4.998647569256635e-53,1.4203490634684036e-51,2.635682232936657e-46,5.364676952307475e-61,1.3741825284783109e-39,5.987542935918455e-48,7.220694245130596e-23,9.375914434840439e-55,5.001196267403604e-38,2.8406646735335336e-22,3.011682985840061e-54,7.68435349212093e-21,2.922168093693735e-32,9.796284259806488e-41,3.1272133961461055e-20,9.154210882728341e-40,1.6995315143814228e-34,1.6807536782592583e-24,6.754832333393644e-49,2.2509315565475056e-67,2.0404735378616721e-53,4.405019698515144e-67,3.4322210608991405e-66,7.79693698758475e-20,2.0858712308796705e-37,1.1480151983830526e-80,7.570396618236013e-85,1.2105561355213665e-72,1.2468405681862331e-33,9.806720112020454e-60,4.0151765581265173e-41,4.090546454133457e-71,6.589722576026329e-64,1.4913329656509141e-58
6.612686430665667e-20,0.7126676775538243,4.690370883184313e-25,4.796005529167862e-26,1.1730985581460832e-36,1.015168211987209e-37,0.0,0.0,7.818492885944442e-20,2.3945718154680252e-35,7.7483590824292045e-47,8.855962955895733e-47,5.029250362789315e-44,4.299819670097026e-60,5.085642729622165e-41,6.282924648139371e-34,5.701194135007e-22,8.782401901191984e-34,7.889264384012178e-58,2.9139914240990082e-56,7.240433235203102e-33,4.0452293379401085e-51,1.4491882855548808e-22,2.2069975940926003e-52,2.6818646687295307e-38,1.7699463395177725e-50,3.303308073434732e-31,2.0163709750458428e-39,5.507636220990135e-56,8.506044415186755e-57,3.718990535315278e-52,5.573083359839047e-56,2.6309734475725096e-44,9.008922483977497e-57,3.76,0.0,0.8234370914220482,0.9999999999998922,1.34300471024513e-47,1.5648398010047602e-19,7.51993335962195e-15,7.202885785000037e-15,3.170475746219118e-16,4.818918244316545e-32,1.0779987994753322e-13,2.3874813073925832e-36,1.1134503918654265e-37,1.9743329879723628e-39,6.792560204718225e-50,8.78054438436439e-34,8.406828167169235e-34,4.2883785444344446e-33,2.429129619710959e-33,8.189609859326337e-38,8.012405531878693e-42,3.3732607145387706e-24,5.485492648173016e-35,4.023346436609066e-52,1.143220493841125e-50,2.1214263601558746e-45,6.030805194795302e-60,5.525527743187627e-39,2.407564681007239e-47,1.4491882855611788e-22,7.546576434846156e-54,2.0109590230632197e-37,5.701194134993846e-22,2.424064573681183e-53,1.5422443721917424e-20,1.174990938310786e-31,3.939042815495141e-40,6.276295417436736e-20,3.6808679344917314e-39,6.833741471191108e-34,3.373261044191829e-24,5.436876718980655e-48,3.625055879422815e-66,1.6423506402673132e-52,7.094148511566333e-66,5.5353280721311956e-65,1.5648398010047737e-19,8.387196479417177e-37,3.7039036302007294e-79,2.4424780748279264e-83,1.949563336868205e-71,5.0134910866263964e-33,7.893301511508967e-59,1.6144848352114727e-40,6.587698963863614e-70,1.0612545058379299e-62,1.202814064045117e-57
1.3248413580601945e-19,0.7126676775538252,9.39708692705161e-25,9.608721879506518e-26,4.704649916255715e-36,4.071279469914502e-37,0.0,0.0,1.566422790737962e-19,9.60330397844735e-35,6.2175701905982365e-46,7.106352555183527e-46,4.035656684910419e-43,3.450334492032068e-59,2.0395701954918182e-40,2.5197337945579323e-33,1.1422253057967134e-21,3.522135965705881e-33,6.330638098852752e-57,2.3382946010886024e-55,2.9037375636319044e-32,3.2460417840866005e-50,2.9034260076321683e-22,1.770976577404593e-51,1.0755476814888055e-37,1.4202830408173861e-49,1.3247742814761147e-30,8.086576418808866e-39,4.424032930824666e-55,6.832505764450475e-56,2.984255690746393e-51,4.476625606671142e-55,2.1111904987026872e-43,7.327546005760902e-56,3.76,0.0,0.8234370914220407,0.9999999999997841,1.0776767007294622e-46,3.135132005497323e-19,1.50660685776397e-14,1.4430868733033667e-14,6.351998446060334e-16,1.9326017472903641e-31,2.1597536920764715e-13,9.574867870271812e-36,4.465434074621611e-37,7.917958324191858e-39,5.450601783695278e-49,3.5213910181765136e-33,3.3715140992407086e-33,1.7198315986897046e-32,9.741896229557298e-33,3.284399938051121e-37,3.213332983320692e-41,6.758274952075256e-24,2.1999278965737407e-34,3.228482134450277e-51,9.173624487730468e-50,1.7023110511255437e-44,7.588240251108674e-59,2.2159839487137852e-38,9.655411185634198e-47,2.9034260076574263e-22,6.055662239817551e-53,8.064845105893603e-37,1.1422253057914382e-21,1.945159312479946e-52,3.089862418141535e-20,4.7122391901576215e-31,1.5797323472102965e-39,1.257445946000792e-19,1.476192672756832e-38,2.7406359764851817e-33,6.758276274131453e-24,4.362751164339922e-47,5.819017515109275e-65,1.317882965100363e-51,1.1387679546953602e-64,8.891711089806107e-64,3.1351320054973756e-19,3.36364091477701e-36,1.1901146488477363e-77,7.848014491010036e-82,3.129480918750845e-70,2.0106341595985073e-32,6.3338773601996625e-58,6.4748062898162496e-40,1.057471580509658e-68,1.703548514134502e-61,9.661656680770883e-57
