Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71),CH2CFO(79),CH2F(46),C2H4F(63),C2H4F(62),C1OO1(734),CH2O2(778),CHO2(166),C2H2O(133),S(338),S(376),CH2F2(41),CH3O2(183),C2H2O(373),S(1537),CHF2(81),C2H3F2(64),CH2CF2(57)
0.0,0.9044462253110663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7704945695297952,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5302194979738813e-23,0.9044462253110666,1.6496702738543081e-28,6.24629188532015e-26,3.656043889785623e-40,4.1959310248535637e-44,0.0,0.0,2.158981977402334e-22,5.4851762933131814e-42,6.695445131158602e-54,6.112241394112612e-54,2.6087942208669046e-56,2.607513333287543e-65,1.907139379218376e-43,7.668038619899559e-38,4.7389393873904475e-23,1.5436776610753885e-37,2.1128106928692616e-61,1.7703765345359773e-58,1.864489183383813e-35,1.6558486823194673e-55,3.8444212268793206e-23,1.041308284569679e-58,7.709868611420527e-42,4.618143642556912e-57,2.2677481403000103e-53,8.10284982509789e-61,5.5006110445619296e-62,6.788145136828151e-62,1.7949461816046276e-58,1.5708632911215068e-79,1.2148656986816452e-69,2.8548908722041683e-80,3.76,0.0,0.7704945695297949,0.9999999999999999,9.215262690231844e-55,2.9588800892573425e-41,2.644376712334591e-16,2.54192952622159e-16,1.024471861130005e-17,2.8552968524034286e-35,1.8802581368079295e-16,4.892644273967554e-39,1.087968856485468e-39,5.359247783610224e-55,2.7201583128853325e-69,1.543391673944675e-37,1.4219228410595118e-37,1.2004063629280984e-36,7.65551742778446e-37,2.9460845499772846e-40,1.1791273048431137e-43,3.854578901915594e-37,2.568404218363916e-38,3.3379455223061048e-59,5.541104487886363e-58,1.484033303390456e-52,3.57846056870496e-68,3.5319804898010114e-41,3.767378755402459e-61,3.8444212268793277e-23,3.348872538597992e-42,2.2454240574026014e-60,5.296750698840542e-59,4.7389393873904475e-23,2.1589836270725024e-22,4.478377837166436e-36
7.084614594326868e-23,0.9044462253110667,4.619076975197614e-28,1.748961727889835e-25,2.2082505094327442e-39,2.5343423457512755e-43,0.0,0.0,6.04514953672653e-22,3.3130464811611996e-41,7.948832461004291e-53,7.256452983097967e-53,3.0971604990137614e-55,3.0956398292789094e-64,1.151912185047876e-42,4.631495326419314e-37,1.3269030284693252e-22,9.323813072896395e-37,2.50832885457933e-60,2.1017910218011137e-57,1.1261514667638244e-34,1.965823555649673e-54,1.076437943526207e-22,1.2362411954411168e-57,4.656760641297976e-41,6.978938672632728e-56,3.426955909454895e-52,1.224502665837729e-59,8.312523410541987e-61,1.0258244930774682e-60,2.130960106812886e-57,4.430085820466483e-78,3.4258312793369413e-68,8.051249042155278e-79,3.76,0.0,0.7704945695297946,0.9999999999999994,1.0940359865849105e-53,1.787163573911437e-40,7.404254794536853e-16,7.117402673420462e-16,2.868521211163906e-17,1.7245992988515968e-34,5.264722783061835e-16,2.9551571414765315e-38,6.571331893172717e-39,6.363004530875821e-54,6.085642431256176e-68,9.322085710626884e-37,8.588413959998849e-37,7.250454432085486e-36,4.6239325263816704e-36,1.779435068188432e-39,7.121928921260132e-43,2.3281656567569534e-36,1.5513161478918044e-37,3.9628089240818605e-58,6.578399248018549e-57,1.7618443377850667e-51,1.12512516336965e-66,2.1333162158432393e-40,4.472764819569999e-60,1.0764379435262117e-22,2.0227190133131803e-41,3.1774972496118816e-59,6.288302429672608e-58,1.3269030284693252e-22,6.045154155802871e-22,2.704940213648477e-35
1.619340478703284e-22,0.9044462253110667,1.0557891211506417e-27,3.997626806606251e-25,1.063177563152997e-38,1.220176752137e-42,0.0,0.0,1.3817484655374911e-21,1.5950892660955293e-40,7.804210846714557e-52,7.12442856900083e-52,3.0408105438442176e-54,3.039317541279768e-63,5.545961314766687e-42,2.2298656306667605e-36,3.032921207929884e-22,4.489014638408794e-36,2.4626921436234914e-59,2.06355088865514e-56,5.421934545280147e-34,1.930057224111576e-53,2.460429585202745e-22,1.2137489364943987e-56,2.242029792201055e-40,7.50762375683432e-55,3.686540382886529e-51,1.3172640912928805e-58,8.942233362923425e-60,1.1035351786038716e-59,2.092189269295265e-56,9.636404317932215e-77,7.45170947188257e-67,1.751322527946492e-77,3.76,0.0,0.7704945695297936,0.9999999999999988,1.0741310191743546e-52,8.604423299560376e-40,1.6924010958941366e-15,1.6268348967818237e-15,6.556619911231274e-17,8.303203246788054e-34,1.2033652075568178e-15,1.422780954869955e-37,3.163813434660459e-38,6.247457114861944e-53,1.2024910268995254e-66,4.4881829878326775e-36,4.1349516218001544e-36,3.4907817033945665e-35,2.2262244679995053e-35,8.567213871366199e-39,3.428902202495205e-42,1.120911544676956e-35,7.4689194670022465e-37,3.890709300800161e-57,6.458711391079913e-56,1.7297892184316588e-50,2.510092293988175e-65,1.0270999264392692e-39,4.391445198141451e-59,2.4604295852027677e-22,9.738521342242855e-41,3.34392260961151e-58,6.173892614596758e-57,3.032921207929884e-22,1.3817495213263067e-21,1.3023122750479238e-34
3.4410985172444784e-22,0.904446225311067,2.2435523018612806e-27,8.49495696404218e-25,4.6431757400622085e-38,5.32883250602972e-42,0.0,0.0,2.9362154892671617e-21,6.966173892508311e-40,6.902736114268931e-51,6.301476387722994e-51,2.689562489948602e-53,2.6882419460857235e-62,2.4220670116069757e-41,9.738409047272114e-36,6.444957566850993e-22,1.9604706295673522e-35,2.1782233119519644e-58,1.8251873920452202e-55,2.3679012628974606e-33,1.707113757524086e-52,5.2284128685557755e-22,1.0735471890599149e-55,9.79153313650371e-40,6.900799682205131e-54,3.38855762644946e-50,1.2107926456942423e-57,8.219453071667963e-59,1.0143389515059395e-58,1.8505177154042416e-55,1.7864269583697637e-75,1.3814050244965695e-65,3.246656812207002e-76,3.76,0.0,0.7704945695297917,0.9999999999999974,9.50056722313278e-52,3.757777713356844e-39,3.5963523287750344e-15,3.457024155661391e-15,1.3932817311364272e-16,3.6262270025512e-33,2.5571510660574988e-15,6.213658227940737e-37,1.381720447737278e-37,5.525893048896629e-52,2.1398260009381614e-65,1.9601074259113455e-35,1.8058420081446411e-35,1.5245160809183287e-34,9.72250713328403e-35,3.741527378504462e-38,1.4974916771624919e-41,4.89531520543178e-35,3.2618733573221483e-36,3.4412883156770476e-56,5.712657082830414e-55,1.529978974462884e-49,4.701125030901023e-64,4.485615222100312e-39,3.884206650130767e-58,5.228412868555872e-22,4.25306812401934e-40,3.046716012611181e-57,5.460738100535865e-56,6.444957566850993e-22,2.936217732818129e-21,5.68753985320059e-34
7.084614594326868e-22,0.9044462253110676,4.6190799970780715e-27,1.7489617278926434e-24,1.9384344703953486e-37,2.2246827233964825e-41,0.0,0.0,6.0451495367264795e-21,2.90824047071516e-39,5.80216562518508e-50,5.29677059636396e-50,2.2607393311023438e-52,2.2596293344129215e-61,1.0111652988612569e-40,4.065594076270451e-35,1.3269030284693176e-21,8.18457895903616e-35,1.8309279415263546e-57,1.5341799788043414e-54,9.885521650301136e-33,1.434931974519147e-51,1.076437943526165e-21,9.023810984754554e-55,4.0877723377748385e-39,5.903779414930595e-53,2.898979292690309e-49,1.0358586019739637e-56,7.031915152035356e-58,8.67788328517913e-58,1.555471641855081e-54,3.0704115158684285e-74,2.3742698053071547e-64,5.580173535783362e-75,3.76,0.0,0.7704945695297879,0.9999999999999948,7.985799203165502e-51,1.5687982233242586e-38,7.404254794536811e-15,7.117402673420578e-15,2.868521211162334e-16,1.513878391143259e-32,5.264722783056511e-15,2.5940799940593394e-36,5.7684108770925284e-37,4.6448809508294415e-51,3.6091755821778756e-64,8.183062655269113e-35,7.539034903289073e-35,6.36455453624157e-34,4.058955340209311e-34,1.5620140284279279e-37,6.251732970383514e-41,2.0436977337947258e-34,1.3617679165765247e-35,2.8926101825027405e-55,4.801832491528863e-54,1.286039516184334e-48,8.120024372942915e-63,1.872656055740205e-38,3.2649188908171524e-57,1.0764379435262054e-21,1.775572219964555e-39,2.596257148176844e-56,4.5900794077114384e-55,1.3269030284693176e-21,6.0451541558009035e-21,2.3744359292649374e-33
1.4371646748491647e-21,0.9044462253110689,9.370140722693702e-27,3.5478937908744495e-24,7.919137307293774e-37,9.08855523310238e-41,0.0,0.0,1.2263017631645017e-20,1.1881111258372394e-38,4.756965931645923e-49,4.3426125523770946e-49,1.853490691760771e-51,1.852580649405159e-60,4.130940180959411e-40,1.6609278372244735e-34,2.691717572037741e-21,3.3436675610079564e-34,1.501105346520182e-56,1.257813437873956e-53,4.038558150776808e-32,1.1764439276490983e-50,2.1836312568672646e-21,7.398265440997046e-54,1.6699883807078554e-38,4.881358988172935e-52,2.3969309286467447e-48,8.564679269890032e-56,5.814123431608754e-57,7.175041713994617e-57,1.275269629631684e-53,5.0889819423744354e-73,3.9351683249196477e-63,9.248728404996884e-74,3.76,0.0,0.7704945695297802,0.9999999999999893,6.547240668426937e-50,6.409052628535102e-38,1.502005972606029e-14,1.443815970893915e-14,5.81900017121137e-16,6.184687194171126e-32,1.0679866217045137e-14,1.0597663203199394e-35,2.3565840619073393e-36,3.8081679167989297e-50,5.928118871467081e-63,3.3430481014433436e-34,3.079941750641381e-34,2.600128198354061e-33,1.6582156969261226e-33,6.381336978886528e-37,2.5540369074714235e-40,8.349172084697437e-34,5.563266273144773e-35,2.3715365917624187e-54,3.9368323910533566e-53,1.0543728946019115e-47,1.349154191607051e-61,7.650411020532451e-38,2.676781410075825e-56,2.183631256867431e-21,7.253791873503941e-39,2.1426192441966314e-55,3.7632244194533305e-54,2.691717572037741e-21,1.2263027001762976e-20,9.70034553041e-33
2.8945711056821205e-21,0.9044462253110714,1.887228351465316e-26,7.14575791685789e-24,3.201041915829953e-36,3.673739671746177e-40,0.0,0.0,2.4698753821481724e-20,4.802535133261311e-38,3.8523143441346054e-48,3.5167602348743956e-48,1.5010048171886026e-50,1.5002678412841401e-59,1.669792069193619e-39,6.713735877573759e-34,5.421346659174533e-21,1.351563888809283e-33,1.2156340284772918e-55,1.018609933005943e-52,1.6324497755334402e-31,9.527147939788321e-50,4.3980178835491664e-21,5.991307167102959e-53,6.75036004298974e-38,3.969440061637455e-51,1.9491439448104167e-47,6.964654997931536e-55,4.727948616065745e-56,5.834624761742698e-56,1.0327464096743125e-52,8.286087952352899e-72,6.407393776482344e-62,1.5059156631172354e-72,3.76,0.0,0.770494569529765,0.9999999999999785,5.302125241979482e-49,2.5906415443891895e-37,3.025166958910694e-14,2.907967377997711e-14,1.1719958091298333e-15,2.49994944852088e-31,2.1510153084984786e-14,4.2837449087958327e-35,9.525689563627037e-36,3.0839586499448005e-49,9.609765916047903e-62,1.3513134933489592e-33,1.2449616996380792e-33,1.0510133902467354e-32,6.702772972847822e-33,2.5794384357722125e-36,1.0323825535739724e-39,3.374868848407963e-33,2.248761176579921e-34,1.9205318182483918e-53,3.1881489395451017e-52,8.538585065105459e-47,2.1994618392512064e-60,3.0924184542164836e-37,2.1677284403051716e-55,4.3980178835498375e-21,2.9320986534236917e-38,1.740753679388308e-54,3.0475567032081943e-53,5.421346659174533e-21,2.4698772693673203e-20,3.921034758570471e-32
5.809383967348032e-21,0.9044462253110763,3.7876654461484877e-26,1.4341486168904082e-23,1.287124875749725e-35,1.4771948321374762e-39,0.0,0.0,4.9570226201153645e-20,1.931078254768949e-37,3.100677727943816e-47,2.830594588455266e-47,1.2081392613563457e-49,1.2075460790161633e-58,6.714160470095034e-39,2.699563668288448e-33,1.08806048334479e-20,5.434578953003837e-33,9.784480240191552e-55,8.198658911445988e-52,6.564008749670935e-31,7.668277505080409e-49,8.826791136911778e-21,4.822325240026136e-52,2.714290084123192e-37,3.201497212574433e-50,1.572055013476549e-46,5.61724665529683e-54,3.813261840557929e-55,4.705836244142435e-55,8.31244157413832e-52,1.337377965798994e-70,1.034155325206425e-60,2.4305539516656975e-71,3.76,0.0,0.7704945695297346,0.9999999999999568,4.267611669232017e-48,1.0416855709434863e-36,6.071488931519905e-14,5.836270192205626e-14,2.3521873931427837e-15,1.0052186780701655e-30,4.317072682071368e-14,1.722474987237173e-34,3.830237878048358e-35,2.482240431735797e-48,1.5476255589551428e-60,5.433572123870658e-33,5.005936238815839e-33,4.2260786169247556e-32,2.6951555325098685e-32,1.0371808503269776e-35,4.1511648423858464e-39,1.357019920729775e-32,9.042169786917527e-34,1.5458110898197794e-52,2.5660996292313018e-51,6.87259610048644e-46,3.552136743822924e-59,1.2434478596258365e-36,1.7447770177672676e-54,8.826791136914478e-21,1.1789839727030068e-37,1.403348923453847e-53,2.452938766429417e-52,1.0880604833447903e-20,4.9570264077438027e-20,1.5766308310817959e-31
1.1639009690679854e-20,0.9044462253110863,7.588573780679948e-26,2.87329426733137e-23,5.161946433135712e-35,5.924214116588014e-39,0.0,0.0,9.93131709604915e-20,7.744487497494231e-37,2.4880986028228905e-46,2.271373892939971e-46,9.694556713097285e-49,9.689796798120623e-58,2.692678646667304e-38,1.0826457719191e-32,2.179912118199377e-20,2.179509227672008e-32,7.851429189803609e-54,6.578907442933009e-51,2.632461091085218e-30,6.153309766578768e-48,1.768433764363223e-20,3.869612305682616e-51,1.0885517233238066e-36,2.571616666062621e-49,1.2627600028120598e-45,4.512078133098792e-53,3.06301928441069e-54,3.779983585647176e-54,6.670210863974888e-51,2.1491305832600802e-69,1.6618593555281925e-59,3.905834950344757e-70,3.76,0.0,0.7704945695296737,0.9999999999999135,3.4244895997891037e-47,4.177625044742561e-36,1.2164132876737846e-13,1.1692875820622752e-13,4.712570561150913e-15,4.031376494079991e-30,8.649187429156985e-14,6.907895094628065e-34,1.5360967006884968e-34,1.991842504558904e-47,2.4842836770972803e-59,2.1791054441580633e-32,2.0076043277163625e-32,1.6948465413653985e-31,1.0808779123092784e-31,4.159559100969135e-35,1.6648027674221252e-38,5.442256824099186e-32,3.6263145054815946e-33,1.2404160478006911e-51,2.0591333451422413e-50,5.5148255496200287e-45,5.70995607019001e-58,4.986782063837368e-36,1.4000739067857359e-53,1.768433764364306e-20,4.728253044006675e-37,1.1269940731778466e-52,1.9683288797674565e-51,2.1799121181993775e-20,9.931324684474516e-20,6.322994797996077e-31
