Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71),CH2CFO(79),CH2F(46),C2H4F(63),C2H4F(62),C1OO1(734),CH2O2(778),CHO2(166),C2H2O(133),S(338),S(376),CH2F2(41),C2H2O(373),CH3O2(183),CHF2(81),S(1537),C2H3F2(64),CH2CF2(57),CH3F(39),C2H3F2(65),S(140),S(2988),F(37),C2HF(58),C2HF(3940),CF2CH(73),C2HF2(72),S(3117),CF2(43),CF2O(49),S(4341),S(4409),C2F(3939),C2H3F2(66),S(4619),CHF3(42),S(4047),CHO2(165),C2H2F3(67),C2H2F3(68),S(5214),CFO(51),CHF2O(615),S(3044),CFO3(5914),CHFO2(172),S(459),C2H4(456),C2H2F2(59),C#CC(5603),C3H4(6319),CHF(40),CHFO2(735),CF(50),S(3734),CHFO2(782),CHO3(1596),S(3113),S(1075),S(6101),S(6880),S(2986),S(1341),S(6104),S(1340)
0.0,0.7297054958925242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5815223350630624,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0418997352258495e-22,0.7297054958925242,3.710377980367932e-27,1.707288339892881e-27,9.797794909457804e-40,3.537509538394951e-42,0.0,0.0,5.033498613022845e-22,8.983170645181556e-40,3.1916801512529664e-53,9.976809142117325e-45,4.1150717055195327e-50,1.201238206754647e-65,1.1267451820322165e-44,4.724321714589044e-38,6.739407561388886e-24,6.958842562357568e-38,4.375200874580998e-63,2.8831771868406347e-61,1.2363879895335253e-36,9.707739237639411e-57,2.3995657416261066e-24,1.2528459001263827e-58,2.6323576507959745e-42,4.0298343922219115e-56,5.410667559702566e-35,6.365535571046547e-43,2.9260985488366483e-62,1.809630337334631e-62,2.5253570506338964e-58,1.1391905223561589e-61,2.426926767969366e-50,9.935532483523298e-63,3.76,0.0,0.5815223350630624,0.9999999999999993,8.554961872530302e-54,1.8932912487785007e-21,6.48169373249606e-17,6.201610539155918e-17,2.800831933401409e-18,5.43969563889828e-36,5.286255032066366e-16,3.9230370272493475e-40,2.9426531301133976e-41,2.9496498849840307e-43,3.755640634384114e-56,6.957356664547462e-38,6.595471616795037e-38,3.623449085332764e-37,2.420873925979399e-37,1.5918454095736072e-41,6.657681210854342e-43,6.847070582708464e-26,6.52897994547464e-39,7.57028629375226e-53,4.8012774602826704e-57,5.946977194759708e-47,2.3077716696468116e-65,1.2842095606874952e-42,2.407741922641749e-50,2.399565741626154e-24,2.248221553887723e-59,8.539827767702978e-42,6.739407561388777e-24,2.640917024214984e-59,1.0585382633324663e-22,7.667633401273532e-36,3.751202995300376e-28,3.974997453470021e-22,1.1592324395585242e-42,1.3935037825939034e-38,6.847070588111806e-26,3.8201231654260794e-54,6.400367198997801e-74,1.8666401651765467e-58,1.647299911193388e-73,4.0471926386123546e-61,1.8932912487785007e-21,5.09067260436501e-41,1.4142955240525618e-77,9.614327270284947e-82,3.4050490905624587e-79,2.899416031202896e-37,6.348529980093331e-60,1.7605745578551305e-44,3.0831373562053515e-63,3.482368618250529e-47,3.466082107894377e-63,7.200965762026627e-58,7.557573389107127e-82,8.526851870019664e-46,1.985724788799915e-41,9.588060540885452e-56,6.98923005344976e-65,2.0883388111771232e-50,1.0502002864822037e-60,7.511399119505235e-64,1.3736517268641323e-51,6.191015324198299e-74,6.414284230744023e-78,3.7512029953003867e-28,2.7380113510499483e-49,7.376831502829393e-39,1.777398445303351e-79,3.256884342647493e-48,2.1583422199874902e-89,8.901324432428413e-40,3.9874664984894434e-58,5.28481067751185e-75,1.2038363069967733e-81,1.0547798818889231e-59,4.087615796108768e-74,1.1307047427782244e-73,1.7209304933522184e-57
5.717319258632378e-22,0.7297054958925242,1.038905837147534e-26,4.78040735170151e-27,5.917868125324781e-39,2.1366557657305338e-41,0.0,0.0,1.409379611646396e-21,5.425835069689657e-39,3.78916276452302e-52,6.025992742726041e-44,4.885413128792024e-49,1.4261099990590279e-64,6.805540899474202e-44,2.8534903156116678e-37,1.8870341171889227e-23,4.203140907670215e-37,5.194238478915726e-62,3.4229079562174273e-60,7.467783456783016e-36,1.152502802292653e-55,6.718784076552944e-24,1.487378652630036e-57,1.589944021080763e-41,4.7926734023738926e-55,3.2680432060597993e-34,3.8447835196581226e-42,4.421920127002089e-61,2.7326115438496955e-61,2.9981038905131106e-57,1.721544736240774e-60,2.881247458932815e-49,1.1796290148610539e-61,3.76,0.0,0.5815223350630622,0.9999999999999984,1.0156450735351964e-52,5.3012154965798014e-21,1.8148742450988966e-16,1.7364509509636724e-16,7.842329413522387e-18,3.285576165893838e-35,1.4801514089776798e-15,2.369514364459336e-39,1.7773624905893866e-40,1.781588530531155e-42,4.458696561141093e-55,4.202243425390512e-37,3.983664856541903e-37,2.1885632475406215e-36,1.4622078512913146e-36,9.614746274443008e-41,4.021239451355964e-42,1.9171797631607369e-25,3.9435038870666666e-38,4.572463818571813e-52,5.7000766008432835e-56,3.592024776337495e-46,2.7446899449104805e-64,7.756625747861977e-42,1.4542761214387404e-49,6.718784076553229e-24,2.6701149240710673e-58,5.15805597169262e-41,1.8870341171888572e-23,3.135296691632543e-58,2.963907137330772e-22,4.6312505743691016e-35,1.0503368386841055e-27,1.112999286971592e-21,7.001763934938913e-42,8.41676284686667e-38,1.9171797664243546e-25,4.535250221993215e-53,1.43173654094682e-72,2.216077022978944e-57,3.6849454237313327e-72,4.804827100566117e-60,5.301215496579802e-21,3.0747662530366584e-40,3.163722515488016e-76,2.1506865530557084e-80,7.616958613623641e-78,1.75124728284647e-36,7.536974792365546e-59,1.0633870329504897e-43,3.6603006692869845e-62,2.1033506467026305e-46,5.237943305711588e-62,8.548986552680353e-57,1.6905989368506627e-80,5.150218529492177e-45,1.199377772434952e-40,1.1382945474139e-54,8.29761391945133e-64,1.2613566419509722e-49,1.2478020697141112e-59,8.917533108473848e-63,1.630799330158095e-50,1.9465542741728e-72,2.01675359069303e-76,1.0503368386841122e-27,1.653758856034829e-48,4.4556062277082173e-38,5.588425095785292e-78,1.9671581429580122e-47,6.786173296304735e-88,5.376399957186705e-39,4.733920228752706e-57,1.490851543443632e-73,3.785053963016585e-80,1.2522346757784681e-58,1.1527731958303424e-72,3.188768289701523e-72,2.6006701615538355e-56
1.3068158305445436e-21,0.7297054958925242,2.3746419259470665e-26,1.0926645375324536e-26,2.84919875968873e-38,1.0287077805752264e-40,0.0,0.0,3.221439112334616e-21,2.612306023618792e-38,3.720222510636553e-51,2.9012561298584824e-43,4.796527579951196e-48,1.4001632537929406e-63,3.276574989349107e-43,1.3738327546023223e-36,4.31322083928913e-23,2.0236314171429065e-36,5.099734141309025e-61,3.3606313289821427e-59,3.59541627356428e-35,1.1315340855395672e-54,1.5357220746405997e-23,1.4603171811872962e-56,7.65489604851461e-41,4.709179669901102e-54,1.573422126360681e-33,1.8510977961793476e-41,4.756899888873253e-60,2.938895259764215e-60,2.9435561782196947e-56,1.8519593209799125e-59,2.82882584074374e-48,1.1583417213726946e-60,3.76,0.0,0.581522335063062,0.9999999999999966,9.971663559037439e-52,1.21170639921824e-20,4.148283988797476e-16,3.9690307450598955e-16,1.792532437375811e-17,1.5818634917905359e-34,3.383203220516155e-15,1.1408191675251854e-38,8.557235302382867e-40,8.577581865545567e-42,4.3775747234389735e-54,2.0231993180561277e-36,1.9179631461605456e-36,1.053698994014216e-35,7.039901376744457e-36,4.629086451967539e-40,1.936053696116353e-41,4.382125172949984e-25,1.898627368144003e-37,2.201455599941235e-51,5.596369007692135e-55,1.7294567942900694e-45,2.7046026888778633e-63,3.73448140444334e-41,7.001713513489062e-49,1.5357220746407378e-23,2.6219843825313884e-57,2.483381914848058e-40,4.313220839288815e-23,3.0782528849268655e-57,6.774644885326849e-22,2.229747793090177e-34,2.4007699169922406e-27,2.5439983702207177e-21,3.3710479342441585e-41,4.05230899978231e-37,4.382125188662899e-25,4.4527355616186954e-52,2.8288701366681528e-71,2.1757583593412097e-56,7.280832554588323e-71,4.717407739583272e-59,1.2117063992182402e-20,1.480367593349634e-39,6.250982557777724e-75,4.249394207165784e-79,1.5049826653210974e-76,8.431501818736836e-36,7.399846544792793e-58,5.119750814330872e-43,3.593704902392931e-61,1.0126727961062204e-45,5.634740454568893e-61,8.393445692221557e-56,3.3403386089342764e-79,2.479608523802167e-44,5.7744876858272034e-40,1.1175843366455364e-53,8.146646550287945e-63,6.072889262902919e-49,1.225539545203137e-58,8.755287042466639e-62,1.6011284528682156e-49,4.342655505876807e-71,4.4992663193731e-75,2.4007699169922732e-27,7.962137008863154e-48,2.1451826010216827e-37,1.246746896986347e-76,9.471019668402807e-47,1.5139579420730202e-86,2.588505144950098e-38,4.647790956052014e-56,3.24317130442697e-72,8.444247176014475e-79,1.2294514303295343e-57,2.5075335735199206e-71,6.936267545470684e-71,2.7976822844327147e-55
2.7769836399071553e-21,0.7297054958925243,5.0461141458583366e-26,2.3219121422593667e-26,1.244319953520154e-37,4.492637184131324e-40,0.0,0.0,6.845558113711045e-21,1.1408626719380525e-37,3.2904946960004443e-50,1.2670547934240225e-42,4.2424743255174387e-47,1.2384285416351909e-62,1.4309663811803166e-42,5.999888577526317e-36,9.165594283490099e-23,8.837730054290286e-36,4.5106570976398073e-60,2.972440352546685e-58,1.5702127467083908e-34,1.0008290844443398e-53,3.2634094086109656e-23,1.2916340091942628e-55,3.3430942165108002e-40,4.166687318358794e-53,6.87154780081373e-33,8.084230713792235e-41,4.372410539556693e-59,2.701088815436127e-59,2.603542104922442e-55,1.702269779262287e-58,2.5020644207027966e-47,1.0248513726170773e-59,3.76,0.0,0.5815223350630615,0.9999999999999928,8.819823492548809e-51,2.5748760983387586e-20,8.815103476194634e-16,8.434190333252585e-16,3.8091314294204636e-17,6.908413461389615e-34,7.189306843578663e-15,4.982257024617681e-38,3.7371694752574135e-39,3.7460553539421253e-41,3.871915268426431e-53,8.835842964034251e-36,8.376248953294015e-36,4.6017803383669094e-35,3.074509885990081e-35,2.0216436711168166e-39,8.455255137784091e-41,9.312015992566347e-25,8.291804530752552e-37,9.614432498818392e-51,4.949925010424996e-54,7.553444573235598e-45,2.4095803811197577e-62,1.6309461441026188e-40,3.05783224428344e-48,3.263409408611567e-23,2.319294095469219e-56,1.0845581264983112e-39,9.165594283488726e-23,2.722679818438511e-56,1.4396120381316874e-21,9.737894419615677e-34,5.1016360736085114e-27,5.405996536718751e-21,1.4722251982474818e-40,1.7697498038934726e-36,9.312016061188776e-25,3.9383941786235915e-51,5.0338232622465276e-70,1.9244339456904777e-55,1.2955853624152714e-69,4.1724937227385396e-58,2.5748760983387598e-20,6.46515420754655e-39,1.1123289472899151e-73,7.561569947420279e-78,2.6780362420221203e-75,3.682258359626455e-35,6.545080468268552e-57,2.235929688566309e-42,3.1785912887534134e-60,4.4226081650074914e-45,5.179297385149264e-60,7.423907662022296e-55,5.943954081005018e-78,1.0829101874929604e-43,2.5218704817728455e-39,9.884906895229684e-53,7.205616615877061e-62,2.6521902901947852e-48,1.0841506216162765e-57,7.74395251666486e-61,1.4161799843632502e-48,8.133313151504997e-70,8.426627872724027e-74,5.101636073608654e-27,3.4772744158436696e-47,9.368576008581919e-37,2.335018957903755e-75,4.1362431151456784e-46,2.835475711485361e-85,1.130468202918321e-37,4.110918472649391e-55,6.012478841007075e-71,1.5815140417931784e-77,1.0874358670317925e-56,4.648544702176707e-70,1.2858671044369878e-69,2.571552017606094e-54
5.717319258632379e-21,0.7297054958925245,1.0389058754929699e-25,4.7804073517224255e-26,5.194790861165642e-37,1.875587620589765e-39,0.0,0.0,1.409379611646386e-20,4.762877076075217e-37,2.7658590653768488e-49,5.289704498526706e-42,3.566055298846907e-46,1.040973810161216e-61,5.974002955129425e-42,2.5048353730735205e-35,1.8870341171894262e-22,3.6895783266484575e-35,3.7914790819197665e-59,2.4985152192837585e-57,6.555329120514073e-34,8.41257149952262e-53,6.718784076550712e-23,1.0856962115150621e-54,1.3956760264519471e-39,3.502935089921994e-52,2.868735940146625e-32,3.375007444475689e-40,3.7406892716521494e-58,2.3107382926836693e-58,2.1884340143675027e-54,1.4563278049273875e-57,2.103135906288651e-46,8.619729180753173e-59,3.76,0.0,0.5815223350630606,0.9999999999999851,7.4135930797863895e-50,5.301215496579792e-20,1.814874245098893e-15,1.7364509509638948e-15,7.842329413499798e-17,2.8841266277337882e-33,1.4801514089645913e-14,2.079994231857471e-37,1.5601946895981205e-38,1.563904369029699e-40,3.254578083510363e-52,3.688790503596058e-35,3.49691905119261e-35,1.9211527050383005e-34,1.2835473555508976e-34,8.43996437018399e-39,3.5299025779941424e-40,1.917179763195055e-24,3.46166516709044e-36,4.0139178081249776e-50,4.16071022659075e-53,3.153792490963288e-44,2.054616060277875e-61,6.808879109030286e-40,1.2765847696602326e-47,6.718784076553221e-23,1.949577248375884e-55,4.527816682436415e-39,1.8870341171888528e-22,2.2885764442341655e-55,2.963907137328839e-21,4.065379229353691e-33,1.0503368386841055e-26,1.1129992869713945e-20,6.146250394612359e-40,7.388357055305811e-36,1.917179791843567e-24,3.310457613180191e-50,8.49027869084438e-69,1.6176028126970017e-54,2.1851941689781806e-68,3.507232385602011e-57,5.301215496579797e-20,2.6990746148370163e-38,1.8761053510382277e-72,1.275369293872409e-76,4.516899552171323e-74,1.5372703797426757e-34,5.501534504253761e-56,9.334566306557121e-42,2.6717975026897576e-59,1.8463518592428182e-44,4.430998174460109e-59,6.240241713923004e-54,1.0025347344253374e-76,4.520936861488592e-43,1.0528312830189728e-38,8.308859855759752e-52,6.056754936588805e-61,1.1072372376859657e-47,9.11363217421739e-57,6.509259166195954e-60,1.1903846081038902e-47,1.4048275857067684e-68,1.455490409573658e-72,1.0503368386841651e-26,1.4516936183358941e-46,3.911196062789872e-36,4.033164571575836e-74,1.7268000784567262e-45,4.897579293242744e-84,4.719482214072756e-37,3.455474688749443e-54,1.0334070279561351e-69,2.731672212499764e-76,9.140553691660807e-56,7.989660682845593e-69,2.2100770121412944e-68,2.20001689153508e-53
1.1597990496082825e-20,0.7297054958925246,2.1074948650067717e-25,9.697397770685472e-26,2.122241568713075e-36,7.662387696762387e-39,0.0,0.0,2.8590272121969313e-20,1.945790694428868e-36,2.267618370523645e-48,2.1610170141176127e-41,2.923667585973015e-45,8.534532225577816e-61,2.4405751340845024e-41,1.0233069806654992e-34,3.827983494871146e-22,1.5073131344500805e-34,3.108483629229894e-58,2.048433730702496e-56,2.6780658408553956e-33,6.897134381481013e-52,1.3629533412426263e-22,8.901193492022202e-54,5.701791965929448e-39,2.8721499836686636e-51,1.1719722360953159e-31,1.3788008772160651e-39,3.092874227641621e-57,1.910523985929533e-57,1.7942104245927989e-53,1.2041202728556595e-56,1.7242778820901233e-45,7.075561141373774e-58,3.76,0.0,0.5815223350630587,0.9999999999999699,6.0781115173238e-49,1.0753894293061841e-19,3.681602040057746e-15,3.5225147862415602e-15,1.5908725381618586e-16,1.1782598341593893e-32,3.002592858154932e-14,8.497455122586555e-37,6.373904386052144e-38,6.389059636965349e-40,2.668299746190214e-51,1.506991283012473e-34,1.428605534057077e-34,7.848535656750738e-34,5.243709758599804e-34,3.448000838254964e-38,1.4420803809951916e-39,3.889136091132484e-24,1.414203172109407e-35,1.6398829985554795e-49,3.411201623238075e-52,1.2887361026424921e-43,1.7324030364248453e-60,2.7816492922959364e-39,5.215265333385492e-47,1.3629533412436518e-22,1.5984093961256932e-54,1.8497608537957864e-38,3.827983494868806e-22,1.876313243983906e-54,6.0124973357197306e-21,1.660840065248153e-32,2.1306833013306152e-26,2.257798553570085e-20,2.5109438334430668e-39,3.01838493324372e-35,3.889136208171004e-24,2.714113160703154e-49,1.3945308244389627e-67,1.3262085672357103e-53,3.589188055014763e-67,2.875441007827096e-56,1.0753894293061862e-19,1.102660048798155e-37,3.0815086727276228e-71,2.0947978949129938e-75,7.419021077825039e-73,6.2802511002174106e-34,4.510490375288046e-55,3.813474915980252e-41,2.1905010159109067e-58,7.542949872974788e-44,3.663635339460712e-58,5.116127176598297e-53,1.646666311731952e-75,1.8469502224572666e-42,4.3011593215089535e-38,6.812105309917347e-51,4.965693630691643e-60,4.523425398560869e-47,7.472182033511217e-56,5.336684704467543e-59,9.759492217322937e-47,2.3341420446183333e-67,2.4183190841940467e-71,2.1306833013308574e-26,5.930642106906221e-46,1.5978512108301605e-35,6.701163256758363e-73,7.054541761421388e-45,8.13740169276177e-83,1.928062477361057e-36,2.833006938974659e-53,1.7128092576925404e-68,4.5387142369084655e-75,7.493978165410113e-55,1.3242276687759173e-67,3.663040568309588e-67,1.8190165100760677e-52
2.3359332970983718e-20,0.7297054958925252,4.244673114832488e-25,1.9531378608759284e-25,8.578439738577682e-36,3.0972598424046663e-38,0.0,0.0,5.75832241329795e-20,7.865197092047111e-36,1.8363761495940375e-47,8.73517732005609e-41,2.367661812309075e-44,6.91148546894834e-60,9.865194906341918e-41,4.136370428553932e-34,7.709882250238141e-22,6.092800688388888e-34,2.5173306461231425e-57,1.658874744357585e-55,1.0825170314651977e-32,5.585478242425114e-51,2.74510320841616e-22,7.208417268864474e-53,2.3047554764385665e-38,2.3260341745115063e-50,4.737299160509006e-31,5.573335313907056e-39,2.5150739567657115e-56,1.5535909028747751e-56,1.4529981198823123e-52,9.79171065679571e-56,1.3963649338319455e-44,5.743880134293879e-57,3.76,0.0,0.581522335063055,0.9999999999999395,4.9222122925434674e-48,2.165925188602587e-19,7.41505762997543e-15,7.094642456798462e-15,3.204151731769665e-16,4.7627146371759143e-32,6.047475756443185e-14,3.434807223202628e-36,2.576434062847765e-37,2.582560057575765e-39,2.1608583148121063e-50,6.091499713299864e-34,5.7746519829179454e-34,3.172503599729194e-33,2.1195913241198737e-33,1.3937370706679095e-37,5.829119468795321e-39,7.833048747249699e-24,5.716435333298934e-35,6.629207736077035e-49,2.7624795158002144e-51,5.2117752424314e-43,1.4805317502040349e-59,1.1243871251614735e-38,2.1080936407334362e-46,2.745103208420305e-22,1.294444611734501e-53,7.477029122358866e-38,7.709882250228682e-22,1.5194871198407768e-53,1.2109677732487867e-20,6.713381089207555e-32,4.291376226623635e-26,4.5473970867660715e-20,1.0149636440413006e-38,1.220079449837609e-34,7.833049220338114e-24,2.1979592056624956e-48,2.2605945608175792e-66,1.0739981019481967e-52,5.818228562334602e-66,2.3286066790700262e-55,2.1659251886025956e-19,4.457128217425301e-37,4.995258349895178e-70,3.395757658731373e-74,1.2026552874422275e-71,2.5385779072799767e-33,3.652712048246221e-54,1.5414675335427875e-40,1.773924515258535e-57,3.048981003263468e-43,2.979208002350968e-57,4.143172432163743e-52,2.66931705103459e-74,7.465668101120985e-42,1.7385973673650927e-37,5.51661949572379e-50,4.021347446364402e-59,1.8284408694474994e-46,6.0512767461083935e-55,4.3217868791117446e-58,7.903489829502464e-46,3.80524063973844e-66,3.9424704594159295e-70,4.291376226624616e-26,2.397260362453234e-45,6.458770068567727e-35,1.0924587394816035e-71,2.8515585723320343e-44,1.326601999260696e-81,7.793536804158347e-36,2.2942424992451194e-52,2.788876401769394e-67,7.399249719224964e-74,6.06881781284299e-54,2.1561614782465175e-66,5.964311984246711e-66,1.479194016531479e-51
4.6882017920785504e-20,0.7297054958925262,8.519030697676386e-25,3.9199340285497737e-25,3.449352890020874e-35,1.2453947407966427e-37,0.0,0.0,1.1556912815499696e-19,3.1625611583184947e-35,1.4780752870079432e-46,3.5123772117015185e-40,1.90570020844799e-43,5.56296479103189e-59,3.966751483121273e-40,1.6632163568989474e-33,1.547367976098635e-21,2.4498883599363384e-33,2.026166723384848e-56,1.3352067131061504e-54,4.352753372713714e-32,4.495678815156434e-50,5.509402942756923e-22,5.801961336109978e-52,9.267320403928823e-38,1.872231738973489e-49,1.9048471570201694e-30,2.2410149980362507e-38,2.0284982609473587e-55,1.2530211919354605e-55,1.1694992948615525e-51,7.897376751052812e-55,1.1239159797393575e-43,4.645562131182254e-56,3.76,0.0,0.5815223350630475,0.9999999999998785,3.9618246760389565e-47,4.346996707195363e-19,1.4881968809810695e-14,1.423889779791855e-14,6.43071011892147e-16,1.9150666083997586e-31,1.2137241552649957e-13,1.3811208776467885e-35,1.0359728051364173e-36,1.0384360406712454e-38,1.7392467621929254e-49,2.4493652434795623e-33,2.321962164397698e-33,1.2756497442587547e-32,8.522783491176607e-33,5.6041554869399194e-37,2.3438633010014284e-38,1.572087406045355e-23,2.298553505722915e-34,2.666008304052813e-48,2.223483844485612e-50,2.097640681618452e-42,1.316557311371712e-58,4.521111229961216e-38,8.476551876884488e-46,5.509402942773589e-22,1.0418861279094288e-52,3.0064805249325747e-37,1.5473679760948313e-21,1.2230154395701153e-52,2.430403852596955e-20,2.699421009443288e-31,8.612762077209685e-26,9.126594153152465e-20,4.0811241731744864e-38,4.905885806733252e-34,1.5720875962721264e-23,1.7691087868294546e-47,3.640617849914757e-65,8.644471161276531e-52,9.370077778842405e-65,1.8742652396615823e-54,4.3469967071954e-19,1.7921916530723073e-36,8.044709577852502e-69,5.468763024359001e-73,1.9368392646116163e-70,1.0207510114428945e-32,2.9400204351592024e-53,6.198173158466158e-40,1.4278087778247746e-56,1.2259819023437506e-42,2.4028401323315035e-56,3.334785621260533e-51,4.2988528203880364e-73,3.0019123082714293e-41,6.990823547806768e-37,4.4402553052010034e-49,3.2367302740406115e-58,7.352080318293328e-46,4.8706379212229174e-54,3.478552067488557e-57,6.361416202841784e-45,6.145473797415482e-65,6.367100322693571e-69,8.612762077213626e-26,9.63927848234574e-45,2.5970430378390706e-34,1.7643237823753187e-70,1.1465991602818267e-43,2.1424662436854847e-80,3.133746871729702e-35,1.84660600530407e-51,4.5012662885172273e-66,1.1949808063332345e-72,4.884712550975988e-53,3.480053321518221e-65,9.626423588895748e-65,1.1930235618148168e-50
9.392738782038908e-20,0.7297054958925283,1.7067750196134013e-24,7.853526364133807e-25,1.3833447853680218e-34,4.994591374054389e-37,0.0,0.0,2.3154093619902053e-19,1.2683284734905933e-34,1.1860623325487047e-45,1.408621022548443e-39,1.5292044004392473e-42,4.463928901479081e-58,1.590844762015685e-39,6.670241482825618e-33,3.100127478253962e-21,9.825148064668817e-33,1.6258712185833043e-55,1.0714192988958286e-53,1.7456487841277602e-31,3.607499121245361e-49,1.1038002411413227e-21,4.6557085774641995e-51,3.7166099730093566e-37,1.5023629858807586e-48,7.63928906318944e-30,8.987483535322711e-38,1.6294001176679893e-54,1.0064923108423696e-54,9.384495316346091e-51,6.343614336027725e-54,9.018717919650562e-43,3.763700516751095e-55,3.76,0.0,0.5815223350630325,0.9999999999997568,3.1791147958516067e-46,8.709139744380808e-19,2.981579116948085e-14,2.852740848018386e-14,1.288382689296985e-15,7.680273633928018e-31,2.43167731435846e-13,5.538912440998514e-35,4.1547142990316774e-36,4.16459297521774e-38,1.3956359927366377e-48,9.823050132942591e-33,9.312106801461504e-33,5.11592602265333e-32,3.4180173706929786e-32,2.2475170219486938e-36,9.399940155480231e-38,3.149652469073896e-23,9.218227611126192e-34,1.069535899371905e-47,1.7842057548910915e-49,8.428589564749284e-42,1.2568972815036168e-57,1.8131678565886946e-37,3.399476477672724e-45,1.1038002411480063e-21,8.360497967979646e-52,1.205733158626668e-36,3.100127478238708e-21,9.813928885057444e-52,4.8692760112714544e-20,1.0825885593387906e-30,1.7255533778381816e-25,1.8284988285902943e-19,1.6367133263491122e-37,1.9674796295895054e-33,3.1496532319683283e-23,1.4195983868236368e-46,5.8439979242337116e-64,6.936643728933812e-51,1.5041050030331146e-63,1.5039798179568288e-53,8.70913974438095e-19,7.187490106189672e-36,1.2913540508740477e-67,8.778575803528172e-72,3.109055964839075e-69,4.0936680979091625e-32,2.359181243138543e-52,2.4857446584563697e-39,1.145726623948054e-55,4.916736169966329e-42,1.9300933912819853e-55,2.6759554435987216e-50,6.900610829513164e-72,1.2039010994359055e-40,2.8036329148331054e-36,3.5630252449012846e-48,2.5972722025812507e-57,2.948513037461523e-45,3.908397764697713e-53,2.7913221727052406e-56,5.104635874753015e-44,9.878669643643192e-64,1.02349278099818e-67,1.725553377839762e-25,3.865781798898467e-44,1.0415304137388373e-33,2.836098951135253e-69,4.598375461396524e-43,3.443953428944532e-79,1.256772655816324e-34,1.4817851000233655e-50,7.23342095245403e-65,1.9208967461919454e-71,3.919674193679386e-52,5.592352265246691e-64,1.5469404279021923e-63,9.583014042523974e-50
