Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285)
0.0,0.7317613119220936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6324984316068025,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3197734957621243e-22,0.7317613119220935,3.9728358954888265e-62,8.741983136585629e-28,1.8453934980728006e-75,6.041749386951543e-95,0.0,0.0,1.1236585561302485e-62,9.100332071183154e-140,1.1274211702514919e-76,1.2111102368173314e-94,8.057037084274425e-72,5.595842839480007e-117,4.2874658301729326e-94,2.4835047961593252e-79,-3.1304771769171517e-124,5.265141077953413e-95,1.8400457190448228e-75,5.096494451619064e-62,4.289377258443246e-37,1.9872066609137408e-57,8.785030238624553e-95,2.127278177649885e-198,-7.435875341360382e-143,-3.0312147917308967e-124,3.300431032698538e-97,-5.697547566939985e-168,6.795590309887895e-264,-6.992808462730121e-244,-4.4464447906387464e-159,-2.623393466403428e-128,-4.002534077423444e-109,1.2284721321464388e-193,3.76,0.0,0.6324984316068024,0.9999999999999996,1.711170850334858e-95,1.5191767033066682e-179,3.996824080595611e-17,3.824232099013778e-17,1.7259198158183292e-18,1.9649061528020646e-36,3.2701236339453694e-16,7.090299197745013e-41
3.695365788133948e-22,0.7317613119220936,4.716550775124354e-61,2.447755278244205e-27,5.796512213701695e-74,3.4797383093156307e-93,0.0,0.0,1.3340074378378363e-61,9.697110007614419e-138,2.524249096725325e-75,6.975166661155704e-93,1.802326967603853e-70,5.857212552594046e-115,2.4693608000692655e-92,7.808536439892668e-78,4.0889952011638626e-122,3.0324516856781093e-93,5.785398147990972e-74,6.050558212962166e-61,2.590783864099733e-36,2.359211747836798e-56,5.0597276238997e-93,6.089615891542703e-195,1.740842817141929e-140,2.8101838668477627e-122,2.004621235129134e-95,1.908684643503335e-165,-5.468729293640812e-260,6.971110589917249e-241,1.869308831684157e-156,2.4315807506209596e-126,2.0832828336083608e-107,8.017071460672912e-191,3.76,0.0,0.6324984316068024,0.9999999999999991,9.855467978453855e-94,2.4000462311484673e-176,1.1191107425667708e-16,1.0707849877238639e-16,4.832575484290712e-18,1.1868033162922822e-35,9.156346175043417e-16,4.282540715439396e-40
8.446550372877595e-22,0.7317613119220936,4.630737519781837e-60,5.594869207416405e-27,1.2928114139172785e-72,1.5604607116304084e-91,0.0,0.0,1.3097364130254336e-60,2.206835353204455e-135,4.989482906600525e-74,3.1279296881669725e-91,3.5610943699152874e-69,5.261623822304395e-113,1.1073650283002242e-90,1.7420415250413974e-76,8.15170573249255e-120,1.3598786157999202e-91,1.2906905013851487e-72,5.940473932807222e-60,1.2473509067553142e-35,2.3162880839610715e-55,2.2689942365807447e-91,2.8709453495493604e-191,6.988046806741225e-138,5.988692819374564e-120,9.057901756631212e-94,2.0733081245663134e-162,3.011949435550716e-255,3.4510952339167155e-236,1.5061854305917566e-153,5.181346365816617e-124,2.1855905774436657e-105,2.617421919060897e-187,3.76,0.0,0.6324984316068023,0.9999999999999979,4.4196055013497405e-92,5.716808689342487e-173,2.5579674115811903e-16,2.44750854336886e-16,1.104588682123304e-17,5.713947092345932e-35,2.0928791257225043e-15,2.0618590067063208e-39
1.794891954236489e-21,0.7317613119220936,4.095834894813289e-59,1.1889097065764465e-26,2.4210331976593918e-71,5.870843203001948e-90,0.0,0.0,1.1584470250280746e-59,3.7294541861373394e-133,8.880146059491698e-73,1.1768013011407516e-89,6.336777162722118e-68,3.967652418239808e-111,4.166184000147091e-89,3.262650980932913e-75,1.2576278222934296e-117,5.116203227016949e-90,2.4173204656059335e-71,5.2542819198412784e-59,5.447509118223111e-35,2.0487305791356627e-54,8.536523407604436e-90,8.273343462656783e-188,2.157818572764609e-135,9.57693699600624e-118,3.4213976622101596e-92,1.522082283359864e-159,1.8332870263291422e-250,4.816889484988139e-232,9.305329525986869e-151,8.2854145687441e-122,1.744732825434879e-103,4.088399712191134e-184,3.76,0.0,0.632498431606802,0.9999999999999956,1.6627660487805085e-90,8.236558851505515e-170,5.435680749610028e-16,5.20095565465895e-16,2.3472509495107934e-17,2.4954308140560675e-34,4.447368142153042e-15,9.004679981157383e-39
3.695365788133948e-21,0.7317613119220936,3.442796021656522e-58,2.4477552782475232e-26,4.1815321200326185e-70,2.0328866071461088e-88,0.0,0.0,9.73744526205636e-59,5.460742442267864e-131,1.4978989092027993e-71,4.07488304871999e-88,1.0687900887752276e-66,2.7509819858535545e-109,1.4426172466102316e-87,5.635418205568291e-74,1.7589779384413371e-115,1.771578742610988e-88,4.1753199591785525e-70,4.416540547862016e-58,2.274227822426779e-34,1.7220814970413318e-53,2.955927029022545e-88,1.9893175098871909e-184,6.038085418505803e-133,1.3653555261738886e-115,1.187247211648393e-90,9.273870189407671e-157,7.896156957460275e-246,5.0670841294206585e-228,5.208577452809378e-148,1.1811967153633252e-119,1.242722850975086e-101,5.129898505727025e-181,3.76,0.0,0.6324984316068014,0.9999999999999909,5.75763091348571e-89,9.901352747637303e-167,1.1191107425667698e-15,1.0707849877239512e-15,4.8325754842818695e-17,1.0417932422133558e-33,9.156346174990961e-15,3.759276634663421e-38
7.496313455928867e-21,0.7317613119220939,2.8226121835286344e-57,4.965446421595533e-26,6.947519693213563e-69,6.763541789298174e-87,0.0,0.0,7.983345937497251e-58,7.467103386685714e-129,2.4604105994705736e-70,1.3557382712076678e-86,1.755490930189023e-65,1.831646630352667e-107,4.799678446922265e-86,9.363331633372592e-73,2.3509686412012653e-113,5.894154064747865e-87,6.937356559329791e-69,3.6209467772781254e-57,9.290962716879847e-34,1.4118664550562385e-52,9.83455541328649e-87,4.4043862546564053e-181,1.6143152018845977e-130,1.842941614149289e-113,3.954355271788677e-89,5.171388387545128e-154,2.9493893039058464e-241,4.687018254375098e-224,2.7853163253911298e-145,1.5943460192352454e-117,8.383631514325053e-100,5.803818177839441e-178,3.76,0.0,0.6324984316068003,0.9999999999999815,1.9156000710430556e-87,1.0960197782590762e-163,2.2701960777783022e-15,2.1721638322402185e-15,9.80322455380841e-17,4.2560653231959217e-33,1.8574302240574182e-14,1.535787167444427e-37
1.50982087915187e-20,0.7317613119220941,2.285824527384585e-56,1.0000828708314981e-25,1.1326084485870486e-67,2.206609082296448e-85,0.0,0.0,6.465120522407023e-57,9.875959053805604e-127,3.9885178470681316e-69,4.4231017025840695e-85,2.8457264470760483e-64,1.1955176417085937e-105,1.5658976292131e-84,1.5264593745321317e-71,3.074184127996794e-111,1.9229708778182562e-85,1.1309642089975112e-67,2.932336579624907e-56,3.7555556798766505e-33,1.1433660604144065e-51,3.208528899700887e-85,9.373520028796777e-178,4.222188182319602e-128,2.4219467173781312e-111,1.2908194952834627e-87,2.7621074635422967e-151,1.0304532988479066e-236,4.0764804244689e-220,1.457041345781781e-142,2.095235656481819e-115,5.5076285914373266e-98,6.243994315027616e-175,3.76,0.0,0.632498431606798,0.9999999999999626,6.2496553529093294e-86,1.1662475486748676e-160,4.572366748201357e-15,4.374921521273367e-15,1.9744522692799043e-16,1.7203696522575326e-32,3.741021437137016e-14,6.207897282119274e-37
3.0301999462698376e-20,0.7317613119220947,1.8398304418791413e-55,2.0071593281847596e-25,1.8291556088303815e-66,7.129557271266742e-84,0.0,0.0,5.203691449208285e-56,1.2848893488397307e-124,6.423454265729431e-68,1.4291045761212446e-83,4.5829547141575514e-63,7.726629309012507e-104,5.0594176003762925e-83,2.4652359672624877e-70,3.9769299632228707e-109,6.213121805025486e-84,1.8265102184503626e-66,2.3601995867993562e-55,1.5100924213449379e-32,9.20280476020817e-51,1.036676171164342e-83,1.956671737619845e-174,1.0924554111256433e-125,3.1410519586250047e-109,4.1717887785719896e-86,1.4442713852752887e-148,3.485443646379853e-232,3.4401901498523265e-216,7.540098883240674e-140,2.7173279838765086e-113,3.5710795059959295e-96,6.552940891287607e-172,3.76,0.0,0.6324984316067934,0.999999999999925,2.0192645866332822e-84,1.2172176110800648e-157,9.176708089047437e-15,8.780436899342131e-15,3.9627118970530505e-16,6.917530707055928e-32,7.508203863148028e-14,2.4961681938699535e-36
6.070958080505773e-20,0.731761311922096,1.476348061134867e-54,4.021312242928768e-25,2.940306179370258e-65,2.2924653970383456e-82,0.0,0.0,4.175634670951394e-55,1.6580816387822827e-122,1.0311122225058991e-66,4.5951976807106895e-82,7.356657287588994e-62,4.9692845153019165e-102,1.6268246871592012e-81,3.9627948174338425e-69,5.117465173355877e-107,1.9977911956761202e-82,2.9360618307518177e-65,1.8939115282290222e-54,6.056146014940196e-32,7.384671247669568e-50,3.333368622905772e-82,4.0455365761583224e-171,2.8115751415710777e-123,4.046971715211524e-107,1.3415980592748848e-84,7.472691879248782e-146,1.160279153895601e-227,2.8602442407948544e-212,3.8811240561479825e-137,3.501034866227106e-111,2.3003909010779583e-94,6.792985268587844e-169,3.76,0.0,0.6324984316067842,0.9999999999998496,6.4928213859473834e-83,1.2583238487200371e-154,1.8385390770739462e-14,1.7591467655489516e-14,7.939231152499424e-16,2.7742392075997203e-31,1.504256871457731e-13,1.0010750896362928e-35
1.215247434897764e-19,0.7317613119220986,1.182875007699317e-53,8.049618072566732e-25,4.715444342857478e-64,7.353550147266696e-81,0.0,0.0,3.34558904067235e-54,2.1309780587434355e-120,1.6524726011417766e-65,1.4740032785621895e-80,1.1789833781972384e-60,3.188122010664343e-100,5.218371859403321e-80,6.355244228669152e-68,6.5676741323363605e-105,6.4083225684241455e-81,4.708643990550619e-64,1.517433911764974e-53,2.4256172749673995e-31,5.916723358734442e-49,1.0692459462838366e-80,8.32466172203914e-168,7.216737381001919e-121,5.197103685852217e-105,4.303746139281469e-83,3.846125819929744e-143,3.83204734267459e-223,2.360493150759839e-208,1.992420411481645e-134,4.496010444984871e-109,1.4770369768983485e-92,6.998743918521115e-166,3.76,0.0,0.6324984316067658,0.9999999999996989,2.0827048347378443e-81,1.2946455855193804e-151,3.6802756134122965e-14,3.521352916782372e-14,1.5892269662992495e-15,1.1111427184849312e-30,3.0111298415064924e-13,4.0095219388334087e-35
2.431550688592138e-19,0.7317613119221035,9.4701924480616e-53,1.6106229732442445e-24,7.553486004952998e-63,2.3559657590116406e-79,0.0,0.0,2.6785054939076564e-53,2.7331910825490522e-118,2.6461128283653356e-64,4.722482485367921e-79,1.8879095078172483e-59,2.0428912768519527e-98,1.6718870708307032e-78,1.0180224286181845e-66,8.417720313754269e-103,2.0531292017530698e-79,7.542597919532294e-63,1.2148697941943986e-52,9.708790440947808e-31,4.736976308094807e-48,3.425701582151482e-79,1.7089364226968358e-164,1.8499332028944984e-118,6.6631815825834e-103,1.378902448767878e-81,1.9743811625468375e-140,1.2606305485755864e-218,1.9408685002863066e-204,1.0214738450080372e-131,5.764311084863379e-107,9.468384554790416e-91,7.188690641699928e-163,3.76,0.0,0.6324984316067289,0.9999999999993975,6.672669905697456e-80,1.3288599298702405e-148,7.363748686088784e-14,7.045765219264983e-14,3.1798346682379934e-15,4.44746659509822e-30,6.024875780655632e-13,1.6048536873843764e-34
4.864157195980886e-19,0.7317613119221136,7.579032143300469e-52,3.221945305459301e-24,1.2092602250162455e-61,7.543621148123738e-78,0.0,0.0,2.1436184476357023e-52,3.502034038611951e-116,4.235506959625719e-63,1.5121025518229556e-77,3.0218847078370632e-58,1.3082488166498594e-96,5.353253803102953e-77,1.6297831880834462e-65,1.0781788655113395e-100,6.573961784857324e-78,1.207517529365796e-61,9.722650590895724e-52,3.8847808049173966e-30,3.7910207102885346e-47,1.0968832973541033e-77,3.5040501566230218e-161,4.738964907435248e-116,8.5358482609212e-101,4.4152157388071566e-80,1.0122075359010801e-137,4.138955214989009e-214,1.5928959681746862e-200,5.2334159733566533e-129,7.384351545596625e-105,6.0646822710144535e-89,7.372520557798896e-160,3.76,0.0,0.6324984316066552,0.9999999999987947,2.1365375800786179e-78,1.3623638617478655e-145,1.4730694831440898e-13,1.4094589824293295e-13,6.361050071475999e-15,1.7795659471208958e-29,1.2052367655160378e-12,6.421505170490519e-34
