Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(923),S(304),S(964),S(1434),S(335),S(220),CF2O(49),S(879),C2H2F3(67),C2H2F3(68),S(133),S(149),CHFCF2(55),C2H3F2(66),C2H3F2(64),C2HF2(72),CF2CH(73),S(234),CF2(43),S(3455),CH2F(46),S(3466),CH2F2(41),C2F(235),S(3986),S(4065),S(3435),C2H3F2(65),CFO(51),F(37),S(4439),CHO2(339),S(215),CHF2(82),S(4798),S(3456),CHF3(42),S(221),CFO3(4550),S(2885),S(4664),S(3782),S(5203),S(2642),S(2822),C2HF3(125),C2HFO(286)
0.0,0.6809674821456289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7932231176874651,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.164112938450506e-22,0.6809674821456289,3.0925742559919465e-27,6.562020955777294e-29,4.229748981156412e-38,3.5177744821608286e-27,0.0,0.0,3.9827149420866777e-22,7.322806898755029e-40,4.1268976445895006e-54,3.8894094973818897e-54,4.948362757438602e-58,1.2085163333485173e-69,3.682562342261714e-46,2.4312035630188108e-39,2.3630812711137956e-41,7.331959370751163e-39,5.811393546348811e-96,5.42283385361714e-65,1.700983159945146e-92,9.823717515227691e-92,5.702401803399112e-26,6.488212446827917e-93,7.536072564732922e-60,1.8986865991750725e-97,1.6378763578926823e-100,1.3668062873118141e-80,1.2913772239054578e-96,2.3864331196438493e-97,5.45289687294036e-61,2.758585283247379e-113,2.125732811872589e-114,3.7911981183860276e-114,3.76,0.0,0.7932231176874651,0.9999999999999994,7.947593806170498e-53,4.2590725398577993e-57,2.2184733538801215e-18,1.4093963473551475e-18,4.487888304163175e-19,3.602881761086567e-19,5.074374451620831e-16,1.2516321411192372e-37,3.892022561046895e-58,7.057586361380244e-36,9.976718801259214e-44,7.02375586225954e-38,9.430494831258519e-95,5.1912817699636905e-93,2.1963765235582327e-41,5.388859903715824e-95,2.5491908723037523e-43,1.9660525667850513e-112,3.8152245066157397e-93,3.1278961135036727e-96,6.195897500750728e-95,2.332710384701543e-93,1.4119834060768323e-113,1.4135815714278218e-112,1.7682472089849236e-109,2.8557539815041543e-43,7.33195937075116e-39,1.288275015953493e-44,3.0539757916283995e-22,9.287700762008054e-23,2.181036957934518e-36,3.623714738128609e-52,5.20313622680444e-37,1.057420820064523e-26,6.857984316311256e-25,3.738466361862283e-39,5.114233383555641e-38,1.1075439996817276e-52,8.524091001523219e-38,3.53127434138398e-43,1.6545459567066998e-21,3.0334925674132556e-48,3.3237278353979796e-38,2.1729855750308978e-63,1.0021633770751757e-68,6.335968087061771e-73,8.5588975966269e-39,1.3084983431155986e-39,5.895978615495583e-56,6.963726398316491e-25,4.865280570767499e-73,3.6501990447371044e-69,6.2225261226580286e-43,1.6545459567066998e-21,4.809441374731378e-59,1.242069297790303e-38,5.7024018033992e-26,5.705934916899002e-42,1.34752738309153e-74,4.5385725207957425e-38,1.8758601042995702e-51,1.1927985704735594e-58,2.2282892496612815e-74,1.5764018373527656e-56,1.0918766795143466e-56,3.5177744821607655e-27,1.526587330041886e-59
1.1659516227661418e-21,0.6809674821456289,8.659207918598236e-27,1.8373658676185851e-28,2.5547683846184768e-37,9.849768550050343e-27,0.0,0.0,1.1151601837842693e-21,4.422975366848036e-39,4.899452887002863e-53,4.617506955291694e-53,5.874996383732725e-57,1.4347505909510529e-68,2.2242676547256257e-45,1.4684469520633333e-38,1.427301087753093e-40,4.42850345993766e-38,3.535354362238648e-94,6.437988351024917e-64,8.125800673657048e-91,4.692907743067752e-90,1.5966725049517229e-25,3.4151890628226447e-91,8.946825348852824e-59,9.070253726685588e-96,7.83265008781222e-99,4.297457656315911e-79,6.169096574586141e-95,1.1400284524834131e-95,6.473679167565021e-60,2.128844029675374e-111,1.6557876955983723e-112,2.927738000418644e-112,3.76,0.0,0.7932231176874651,0.9999999999999986,9.435383366725454e-52,5.056370919320448e-56,6.211725390864341e-18,3.9463097725946455e-18,1.2566087251656956e-18,1.0088068931040006e-18,1.4208248464520062e-15,7.559858132360558e-37,4.620609184475068e-57,4.2627821622670665e-35,6.025938155955981e-43,4.242348540805517e-37,4.50506054683644e-93,2.4799375968929005e-91,1.326611420230292e-40,2.5743230423307825e-93,1.539711286872371e-42,1.7102329524795173e-110,1.822578529504453e-91,1.4942335081760027e-94,2.959854586885162e-93,1.1143637432966306e-91,1.2282583844514427e-111,1.229648599084217e-110,1.5381657109387723e-107,1.724875405065015e-42,4.4285034599376576e-38,7.781181096385013e-44,8.551132216559491e-22,2.60055621336219e-22,1.3173463225924259e-35,4.302074673808891e-51,3.1426942809898456e-36,2.9607782961922797e-26,1.9202356085673028e-24,2.258033682564376e-38,3.0889969636669958e-37,1.3148848331816471e-51,5.148550964919971e-37,2.1328897021958954e-42,4.63272867877876e-21,1.832243735776953e-47,2.00753161258038e-37,2.5797684746778678e-62,2.2418133898127224e-67,1.417339569567254e-71,5.169574148362065e-38,7.903329992418274e-39,6.99971732110151e-55,1.94984339152849e-24,1.0883506001348702e-71,8.165400256388672e-68,3.7584057781623654e-42,4.632728678778759e-21,5.709768800187621e-58,7.502098558652745e-38,1.5966725049517764e-25,3.446384689813863e-41,3.0143695894816367e-73,2.7412978025604916e-37,2.227021113777851e-50,1.4160904628667254e-57,7.006097927210403e-73,9.87395168765409e-56,1.2962759939181846e-55,9.849768550049957e-27,1.8124736750751243e-58
2.665032280608324e-21,0.6809674821456289,1.9792475251093955e-26,4.199693411704067e-28,1.2300110037202912e-36,2.2513756685829456e-26,0.0,0.0,2.5489375629354703e-21,2.1294722461579594e-38,4.810311899285274e-52,4.533495710148063e-52,5.768237798312648e-56,1.4086466381500796e-67,1.070889129129031e-44,7.069939961258269e-38,6.871840336404322e-40,2.1321337850202615e-37,1.5960279535894976e-92,6.320855139808042e-63,4.2310875640358126e-89,2.443587331798088e-88,3.6495371541752317e-25,1.6764763208318853e-89,8.784046181458579e-58,4.722862310913098e-94,4.0749208584969555e-97,9.587391628435078e-78,3.212225280098314e-93,5.936101492007623e-94,6.3558965951301245e-59,2.320128291848246e-109,1.7981838199795994e-110,3.190919360656943e-110,3.76,0.0,0.7932231176874651,0.9999999999999968,9.26371534052893e-51,4.964374952462015e-55,1.419822946483278e-17,9.02013662307457e-18,2.872248514664476e-18,2.305844327093735e-18,3.2475996490245457e-15,3.639746266375289e-36,4.536541497156862e-56,2.052346113879474e-34,2.9012298273992506e-42,2.0425082047461857e-36,2.3457756867829673e-91,1.2912983652567301e-89,6.387062930523828e-40,1.3404446710227723e-91,7.413047056672391e-42,1.7776574449650683e-108,9.49012861714698e-90,7.780442898411954e-93,1.5411901469817992e-91,5.802468908183156e-90,1.2766814358790224e-109,1.2781264585522337e-108,1.5988065976398538e-105,8.304532581693387e-42,2.1321337850202594e-37,3.746303746431629e-43,1.9545445066421585e-21,5.944128487684691e-22,6.342455473673228e-35,4.2238026608802896e-50,1.5130720147546762e-35,6.767493248494258e-26,4.38910996244026e-24,1.0871460180288875e-37,1.487219067937063e-36,1.290965493427108e-50,2.4788056632428707e-36,1.0268945784744161e-41,1.0589094122922882e-20,8.821609761927943e-47,9.665400545337325e-37,2.5328319862595693e-61,4.4294589805265803e-66,2.800432682488655e-70,2.4889274210982283e-37,3.805113181780247e-38,6.872369016702488e-54,4.456784894921662e-24,2.1504039371088427e-70,1.6133504092689518e-66,1.8095105965842332e-41,1.0589094122922879e-20,5.605884866716862e-57,3.6119375179731693e-37,3.64953715417549e-25,1.6592858738443323e-40,5.955890909043455e-72,1.3198168890471967e-36,2.186502531227124e-49,1.3903260137455175e-56,1.5630219070675085e-71,5.1129034281033694e-55,1.2726914576380545e-54,2.2513756685827602e-26,1.7795452514247042e-57
5.663193596292688e-21,0.6809674821456289,4.205900994521795e-26,8.92434849989011e-28,5.371781206068713e-36,4.784173295738803e-26,0.0,0.0,5.416492321237863e-21,9.299964761418856e-38,4.2546664004514827e-51,4.0098256154202696e-51,5.1019932389207526e-55,1.245931999026988e-66,4.6768541746654e-44,3.087628525033443e-37,3.001113214320102e-39,9.31158840091362e-37,6.026297872709409e-91,5.5907247897912245e-62,1.6885159767149273e-87,9.75171557548085e-87,7.755266452621795e-25,6.547733754909851e-88,7.769389371349401e-57,1.8847703686838852e-92,1.6256942469608285e-95,1.7956123462907186e-76,1.281913311836514e-91,2.368941848227057e-92,5.621718560190605e-58,1.8980114802860488e-107,1.46871672471134e-108,2.610403141700872e-108,3.76,0.0,0.7932231176874651,0.9999999999999931,8.193651310466579e-50,4.3909334256995447e-54,3.0171237612769655e-17,1.916779032403813e-17,6.103528093662134e-18,4.899919195069393e-18,6.901149254140396e-15,1.5895728192219957e-35,4.012519579538169e-55,8.963134678850604e-34,1.2670432877527364e-41,8.920169945081013e-36,9.361374977632117e-90,5.153232797665722e-88,2.7893981849358532e-39,5.349362802670075e-90,3.237472407839055e-41,1.4229592351109468e-106,3.787261206222341e-88,3.104970516765229e-91,6.150485299626944e-90,2.3156130209419308e-88,1.0219435947129906e-107,1.0231002902084456e-106,1.2797947207618778e-103,3.6268075600736946e-41,9.311588400913603e-37,1.636109270301102e-42,4.153407076614535e-21,1.2631273036328625e-21,2.7699169365764728e-34,3.735905713905438e-49,6.607983008041064e-35,1.4380923153284064e-25,9.326858670188589e-24,4.7478522795582326e-37,6.495076397106186e-36,1.1418458552767394e-49,1.082559557193364e-35,4.48471841355718e-41,2.2501825011211125e-20,3.8527560490347014e-46,4.221134350955433e-36,2.2402612084412232e-60,7.88199654616686e-65,4.983227258264898e-69,1.086979994770712e-36,1.6617928957568977e-37,6.078534571011972e-53,9.470667901705963e-24,3.826534229029859e-69,2.8708748427717424e-65,7.902608176966465e-41,2.2501825011211113e-20,4.958341680385728e-56,1.577428008192617e-36,7.755266452622921e-25,7.246537344565204e-40,1.059819335506871e-70,5.763987101408471e-36,1.933936719805329e-48,1.2297276142185966e-55,2.9273670489431354e-70,2.5483814480575647e-54,1.1256811815039876e-53,4.784173295737992e-26,1.5740066252798717e-56
1.1659516227661417e-20,0.6809674821456289,8.659207944999622e-26,1.8373658676322514e-27,2.2426129098091907e-35,9.849768550050654e-26,0.0,0.0,1.1151601837842611e-20,3.882552217719887e-37,3.576303472692834e-50,3.3705000398781646e-50,4.288553445274062e-54,1.0472809182148648e-65,1.952494553860882e-43,1.2890241291121714e-36,1.2529056899495578e-38,3.887404858425719e-36,2.0908026819091163e-89,4.699341052322168e-61,6.001250242976526e-86,3.465912450461949e-85,1.5966725049513099e-24,2.3059439090040013e-86,6.530639907458916e-56,6.69876909029648e-91,5.777219331152208e-94,3.1014737909755233e-75,4.556118496067295e-90,8.419589715208445e-91,4.725393183855658e-57,1.3660134498558717e-105,1.0562326209891946e-106,1.8787368859648247e-106,3.76,0.0,0.7932231176874651,0.9999999999999858,6.887257630977235e-49,3.690844117894055e-53,6.211725390864342e-17,3.9463097725980104e-17,1.2566087251657847e-17,1.0088068931005457e-17,1.4208248464255187e-14,6.636153612219275e-35,3.3727644790445514e-54,3.7419322887117284e-33,5.289656308362878e-41,3.7239953581802256e-35,3.327179288496792e-88,1.8315396481768113e-86,1.1645188328057219e-38,1.9012473238631632e-88,1.3515810005073133e-40,1.0130774445588853e-104,1.3460519502129295e-86,1.1035551528968603e-89,2.185978806763646e-88,8.230051356526355e-87,7.275739036411602e-106,7.283974143146873e-105,9.111513059002669e-102,1.5141207641869245e-40,3.8874048584257055e-36,6.830434134946908e-42,8.551132216559129e-21,2.6005562133612222e-21,1.156385795096552e-33,3.1402538947747086e-48,2.7587028274511956e-34,2.9607782963607097e-25,1.9202356085694892e-23,1.9821348650532012e-36,2.711566539952669e-35,9.597908358989848e-49,4.519473049006847e-35,1.8722816558013566e-40,4.6327286787787626e-20,1.608556198820387e-45,1.7622404983280079e-35,1.8830745315658681e-59,1.329414799580783e-63,8.40494667562397e-68,4.5379275057234414e-36,6.937658215199693e-37,5.1093753602336206e-52,1.94984339152664e-23,6.454013529854306e-68,4.8421532304015054e-64,3.299183351304781e-40,4.632728678778756e-20,4.1677849455366684e-55,6.585451416874574e-36,1.5966725049517799e-24,3.0252866930325826e-39,1.7875405121179328e-69,2.406351150523992e-35,1.625590328451965e-47,1.0336601564009808e-54,5.056298592247944e-69,1.3275242573861134e-53,9.462028604255224e-53,9.849768550047271e-26,1.3230549440234928e-55
2.3652161490398874e-20,0.6809674821456287,1.756582189256737e-25,3.727227902942859e-27,9.161805483144558e-35,1.998095905867491e-25,0.0,0.0,2.2621820871051966e-20,1.58614926549791e-36,2.932069658161162e-49,2.7633395697263936e-49,3.516023461706535e-53,8.586241707973151e-65,7.9765773357794e-43,5.266084165637865e-36,5.11852855652585e-38,1.588131727587348e-35,6.963245876312782e-88,3.852803717025586e-60,2.0213863618207383e-84,1.1674147677356195e-83,3.2389642243288413e-24,7.734139654106309e-85,5.354213160798583e-55,2.2563299199965733e-89,1.9458091632328173e-92,5.153145090211513e-74,1.5346258492088164e-88,2.8359495986116107e-89,3.8741628284570316e-56,9.259286555580033e-104,7.156772915411525e-105,1.2734725376063332e-104,3.76,0.0,0.793223117687465,0.9999999999999711,5.646589916455767e-48,3.0259769992708446e-52,1.2600928650039094e-16,8.005371252992347e-17,2.549120556765085e-17,2.046436840281659e-17,2.8822446884017124e-14,2.711085282954213e-34,2.7651960937695617e-53,1.5287014361424468e-32,2.1609971991730815e-40,1.5213736147975e-34,1.1206856179951177e-86,6.169129958055627e-85,4.757439405216071e-38,6.40392460821235e-87,5.521649397144869e-40,6.830097060871898e-103,4.5338736835024733e-85,3.71707768436057e-88,7.36297866029494e-87,2.7721079601248226e-85,4.905252216881801e-104,4.910804268084675e-103,6.142918184651042e-100,6.185677381078454e-40,1.588131727587337e-35,2.7904552158619624e-41,1.7346582496447674e-20,5.275414032816233e-21,4.724213292361691e-33,2.574569883821051e-47,1.1270201192703093e-33,6.006150258722678e-25,3.8953350916746085e-23,8.09766767839584e-36,1.1077634078044622e-34,7.868947514320775e-48,1.8463522072932879e-34,7.648881474407706e-40,9.397821034094064e-20,6.572346362479177e-45,7.199327440585431e-35,1.5438582715604927e-58,2.1835685006136527e-62,1.3805154580755288e-66,1.8538914550128809e-35,2.834259751122778e-36,4.188974931814332e-51,3.95539659423546e-23,1.0600740002653206e-66,7.953253771805432e-63,1.3478240491793403e-39,9.397821034094038e-20,3.41700190641686e-54,2.6903717817775674e-35,3.2389642243307618e-24,1.2359283268183414e-38,2.9360408955834694e-68,9.830729622928233e-35,1.3327571440207071e-46,8.474570473387236e-54,8.401115734263725e-68,7.577744930810291e-53,7.75754272132804e-52,1.998095905866108e-25,1.0847233769965824e-54
4.763745201587379e-20,0.6809674821456287,3.5379049974151256e-25,7.506951973660584e-27,3.7033482609539638e-34,4.0243340075925616e-25,0.0,0.0,4.556225893747009e-20,6.411468934590964e-36,2.374466028256362e-48,2.237824027979452e-48,2.847370250986594e-52,6.953361148414257e-64,3.224260093598827e-42,2.1286354171911964e-35,2.06899108079612e-37,6.419482363513561e-35,2.2729194291993414e-86,3.1201003408982995e-59,6.63439243957184e-83,3.8315721601470045e-82,6.52354766308099e-24,2.5332293363811554e-83,4.3359806349971104e-54,7.405500722761844e-88,6.386154765464071e-91,8.400927083846447e-73,5.036795161853772e-87,9.307870385087266e-88,3.1373975031026513e-55,6.09673088150771e-102,4.711454925121562e-103,8.385126321432437e-103,3.76,0.0,0.7932231176874649,0.9999999999999419,4.5727549120763335e-47,2.4505146277808654e-51,2.5379335168388594e-16,1.6123494213804782e-16,5.1341442199643157e-17,4.1216967346194845e-17,5.805084372167041e-14,1.0958640178962033e-33,2.2393274892879653e-52,6.17925562289247e-32,8.735096192553384e-40,6.1496353977605775e-34,3.678202411961813e-85,2.0247702233296104e-83,1.9230330725535514e-37,2.1018321786948133e-85,2.2319389699459415e-39,4.4852130278007184e-101,1.4880627403077592e-83,1.2199821149197162e-86,2.4166033215235431e-85,9.098335894515556e-84,3.2211989011942562e-102,3.224844842428555e-101,4.033953899371298e-98,2.5003497091692672e-39,6.41948236351347e-35,1.1279466139198062e-40,3.4937483056222185e-20,1.0625129671719423e-20,1.9096025464433527e-32,2.084953448027555e-46,4.5555955171025554e-33,1.2096894184636069e-24,7.845534057900286e-23,3.273206746152743e-35,4.477756810445952e-34,6.37247865491585e-47,7.463250828196317e-34,3.091800187047053e-39,1.8928005744724682e-19,2.657350386054306e-44,2.910083258827021e-34,1.2502564555572561e-57,3.53965919564942e-61,2.237875401894122e-65,7.49372567287479e-35,1.1456531073187241e-35,3.3923406324093537e-50,7.966502999640034e-23,1.7184259078199746e-65,1.2892569131811426e-61,5.4481203091024665e-39,1.8928005744724574e-19,2.7671767373641867e-53,1.0874912895350073e-34,6.523547663088752e-24,4.99581990526492e-38,4.759449003540909e-67,3.9737380934243625e-34,1.0793012548313334e-45,6.862926887507066e-53,1.3695938978659467e-66,4.804779513914888e-52,6.282259223398502e-51,4.02433400758697e-25,8.784383101137266e-54
9.560803306682363e-20,0.6809674821456289,7.10055068831126e-25,1.506640011548207e-26,1.4891000478123877e-33,8.076810211043583e-25,0.0,0.0,9.144313507030399e-20,2.578023459934137e-35,1.9111768334333417e-47,1.801195464005939e-47,2.291812615360866e-51,5.596669980908764e-63,1.2964608028071335e-41,8.559149391727552e-35,8.319322138490672e-37,2.581245624611297e-34,7.345682840481992e-85,2.5113281972219535e-58,2.149914323885311e-81,1.2416437443360417e-80,1.3092714540573623e-23,8.200826988008834e-82,3.489974436886899e-53,2.399796549058268e-86,2.069441870884371e-89,1.3567519680865283e-71,1.6322033401405862e-85,3.016270725649139e-86,2.5252504581747584e-54,3.9574403880560237e-100,3.057959675780765e-101,5.442860797425416e-101,3.76,0.0,0.7932231176874647,0.9999999999998834,3.6805509739259715e-46,1.9723873624241104e-50,5.093614820508758e-16,3.2359740135524716e-16,1.0304191546365302e-16,8.272216523197538e-17,1.1650763738949467e-13,4.406421018124611e-33,1.8024055804728067e-51,2.484651508349211e-31,3.512343760492212e-39,2.4727413463894503e-33,1.1919433654955998e-83,6.56138831909623e-82,7.732431407100484e-37,6.811112169527199e-84,8.974528434245807e-39,2.9075053681746867e-99,4.8221558030882333e-82,3.9534245944783547e-85,7.8311467768180365e-84,2.948369853229139e-82,2.0881177859099665e-100,2.090481239719012e-99,2.6149800568385622e-96,1.0053796301785759e-38,2.5812456246112236e-34,4.5354237267069344e-40,7.01192841757609e-20,2.132456094949846e-20,7.678427851868136e-32,1.6781519241693795e-45,1.8317849211884728e-32,2.4278382041220666e-24,1.574593199041339e-22,1.316142036524141e-34,1.8004863195660983e-33,5.129125590650036e-46,3.000940333445927e-33,1.243199256979154e-38,3.798837516598597e-19,1.0690741767922732e-43,1.1701316793631925e-33,1.0063151653162017e-56,5.700512460564182e-60,3.604029627813606e-64,3.0131941344368955e-34,4.6066207568766337e-35,2.730450918376515e-49,1.5988715810396917e-22,2.7674721654900177e-64,2.0763086760329325e-60,2.190665217638205e-38,3.7988375165985544e-19,2.2272645800488347e-52,4.3727546455883496e-34,1.309271454060483e-23,2.0087972117559145e-37,7.664946045644654e-66,1.5978226102254293e-33,8.687154915037712e-45,5.523880620341479e-52,2.211897803321083e-65,3.332680517303635e-51,5.056508766853135e-50,8.0768102110211e-25,7.070440521713403e-53
1.9154919516872329e-19,0.6809674821456291,1.4225842368420957e-24,3.018529640066919e-26,5.971957208003653e-33,1.6181762617949147e-24,0.0,0.0,1.8320488733596245e-19,1.033902712350949e-34,1.533599047126844e-46,1.4453459245329164e-46,1.8390358293005197e-50,4.490975193581758e-62,5.199387675379527e-41,3.4326017233866017e-34,3.336420268426471e-36,1.0351949446230247e-33,2.3622615161838097e-83,2.0151827207817976e-57,6.923066683800216e-80,3.998290696531747e-79,2.6231048295512247e-23,2.639480684103082e-80,2.8004846947713565e-52,7.727727266441871e-85,6.663885393633718e-88,2.1809391633761613e-70,5.255954689992586e-84,9.712872300105607e-85,2.026354458389636e-53,2.5506743848540396e-98,1.970843443759932e-99,3.5080679603472267e-99,3.76,0.0,0.7932231176874641,0.9999999999997665,2.9534103635723266e-45,1.5827166417788907e-49,1.0204977427848554e-15,6.483223197934483e-16,2.0644286199177366e-16,1.6573256099963243e-16,2.3342122469521386e-13,1.7671719102765152e-32,1.4463169667992984e-50,9.964563833924722e-31,1.408606941223421e-38,9.91679875985237e-33,3.838247558358216e-82,2.1128715859542588e-80,3.10105083603949e-36,2.193286645654278e-82,3.5991872979962827e-38,1.872714964280015e-97,1.5528110033909566e-80,1.2730657123456453e-83,2.5217540420857374e-82,9.49422071196248e-81,1.3449500274221773e-98,1.346472320536753e-97,1.6843003415005695e-94,4.0320220567082803e-38,1.0351949446229659e-33,1.8189077670195145e-39,1.40482886414797e-19,4.2723423504947197e-20,3.0793929946709713e-31,1.3466112337648462e-44,7.346276819784157e-32,4.8641357773421156e-24,3.154672785568661e-22,5.278318225233872e-34,7.220755428453653e-33,4.115800415690487e-45,1.2035112940469746e-32,4.985785054934316e-38,7.610911400850873e-19,4.291999617233846e-43,4.692751388431331e-33,8.075045446995124e-56,9.150585330072787e-59,5.785265950826381e-63,1.2084256162921458e-33,1.8474609596584336e-34,2.191014924484787e-48,3.203314143170162e-22,4.4424059012155766e-63,3.332935388045177e-59,8.785547346172828e-38,7.610911400850704e-19,1.7872395618919904e-51,1.753670189090582e-33,2.6231048295637393e-23,8.056175277763528e-37,1.2303936052873499e-64,6.407983310589425e-33,6.970893831161831e-44,4.432566316183293e-51,3.555561117548673e-64,2.46004295833692e-50,4.0575298370579e-49,1.6181762617858978e-24,5.6735851480297015e-52
