Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307)
8.072173153224924e-16,0.6586277454453165,0.0,1.321699307158323e-22,0.0,0.0,0.0,0.0,0.0,0.0,6.0200124488968776e-37,4.49510223665936e-53,0.0,4.624919369740659e-87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.605758474862522,0.9999999990091055,0.0,0.0,3.3529570290996147e-12,2.1298574465223103e-12,6.775970056776236e-13,5.455025768859658e-13,9.908943529599041e-10,2.3699484679080723e-25,7.495516853499949e-40,1.3214373382333895e-23,1.9119264748703343e-31,5.375862291012102e-26,7.704670405598e-65
1.0762898297951888e-15,0.6586277454454538,0.0,1.7622658670615257e-22,0.0,0.0,0.0,0.0,0.0,0.0,1.2697952290388812e-36,1.1400554512426696e-52,0.0,1.4920328529072922e-86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6057584748614043,0.999999998678808,0.0,0.0,4.4706096879438546e-12,2.839810178758906e-12,9.034627393811995e-13,7.273367697803514e-13,1.321192063445009e-09,4.0428537126325366e-25,1.5810217678846647e-39,2.2542160076277196e-23,3.2615213890775786e-31,9.170590668086321e-26,2.632897830168643e-64
1.6144348587405816e-15,0.6586277454457282,0.0,2.6433989865264093e-22,0.0,0.0,0.0,0.0,0.0,0.0,3.468205546978731e-36,3.9868300825090384e-52,0.0,8.212849884582095e-86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.605758474859169,0.999999998018213,0.0,0.0,6.7059150056275925e-12,4.25971569820721e-12,1.3551942082574183e-12,1.091005099114522e-12,1.9817869280054643e-09,8.370216049074469e-25,4.3182613145719945e-39,4.667065422602716e-23,6.752564551617675e-31,1.8986549322117198e-25,1.6189042938482598e-63
2.1525798876859743e-15,0.6586277454460027,0.0,3.5245321054561717e-22,0.0,0.0,0.0,0.0,0.0,0.0,7.256647704223043e-36,9.962004594020695e-52,0.0,2.6357229002658196e-85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6057584748569337,0.999999997357619,0.0,0.0,8.9412203233039e-12,5.679621303794562e-12,1.8069256794354781e-12,1.4546733399914749e-12,2.6423809207426896e-09,1.423554621232111e-24,9.035247791562643e-39,7.937451568762813e-23,1.1484341383682107e-30,3.229115660332625e-25,5.434714487946855e-63
3.22886994557676e-15,0.6586277454465512,0.0,5.28679834155855e-22,0.0,0.0,0.0,0.0,0.0,0.0,2.2914268266547835e-35,4.6132870097200555e-51,0.0,2.0142212332170746e-84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.605758474852463,0.999999996036434,0.0,0.0,1.3411830958632118e-11,8.519432797819656e-12,2.7103886293500376e-12,2.1820095312829267e-12,3.963566043461442e-09,3.1016355858334824e-24,2.853052984049715e-38,1.7294064742771053e-22,2.5022024404474048e-30,7.035588866501572e-25,4.1979880614570935e-62
4.305160003467545e-15,0.6586277454471,0.0,7.049064575344656e-22,0.0,0.0,0.0,0.0,0.0,0.0,5.211936827027478e-35,1.3377320554524167e-50,0.0,7.588350442212738e-84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6057584748479924,0.9999999947152525,0.0,0.0,1.788244159392818e-11,1.1359244664698843e-11,3.6138515892281525e-12,2.9093453396860494e-12,5.2847473924943025e-09,5.445428782574949e-24,6.489374355452298e-38,3.0362517562916156e-22,4.3930230384698194e-30,1.2352133279763824e-24,1.6162565327050703e-61
6.457740119249116e-15,0.6586277454481976,0.0,1.0573597035936078e-21,0.0,0.0,0.0,0.0,0.0,0.0,1.740159734848936e-34,6.797586820255859e-50,0.0,6.0691431216051976e-83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6057584748390512,0.9999999920729011,0.0,0.0,2.682366286442338e-11,1.7038869522171575e-11,5.4207775390127195e-12,4.364015802536572e-12,7.927098717403278e-09,1.2139352908948157e-23,2.1666682619705368e-37,6.768616305403901e-22,9.793238528119447e-30,2.7536317655832255e-24,1.2804947632107497e-60
1.0762900350812258e-14,0.6586277454503925,0.0,1.762266192918886e-21,0.0,0.0,0.0,0.0,0.0,0.0,8.182680007199001e-34,5.6255922766070024e-49,0.0,8.715247702386675e-82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6057584748211687,0.999999986788244,0.0,0.0,4.470610540502602e-11,2.8398123733113025e-11,9.034629558725636e-12,7.273352111245522e-12,1.3211755863365053e-08,3.355459954040793e-23,1.0188213689903446e-36,1.8709130135490275e-21,2.706958363269773e-29,7.611378212095982e-24,1.7937010580486857e-59
1.9373220813938542e-14,0.6586277454547825,0.0,3.1720791603945922e-21,0.0,0.0,0.0,0.0,0.0,0.0,4.893279336126289e-33,6.397975949585221e-48,0.0,1.8193945305361068e-80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6057584747854039,0.9999999762191116,0.0,0.0,8.047099048467978e-11,5.1116650143761766e-11,1.6262334078854427e-11,1.3092006255784495e-11,2.378088809384607e-08,1.0850334219046793e-22,6.09257336984747e-36,6.0497695940790946e-21,8.753263191973515e-29,2.4612528775882629e-23,3.635435105783148e-58
3.659386174019111e-14,0.6586277454635626,0.0,5.991705050646735e-21,0.0,0.0,0.0,0.0,0.0,0.0,3.363770267304851e-32,8.618446429036878e-47,0.0,4.667124652505715e-79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6057584747138741,0.9999999550815755,0.0,0.0,1.52000760637781e-10,9.655377492179109e-11,3.071774504196867e-11,2.4729240651633253e-11,4.4918424311132746e-08,3.8687774600303644e-22,4.1881634393565916e-35,2.157037599403049e-20,3.121010793048734e-28,8.775879605764968e-23,9.123405006599569e-57
