Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(923),S(304),S(964),S(1434),S(335),S(220),CF2O(49),S(879),C2H2F3(67),C2H2F3(68),S(133),S(149),CHFCF2(55),C2H3F2(66),C2H3F2(64),C2HF2(72),CF2CH(73),S(234),CF2(43),S(3455),CH2F(46),S(3466),CH2F2(41),C2F(235),S(3986),S(4065),S(3435),C2H3F2(65),CFO(51),F(37),S(4439),CHO2(339),S(215),CHF2(82),S(4798),S(3456),CHF3(42),S(221),CFO3(4550),S(2885),S(4664),S(3782),S(5203),S(2642),S(2822),C2HF3(125),C2HFO(286),S(2949),S(195),S(2224),S(2641),S(2826),C2FO(289),S(1665),C2FO(7367),S(3464),S(6251),S(5206),CFO3(444),C2H2O(907),S(5104),CF3CCH(84),S(12199),C2HF4(54)
0.0,0.5024113353070367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6078227447896779,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.7114841808691294e-21,0.5024113353070367,1.4183928288453418e-29,3.970641065388356e-33,1.5061025033676323e-38,1.8390654926899444e-31,0.0,0.0,2.127330194837712e-23,3.29318553027736e-41,2.0751540623107432e-55,1.7141839038112827e-55,1.175471723051371e-60,4.9885738106634334e-73,3.5243111389764256e-51,7.766961475614123e-42,2.821559384341792e-46,1.0707060121800573e-40,9.825895346947354e-94,2.6085021949771465e-74,8.32199845479396e-97,4.344242310284973e-96,1.2206199267103696e-29,4.6409786220278316e-95,6.9789961984081585e-65,4.2982393765417185e-103,2.863816117521113e-109,5.646554281464509e-88,7.676421598258985e-105,7.339277616417744e-104,5.065526462294486e-65,2.194069481807871e-118,3.2391843982105124e-118,6.267557060238948e-120,3.76,0.0,0.6078227447896779,0.9999999999999993,1.4134131523220742e-52,7.938929148357629e-62,2.1229135487381804e-20,1.353448596831754e-20,5.879807723612628e-21,1.81484179545163e-21,5.477225568848344e-16,3.508369364397245e-42,6.591203155915339e-65,7.037001276204948e-39,2.5404242503426992e-45,1.5324749277293922e-38,1.2073481471569709e-102,1.610370073217808e-101,7.101832076070279e-45,2.0649228391473516e-103,6.227467097349839e-48,4.0681528444447596e-119,1.0271660246513087e-101,1.0682552252373159e-104,2.9033269180068385e-103,8.160443576332268e-102,4.060799710297935e-120,5.23016820659399e-119,1.578729773519828e-79,1.2183967393505085e-44,1.0707060121800567e-40,4.0790307868203513e-48,1.6370179260719714e-23,4.903136871585414e-24,1.3112699751209813e-37,3.8635713245571034e-53,4.359975434535372e-38,5.971753096827271e-31,1.4385424419954922e-28,1.0275262325240619e-42,2.611360140078395e-41,1.1718799202295299e-54,2.923605761958846e-40,1.923212284860874e-45,1.5492931669746617e-23,3.649873922391181e-50,3.762209426032709e-40,4.7287857869227236e-70,2.25726760254398e-69,8.663950949368275e-74,2.790652620980268e-38,3.5311282694215738e-43,8.268971133545767e-60,1.4445141950910015e-28,8.982843556316648e-74,4.123455651908074e-54,7.996929338968746e-47,1.549293166974661e-23,2.8804295107669425e-61,3.1551041860928676e-38,1.2206199267111403e-29,2.37438508142004e-45,4.914705518167875e-77,2.1655707168940913e-38,1.2473957263849117e-51,9.163624540501189e-61,1.1773222621930834e-78,1.5208389998397348e-60,2.7111182929584946e-59,1.839065492689099e-31,3.2716159572783634e-64,2.884063596742256e-62,2.1625874367477536e-70,8.061391260120117e-74,1.4477051461081053e-58,2.876347074023748e-59,4.329392499624516e-69,2.857678585923928e-83,2.3429976781445946e-87,8.85999266424653e-115,5.2172834366615255e-98,2.0022392274419513e-79,1.5818560301120485e-75,1.5961943947632386e-128,7.885599376922087e-81,4.043959599055597e-97,6.341791186031826e-101,4.0883017063642626e-58
1.3192155706433562e-20,0.5024113353070367,3.9714999214972884e-29,1.1117794983164157e-32,9.096859120340403e-38,5.14938337953448e-31,0.0,0.0,5.956524545545603e-23,1.989084060287528e-40,2.463622902773573e-54,2.0350791309989523e-54,1.3955202058973292e-59,5.922434828012948e-72,2.1286839279401014e-50,4.691244731265414e-41,1.7042218681436334e-45,6.467064313612267e-40,4.6939482424350635e-92,3.096813805910732e-73,3.9755185258307774e-95,2.075296682527545e-94,3.41773579478654e-29,2.813850894489004e-93,8.28546428675576e-64,2.053322322078111e-101,1.3689061125570942e-107,1.7753670109989873e-86,3.667254312946826e-103,3.5060609936255433e-102,6.0137930162255946e-64,1.6930423923042075e-116,2.4995075134517083e-116,4.836337124192856e-118,3.76,0.0,0.6078227447896779,0.9999999999999984,1.678004094436765e-51,9.425096684936208e-61,5.944157936466904e-20,3.7896560711294134e-20,1.6463461626115378e-20,5.0815570272595186e-21,1.5336231592544267e-15,2.1190550960961679e-41,7.825076386703463e-64,4.250348770745047e-38,1.534416247195821e-44,9.256148563486092e-38,5.76764698077453e-101,7.692931084166278e-100,4.289506573983068e-44,9.864384193574509e-102,3.761390126796242e-47,3.538811305358397e-117,4.906895359679176e-100,5.103183401623007e-103,1.386954108679905e-101,3.898341821738631e-100,3.532414949214945e-118,4.549627087759154e-117,3.5315856890935805e-78,7.359116306230217e-44,6.467064313612258e-40,2.4637345952790634e-47,4.5836501930014946e-23,1.3728783240438614e-23,7.920070649730477e-37,4.586831876719739e-52,2.633425162459329e-37,1.6720908671436958e-30,4.0279188375885336e-28,6.206258444439963e-42,1.5772615246059778e-40,1.3912561011359097e-53,1.76585788022312e-39,1.1616202200559952e-44,4.338020867529048e-23,2.208151106067571e-49,2.2723744933237523e-39,5.614014486235054e-69,5.049418237088543e-68,1.9380915173544854e-72,1.6855541830717578e-37,2.132801474730606e-42,9.81692313249194e-59,4.044639746252007e-28,2.009426530656746e-72,4.89536654990035e-53,4.830145324202992e-46,4.3380208675290436e-23,3.419645917429078e-60,1.905682928399896e-37,3.4177357947911957e-29,1.4341285892027754e-44,1.0994000300588388e-75,1.3080047130039456e-37,1.480908176111381e-50,1.0879055054525325e-59,3.7016314923916925e-77,1.781812059571787e-59,3.2186396373477985e-58,5.149383379529375e-31,3.8840973888777446e-63,4.3583969073969e-61,3.268102135231491e-69,9.570483851034533e-73,8.784918925617063e-58,3.4147992462656116e-58,5.139854775757878e-68,6.392540711511002e-82,5.241207705373578e-86,7.707144796713825e-113,2.4923589050925955e-96,6.295359227263037e-78,3.5396141368277825e-74,1.3886189560306223e-126,2.479358613694595e-79,2.3287484296191103e-95,3.0295497510357913e-99,4.8536317857955906e-57
3.015349875756243e-20,0.5024113353070367,9.077714109722504e-29,2.54121028190228e-32,4.379746079792929e-37,1.1770019153234095e-30,0.0,0.0,1.3614913246961428e-22,9.576583522046604e-40,2.4187995750238267e-53,1.9980527595044403e-53,1.3701300908044168e-58,5.814681633688586e-71,1.0248696792118543e-49,2.2586323971003113e-40,8.205094689683792e-45,3.113613083485407e-39,2.4441290781349748e-90,3.040470158566609e-72,2.0700442542841533e-93,1.080602680049628e-92,7.8119675309289e-29,1.2727081819556436e-91,8.134717968881846e-63,1.0691627407906494e-99,7.12436325553931e-106,3.960746139062307e-85,1.9094879894827293e-101,1.8255986884691433e-100,5.904377645019039e-63,1.8451604158607813e-114,2.7240845215964373e-114,5.270877297241522e-116,3.76,0.0,0.6078227447896779,0.9999999999999964,1.6474743703465792e-50,9.253615815344345e-60,1.358664671192435e-19,8.662071019726744e-20,3.763076943112095e-20,1.1614987490855114e-20,3.5054243639011724e-15,1.0202338111670665e-40,7.682706398537307e-63,2.046359970996286e-37,7.387553719827862e-44,4.4564370898379e-37,3.0032018253457678e-99,4.0056932664159687e-98,2.065212767775135e-43,5.136364398860002e-100,1.8109474319034086e-46,3.6783259579501723e-115,2.5550102407293262e-98,2.657217017268533e-101,7.221841289635038e-100,2.0298585044782338e-98,3.671677430749418e-116,4.728992300373442e-115,6.977847446526916e-77,3.543097718842498e-43,3.1136130834853987e-39,1.1861821528667153e-46,1.0476914726860443e-22,3.138007597814282e-23,3.8131730876514365e-36,4.5033787361954085e-51,1.2678808563628322e-36,3.821921982193873e-30,9.206671628779237e-28,2.988046284171916e-41,7.593835287327378e-40,1.3659436039896341e-52,8.50184555577599e-39,5.592701324375809e-44,9.915476268637801e-23,1.0668242220462991e-48,1.0940505010903065e-38,5.511872713238334e-68,9.976800405347634e-67,3.8293425753161305e-71,8.11521782180576e-37,1.0268521007477561e-41,9.63831360914236e-58,9.244890848562841e-28,3.970288552769132e-71,4.806299907724813e-52,2.3255070569695706e-45,9.915476268637779e-23,3.357428644712554e-59,9.175042973155113e-37,7.811967530951318e-29,6.904711817138377e-44,2.172229256740525e-74,6.297479644726734e-37,1.4539643648906185e-49,1.0681120764534626e-58,8.258108064857853e-76,1.7370979374363066e-58,3.160079482109595e-57,1.1770019153209514e-30,3.8134451524404794e-62,4.6885645079519605e-60,3.5156751468657206e-68,9.396358108552507e-72,4.271096329579485e-57,3.3526701494343916e-57,5.0463398981711734e-67,1.2630610228856285e-80,1.0355758266631854e-84,8.010992355502599e-111,1.2977661146821192e-94,1.404459951661575e-76,6.994623131494774e-73,1.4436389438746635e-124,5.531312677827043e-78,1.044436877219126e-93,1.5774802744246747e-97,4.7653244689379955e-56
6.407618485982016e-20,0.5024113353070367,1.9290142497858228e-28,5.400071849196822e-32,1.912750179276743e-36,2.5011290700675505e-30,0.0,0.0,2.893169064979322e-22,4.1823456234522885e-39,2.1394008320680114e-52,1.7672550400395e-52,1.211864579943395e-57,5.1430200557980776e-70,4.475875146474328e-49,9.864041073944424e-40,3.5833804181325334e-44,1.35979663553607e-38,9.753877487530218e-89,2.689261423143237e-71,8.261003212518571e-92,4.312401627581257e-91,1.6600431003173705e-28,4.809384715489075e-90,7.195065920747158e-62,4.2667644394041774e-98,2.84264967893547e-104,7.418039175406032e-84,7.620204038214644e-100,7.2854851257251396e-99,5.222355162745268e-62,1.5094557854352453e-112,2.2284698757352394e-112,4.311905034184723e-114,3.76,0.0,0.6078227447896779,0.9999999999999925,1.4571724235178789e-49,8.184718394830044e-59,2.8871624262839246e-19,1.8406900916929448e-19,7.996538504113238e-20,2.4681848417965586e-20,7.449026772824907e-15,4.455629092788093e-40,6.795266805627491e-62,8.936991619497784e-37,3.2263387977603563e-43,1.9462431582171756e-36,1.1984990116239093e-97,1.598567029373865e-96,9.019326737161387e-43,2.0497881973558813e-98,7.908883213566855e-46,2.944384986182334e-113,1.019637515629065e-96,1.060425557158391e-99,2.8820472787385728e-98,8.100632434271352e-97,2.9390630477422748e-114,3.785410561088521e-113,1.2416730440954822e-75,1.5473638598047722e-42,1.3597966355360625e-38,5.180369099875203e-46,2.2263443794577944e-22,6.668266145354246e-23,1.665312868403256e-35,3.983187493058641e-50,5.537168801859364e-36,8.121584212807188e-30,1.9564177211179133e-27,1.3049583152972346e-40,3.31642737787828e-39,1.20816169412454e-51,3.71297931768739e-38,2.4424796017737006e-43,2.107038707085523e-22,4.691562364057836e-48,4.778005971061491e-38,4.8751889948883695e-67,1.7753183967748149e-65,6.81411078226021e-70,3.544128828639921e-36,4.484532902165009e-41,8.524979341711347e-57,1.964539305313978e-27,7.064916627931674e-70,4.25111783859875e-51,1.0156100314191118e-44,2.107038707085514e-22,2.969607623040018e-58,4.0069823163348955e-36,1.6600431003271608e-28,3.0154690537813055e-43,3.865365950773288e-73,2.7502748104541692e-36,1.2860149011281722e-48,9.447330356536796e-58,1.5466501507514914e-74,1.5311457760840887e-57,2.7950545149665552e-56,2.501129070056815e-30,3.3729551291826674e-61,4.309598551340044e-59,3.231511160798482e-67,8.310972890616796e-71,1.901794292443425e-56,2.9653987793353773e-56,4.4634304926732446e-66,2.2475517977679426e-79,1.8427530751462057e-83,6.412549009370737e-109,5.179043887759625e-93,2.6303980093286543e-75,1.2447327953815155e-71,1.1560298269655101e-122,1.0359536483340785e-76,3.9296438825159685e-92,6.2953096714490166e-96,4.214875527192903e-55
1.3192155706433563e-19,0.5024113353070367,3.971499932087083e-28,1.1117794984277166e-31,7.985355472853836e-36,5.1493833795727034e-30,0.0,0.0,5.956524545545743e-22,1.7460469681530937e-38,1.7982953079118143e-51,1.485484348756253e-51,1.0186452122341752e-56,4.3230182470610473e-69,1.868589765862142e-48,4.1180429742936475e-39,1.4959907855946299e-43,5.676883277182686e-38,3.46668081963141e-87,2.260486266509955e-70,2.9360899286443716e-90,1.5326950808839924e-89,3.4177357947503643e-28,1.6692092471862967e-88,6.04788644166713e-61,1.5164867166734758e-96,1.0102474092413436e-102,1.2812817943619092e-82,2.7083307497808786e-98,2.589375521257851e-97,4.389704185925722e-61,1.0863662911115717e-110,1.6038458112491598e-110,3.103309414163396e-112,3.76,0.0,0.6078227447896779,0.9999999999999846,1.2248412231916946e-48,6.87974897717158e-58,5.944157936466904e-19,3.789656071136702e-19,1.6463461626115645e-19,5.081557027186364e-20,1.5336231589193348e-14,1.860137437006652e-39,5.711831195674834e-61,3.731018075489612e-36,1.3469329373740814e-42,8.125182066828832e-36,4.259653200956961e-96,5.6815575960001725e-95,3.765391367227318e-42,7.285268300498342e-97,3.301803054951521e-45,2.0962582369914587e-111,3.6239514300206645e-95,3.768918518259526e-98,1.024324742745996e-96,2.8790916423296357e-95,2.092469276623063e-112,2.6950273505620996e-111,2.0942649742916556e-74,6.459939519466036e-42,5.676883277182622e-38,2.1627021237241715e-45,4.583650193001135e-22,1.3728783240430675e-22,6.952353408087931e-35,3.3481090929798324e-49,2.311658975390152e-35,1.6720908676085648e-29,4.027918837605287e-27,5.447944084767662e-40,1.3845431462504113e-38,1.0155327190363466e-50,1.5500957749902712e-37,1.0196871534335823e-42,4.338020867528979e-22,1.9857633880106553e-47,1.9947234376824982e-37,4.097890102379198e-66,2.9943340185208313e-64,1.1492994021810299e-68,1.4796040196392208e-35,1.872204208446968e-40,7.165758846765884e-56,4.044639746211476e-27,1.1916014745536678e-68,3.5733206921226163e-50,4.2399719838492723e-44,4.33802086752894e-22,2.4961341536812856e-57,1.6728362394636963e-35,3.4177357947912365e-28,1.258898970507542e-42,6.519504689134678e-72,1.1481855940960534e-35,1.0809728208379847e-47,7.94105040927743e-57,2.6714517762899487e-73,1.2848341874672963e-56,2.3494117341647788e-55,5.149383379527887e-30,2.8351744315876874e-60,3.686952293312189e-58,2.764625838780147e-66,6.985874420177919e-70,8.244611497263604e-56,2.4925963526141035e-55,3.751782272166845e-65,3.7908263703622595e-78,3.108073381697407e-82,4.565421543316032e-107,1.8407133138470196e-91,4.543358389647385e-74,2.0994864448136965e-70,8.236661538846128e-121,1.7893523040207973e-75,1.3607446750135855e-90,2.2374516565904038e-94,3.5428568459072485e-54
2.676123014733666e-19,0.5024113353070367,8.05647131538607e-28,2.2553241256402885e-31,3.2622782663932855e-35,1.0445891998650489e-29,0.0,0.0,1.2083235506678831e-21,7.133171586002288e-38,1.4743511418331192e-50,1.217889822392277e-50,8.351468942929108e-56,3.544271544632478e-68,7.633798899272419e-48,1.682354923398762e-38,6.11161048900034e-43,2.31919205113284e-37,1.167673574358485e-85,1.8532832144432988e-69,9.889559505719211e-89,5.162539150659977e-88,6.9331211835524845e-28,5.560133272110983e-87,4.958422702844758e-60,5.108024458160919e-95,3.402674798466926e-101,2.1288688659054877e-81,9.122389727156937e-97,8.721729892855739e-96,3.5989447082377484e-60,7.36374445924332e-109,1.0871388672993098e-108,2.1035241854864108e-110,3.76,0.0,0.6078227447896779,0.9999999999999688,1.0041988365621126e-47,5.640433868473593e-57,1.2058148956832862e-18,7.687588030037086e-19,3.3397307870120934e-19,1.0308301397836824e-19,3.111064121601413e-14,7.59926837808638e-39,4.682904308527629e-60,1.5242426234538313e-35,5.502660541876844e-42,3.31940199246539e-35,1.434768513004566e-94,1.9137050736784822e-93,1.538285235423253e-41,2.4538790076564445e-95,1.348894283099615e-44,1.4132825974255497e-109,1.2206466485992376e-93,1.2694755566251888e-96,3.4502078432077885e-95,9.69757357997435e-94,1.4107281065916e-110,1.8169685328943422e-109,3.4398380261617825e-73,2.6390960795779126e-41,2.3191920511327887e-37,8.835343850158135e-45,9.298261820087183e-22,2.7849817430569515e-22,2.8402632169080765e-34,2.7449821186602664e-48,9.443881190216746e-35,3.39195576108499e-29,8.170921070609614e-27,2.2256629206329933e-39,5.656310517653241e-38,8.325950860915343e-50,6.3326470246307245e-37,4.1657547375029707e-42,8.799985188415767e-22,8.334188228426418e-47,8.149096105163519e-37,3.3596978900261556e-65,4.918202661835841e-63,1.8877277364174036e-67,6.044665203109855e-35,7.648565076694933e-40,5.8749220559267065e-55,8.204840627934918e-27,1.957209017452576e-67,2.9296241938780613e-49,1.7321669234546183e-43,8.79998518841561e-22,2.0464816126038225e-56,6.834081871221382e-35,6.93312118371946e-28,5.143013064620268e-42,1.070830605781348e-70,4.690712795611171e-35,8.862465136626019e-47,6.510552903995806e-56,4.4386556474233836e-72,1.0524973964482795e-55,1.9261896846004816e-54,1.0445891998467402e-29,2.324448251930944e-59,3.0484434547771755e-57,2.285846115579028e-65,5.727443446702965e-69,3.617437983747063e-55,2.0435810860416015e-54,3.075937781848205e-64,6.2264450994480605e-77,5.105020644905085e-81,3.0779751729264353e-105,6.200029390462939e-90,7.548857884955993e-73,3.4484634576143136e-69,5.561586341199043e-119,2.973035615163152e-74,4.5273373052971885e-89,7.536353393176206e-93,2.9046480926689103e-53
5.389937902914284e-19,0.5024113353070367,1.6226414156769907e-27,4.542413380851448e-31,1.3186650346175847e-34,2.1038909237075997e-29,0.0,0.0,2.4336657428945992e-21,2.883342004663541e-37,1.1939677797600523e-49,9.862787607364011e-50,6.763236104046828e-55,2.8702429881760893e-67,3.0857035689472433e-47,6.800347585515004e-38,2.4704106759573795e-42,9.374545079715982e-37,3.832421587397594e-84,1.500836797203889e-68,3.2458524530700543e-87,1.6943970412898647e-86,1.3963891960901254e-27,1.8150748060600092e-85,4.015459260647342e-59,1.6765569866635635e-93,1.1167734778617998e-99,3.470593554693342e-80,2.9940574200432638e-95,2.8625590807950615e-94,2.9145187366857865e-59,4.8486200119174944e-107,7.158210319931181e-107,1.3850547862211786e-108,3.76,0.0,0.6078227447896779,0.9999999999999373,8.132262534607351e-47,4.567769584914924e-56,2.428613099756478e-18,1.5483451947889323e-18,6.726500035813341e-19,2.0761790138621129e-19,6.265946044599125e-14,3.0717457802817947e-38,3.7923373215517953e-59,6.161232385339897e-35,2.2242633704401382e-41,1.3417553580288864e-34,4.709053922934771e-93,6.28097166974189e-92,6.217994873975142e-41,8.053876615040646e-94,5.452446361695617e-44,9.280795661668746e-108,4.00628452316828e-92,4.1665458896919334e-95,1.1323927615757002e-93,3.1828407501734476e-92,9.26402073378116e-109,1.1931735168877592e-107,5.576126885779414e-72,1.0667648335004495e-40,9.37454507971557e-37,3.571387251183545e-44,1.8727485074256734e-21,5.609188581079114e-22,1.1480798041747789e-33,2.222957688158504e-47,3.8173677717530774e-34,6.831685551320774e-29,1.6456925536736584e-26,8.99648537781805e-39,2.286371147791965e-37,6.742570900295988e-49,2.559757177669393e-36,1.683864669587766e-41,1.7723913830188852e-21,3.5480459613233714e-46,3.293994938543782e-36,2.7207704573997096e-64,7.972618490378507e-62,3.0600880219757927e-66,2.4433503209625716e-34,3.091672294033074e-39,4.7576642049434905e-54,1.652524239109557e-26,3.1727201715776744e-66,2.372485627082706e-48,7.001695825443189e-43,1.7723913830188217e-21,1.657293906312989e-55,2.762445159906144e-34,1.3963891961576196e-27,2.0788881116183184e-41,1.7358625587387222e-69,1.8960611100268742e-34,7.1770489488475e-46,5.2724145398072624e-55,7.236127790964875e-71,8.519822348879693e-55,1.5598783455451056e-53,2.1038909236335932e-29,1.8823988422685195e-58,2.478943590157189e-56,1.8588121141932577e-64,4.638234672490243e-68,1.6637319144946762e-54,1.6549449466350897e-53,2.490974168033642e-63,1.009333694693636e-75,8.275459084321277e-80,2.021255951609656e-103,2.0349117263855306e-88,1.2306543560487511e-71,5.590148647803145e-68,3.663349251724736e-117,4.846798408178372e-73,1.4770548456491072e-87,2.4735066439029576e-91,2.352259333529597e-52
1.0817567679275522e-18,0.5024113353070367,3.256630013868105e-27,9.116591894417826e-31,5.3022941071982685e-34,4.2224943715006746e-29,0.0,0.0,4.884350127348425e-21,1.1593791386764759e-36,9.610091419500943e-49,7.938429616380284e-49,5.443640825859378e-54,2.3102212621995236e-66,1.2407478335903839e-46,2.7343898549011072e-37,9.933412675889047e-42,3.769463347520233e-36,1.2419190059776768e-82,1.208004025102278e-67,1.0518377899276239e-85,5.490794375035627e-85,2.8025433514576907e-27,5.866255363597561e-84,3.2319909501803675e-58,5.4333210181881245e-92,3.618941488322642e-98,5.605017875817891e-79,9.702417578024017e-94,9.276292933453844e-93,2.3458582415331492e-58,3.147280686539429e-105,4.6464554529716675e-105,8.990509021206468e-107,3.76,0.0,0.6078227447896779,0.9999999999998742,6.545552378698341e-46,3.6765383490757314e-55,4.8742095079028615e-18,3.107517978379968e-18,1.3500038533416593e-18,4.1668767618123273e-19,1.2575709881128787e-13,1.2351354682317694e-37,3.0524030022962367e-58,2.477404440772702e-34,8.943665181386516e-41,5.395139282111179e-34,1.5259969283760291e-91,2.035386221612244e-90,2.5002283924943944e-40,2.609906616721609e-92,2.1924047011196668e-43,6.016205480792468e-106,1.2982603245184451e-90,1.3501939741555408e-93,3.669586090503954e-92,1.0314184730602403e-90,6.005331255174071e-107,7.734656928390276e-106,8.980181416443681e-71,4.2894144985455455e-40,3.769463347519909e-36,1.4360391077416172e-43,3.758593158258567e-21,1.1257602257101011e-21,4.6163783981925796e-33,1.789229740375333e-46,1.5349467916270788e-33,1.3711145144924078e-28,3.302893446946379e-26,3.6174472022270864e-38,9.19339782646962e-37,5.4270076620361455e-48,1.0292671029189153e-35,6.770745777363522e-41,3.557177111373306e-21,1.5707932563973424e-45,1.3245008772722726e-35,2.1899127658059272e-63,1.283965632472232e-60,4.9281774322470266e-65,9.824604178010698e-34,1.2431478317609586e-38,3.8293820619038094e-53,3.316604591627196e-26,5.10956803212488e-65,1.9095828330435531e-47,2.815351234493351e-42,3.55717711137305e-21,1.333934377973928e-54,1.1107670491152511e-33,2.8025433517290818e-27,8.359117673603365e-41,2.7955531359172608e-68,7.623978331586892e-34,5.77670518341762e-45,4.243697912411467e-54,1.168636475033692e-69,6.856059525267512e-54,1.2555257974200967e-52,4.2224943712030976e-29,1.5151185059463644e-57,1.9993578113607183e-55,1.4991993349929828e-63,3.733258766494386e-67,8.310298298656572e-54,1.3320436695913706e-52,2.0049527254726383e-62,1.6255008903588262e-74,1.3327372249901707e-78,1.3102638579731047e-101,6.594252462499637e-87,1.9875100702242238e-70,9.002794788320173e-67,2.389189635444593e-115,7.827592375719112e-72,4.7723802934603245e-86,8.015545370847651e-90,1.893302953559975e-51
2.1672827231997996e-18,0.5024113353070367,6.524607329907715e-27,1.8264948934126813e-30,2.1264570878836054e-33,8.459701267518715e-29,0.0,0.0,9.785718896257655e-21,4.649628891087115e-36,7.711493140928698e-48,6.37008999378231e-48,4.3681789587646e-53,1.8538070699713823e-65,4.9759537502001906e-46,1.0966126302148792e-36,3.9837427661517593e-41,1.5117233970988767e-35,3.999177082430309e-81,9.693471540921083e-67,3.3870852793417495e-84,1.76812327692271e-83,5.6148516617840676e-27,1.8865393467563135e-82,2.59346919408157e-57,1.749833881417983e-90,1.1653521339642954e-96,9.009902581356502e-78,3.124332490680753e-92,2.987114130053152e-91,1.88240350962048e-57,2.0285050853946788e-103,2.9947626042762235e-103,5.7946192870558075e-105,3.76,0.0,0.6078227447896779,0.999999999999748,5.2523935594081654e-45,2.950190485097976e-54,9.765402324195628e-18,6.225863545644395e-18,2.7047115528626132e-18,8.348272256886176e-19,2.5195237516325024e-13,4.953445655523385e-37,2.4493611757497672e-57,9.935499827343877e-34,3.5868097493316083e-40,2.1636921556459844e-33,4.913953260589155e-90,6.554267945499175e-89,1.0027034119643482e-39,8.404315188165857e-91,8.792523426952104e-43,3.8750188218603345e-104,4.1806051055161116e-89,4.3478397372082297e-92,1.1816651942753963e-90,3.3213318266252466e-89,3.868014760378611e-105,4.981867928163115e-104,1.4415180757518073e-69,1.7202470795628405e-39,1.51172339709863e-35,5.759159118845735e-43,7.530282459920289e-21,2.255442960905511e-21,1.8513742102374814e-32,1.4357441848926244e-45,6.155823156145033e-33,2.747006438465763e-28,6.617295233681126e-26,1.4507581222024576e-37,3.686963712744303e-36,4.3548318718397614e-47,4.127821433661074e-35,2.7153718857369903e-40,7.126748568081364e-21,7.455714422444545e-45,5.311840915357044e-35,1.7572670786873358e-62,2.0610491976904385e-59,7.910816211237011e-64,3.940105691440769e-33,4.985578816810718e-38,3.0728379391868828e-52,6.644765296204507e-26,8.201988279607184e-64,1.5323199602375474e-46,1.1290818751089816e-41,7.126748568080339e-21,1.0703984277472126e-53,4.454672669594652e-33,5.6148516628724675e-27,3.352380065496314e-40,4.487481895727159e-67,3.0575563017041497e-33,4.635428945959824e-44,3.4053003176781243e-53,1.8785489210016317e-68,5.500981262296791e-53,1.0074803798920358e-51,8.459701266325299e-29,1.215787243091525e-56,1.6059929238272244e-54,1.2042384756697364e-62,2.9957114427611145e-66,4.632594519855066e-53,1.068881154997813e-51,1.6088483029997402e-61,2.6092889996035862e-73,2.1393384471304685e-77,8.439367845646106e-100,2.123454363551547e-85,3.1948643888142747e-69,1.4451505675203374e-65,1.5574854398294036e-113,1.2582626130527139e-70,1.534531820743028e-84,2.5811333235830976e-88,1.5192563841740735e-50
