Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207)
0.0,0.8834016196682932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9824554467669735,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.126158510222108e-23,0.8834016196682932,0.0,2.4685045049734355e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9824554467669735,0.9999999999999996,0.0,0.0,2.438885773757251e-17,1.4880440900299266e-17,3.997013087187707e-18,5.511403750085537e-18,3.2655383080270453e-16
1.7153243828621903e-22,0.8834016196682932,0.0,6.911812613925618e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9824554467669735,0.9999999999999991,0.0,0.0,6.828880166520304e-17,4.1665234520838776e-17,1.1191636644125622e-17,1.5431930500238618e-17,9.143507262474137e-16
3.9207414465421494e-22,0.8834016196682932,0.0,1.579842883182997e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9824554467669734,0.9999999999999979,0.0,0.0,1.5608868952046403e-16,9.523482176192117e-17,2.558088375800162e-17,3.5272984000541247e-17,2.0899445171361953e-15
8.331575573902067e-22,0.8834016196682932,0.0,3.3571661267638632e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9824554467669732,0.9999999999999956,0.0,0.0,3.3168846523098607e-16,2.023739962440994e-16,5.4359377985754265e-17,7.495509100113234e-17,4.441132098911211e-15
1.7153243828621904e-21,0.8834016196682932,0.0,6.911812613925581e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9824554467669728,0.9999999999999909,0.0,0.0,6.828880166520299e-16,4.1665234520850974e-16,1.1191636644126218e-16,1.54319305002258e-16,9.143507262451056e-15
3.479658033806158e-21,0.8834016196682936,0.0,1.4021105588248945e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9824554467669722,0.9999999999999815,0.0,0.0,1.385287119494117e-15,8.452090431375455e-16,2.2703034335228863e-16,3.13047733004283e-16,1.8548257589489995e-14
7.008325335694092e-21,0.8834016196682939,0.0,2.823969153689541e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9824554467669707,0.9999999999999627,0.0,0.0,2.7900853251782897e-15,1.702322438996478e-15,4.572582971743835e-16,6.305045890074279e-16,3.7357758243404867e-14
1.4065659939469963e-20,0.883401619668294,0.0,5.667686343418727e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9824554467669679,0.9999999999999251,0.0,0.0,5.599681736546627e-15,3.4165492307177877e-15,9.177142048187424e-16,1.2654183010100968e-15,7.497675955058261e-14
2.81803291470217e-20,0.8834016196682949,0.0,1.1355120722876671e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9824554467669623,0.9999999999998498,0.0,0.0,1.1218874559283267e-14,6.845002814174183e-15,1.8386260201081347e-15,2.5352457250009513e-15,1.5021476216233007e-13
