Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(964),S(1465),S(335),S(923),S(304),S(220),CF2O(49),S(879),CFO(51),CH2F(46),CFO3(3228),C2H3F2(66),C2H3F2(64),F(37),CF2CH(73),C2HF2(72),S(234),C2H2F3(67),C2H2F3(68),S(133),S(3636),S(149),CHFCF2(55),CF2(43),CH2F2(41),C2F(235),S(3631),S(3559),S(3935),S(3617),C2H3F2(65),S(3632),S(4348),CHO2(339),S(215),CHF2(82),S(4704),S(2774),S(4610),CHF3(42),S(221),S(3742),S(2509),S(2711),S(5098),S(2834),S(2508),S(2715),S(195),C2HFO(286),S(1948),C2HF3(125),C2HF4(54),S(5101),S(9646),C2FO(289),S(1543),CF2CF2(61),S(4002),C2H2O(907),C2HF4(69),S(8445),CHF(40),CHFO2(314),CHFO2(441),CFO2(341),C2HF5(81),CF3(45),S(3645),S(2562),CF(50),S(5014),CHF2O(364),S(6976),C2H2F(71),CHO2(338),CH2CF(70)
0.0,0.5181342439762481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7661333395046384,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.873822998426807e-21,0.5181342439762481,1.9655524787077323e-29,4.494544020352534e-33,2.070116376916191e-38,2.624943313764929e-31,0.0,0.0,2.7991715885921365e-23,5.580409680547028e-41,2.985484585637059e-55,2.450728000441623e-55,1.7072196382856292e-60,7.697180326911479e-73,5.258769213166022e-51,1.1061613699235921e-41,4.301506952602412e-46,1.5001790129658123e-40,2.1394087701655236e-88,4.50261192654804e-74,5.752742568108519e-60,1.9036738221915863e-81,1.7327365203542242e-29,1.1442634628095678e-94,1.0942111483619637e-64,1.0278153845731779e-102,8.661552258027038e-84,1.225257964185627e-87,1.7809441689138045e-104,1.5949443900171789e-103,9.486369784573216e-65,4.71266046359958e-117,8.939826457180904e-98,1.381373890715494e-119,3.76,0.0,0.7661333395046384,0.9999999999999996,2.4696158822662146e-52,1.551267944395696e-61,2.9152895247016375e-20,1.8590935998098255e-20,8.056474273195535e-21,2.5054849757225825e-21,5.766281286274036e-16,5.2986047266179826e-42,1.0900391419552208e-64,1.0347685083138071e-38,3.5520429372630607e-45,2.1071913593677732e-38,2.763398707671045e-102,3.722714585086217e-101,1.0235265200457376e-44,4.765052238209664e-103,9.149076370513503e-48,9.355791640710936e-119,2.375073155948193e-101,2.4699990958675713e-104,9.312254725025814e-120,1.1975177454606805e-118,2.1397384121313975e-80,6.694893646534029e-103,1.881838337011579e-101,1.6968862790996966e-44,1.5001790129666412e-40,5.883975116895793e-48,1.264154070150133e-59,2.134790631992469e-23,7.514458814827868e-77,8.530807645870595e-31,2.0344539237679255e-28,2.0429847314116137e-28,3.8683036188809465e-41,1.5282043356562697e-42,1.738445212934541e-54,2.153955623527214e-23,6.4521793061736526e-24,1.81833241375498e-37,4.961299174310213e-50,6.86081276482458e-53,5.748658511716018e-38,4.138297999073098e-40,4.838813364408488e-33,7.58526807682325e-70,3.309846656106034e-45,3.3536251233467254e-69,1.2920363894083136e-73,3.649069002589573e-38,6.3950064147449705e-43,4.1339999573159446e-38,1.3379936052941922e-73,7.620380249796301e-50,1.1604013985477132e-46,2.1347906319924677e-23,4.161316847649031e-61,2.9705090108806856e-38,1.79703310859976e-51,1.732736520355318e-29,3.413966088311851e-45,1.257989379874293e-60,2.2104164767608538e-60,3.9400459770302307e-59,2.351140390223572e-78,5.553168346465092e-62,2.1376556417395352e-58,4.107943970214689e-59,4.3336037266765605e-70,3.259868560101535e-66,1.2392630488071827e-73,2.6249433137634413e-31,7.056403297440653e-58,3.978799497914616e-79,1.455830308232268e-72,6.898523794038367e-69,3.843416964749524e-83,3.4722845966317853e-75,2.3634730740602552e-108,1.1838667526120506e-109,1.2033677806943711e-58,4.8946538387906086e-73,4.8388126988259704e-33,7.128365111188557e-53,8.334569547476737e-52,2.2286294831334384e-47,1.4967827512531864e-79,4.2296224653963886e-49,4.258088982491438e-51,1.0742180420387272e-59,4.5151235297227267e-41,3.2602495069825775e-97,7.964516466425735e-41,6.911139029541496e-79,1.6507217819011673e-41,2.2836065541780972e-69,4.063429033784194e-42
1.364670439559506e-20,0.5181342439762481,5.503546941413911e-29,1.258472351514646e-32,1.2503502916573632e-37,7.3498412785464654e-31,0.0,0.0,7.837680448057996e-23,3.37056744705041e-40,3.544367300065841e-54,2.9095042827067275e-54,2.0268114306976224e-59,9.138092484098973e-72,3.1762966047497607e-50,6.681214674330624e-41,2.598110199374185e-45,9.061081238378498e-40,4.786452587835611e-87,5.34550087927199e-73,6.829655976853042e-59,4.258442193286076e-80,4.851662256988286e-29,6.941286094441877e-93,1.2990474753364546e-63,4.827576036182053e-101,1.937554593910081e-82,3.852407080752085e-86,8.508162825605298e-103,7.619240758644737e-102,1.126221820861225e-63,3.55667258570468e-115,3.689044419066918e-96,1.0659321925105761e-117,3.76,0.0,0.7661333395046384,0.9999999999999984,2.9319279754264424e-51,1.8416653035880818e-60,8.162810669164584e-20,5.205462079468235e-20,2.2558127964947524e-20,7.01535793201597e-21,1.614558760131564e-15,3.200357254877629e-41,1.2940944693293716e-63,6.250001790089587e-38,2.1454339340906895e-44,1.2727435810582169e-37,1.3201087234456605e-100,1.7783854298697602e-99,6.182100181130908e-44,2.2763226348739745e-101,5.526042127782224e-47,8.138431001660393e-117,1.1346009474736842e-99,1.1799482080928786e-102,8.100559039674798e-118,1.0416986524351399e-116,4.787137894491347e-79,3.198231033726218e-101,8.989767556508785e-100,1.024919312657612e-43,9.061081238388344e-40,3.553920970677388e-47,1.5008038065304297e-58,5.977413769578906e-23,1.680954480086716e-75,2.3886261409018343e-30,5.696470986552313e-28,5.720357247948148e-28,2.3364553858019747e-40,9.230354187355555e-42,2.0638825512318037e-53,6.031075745876164e-23,1.8066102057285477e-23,1.0982727779079715e-36,3.001635346596165e-49,8.1451569147995e-52,3.472189741076425e-37,2.4995319914401184e-39,1.3548679576832388e-32,9.005230260805337e-69,1.999147380288088e-44,7.501926625549089e-68,2.890234249315326e-72,2.2040376775636575e-37,3.8625838745059175e-42,2.4969359742185597e-37,2.993038721687759e-72,4.603053435402327e-49,7.008824452395818e-46,5.9774137695789e-23,4.940315364863842e-60,1.794187442571811e-37,2.1334376616336057e-50,4.851662256994896e-29,2.0620355173777182e-44,1.4934849917927766e-59,2.588694982665693e-59,4.677622583851442e-58,7.392239049086575e-77,8.391948005178056e-61,1.2969734303903307e-57,4.87695108141645e-58,6.548941953366852e-69,3.870648096386843e-65,1.4712530943908953e-72,7.349841278537481e-31,8.37736199473631e-57,1.2509979557757696e-77,3.2566341663079905e-71,8.189927448618612e-68,8.598038981410439e-82,7.767364452495336e-74,1.3883944919161532e-106,7.202039217261092e-108,1.428638749319621e-57,1.094914865894553e-71,1.3548675556713977e-32,4.305532527432605e-52,5.034080006639504e-51,1.3460922078716064e-46,3.348245432628567e-78,2.5546919690993876e-48,2.5718857454251537e-50,1.2753116595070304e-58,2.727134611950177e-40,1.557460312475986e-95,4.810567945716292e-40,2.1729489366557752e-77,9.970359562674452e-41,2.7112831303510963e-68,2.454311136403542e-41
3.119246718993157e-20,0.5181342439762481,1.257953587095532e-28,2.8765083537371785e-32,6.019898424072038e-37,1.67996372081282e-30,0.0,0.0,1.7914698166989768e-22,1.6227831351030827e-39,3.4798808330106063e-53,2.856568559120298e-53,1.9899356026137757e-58,8.971833389015967e-71,1.5292500871849044e-49,3.2167172637260002e-40,1.2508782218202742e-44,4.362520569800219e-39,9.458146559753744e-86,5.2482444618061e-72,6.705396737370579e-58,8.413964165033687e-79,1.1089513730242247e-28,3.138649191779846e-91,1.2754125145342039e-62,2.4482526652809956e-99,3.8282813716857654e-81,8.59450827720798e-85,4.430060581638236e-101,3.9673228606764344e-100,1.1057312621999068e-62,2.923479594271034e-113,1.4593492859933357e-94,1.1617051692474138e-115,3.76,0.0,0.7661333395046384,0.9999999999999963,2.878584272369429e-50,1.8081579159923093e-59,1.865785295809048e-19,1.1898199038787947e-19,5.1561435348451615e-20,1.6035103844573698e-20,3.69042002303922e-15,1.5408342545010604e-40,1.2705496238634197e-62,3.0091068219878394e-37,1.03293408613163e-43,6.12771247304269e-37,6.873778754358609e-99,9.260016063556575e-98,2.9764151203734453e-43,1.1852764767337995e-99,2.660551408531397e-46,8.459281783422327e-115,5.907843610764147e-98,6.143965856758778e-101,8.419916751004926e-116,1.0827667436579376e-114,9.459183908470542e-78,1.6653122686998892e-99,4.680953328952316e-98,4.934545300815695e-43,4.362520569809883e-39,1.7110599641017892e-46,1.4734981182791586e-57,1.366266004475175e-22,3.321282884971704e-74,5.4597168937636516e-30,1.3020505112129582e-27,1.307510228100374e-27,1.124902692367404e-39,4.444018208075966e-41,2.026332300292616e-52,1.3785315990573937e-22,4.129394755950614e-23,5.287710659198938e-36,1.4502617678586017e-48,7.996963359246776e-51,1.6717098952069446e-36,1.2034170581304077e-38,3.096842062763466e-32,8.841388470347537e-68,9.625034075956985e-44,1.4822544149858958e-66,5.710616339250932e-71,1.061149265952381e-36,1.8596678654077717e-41,1.202167187587071e-36,5.913740670526699e-71,2.2165222234287958e-48,3.37444727472618e-45,1.3662660044751725e-22,4.850430927955338e-59,8.638240203639187e-37,2.0946216522061946e-49,1.1089513730274073e-28,9.927813385360596e-44,1.4663124211994519e-58,2.5231942586645427e-58,4.592517590582014e-57,1.6491619242272998e-75,9.027674717481397e-60,6.303743947889041e-57,4.7882194916127155e-57,7.045052911693335e-68,3.8004584351748484e-64,1.4444850185145167e-71,1.6799637208084944e-30,8.22494368351759e-56,2.790907492448529e-76,6.434560322833503e-70,8.04091933533641e-67,1.69887282986127e-80,1.5347005849699016e-72,6.2096814371890114e-105,3.2513448705989503e-106,1.4026462236898737e-56,2.1633676332007328e-70,3.096840127249503e-32,2.072928574745708e-51,2.4236928243515673e-50,6.4808545378371845e-46,6.615570811414821e-77,1.229974212937223e-47,1.238252276108999e-49,1.2521085497961647e-57,1.3129979224398446e-39,8.109663557509398e-94,2.316081388429325e-39,4.847718022676853e-76,4.800298941755701e-40,2.662346630165643e-67,1.1816451630212765e-40
6.628399277860458e-20,0.5181342439762481,2.673151374655433e-28,6.112580771237233e-32,2.6290477986833098e-36,3.569922906736632e-30,0.0,0.0,3.8068733604853505e-22,7.087120294294797e-39,3.0779151883914283e-52,2.5266025431269316e-52,1.7600755535406118e-57,7.935485029765343e-70,6.678636900681845e-49,1.4048249397907613e-39,5.462913829841154e-44,1.905227346564541e-38,1.6831886987919443e-84,4.642012792252928e-71,5.930847477982068e-57,1.4972199675241257e-77,2.3565216676693507e-28,1.1859056146289645e-89,1.12808792552259e-61,9.683066573861662e-98,6.812222156602217e-80,1.6096562833026361e-83,1.7679037682653927e-99,1.5832544068510556e-98,9.780067795383986e-62,2.1314744777723448e-111,5.208313943188719e-93,9.50346991092783e-114,3.76,0.0,0.7661333395046384,0.9999999999999922,2.5460751899809857e-49,1.599295199964027e-58,3.9647937535942266e-19,2.5283672957438943e-19,1.0956805011546024e-19,3.4074595669572967e-20,7.842142548451869e-15,6.729228002810538e-40,1.1237867537910252e-61,1.3141560053635321e-36,4.511094530070465e-43,2.6761330263983087e-36,2.743144657712108e-97,3.6954293267486044e-96,1.2998786805404907e-42,4.730127272825984e-98,1.1619326990398727e-45,6.771390725487424e-113,2.3576652985496e-96,2.451895488571054e-99,6.739880246735143e-114,8.667209431293485e-113,1.6832604241630437e-76,6.645824104601256e-98,1.868045594122177e-96,2.1550455756775147e-42,1.905227346573089e-38,7.472648399578745e-46,1.303292415209911e-56,2.9033152595097346e-22,5.910045517195873e-73,1.1601898400416362e-29,2.7668573363318078e-27,2.778459234704502e-27,4.9127455959459923e-39,1.9408195062705793e-40,1.7922680407616258e-51,2.9293796479968954e-22,8.77496385639355e-23,2.3092821654682625e-35,6.378514953722218e-48,7.073223528593953e-50,7.300796309878581e-36,5.25563845882233e-38,6.580793723305712e-32,7.82010797648661e-67,4.203505253255308e-43,2.6375926420723363e-65,1.0161737071376104e-69,4.634317633281869e-36,8.121658146725435e-41,5.2501799457870606e-36,1.0523185979983665e-69,9.68321126738408e-48,1.473709784162399e-44,2.9033152595097215e-22,4.2901512389544605e-58,3.772546443816561e-36,1.852668961368894e-48,2.356521667683251e-28,4.335736932719128e-43,1.2969367311124056e-57,2.2238082137617673e-57,4.0620297999658015e-56,3.0886933465836245e-74,8.297988396755916e-59,2.8051787181574693e-56,4.235125915386531e-56,6.475617388160601e-67,3.361555053896311e-63,1.2776306513296088e-70,3.56992290671774e-30,7.274869543549906e-55,5.227060761246741e-75,1.144995629723533e-68,7.112102092782845e-66,3.0230901239430444e-79,2.730917903566407e-71,2.3361385857868953e-103,1.2276460364928193e-104,1.240624790897895e-55,3.849597412916318e-69,6.58078527040773e-32,9.053023695467592e-51,1.0584903324730564e-49,2.8303594444941185e-45,1.1772056474327396e-75,5.371620531052926e-47,5.407773007769182e-49,1.107475832611477e-56,5.734206882711446e-39,3.2363538394043856e-92,1.0114935912285471e-38,9.079230778465299e-75,2.0964166630011596e-39,2.355514157388272e-66,5.160554872873198e-40
1.364670439559506e-19,0.5181342439762481,5.5035469563817125e-28,1.2584727258457298e-31,1.0975757030407369e-35,7.349841278614111e-30,0.0,0.0,7.837680448058177e-22,2.958733212626097e-38,2.5871731741287278e-51,2.1237616804138167e-51,1.479449574798417e-56,6.67025331629412e-69,2.7881994367855224e-48,5.864867583225083e-39,2.2806589863022792e-43,7.95394912762266e-38,2.839363507514095e-83,3.901891454583154e-70,4.985234665578089e-56,2.52528031348165e-76,4.8516622569369395e-28,4.1157334494965935e-88,9.482258738054122e-61,3.4285887328476505e-96,1.148980836235218e-78,2.78028093700994e-82,6.283381421308911e-98,5.62713413596003e-97,8.220736277507147e-61,1.4559175960585534e-109,1.7597715676153797e-91,6.839716422686582e-112,3.76,0.0,0.7661333395046384,0.9999999999999839,2.1401296097174017e-48,1.3443039803440516e-57,8.162810669164584e-19,5.205462079478724e-19,2.255812796494792e-19,7.015357931910676e-20,1.6145587597666532e-14,2.8093202260579857e-39,9.446104797937039e-61,5.48634262932478e-36,1.883293165108279e-42,1.1172328587379013e-35,9.749565755671719e-96,1.313413461936061e-94,5.4267376100210593e-42,1.68116131816758e-96,4.85084029150412e-45,4.82089932219858e-111,8.379511737485214e-95,8.714420592065822e-98,4.798465400456314e-112,6.170629603671877e-111,2.8391040845050756e-75,2.3620299765430016e-96,6.639326621923409e-95,8.996891062720394e-42,7.953949127694515e-38,3.119683607987127e-45,1.0954958107436158e-55,5.9774137695788105e-22,9.968155657678114e-72,2.388626141743807e-29,5.696470986583091e-27,5.720357247884794e-27,2.0509745787011499e-38,8.102539387533595e-40,1.5065093077156058e-50,6.031075745875684e-22,1.806610205727464e-22,9.640798457723848e-35,2.7003793243325793e-47,5.945470569498243e-49,3.0479387429111464e-35,2.1941255991081025e-37,1.3548710845917366e-31,6.573271951094686e-66,1.7548806970679945e-42,4.44868559519531e-64,1.7139255171440941e-68,1.9347363851667915e-35,3.3906324010971725e-40,2.1918467773651443e-35,1.7748891595704023e-68,4.045121123570107e-47,6.152448287157174e-44,5.977413769578756e-22,3.606130638474804e-57,1.5749638775672204e-35,1.5572796091159709e-47,4.851662256994971e-28,1.810084820527579e-42,1.0901534688360518e-56,1.8659730750395328e-56,3.414380802027521e-55,5.334945993178294e-73,7.099103776100926e-58,1.21470546917512e-55,3.559878517219634e-55,5.540027022011959e-66,2.8256262892875153e-62,1.0739255635079372e-69,7.349841278535243e-30,6.114966195126773e-54,9.028447507099698e-74,1.93120248560446e-67,5.978150347284772e-65,5.098912712432675e-78,4.606092372787952e-70,8.091871977271174e-102,4.2592749371655956e-103,1.0428199258857438e-54,6.492908944192597e-68,1.3548675556732244e-31,3.7794591857844864e-50,4.418988773563763e-49,1.1816193527805355e-44,1.9855295249026502e-74,2.2425458311527255e-46,2.2576387785215114e-48,9.309001677261784e-56,2.3939184954262143e-38,1.1502508435013149e-90,4.2227866304312325e-38,1.5682106232416393e-73,8.752126887520086e-39,1.9811270067912326e-65,2.1544300736829237e-39
2.768331463106426e-19,0.5181342439762481,1.1164338146260182e-27,2.5529026841777243e-31,4.483954877053619e-35,1.49096780224885e-29,0.0,0.0,1.5899294623204145e-21,1.2087390584452608e-37,2.1211208785426375e-50,1.7411881439340158e-50,1.2129421543859174e-55,5.46867666832135e-68,1.1390704466188928e-47,2.3959897736163314e-38,9.317236119889923e-43,3.2494477499862418e-37,4.664943920438928e-82,3.1990063575435537e-69,4.087196573976972e-55,4.147780497773829e-75,9.841943435381462e-28,1.3709137937126252e-86,7.77412860751637e-60,1.1528552180122212e-94,1.8872044736634792e-77,4.619478362289464e-81,2.1164119632963227e-96,1.895373753272252e-95,6.739856279865997e-60,9.625263394722985e-108,5.785743899000466e-90,4.6361825410378513e-110,3.76,0.0,0.7661333395046384,0.9999999999999672,1.754607555230782e-47,1.1021416225272767e-56,1.65588445003053e-18,1.0559651646966907e-18,4.57607738717524e-19,1.4231154661631535e-19,3.2752477689653286e-14,1.1476989782087071e-38,7.74448742297618e-60,2.2413499782621172e-35,7.693867081892444e-42,4.564260772054331e-35,3.2839222588869513e-94,4.423938266002151e-93,2.2169993841039115e-41,5.6626143294103176e-95,1.9817265380366834e-44,3.2502165027960977e-109,2.82245033267821e-93,2.935256858974893e-96,3.235091709349825e-110,4.1601951889661265e-109,4.663268428885942e-74,7.955967488305796e-95,2.2363080594918502e-93,3.675523565215949e-41,3.249447750045153e-37,1.2744925470743645e-44,8.981536552833427e-55,1.2125610789716796e-21,1.6372725648350517e-70,4.845498746634668e-29,1.1555698287139991e-26,1.1604153274133525e-26,8.37890037039088e-38,3.310151719106738e-39,1.2351273607362393e-49,1.223446794163242e-21,3.6648378459017677e-22,3.938580741485556e-34,1.1338179781413532e-46,4.8744559830848796e-48,1.2451824282711556e-34,8.963718997908456e-37,2.7484600297249333e-31,5.389165485878872e-65,7.169260250996755e-42,7.306979517075594e-63,2.815127834758098e-67,7.904029422316627e-35,1.3851839694589014e-39,8.954409267512712e-35,2.9152608006775124e-67,1.6546650464346766e-46,2.51347590631705e-43,1.2125610789716572e-21,2.9565238053086203e-56,6.434241337913444e-35,1.2767514437157757e-46,9.84194343561854e-28,7.394787110190754e-42,8.937736781088506e-56,1.5285095308662635e-55,2.799315668881693e-54,8.864089533493132e-72,5.869676285286931e-57,5.318760753568402e-55,2.9186034869843583e-54,4.580601494052128e-65,2.3166337610618357e-61,8.804690904034494e-69,1.4909678022166298e-29,5.013418737460213e-53,1.5000900499091644e-72,3.1720058816299927e-66,4.901248842618145e-64,8.375002901144172e-77,7.565520688637585e-69,2.692854945623898e-100,1.4185167438328771e-101,8.549667940470726e-54,1.0664622628249132e-66,2.7484456129413526e-31,1.5440323997885797e-49,1.8053011018312044e-48,4.827300612616e-44,3.261238316930541e-73,9.16153144494347e-46,9.223191059674288e-48,7.632082001071004e-55,9.779938170043119e-38,3.874361630493627e-89,1.7251461246363675e-37,2.6056048192697927e-72,3.5755294083676867e-38,1.626175212607304e-64,8.801549824088522e-39
5.575653510200267e-19,0.5181342439762481,2.2485920631720765e-27,5.141765244393642e-31,1.812486253574632e-34,3.002935151071499e-29,0.0,0.0,3.202252297349735e-21,4.885916534984019e-37,1.7177386811718615e-49,1.4100593121154642e-49,9.822720086033798e-55,4.428676150849843e-67,4.604304866804611e-47,9.684973750373895e-38,3.76617580956334e-42,1.3134787350537368e-36,7.566150741482407e-81,2.590638289352283e-68,3.3099177532429533e-54,6.7237309266863615e-74,1.9822505791907887e-27,4.475214402357024e-85,6.295690904451671e-59,3.7807564304176734e-93,3.059239776884717e-76,7.530915635892138e-80,6.946269747777367e-95,6.220806440403209e-94,5.458110363840158e-59,6.26075370337563e-106,1.8765921650248901e-88,3.0526707821502266e-108,3.76,0.0,0.7661333395046384,0.999999999999934,1.420926689498174e-46,8.925428608992595e-56,3.335091216258673e-18,2.126803078201735e-18,9.216606568536414e-19,2.8662748120329664e-19,6.596625784785655e-14,4.639182771216669e-38,6.271686704544354e-59,9.059894966948471e-35,3.1099840880410293e-41,1.8449471803194273e-34,1.0778161672620693e-92,1.451980835480667e-91,8.961465980858139e-41,1.8585267238834153e-93,8.010455517039797e-44,2.1343640170392036e-107,9.26356460178127e-92,9.633806918783538e-95,2.124431811526819e-108,2.7319321356558996e-107,7.559384216780302e-73,2.6112281937939237e-93,7.339786971441959e-92,1.4857053954804612e-40,1.3134787351014457e-36,5.15170265267492e-44,7.273481172457292e-54,2.4422004829992093e-21,2.6540893857148184e-69,9.759243962362461e-29,2.3274152888471133e-26,2.3371745326183572e-26,3.386885496698327e-37,1.338016249594425e-38,1.00023816385494e-48,2.4641252333142506e-21,7.38129312624272e-22,1.5920373081948236e-33,4.830664814827316e-46,3.9474608339080637e-47,5.033226462611163e-34,3.623278536489299e-36,5.535660002434789e-31,4.364285934028064e-64,2.8979296200642987e-41,1.1844928730726616e-61,4.563443552881162e-66,3.1949350670361183e-34,5.599135076412869e-39,3.6195153946018074e-34,4.7257634039229243e-66,6.7054071293889394e-46,1.0159871738779574e-42,2.4422004829991198e-21,2.3942696867182334e-55,2.6008232234465883e-34,1.0339456652148881e-45,1.9822505792866194e-27,2.9890911841929597e-41,7.238010972750457e-55,1.2372916938309086e-54,2.2669584044926935e-53,1.445070064530194e-70,4.773123274078675e-56,2.4379776968937848e-54,2.3635607732876873e-53,3.7248690925661903e-64,1.8760759123001293e-60,7.130267450380864e-68,3.00293515094126e-29,4.059996475251756e-52,2.445525379185067e-71,5.1419582250910025e-65,3.9691583915272873e-63,1.3576259368263892e-75,1.2264035164693298e-67,8.786827539395226e-99,4.630277246339508e-100,6.923742820264711e-53,1.7287813002347435e-65,5.535601727490508e-31,6.241225843061142e-49,7.297315694613388e-48,1.9512720924316134e-43,5.286607936541834e-72,3.703237490329816e-45,3.728161292474112e-47,6.180657879328824e-54,3.95320737597341e-37,1.2716042807511783e-87,6.973316462674676e-37,4.247792998357082e-71,1.4452861546164971e-37,1.3200409610199323e-63,3.557727163466537e-38
1.119029760438795e-18,0.5181342439762481,4.512908602545649e-27,1.031950093903319e-30,7.287927509575669e-34,6.026869848907883e-29,0.0,0.0,6.4268979674088814e-21,1.9646055496756512e-36,1.3825855304233874e-48,1.1349384225646313e-48,7.906179715724777e-54,3.5645838520411134e-66,1.851370736373656e-46,3.894285348650533e-37,1.514362728874965e-41,5.2814402272482406e-36,1.2198118879457966e-79,2.0851710775960863e-67,2.664109764000404e-53,1.0828361375707209e-72,3.978363050351028e-27,1.4463636556368326e-83,5.067319752938029e-58,1.224763497954712e-91,4.926811349290364e-75,1.2162448897847515e-78,2.250979030180532e-93,2.0158893212355523e-92,4.393162075073844e-58,4.03942714042689e-104,6.045691631797696e-87,1.9815147016411593e-106,3.76,0.0,0.7661333395046384,0.9999999999998677,1.1436854175353282e-45,7.183961439666682e-55,6.693504748714959e-18,4.2684789052414575e-18,1.849766493125986e-18,5.752593503475155e-19,1.3239381806118214e-13,1.8653949884537628e-37,5.047999084265485e-58,3.642943914344961e-34,1.250510922942258e-40,7.4184514683709795e-34,3.4927273875797267e-91,4.705230244575984e-90,3.603366059039181e-40,6.0226663831211705e-92,3.2209689317223314e-43,1.3835853051114605e-105,3.001913198279932e-90,3.121892424476031e-93,1.377146826786034e-106,1.7709543097700446e-105,1.2174175352315259e-71,8.461840258299316e-92,2.3785016169138913e-90,5.973956082526137e-40,5.281440227632256e-36,2.0714769815033426e-43,5.854330429590134e-53,4.901479291054e-21,4.2743291353702045e-68,1.9586734417602332e-28,4.671106209200278e-26,4.690692942849401e-26,1.3618517620747098e-36,5.380104491196347e-38,8.050786947032132e-48,4.945482111614914e-21,1.4814203686893994e-21,6.401511995892393e-33,2.1415016074090383e-45,3.1772599004553365e-46,2.0238382236797998e-33,1.4569043637631228e-35,1.1110148277628347e-30,3.5127570040213234e-63,1.1652447546719718e-40,1.907589260473202e-60,7.349285174200434e-65,1.2846693386026486e-33,2.2513875883331702e-38,1.4553912209516131e-33,7.610696282852286e-65,2.7098751962011263e-45,4.085239946674681e-42,4.9014792910536406e-21,1.9271166309722504e-54,1.0457795793068766e-33,8.322082057361208e-45,3.978363050736358e-27,1.2019004200949808e-40,5.825780925122896e-54,9.956652778378094e-54,1.8246453427225727e-52,2.333791811562685e-69,3.8496968388101855e-55,1.2119491455195965e-53,1.902399334874092e-52,3.004241914693098e-63,1.510031439238391e-59,5.739060334830102e-67,6.026869848384199e-29,3.267838374989897e-51,3.9495300154573684e-70,8.280965203626927e-64,3.1947239910371917e-62,2.186416221138355e-74,1.9750850639938715e-66,2.8393927961939773e-97,1.4964271057678866e-98,5.572830596508991e-52,2.7841490008204772e-64,1.110991395664042e-30,2.5095694725031133e-48,2.934218544595415e-47,7.845979287052384e-43,8.513919175780066e-71,1.4890555074301761e-44,1.4990772586677518e-46,4.974731166001815e-53,1.5895672989478582e-36,4.1207092916985115e-86,2.803939879688653e-36,6.860196652597111e-70,5.8114320613770085e-37,1.0675097291632492e-62,1.4305464448934639e-37
