Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(923),S(304),S(964),S(1434),S(335),S(220),CF2O(49),S(879),C2H2F3(67),C2H2F3(68),S(133),S(149),CHFCF2(55),C2H3F2(66),C2H3F2(64),C2HF2(72),CF2CH(73),S(234),CF2(43),S(3455),CH2F(46),S(3466),CH2F2(41),C2F(235),S(3986),S(4065),S(3435),C2H3F2(65),CFO(51),F(37),S(4439),CHO2(339),S(215),CHF2(82),S(4798),S(3456),CHF3(42),S(221),CFO3(4550),S(2885),S(4664),S(3782),S(5203),S(2642),S(2822),C2HF3(125),C2HFO(286),S(2949),S(195),S(2224),S(2641),S(2826)
0.0,0.8522527136943856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.500551812273265,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.326478426268786e-23,0.8522527136943856,3.7389297464682117e-26,1.3793902573303815e-25,1.6046200332428012e-38,3.1432377713920858e-24,0.0,0.0,2.3524480275170432e-21,4.001014246505596e-39,1.7734639226115272e-53,7.015232800298666e-54,4.391962212573698e-56,6.810040748577983e-63,2.7085814875885152e-42,2.869979279811854e-38,3.59315742094471e-38,9.17081918798568e-38,1.3441485572428712e-87,4.412925688330328e-58,8.29376459043992e-91,5.182872618733041e-90,4.6847737397842956e-24,9.30865551617147e-92,1.6803136544585069e-56,2.352560456221637e-93,2.57479953347533e-94,2.3033684736891364e-76,1.0074377259912036e-91,1.1698099464170324e-91,2.1295669328882642e-58,1.2981088166969161e-109,4.5417794519274845e-110,1.4352588887031024e-110,3.76,0.0,0.5005518122732648,0.9999999999999994,7.40429173570183e-54,3.909151183493365e-54,3.188665465878064e-17,1.924717062587126e-17,5.0156193997950685e-18,7.623864633114316e-18,5.181983284785699e-16,1.963529004500158e-34,2.902217125932518e-53,6.927710630172672e-34,5.164631568599116e-43,4.937951709964889e-37,2.728002822499598e-89,4.89368594635677e-87,5.44969554487781e-39,4.55293328978224e-89,4.826769574002137e-40,4.147154019292061e-108,4.939219759001376e-87,2.097046514983123e-90,3.610129235233122e-89,3.642489279535407e-87,2.7585019402743666e-109,2.1077212053702974e-108,3.58959867518495e-73,9.832850065998605e-43,9.170819187985678e-38,2.8291306792617373e-42,1.7984197102407596e-21,5.540657065737018e-22,1.1006101235508985e-35,9.86177062925727e-52,1.4411020849077763e-35,6.2043069154592024e-24,1.6541727296093767e-22,5.903949402440249e-37,4.764373886351031e-36,9.926840931999379e-52,4.430539762996512e-36,1.0284387226461447e-41,1.1841711090538663e-20,1.0960572107144912e-46,1.8428249010773328e-37,1.3543032510756855e-58,7.983962753059669e-69,7.278184999047402e-73,2.0842885715384123e-39,1.9539401369945774e-37,2.3965131974319677e-53,1.7162157987639643e-22,3.3803984343894006e-73,1.679403879200551e-52,3.22140998516801e-40,1.1841711090538662e-20,1.3025382539100354e-57,3.432686242048154e-39,4.684773739783155e-24,1.2756541522561415e-39,4.021394832842164e-73,1.3535113602671107e-38,5.50494701975972e-52,2.874587228501144e-56,4.512807323904085e-71,8.815607575972803e-53,6.5234244378470254e-55,3.143237771392044e-24,5.3957676020488745e-56,1.2624561747433098e-56,1.5153105480128237e-60,1.0926495597740598e-63,5.117276672205423e-50,8.430278760509502e-58
2.05141395935526e-22,0.8522527136943856,1.0469003299536897e-25,3.8622927205252965e-25,9.691905000789308e-38,8.801065759897842e-24,0.0,0.0,6.586854477047717e-21,2.416612604889379e-38,2.105460200900107e-52,8.328484380540984e-53,5.2306852876909256e-55,8.084880376711263e-62,1.6359832185033574e-41,1.7334674850067544e-37,2.1702670822507018e-37,5.539174789544534e-37,6.4211615101955046e-86,5.239025377186886e-57,3.9620959429157006e-89,2.4759297669333134e-88,1.3117366471399716e-23,4.517741206325665e-90,1.9948683705731974e-55,1.1238463607064566e-91,1.2312867711344287e-92,7.242159020235781e-75,4.812654408015017e-90,5.588324162303384e-90,2.528221862725479e-57,1.0424181974425029e-107,3.933864086684995e-108,1.1636975897664458e-108,3.76,0.0,0.5005518122732648,0.9999999999999986,8.790375152625615e-53,4.6409442850444035e-53,8.928263304458581e-17,5.389207775244113e-17,1.4043734319426424e-17,2.1346820972718246e-17,1.4509553197397016e-15,1.1859715187181241e-33,3.445512171907153e-52,4.18433722062322e-33,3.1194374674335434e-42,2.982522832819097e-36,1.303199684342418e-87,2.3377725008060253e-85,3.2916161091067313e-38,2.174990867729338e-87,2.9153688226976945e-39,3.607532973748887e-106,2.3595245495122004e-85,1.0017842847659266e-88,1.7246020572224522e-87,1.7400608387053975e-85,2.3995700814094027e-107,1.833467894481783e-106,8.03127188333108e-72,5.939041442135062e-42,5.539174789544534e-37,1.7087949302754785e-41,5.035575188674111e-21,1.5513839784063174e-21,6.647685146247321e-35,1.1708084628716285e-50,8.704256592842847e-35,1.737205936330181e-23,4.631683642906082e-22,3.565985439073661e-36,2.877681827355817e-35,1.1787911417125607e-50,2.676046016849827e-35,6.211769884782573e-41,3.315679105350827e-20,6.620185976183459e-46,1.1130662402507088e-36,1.607828819679684e-57,1.7863809472083202e-67,1.6284658902714007e-71,1.2589102972091153e-38,1.1801798427447208e-36,2.8452168543064573e-52,4.8054042365390705e-22,7.56351143403199e-72,1.9937882853870617e-51,1.9457316310433165e-39,3.3156791053508256e-20,1.5463734150432556e-56,2.073342490196909e-38,1.3117366471392832e-23,7.704951079630327e-39,8.995930105120651e-72,8.175208616012956e-38,6.53547310135243e-51,3.412709957676709e-55,1.4175891447802058e-69,5.3273338027063365e-52,7.744609492611032e-54,8.801065759897585e-24,6.4070944358993425e-55,1.9078237712721174e-55,2.289937300157147e-59,1.2971935573711338e-62,3.0908351128640745e-49,1.0008426944478482e-56
4.688946192812023e-22,0.8522527136943856,2.3929150443377874e-25,8.828097646916042e-25,4.666235056674251e-37,2.0116721736909347e-23,0.0,0.0,1.5055667376109047e-20,1.1634949428838248e-37,2.067154989602017e-51,8.176955352109989e-52,5.142768958623547e-54,7.937783496540893e-61,7.876554965905821e-41,8.345899745698795e-37,1.0448901780108664e-36,2.6668742198679805e-36,3.3434846623224954e-84,5.14370618232122e-56,2.0630341582572546e-87,1.2892075472503092e-86,2.998255193464532e-23,2.3295193037510005e-88,1.9585735956370145e-54,5.8518447009386065e-90,6.40588710825621e-91,1.6156858383545497e-73,2.5059380443976464e-88,2.909828097598523e-88,2.482223216976177e-56,1.1383407420086142e-105,4.1005903581704917e-106,1.2713914181364631e-106,3.76,0.0,0.5005518122732647,0.9999999999999967,8.630442452818411e-52,4.556506619481716e-52,2.040745898161961e-16,1.2318189200558729e-16,3.2099964158690063e-17,4.8792733651918724e-17,3.3164693022607864e-15,5.709942345086893e-33,3.382824281987156e-51,2.0145782512526035e-32,1.5018748601481342e-41,1.4359563572582395e-35,6.785733738236829e-86,1.217273294463212e-83,1.5847714644512546e-37,1.1325132356025806e-85,1.4036245921204105e-38,3.7497569202155096e-104,1.2285995411279397e-83,5.21627000163118e-87,8.979967157246408e-86,9.06046071192517e-84,2.494171109115732e-105,1.9057508206727604e-104,1.586986994092799e-70,2.859392802535302e-41,2.66687421986798e-36,8.227112015313971e-41,1.1509886145540749e-20,3.546020522071358e-21,3.200574239285855e-34,1.1495150408942107e-49,4.190724862911629e-34,3.9707564259051216e-23,1.0586705469498795e-21,1.7168684862292503e-35,1.3854799261505715e-34,1.1574653315308586e-49,1.2884009630792865e-34,2.990699805454775e-40,7.578695097944752e-20,3.187335003959637e-45,5.358934812332882e-36,1.578575869461684e-56,3.5299737884758285e-66,3.217926118764182e-70,6.061111166032419e-38,5.682057918380166e-36,2.793484251494899e-51,1.098378111208916e-21,1.4945858638207155e-70,1.957513161596682e-50,9.367860236896071e-39,7.578695097944742e-20,1.5182385887614366e-55,9.982251591873387e-38,2.998255193461219e-23,3.709602274765617e-38,1.77746643966516e-70,3.936011035656163e-37,6.416566244662366e-50,3.350618873541373e-54,3.161928132344159e-68,2.5676389233209628e-51,7.603703524751532e-53,2.0116721736908122e-23,6.29106629397088e-54,2.0523497541568009e-54,2.4634100516940272e-58,1.2735923268954804e-61,1.488104060555295e-48,9.826332923254844e-56
9.96401065972555e-22,0.8522527136943856,5.084944488187428e-25,1.8759707499701193e-24,2.0378674422226814e-36,4.274803369093235e-23,0.0,0.0,3.199329317423164e-20,5.08128809306208e-37,1.8283758453824183e-50,7.232424407967831e-51,4.5516006441687965e-53,7.020879610150592e-60,3.439898489235781e-40,3.6448736853671775e-36,4.563309924601277e-36,1.1646940368759689e-35,1.3342968436933292e-82,4.549549867648084e-55,8.23299835687251e-86,5.144883291579674e-85,6.371292286119557e-23,9.264471264520538e-87,1.7323361652009179e-53,2.3353176040693723e-88,2.5556559738021985e-89,3.026000763826075e-72,1.000053932193937e-86,1.1612359076168303e-86,2.195498325133849e-55,9.318185487408388e-104,3.2870090356439004e-104,1.0408899643825025e-104,3.76,0.0,0.5005518122732645,0.9999999999999929,7.633528613571179e-51,4.030178504136822e-51,4.3365850335941663e-16,2.6176152051190536e-16,6.821242383722104e-17,1.0368455901029016e-16,7.047497267298245e-15,2.4936818357156513e-32,2.9920697681518404e-50,8.798192500302661e-32,6.559082092115804e-41,6.271198671660029e-35,2.7080082029851857e-84,4.85781817241244e-82,6.921113342002898e-37,4.519563027827217e-84,6.129997358988731e-38,3.00156323939285e-102,4.9030182496050227e-82,2.081676425616555e-85,3.583669159805095e-84,3.615792024437903e-82,1.9965060331022545e-103,1.5254939796058265e-102,2.8240746156024875e-69,1.2487719618058512e-40,1.1646940368759689e-35,3.5929959626839394e-40,2.4458508059273763e-20,7.535293609400675e-21,1.3977748569094782e-33,1.0167363516794949e-48,1.830199647832685e-33,8.43785740508067e-23,2.249674912268143e-21,7.498015741095254e-35,6.050754835662627e-34,1.0238131110848053e-48,5.626785499004549e-34,1.3061171777603814e-39,1.6104727083132616e-19,1.391993313982696e-44,2.340387624368211e-35,1.3962324797452713e-55,6.281713046511492e-65,5.726413195740624e-69,2.647046485852458e-37,2.4815039739830465e-35,2.470818478456979e-50,2.334053486318886e-21,2.659668338200999e-69,1.731398223301692e-49,4.0911906811917474e-38,1.6104727083132575e-19,1.3428648382592662e-54,4.359511527398423e-37,6.371292286105086e-23,1.6200807733701736e-37,3.162924611861326e-69,1.7189594275386155e-36,5.675380176195394e-49,2.963584449096438e-53,5.921468878292039e-67,1.123777743717536e-50,6.725389658436551e-52,4.2748033690927e-23,5.564592535422726e-53,1.8864630127956472e-53,2.264298245685758e-57,1.1264779901926097e-60,6.498941417906266e-48,8.69128019094532e-55
2.05141395935526e-21,0.8522527136943856,1.0469003436212485e-24,3.8622927205286126e-24,8.507695416292245e-36,8.801065759897833e-23,0.0,0.0,6.586854477047652e-20,2.121337753497241e-36,1.5368603303567913e-49,6.0792885013259315e-50,3.8270363720091545e-52,5.901472352059592e-59,1.4360899047179596e-39,1.5216630141617562e-35,1.9050920645862298e-35,4.862368333486034e-35,4.742299793435573e-81,3.82417079470878e-54,2.9261321896909865e-84,1.8285712594294998e-83,1.3117366471453223e-22,3.2879727793003645e-85,1.4561329279359516e-52,8.300084534012913e-87,9.082048744407234e-88,5.226663806278796e-71,3.5543480720675426e-85,4.127214141641654e-85,1.845448630976121e-54,6.708278399676551e-102,2.341903009157721e-102,7.494018968205617e-103,3.76,0.0,0.5005518122732641,0.9999999999999855,6.416440754599684e-50,3.3876078691997724e-50,8.928263304458573e-16,5.389207775246441e-16,1.4043734319429786e-16,2.1346820972691487e-16,1.450955319735432e-14,1.041063078186389e-31,2.5150149258599255e-49,3.6730721761025807e-31,2.738287657666673e-40,2.618101996627528e-34,9.624685291955461e-83,1.726544663466003e-80,2.8894285779014596e-36,1.6063234872056242e-82,2.5591532281413174e-37,2.1369663594101418e-100,1.7426094788416237e-80,7.398604056717313e-84,1.2736921481851299e-82,1.2851091173909329e-80,1.4214147391949029e-101,1.0860771724268871e-100,4.763307451545736e-68,5.2133771356788205e-40,4.862368333486031e-35,1.5000050861639528e-39,5.0355751886738765e-20,1.5513839784056255e-20,5.8354348750654014e-33,8.546294812350959e-48,7.640723254179311e-33,1.7372059363534455e-22,4.631683642903554e-21,3.1302739731703424e-34,2.5260710345404517e-33,8.605956933643096e-48,2.3490721823398328e-33,5.452782107467854e-39,3.315679105350839e-19,5.81130123858586e-44,9.770657625511997e-35,1.1736175285595279e-54,1.0595277831281831e-63,9.658661313613703e-68,1.1050898006284733e-36,1.0359790606344643e-34,2.076877079693655e-49,4.8054042365386345e-21,4.486025511451661e-68,1.4553445312551125e-48,1.7079915741615984e-37,3.315679105350821e-19,1.128758810241196e-53,1.8200102455314714e-36,1.3117366471392812e-22,6.7635183153057496e-37,5.334749101666157e-68,7.176317232130679e-36,4.77049900219141e-48,2.491071298825048e-52,1.0227473869355688e-65,4.711795370901918e-50,5.653095243035946e-51,8.801065759895597e-23,4.677460817014388e-52,1.6139088243181478e-52,1.937154820855136e-56,9.468726261942196e-60,2.713180131388077e-47,7.305544689416322e-54
4.1614397461206705e-21,0.8522527136943857,2.1237121573565703e-24,7.83493666165145e-24,3.475671176838182e-35,1.7853590541507015e-22,0.0,0.0,1.3361904796296514e-19,8.666356898500759e-36,1.2600110572360178e-48,4.984168008802222e-49,3.138089996977184e-51,4.838383586154537e-58,5.866895845363768e-39,6.216489919290331e-35,7.782922700074464e-35,1.986436119407992e-34,1.5973371511405946e-79,3.135286264181096e-53,9.85601231427816e-83,6.159130291330773e-82,2.660951484221501e-22,1.106740731269702e-83,1.193825750168436e-51,2.795697064997572e-85,3.058904291074898e-86,8.684180085546694e-70,1.1972022842388723e-83,1.3901593666206745e-83,1.5130102849895423e-53,4.5477101255866353e-100,1.5794796626170169e-100,5.0805527973093275e-101,3.76,0.0,0.5005518122732632,0.9999999999999706,5.2605857957758625e-49,2.77736560181864e-49,1.8111619846187373e-15,1.0932392915505323e-15,2.848871819085108e-16,4.3303551115969175e-16,2.943366505739107e-14,4.253082364910955e-31,2.0619611870223083e-48,1.5005698333252457e-30,1.1186798562809619e-39,1.0695800921887372e-33,3.241859079106054e-81,5.815477932958305e-79,1.1804258538088355e-35,5.410539901324535e-81,1.0454975968117047e-36,1.4407277280688257e-98,5.869588655546674e-79,2.4920536107293063e-82,4.290145941744523e-81,4.32860143833388e-79,9.583078455239593e-100,7.322256105004095e-99,7.823820978992996e-67,2.1298346816229885e-39,1.9864361194079914e-34,6.12801021667217e-39,1.0215023954166463e-19,3.14709321333552e-20,2.3839655520149505e-32,7.006774064218123e-47,3.1214847599921836e-32,3.5240463280852752e-22,9.395701104169916e-21,1.278819056363223e-33,1.0319824412767534e-32,7.055759387633237e-47,9.59672634823319e-33,2.2276394107987566e-38,6.726091899426014e-19,2.3741087622757396e-43,3.991632448729529e-34,9.62202556923249e-54,1.740297592841356e-62,1.5864562781458585e-66,4.5146524174849636e-36,4.2323124943352205e-34,1.702751406934673e-48,9.748105736977361e-21,7.36839516934209e-67,1.1931793749377084e-47,6.977702884489305e-37,6.726091899425941e-19,9.254246693836215e-53,7.435335707705154e-36,2.660951484196821e-22,2.763117919989807e-36,8.7623529585961e-67,2.931759746788279e-35,3.911143298143002e-47,2.0423307549667847e-51,1.6992777784767772e-64,1.9414661949425123e-49,4.634749025859546e-50,1.7853590541497883e-22,3.834899001620594e-51,1.3344110258831675e-51,1.6016770667861378e-55,7.763033866650398e-59,1.1084226299907817e-46,5.989526918819194e-53
8.38149131965149e-21,0.8522527136943862,4.277335881348456e-24,1.578022454392053e-23,1.404921860892767e-34,3.595864010472532e-22,0.0,0.0,2.691200543479377e-19,3.5030800214992936e-35,1.0203896641199783e-47,4.03630847725473e-48,2.541487892125241e-50,3.91824847162487e-57,2.371493104284899e-38,2.5128046185190926e-34,3.145981793602663e-34,8.029492398513771e-34,5.242620428405891e-78,2.5390361045376685e-52,3.2348408588280043e-81,2.021488024443349e-80,5.359381158411642e-22,3.631267931824123e-82,9.667910445101251e-51,9.175757711250945e-84,1.0039345661021693e-84,1.4157405313471713e-68,3.929337714418074e-82,4.5626421996928995e-82,1.2252749562338144e-52,2.994616552296648e-98,1.0374112983078902e-98,3.3455421491584263e-99,3.76,0.0,0.5005518122732613,0.9999999999999407,4.260158767398127e-48,2.2491826724218272e-48,3.64783329296449e-15,2.2018763196039517e-15,5.73786859337174e-16,8.721701140233553e-16,5.928188877716307e-14,1.7191638928349273e-30,1.6698296292057463e-47,6.065543186722154e-30,4.521882840591877e-39,4.323413743785126e-33,1.0640106102999213e-79,1.908698087598473e-77,4.7714700349769955e-35,1.775793371022788e-79,4.226068447015767e-36,9.461023346872948e-97,1.926457768561877e-77,8.179169478202503e-81,1.4080688550537494e-79,1.4206903340638232e-77,6.293050882101087e-98,4.808405822388021e-97,1.2682810261264547e-65,8.60913242264071e-39,8.029492398513767e-34,2.4770397081012204e-38,2.0573921485149978e-19,6.338511683190423e-20,9.636369924537238e-32,5.674269387077886e-46,1.2617540482356354e-31,7.097727111713227e-22,1.8923736026684788e-20,5.1691910913835286e-33,4.171438027426923e-32,5.713967179975164e-46,3.879150228405673e-32,9.004474667339884e-38,1.3546917487576446e-18,9.596548129293264e-43,1.613481656488441e-33,7.79216577423994e-53,2.821113401999237e-61,2.5717285861711977e-65,1.824894690225006e-35,1.710768379064905e-33,1.378933072825321e-47,1.9633508737851742e-20,1.1944553879097507e-65,9.662675930917274e-47,2.8204990698715196e-36,1.354691748757615e-18,7.494328905427828e-52,3.005481573835642e-35,5.359381158311882e-22,1.1168964417298946e-35,1.4204160965966834e-65,1.1850641644552863e-34,3.167345237549059e-46,1.6539323963749679e-50,2.7702253118208013e-63,7.981469341516271e-49,3.753339925108118e-49,3.595864010468841e-22,3.1056142105032066e-50,1.085120884911281e-50,1.302457190733959e-54,6.2867060966979576e-58,4.480421632877316e-46,4.850474187858804e-52
1.6821594466713133e-20,0.8522527136943868,8.584583715417198e-24,3.167080030855234e-23,5.6491290120524095e-34,7.21687392311617e-22,0.0,0.0,5.401220671178643e-19,1.4085730695391286e-34,8.212983903523512e-47,3.2487722141117184e-47,2.0456829625835453e-49,3.153747249862632e-56,9.53566947023173e-38,1.0103876854060149e-33,1.2649854426808633e-33,3.228623578497332e-33,1.6989023203442877e-76,2.04363714810985e-51,1.0482692473750242e-79,6.550751827309716e-79,1.075624050694306e-21,1.1765486498013977e-80,7.781575415432773e-50,2.9734588615136365e-82,3.2532643879315326e-83,2.286424739808203e-67,1.2733252444653747e-80,1.478551332304721e-80,9.862078813029151e-52,1.9438954235071867e-96,6.72556594435255e-97,2.1717092979139297e-97,3.76,0.0,0.5005518122732576,0.999999999999881,3.4289464015169675e-47,1.8103378892403494e-47,7.321175909655972e-15,4.419150375717365e-15,1.1515862141954492e-15,1.750439319743122e-15,1.1897833621550093e-13,6.912682401525886e-30,1.3440241574811886e-46,2.4389282381102344e-29,1.818229202225677e-38,1.738425651323319e-32,3.447989658065e-78,6.185249660606652e-76,1.9185871153972086e-34,5.754564023035615e-78,1.699283535636017e-35,6.133036713934792e-95,6.242800962931138e-76,2.6505085099026557e-79,4.562930860928103e-78,4.6038315140942244e-76,4.0794225621818666e-96,3.117012648948277e-95,2.042532235820388e-64,3.4616943698589843e-38,3.228623578497326e-33,9.96006772266283e-38,4.1291716547110373e-19,1.2721348622880688e-19,3.8747419643576214e-31,4.5671464866359076e-45,5.073457533991503e-31,1.4245088679626302e-21,3.797980587164313e-20,2.0785090029070494e-32,1.6773168841692441e-31,4.5991099915339164e-45,1.5597892457167866e-31,3.6206596606133153e-37,2.718856866387764e-18,3.858746623363823e-42,6.487738777238666e-33,6.271812918879496e-52,4.54332896576705e-60,4.1417012762834566e-64,7.337821287576453e-35,6.878924409891456e-33,1.109885635690583e-46,3.940431473958819e-20,1.923638999520118e-64,7.777362223054926e-46,1.1341102710624121e-35,2.7188568663876437e-18,6.032087895307617e-51,1.2084909222441224e-34,1.0756240506541928e-21,4.4909914694297604e-35,2.2875370722193422e-64,4.765090884243447e-34,2.5493549862643017e-45,1.331228681472757e-49,4.473899985016936e-62,3.3168773367910977e-48,3.021014504894791e-48,7.21687392310133e-22,2.499673920456332e-49,8.751893048855652e-50,1.0504789090839075e-53,5.0600879996877205e-57,1.801557946300194e-45,3.904083608149603e-51
3.370180076083641e-20,0.8522527136943879,1.719908092789455e-23,6.345195183819049e-23,2.2655533973923604e-33,1.4458893748403356e-21,0.0,0.0,1.0821260926576429e-18,5.649008008554539e-34,6.590402414069475e-46,2.6069351024459463e-46,1.641560689062124e-48,2.530683551928004e-55,3.8242299507703265e-37,4.052106525541456e-33,5.0731574037484807e-33,1.2948224587328428e-32,5.470736159075026e-75,1.6398901076328166e-50,3.375593733494765e-78,2.109446413362323e-77,2.1549959204610436e-21,3.788378566831345e-79,6.244224204407971e-49,9.575011368761577e-81,1.047595744296554e-81,3.6753609917944465e-66,4.100310160470316e-79,4.7611708685388134e-79,7.913697155649526e-51,1.2529122600223038e-94,4.332117268441306e-95,1.399752325097313e-95,3.76,0.0,0.5005518122732503,0.9999999999997616,2.7515135398208675e-46,1.4526821450256562e-46,1.466786114303884e-14,8.85369848797048e-15,2.3071849239157963e-15,3.506977731152413e-15,2.3837123108735226e-13,2.77229482029819e-29,1.078494742696799e-45,9.781193071795747e-29,7.291912323706893e-38,6.971864391777139e-32,1.1103076091940842e-76,1.991748944641275e-74,7.694392441968255e-34,1.8530613070295723e-76,6.814887001159909e-35,3.95026944963444e-93,2.0102813810066e-74,8.535059726372925e-78,1.469336441689798e-76,1.4825071036123855e-74,2.627543103223757e-94,2.00765793775268e-93,3.278720384065676e-63,1.388294340204122e-37,1.2948224587328384e-32,3.994432632147375e-37,8.27273066710047e-19,2.5487022502183052e-19,1.5539448297741212e-30,3.6648477599018886e-44,2.034683387060951e-30,2.8539811818081133e-21,7.609194556127422e-20,8.335750737450687e-32,6.726790903765357e-31,3.690500963437644e-44,6.255452508094409e-31,1.452046461862619e-36,5.447187101648133e-18,1.5475434800018438e-41,2.601873420881577e-32,5.032734883494725e-51,7.2930594247331015e-59,6.64835713081821e-63,2.942794528369374e-34,2.7587563557790557e-32,8.906134580894855e-46,7.894592674301186e-20,3.0878709511617976e-63,6.240843382910267e-45,4.548289430759282e-35,5.447187101647651e-18,4.84037064890347e-50,4.846589108918383e-34,2.154995920300172e-21,1.8010884438435784e-34,3.6720042038990056e-63,1.9110145684677373e-33,2.045696801684042e-44,1.06822717903382e-48,7.19164643474464e-61,1.416491996336466e-47,2.4241738832885796e-47,1.445889374834384e-21,2.0058330643312997e-48,7.029996445217151e-49,8.438017872778157e-53,4.060401949741146e-56,7.225054040162715e-45,3.1327812250123653e-50
