Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577)
0.0,0.6034485089871564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.741181809214152,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.024821125124931e-22,0.6034485089871565,0.0,1.1151935308381114e-30,0.0,0.0,0.0,0.0,0.0,0.0,1.231835924149416e-56,2.757903902525711e-79,0.0,7.153751973324114e-123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.741181809214152,0.9999999999999998,0.0,0.0,2.788277083690445e-19,1.7896679748044213e-19,6.371018743037377e-20,3.6150723458228575e-20,3.535532277601954e-16,1.1590884649983767e-39,3.624114050749674e-61,2.5154488876211716e-37,1.3094636570206967e-44,2.364036225279162e-39,1.6341137076413486e-98,4.992406523863709e-97
1.9669499150349807e-21,0.6034485089871564,0.0,3.1225418863467107e-30,0.0,0.0,0.0,0.0,0.0,0.0,1.4624356091510714e-55,6.169320713797474e-78,0.0,4.3519764284857325e-121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.741181809214152,0.999999999999999,0.0,0.0,7.807175834333245e-19,5.011070329452658e-19,1.7838852480504689e-19,1.0122202568301187e-19,9.899490377263518e-16,7.000894328590516e-39,4.302548201050187e-60,1.5193311281190215e-36,7.909160488394981e-44,1.4278778800695574e-38,7.806357275059871e-97,2.384932505327996e-95
4.495885520079956e-21,0.6034485089871564,0.0,7.137238597363904e-30,0.0,0.0,0.0,0.0,0.0,0.0,1.4358279531912546e-54,1.2189538111023733e-76,0.0,1.9646901886389928e-119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.741181809214152,0.9999999999999978,0.0,0.0,1.7844973335618846e-18,1.145387503875024e-18,4.0774519955439456e-19,2.31364630132466e-19,2.2627406576498844e-15,3.370629256215759e-38,4.2242673375543585e-59,7.314925365139876e-36,3.807920314601042e-43,6.874617343125699e-38,4.064754048875744e-95,1.2418294110449327e-93
9.553756730169906e-21,0.6034485089871564,0.0,1.5166632019398274e-29,0.0,0.0,0.0,0.0,0.0,0.0,1.2699735643666946e-53,2.1690631784097683e-75,0.0,7.418296324938963e-118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.741181809214152,0.9999999999999952,0.0,0.0,3.792056833819005e-18,2.4339484457349852e-18,8.664585490530952e-19,4.916498390309241e-19,4.8083238974618275e-15,1.4720423505484331e-37,3.7363166217620136e-58,3.194620087214313e-35,1.6630188444005878e-42,3.0023260061187776e-37,1.6221366372668089e-93,4.955815187476376e-92
1.9669499150349807e-20,0.6034485089871564,0.0,3.122541886346693e-29,0.0,0.0,0.0,0.0,0.0,0.0,1.067489302503239e-52,3.6584420873451694e-74,0.0,2.573751609699817e-116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.741181809214152,0.9999999999999901,0.0,0.0,7.807175834333246e-18,5.0110703294566855e-18,1.7838852480505183e-18,1.0122202568260402e-18,9.899490376945225e-15,6.145487041425841e-37,3.140599250556904e-57,1.333691000158628e-34,6.942776309382259e-42,1.2534120066557793e-36,5.7653276741185e-92,1.7613743374860754e-90
3.9900983990709606e-20,0.6034485089871564,0.0,6.33429925516039e-29,0.0,0.0,0.0,0.0,0.0,0.0,8.751922251881604e-52,6.00900211413723e-73,0.0,8.571667445019026e-115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.741181809214152,0.9999999999999799,0.0,0.0,1.5837413835361726e-17,1.01653140969072e-17,3.618738646045451e-18,2.0533610924090727e-18,2.008182333535007e-14,2.5106319787288488e-36,2.5748530126228842e-56,5.4485629080509035e-34,2.836350659533242e-41,5.120597025511568e-36,1.9419211431653606e-90,5.932793867472535e-89
8.036395367142921e-20,0.6034485089871564,0.0,1.2757813992787657e-28,0.0,0.0,0.0,0.0,0.0,0.0,7.087533548625198e-51,9.740851372687246e-72,0.0,2.7979350180261343e-113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.741181809214152,0.9999999999999596,0.0,0.0,3.1897889837418685e-17,2.0473801631836685e-17,7.288445442035665e-18,4.135642763546334e-18,4.044648924991196e-14,1.0148375873554958e-35,2.085182727197406e-55,2.2023962422541834e-33,1.146498285878522e-40,2.0698271890593862e-35,6.373579635520679e-89,1.947202351982552e-87
1.612898930328684e-19,0.6034485089871564,0.0,2.5604843468041663e-28,0.0,0.0,0.0,0.0,0.0,0.0,5.704663601648569e-50,1.5687340842611922e-70,0.0,9.042442502469133e-112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.741181809214152,0.9999999999999188,0.0,0.0,6.401884184153261e-17,4.1090776701809466e-17,1.4627859034017484e-17,8.300206105705654e-18,8.117582107004451e-14,4.080617304590505e-35,1.678336465650551e-54,8.855738423542803e-33,4.610019182287465e-40,8.322684093263146e-35,2.0653963839523075e-87,6.310025019138853e-86
3.231417717557468e-19,0.6034485089871564,0.0,5.129890241854758e-28,0.0,0.0,0.0,0.0,0.0,0.0,4.577633273530357e-49,2.5181656276297247e-69,0.0,2.9079139953650725e-110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7411818092141519,0.9999999999998374,0.0,0.0,1.2826074584976045e-16,8.232472684221027e-17,2.9306686217986676e-17,1.6629332789563467e-17,1.626344846743448e-13,1.6365100492206518e-34,1.346759315753478e-53,3.551547189094483e-32,1.8488238799209706e-39,3.337768562833198e-34,6.650905451910048e-86,2.031928598220795e-84
