Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(923),S(304),S(964),S(1434),S(335),S(220),CF2O(49),S(879),C2H2F3(67),C2H2F3(68),S(133),S(149),CHFCF2(55),C2H3F2(66),C2H3F2(64),C2HF2(72),CF2CH(73)
0.0,0.6165160904763203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7962030378338985,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.708683343646953e-22,0.6165160904763203,5.287983666242663e-28,2.0143942058663336e-30,2.4121134440674578e-43,1.36883046891145e-42,0.0,0.0,1.3182222904677546e-22,1.964607783887818e-40,2.913510843595462e-56,8.622025861202089e-79,3.8550161744692214e-59,3.800688658266323e-113,1.0056678091719622e-88,3.379430440246842e-89,6.395561589897257e-90,1.3398809034954825e-39,-8.769976255257298e-127,4.0427015575600425e-80,-7.808811622067632e-121,-9.645264428381287e-142,3.224692770079316e-92,1.0823322151726385e-99,5.978656605121319e-64,6.731026379133131e-127,1.0167492132683883e-126,2.5398088881381443e-145,1.3450834677019836e-192,-7.425205775283186e-156,1.6021757008940702e-62,-5.0004815360923175e-164,1.4740284997059118e-136,-1.341016961801266e-162,3.76,0.0,0.7962030378338985,0.9999999999999996,6.742280885943363e-58,-6.241518003023565e-126,4.338700145855826e-19,2.783164077420823e-19,9.784868811815245e-20,5.770491872534778e-20,4.271998611794829e-16,2.778212670984793e-39,1.2968641302360537e-60,5.2089332457849466e-37,2.344777359675717e-44,4.4220585399753456e-39,9.936542146499122e-98,3.3348456308894227e-96,1.1025709186452259e-42,3.691358915877679e-98,5.329064536919254e-45,4.650327883284759e-115,2.2722940632956333e-96,2.1451638754953606e-99,4.6676889787404343e-98,1.4677281606002836e-96,3.6671144446792617e-116,4.0383367700213902e-115,4.7119796104606815e-112,7.994703928957791e-44,1.3398809034954825e-39,3.2984888178199363e-59,1.0120388701341538e-22,3.061887083172595e-23,6.361332056087888e-37,1.097227557826344e-52,8.281584547536658e-38,1.8345153762178323e-39,4.3515822209945514e-39,1.9250108106489e-40,3.109886095905414e-39
2.158431336221147e-21,0.6165160904763203,1.4806354267526267e-27,5.6403037764300325e-30,1.4569165203578442e-42,8.267736033178855e-42,0.0,0.0,3.6910224133097125e-22,1.1866231014682416e-39,3.4589200735188614e-55,1.9287126970487013e-77,4.576675202335935e-58,2.18900207401266e-111,3.1619804991104087e-87,8.033440489736861e-88,1.8113907834750864e-88,8.0928806571245e-39,4.544767275603185e-125,1.271090052921873e-78,4.046673613298842e-119,8.906085286519527e-140,1.0138950020712175e-90,6.584355043074826e-98,7.09786112160934e-63,5.193961504213343e-125,7.845692433298931e-125,5.041746633588412e-143,3.4501225826383207e-189,3.7735891901874666e-153,1.902102992103939e-61,3.010493692315963e-161,1.570697269310783e-134,8.07699328914963e-160,3.76,0.0,0.7962030378338985,0.9999999999999988,8.004436329373228e-57,5.421075455351177e-124,1.2148360408396313e-18,7.792859416778809e-19,2.739763267308275e-19,1.6157377243092254e-19,1.1961596112996467e-15,1.6780404532749042e-38,1.5396370954163149e-59,3.146195680444688e-36,1.4162455252421532e-43,2.6709233581470717e-38,4.746805421897187e-96,1.5930957760233787e-94,6.659528348627133e-42,1.7634064504301258e-96,3.218754980302769e-44,4.0452346596361196e-113,1.085502141565029e-94,1.0247705252927118e-97,2.2298110374205333e-96,7.011513550567754e-95,3.1899553805169286e-114,3.5128748508421867e-113,4.098864362691179e-110,4.828801173508579e-43,8.0928806571245e-39,3.91773922401391e-58,2.8337088363756245e-22,8.573283832883073e-23,3.842244561877021e-36,1.3026285695497743e-51,5.0020770667120915e-37,1.1080472872356153e-38,2.6283556614807913e-38,1.1627065296316335e-39,1.8783712019263746e-38
4.93355733993405e-21,0.6165160904763203,3.384309547828076e-27,1.2892122917574637e-29,7.014425897464664e-42,3.980559005025045e-41,0.0,0.0,8.436622658993623e-22,5.71307943554577e-39,3.395988239301971e-54,3.8108112734866006e-76,4.4934068529798115e-57,9.816404084859857e-110,7.05420455494096e-86,1.6291634657024415e-86,3.9156317481697614e-87,3.896373667382204e-38,4.769918139035075e-123,2.8357319855030246e-77,4.2471485727431215e-117,1.8986669094143219e-137,2.261943975900026e-89,2.9724926051971397e-96,6.968722138957728e-62,5.6606333206491524e-123,8.550619401702659e-123,1.1552139559241818e-140,3.937038530984838e-186,9.402725938625822e-151,1.8674959969697304e-60,1.5848015298433758e-158,3.574537133126271e-132,4.252103128189404e-157,3.76,0.0,0.7962030378338985,0.9999999999999972,7.858803257293648e-56,5.472955976608575e-122,2.7767680933477286e-18,1.781225009549681e-18,6.262316039561803e-19,3.69311479841867e-19,2.7340791115283516e-15,8.079042447225119e-38,1.5116248302033687e-58,1.514757787860133e-35,6.818612561907086e-43,1.2859346234277243e-37,2.4716517420407634e-94,8.295216677442198e-93,3.206276231434998e-41,9.182020828267672e-95,1.5496919673412429e-43,4.2047146260994904e-111,5.652187146328332e-93,5.3359588795202225e-96,1.1610579843155202e-94,3.6508805694021656e-93,3.315716682363548e-112,3.65136698059863e-111,4.260458635019855e-108,2.324859903155739e-42,3.896373667382204e-38,3.847236651344411e-57,6.477048768858542e-22,1.9596077332303263e-22,1.8498753619102623e-35,1.2789284597179942e-50,2.4082847864235864e-36,5.334770714042123e-38,1.2654401098653397e-37,5.597931437362467e-39,9.043548766885514e-38
1.0483809347359856e-20,0.6165160904763203,7.191657793253882e-27,2.739576119993266e-29,3.063384076152718e-41,1.738414696995775e-40,0.0,0.0,1.792782315036143e-21,2.4950518855375237e-38,3.003713139327963e-53,6.781135050322858e-75,3.974367475269266e-56,3.6931765600358794e-108,1.321174443386605e-84,2.933240515088509e-85,7.242733255626527e-86,1.7016487474570252e-37,3.8082735761843254e-121,5.311012172309911e-76,3.390897531988849e-115,3.036594134887744e-135,4.236370734764953e-88,1.1223566492377564e-94,6.163755813674807e-61,4.630749526507278e-121,6.994937580202911e-121,1.9350297623858883e-138,2.8940697955226107e-183,1.623949551396383e-148,1.651779060609571e-59,5.713367464439762e-156,6.0408071447672545e-130,1.5329655927252696e-154,3.76,0.0,0.7962030378338985,0.9999999999999941,6.951022565839765e-55,4.314520755095767e-120,5.900632198363923e-18,3.78510314529409e-18,1.3307421584068968e-18,7.847868946629355e-19,5.809918111939272e-15,3.528330092152073e-37,1.3370150437086336e-57,6.615345222000876e-35,2.977867246757171e-42,5.616014345798344e-37,9.86371327053055e-93,3.310403218657499e-91,1.4002650666944799e-40,3.6643034758795854e-93,6.7679119619395286e-43,3.3657426660869805e-109,2.2556395148232226e-91,2.129441114851867e-94,4.633477626743674e-93,1.4569705961700262e-91,2.6541275921937386e-110,2.922805167279822e-109,3.4103640033303344e-106,1.0153273996072081e-41,1.7016487474570252e-37,3.403145849920665e-56,1.3763728633824287e-21,4.164166433114057e-22,8.078891711230636e-35,1.1311977414611723e-49,1.0517612375370793e-35,2.329834527797336e-37,5.5265094206643605e-37,2.444763729519417e-38,3.949555341792196e-37
2.1584313362211468e-20,0.6165160904763203,1.4806354297205138e-26,5.640303776492398e-29,1.2789025500129086e-40,7.257539159472613e-40,0.0,0.0,3.691022413309697e-21,1.0416350470173168e-37,2.5248018809130456e-52,1.1437375413967695e-73,3.34069533660574e-55,1.2788297889244503e-106,2.2820003002749244e-83,4.975198111416904e-84,1.243980036368994e-84,7.104048550492239e-37,2.712682723992876e-119,9.173452772221272e-75,2.415380336107854e-113,4.3293709435234155e-133,7.317276940517093e-87,3.89397660341491e-93,5.181008155598896e-60,3.332784066677967e-119,5.034307378799568e-119,2.8177369615767762e-136,1.7610120644756622e-180,2.3979327424056602e-146,1.388419827612162e-58,1.7252514640990396e-153,8.845070366208877e-128,4.629119162646899e-152,3.76,0.0,0.7962030378338985,0.999999999999988,5.842753333416671e-54,3.0557929221183805e-118,1.2148360408396312e-17,7.792859416786148e-18,2.7397632673083726e-18,1.615737724301791e-18,1.1961596112575158e-14,1.4730083581573847e-36,1.1238417054373367e-56,2.7617764067837725e-34,1.2432009560721337e-41,2.344575437921514e-36,3.5057181856224506e-91,1.1765691527010805e-89,5.845831010791831e-40,1.3023508470933672e-91,2.8254700175210847e-42,2.3962443161113794e-107,8.016896122493282e-90,7.568367243463072e-93,1.6468105198843195e-91,5.178301695054617e-90,1.8896091555207097e-108,2.080894460446283e-107,2.4280125279144363e-104,4.238792028774949e-41,7.104048550492239e-37,2.8606714974026368e-55,2.833708836375541e-21,8.57328383288029e-22,3.372778256136917e-34,9.508398623649664e-49,4.3908961271032516e-35,9.726600524713154e-37,2.3072088935724637e-36,1.020640731801829e-37,1.6488616080421385e-36
4.378532139191469e-20,0.6165160904763203,3.00357473575062e-26,1.1441759089600766e-28,5.224734221053182e-40,2.9649415601451e-39,0.0,0.0,7.487502609856778e-21,4.255419044212332e-37,2.0699851241004734e-51,1.8785923461935478e-72,2.738903873321147e-54,4.254747266743851e-105,3.791577636429277e-82,8.194308325962918e-83,2.0613460545354137e-83,2.9022356323418573e-36,1.8300756452866362e-117,1.524182898165654e-73,1.6295044925123959e-111,5.843856552134371e-131,1.2157765099740397e-85,1.2968567890461432e-91,4.247703509381405e-59,2.2590695624282437e-117,3.412417467162156e-117,3.8418442586335057e-134,9.810735344930917e-178,3.291405762333571e-144,1.1383104594942303e-57,4.789356909389915e-151,1.2094884229534173e-125,1.2850675925907478e-149,3.76,0.0,0.7962030378338985,0.9999999999999757,4.790242207056942e-53,2.055936197583206e-116,2.464381682846109e-17,1.5808371959783213e-17,5.5578054851114955e-18,3.2776393835663785e-18,2.4264952113103103e-14,6.0177197738704636e-36,9.213933297741766e-56,1.1282757766587454e-33,5.078881551915336e-41,9.578355680152858e-36,1.180822435685012e-89,3.9630089443447303e-88,2.388212712736246e-39,4.386676332876473e-90,1.1542966949940703e-41,1.6155311075590483e-105,2.700311406803556e-88,2.5492345275394075e-91,5.546911378228222e-90,1.744194626127077e-88,1.273961236458814e-106,1.4029244471233426e-105,1.6369490131492968e-102,1.731684854594302e-40,2.9022356323418573e-36,2.345400018311297e-54,5.748380782361619e-21,1.7391518632407844e-21,1.3778899686761153e-33,7.795559668455413e-48,1.793824339334051e-34,3.9736336855081294e-36,9.425701153972805e-36,4.169650416262236e-37,6.736137679116441e-36
8.818733745132114e-20,0.6165160904763203,6.049453368770255e-26,2.304466971625792e-28,2.1119211154349317e-39,1.1984767886601476e-38,0.0,0.0,1.5080463002950826e-20,1.7201084159673803e-36,1.676327621523023e-50,3.0452791472860743e-71,2.2180353675923803e-53,1.3881135490642344e-103,6.181228516030374e-81,1.3301460123010696e-81,3.356102316372322e-82,1.1731300454041888e-35,1.2022850385986817e-115,2.484802807917115e-72,1.070517953592386e-109,7.679923497488694e-129,1.9820225652086167e-84,4.2331565553640085e-90,3.43990043119861e-58,1.4874728419479359e-115,2.2468888912022227e-115,5.0737065273451214e-132,5.237310763386529e-175,4.3610617363821584e-142,9.218333228306312e-57,1.2762647046391237e-148,1.5996641363617175e-123,3.424450718945347e-147,3.76,0.0,0.7962030378338985,0.999999999999951,3.879262351691866e-52,1.3488653070945302e-114,4.963472966859065e-17,3.183939704582915e-17,1.1193889920718427e-17,6.601442702043053e-18,4.8871664111183717e-14,2.4324585476640816e-35,7.461682071876238e-55,4.560671084565339e-33,2.0529651275146197e-40,3.871724510742961e-35,3.87557746915423e-88,1.3006992168818962e-86,9.653537627716233e-39,1.4397510961974238e-88,4.665851797492501e-41,1.0608928549305623e-103,8.862692417532362e-87,8.366842973177152e-90,1.820551855442989e-88,5.724621408045846e-87,8.365895072149629e-105,9.212775383627746e-104,1.0749576432964098e-100,6.99974707475672e-40,1.1731300454041888e-35,1.8993851667456442e-53,1.1577724674333193e-20,3.5027988231443294e-21,5.5696515590375066e-33,6.313046334457756e-47,7.250924787421862e-34,1.6062062686210933e-35,3.8100191104353694e-35,1.6854393652126503e-36,2.722854551449655e-35
1.7699136957013406e-19,0.6165160904763203,1.2141210718647214e-25,4.625049097133392e-28,8.49194197556888e-39,4.819022494176356e-38,0.0,0.0,3.026638378913847e-20,6.916480287488166e-36,1.3492543070698655e-49,4.9043281861931804e-70,1.7852678287130318e-52,4.484997003609029e-102,9.982700641373218e-80,2.1436143969475297e-80,5.416593455366924e-81,4.7171043168880217e-35,7.795523143329176e-114,4.0129631720521164e-71,6.941155299907157e-108,9.960234689765206e-127,3.2009717622673685e-83,1.3680830509336077e-88,2.7687311318458093e-57,9.655313353338773e-114,1.458474781710898e-113,6.5961248045493225e-130,2.737777919787837e-172,5.678869112552943e-140,7.419716559659542e-56,3.3331160284373045e-146,2.0812068415038597e-121,8.943371810136374e-145,3.76,0.0,0.7962030378338985,0.9999999999999019,3.1223678500970174e-51,8.740166796898421e-113,9.961655534884976e-17,6.390144721812828e-17,2.2466058791935044e-17,1.3249049338786406e-17,9.808508809544375e-14,9.780808836779275e-35,6.005810883134741e-54,1.8338257841692613e-32,8.254882484252955e-40,1.5568033973821636e-34,1.255903926589933e-86,4.214993163147953e-85,3.881645022686362e-38,4.665599048891603e-87,1.8761184867414324e-40,6.877157565497398e-102,2.872008183145858e-85,2.7113252223529737e-88,5.899606554963849e-87,1.85509761085807e-85,5.423128105309563e-103,5.972111851905971e-102,6.9683314915638954e-99,2.81456752875629e-39,4.7171043168880217e-35,1.5287981836112525e-52,2.3236412458273998e-20,7.030092742943554e-21,2.2395323956689914e-32,5.0812889131490004e-46,2.9155649662946064e-33,6.458484762624989e-35,1.5319919272365302e-34,6.777077559083633e-36,1.0948478395688386e-34
3.5459943380775985e-19,0.6165160904763203,2.432472575375189e-25,9.266213348853263e-28,3.4056485885643525e-38,1.932643586611375e-37,0.0,0.0,6.063822536151199e-20,2.7738179424243044e-35,1.0826916084533678e-48,7.87253288438232e-69,1.432565000556418e-51,1.4421232906191372e-100,1.6046899972853059e-78,3.44214194050836e-79,8.704202620405993e-80,1.8917698090814346e-34,5.021678235728119e-112,6.450721096047874e-70,4.471315808943568e-106,1.2832925941391359e-124,5.1454687009024026e-82,4.3995500661960235e-87,2.22173236510047e-56,6.223103132415613e-112,9.400253130368913e-112,8.508776371990602e-128,1.416335461663615e-169,7.331478588524054e-138,5.953855262747359e-55,8.618163977973882e-144,2.6856871431417245e-119,2.312415931484377e-142,3.76,0.0,0.7962030378338983,0.9999999999998034,2.5055035915309085e-50,5.628345076721099e-111,1.99580206709368e-16,1.2802554756355549e-16,4.501039653437927e-17,2.6544262611433134e-17,1.9651193601635918e-13,3.922541800944171e-34,4.819285000989235e-53,7.354461590144882e-32,3.3105770841893336e-39,6.243477921445383e-34,4.0442107566754124e-85,1.3572949589695791e-83,1.5567132652209958e-37,1.5023972350235693e-85,7.524074247389329e-40,4.429555324307293e-100,9.248323966883396e-84,8.730899232970428e-87,1.8997673143003607e-85,5.973709892797811e-84,3.4930195710398765e-101,3.846618257059841e-100,4.4882801614464445e-97,1.128767476476297e-38,1.8917698090814346e-34,1.2267673634078985e-51,4.655378802614624e-20,1.4084680582510544e-20,8.981526561958085e-32,4.0774143446211025e-45,1.1692719533128592e-32,2.590141252617944e-34,6.143972828381356e-34,2.717911213298408e-35,4.390829519177759e-34
