Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(923),S(304),S(964),S(1434),S(335),S(220),CF2O(49),S(879),C2H2F3(67),C2H2F3(68),S(133),S(149),CHFCF2(55),C2H3F2(66),C2H3F2(64),C2HF2(72),CF2CH(73),S(234),CF2(43),S(3455),CH2F(46),S(3466),CH2F2(41),C2F(235),S(3986),S(4065),S(3435),C2H3F2(65),CFO(51),F(37),S(4439),CHO2(339),S(215),CHF2(82),S(4798),S(3456),CHF3(42),S(221),CFO3(4550),S(2885),S(4664),S(3782),S(5203),S(2642),S(2822),C2HF3(125),C2HFO(286),S(2949),S(195),S(2224),S(2641),S(2826),C2FO(289)
0.0,0.7267114077104583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5817453163216366,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0717705984930554e-22,0.7267114077104583,8.785264691833177e-27,1.4991489300012708e-27,3.1302136406691113e-38,5.204697807561424e-26,0.0,0.0,7.509881367838533e-22,1.1770871935697001e-39,6.874919133141957e-54,5.84572520942732e-54,2.8727910365621767e-57,1.5154455977324435e-65,1.4803423555550328e-44,7.57835425830114e-39,4.828306918048787e-40,2.0034776810709955e-38,7.91100314049125e-89,3.434327472182499e-62,1.1153301040758196e-91,6.651698314870905e-91,3.7793794228136904e-25,1.9548765702651243e-92,1.8574139148988676e-58,9.555583672709479e-96,6.264145382583763e-98,8.48604992015857e-79,1.5259450638704253e-94,4.332616564207637e-95,5.529609319729154e-60,6.243253019720608e-112,4.822185380855307e-113,1.1790402670802807e-112,3.76,0.0,0.5817453163216366,0.9999999999999994,2.8549531547127863e-53,6.186782924816264e-56,6.222825926178607e-18,3.8890192317179206e-18,1.1360206814236793e-18,1.1977860130370073e-18,5.219611352413449e-16,2.3816195747275226e-36,3.7130543196346325e-56,4.3696777337555346e-35,2.011471662496901e-43,1.1828842700813373e-37,1.4969197760904578e-92,1.3243009081498736e-90,2.0170334041675544e-40,1.3055242694199548e-92,5.331746051883953e-42,1.2125447316365448e-110,1.0783342094913587e-90,7.20394229110342e-94,1.3284928786991004e-92,6.672677952321592e-91,8.206088920563233e-112,7.429901314662422e-111,8.845430890456436e-75,4.884245553166954e-43,2.003477681070995e-38,1.1393559077597886e-43,5.752069595655103e-22,1.7578996248302686e-22,3.937060299009149e-36,4.450296247953095e-52,1.9679230902832344e-36,1.3811516275357683e-25,6.1149982039249345e-24,2.990881818223341e-38,3.326145676798396e-37,2.9302557458896626e-52,3.825478732772071e-37,1.1167118830628613e-42,3.803604938222996e-21,1.1600695103665402e-47,5.969844887790881e-38,1.982004877714738e-61,1.0517238935447339e-68,7.742870326863517e-73,4.6337232196433496e-39,8.725979116207413e-39,6.937017569404494e-55,6.2531133666780734e-24,5.005132254062224e-73,1.3939760808888868e-52,7.688403542744044e-42,3.8036049382229955e-21,1.8738800433609593e-58,7.151190092481867e-39,3.779379422813536e-25,4.964971724573799e-41,5.848990888500111e-74,3.0649384215484446e-38,1.2537486586313302e-51,1.1065430988457857e-57,7.901570078362711e-73,5.4308505766702385e-55,5.599604623255549e-56,5.204697807561341e-26,3.8266181460853524e-58,9.25172395643402e-58,8.638854658940771e-63,3.3492896721715007e-66,3.633450251330021e-52,7.83107937046344e-58,6.939923591616807e-61
5.800957675780555e-22,0.7267114077104583,2.4598741145312546e-26,4.197617004004397e-27,1.8906490389641777e-37,1.4573153861171987e-25,0.0,0.0,2.1027667829947882e-21,7.109606649160983e-39,8.161904141402797e-53,6.940044968692868e-53,3.411583014995022e-56,1.7991370136277356e-64,8.941267827551342e-44,4.5773259720139753e-38,2.9162973785018426e-39,1.2101005193674863e-37,3.779181970012596e-87,4.0772335749777914e-61,5.328065782734045e-90,3.177596145588068e-89,1.058226238387883e-24,9.553745718518001e-91,2.2051217997681585e-57,4.5648169910897726e-94,2.9948896249611136e-96,2.668149871697131e-77,7.28963790999898e-93,2.069744116130808e-93,6.564752184386629e-59,4.8253050515471984e-110,4.009736437134947e-111,9.13906384950251e-111,3.76,0.0,0.5817453163216366,0.9999999999999986,3.389400385374532e-52,7.344948688343168e-55,1.7423912593300098e-17,1.0889253848810679e-17,3.180857907986328e-18,3.3538008365030917e-18,1.4614911786748602e-15,1.4384982231354778e-35,4.408138088270377e-55,2.639285351186385e-34,1.21492888414769e-42,7.144620991292591e-37,7.150965400763518e-91,6.326344354341049e-89,1.2182881761177333e-39,6.236646097939641e-91,3.220374615339028e-41,1.0547703512278774e-108,5.151331918845619e-89,3.441409679770081e-92,6.346369900698284e-91,3.187618329959556e-89,7.138325759963311e-110,6.463134443442349e-109,1.9788849644602727e-73,2.950084314700447e-42,1.210100519367486e-37,6.8817096828806966e-43,1.6105794867834224e-21,4.922118949524619e-22,2.3779844206014837e-35,5.283397376714098e-51,1.1886255465310584e-35,3.867224557107707e-25,1.712199497099008e-23,1.8064926182066632e-37,2.0089919887859668e-36,3.4788877127383527e-51,2.3105891545942946e-36,6.744939773699558e-42,1.0650093827024388e-20,7.006828286519576e-47,3.60578631222569e-37,2.3530361908245266e-60,2.3527211925744714e-67,1.7320910194373857e-71,2.7987688246643153e-38,5.270491386189301e-38,8.235668244423972e-54,1.7508717426698202e-23,1.1196551488504574e-71,1.6549284032307068e-51,4.643795739846006e-41,1.0650093827024387e-20,2.2246703874905227e-57,4.319318815858652e-38,1.0582262383877903e-24,2.9988429216457746e-40,1.3084020861669136e-72,1.8512228066151683e-37,1.4884504070085994e-50,1.3136879669499412e-56,2.4830708729208645e-71,3.299605659983199e-54,6.647850608726272e-55,1.4573153861171486e-25,4.5434357150553585e-57,1.3981205242963202e-56,1.305503716059694e-61,3.9762766989484645e-65,2.194604131930158e-51,9.297057428613453e-57,8.239077287987235e-60
1.3259331830355555e-21,0.7267114077104583,5.622569408498988e-26,9.594553152013995e-27,9.102661267066295e-37,3.3310065968393128e-25,0.0,0.0,4.806324075416653e-21,3.4229695589006814e-38,8.013405949673174e-52,6.813777304296824e-52,3.349953037346223e-55,1.7664033887162514e-63,4.30483556995245e-43,2.203785418314102e-37,1.40407165176915e-38,5.826113096563359e-37,1.9678119465624945e-85,4.0030521015841186e-60,2.7743127952467264e-88,1.654567708138297e-87,2.4188028306011115e-24,4.905260400442927e-89,2.165001659206812e-56,2.376890747583502e-92,1.558402471314639e-94,5.952495589040411e-76,3.7956944364557077e-91,1.0777109652767487e-91,6.445312623088947e-58,5.259273423493407e-108,4.243567048211496e-109,9.962491206396746e-109,3.76,0.0,0.5817453163216366,0.9999999999999967,3.3277333972746274e-51,7.211314177169139e-54,3.982608592754308e-17,2.48897230829982e-17,7.270532361111729e-18,7.665830483433149e-18,3.340551265538268e-15,6.925749723308448e-35,4.327936114966566e-54,1.2707022849731737e-33,5.849359594534369e-42,3.439827457398468e-36,3.7234928586914275e-89,3.2941143894294315e-87,5.8655331393270634e-39,3.2474086932943214e-89,1.5504717518894835e-40,1.0963537831909857e-106,2.682287850321283e-87,1.791934885474747e-90,3.304541649908551e-89,1.6597862557898667e-87,7.41974823569267e-108,6.717938070681164e-107,3.9101335999862054e-72,1.4203386077255138e-41,5.826113096563355e-37,3.313246979782825e-42,3.6813245412192225e-21,1.1250557598912799e-21,1.1448971349517974e-34,5.1872733596387255e-50,5.722720346543416e-35,8.839370416281807e-25,3.913598850512144e-23,8.697484327389966e-37,9.67243162812578e-36,3.415631186938048e-50,1.112449215490065e-35,3.247398155946618e-41,2.4343071604627178e-20,3.373494802004413e-46,1.736030893369587e-36,2.3102248854690585e-59,4.64863548153763e-66,3.4223603696094374e-70,1.3474867122718838e-37,2.5375147269931515e-37,8.085845879060333e-53,4.001992554673685e-23,2.2122760097770794e-70,1.6248185198822918e-50,2.235787750272814e-40,2.4343071604627166e-20,2.184194578579898e-56,2.0795660788931356e-37,2.4188028306006634e-24,1.4438137775107693e-39,2.585188035143728e-71,8.912840929861494e-37,1.461369434893279e-49,1.2897866360153149e-55,5.5389594972799446e-70,1.6083492152074857e-53,6.526899148858248e-54,3.331006596839071e-25,4.460980116952363e-56,1.5040342601496036e-55,1.4044013241964808e-60,3.903932042337028e-64,1.0566076032769287e-50,9.127906114209878e-56,8.089174938447644e-59
2.8176080139505554e-21,0.7267114077104583,1.194796000952189e-25,2.038842544804659e-26,3.975371323650311e-36,7.078389018283546e-25,0.0,0.0,1.0213438660260364e-20,1.4949007358335127e-37,7.08776683905402e-51,6.02670886230671e-51,2.9631705076691384e-54,1.5623637934368022e-62,1.8800347915532538e-42,9.624509908043803e-37,6.131949785927776e-38,2.544416654969287e-36,7.853020530887555e-84,3.540654250738271e-59,1.1071554066152122e-86,6.602945359310788e-86,5.139956015028369e-24,1.9478430708101027e-87,1.91491944970559e-55,9.485547050793952e-91,6.21771407130505e-93,1.1148365462836151e-74,1.5147613210128098e-89,4.3008608369936775e-90,5.700806024294253e-57,4.3025199514788356e-106,3.425749619932829e-107,8.150530393959178e-107,3.76,0.0,0.5817453163216366,0.9999999999999929,2.9433425045252887e-50,6.378325724174834e-53,8.463043259602905e-17,5.289066155138127e-17,1.5449881267362952e-17,1.6289889777284814e-17,7.098671439250593e-15,3.024656859904792e-34,3.828010481371442e-53,5.549490721839194e-33,2.5545690113642e-41,1.5022630230052878e-35,1.4859482546887676e-87,1.314594579192876e-85,2.561632423300807e-38,1.295955561941656e-87,6.771317485909236e-40,8.775969437527654e-105,1.0704306684621573e-85,7.151141728041499e-89,1.3187558251311942e-87,6.623771237216377e-86,5.939276604769185e-106,5.3774994983734185e-105,6.958028318462758e-71,6.202991861377236e-41,2.5444166549692845e-36,1.4469820028728697e-41,7.822814650090725e-21,2.3907434897687063e-21,5.00006657974097e-34,4.588085529525474e-49,2.4992623246594728e-34,1.8783662134750903e-24,8.31639755733884e-23,3.798419909140018e-36,4.22420500952988e-35,3.02110243422221e-49,4.858357990619984e-35,1.4182240914896455e-40,5.1729027159832776e-20,1.4733013662193045e-45,7.581703007494413e-36,2.0433677487386464e-58,8.272042992983039e-65,6.089940204455649e-69,5.884828488942897e-37,1.108199347758378e-36,7.151846243384416e-52,8.504234178680776e-23,3.936648149302964e-69,1.4371335803494388e-49,9.764272499727399e-40,5.1729027159832716e-20,1.931895369583928e-55,9.082011417445868e-37,5.139956015026411e-24,6.305514090256958e-39,4.600208849454889e-70,3.892471795365096e-36,1.292564713727018e-48,1.1408016731874289e-54,1.037338573331451e-68,7.1974448633331e-53,5.772968382373865e-53,7.078389018282493e-25,3.945768996289449e-55,1.3824666073621043e-54,1.2908867739800386e-59,3.452983681375079e-63,4.614484611153729e-50,8.073529587768149e-55,7.154783626135601e-58
5.800957675780555e-21,0.7267114077104583,2.459874126391745e-25,4.197617004016537e-26,1.659639272283249e-35,1.4573153861172034e-24,0.0,0.0,2.1027667829947703e-20,6.240916300306492e-37,5.957695108328093e-50,5.065811935603951e-50,2.4907927351553234e-53,1.3132609078627639e-61,7.848775169138044e-42,4.018043427752483e-36,2.559968327954703e-37,1.0622438665120187e-35,2.7910864373432037e-82,2.976133238184478e-58,3.935003719572647e-85,2.3467901948966818e-84,1.0582262383886086e-23,6.908480999536784e-86,1.609605180031358e-54,3.37131201195138e-89,2.2096528944847512e-91,1.925602893440272e-73,5.3836979589118e-88,1.5285931953282158e-88,4.791870962775623e-56,3.0965899954666214e-104,2.4494176905786902e-105,5.866190185600152e-105,3.76,0.0,0.5817453163216365,0.9999999999999853,2.4740567247507085e-49,5.361367094129754e-52,1.7423912593300096e-16,1.0889253848817951e-16,3.180857907986706e-17,3.3538008364954336e-17,1.461491178661728e-14,1.2627346985212884e-33,3.217673464527933e-52,2.316803134409883e-32,1.0664822754496682e-40,6.271652399989092e-35,5.281292832055783e-86,4.672275031240488e-84,1.0694311108968222e-37,4.6060290446691246e-86,2.8268917567237272e-39,6.248061414498006e-103,3.804478250626794e-84,2.5416277740558865e-87,4.6870647511021904e-86,2.3541920417243664e-84,4.22847472845295e-104,3.8285168791250347e-103,1.1735855355596805e-69,2.589627000225109e-40,1.062243866512017e-35,6.040865023103844e-41,1.610579486783333e-20,4.922118949522722e-21,2.0874293705340677e-33,3.8565627317595455e-48,1.0433928224679597e-33,3.867224557217266e-24,1.7121994970993926e-22,1.5857655400187519e-35,1.763522437834835e-34,2.5394247092298575e-48,2.028268824115262e-34,5.920806403997595e-40,1.0650093827024402e-19,6.150806336447584e-45,3.1652117595067204e-35,1.7175737149673295e-57,1.3952045196452855e-63,1.027160050404027e-67,2.4568000510511622e-36,4.6265141274134986e-36,6.011560526631235e-51,1.7508717426692384e-22,6.639749448588161e-68,1.207997368074179e-48,4.0763915587609906e-39,1.0650093827024378e-19,1.623874463641942e-54,3.791560987028394e-36,1.0582262383877909e-23,2.6324280084122567e-38,7.758928498642546e-69,1.6250303511036994e-35,1.0864785214671827e-47,9.589125447726576e-54,1.7917053271495687e-67,3.1496751436294996e-52,4.852527772807221e-52,1.4573153861167637e-24,3.3166893422461924e-54,1.1827292885219285e-53,1.1043808129804193e-58,2.902440842998266e-62,1.9264578360231602e-49,6.78628808516491e-54,6.01402674593823e-57
1.1767656999440554e-20,0.7267114077104583,4.990030398210758e-25,8.515165922461725e-26,6.78016795423904e-35,2.9562683546949106e-24,0.0,0.0,4.265612616932206e-20,2.5496179447596636e-36,4.884478402613423e-49,4.153258688905385e-49,2.042129981555874e-52,1.0766906361456693e-60,3.2064807558139433e-41,1.6415018457660927e-35,1.0458305916814726e-36,4.3396127963761103e-35,9.401147724706073e-81,2.4400138390871033e-57,1.3254176260274543e-83,7.904635698511924e-83,2.1466875121614324e-23,2.3247243604182257e-84,1.3196515748408892e-53,1.1355507507594474e-87,7.442376183072218e-90,3.1994180072933396e-72,1.8133775858462876e-86,5.148722702355775e-87,3.928665327974264e-55,2.098980920708682e-102,1.6549133725571215e-103,3.976357770098436e-103,3.76,0.0,0.5817453163216363,0.9999999999999704,2.0283811791652952e-48,4.395572663932822e-51,3.534565126069447e-16,2.2089629236190445e-16,6.452597470488195e-17,6.803424554015815e-17,2.96473924811188e-14,5.1586832636492036e-33,2.638043109863878e-51,9.464896758192686e-32,4.356928079782348e-40,2.5621746443820607e-34,1.778884877563885e-84,1.573750909307335e-82,4.36897503482381e-37,1.551437436589957e-84,1.1548775218348093e-38,4.212399173680096e-101,1.2814530536695668e-82,8.560902330977067e-86,1.5787324943108802e-84,7.929567162841059e-83,2.8508079979342934e-102,2.5811592217413297e-101,1.9276276423456857e-68,1.0579471305033864e-39,4.3396127963760954e-35,2.4678904705807022e-40,3.267175530331695e-20,9.984869869027398e-21,8.527830090060838e-33,3.161843286916605e-47,4.262600130475313e-33,7.844941244895048e-24,3.4733189798310893e-22,6.478369653516856e-35,7.204564581741288e-34,2.0819762209575104e-47,8.286139954329468e-34,2.4188426071880445e-39,2.1604476049106675e-19,2.512856693204288e-44,1.2930922820750532e-34,1.4081707029787642e-56,2.291630459589144e-62,1.6871155627938122e-66,1.0036829842644599e-35,1.8900819804872676e-35,4.928641648316939e-50,3.551768392270533e-22,1.0905821953726449e-66,9.903892264680674e-48,1.6653389613095396e-38,2.160447604910658e-19,1.331350395784815e-53,1.5489763787872927e-35,2.1466875121580914e-23,1.0754327354661083e-37,1.2744066468799046e-67,6.638779218599909e-35,8.907607287760551e-47,7.861744392625122e-53,2.976912909143717e-66,1.4051456071360274e-51,3.978395445498473e-51,2.956268354693114e-24,2.7192353414357665e-53,9.77903447491961e-53,9.131234128093295e-58,2.3795963627014547e-61,7.870219857159141e-49,5.563808982466853e-53,4.930662478704713e-56
2.3701055646760552e-20,0.7267114077104583,1.0050343025608384e-24,1.7150263759437845e-25,2.740652292663947e-34,5.954174291850358e-24,0.0,0.0,8.591304284806951e-20,1.030596338155523e-35,3.9555772507043143e-48,3.363416567801689e-48,1.6537808208154982e-51,8.719319922368868e-60,1.2961107887112331e-40,6.635212914155539e-35,4.2274144655202475e-36,1.7541408767631248e-34,3.08555080254989e-79,1.9759864685670768e-56,4.3501533612349834e-82,2.5943805839562204e-81,4.323610059712203e-23,7.626440561999315e-83,1.0686880595874726e-52,3.726991371477913e-86,2.4426080733527955e-88,5.215858843348138e-71,5.951686558646027e-85,1.689862318131616e-85,3.1815350401879324e-54,1.3820669606727627e-100,1.0879139662797269e-101,2.6182328326729222e-101,3.76,0.0,0.581745316321636,0.9999999999999403,1.6426356682235246e-47,3.55964870618458e-50,7.118912859548319e-16,4.449038001098681e-16,1.2996076595493852e-16,1.37026719890025e-16,5.971235386919444e-14,2.0852222554187986e-32,2.136355706256539e-50,3.825862600244052e-31,1.761139991112683e-39,1.03567195691357e-33,5.838478286927538e-83,5.165208063000523e-81,1.7660095630019958e-36,5.091973011543188e-83,4.668199592337856e-38,2.7662136399712993e-99,4.2058572332080418e-81,2.809773864854597e-84,5.1815581239919836e-83,2.6025633410853424e-81,1.8720789848394032e-100,1.69500504385317e-99,3.1247753701300324e-67,4.276391480683384e-39,1.7541408767631124e-34,9.975607864397055e-40,6.580367617427784e-20,2.011037170802335e-20,3.4470852706728023e-32,2.5605427321837038e-46,1.7230111258498375e-32,1.5800374621024327e-23,6.995557945297197e-22,2.6186605941590814e-34,2.9122001950038934e-33,1.6860392874811969e-46,3.349390253517709e-33,9.77734855790742e-39,4.351324049327131e-19,1.0157785764280056e-43,5.226885751815512e-34,1.1403731445883503e-55,3.714834003492225e-61,2.734888705216253e-65,4.0570470974862327e-35,7.640013563239455e-35,3.9913422394396835e-49,7.153561691469015e-22,1.7678818179200916e-65,8.020428731587929e-47,6.731566347814431e-38,4.351324049327095e-19,1.0781620683046268e-52,6.261210183054069e-35,4.3236100596987e-23,4.347071063807285e-37,2.0658683411886317e-66,2.683500705100946e-34,7.213611239639487e-46,6.366644438670896e-52,4.853093043220911e-65,6.637048440139083e-51,3.2218077785863604e-50,5.954174291843098e-24,2.2021124794054113e-52,7.952148428912233e-52,7.425367945367386e-57,1.9270588321825486e-60,3.181277600863836e-48,4.50571676547828e-52,3.992978311625215e-55
4.756785294140055e-20,0.7267114077104586,2.0170968615442048e-24,3.4420459433733034e-25,1.1020042330548707e-33,1.1949986166161393e-23,0.0,0.0,1.7242687620555931e-19,4.143982548449541e-35,3.1837926994649344e-47,2.7071702660417875e-47,1.3311110836783032e-50,7.018067237151933e-59,5.211604476342456e-40,2.6679899300588364e-34,1.6998247637563278e-35,7.053323315777978e-34,9.998910847387443e-78,1.5904458169104185e-55,1.409693066399999e-80,8.407244565254336e-80,8.677455154834236e-23,2.4708311585287645e-81,8.60173124121981e-52,1.2077537862453294e-84,7.915330292422921e-87,8.423625964431956e-70,1.9286793834377138e-83,5.476099293486918e-84,2.5607761877445944e-53,8.971126545941662e-99,7.056074810801262e-100,1.6995238378131263e-99,3.76,0.0,0.5817453163216353,0.9999999999998801,1.3221360918616623e-46,2.8651149611992674e-49,1.4287608326506056e-15,8.929188156078502e-16,2.6083034845515843e-16,2.750116685875953e-16,1.1984227664163613e-13,8.384586977653939e-32,1.7195249311450487e-49,1.5383625247253474e-30,7.081466446336744e-39,4.164391388292649e-33,1.8919936096511286e-81,1.6738163896231944e-79,7.10104678111261e-36,1.6500841358313403e-81,1.8770625246334022e-37,1.7931770370557776e-97,1.3629330480996896e-79,9.105239303045272e-83,1.679114724253257e-81,8.433761277787976e-80,1.2135610202483603e-98,1.0987741794072195e-97,5.032360715270858e-66,1.7195182286433608e-38,7.053323315777875e-34,4.011148048416642e-39,1.3206751791617427e-19,4.03613753859616e-20,1.3860578265040733e-31,2.0609475778546834e-45,6.928151956253838e-32,3.171124137637775e-23,1.4040035876240274e-21,1.0529519076143656e-33,1.1709828900788278e-32,1.3570714860730089e-45,1.3467750897845716e-32,3.9314288527885524e-38,8.733076938160096e-19,4.084736523346809e-43,2.1017077721263167e-33,9.178715170266607e-55,5.982627460176405e-60,4.40445528732324e-64,1.6313207943471794e-34,3.072015851779138e-34,3.212579652617354e-48,1.435714828984954e-21,2.8471200327945247e-64,6.4555388045549725e-46,2.7067332230855054e-37,8.73307693815995e-19,8.677986308866319e-52,2.51760507678759e-34,8.677455154779938e-23,1.7479381557664317e-36,3.327017475127461e-65,1.0790238310525552e-33,5.806141755116434e-45,5.1244293298469627e-51,7.837736942753687e-64,3.4385271117396946e-50,2.593191191074734e-49,1.1949986166132199e-23,1.772453779624945e-51,6.413695794281945e-51,5.988828250528196e-56,1.5510646024379572e-59,1.2791848893983063e-47,3.626592841336226e-51,3.2138963269613644e-54
9.530144753068055e-20,0.7267114077104587,4.041222113526302e-24,6.896085078369524e-25,4.419529858001009e-33,2.394160991478402e-23,0.0,0.0,3.4545454292051855e-19,1.6619223460776318e-34,2.5547931333381884e-46,2.172333649513185e-46,1.0681345793476964e-49,5.631556975282009e-58,2.090086489686953e-39,1.0699832907225313e-33,6.817057567989845e-35,2.8286981174087337e-33,3.219808609041342e-76,1.2762326054041284e-54,4.539436289957351e-79,2.707266708314977e-78,1.738514534516027e-22,7.955573310593135e-80,6.902347603064432e-51,3.889160072083924e-83,2.5488486825272425e-85,1.3540732716885022e-68,6.210654861374761e-82,1.7633912203225857e-82,2.0548616187878327e-52,5.782130529772434e-97,4.546003996944584e-98,1.095389860225702e-97,3.76,0.0,0.5817453163216338,0.9999999999997599,1.0609309484989947e-45,2.2990743177624408e-48,2.8624999260421502e-15,1.7889488466120347e-15,5.225695134560259e-16,5.509815659740824e-16,2.401021221716811e-13,3.3625943878747433e-31,1.3798104653524928e-48,6.16952177298075e-30,2.8399847711673664e-38,1.6701072037031558e-32,6.0925208884520414e-80,5.389955475508777e-78,2.847837361469557e-35,5.31353383785152e-80,7.527860260850568e-37,1.1549796288161147e-95,4.388861580596021e-78,2.932032136047266e-81,5.4070169581023216e-80,2.7158055124950304e-78,7.816507950584919e-97,7.077169558018417e-96,8.07805849743564e-65,6.896037350763286e-38,2.8286981174086516e-33,1.6086497707652226e-38,2.645952013998656e-19,8.08633827416236e-20,5.558711813782691e-31,1.6537806471978782e-44,2.778498803622771e-31,6.353297489946405e-23,2.8128991738169867e-21,4.222808093710137e-33,4.6961651240304183e-32,1.0889645562371634e-44,5.401170469906204e-32,1.5766788074174448e-37,1.7496582715826184e-18,1.638431176336672e-42,8.42878817800251e-33,7.365340869499972e-54,9.603443480824764e-59,7.070127247007132e-63,6.5423260113048424e-34,1.2320157558313478e-33,2.577892921812403e-47,2.8764321486544848e-21,4.570258886763865e-63,5.1801633347704904e-45,1.085521084968902e-36,1.749658271582559e-18,6.963537497753655e-51,1.0096722384184721e-33,1.7385145344942506e-22,7.010013790054938e-36,5.340600029674807e-64,4.327368167695236e-33,4.659062874896394e-44,4.1120318120064037e-50,1.2598916105566818e-62,1.9964522794930225e-49,2.080872617242623e-48,2.394160991466694e-23,1.422283363081265e-50,5.151829253712804e-50,4.810552537536611e-55,1.2446316671879956e-58,5.130160948463907e-47,2.9101123603005623e-50,2.5789493990733947e-53
