Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(923),S(304),S(964),S(1434),S(335),S(220),CF2O(49),S(879),C2H2F3(67),C2H2F3(68),S(133),S(149),CHFCF2(55),C2H3F2(66),C2H3F2(64),C2HF2(72),CF2CH(73),S(234),CF2(43),S(3455),CH2F(46),S(3466),CH2F2(41),C2F(235),S(3986),S(4065),S(3435),C2H3F2(65),CFO(51),F(37),S(4439),CHO2(339),S(215),CHF2(82),S(4798),S(3456),CHF3(42),S(221),CFO3(4550),S(2885),S(4664),S(3782),S(5203),S(2642),S(2822)
0.0,0.8507641304040263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7717901749395585,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.41779964393625e-23,0.8507641304040262,3.713381585355459e-26,3.7636551813637166e-26,2.648477987654072e-38,4.419148612517391e-41,0.0,0.0,2.329313971009249e-21,5.203330832595497e-39,1.6039441321591595e-53,8.616519664940835e-54,2.4488050340404293e-56,1.2801472684927895e-64,8.605109508841359e-43,2.776183667064792e-38,1.5439233751766528e-38,8.008284053822195e-38,1.238125760353102e-93,4.237105304840724e-59,8.585694950351688e-91,5.296374865310029e-90,3.532430827447948e-24,1.0807084204688933e-91,6.298272626742584e-57,8.464407437715431e-94,4.523956074070712e-95,9.675827262081096e-77,3.185152846584192e-92,2.397325327185177e-92,1.3976738064315906e-58,4.2043110128905304e-110,1.0024137810428773e-110,6.090306314885775e-111,3.76,0.0,0.7717901749395584,0.9999999999999994,1.9036533439370742e-53,2.3559313213815824e-54,2.933221506255972e-17,1.7897538184099534e-17,4.808224821812619e-18,6.626452056647575e-18,5.012507057892287e-16,7.985003406182726e-35,6.121038300138752e-54,4.476481225480146e-34,5.392324703812506e-43,4.234142718948869e-37,6.020208114125256e-90,8.85273441687922e-88,2.895757387333652e-39,8.351450957628546e-90,1.8275885194011361e-40,1.3839032105018611e-108,8.343453508166054e-88,4.104197341639291e-91,7.1681387305223875e-90,5.741434903224062e-88,9.158813069936649e-110,7.359962623995433e-109,1.072499252948771e-105,1.0993979677337627e-42,8.008284053822195e-38,1.543590154609554e-42,1.7817119925288415e-21,5.47639112296226e-22,1.1179078433830521e-35,1.433042229606027e-51,1.1104137049382197e-35,3.138854831859482e-24,9.574770826126031e-23,3.6571010331920075e-37,3.2378057239403864e-36,9.349133100046283e-52,2.895277261571861e-36,1.011322072759272e-41,1.2853817011031665e-20,7.193521812567896e-47,2.6800896392508415e-37,2.844489228939061e-59,1.060269773348958e-68,9.116300245077557e-73,3.2817191177542154e-39,1.5624804352177974e-37,1.1572083097517922e-53,9.888656309311538e-23,4.690686897627329e-73,7.542179820208505e-69,1.513122643811784e-40,1.2853817011031664e-20,9.33575066383285e-58,5.326293407533354e-39,3.5324308274474244e-24,6.849157287258721e-40,2.835385890731462e-73,2.3589960361748464e-38,9.202293848800183e-52,1.4249289757176054e-56,2.233413930094392e-72,2.90246674872002e-53,3.978597660051564e-55
2.63698390030215e-22,0.8507641304040263,1.0397468445278422e-25,1.0538234507819615e-25,1.5996807045432531e-37,2.669165763306676e-40,0.0,0.0,6.522079118825894e-21,3.142811822887679e-38,1.9042035114638167e-52,1.0229532146219083e-52,2.912369932998491e-55,1.519790837154521e-63,5.197486143339767e-42,1.6768149349073726e-37,9.325297186067949e-38,4.83700356850986e-37,7.53224559644419e-92,5.0302914179087935e-58,4.101494698990127e-89,2.5301439045472787e-88,9.89080631685596e-24,5.218351829226854e-90,7.477309262469411e-56,4.0435490058889914e-92,2.1631806250384963e-93,3.042234904435099e-75,1.5215878213982153e-90,1.145231682751543e-90,1.6593183429960244e-57,3.3075195322007124e-108,8.649539767803113e-109,4.829791481471448e-109,3.76,0.0,0.7717901749395585,0.9999999999999986,2.2600172504286428e-52,2.7969616647444805e-53,8.213020217516725e-17,5.011310691548034e-17,1.3463029501075512e-17,1.8554065758611398e-17,1.4035019762094646e-15,4.8229420573344964e-34,7.266896669924887e-53,2.703794660189118e-33,3.2569641211022855e-42,2.557422202245426e-36,2.875925658616347e-88,4.229057463756282e-86,1.7490374619498854e-38,3.9895883398728426e-88,1.1038634657184791e-39,1.2038319389967543e-106,3.985767862293244e-86,1.960624320469912e-89,3.424305889237179e-88,2.742752350488969e-86,7.967082967379001e-108,6.402296063302703e-107,9.329473661376526e-104,6.640363727114668e-42,4.837003568509859e-37,9.323284533853846e-42,4.988793579080747e-21,1.533389514429391e-21,6.752163374033537e-35,1.7013217840839368e-50,6.706898777826766e-35,8.788793529219797e-24,2.6809358313152644e-22,2.2088890240477975e-36,1.9556346572598354e-35,1.110064448295668e-50,1.748747465989368e-35,6.10838531946588e-41,3.5990687630888684e-20,4.3448878154126466e-46,1.6187741421075088e-36,3.376977612602509e-58,2.372057402962682e-67,2.0395174914458603e-71,1.9821583471234052e-38,9.437381828715507e-37,1.3738605462616705e-52,2.768823766607197e-22,1.0494101463772257e-71,1.6873521662651e-67,9.139260768637285e-40,3.5990687630888666e-20,1.1083403188117446e-56,3.217081218149879e-38,9.890806316852793e-24,4.136891001506429e-39,6.342745558618199e-72,1.4248336058495408e-37,1.092496325604672e-50,1.691675679972053e-55,7.0222107424453215e-71,1.7546419713314083e-52,4.7233911420124535e-54
6.027391772119201e-22,0.8507641304040262,2.3765642190256887e-25,2.408739316073623e-25,7.701773988100932e-37,1.2850884185393155e-39,0.0,0.0,1.4907609414459163e-20,1.5131286061187677e-37,1.869558754070659e-51,1.0043415321459144e-51,2.8616381549629156e-54,1.4921396561548274e-62,2.502365845170448e-41,8.073142103827994e-37,4.489729175015156e-37,2.3288090028533405e-36,3.400417422846852e-90,4.938769943328021e-57,2.135638111867584e-87,1.3174398065857718e-86,2.260755729567878e-23,2.6992297284332276e-88,7.341266573733066e-55,2.1054675842179776e-90,1.1255026365884337e-91,6.787058718690533e-74,7.92286951724689e-89,5.963195061572638e-89,1.6291285887779984e-56,3.608190183155273e-106,9.025517978936229e-107,5.271014011097195e-107,3.76,0.0,0.7717901749395584,0.9999999999999968,2.218898338412775e-51,2.746073548203195e-52,1.8772617640038225e-16,1.145442443782485e-16,3.0772638859602e-17,4.240929316253178e-17,3.2080045170484344e-15,2.322038990518131e-33,7.134682242642231e-52,1.301760740368291e-32,1.568088023867968e-41,1.2312887026707883e-35,1.4974885280289994e-86,2.2020614536298746e-84,8.420862482371568e-38,2.0773703772973374e-86,5.3146274144213166e-39,1.2512919984037873e-104,2.075381062540045e-84,1.0208930188724943e-87,1.7830289772033926e-86,1.4281454625825092e-84,8.28117849739739e-106,6.6547011886883494e-105,9.697280296129958e-102,3.197049293116619e-41,2.3288090028533398e-36,4.488760169622791e-41,1.1402956752184515e-20,3.504890318695551e-21,3.250876008557768e-34,1.6703739725445851e-49,3.229083053960219e-34,2.0088670923993403e-23,6.127853328720491e-22,1.0634849804519726e-35,9.415539045216273e-35,1.0899271747958596e-49,8.419466276650432e-35,2.940924587583778e-40,8.226442887060273e-20,2.0918771040271987e-45,7.793700670941449e-36,3.31553664526948e-57,4.6870521318239105e-66,4.029971953559233e-70,9.543239194427132e-38,4.543693105613369e-36,1.3488744399596065e-51,6.328740037959148e-22,2.073575478228125e-70,3.3341131969369576e-66,4.4001606482257794e-39,8.226442887060265e-20,1.0881750973810215e-55,1.5488861229102978e-37,2.2607557295663516e-23,1.9917349391380194e-38,1.2532293506736017e-70,6.859960473195451e-37,1.072619370629003e-49,1.6608972140967687e-54,1.5666165875121102e-69,8.463654131845297e-52,4.637453432553736e-53
1.28082075157533e-21,0.8507641304040263,5.0501989780743985e-25,5.118571046658876e-25,3.363567044323656e-36,5.6123187587627496e-39,0.0,0.0,3.167867000572564e-20,6.608230157396249e-37,1.6536037264952148e-50,8.883287113776023e-51,2.531982531416162e-53,1.3197806279245523e-61,1.0928489076222124e-40,3.525753257175983e-36,1.9607826864758458e-36,1.0170520748373105e-35,1.2839330688902698e-88,4.368286085090363e-56,8.522768732843889e-86,5.257555181192304e-85,4.804105925335163e-23,1.07467595713744e-86,6.493267147270542e-54,8.402368423399043e-89,4.49036457352043e-90,1.2711409841782137e-72,3.161808299513427e-87,2.379754245474012e-87,1.4409457874814926e-55,2.952625254275458e-104,7.238343779898095e-105,4.313900846759665e-105,3.76,0.0,0.7717901749395581,0.9999999999999931,1.9625904521910083e-50,2.4288709550932814e-51,3.989181248508123e-16,2.434065193038109e-16,6.53918575766578e-17,9.01197479703435e-17,6.817009598720362e-15,1.0140954325854063e-32,6.310545645912101e-51,5.685131156345982e-32,6.848252373834522e-41,5.377361253069757e-35,5.976083610427755e-85,8.787849199410404e-83,3.67761188191918e-37,8.290239846377566e-85,2.3210374196423146e-38,1.0016201434038032e-102,8.282301013376969e-83,4.074116044222014e-86,7.115600586010166e-85,5.69935363943102e-83,6.628824610639363e-104,5.326880350410813e-103,7.762369849139149e-100,1.3962354220402142e-40,1.0170520748373102e-35,1.960359496372947e-40,2.423128309839188e-20,7.447891927227187e-21,1.4197429610963229e-33,1.4774293072413076e-48,1.41022540527141e-33,4.268842571375253e-23,1.3021688323530554e-21,4.6445183121511285e-35,4.112013269401838e-34,9.640518004031319e-49,3.677002122195704e-34,1.2843790324040824e-39,1.7481191135003088e-19,9.135782631596578e-45,3.403713841848569e-35,2.932554615504505e-56,8.340575049022676e-65,7.171305669055616e-69,4.167783279545655e-37,1.984350152726617e-35,1.1930681415445793e-50,1.3448572580662507e-21,3.6899124245989077e-69,5.933030202621235e-65,1.921665757662756e-38,1.7481191135003062e-19,9.624785504482948e-55,6.7643926275632015e-37,4.8041059253284975e-23,8.698429754851185e-38,2.2300625516310502e-69,2.995924965941018e-36,9.487196858228962e-49,1.4690447768064956e-53,2.934099487593019e-68,3.710189624994179e-51,4.1017750436017904e-52
2.6369839003021498e-21,0.8507641304040262,1.039746853638388e-24,1.0538234507837105e-24,1.4042230290568744e-35,2.3430326131358162e-38,0.0,0.0,6.522079118825832e-20,2.7588060074421018e-36,1.3899536408241874e-49,7.466938077338719e-50,2.1286391287181456e-52,1.1093551405181512e-60,4.5624290615819246e-40,1.471932580281078e-35,8.185881735200075e-36,4.2459922053534843e-35,4.454560499647946e-87,3.671807663511338e-55,3.029125145390694e-84,1.8686172694824153e-83,9.890806316880612e-23,3.815823572414041e-85,5.4579822859803605e-53,2.9863333387600386e-87,1.5957619928312853e-88,2.195579939735438e-71,1.1237560509364942e-85,8.458018766193976e-86,1.2112017578777348e-54,2.1253203838387722e-102,5.158384846807778e-103,3.1053619429521795e-103,3.76,0.0,0.7717901749395577,0.9999999999999859,1.6496755300488418e-49,2.0416123882112667e-50,8.213020217516719e-16,5.011310691550404e-16,1.346302950107807e-16,1.8554065758585073e-16,1.4035019762040172e-14,4.2336488059598825e-32,5.304393854289352e-50,2.37343034573715e-31,2.859010557954754e-40,2.2449424695909e-34,2.1239937148425706e-83,3.123339244097586e-81,1.535330566769182e-36,2.9464810862972524e-83,9.689874329890517e-38,7.13104599387003e-101,2.9436595006948506e-81,1.4480046524716997e-84,2.5289958955149896e-83,2.0256395488917203e-81,4.719399214868204e-102,3.792478519205167e-101,5.526428035656787e-98,5.829008051974877e-40,4.245992205353483e-35,8.184114999909172e-40,4.988793579080595e-20,1.533389514428774e-20,5.927147385615557e-33,1.241869323901251e-47,5.8874134635812794e-33,8.788793529411841e-23,2.6809358313149125e-21,1.9389949677959523e-34,1.7166845948309848e-33,8.103529668587025e-48,1.5350760040848982e-33,5.3620296297679185e-39,3.5990687630888763e-19,3.8140142016953113e-44,1.420983526730795e-34,2.4649888540385206e-55,1.406777186242882e-63,1.2095603902009428e-67,1.739967476231307e-36,8.284271267524894e-35,1.0028472367149883e-49,2.7688237666067045e-21,6.223653150581266e-68,1.0007045748280605e-63,8.022576257686084e-38,3.5990687630888633e-19,8.09021215344432e-54,2.8240007646704416e-36,9.890806316852787e-23,3.6314231937338017e-37,3.761332751314622e-68,1.2507396983789697e-35,7.974560597918378e-48,1.234820651494476e-52,5.067927205804487e-67,1.5605390388794073e-50,3.4477890746291115e-51
5.3493101977557895e-21,0.8507641304040265,2.1092007813851104e-24,2.1377561430224444e-24,5.73670926040096e-35,9.572052819653508e-38,0.0,0.0,1.3230503355332262e-19,1.1270622716634889e-35,1.1395680007063217e-48,6.12184696921283e-49,1.7453283326318383e-51,9.095163686100508e-60,1.8639011400481927e-39,6.013324870237172e-35,3.344199787579036e-35,1.734626359208431e-34,1.483554670042594e-85,3.0103697638402295e-54,1.0202927197442035e-82,6.294017305270713e-82,2.0064207100015034e-22,1.2846939635572795e-83,4.474783635453354e-52,1.0058793148848044e-85,5.3746789736458885e-87,3.647988907563612e-70,3.785119655037941e-84,2.8488935765895585e-84,9.930163788405161e-54,1.4407069088093793e-100,3.4794611539277604e-101,2.105115413689369e-101,3.76,0.0,0.7717901749395568,0.9999999999999715,1.3525036687479962e-48,1.673837184883357e-49,1.6660698155533908e-15,1.0165801688579174e-15,2.731071698790717e-16,3.7638247681640037e-16,2.847104008858362e-14,1.7295836777943268e-31,4.3488625597261665e-49,9.696237393533827e-31,1.1679991001389791e-39,9.171322494987596e-34,7.154195799204907e-82,1.0520266770701016e-79,6.272326331301423e-36,9.92455978694739e-82,3.958629836585327e-37,4.807701182691214e-99,9.915055909460266e-80,4.8772784634590524e-83,8.518354685087159e-82,6.822911880573796e-80,3.181785842695771e-100,2.5568624123005856e-99,3.725879012148161e-96,2.381339996885419e-39,1.7346263592084294e-34,3.343478018633831e-39,1.0120124117563137e-19,3.110590157839796e-20,2.421433105080253e-32,1.0181598880700229e-46,2.4052005014433957e-32,1.7828695445824088e-22,5.438469829238006e-21,7.92142712191447e-34,7.013216710265135e-33,6.643800385117208e-47,6.271286359650858e-33,2.1905640624780163e-38,7.300968062266026e-19,1.5581531650715901e-43,5.805181362202876e-34,2.0209467909535974e-54,2.3106495738727236e-62,1.9867184565683623e-66,7.108334877803583e-36,3.3843951218992673e-34,8.221953812917237e-49,5.6167567836867395e-21,1.022243013385757e-66,1.6436701078055252e-62,3.2774841715679823e-37,7.30096806226597e-19,6.632844713580059e-53,1.153696457242185e-35,2.0064207099901354e-22,1.4835548650740846e-36,6.178005377116677e-67,5.109679774188253e-35,6.538026567848868e-47,1.0123805748176236e-51,8.420436849701983e-66,6.470172304797918e-50,2.8267057900149787e-50
1.077396279266307e-20,0.8507641304040267,4.248108701217859e-24,4.3056215275122654e-24,2.318869605153247e-34,3.8691768601796875e-37,0.0,0.0,2.6647351828344704e-19,4.555765903817107e-35,9.228517236384531e-48,4.957630395291802e-48,1.4134685292577493e-50,7.365499361026781e-59,7.534186420206879e-39,2.4306820573543995e-34,1.3517790232985439e-34,7.011637086873661e-34,4.842569595501823e-84,2.4378754838947206e-53,3.34870278205431e-81,2.0657594548587996e-80,4.041100866645796e-22,4.2155783903828477e-82,3.6237958046007994e-51,3.3013966295056255e-84,1.7639780702709184e-85,5.947142624246667e-69,1.242314136654673e-82,9.350353840942242e-83,8.041704092803982e-53,9.486569111671195e-99,2.285469368278203e-99,1.386166966903899e-99,3.76,0.0,0.7717901749395552,0.9999999999999426,1.0952925369875252e-47,1.35551674948262e-48,3.3556054031568243e-15,2.0474783682653448e-15,5.500609196158344e-16,7.580661152756402e-16,5.734308074128583e-14,6.991253762289002e-31,3.521821652744941e-48,3.9193741839201615e-30,4.721239109727339e-39,3.707195189319494e-33,2.348078695833008e-80,3.4528568928897997e-78,2.535374588999096e-35,3.2573398961083393e-80,1.6001414730024417e-36,3.157138732607226e-97,3.254220628297986e-78,1.6007716275987327e-81,2.7958093014285244e-80,2.239347996574846e-78,2.089426722067596e-98,1.679049726485366e-97,2.446723807361263e-94,9.625757106345091e-39,7.011637086873648e-34,1.3514872728060041e-38,2.0382785194527154e-19,6.264991444657483e-20,9.787819764573789e-32,8.24532428818588e-46,9.722204985304372e-32,3.590849928000484e-22,1.0953537825081704e-20,3.201967495392131e-33,2.834854325969174e-32,5.3803366309528974e-46,2.534954215811219e-32,8.854610181590197e-38,1.4704766660620386e-18,6.298335875545163e-43,2.346547123466781e-33,1.6366151079939112e-53,3.7456735802086434e-61,3.220565731043411e-65,2.873302610097685e-35,1.3680266200941628e-33,6.658353868088913e-48,1.1312622817843325e-20,1.6571048639573513e-65,2.664467940133557e-61,1.3248115046805723e-36,1.470476666062016e-18,5.371449617422027e-52,4.6634255403529396e-35,4.041100866599846e-22,5.996765964747748e-36,1.0014816972265538e-65,2.0654142614743054e-34,5.294663403402411e-46,8.198520372279276e-51,1.3727437273526247e-64,2.6920388706020305e-49,2.28913963603796e-49
2.162326798247763e-20,0.8507641304040271,8.525924798240564e-24,8.64135229654132e-24,9.324072694807332e-34,1.555779051714238e-36,0.0,0.0,5.348104877436791e-19,1.8318534329384014e-34,7.427913580166329e-47,3.9903322462633994e-47,1.1377049696246787e-49,5.92839466968447e-58,3.0294632229930645e-38,9.773665647436085e-34,5.4354439993204585e-34,2.8193484343797758e-33,1.565034824790484e-82,1.962214279860734e-52,1.0851670372561094e-79,6.694216287812086e-79,8.110461180004018e-22,1.3659376845905883e-80,2.9167461266692785e-50,1.0698372107678886e-82,5.716203612939467e-84,9.604651223968469e-68,4.025792784141608e-81,3.030037745965599e-81,6.472663066447836e-52,6.157911959308656e-97,1.4817211466246718e-97,8.997935239506376e-98,3.76,0.0,0.7717901749395518,0.9999999999998849,8.815867220737538e-47,1.0910378072827793e-47,6.734676578363679e-15,4.109274767086892e-15,1.1039684190900828e-15,1.521433392186683e-15,1.150871620451515e-13,2.8111523891704144e-30,2.8346684576926936e-47,1.5759631212850015e-29,1.89838948123845e-38,1.4906468808005397e-32,7.609088651216696e-79,1.118918809823027e-76,1.019462971267839e-34,1.0555603643423259e-78,6.434098486236882e-36,2.0465912669480754e-95,1.0545495470213242e-76,5.187395655129332e-80,9.059986304691061e-79,7.256740353946437e-77,1.3544550444179394e-96,1.0884312657867109e-95,1.5860701733348587e-92,3.870474673583814e-38,2.8193484343797655e-33,5.434270883865568e-38,4.090810734845089e-19,1.2573794018275428e-19,3.9356392789359326e-31,6.636554928802839e-45,3.909255864776618e-31,7.206810695379134e-22,2.1983673816759152e-20,1.2874970471255377e-32,1.1398824563236305e-31,4.330568921837834e-45,1.0192939410425801e-31,3.560399810022063e-37,2.9512363857329348e-18,2.532558611428804e-42,9.435362778568034e-33,1.3172902213642046e-52,6.032300662967549e-60,5.18662942149264e-64,1.1553423422706625e-34,5.5007748714023996e-33,5.359223456125471e-47,2.2704354886142553e-20,2.6687202061963632e-64,4.291049765656897e-60,5.327008793551847e-36,2.951236385732844e-18,4.3234099580634605e-51,1.875142899274597e-34,8.110461179819253e-22,2.4112732197731144e-35,1.6128557214829408e-64,8.304939905142196e-34,4.261605698514557e-45,6.598882450790347e-50,2.2169847864540997e-63,1.1441324032099054e-48,1.8424987297100936e-48
4.332187836210675e-20,0.8507641304040282,1.7081558021714826e-23,1.7312813834797066e-23,3.739370180023024e-33,6.23937026563305e-36,0.0,0.0,1.0714844266640757e-18,7.346551582555186e-34,5.960432872679876e-46,3.2019903253369254e-46,9.129455955849828e-49,4.757163365114925e-57,1.2149502484613694e-37,3.91967706257805e-33,2.1798561499329188e-33,1.1306848206655966e-32,5.032917470184361e-81,1.5745533837272003e-51,3.494410745700592e-78,2.155644296621204e-77,1.6249181806999001e-21,4.3983048398939406e-79,2.340505076423989e-49,3.4450462834034426e-81,1.8406971179749198e-82,1.543919632850957e-66,1.2963694136108366e-79,9.757204305025528e-80,5.193904476927028e-51,3.968967736621841e-95,9.54430802334153e-96,5.79947202062339e-96,3.76,0.0,0.771790174939545,0.9999999999997694,7.07417824083569e-46,8.754891291948953e-47,1.3492818928777333e-14,8.232867564756754e-15,2.211783418041472e-15,3.048167945979019e-15,2.3057532464672783e-13,1.1273978399250792e-29,2.2746429161216122e-46,6.320316982802707e-29,7.613390895062076e-38,5.978160700218577e-32,2.4502477868012675e-77,3.6030968528214046e-75,4.088502480853344e-34,3.3990725632850288e-77,2.580361265127625e-35,1.318202928636494e-93,3.395817570211302e-75,1.6704240554527828e-78,2.9174599494534445e-77,2.336786020704022e-75,8.724001881025566e-95,7.010551180151665e-94,1.0215827563382996e-90,1.552233516870269e-37,1.130684820665588e-32,2.1793856785227315e-37,8.195875165628119e-19,2.519139916544162e-19,1.5783673766191573e-30,5.32541762042229e-44,1.567786447514741e-30,1.443873223230644e-21,4.4043945800074245e-20,5.163439006046104e-32,4.571438474696572e-31,3.4750111974022493e-44,4.087824593926867e-31,1.4278795665884337e-36,5.9127558250748226e-18,1.0156896934390009e-41,3.784002481120324e-32,1.0570424428518921e-51,9.683185583173252e-59,8.325694962012824e-63,4.633439531952413e-34,2.206056751601987e-32,4.300439710982327e-46,4.5487819022685246e-20,4.283890089247909e-63,6.88809022795333e-59,2.136368782953431e-35,5.9127558250744574e-18,3.469264213150262e-50,7.520161704165527e-34,1.6249181806258013e-21,9.670284080261861e-35,2.5889908842018163e-63,3.330652349456517e-33,3.4196701321815045e-44,5.295187583702802e-49,3.5637382946803247e-62,5.0831757349649134e-48,1.4784891940422538e-47
