Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(923),S(304),S(964),S(1434),S(335),S(220),CF2O(49),S(879),C2H2F3(67),C2H2F3(68),S(133),S(149),CHFCF2(55),C2H3F2(66),C2H3F2(64),C2HF2(72),CF2CH(73),S(234),CF2(43),S(3455),CH2F(46),S(3466),CH2F2(41),C2F(235),S(3986),S(4065),S(3435),C2H3F2(65),CFO(51),F(37),S(4439),CHO2(339),S(215),CHF2(82),S(4798),S(3456),CHF3(42),S(221),CFO3(4550),S(2885),S(4664),S(3782),S(5203),S(2642),S(2822),C2HF3(125),C2HFO(286),S(2949)
0.0,0.7100358888325281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,1.0038751231612102,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.044843911266061e-22,0.7100358888325281,4.197326019803797e-27,7.610775872935163e-29,5.210955010757497e-38,5.1391328991412866e-27,0.0,0.0,5.081679461817207e-22,1.1479894356470187e-39,5.120531886191164e-54,4.781939596490099e-54,6.447142459289367e-58,2.4765855866057393e-69,6.8902111807970705e-46,3.2036183066306174e-39,3.524860527094628e-41,9.561999180743029e-39,1.736607109128765e-89,9.49544296596279e-65,2.798905525381797e-92,1.6188590369466737e-91,8.062626474755373e-26,1.1414079844450847e-92,1.0951777929254143e-59,4.3126125286808376e-97,4.2536402829931697e-100,2.6833576219069903e-80,2.621427802698607e-96,4.765123766675808e-97,9.362290819355394e-61,4.795688735413673e-113,3.519939040770946e-114,6.69588734105155e-114,3.76,0.0,1.0038751231612102,0.9999999999999994,1.1697974807725871e-52,7.738919282252044e-57,3.0018499914774853e-18,1.905917323870032e-18,6.043915147915548e-19,4.915411528158984e-19,5.098889579733044e-16,1.8564988632068349e-37,6.245989301767806e-58,9.938227959638254e-36,1.2848917039536921e-43,8.877171429989925e-38,1.9281084451217327e-94,1.084700435969763e-92,3.0294903257003063e-41,1.1230818876201482e-94,3.652365187125672e-43,3.7213621280707454e-112,8.003975256782456e-93,6.51091058753426e-96,1.284969961506579e-94,4.888791724665131e-93,2.6634845270051143e-113,2.6548003940638577e-112,3.3313783152177345e-109,3.650083208454364e-43,9.561999180743027e-39,1.7745940073758584e-44,3.8964650243266757e-22,1.185256410750689e-22,2.7958954199779862e-36,5.6474161434324804e-52,6.863366910811762e-37,1.5378167908754922e-26,9.794145947495405e-25,5.335018815932527e-39,7.232186782752009e-38,1.4506095502690126e-52,1.137195205790486e-37,5.7115218429626885e-43,2.2235652958360535e-21,3.8531340030856755e-48,5.464108031840076e-38,3.347600506573431e-63,1.214520594919945e-68,7.733500863999976e-73,9.952430483916182e-39,2.2598935734845364e-39,8.261705811162425e-56,9.947927626580823e-25,5.896622103012786e-73,4.4862830509215914e-69,8.70095731824968e-43,2.2235652958360535e-21,6.15494168031547e-59,1.4487879692579656e-38,8.062626474755466e-26,7.848159301628563e-42,1.7415129394388203e-74,5.567201720242832e-38,2.3066619879494748e-51,1.5820880717183404e-58,5.66912704864765e-74,2.3092734462941855e-56,1.4159538585140164e-56,5.139132899141192e-27,2.2094347054424326e-59,2.73123125321808e-58
1.132556295154497e-21,0.7100358888325281,1.1752512857889543e-26,2.131017244423142e-28,3.1474168264975343e-37,1.4389572117595638e-26,0.0,0.0,1.4228702493088173e-21,6.933856191307991e-39,6.079095460262832e-53,5.677118688952962e-53,7.654488733418284e-57,2.940202408417807e-68,4.161687553200738e-45,1.9349854572048637e-38,2.1290157583658096e-40,5.775447505173831e-38,8.295981837963054e-88,1.1272989889212898e-63,1.3370707564702642e-90,7.733483885607623e-90,2.2575354129314744e-25,6.051175981725418e-91,1.3001950757613937e-58,2.0601867718413638e-95,2.033704647207234e-98,8.436905700498601e-79,1.25229534543245e-94,2.276358623369686e-95,1.111491166075559e-59,3.700974042684134e-111,2.7529477590548834e-112,5.171390161839837e-112,3.76,0.0,1.0038751231612102,0.9999999999999986,1.3887835691796425e-51,9.187644971892405e-56,8.405179976136959e-18,5.3365685068364024e-18,1.6922962414163623e-18,1.3763152278841954e-18,1.4276890823234716e-15,1.1213253133769822e-36,7.415238499059052e-57,6.002689687612495e-35,7.76074589187457e-43,5.361811543714882e-37,9.21080541537254e-93,5.18174414667989e-91,1.8298121567244888e-40,5.3650969470019155e-93,2.2060285730251844e-42,3.237144442146419e-110,3.8235950278681414e-91,3.1103401185961046e-94,6.138455702525492e-93,2.3354344723734056e-91,2.3169161819262843e-111,2.309362014469075e-110,2.897904698383813e-107,2.2046502582145446e-42,5.77544750517383e-38,1.071854780459256e-43,1.0910102068114662e-21,3.318717950101843e-22,1.6887208336666728e-35,6.704613407872228e-51,4.1454736141302553e-36,4.3058870144714813e-26,2.7423608652989868e-24,3.222351364822625e-38,4.368240816781363e-37,1.7221756127476427e-51,6.868659042974461e-37,3.449759193149413e-42,6.225982828340951e-21,2.3273096568104095e-47,3.3003212512314063e-37,3.974271321406324e-62,2.7168520062614873e-67,1.729964681180524e-71,6.011268012284699e-38,1.3649757183846705e-38,9.808314100122978e-55,2.7854197354424148e-24,1.3190595250279835e-71,1.0035702286235513e-67,5.255378220325009e-42,6.22598282834095e-21,7.307146763000044e-58,8.750679334317303e-38,2.2575354129315314e-25,4.740288218192857e-41,3.8957012205251756e-73,3.362589839026503e-37,2.738469109677879e-50,1.878254958744677e-57,1.7819506207664102e-72,1.44061930499253e-55,1.6810204208262794e-55,1.4389572117595067e-26,2.6232032189608615e-58,4.127436669863184e-57
2.588700103210279e-21,0.7100358888325281,2.686288654381669e-26,4.870896558687582e-28,1.515345717128288e-36,3.2890450554504484e-26,0.0,0.0,3.2522748555630077e-21,3.3383532788615267e-38,5.968491973611529e-52,5.573828793668597e-52,7.515415763439881e-56,2.8867081597460145e-67,2.0036734113747472e-44,9.316122035681388e-38,1.025029441280099e-39,2.7806293617674902e-37,4.3197001293408104e-86,1.106788832119173e-62,6.962099708163743e-89,4.026809024772474e-88,5.160080943843229e-25,2.957817664334894e-89,1.2765392354349215e-57,1.0727349987622967e-93,1.0582300167547588e-96,1.882227250429878e-77,6.5206506602600905e-93,1.185294445424085e-93,1.091268617909152e-58,4.0335222432071993e-109,2.9848242759345443e-110,5.636287625073269e-110,3.76,0.0,1.0038751231612102,0.9999999999999967,1.363515943597657e-50,9.02048431540127e-55,1.921183994545591e-17,1.2197870872770388e-17,3.868105694666012e-18,3.1458633780195087e-18,3.263289331016682e-15,5.3986986942062825e-36,7.280325130141516e-56,2.8900366906492873e-34,3.7364650750886765e-42,2.5814814518424945e-36,4.796047283813155e-91,2.6981234343032384e-89,8.809757867158637e-40,2.7935948573170547e-91,1.0621077964179943e-41,3.3647661329797007e-108,1.990938003874025e-89,1.619547651351748e-92,3.1962811579778333e-91,1.2160558879057643e-89,2.4082586493185085e-109,2.400406665177997e-108,3.0121521485579077e-105,1.0614441974718025e-41,2.7806293617674877e-37,5.160519373512557e-43,2.493737615569051e-21,7.58564102880381e-22,8.130463881295525e-35,6.582629623377357e-50,1.9958670976639867e-35,9.842027461743874e-26,6.2682534063989716e-24,1.551423471672246e-37,2.1031199164230067e-36,1.690847467421985e-50,3.306963658438621e-36,1.6609105519334727e-41,1.4230817893350744e-20,1.1205164465173064e-46,1.5889626156590942e-36,3.90196315046902e-61,5.368059106351867e-66,3.4181297468802606e-70,2.8941667847218123e-37,6.571770511693187e-38,9.629868378276656e-54,6.366673681010216e-24,2.6062477745604768e-70,1.9828920724922076e-66,2.5302383883001786e-41,1.423081789335074e-20,7.174200022976886e-57,4.2130754146009535e-37,5.1600809438435025e-25,2.2822447249271308e-40,7.697255334872704e-72,1.618942260246363e-36,2.6886452056651166e-49,1.8440818563968746e-56,3.9751846714636636e-71,7.402639333306523e-55,1.6504358174790985e-54,3.2890450554501724e-26,2.5755476107228255e-57,4.44010802373164e-56
5.5009877193218425e-21,0.7100358888325281,5.70836339546936e-26,1.0350655187237213e-27,6.6179128636621e-36,6.989220742832274e-26,0.0,0.0,6.911084068071377e-21,1.457946583271709e-37,5.2790635605049615e-51,4.9299884463968804e-51,6.647376916250487e-55,2.553260676363618e-66,8.750568199601523e-44,4.06859524942042e-37,4.4765728694203165e-39,1.214373895961962e-36,1.7238788673399361e-84,9.789421880324683e-62,2.778391231745709e-87,1.6069937740464422e-86,1.0965172005666261e-24,1.1533431098462651e-87,1.1290844973966072e-56,4.281003920722345e-92,4.2221031857604447e-95,3.52520332993736e-76,2.60221696869906e-91,4.730197888205527e-92,9.652147343228221e-58,3.299676466968333e-107,2.436165674258163e-108,4.610898965745121e-108,3.76,0.0,1.0038751231612102,0.999999999999993,1.2060144107865066e-49,7.978516223247669e-54,4.08251598840938e-17,2.592047560464334e-17,8.219724601165447e-18,6.684959678285014e-18,6.9344898283746085e-15,2.357753556273512e-35,6.4393651305525494e-55,1.2621549508600911e-33,1.6318124640122106e-41,1.127400771610181e-35,1.913976570189352e-89,1.0767502343300529e-87,3.847452713662082e-39,1.1148503730523146e-89,4.638503787668388e-41,2.6933901446947454e-106,7.945310933344046e-88,6.463189529954994e-91,1.2755519047478232e-89,4.8529598224238714e-88,1.9277357936899695e-107,1.9214505257515168e-106,2.411133669025695e-103,4.635605679379378e-41,1.2143738959619596e-36,2.2537343894330195e-42,5.2991924330841706e-21,1.6119487186206386e-21,3.5507871833715737e-34,5.822261523449129e-49,8.716475976730177e-35,2.0914308356610323e-25,1.3320038488603315e-23,6.775473896224663e-37,9.184877214081854e-36,1.4955375171193963e-49,1.4442379113538014e-35,7.253632740561819e-41,3.024048802337034e-20,4.893739327592056e-46,6.939417200436896e-36,3.4512422182715063e-60,9.552188461849328e-65,6.082388230522131e-69,1.2639586714563083e-36,2.8700648383255207e-37,8.517512477489386e-53,1.352918157214236e-23,4.637685507466888e-69,3.528455704718934e-65,1.1050215795759247e-40,3.024048802337032e-20,6.345498675580168e-56,1.8399607209563666e-36,1.0965172005667448e-24,9.967162313207006e-40,1.3696859640925048e-70,7.070346184705787e-36,2.3780762273699285e-48,1.6310695184228273e-55,7.444895613211359e-70,3.6429585000367866e-54,1.4597917899634505e-53,6.989220742831071e-26,2.2780709453536787e-56,4.081224237058868e-55
1.132556295154497e-20,0.7100358888325281,1.175251289325379e-25,2.1310172444419468e-27,2.762848346703693e-35,1.4389572117596148e-25,0.0,0.0,1.4228702493088065e-20,6.086639987800447e-37,4.437371010389822e-50,4.14395234328377e-50,5.587551278011661e-54,2.146169443976916e-65,3.6531899680489266e-43,1.6985584261751348e-36,1.8688810514746962e-38,5.069771965698039e-36,6.126935408598959e-83,8.228598947460595e-61,9.874837599705515e-86,5.711507566143583e-85,2.2575354129310404e-24,4.058924116939822e-86,9.490635525085084e-56,1.5215359463593263e-90,1.500448718508373e-93,6.088912096338355e-75,9.248681414017515e-90,1.6811862510820428e-90,8.113211427590803e-57,2.374802672846341e-105,1.751350661510741e-106,3.318518970661998e-106,3.76,0.0,1.0038751231612102,0.9999999999999857,1.0137277800860195e-48,6.706423627321877e-53,8.405179976136959e-17,5.336568506840919e-17,1.692296241416486e-17,1.3763152278795538e-17,1.427689082297648e-14,9.84315697273012e-35,5.412674393086798e-54,5.269248464074495e-33,6.812495814281539e-41,4.7066762921937525e-35,6.802572504804846e-88,3.826938977514266e-86,1.6062357707066446e-38,3.962352838013079e-88,1.9364840222308017e-40,1.9175621744180558e-104,2.8238879481839964e-86,2.2971187878974244e-89,4.533511251337211e-88,1.7248179297877676e-86,1.3724536890884262e-105,1.3679788854385909e-104,1.7166093558482197e-101,1.9352741212828245e-40,5.0697719656980216e-36,9.408897427697915e-42,1.0910102068114215e-20,3.3187179501006087e-21,1.4823837516719064e-33,4.893961694435791e-48,3.6389571361117126e-34,4.305887014762987e-25,2.742360865302948e-23,2.8286269761987446e-36,3.834505432203239e-35,1.257090220890432e-48,6.029408981100116e-35,3.0282488811381014e-40,6.225982828340953e-20,2.043164877741948e-45,2.897070078481607e-35,2.9009770374146936e-59,1.6111173294649067e-63,1.0258843951673116e-67,5.276778642562939e-36,1.1981955726616437e-36,7.15948362628364e-52,2.7854197354392823e-23,7.822139941497232e-68,5.951260441481716e-64,4.6132475715596555e-40,6.225982828340945e-20,5.33377398262207e-55,7.681473812994488e-36,2.2575354129315374e-24,4.161094061847793e-39,2.3101759787461654e-69,2.9517303520703987e-35,1.9989163436329104e-47,1.3710122095493313e-54,1.2859052394578245e-68,1.8635398822240468e-53,1.227042958508078e-52,1.4389572117591127e-25,1.914867094691067e-55,3.491573259339241e-54
2.2974713415991223e-20,0.7100358888325281,2.384081195125883e-25,4.3229206959115974e-27,1.1287136991501744e-34,2.91902748671248e-25,0.0,0.0,2.886393934312126e-20,2.4865910371888294e-36,3.638024849119817e-49,3.397462498078216e-49,4.581024242198032e-53,1.7595593762630307e-64,1.492447302597172e-42,6.939165396890637e-36,7.634988896185302e-38,2.0711672706031884e-35,2.063720573701655e-81,6.74630256835069e-60,3.326117265745694e-84,1.9237930484450835e-83,4.579571837659103e-24,1.3609170381009049e-84,7.780996403546924e-55,5.124952801119646e-89,5.053686015796342e-92,1.01168185155379e-73,3.115209801478191e-88,5.662698051259101e-89,6.651700908093776e-56,1.6097190808713858e-103,1.186462911739938e-104,2.2494071932583714e-104,3.76,0.0,1.0038751231612102,0.999999999999971,8.31115280967456e-48,5.4983312747544306e-52,1.7050507951592116e-16,1.0825610399602065e-16,3.432943804016587e-17,2.791953747973464e-17,2.8961692811724324e-14,4.021250797666865e-34,4.437637487468438e-53,2.1526599288630518e-32,2.783126826363278e-40,1.9228308404326036e-34,2.291293768826322e-86,1.2890184450735604e-84,6.561997225251786e-38,1.3346295627745573e-86,7.911169090063116e-40,1.2928069657336225e-102,9.511632334403117e-85,7.737328725619585e-88,1.5270114466108435e-86,5.809661818378431e-85,9.25298649014233e-104,9.222817677880476e-103,1.1573259852315064e-99,7.906226267991049e-40,2.0711672706031748e-35,3.843841604236881e-41,2.21319213381735e-20,6.732256413058368e-21,6.056021315485549e-33,4.012365504233478e-47,1.4866327263488921e-33,8.734799373481555e-25,5.563074898195176e-23,1.1555864155988989e-35,1.5665205858811608e-34,1.0306388415190963e-47,2.463210303549543e-34,1.2371384772724837e-39,1.2629850880348797e-19,8.348017050833843e-45,1.183547656128686e-34,2.3783962449457615e-58,2.646265952635033e-62,1.6850187733762916e-66,2.1557362525302036e-35,4.89501987591165e-36,5.869777700367141e-51,5.650422891883843e-23,1.2847892717034463e-66,9.774966474249974e-63,1.884662160167423e-39,1.2629850880348761e-19,4.3729501653484615e-54,3.138132692922002e-35,4.5795718376611335e-24,1.699942697475002e-38,3.794471303963874e-68,1.205878161409488e-34,1.6388323628365024e-46,1.124038642463738e-53,2.1365381197653744e-67,1.041355957875941e-52,1.006003952181678e-51,2.9190274867104293e-25,1.5699281929841e-54,2.8869002912284876e-53
4.627301434488373e-20,0.7100358888325283,4.801741031701364e-25,8.7067275989837e-27,4.562441237759175e-34,5.879168036618572e-25,0.0,0.0,5.813441304318687e-20,1.0051198544018432e-35,2.9461668450376995e-48,2.751353216105935e-48,3.7098370422920826e-52,1.4249368025464313e-63,6.032710618857087e-42,2.8049216011309053e-35,3.086184584840194e-37,8.371989259173904e-35,6.773337540754462e-80,5.463330729903001e-59,1.0916649908091974e-82,6.314081413059808e-82,9.22364468711216e-24,4.4568208682084094e-83,6.301252623604704e-54,1.6820612772101163e-87,1.658632623784181e-90,1.6492967533768374e-72,1.0224429205118317e-86,1.858554160067836e-87,5.386719852636586e-55,1.0599114868035497e-101,7.810053173492503e-103,1.4811129541250002e-102,3.76,0.0,1.00387512316121,0.9999999999999416,6.730587026463448e-47,4.452691220204586e-51,3.4341163902502427e-16,2.1803694185156255e-16,6.914238929217663e-17,5.623230788128503e-17,5.833129678739635e-14,1.6254538666882257e-33,3.593713890878532e-52,8.701395612729857e-32,1.1249843615568148e-39,7.772389691275759e-34,7.52025557540425e-85,4.230687605307453e-83,2.6524641958275114e-37,4.380387861018979e-85,3.197821034973611e-39,8.489651894348227e-101,3.12181297150712e-83,2.539468761230439e-86,5.011804466819827e-85,1.9067891805615026e-83,6.076284887505097e-102,6.056473521961982e-101,7.59997045480074e-98,3.1958230818800976e-39,8.371989259173792e-35,1.5537422343815985e-40,4.457555987828891e-20,1.355933333896516e-20,2.44794064316795e-32,3.2493176234682886e-46,6.0092071720226515e-33,1.7592624092977318e-24,1.1204502964007603e-22,4.671065054191628e-35,6.332126673182242e-34,8.346381859149236e-47,9.956689880387234e-34,5.0007115265573025e-39,2.5437586984364507e-19,3.375228099396511e-44,4.784088859061498e-34,1.9260869432811238e-57,4.289711864863524e-61,2.731488502663939e-65,8.713830605266219e-35,1.9786452984782275e-35,4.753498351880863e-50,1.1380429204750832e-22,2.0826991243903676e-65,1.5845644547102992e-61,7.618105787992734e-39,2.543758698436435e-19,3.5413284224657183e-53,1.2684834089000403e-34,9.223644687120366e-24,6.871440181085508e-38,6.151001755786895e-67,4.874352331738794e-34,1.3271688963489892e-45,9.102756353473712e-53,3.4830860385018136e-66,6.4733414766970866e-52,8.146880828642459e-51,5.8791680366102795e-25,1.2713703319417165e-53,2.3475793724007018e-52
9.286961620266876e-20,0.7100358888325283,9.637060804750216e-25,1.7474341405659094e-26,1.8345375553576e-33,1.1799449136432199e-24,0.0,0.0,1.1667536044331506e-19,4.041542727772487e-35,2.3713313876344166e-47,2.214528430639838e-47,2.9860015422595446e-51,1.1469131053751752e-62,2.425726406989641e-41,1.1278466393201693e-34,1.2409412480573148e-36,3.366340059960528e-34,2.19494030686442e-78,4.397363871015892e-58,3.537605322571063e-81,2.0461156308872256e-80,1.8511790386006012e-23,1.4426945263330672e-81,5.071796308158295e-53,5.4508225286387254e-86,5.374837613073554e-89,2.6636186622920274e-71,3.313286882731666e-85,6.022755216992557e-86,4.335700771872733e-54,6.879976562271964e-100,5.0688775961661076e-101,9.614038018336824e-101,3.76,0.0,1.0038751231612095,0.9999999999998829,5.417361986736174e-46,3.5839132694719815e-50,6.892247580432303e-16,4.375986175639223e-16,1.387682917962331e-16,1.1285784868307463e-16,1.1707050473144575e-13,6.535878507916429e-33,2.892533585429944e-51,3.498792905392361e-31,4.523512638979315e-39,3.1252437106874015e-33,2.436983541408424e-83,1.370979477837413e-81,1.0665441872386178e-36,1.4194907362110217e-83,1.2858297736824228e-38,5.503352528356277e-99,1.011642058425434e-81,8.229299540343922e-85,1.624105042257015e-83,6.179063733862472e-82,3.9389056481967425e-100,3.926063080603804e-99,4.92662327522454e-96,1.285026417285523e-38,3.366340059960438e-34,6.2475291900661945e-40,8.946283695850701e-20,2.721348719074387e-20,9.843061661825487e-32,2.6153335118193764e-45,2.4162757744150583e-32,3.5308273540203374e-24,2.2487359095744347e-22,1.8782147141752672e-34,2.5461202855478857e-33,6.717894762011136e-46,4.003541209787755e-33,2.0107641108983363e-38,5.105305919239598e-19,1.3578287498355188e-43,1.923661089041412e-33,1.5502823377895827e-56,6.908449289830405e-60,4.39897839308942e-64,3.503792961531397e-34,7.956045721203272e-35,3.8260290929439136e-49,2.28404418303963e-22,3.354123013141197e-64,2.551892417536385e-60,3.063206835760139e-38,5.105305919239538e-19,2.8503692065150498e-52,5.100515997227906e-34,1.851179038603901e-23,2.7629758754753567e-37,9.905998908263895e-66,1.9599556344050862e-33,1.0682209233893402e-44,7.326690235348498e-52,5.625184905008542e-65,4.4236190268425817e-51,6.557318453082153e-50,1.1799449136398855e-24,1.0233101601611658e-52,1.8934078107450562e-51
1.8606281991823881e-19,0.7100358888325284,1.9307700750439484e-24,3.500956902113467e-26,7.357316113961503e-33,2.3640011336065213e-24,0.0,0.0,2.3375725524355924e-19,1.6208393962531956e-34,1.9028440973566227e-46,1.777019599455685e-46,2.396078976289585e-50,9.203255369762073e-62,9.728247824459757e-41,4.523169465402869e-34,4.9767294294569205e-36,1.3500529274382115e-33,7.068057518009654e-77,3.528607571083156e-57,1.1391652810092714e-79,6.58881835335381e-79,3.708808178374465e-23,4.643210670962899e-80,4.06979712687085e-52,1.75525359294507e-84,1.7307737711669353e-87,4.281689205961941e-70,1.0669311366044714e-83,1.9394231344523761e-84,3.4791268172289753e-53,4.434325809512513e-98,3.266801526343336e-99,6.196502434819281e-99,3.76,0.0,1.0038751231612089,0.9999999999997654,4.3470918208157716e-45,2.875864691889817e-49,1.3808509960796419e-15,8.76721968993746e-16,2.780200968044857e-16,2.2610893028140905e-16,2.345489205903661e-13,2.621179606002574e-32,2.3210760369186797e-50,1.4031724421125342e-30,1.8141308870931844e-38,1.2533625079567953e-32,7.847475306555525e-82,4.414772366419744e-80,4.277319214836579e-36,4.5709863497142096e-82,5.156752494269083e-38,3.5446918675995594e-97,3.2576486201679823e-80,2.6499655756736555e-83,5.229877017722509e-82,1.989756977683802e-80,2.537036605560491e-98,2.5287647486565227e-97,3.1732223896607823e-94,5.15353077009041e-38,1.3500529274381393e-33,2.5055386341396876e-39,1.792373911188924e-19,5.452179489416172e-20,3.9475079680752185e-31,2.0986404369619406e-44,9.690346561142521e-32,7.07395724675936e-24,4.505307135966541e-22,7.5324810557071925e-34,1.0211081124906448e-32,5.390687677215097e-45,1.605599087879614e-32,8.064063420915336e-38,1.0228400360845924e-18,5.450829491002878e-43,7.714741345506697e-33,1.2440039428009902e-55,1.1089591561303952e-58,7.061334840606044e-63,1.4051776885229569e-33,3.1907301770478366e-34,3.0701474220655276e-48,4.576046708133319e-22,5.384110484962028e-63,4.0963526587548466e-59,1.2284829496663843e-37,1.0228400360845684e-18,2.2872417838707397e-51,2.04553504101633e-33,3.7088081783876985e-23,1.1080769034649223e-36,1.590132225898001e-64,7.860298705493532e-33,8.571799117338648e-44,5.879207495302814e-51,9.042313727832722e-64,3.2344501071839595e-50,5.261835092428087e-49,2.36400113359315e-24,8.211422416742912e-52,1.5208881215254012e-50
