Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(964),S(1465),S(335),S(923)
7.960394476485184e-20,0.8526159185611634,0.0,1.2387525404018989e-23,0.0,0.0,0.0,0.0,0.0,0.0,8.888230677867981e-46,1.0537454268912905e-64,0.0,3.0327898628214677e-97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9543954756473056,0.9999999999996442,0.0,0.0,1.9069112070846718e-14,1.1707513940083868e-14,3.205768029400708e-15,4.155830101361996e-15,3.558829177920597e-13,1.53071036674793e-29,3.2530229706499717e-46,1.1355821814458123e-28,1.8156124192169533e-37,1.1709980482694427e-31,7.926511966639684e-77,8.657503386523596e-75,6.513449859460964e-34,9.756635976307599e-77,3.347647916831515e-35,8.517484459657898e-93,1.6197454957252386e-77,6.402372259541262e-81,5.642163800798476e-94,4.6695423938906094e-93,6.670260992469865e-90,9.635554095054297e-80
1.59277050211515e-19,0.8526159185611661,0.0,2.4785813212012847e-23,0.0,0.0,0.0,0.0,0.0,0.0,7.115988967463433e-45,1.6873656127341874e-63,0.0,9.716909187838666e-96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9543954756472866,0.999999999999288,0.0,0.0,3.815479157181532e-14,2.342519948253743e-14,6.41432126129017e-15,8.315270827987151e-15,7.120750300318758e-13,6.126830613408822e-29,2.6043963537775372e-45,4.545288137605519e-28,7.267181298834139e-37,4.687043902349873e-31,2.5404609575223644e-75,2.774744986364444e-73,2.6070773980637775e-33,3.1270189056821693e-75,1.3399315891128751e-34,5.459875169595051e-91,5.1913126754070515e-76,2.051971519973654e-79,3.6167380386054956e-92,2.993268574834194e-91,4.2757685728461006e-88,3.088211960109579e-78
3.1862326110484137e-19,0.852615918561172,0.0,4.9582388832097174e-23,0.0,0.0,0.0,0.0,0.0,0.0,5.694953868936302e-44,2.700883872395737e-62,0.0,3.111329411346553e-94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9543954756472484,0.9999999999985756,0.0,0.0,7.632615057375111e-14,4.6860570568454784e-14,1.2831427725160762e-14,1.6634152280133246e-14,1.424459254228785e-12,2.451530302067226e-28,2.084308612284912e-44,1.8187073056378108e-27,2.9078191132905836e-36,1.8754280769090125e-30,8.135843746296944e-74,8.886139961817319e-72,1.0431705469883767e-32,1.0014299623673325e-73,5.361471699410747e-34,3.497101726303135e-89,1.6625214756541266e-74,6.571452990135292e-78,2.3165549477373846e-90,1.917216854810128e-89,2.7386702437059036e-86,9.890020172105033e-77
6.373156828914941e-19,0.8526159185611834,0.0,9.91755400886523e-23,0.0,0.0,0.0,0.0,0.0,0.0,4.556828358793764e-43,4.3222935293697674e-61,0.0,9.959324801904552e-93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.954395475647172,0.9999999999971508,0.0,0.0,1.5266886857761695e-13,9.373131274433048e-14,2.566564065326862e-14,3.327191518000859e-14,2.8492277014917106e-12,9.807717549407784e-28,1.66776356924975e-43,7.276013488814703e-27,1.1633169907713958e-35,7.50293351488901e-30,2.604489411752957e-72,2.8446782098521226e-70,4.173361461467429e-32,3.205830661759e-72,2.1449377988271017e-33,2.239035604073896e-87,5.3221519035824007e-73,2.1036883777276968e-76,1.4831850522301448e-88,1.2275069856660867e-87,1.753446329739395e-84,3.1660457032029923e-75
1.2747005264647994e-18,0.8526159185612062,0.0,1.9836184266730847e-22,0.0,0.0,0.0,0.0,0.0,0.0,3.64580883071301e-42,6.916373203774114e-60,0.0,3.1874753384260465e-91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9543954756470193,0.9999999999943013,0.0,0.0,3.053543045853256e-13,1.8747279711224575e-13,5.1334066510951034e-14,6.654744096209186e-14,5.698764591493991e-12,3.9234063110130036e-27,1.3343375407841609e-42,2.910642262758682e-26,4.653646678838967e-35,3.00141766589783e-29,8.335997526419415e-71,9.10475211639542e-69,1.6694804499535377e-31,1.0260666200662793e-70,8.580449489113619e-33,1.4332678079707772e-85,1.7034220176536258e-71,6.733120681037336e-75,9.494272375999673e-87,7.857607281411913e-86,1.1224288597734075e-82,1.0133329656116893e-73
2.54947021361141e-18,0.8526159185612516,0.0,3.967344480868045e-22,0.0,0.0,0.0,0.0,0.0,0.0,2.9167855314273e-41,1.1066760013800412e-58,0.0,1.0200707409662424e-89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9543954756467139,0.9999999999886022,0.0,0.0,6.10725176600651e-13,3.749557659127318e-13,1.0267091823218268e-13,1.330984924555887e-13,1.1397838353404268e-11,1.5694263851565624e-26,1.0675207096199572e-41,1.1643042779263503e-25,1.8615344156819956e-34,1.2006159209648612e-28,2.6677802674765157e-69,2.9138058023178255e-67,6.678193548130769e-31,3.2837345208276906e-69,3.432319464141375e-32,9.173826144894317e-84,5.4514841601299775e-70,2.1548095799917833e-73,6.076938563199124e-85,5.0293687412596665e-84,7.184259064528451e-81,3.2429829946009026e-72
5.0990095879046315e-18,0.8526159185613429,0.0,7.93479659974531e-22,0.0,0.0,0.0,0.0,0.0,0.0,2.3334838165484305e-40,1.7707266369559344e-57,0.0,3.2643521965245803e-88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9543954756461032,0.9999999999772041,0.0,0.0,1.221466920630935e-12,7.499217037723264e-13,2.0534462169811326e-13,2.6620059515990376e-13,2.2795985804847683e-11,6.277833266223734e-26,8.540368392460141e-41,4.6573118405539275e-25,7.446289140107942e-34,4.802561401833155e-28,8.537314614120275e-68,9.324634793521554e-66,2.671331776209742e-30,1.0508464696237622e-67,1.3729557236627648e-31,5.871540654134669e-82,1.7445604529108272e-68,6.895728728951053e-72,3.889434054246445e-83,3.2189560343708247e-82,4.598154431866207e-79,1.0378054428265917e-70
1.0198088336491074e-17,0.8526159185615251,0.0,1.5869700879449223e-21,0.0,0.0,0.0,0.0,0.0,0.0,1.866809215192861e-39,2.8331986549257287e-56,0.0,1.0446128401424958e-86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9543954756448817,0.9999999999544078,0.0,0.0,2.4429504086900336e-12,1.4998535805260049e-12,4.106920287238433e-13,5.324047994378192e-13,4.559228041822598e-11,2.5111588532931686e-25,6.832375804637831e-40,1.862943667372716e-24,2.9785459409010107e-33,1.9210441101202018e-27,2.732007546526267e-66,2.9839561335110127e-64,1.0685435870334052e-29,3.362791022867181e-66,5.4918788016388365e-31,3.7578794489783684e-80,5.58273108539718e-67,2.20668761671573e-70,2.4892996834582766e-81,2.060183083110849e-80,2.942892028940075e-77,3.3210593540038857e-69
2.039624583366396e-17,0.8526159185618896,0.0,3.173950960665457e-21,0.0,0.0,0.0,0.0,0.0,0.0,1.4934562451481737e-38,4.53314670054027e-55,0.0,3.342793338660004e-85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9543954756424388,0.9999999999088152,0.0,0.0,4.885917384802354e-12,2.999717338171318e-12,8.213868431507793e-13,1.0648132034707915e-12,9.118486848694843e-11,1.0044686518661815e-24,5.465933085613704e-39,7.451812413663904e-24,1.191424424648658e-32,7.684215584374671e-27,8.742531314866067e-65,9.548776437795578e-63,4.27419614181954e-29,1.0761063250720014e-64,2.1967627264852796e-30,2.4050727620728067e-78,1.7864964800241072e-65,7.061489566547539e-69,1.593171611636348e-79,1.3185335730688626e-78,1.8834743573225808e-75,1.0627524358869988e-67
4.079256082800973e-17,0.8526159185626186,0.0,6.347912773225543e-21,0.0,0.0,0.0,0.0,0.0,0.0,1.1947685583728477e-37,7.253057879233974e-54,0.0,1.0696990549689493e-83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9543954756375528,0.99999999981763,0.0,0.0,9.771851337003487e-12,5.9994448700137736e-12,1.642776473506555e-12,2.1296299934453018e-12,1.8237003999225708e-10,4.017884837908824e-24,4.3727594539660853e-38,2.980732419678692e-23,4.7657097255158465e-32,3.0736940985028653e-26,3.2411175003847576e-63,3.540016474238385e-61,1.7096828478667936e-28,3.9894476336372025e-63,8.787073512710031e-30,1.779452131112444e-76,6.623080762621308e-64,2.6179070552296172e-67,1.178747128736201e-77,9.755494355716108e-77,1.3935347923309503e-73,3.939943793851003e-66
