Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(923),S(304),S(964),S(1434),S(335),S(220),CF2O(49),S(879),C2H2F3(67),C2H2F3(68),S(133),S(149),CHFCF2(55),C2H3F2(66),C2H3F2(64),C2HF2(72),CF2CH(73),S(234),CF2(43),S(3455),CH2F(46),S(3466),CH2F2(41),C2F(235),S(3986)
0.0,0.4859394508649622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5263441087308794,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.647803047273118e-21,0.4859394508649622,6.399548380047405e-30,1.5325809113556294e-33,5.789709236342259e-45,2.921385526052022e-44,0.0,0.0,1.2395858411866221e-23,1.400043188224453e-41,3.175454454929922e-58,2.540871277196614e-70,3.618485258239445e-61,5.543587340908611e-97,1.0766239690186881e-70,1.13800232843218e-56,6.802238359515615e-95,4.548878194772633e-41,1.8001171614384427e-118,1.2915645166410314e-86,1.6252100093177617e-126,8.630881909116546e-126,1.7571187257785952e-44,5.03655099191229e-103,1.890855355994632e-67,5.713584129963988e-123,3.024213466828822e-132,1.2048909821900828e-113,2.588946783833289e-191,-2.6581539966038674e-154,1.0651404591976535e-65,-2.426819370750537e-163,4.1653646165752275e-141,-4.2178785937317887e-168,3.76,0.0,0.5263441087308794,0.9999999999999996,4.5347272157826e-59,1.2194768823372582e-104,1.0559105209600898e-20,6.712478287500591e-21,2.9928749738234963e-21,8.537519482768109e-22,4.499999998095068e-16,9.094611539872782e-43,9.310028192411933e-66,2.4102446782941388e-39,1.1026148495033098e-45,1.082084809167095e-40,8.234702380368681e-104,9.90683002475786e-103,2.2516229955821203e-45,1.2941953323924341e-104,1.618761841452453e-48,2.7762141968390418e-120,6.307235091446617e-103,6.554134138503869e-106,1.8325985151749294e-104,5.154749939325605e-103,2.8550651781091317e-121,3.7368628046199484e-120,3.816385067630839e-117,5.502457219436618e-45,4.548878194772633e-41,1.7664059424732602e-59,9.541418457258929e-24,2.85444635415556e-24,6.224058917571719e-38,1.4190954274380764e-53,2.674643018173018e-38,2.706214166619391e-42,1.1386683528407131e-41,3.1055356830465058e-43,8.268045509888694e-42,3.8470827250228446e-55,1.1093433732005203e-40,6.9579002275899974e-46,1.109167661327941e-40,1.5989227393561136e-50,8.37147974882911e-63,6.8855379923379975e-71,7.37239925382704e-70
1.3013848532364731e-20,0.4859394508649622,1.7918735466977498e-29,4.291226551821717e-33,3.496984379272337e-44,1.764516857969175e-43,0.0,0.0,3.470840355322548e-23,8.456260856875709e-41,3.769899528907698e-57,5.683827412230619e-69,4.295865698699016e-60,1.2400783138097858e-95,1.278167976017246e-69,1.3510363643129139e-55,2.0978437420369927e-93,2.7475224296608697e-40,1.3890510470334627e-116,4.0608854906421193e-85,1.7968080551756492e-124,9.196874430765479e-124,1.061299710368811e-43,3.0639797521929605e-101,2.24482347865036e-66,4.408858617827285e-121,2.3336256459549264e-130,9.29747860991538e-112,5.064138494636616e-188,1.0311218032003494e-151,1.2645347531669867e-64,9.413851446543588e-161,4.4385296002108015e-139,9.84474644094192e-166,3.76,0.0,0.5263441087308794,0.9999999999999988,5.383628191435863e-58,5.825587404637636e-103,2.9565494586882514e-20,1.8794939205003802e-20,8.380049926705797e-21,2.3905054551729132e-21,1.2599999994478796e-15,5.4931453700836764e-42,1.105286547003238e-64,1.4557877856615904e-38,6.659793690953558e-45,6.535792247392109e-40,3.9338161435475005e-102,4.7326115847846785e-101,1.3599802893429616e-44,6.182526406413657e-103,9.777321522370105e-48,2.4149776474808967e-118,3.013041890003272e-101,3.130988527593904e-104,8.75454301896242e-103,2.4624859030161345e-101,2.4835686651952435e-119,3.2506281954171546e-118,3.3198031488374715e-115,3.3234841607375063e-44,2.7475224296608697e-40,2.0971439265226596e-58,2.671597168032491e-23,7.992449791635349e-24,3.7593315862132356e-37,1.684750091493289e-52,1.615484382976487e-37,1.6345533566382158e-41,6.87755685115822e-41,1.87574355255871e-42,4.99389948796879e-41,4.567257284403048e-54,6.700433974131082e-40,4.202571737464492e-45,6.699372674420699e-40,9.67635078678353e-50,9.938620810714894e-62,8.174510704504313e-70,1.6491764557203325e-68
2.9745939502547955e-20,0.4859394508649622,4.0957109652216776e-29,9.808517832857711e-33,1.6836474467107471e-43,8.495389113265588e-43,0.0,0.0,7.933349383594428e-23,4.071325591356729e-40,3.701309712710934e-56,1.1230285159700271e-67,4.217706417365565e-59,2.4501857770106214e-94,1.254912898282787e-68,1.3264555140150612e-54,4.672262583842201e-92,1.3228137790666613e-39,1.5138557792957206e-114,9.059612140624445e-84,4.0630270426998667e-122,2.0929934399721176e-121,5.109701254542247e-43,1.383226921448997e-99,2.203981002988519e-65,4.8049946674070344e-119,2.543316430129859e-128,1.0132846994062258e-109,1.1585912933044077e-184,5.1607750657171205e-149,1.2415277192636962e-63,4.711647045280966e-158,1.010105046012918e-136,5.424113798676706e-163,3.76,0.0,0.5263441087308794,0.9999999999999971,5.285678101977414e-57,3.033371284622944e-101,6.757827334144573e-20,4.2959861040018823e-20,1.9154399832470428e-20,5.464012468956492e-21,2.8799999986496672e-15,2.6447130357957807e-41,1.0851768861078256e-63,7.008991524058314e-38,3.2064039822854874e-44,3.1467026250915636e-39,2.0483299103154564e-100,2.4642610404703013e-99,6.547719671320019e-44,3.2192286822647306e-101,4.707359434936263e-47,2.5101861054718035e-116,1.5688846654370367e-99,1.6302992351279228e-102,4.558472400090942e-101,1.2822113044374377e-99,2.5814812661600112e-117,3.378781471748272e-116,3.4506835895437445e-113,1.6001145597020384e-43,1.3228137790666613e-39,2.0590176106451625e-57,6.106507812645652e-23,1.8268456666594056e-23,1.8099563332297312e-36,1.6540976302768667e-51,7.777861896846901e-37,7.869670796530749e-41,3.3112475700612635e-40,9.030897766278551e-42,2.404347634269663e-40,4.48416058030443e-53,3.2259705292670275e-39,2.023357386183364e-44,3.2254595591415584e-39,4.6779534876564804e-49,9.757796870362458e-61,8.025783083871163e-69,3.258494990412926e-67
6.32101214429144e-20,0.4859394508649622,8.703385806821163e-29,2.0843100395344978e-32,7.352930738239654e-43,3.710159621709256e-42,0.0,0.0,1.685836744013829e-22,1.778054849045076e-39,3.27376652494676e-55,1.9983692409742743e-66,3.730513562592554e-58,4.359974677234054e-93,1.109956247088176e-67,1.1732348805089165e-53,8.802300256374909e-91,5.777075307635539e-39,1.238428023062543e-112,1.6967650892691538e-82,6.846428610783628e-120,3.537066385507119e-119,2.231540781716178e-42,5.222801664867386e-98,1.949396237901918e-64,3.930792141766446e-117,2.0806188024806338e-126,8.289297991617e-108,1.7138762135036487e-181,1.7958554437852167e-146,1.0981172078620876e-62,1.6395705156958054e-155,1.7070323871712692e-134,1.9969887050570958e-160,3.76,0.0,0.5263441087308794,0.9999999999999939,4.675122432566154e-56,1.2105388514017567e-99,1.436038308505722e-19,9.128970471008326e-20,4.07030996439998e-20,1.1611026496489142e-20,6.119999996753411e-15,1.155015665564646e-40,9.598266665255118e-63,3.06101074099848e-37,1.4003208587965e-43,1.3742477076766878e-38,8.174346966187266e-99,9.834218920588648e-98,2.859561204560585e-43,1.2847096594093668e-99,2.0558275386353053e-46,2.00932553720481e-114,6.261006852630585e-98,6.506096278570801e-101,1.8191666707891942e-99,5.116968723385391e-98,2.0663950853224527e-115,2.7046089852425714e-114,2.762164383913663e-111,6.988120671648024e-43,5.777075307635539e-39,1.8211893824671396e-56,1.2976329101871831e-22,3.882047041650797e-23,7.904554825314797e-36,1.4630306219268762e-50,3.396796633079489e-36,3.4368919916082397e-40,1.446108808108191e-39,3.9440303174476843e-41,1.050041779749697e-39,3.966189368928547e-52,1.4088660839645736e-38,8.836533289041259e-44,1.408642929886389e-38,2.0598609126447775e-48,8.630660837513582e-60,7.098714248584971e-68,5.798317916411289e-66
1.301384853236473e-19,0.4859394508649622,1.791873550822666e-28,4.291226552198063e-32,3.069703844385148e-42,1.5489186091736506e-41,0.0,0.0,3.470840355322644e-22,7.423028983966233e-39,2.751798023536989e-54,3.370541812654709e-65,3.135721430400108e-57,7.353734560341192e-92,9.329851055475336e-67,9.861746097611658e-53,1.5434134700071473e-89,2.4118152191142764e-38,8.913056425649673e-111,2.930739736035851e-81,1.0011275237330545e-117,5.179044323390977e-117,9.316243483874374e-42,1.8120325212014382e-96,1.638584997974034e-63,2.8290314291906063e-115,1.4974768424826125e-124,5.965867967549428e-106,2.0927294825463698e-178,5.324683088995251e-144,9.23033679779447e-62,4.861320980875552e-153,2.4994710706642367e-132,6.153257344190211e-158,3.76,0.0,0.5263441087308794,0.9999999999999875,3.929722109283905e-55,4.3024446812164736e-98,2.956549458688251e-19,1.8794939205034973e-19,8.380049926705896e-20,2.3905054551416416e-20,1.2599999991761578e-14,4.8219630384477764e-40,8.067921471104198e-62,1.2779117280399836e-36,5.846063931411239e-43,5.737213658512963e-38,2.9052909416162383e-97,3.4952354316278368e-96,1.1938105124111624e-42,4.566059346529543e-98,8.582675283290303e-46,1.4305415996641972e-112,2.2252598976766368e-96,2.3123685184894866e-99,6.465603273755422e-98,1.8186508282028478e-96,1.4711723291206635e-113,1.9255494404471995e-112,1.9665260722601867e-109,2.917402820398833e-42,2.4118152191142764e-38,1.5308240194004594e-55,2.6715971680323625e-22,7.992449791632182e-23,3.2999960380953667e-35,1.229765391939959e-49,1.418095728235115e-35,1.4348347511430533e-39,6.037219606765826e-39,1.6465550191320176e-40,4.3837177292874853e-39,3.3338211918542467e-51,5.881738564708375e-38,3.68907870066997e-43,5.880806940359877e-38,8.740549667028383e-48,7.254590473915266e-59,5.966897055559836e-67,9.779710811289953e-65
2.6399521308511307e-19,0.4859394508649622,3.634943498386375e-28,8.705059578189639e-32,1.2540741855894328e-41,6.327837932458411e-41,0.0,0.0,7.0408475779404435e-22,3.032549547421852e-38,2.2560902764744653e-53,5.536125048266736e-64,2.5708538821592077e-56,1.2078531096881578e-90,7.64917558095595e-66,8.085255272241111e-52,2.6447376479911576e-88,9.853052127082338e-38,6.0415598699546905e-109,4.8694679043466394e-80,1.3680774817315995e-115,7.08190503659991e-115,3.805989444612972e-41,6.034824850290475e-95,1.3434109806104763e-62,1.9176255920500378e-113,1.0150933066291586e-122,4.0438595675431105e-104,2.3357375554017093e-175,1.464707647034446e-141,7.567587781046503e-61,1.3372576644322872e-150,3.4178150224995634e-130,1.7613521768848606e-155,3.76,0.0,0.5263441087308794,0.9999999999999745,3.221823617785762e-54,1.4491818647433417e-96,5.99757175905331e-19,3.81268766731433e-19,1.6999529851317906e-19,4.849311066071887e-20,2.5559999976980607e-14,1.9699292379887244e-39,6.614569465305055e-61,5.220686379656956e-36,2.3883078680629157e-42,2.343838980309412e-37,9.785820036166625e-96,1.1772915553853031e-94,4.8771054746478684e-42,1.5379745420172517e-96,3.5063028989801437e-45,9.644611107637599e-111,7.495288192496049e-95,7.788694018926905e-98,2.1777932519734054e-96,6.125716862729648e-95,9.918540632806972e-112,1.2981919241223457e-110,1.3258180822582017e-107,1.191854245799878e-41,9.853052127082338e-38,1.2550638535221228e-54,5.419525683722496e-22,1.621325529158936e-22,1.3481560577807235e-34,1.0082359676085686e-48,5.793383763081629e-35,5.8617681334765596e-39,2.466401198990794e-38,6.726714510743157e-40,1.7908917295769414e-38,2.7332680525258296e-50,2.402882120086593e-37,1.5071090208983828e-42,2.402501521142041e-37,3.6860558468623767e-47,5.947751575876842e-58,4.892022710890206e-66,1.6063204490134734e-63
5.317086686080447e-19,0.4859394508649622,7.321083422644232e-28,1.753272563283057e-31,5.069168393138157e-41,2.5578132772741686e-40,0.0,0.0,1.4180862023176713e-21,1.2258050133636729e-37,1.8270403992143244e-52,8.974297270668224e-63,2.0819441296173275e-55,1.9579819406112883e-89,6.194500703434396e-65,6.547649343561642e-51,4.576426544143088e-87,3.982761207383564e-37,3.9780343079469767e-107,7.938461674335217e-79,1.8088431924847458e-113,9.366497360099124e-113,1.5384417859761054e-40,1.969867343503075e-93,1.087929042599807e-61,1.2626718324258472e-111,6.6845510478476886e-121,2.6626587244214247e-102,2.495943682623981e-172,3.885408439717696e-139,6.12842878927632e-60,3.5473827750929664e-148,4.5203873986916495e-128,4.958369663886208e-153,3.76,0.0,0.5263441087308794,0.9999999999999486,2.60911630998577e-53,4.756360004069703e-95,1.2079616359783427e-18,7.679075160958009e-19,3.4238489700542635e-19,9.766922287711537e-20,5.1479999928229484e-14,7.962768944562883e-39,5.356649847314214e-60,2.1102849048639933e-35,9.653922257960351e-42,9.47417190711209e-37,3.211804121138366e-94,3.8639887661405175e-93,1.9714040116018872e-41,5.0477864472219695e-95,1.4173036926934496e-44,6.33345836771056e-109,2.46002863455553e-93,2.5563273653075535e-96,7.147735518361178e-95,2.010521610781865e-93,6.513343403304732e-110,8.525014030929673e-109,8.706430498564602e-106,4.817665431974666e-41,3.982761207383564e-37,1.016383979892001e-53,1.0915382715101857e-21,3.2654866291481354e-22,5.449462337154014e-34,8.164956268519776e-48,2.341778345273825e-34,2.369420401165388e-38,9.969587989960211e-38,2.719045556086007e-39,7.239070709705504e-38,2.213471341013195e-49,9.712833717184251e-37,6.091975628478115e-42,9.71129527539754e-37,1.5831430753367978e-46,4.816643432619541e-57,3.9616868255436e-65,2.603914678118658e-62
1.0671355796539078e-18,0.4859394508649622,1.4693363387681702e-27,3.518805775274356e-31,2.038290336596048e-40,1.028485478409355e-39,0.0,0.0,2.8460890913651943e-21,4.9289080458727644e-37,1.4705610625881517e-51,1.445282909096641e-61,1.6757297637117643e-54,3.153269553757095e-88,4.9858730750338194e-64,5.270117823837542e-50,8.248649787723678e-86,1.601450765366164e-36,2.582176066516794e-105,1.2820636808787944e-77,2.352987275336831e-111,1.2186069855594425e-110,6.186006757701674e-40,6.366270868604974e-92,8.756599415255897e-61,8.196383843281957e-110,4.339935099708594e-119,1.728354533875618e-100,2.610611624491664e-169,1.012417169034852e-136,4.932692652831795e-59,9.24368905665069e-146,5.8811478522502736e-126,1.4308458244475233e-150,3.76,0.0,0.5263441087308794,0.9999999999998967,2.100043814475194e-52,1.5413267566513934e-93,2.4243705561243663e-18,1.5411850148333423e-18,6.87164093989949e-19,1.9602144730107471e-19,1.0331999975397046e-13,3.2017943710992127e-38,4.311497815148418e-59,8.485362777601972e-35,3.881799678563846e-41,3.809522855804727e-36,1.0408042259457136e-92,1.2521485382510124e-91,7.926928829508397e-41,1.6357652192876565e-93,5.698915812762505e-44,4.105616407588276e-107,7.97186908456814e-92,8.28393085263133e-95,2.3162662041893304e-93,6.515214842988382e-92,4.222225515026881e-108,5.52627575980805e-107,5.643877617982656e-104,1.937162088855978e-40,1.601450765366164e-36,8.180745426547193e-53,2.1907096777856975e-21,6.553808829117589e-22,2.1912048381602496e-33,6.571867140038596e-47,9.416187731186478e-34,9.527335222232267e-38,4.008727482934505e-37,1.0933162592505701e-38,2.910798493624843e-37,1.7815943057569905e-48,3.9054877190829513e-36,2.4495566067338145e-41,3.904869118406589e-36,7.115103818346835e-46,3.876853673347111e-56,3.188710216179298e-64,4.193524322109517e-61
2.1379894017456342e-18,0.4859394508649622,2.9437923783843663e-27,7.049872203509405e-31,8.174456063640315e-40,4.124686844300096e-39,0.0,0.0,5.702094869461316e-21,1.9767125771958207e-36,1.1800326406329176e-50,2.319999150572634e-60,1.3446676066597375e-53,5.061695976433624e-87,4.0008491426391116e-63,4.228937652432234e-49,1.6018758255802356e-84,6.422533841073188e-36,1.6642803123749936e-103,2.060879922913516e-76,3.0361695920791242e-109,1.572547759733804e-108,2.4808653852873786e-39,2.0472973054936644e-90,7.026619565049837e-60,5.2831367181808615e-108,2.7984085958091873e-117,1.1139699036376923e-98,2.701681342001675e-166,2.614754825919354e-134,3.9581752069222916e-58,2.3875127727030817e-143,7.589309742721042e-124,4.39942884482886e-148,3.76,0.0,0.5263441087308794,0.999999999999793,1.6851529371991085e-51,4.963317823410875e-92,4.857188396416413e-18,3.087740012343647e-18,1.3767224879591067e-18,3.9272589611365887e-19,2.069999990984254e-13,1.2840627465806119e-37,3.459705468049446e-58,3.4030099819977667e-34,1.5567752873387004e-40,1.5277890509550918e-35,3.35155544823677e-91,4.032117806493759e-90,3.1790530046836863e-40,5.267424660479917e-92,2.285520130935203e-43,2.6444144744380775e-105,2.567068866393731e-90,2.667557730780913e-93,7.458746262669365e-92,2.0980029910614095e-90,2.719522024423144e-106,3.5594566407507216e-105,3.63520363316409e-102,7.76888645356029e-40,6.422533841073188e-36,6.564534167592706e-52,4.3890524903352724e-21,1.3130453229020708e-21,8.787711441313287e-33,5.273509498131026e-46,3.776312429490418e-33,3.820887544631003e-37,1.6076790153855516e-36,4.384687196803797e-38,1.167360384461343e-36,1.4296172305117426e-47,1.5662752525580247e-35,9.823817584012227e-41,1.5660271660190208e-35,3.4545260376918734e-45,3.1109309172941026e-55,2.5587391305569584e-63,6.731535267798502e-60
