Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(923),S(304),S(964),S(1434),S(335),S(220),CF2O(49),S(879),C2H2F3(67),C2H2F3(68),S(133),S(149),CHFCF2(55),C2H3F2(66),C2H3F2(64),C2HF2(72),CF2CH(73),S(234),CF2(43),S(3455),CH2F(46),S(3466),CH2F2(41),C2F(235),S(3986),S(4065),S(3435),C2H3F2(65),CFO(51),F(37),S(4439),CHO2(339),S(215),CHF2(82),S(4798),S(3456)
0.0,0.7739830535863308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9344653273716792,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9146270325145378e-22,0.7739830535863308,1.2828254915649484e-26,1.3415902516597464e-27,3.986327742501765e-38,2.2312358133520595e-41,0.0,0.0,1.0318029013386332e-21,2.236394730423504e-39,2.1390640412240788e-54,3.8977189320426413e-59,3.09979058122662e-57,3.4900897706393833e-67,1.7744752327574263e-44,8.601554854373331e-45,6.370580841223109e-40,2.5218003557686217e-38,3.237281479437673e-107,4.043062541411611e-62,2.251865612045239e-102,7.410347293588082e-103,3.0453286059737747e-38,2.6224249915700887e-92,2.111886287490349e-58,1.2512033939254436e-95,8.562624400701385e-98,7.829660682367998e-92,2.3157437884846806e-94,6.137024599767675e-95,9.508417333561502e-60,4.170307594412152e-112,3.986579569698271e-113,1.4704067830366871e-112,3.76,0.0,0.9344653273716792,0.9999999999999994,4.906644586425771e-53,1.1305025280313943e-55,9.08329416086831e-18,5.6776389541201995e-18,1.659653945730088e-18,1.7460012610180225e-18,4.794574591635649e-16,3.142815395525696e-36,4.4417479954013895e-56,5.821071568339708e-35,2.5391037706198086e-43,1.492357520828181e-37,2.2631857628079645e-92,1.994147085110802e-90,2.5130601644086737e-40,1.966653091191172e-92,6.596959332768117e-42,1.5938569584918882e-110,1.6221383233716121e-90,1.0859167166936995e-93,2.003614609849834e-92,1.0033347455701478e-90,1.079056304454106e-111,9.778674934016007e-111,1.312400049782141e-107,6.17401468745039e-43,2.5218003557686217e-38,1.4201037096060834e-43,7.903011888071248e-22,2.4151454078641445e-22,5.040154418625765e-36,7.893110746739933e-52,2.467131236222999e-36,1.990447802683744e-25,8.84009507870293e-24,3.97533104452215e-38,4.43076896587223e-37,3.3912265990646214e-52,4.812841761044701e-37,2.1095924266153432e-42,5.563902914517465e-21,1.3655275059054898e-47,1.20839594851407e-37,2.225797296188081e-61,1.0577305202060084e-68,7.777254386250146e-73,5.5472278913421746e-39,1.694101179987384e-38,7.925665835741557e-55,9.039139858970276e-24,5.035536727509849e-73,5.257884714938298e-69,9.555120781619846e-42,5.563902914517465e-21,2.027558269781291e-58,8.556985010687437e-39
5.360955691040706e-22,0.7739830535863308,3.59191137742208e-26,3.756452704648134e-27,2.4077419564711032e-37,1.347666431590314e-40,0.0,0.0,2.8890481237481714e-21,1.3507824171757956e-38,2.539496835966867e-53,4.627371953336711e-58,3.680071378194607e-56,4.143434575702565e-66,1.071783040585355e-43,5.195339441033821e-44,3.847830828099494e-39,1.5231674148849505e-37,1.9920299195575195e-105,4.799923849168135e-61,1.1563843259651126e-100,3.540012108076492e-101,1.839378478007909e-37,1.252882802034776e-90,2.5072314005089435e-57,5.977148757197506e-94,4.090468427708033e-96,3.7403228638957543e-90,1.1062585966848625e-92,2.9317302956049237e-93,1.1288393058408939e-58,3.2179962110731613e-110,3.408091531437936e-111,1.1346317480552584e-110,3.76,0.0,0.9344653273716792,0.9999999999999987,5.8251684531778966e-52,1.3421326012791068e-54,2.543322365043127e-17,1.5897389071537235e-17,4.647031048044281e-18,4.888803530849753e-18,1.3424808856572126e-15,1.8982604988975867e-35,5.273243220140688e-55,3.5159272272747735e-34,1.5336186774538535e-42,9.013839425803739e-37,1.0811509971233916e-90,9.526279923224677e-89,1.5178883393034507e-39,9.394937815002559e-91,3.98456343699323e-41,1.3864668412244295e-108,7.749149427345345e-89,5.1875544656552536e-92,9.571507425015912e-91,4.7930504797582025e-89,9.386512246088035e-110,8.506289397483782e-109,1.1416326551282888e-105,3.729104871900115e-42,1.5231674148849505e-37,8.577426406040197e-43,2.2128433286599434e-21,6.762407142019441e-22,3.0442532688499143e-35,9.370711472454114e-51,1.490147266678675e-35,5.573253847529307e-25,2.4752266220369248e-23,2.4010999508910913e-37,2.6761844553865036e-36,4.026164955762318e-51,2.9069564236709593e-36,1.2741938256756464e-41,1.5578928160648907e-20,8.247795543258644e-47,7.298711529024983e-37,2.6424665500370643e-60,2.3661574208158762e-67,1.739782281786895e-71,3.3505256463703804e-38,1.0232371127123856e-37,9.40939686605434e-54,2.5309591605115957e-23,1.1264563485661742e-71,1.176195893877843e-67,5.771292952131374e-41,1.5578928160648904e-20,2.407117177896793e-57,5.16841894645478e-38
1.2253613008093043e-21,0.7739830535863308,8.210083153297245e-26,8.586177610628283e-27,1.1592241075195686e-36,6.488433750112844e-40,0.0,0.0,6.603538568567243e-21,6.503435876071539e-38,2.4932930552924176e-52,4.543181302557532e-57,3.613115901980987e-55,4.068048636655682e-65,5.160173976856641e-43,2.501332615140257e-43,1.852564908628784e-38,7.333395434585498e-37,9.675768824194743e-104,4.712593698282178e-60,5.761215433199079e-99,1.8432773818494513e-99,8.855815586167976e-37,6.52335129554938e-89,2.4616146566999952e-56,3.1122889659562825e-92,2.1298984298846293e-94,1.9475783607351373e-88,5.760265577815625e-91,1.5265458868133848e-91,1.1083011244013663e-57,3.507129688105904e-108,3.566122905241736e-109,1.2365771819362636e-108,3.76,0.0,0.9344653273716792,0.9999999999999969,5.719184930183997e-51,1.3177137466741224e-53,5.81330826295572e-17,3.6336889306374e-17,1.0621785252672807e-17,1.1174408070510377e-17,3.068527738641432e-15,9.139307170189714e-35,5.1773014634403455e-54,1.6927676120695722e-33,7.383713764954679e-42,4.339775670570602e-36,5.62953082743992e-89,4.960314205990689e-87,7.307978958109434e-39,4.8919246425528666e-89,1.9183957739708405e-40,1.4411271276971784e-106,4.03496604116129e-87,2.7011488553515797e-90,4.983864072418432e-89,2.495731447783013e-87,9.756567578890425e-108,8.841642686477818e-107,1.1866405602089664e-103,1.795403472111193e-41,7.333395434585498e-37,4.1296615875636744e-42,5.057927608365554e-21,1.5456930610329378e-21,1.465676904936301e-34,9.200224645772584e-50,7.174417634936229e-35,1.2738865937279735e-24,5.657660850370605e-23,1.1560262677466112e-36,1.2884676152751595e-35,3.952956770909942e-50,1.3995743841117387e-35,6.134694776597104e-41,3.5608978652911784e-20,3.97096809855739e-46,3.514015418278916e-36,2.594389328444529e-59,4.675182861741999e-66,3.4375567049828034e-70,1.613133870801864e-37,4.926446231403397e-37,9.238221966068771e-53,5.785049509740407e-23,2.2257138806494162e-70,2.3239919875329376e-66,2.778629123344465e-40,3.560897865291178e-20,2.363321919295598e-56,2.4883712411072586e-37
2.6038927642197716e-21,0.7739830535863308,1.7446426721691177e-25,1.824562742260208e-26,5.062636232977814e-36,2.8336694880050053e-39,0.0,0.0,1.4032519458205357e-20,2.8402213076378383e-37,2.205289472846736e-51,4.0183925524528e-56,3.1957600986781104e-54,3.5981429499350534e-64,2.2535835455999113e-42,1.092397945443521e-42,8.09063766836475e-38,3.2026864518367494e-36,4.166825813991317e-102,4.168235757720252e-59,2.2627131537570652e-97,7.356039494135538e-98,3.867567329582806e-36,2.6032445272734004e-87,2.1772702869536636e-55,1.2420328257759398e-90,8.499865515122594e-93,7.7722739798975865e-87,2.298770779671947e-89,6.0920439014996374e-90,9.802797934238484e-57,2.869049844131531e-106,2.8635705879949574e-107,1.0115969143073334e-106,3.76,0.0,0.9344653273716791,0.9999999999999934,5.05855430306966e-50,1.1655028863007757e-52,1.2353280058780905e-16,7.721588977605832e-17,2.2571293661930417e-17,2.3745617149820266e-17,6.5206214445975646e-15,3.991375552318656e-34,4.579264513340036e-53,7.392760891754075e-33,3.224661788679144e-41,1.8952940514540993e-35,2.246597972713245e-87,1.97953118665626e-85,3.191586408808249e-38,1.9522387071895498e-87,8.378138352634585e-40,1.1535772322918045e-104,1.6102490253404156e-85,1.077957600453423e-88,1.9889293201504044e-87,9.95980905491614e-86,7.809827466300675e-106,7.077458680190805e-105,9.498686874109464e-102,7.840998663310734e-41,3.2026864518367494e-36,1.803531711229884e-41,1.0748096167776675e-20,3.284597754694664e-21,6.4009961116539835e-34,8.137496318770305e-49,3.133256670002948e-34,2.7070090117017793e-24,1.2022529307039622e-22,5.048670426538688e-36,5.627076586652719e-35,3.496363028983877e-49,6.112309036526149e-35,2.6791823818011602e-40,7.566907963743755e-20,1.734234514263672e-45,1.5346628546128681e-35,2.2947079804940125e-58,8.31928235961241e-65,6.116981025478124e-69,7.0449794220000105e-37,2.1515084985840638e-36,8.17111078181209e-52,1.2293230208196722e-22,3.960559997837774e-69,4.135441569006522e-65,1.2135003393167484e-39,7.56690796374375e-20,2.09033147389457e-55,1.0867370963566352e-36
5.360955691040706e-21,0.7739830535863308,3.591911392505347e-25,3.756452704660368e-26,2.1135509690749515e-35,1.1830012327823633e-38,0.0,0.0,2.88904812374815e-20,1.1857364860705317e-36,1.8536786810205793e-50,3.377701302559713e-55,2.6862289229587925e-53,3.024455953793729e-63,9.408267684061695e-42,4.560548694231711e-42,3.377681962026754e-37,1.3370585486380232e-35,1.8011154984028257e-100,3.5036533094345085e-58,7.98782661738853e-96,2.6144540255962817e-96,1.6146332268837966e-35,9.25225883664513e-86,1.8301268665632772e-54,4.4143791947088855e-89,3.02098533219272e-91,2.762387904760925e-85,8.170191393173002e-88,2.1652078185005931e-88,8.239842326641102e-56,2.0648760105812368e-104,2.041968392115769e-105,7.280536464211202e-105,3.76,0.0,0.934465327371679,0.9999999999999866,4.252019692504272e-49,9.796754027543327e-52,2.543322365043127e-16,1.5897389071547016e-16,4.6470310480447864e-17,4.8888035308394614e-17,1.3424808856460611e-14,1.6663207227086432e-33,3.8491477448487656e-52,3.086332145500094e-32,1.3462328191753984e-40,7.912479575451729e-35,7.984761065774364e-86,7.035563879058625e-84,1.3324244991777569e-37,6.93856213245618e-86,3.4977078382507095e-39,8.212906215127784e-103,5.723077239370867e-84,3.8312301458413827e-87,7.068966317533353e-86,3.5398721324244883e-84,5.560215540105824e-104,5.038804750537126e-103,6.762600914844491e-100,3.273462596471064e-40,1.3370585486380232e-35,7.529389868602881e-41,2.2128433286598504e-20,6.762407142017066e-21,2.6722898727547156e-33,6.840056694029458e-48,1.3080729814451989e-33,5.5732538477442735e-24,2.4752266220384316e-22,2.1077205198016454e-35,2.3491937057009438e-34,2.938910748294475e-48,2.5517687017053413e-34,1.1185059045911621e-39,1.557892816064892e-19,7.240158072184205e-45,6.406915319021596e-35,1.9288403241486083e-57,1.403172107051795e-63,1.0317208604405608e-67,2.9411402279855237e-36,8.982124456293882e-36,6.868314159058529e-51,2.530959160510413e-22,6.680080176418627e-68,6.975044252163926e-64,5.066125038873959e-39,1.5578928160648894e-19,1.757049555806789e-54,4.5369134526604554e-36
1.0875081544682575e-20,0.7739830535863308,7.2864488598075715e-25,7.620232629482289e-26,8.634545343372884e-35,4.832946059618024e-38,0.0,0.0,5.860640479603335e-20,4.844120441886441e-36,1.5197577774278189e-49,2.7692439868248824e-54,2.2023327678444914e-52,2.4796317208468947e-62,3.8435843331465046e-41,1.863134837185063e-41,1.3798932925409777e-36,5.462320442689336e-35,8.364712689777566e-99,2.872506664933192e-57,2.682114078075625e-94,8.806217212232767e-95,6.596303573653813e-35,3.116403193784108e-84,1.5004485768207236e-53,1.4868844888792938e-87,1.0175510606194068e-89,9.304483250486955e-84,2.7519454758792265e-86,7.293016251051223e-87,6.755520569732397e-55,1.3996401965840153e-102,1.3777770366552017e-103,4.934984685652294e-103,3.76,0.0,0.9344653273716788,0.9999999999999728,3.4860626401299584e-48,8.031970846752039e-51,5.1593110833732e-16,3.2248989259446645e-16,9.42683441174917e-17,9.917287162536164e-17,2.7233183679989823e-14,6.807463859332259e-33,3.1557638769400894e-51,1.2608673859601896e-31,5.499800331252117e-40,3.232506084432181e-34,2.6894874347121685e-84,2.3697716804179965e-82,5.4433888385857185e-37,2.33709882069405e-84,1.4289277793292977e-38,5.5370837543024845e-101,1.9276900330734265e-82,1.2904638287639742e-85,2.3810225416743417e-84,1.1923264255607452e-82,3.7486583105975505e-102,3.3971268141228615e-101,4.5592980952132266e-98,1.3373162851209058e-39,5.462320442689336e-35,3.07600143938497e-40,4.4889107524240546e-20,1.371802591665768e-20,1.0917176076914521e-32,5.6078920219730955e-47,5.343904942906476e-33,1.1305743520208787e-23,5.02117400471003e-22,8.610726055642902e-35,9.59722281079968e-34,2.4094993589423594e-47,1.0424807768088525e-33,4.569461579743417e-39,3.160296855445928e-19,2.957898311930919e-44,2.6174339603194136e-34,1.581379833386076e-56,2.3047172280572076e-62,1.69460669125942e-66,1.2015517501728119e-35,3.669490919900527e-35,5.631060187322062e-50,5.134231439889806e-22,1.0972065215587328e-66,1.1456545190878951e-62,2.0696773821706484e-38,3.1602968554459167e-19,1.4405353824422582e-53,1.8534771812498416e-35
2.1903333251966315e-20,0.7739830535863308,1.4675523900931087e-24,1.534779247921253e-25,3.4902212822955223e-34,1.953554085549275e-37,0.0,0.0,1.1803825191313546e-19,1.9580709334327675e-35,1.2307392506226825e-48,2.2426062046382487e-53,1.7835061774662056e-51,2.0080700563269884e-61,1.5536382410776389e-40,7.531104169786452e-41,5.5777493144426685e-36,2.2079572579584677e-34,4.274930531869305e-97,2.3262303720953294e-56,8.789714555608804e-93,2.8902991739395877e-93,2.666331370278759e-34,1.0228327765536305e-82,1.2151021592725582e-52,4.880103773318328e-86,3.3397044676807406e-88,3.053824568005262e-82,9.032160602435265e-85,2.393640958115918e-85,5.470795706144523e-54,9.21585955520994e-101,9.051232399438502e-102,3.249415521353748e-101,3.76,0.0,0.9344653273716782,0.9999999999999452,2.8231039082580395e-47,6.504498234646147e-50,1.0391288520033342e-15,6.495218963531496e-16,1.8986441139161506e-16,1.997425442585689e-16,5.4849933326260716e-14,2.7516857339281313e-32,2.5556194062524243e-50,5.096627569282551e-31,2.2231072281082575e-39,1.3066306426604612e-33,8.827167057598968e-83,7.777827938826472e-81,2.200304800885175e-36,7.67059234202707e-83,5.775954550004656e-38,3.6361123377156672e-99,6.326871706900624e-81,4.235431499403756e-84,7.814754392299633e-83,3.9133347155603595e-81,2.461682600053607e-100,2.230837615921189e-99,2.9940164879691928e-96,5.405646275337854e-39,2.2079572579584677e-34,1.2433689629272232e-39,9.04104559995181e-20,2.7629263465922137e-20,4.412897120914323e-32,4.541416467657105e-46,2.1600918196109385e-32,2.277072286665592e-23,1.0113068770063865e-21,3.480593145341431e-34,3.87935090650007e-33,1.9512761547469217e-46,4.213873978195269e-33,1.847049429936169e-38,6.365104934208013e-19,1.1956762761761683e-43,1.0580086559295943e-33,1.2806423891577099e-55,3.736048204920368e-61,2.7470321347131446e-65,4.856864285780327e-35,1.483266899936131e-34,4.560179042904292e-49,1.0340775998640236e-21,1.7786201297599752e-65,1.8571564691043172e-61,8.365966893302527e-38,6.3651049342079655e-19,1.1665829013126358e-52,7.492051112095413e-35
4.395983666653379e-20,0.7739830535863311,2.94536744092544e-24,3.0802912179018614e-25,1.403402627061625e-33,7.855155186978117e-37,0.0,0.0,2.3690194614733323e-19,7.873317104244586e-35,9.906060208429956e-48,1.8050455845270337e-52,1.4355209375547664e-50,1.6162694794647544e-60,6.2471110358291425e-40,3.0282361423784366e-40,2.2427884675339205e-35,8.878099025032424e-34,2.3798924095946947e-95,1.872352581040127e-55,2.8462588280505427e-91,9.366254464402982e-92,1.0721201170277268e-33,3.3145473301151226e-81,9.780199292921528e-52,1.5814266491006616e-84,1.082251093533595e-86,9.896100119589264e-81,2.926925356340313e-83,7.756735871586298e-84,4.403372332898346e-53,5.9820932083240334e-99,5.868557200621613e-100,2.1092233907551422e-99,3.76,0.0,0.9344653273716772,0.9999999999998899,2.2722796298584158e-46,5.2353860578641555e-49,2.085524339335361e-15,1.3035859038732783e-15,3.810565459400047e-16,4.008818895220762e-16,1.1008343261565238e-13,1.1064407312615933e-31,2.0569848320196723e-49,2.0493315297303498e-30,8.93901638820918e-39,5.253904346493105e-33,2.8604959791683995e-81,2.5204513972882944e-79,8.847328831673394e-36,2.485701064641342e-81,2.322485921034139e-37,2.357082278071286e-97,2.0502604016925186e-79,1.3725167649948168e-82,2.532417634319929e-81,1.2681393866611798e-79,1.59576709734869e-98,1.4461235851242162e-97,1.9408485076529398e-94,2.1735866184738318e-38,8.878099025032424e-34,4.999531915349894e-39,1.8145315295004698e-19,5.545173856438396e-20,1.7744065236911202e-31,3.655327112945636e-45,8.685634202359242e-32,4.5700681565622606e-23,2.0296858300814093e-21,1.3995311955256134e-33,1.5598699374856895e-32,1.57055724726301e-45,1.6943801933396692e-32,7.426904521579818e-38,1.2774721091732226e-18,4.808135556618378e-43,4.254206272581701e-33,1.030772408229599e-54,6.016792266222759e-60,4.4240118961275094e-64,1.9529237680354335e-34,5.9641509681971374e-34,3.6704290233585054e-48,2.075386511610768e-21,2.8644137478826748e-64,2.990894139331536e-60,3.363918494245287e-37,1.2774721091732041e-18,9.389674097314937e-52,3.012520800918526e-34
8.807284349566875e-20,0.7739830535863316,5.900997713020611e-24,6.171315158001316e-25,5.62827222169521e-33,3.150268664183168e-36,0.0,0.0,4.746293346157029e-19,3.157552301516096e-34,7.94898945580934e-47,1.4484370226273578e-51,1.1519151534971471e-49,1.296954468151882e-59,2.505370934196098e-39,1.2144679829083843e-39,8.994584866704736e-35,3.5605147919382305e-33,1.4074144977833957e-93,1.5024450298132813e-54,9.162094864582995e-90,3.0161270411986774e-90,4.299681186643532e-33,1.0673365575167603e-79,7.847993997306919e-51,5.0924457900900264e-83,3.485020963857793e-85,3.1867019200656595e-79,9.425166015371094e-82,2.4977925442720645e-82,3.533428982646029e-52,3.855616243981962e-97,3.780293787008739e-98,1.3594498948692936e-97,3.76,0.0,0.9344653273716751,0.9999999999997794,1.8233612997928986e-45,4.201067598440957e-48,4.178315313999411e-15,2.6117139189245847e-15,7.634408150373553e-16,8.031605800374622e-16,2.205504311818353e-13,4.437322200092161e-31,1.6506007833227873e-48,8.218736019379613e-30,3.584945378786251e-38,2.1070506296061338e-32,9.211252836873482e-80,8.116255100489727e-78,3.5481745681429654e-35,8.004353493715878e-80,9.314207300950605e-37,1.5181892018180624e-95,6.602165175864669e-78,4.419722676426727e-81,8.154788291600087e-80,4.083610886610396e-78,1.0278285142284333e-96,9.314436037495595e-96,1.250094353650608e-92,8.717054709451879e-38,3.5605147919382305e-33,2.0050359082056569e-38,3.6353854685100023e-19,1.1109668876103926e-19,7.116163782700959e-31,2.933169821849853e-44,3.4833277896251393e-31,9.156059898784566e-23,4.066443736248481e-21,5.612746049592611e-33,6.255776118095863e-32,1.2602734568435704e-44,6.795222405342974e-32,2.978520889570301e-37,2.5593953406780843e-18,1.9285772593917024e-42,1.7061269893313051e-32,8.271299419307657e-54,9.658285551819996e-59,7.101519927258499e-63,7.83209777623223e-34,2.3918912914206135e-33,2.94528821693597e-47,4.15800433509089e-21,4.5980191254147787e-63,4.801048195404801e-59,1.3490817721730052e-36,2.5593953406780096e-18,7.534622127474735e-51,1.2081555794405416e-33
