Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(923),S(304),S(964),S(1434),S(335),S(220),CF2O(49),S(879),C2H2F3(67),C2H2F3(68),S(133),S(149),CHFCF2(55),C2H3F2(66),C2H3F2(64),C2HF2(72)
0.0,0.7426967404457248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.684573963701874,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6542803845964312e-22,0.7426967404457248,8.660503423798527e-27,1.314671440842394e-27,7.409168262269323e-42,1.011998100102914e-41,0.0,0.0,7.199851622762414e-22,1.061700414134445e-39,8.766553565262043e-55,1.3248764500173863e-76,1.8158010805431898e-57,3.286331055467176e-108,1.7760237192723443e-85,2.2228302767357696e-84,1.300255070524714e-85,1.5730614016803244e-38,-1.6682011984795334e-119,8.257750407002622e-75,-2.269352502614499e-115,-1.415138952184126e-135,4.0546221811682854e-88,3.131679013329326e-97,3.17485546910596e-61,6.744016939709975e-122,4.1113328266295395e-122,1.3485326302841577e-139,-5.249522331339733e-185,2.1964253766519715e-148,4.2321641643886454e-60,2.610935586066149e-158,5.3665047068754024e-133,2.069177798683107e-157,3.76,0.0,0.684573963701874,0.9999999999999996,6.084793861531042e-57,4.50427666961197e-122,6.141202623927782e-18,3.836145380531911e-18,1.1182977593522871e-18,1.1867594840435846e-18,4.241991402985101e-16,2.000985966198869e-36,2.63478902580368e-56,3.5714996613061225e-35,1.56620011635023e-43,6.852764755603775e-38,8.241605166567108e-93,7.377430335645297e-91,1.6315653072406948e-40,7.264452817068087e-93,4.400985116568288e-42,5.185754964779796e-111,6.024885169708542e-91,4.000845994386211e-94,7.366781488009454e-93,3.7330287926416203e-91,3.5059147908430085e-112,3.1660082279617418e-111,4.259505154857385e-108,3.787662584263649e-43,1.5730614016803244e-38,3.7353270090385746e-57,5.51444389698282e-22,1.6854943308137743e-22,3.07455619824972e-36,3.2519156295330954e-52,1.5570872746941504e-36,2.0840556865545203e-37,2.93540703145011e-37,2.4570530192188814e-38
4.631985076870008e-22,0.7426967404457248,2.4249409591718388e-26,3.681080034359251e-27,4.475137630594103e-41,6.112468525690627e-41,0.0,0.0,2.0159584543734747e-21,6.412670501372044e-39,1.0407652392681018e-53,2.9636956236314125e-75,2.1557190428216606e-56,1.8927586276323577e-106,5.584102737726145e-84,5.0190175572288536e-83,3.067032665423652e-84,9.501290866152964e-38,8.644933567241055e-118,2.5963688519682447e-73,1.1760213123976291e-113,1.305937226550113e-133,1.274838087838351e-86,1.905153169748698e-95,3.769188412923928e-60,5.2039856026541976e-120,3.172488596745962e-120,1.8537685472749895e-137,5.2122865278413616e-182,4.082413951663699e-146,5.024425295964013e-59,5.907541539337691e-156,5.718476072622654e-131,4.677448762646186e-155,3.76,0.0,0.684573963701874,0.9999999999999988,7.223868007075371e-56,1.1615114338558694e-119,1.719536734699779e-17,1.074120706548975e-17,3.1312337261864248e-18,3.3229265553216162e-18,1.187757592835241e-15,1.2085955235841538e-35,3.128021531434211e-55,2.1571857954276223e-34,9.459848702752668e-43,4.13906991238551e-37,3.937113687333874e-91,3.52428700050184e-89,9.854654455737218e-40,3.4703162841508605e-91,2.6581950104082777e-41,4.51099282597166e-109,2.8781599441919254e-89,1.9112521416713283e-92,3.519199918203178e-91,1.7833126505904588e-89,3.049730767722703e-110,2.754052302953113e-109,3.7052651592868153e-106,2.2877482012691107e-42,9.501290866152964e-38,4.435929926423265e-56,1.544044291155185e-21,4.719384126278467e-22,1.8570319437428054e-35,3.860678661414343e-51,9.404807139152574e-36,1.2587696346789586e-36,1.7729858469958658e-36,1.484060023608051e-37
1.058739446141716e-21,0.7426967404457248,5.542722194788815e-26,8.413897221395152e-27,2.1545861309430665e-40,2.9428904767028132e-40,0.0,0.0,4.607905038567937e-21,3.087424804302961e-38,1.0218294835675293e-52,5.855763126871269e-74,2.1164977394835337e-55,8.487924242433814e-105,1.2457826031388571e-82,9.957966240054924e-82,6.2000044523966924e-83,4.57446255609198e-37,9.073209447046013e-116,5.792356082690766e-72,1.2342822071345897e-111,2.784038323103084e-131,2.8440936462763874e-85,8.600772090488072e-94,3.7006115347939585e-59,5.671558073243017e-118,3.4575332614095964e-118,4.128891290330336e-135,5.4410576660673876e-179,9.314001473833787e-144,4.9330105500169266e-58,2.8014420735094297e-153,1.3013892738260993e-128,2.2180427472775827e-152,3.76,0.0,0.684573963701874,0.9999999999999972,7.09243676868145e-55,1.0808215981361971e-117,3.93036967931378e-17,2.455133043540703e-17,7.157105659854784e-18,7.595260697875996e-18,2.7148744979063547e-15,5.818867189706863e-35,3.0711100884770226e-54,1.0385921015059064e-33,4.55450993834236e-42,1.9927839909308026e-36,2.0500469345122278e-89,1.8350889345544138e-87,4.744591913460986e-39,1.8069864944475072e-89,1.279806471899573e-40,4.688834915527794e-107,1.4986519158946372e-87,9.951850277316826e-91,1.8324401013517436e-89,9.285671999708112e-88,3.1699638324242672e-108,2.8626284934279626e-107,3.8513421148002305e-104,1.1014522800539512e-41,4.57446255609198e-37,4.3558137375734884e-55,3.5292440940689744e-21,1.078716371720745e-21,8.940809424509797e-35,3.7904391427500587e-50,4.528009794810447e-35,6.060433936500962e-36,8.536163647456914e-36,7.1451101798862035e-37
2.2498213230511463e-21,0.7426967404457248,1.1778284674154783e-25,1.7879531595475715e-26,9.409643695925232e-40,1.2852375887876908e-39,0.0,0.0,9.791798206956847e-21,1.34835952595074e-37,9.037966063654762e-52,1.0420017612051812e-72,1.8720182820017875e-54,3.193369263876429e-103,2.3332129439456287e-81,1.7753362626618357e-80,1.114703037443431e-81,1.997787980139747e-36,7.243995115095729e-114,1.0848441890415039e-70,9.854433908122732e-110,4.4525118978164205e-129,5.326672641441076e-84,3.247487891953786e-92,3.273148994437911e-58,4.639686652055227e-116,2.8284768867214783e-116,6.8392622862647345e-133,3.869292051300505e-176,1.5575420763438612e-141,4.3631919669296135e-57,9.725673476135534e-151,2.199288050773143e-126,7.700294308147e-150,3.76,0.0,0.684573963701874,0.9999999999999941,6.273180131433511e-54,8.278000146568527e-116,8.352035568541783e-17,5.217157717524798e-17,1.5208849527191843e-17,1.6139928982978022e-17,5.769108308039187e-15,2.5412521770731335e-34,2.716362094043092e-53,4.535804569838996e-33,1.989074147760532e-41,8.703011239629361e-36,8.181199158890528e-88,7.323358209548535e-86,2.0720879402008555e-38,7.211208748272159e-88,5.589251098057228e-40,3.7532658296218554e-105,5.980726385987825e-86,3.971522200174176e-89,7.312787411609682e-88,3.705667937382679e-86,2.53745699042859e-106,2.2914446554095656e-105,3.0828790132586346e-102,4.810331487648996e-41,1.997787980139747e-36,3.852902806094582e-54,7.499643699896484e-21,2.292272289906381e-21,3.904686371776745e-34,3.3526012666498824e-49,1.977500838861424e-34,2.6467507219246733e-35,3.727966929941632e-35,3.1204573344055983e-36
4.631985076870008e-21,0.7426967404457248,2.4249409665414774e-25,3.681080034367186e-26,3.9283410152140653e-39,5.3656139416585556e-39,0.0,0.0,2.0159584543734607e-20,5.629135595740783e-37,7.596955054821103e-51,1.7574882724543884e-71,1.5735441635904373e-53,1.1057623953564519e-101,4.030045137431654e-80,2.9971062825241204e-79,1.8894244873091385e-80,8.340371551760484e-36,5.159991766977838e-112,1.8737985548733084e-69,7.019441215883437e-108,6.348031403089172e-127,9.200502351607653e-83,1.1267044107263292e-90,2.7512789518549465e-57,3.339216180274535e-114,2.0356753578029934e-114,9.907091890987742e-131,2.3191526224230773e-173,2.2662938988007685e-139,3.6675257502533357e-56,2.8877376872206493e-148,3.220240436081174e-124,2.2863660287446676e-147,3.76,0.0,0.6845739637018738,0.999999999999988,5.272985940319163e-53,5.784910740207462e-114,1.719536734699779e-16,1.0741207065495543e-16,3.131233726186731e-17,3.322926555315514e-17,1.1877575928267276e-14,1.0609227592791532e-33,2.2832660131380166e-52,1.893609120406704e-32,8.303993016850519e-41,3.633335873432391e-35,2.9077263181315445e-86,2.6028362088872987e-84,8.65055925903654e-38,2.5629765338458123e-86,2.3334023088183933e-39,2.6721418727967203e-103,2.1256438299854725e-84,1.411541193435911e-87,2.599079181756714e-86,1.3170524245225721e-84,1.806545388026547e-104,1.6313966265298508e-103,2.1948592170367736e-100,2.008218707225896e-40,8.340371551760484e-36,3.2386900911595426e-53,1.544044291155123e-20,4.719384126277009e-21,1.6301296963116414e-33,2.81806367939029e-48,8.255676730427065e-34,1.1049663250115955e-34,1.5563528080748415e-34,1.3027295107877073e-35
9.39631258450773e-21,0.7426967404457248,4.919165977804701e-25,7.467333784020426e-26,1.604855484447094e-38,2.192028377373176e-38,0.0,0.0,4.0895157217289886e-20,2.2996855650317368e-36,6.228442742653391e-50,2.886679764921836e-70,1.2900865748533403e-52,3.678941156965816e-100,6.695980289679031e-79,4.924973745464175e-78,3.110918580980692e-79,3.407313918539082e-35,3.4811203983517457e-110,3.113344323952598e-68,4.735573455889909e-106,8.568638011286818e-125,1.5286772307014486e-81,3.752396105806972e-89,2.255664710016855e-56,2.263429457694259e-112,1.379847042614027e-112,1.347340401097961e-128,1.2826837174264584e-170,3.088817861655795e-137,3.0068591926486052e-55,7.952363017622011e-146,4.403405234143175e-122,6.2962869151894414e-145,3.76,0.0,0.6845739637018736,0.9999999999999758,4.3231124772488426e-52,3.8668982515626304e-112,3.488203090390979e-16,2.178930576144726e-16,6.351931273122363e-17,6.740793869340164e-17,2.409451116857314e-14,4.33421564222974e-33,1.871959426693457e-51,7.736011126224783e-32,3.3924520999867125e-40,1.484336257132324e-34,9.79402305436843e-85,8.767069196751558e-83,3.534035718134826e-37,8.632810833646398e-85,9.532709802008876e-39,1.8015393047825062e-101,7.159753841408918e-83,4.754459491068798e-86,8.754414494795303e-85,4.4361952942390346e-83,1.2179602271616149e-102,1.0998761608813155e-101,1.4797586865592962e-98,8.204228706680649e-40,3.407313918539082e-35,2.6553108694626812e-52,3.13220413348596e-20,9.573607799015689e-21,6.659611707653776e-33,2.31041898612715e-47,3.3727133204774e-33,4.514147979307843e-34,6.3582090464021356e-34,5.322075121730716e-35
1.8924967599783172e-20,0.7426967404457248,9.907616052376048e-25,1.503984128338295e-25,6.48708247151467e-38,8.860529229350237e-38,0.0,0.0,8.236630256439941e-20,9.295696741945553e-36,5.043954416315077e-49,4.679432294441905e-69,1.0447455560821787e-51,1.200256504310825e-98,1.0916137913626123e-77,7.985379525410997e-77,5.048996013732229e-78,1.3772907641540957e-34,2.2869540374083107e-108,5.075537015586601e-67,3.11107851292218e-104,1.1260771341670419e-122,2.4921297188159162e-80,1.2248445863327878e-87,1.8266957642501464e-55,1.4903435917525453e-110,9.085532533083388e-111,1.7771148969966712e-126,6.823087414875026e-168,4.078471044370559e-135,2.435032532325375e-54,2.110842586404154e-143,5.823924186728782e-120,1.671261191960589e-142,3.76,0.0,0.6845739637018733,0.9999999999999514,3.50096858094562e-51,2.5289057627888877e-110,7.025535801773379e-16,4.388550315339159e-16,1.2793326366995795e-16,1.3576528497346368e-16,4.852838164858363e-14,1.7519592607370587e-32,1.5159612775633441e-50,3.1270193853332662e-31,1.3712833794434343e-39,5.999924476317644e-34,3.214496433436896e-83,2.877439894466259e-81,1.4285137416561844e-36,2.833374955478983e-83,3.853273716937512e-38,1.18304139573498e-99,2.3499029009010444e-81,1.5604612110929818e-84,2.873286494665181e-83,1.456003714904071e-81,7.998145603942478e-101,7.222706854351135e-100,9.717333267610193e-97,3.3162804353839703e-39,1.3772907641540957e-34,2.150354369209007e-51,6.308523818147192e-20,1.9282055144482747e-20,2.691921530262638e-32,1.871037245101391e-46,1.3633046491829943e-32,1.824690788254144e-33,2.5700897555720304e-33,2.1512678568561226e-34
3.798227763033406e-20,0.7426967404457249,1.9884516409698333e-24,3.0184856282332165e-25,2.6084273378600085e-37,3.5627798755792643e-37,0.0,0.0,1.6530859325861454e-19,3.7377587759766363e-35,4.059813328417602e-48,7.536081451428606e-68,8.40902114364697e-51,3.8780306209786684e-97,1.762959209339173e-76,1.286163995370754e-75,8.136118139905055e-77,5.538025587361e-34,1.4828432372505538e-106,8.197005837648778e-66,2.0171991610665973e-102,1.4604285646621193e-120,4.0247961997338886e-79,3.9584860530641564e-86,1.4702836700431458e-54,9.673947622486963e-109,5.897496813632627e-109,2.308909435940453e-124,3.5604508658713074e-165,5.301770403819977e-133,1.9599260251054566e-53,5.502029011507946e-141,7.577084534705975e-118,4.356236459377904e-140,3.76,0.0,0.6845739637018726,0.9999999999999025,2.8178841018906543e-50,1.6360411957095936e-108,1.4100201224538173e-15,8.807789793744388e-16,2.5676116554751314e-16,2.724799775318639e-16,9.739612260619966e-14,7.044551133470732e-32,1.220177521835645e-49,1.2573607416608982e-30,5.513870157398407e-39,2.4125432433327917e-33,1.04167668549012e-81,9.324515095551272e-80,5.743990927014284e-36,9.18172004095407e-82,1.5493844143064629e-37,7.668976228211855e-98,7.615000095991758e-80,5.056767353307359e-83,9.31105575709282e-82,4.718266624759333e-80,5.184737298902082e-99,4.682065003723343e-98,6.299187678640917e-95,1.3334617918610396e-38,5.538025587361e-34,1.7307981781950284e-50,1.2661163187467884e-19,3.8698949835375657e-20,1.0824098078165728e-31,1.5059735707825314e-45,5.481788034044285e-32,7.337001406764608e-33,1.0334217870500961e-32,8.650153436159734e-34
7.609689769143584e-20,0.742696740445725,3.9838317957061286e-24,6.04748862811273e-25,1.0460960330925569e-36,1.4288341134053957e-36,0.0,0.0,3.311931746470288e-19,1.499008444513742e-34,3.257744518023349e-47,1.2097079720114887e-66,6.747709886453044e-50,1.2469569812047117e-95,2.83390550552371e-75,2.0646928337371032e-74,1.3064170411353862e-75,2.2209959548970584e-33,9.552099143645486e-105,1.3176447481359298e-64,1.299428433434908e-100,1.8816384896436482e-118,6.469742493579162e-78,1.2729897912794618e-84,1.179810050034222e-53,6.235113391447999e-107,3.801091631245416e-107,2.977484170906083e-122,1.8403129615880633e-162,6.838789440650525e-131,1.5727172033936239e-52,1.4212423481434477e-138,9.777825880445205e-116,1.125270035131598e-137,3.76,0.0,0.6845739637018712,0.9999999999998048,2.261174540704733e-49,1.0527170913100077e-106,2.8249532070067727e-15,1.7646268750620285e-15,5.144169693029695e-16,5.459093626417692e-16,1.9513160451181188e-13,2.825180079783717e-31,9.791156171804395e-49,5.042578941990061e-30,2.211308546899192e-38,9.675377442359505e-33,3.3543649052668687e-80,3.002642434813353e-78,2.3035972681115867e-35,2.9566601524136103e-80,6.213724480801243e-37,4.939563207840842e-96,2.452151366061292e-78,1.6283596609199705e-81,2.9983083137552743e-80,1.5193570326294846e-78,3.3394728111847597e-97,3.0157031839470256e-96,4.057286758077609e-93,5.347778305620006e-38,2.2209959548970584e-33,1.3888588966387489e-49,2.5366441926102177e-19,7.753273921699665e-20,4.340947448955204e-31,1.2084489553886623e-44,2.198442180611014e-31,2.942465719529894e-32,4.14448357526189e-32,3.469098415419469e-33
