Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(923),S(304),S(964),S(1434),S(335),S(220),CF2O(49),S(879),C2H2F3(67),C2H2F3(68),S(133),S(149),CHFCF2(55),C2H3F2(66),C2H3F2(64),C2HF2(72),CF2CH(73),S(234),CF2(43),S(3455),CH2F(46),S(3466),CH2F2(41),C2F(235),S(3986),S(4065),S(3435),C2H3F2(65),CFO(51),F(37),S(4439),CHO2(339),S(215),CHF2(82),S(4798),S(3456),CHF3(42),S(221),CFO3(4550)
0.0,0.4493166992074623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5865454000646736,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3164916459296888e-20,0.4493166992074623,6.327203775027142e-31,3.126788007777802e-35,4.300843203798911e-39,5.810976725362172e-45,0.0,0.0,4.7622360343299215e-24,6.883613764086028e-42,2.044311805984838e-56,1.4251146553307545e-56,4.057058306248753e-62,6.3888012856174e-82,1.2503648941697945e-54,2.174487170657702e-43,6.493173340823065e-49,9.885597839457169e-42,9.10089471452831e-104,5.017682383576226e-79,1.1656365542970504e-99,5.7964574719330944e-99,1.1078743945198628e-31,1.1866015552736144e-96,1.219026499866226e-67,4.516150532300609e-107,7.367116762104126e-115,3.779224140668144e-92,1.6676531755305556e-109,1.7003877082674458e-107,3.780225878907606e-67,1.6458278540127008e-121,1.1660031999859582e-120,2.417724460366445e-123,3.76,0.0,0.5865454000646736,0.9999999999999994,8.691644781582768e-53,2.3335744637763098e-64,1.9018150582359347e-21,1.1822463448811608e-21,6.0638665120959995e-22,1.131820621451741e-22,4.873397172171505e-16,1.6189456094407428e-44,2.027545977190094e-68,1.8720243550020405e-40,2.5724056726278665e-46,4.3203843700200904e-39,7.606295377357021e-107,5.409669455991736e-106,1.054865348385645e-46,7.823189552013276e-108,2.6727237548142465e-50,6.862367354673959e-123,3.4653573078368e-106,3.4764160861096024e-109,1.1348809903376001e-107,3.308964307616499e-106,8.265101695921464e-124,1.1699406734527851e-122,1.120608713373661e-119,1.581136010639186e-45,9.885597839457162e-42,5.518698324849694e-50,3.670823409264321e-24,1.091413257785804e-24,2.4103509540330366e-38,9.602613996014882e-54,4.0474364934362233e-38,3.9162982263618686e-33,1.8205820483823838e-30,1.1859216253136556e-44,4.034371127230302e-43,6.189407039957727e-56,1.3175552701416282e-41,1.4699844568274787e-46,1.0162895637425204e-24,3.9643746990029124e-51,2.8317837886041836e-41,1.6016044730907e-73,4.029211281764622e-70,1.210818839593689e-74,3.4731245164123663e-38,5.220638038426259e-45,6.564202909554744e-62,1.8244983466047808e-30,1.3013856741322673e-74,4.173878067329296e-71,7.651844893877826e-49,1.0162895637425245e-24,1.3640653635448493e-62,3.434876979168664e-38,1.1078743945220362e-31,4.1141452169694403e-47,1.440724847752384e-78
3.686176608603129e-20,0.4493166992074623,1.7716170574091606e-30,8.75500642211675e-35,2.5977092950944787e-38,3.509829942786735e-44,0.0,0.0,1.3334260896123904e-23,4.157702713507993e-41,2.4270069760625025e-55,1.691896118805498e-55,4.8165396213057735e-61,7.584784886264169e-81,7.552203960773188e-54,1.3133902510745627e-42,3.921876697861558e-48,5.970901095128459e-41,5.536518378500975e-102,5.95699252592395e-78,5.5683856962496486e-98,2.7690372918240525e-97,3.1020483046485806e-31,7.216044225744408e-95,1.447228260643342e-66,2.157419808603233e-105,3.527534161257173e-113,1.1882485389568127e-90,7.96742055921086e-108,8.122956128913796e-106,4.4878841635041353e-66,1.269994505480435e-119,8.997403082293651e-119,1.8656245077927147e-121,3.76,0.0,0.5865454000646736,0.9999999999999987,1.0318720684694835e-51,2.7704196033980984e-63,5.3250821630606166e-21,3.3102897656677683e-21,1.6978826233868807e-21,3.1690977400596887e-22,1.3645512081504717e-15,9.77843148102335e-44,2.4071025841203617e-67,1.1307027103589591e-39,1.5537330262418507e-45,2.6095121594922267e-38,3.633618577330998e-105,2.58426401515701e-104,6.371386704394573e-46,3.7372315274557174e-106,1.6143251478851607e-49,5.969447094214322e-121,1.6554427702386447e-104,1.6607256813480084e-107,5.421462676771629e-106,1.5807319573211993e-104,7.189659886992699e-122,1.017709864877852e-120,9.747961140554966e-118,9.550061504766619e-45,5.970901095128451e-41,3.333293788331184e-49,1.0278305545939884e-23,3.055957121800026e-24,1.455851976235864e-37,1.1400223336076473e-52,2.444651642035406e-37,1.0965635034293438e-32,5.097629735472951e-30,7.162966616883709e-44,2.4367601608434157e-42,7.34806437352755e-55,7.958033831655194e-41,8.878706119238502e-46,2.8456107784790432e-24,2.426333599628475e-50,1.7103974083169265e-40,1.9014248304534754e-72,9.013184862208308e-69,2.708553429610398e-73,2.097767207912645e-37,3.153265375209222e-44,7.793021797765517e-61,5.108595370483298e-30,2.9111478245117594e-73,9.336798688777767e-70,4.6217143288477003e-48,2.8456107784790686e-24,1.6194184037541337e-61,2.074665695417637e-37,3.102048304661708e-31,2.4849437111572167e-46,3.222843896295744e-77
8.425546533950009e-20,0.4493166992074623,4.049410418828296e-30,2.001144325215027e-34,1.2506852036646284e-37,1.6898320327372941e-43,0.0,0.0,3.047831061971236e-23,2.0017548825962653e-40,2.382849841047565e-54,1.6611136422436884e-54,4.728907162153971e-60,7.446786778451136e-80,3.636061112227206e-53,6.323408692232258e-42,1.8882148075179888e-47,2.874731851855888e-40,2.499449047146525e-100,5.848610586721514e-77,2.899446887551818e-96,1.4418319770295678e-95,7.090396124877879e-31,3.258333832667168e-93,1.4208972882507213e-65,1.1233647767305276e-103,1.833316966719749e-111,2.650917138393342e-89,4.1483480869065014e-106,4.229606415678423e-104,4.4062312846524896e-65,1.3841021363106027e-117,9.805809996003594e-117,2.033248849482969e-119,3.76,0.0,0.5865454000646736,0.9999999999999969,1.0130981157412166e-50,2.720014394986545e-62,1.2171616372709981e-20,7.566376607243055e-21,3.8808745677414445e-21,7.243651977254841e-22,3.1189741897869148e-15,4.7078938322555765e-43,2.3633075910136485e-66,5.4438468234118356e-39,7.480555695618147e-45,1.2563677748019769e-37,1.892017659968003e-103,1.3456209149514973e-102,3.067548433319247e-45,1.945968708471588e-104,7.772280678644354e-49,6.204787513735294e-119,8.61985618370385e-103,8.647364192590036e-106,2.822944376175679e-104,8.230838529802603e-103,7.47310616643713e-120,1.0578322182902487e-118,1.013226940672716e-115,4.597943519675415e-44,2.874731851855881e-40,1.6048374730492454e-48,2.349326981929014e-23,6.985044849827574e-24,7.00930057432672e-37,1.1192806873764666e-51,1.1769945322911444e-36,2.506430865207742e-32,1.16517251096632e-29,3.448660086395955e-43,1.1731951237930415e-41,7.214373322436959e-54,3.831450725571496e-40,4.274714800455076e-45,6.504253207952032e-24,1.2006170846160988e-49,8.234827257260962e-40,1.8668301738351263e-71,1.7808534815389778e-67,5.351645260521133e-72,1.0099846093720792e-36,1.518161541573999e-43,7.651235058233839e-60,1.1676789418199983e-29,5.751937652734045e-72,1.8447941215887274e-68,2.2251565145544133e-47,6.504253207952155e-24,1.589954600622067e-60,9.988622255418937e-37,7.090396124941078e-31,1.196393429253149e-45,6.367796482571805e-76
1.7904286384643768e-19,0.4493166992074623,8.604997148091536e-30,4.252431691763979e-34,5.4620708688236384e-37,7.379940451563693e-43,0.0,0.0,6.476641006689123e-23,8.742189480389752e-40,2.107603699480566e-53,1.4692362050391324e-53,4.182664832226041e-59,6.586598573284649e-79,1.5879634155764637e-52,2.761598706693596e-41,8.246330142913926e-47,1.255470925756245e-39,9.437444024394252e-99,5.173029831051492e-76,1.1570931395729653e-94,5.753972925654898e-94,1.5067091765223914e-30,1.2303925740748364e-91,1.2567675603160005e-64,4.483059988930178e-102,7.311376347068055e-110,4.964874467334546e-88,1.6554588134611977e-104,1.6879248893095343e-102,3.8972616725301424e-64,1.1322814866254507e-115,8.021761418589518e-115,1.6633238038515422e-117,3.76,0.0,0.5865454000646736,0.9999999999999933,8.96073810401908e-50,2.405821929193471e-61,2.586468479200871e-20,1.607855029040191e-20,8.246858456450586e-21,1.5392760451562163e-21,6.627820152139003e-15,2.056060923991703e-42,2.090318800645736e-65,2.377470929887357e-38,3.266955203839522e-44,5.486888149926893e-37,7.550545808557339e-102,5.37001983327905e-101,1.3396789926687614e-44,7.765850281966039e-103,3.3943591682393896e-48,4.9667385126368285e-117,3.439958323487617e-101,3.4509360479366e-104,1.1265629957577213e-102,3.2847115899332785e-101,5.981987959401086e-118,8.467616346125002e-117,8.110566224072936e-114,2.008042734262603e-43,1.2554709257562387e-39,7.008746874449639e-48,4.99231983659872e-23,1.4843220305879075e-23,3.061145711620561e-36,9.899910925339101e-51,5.1402443466628756e-36,5.326165589532873e-32,2.4759915858080155e-29,1.5061204641316476e-42,5.12365133152534e-41,6.381031561899158e-53,1.673295193079498e-39,1.8668802601716775e-44,1.382153806689779e-23,5.5284507299090866e-49,3.5963654115273114e-39,1.6511901475788593e-70,3.1689336505214136e-66,9.522966896015679e-71,4.410868135837125e-36,6.630210308797658e-43,6.767430779175697e-59,2.4813177513471964e-29,1.0235265825327669e-70,3.282712603963758e-67,9.717843215827516e-47,1.3821538066898327e-23,1.4062968542337544e-59,4.3622937635405486e-36,1.5067091765499923e-30,5.224964427174002e-45,1.1331153641486846e-74
3.6861766086031287e-19,0.4493166992074623,1.7716170632317902e-29,8.755006427030874e-34,2.2803070666533027e-36,3.080979869105385e-42,0.0,0.0,1.3334260896125688e-22,3.649692017718859e-39,1.7715679020457007e-52,1.2349815584376593e-52,3.515781816738812e-58,5.536432973049688e-78,6.6294346687156695e-52,1.1529130978451963e-40,3.442680505366159e-46,5.2413439757813525e-39,3.274287745407691e-97,4.3482432722749267e-75,4.112490246237783e-93,2.045052098616501e-92,3.102048304546576e-30,4.268972802931179e-90,1.0563888603852821e-63,1.593354044963454e-100,2.5978380615436787e-108,8.575586136700869e-87,5.883703354093249e-103,5.999149425761796e-101,3.275883263790596e-63,8.149112093517497e-114,5.773319952607168e-113,1.1971062221311494e-115,3.76,0.0,0.5865454000646736,0.9999999999999863,7.53204030140041e-49,2.022238293150961e-60,5.325082163060617e-20,3.310289765675276e-20,1.6978826233868917e-20,3.16909773998449e-21,1.3645512073159993e-14,8.583649621272455e-42,1.7570389031006322e-64,9.925473121533709e-38,1.363889487268619e-43,2.290667792985887e-36,2.683582240025368e-100,1.9085891560105733e-99,5.592896079103372e-44,2.7601048231167158e-101,1.4170781344621185e-47,3.5360751282103144e-115,1.2226150660819545e-99,1.2265167214404485e-102,4.003981334875031e-101,1.1674379454684798e-99,4.258883123700712e-116,6.028529077965877e-115,5.774327268010828e-112,8.383183135122016e-43,5.2413439757812976e-39,2.926013853536784e-47,1.027830554593675e-22,3.055957121796772e-23,1.277968075827061e-35,8.321471647125431e-50,2.14595082881887e-35,1.0965635041256478e-31,5.097629735505988e-29,6.287756457262749e-42,2.1390235716060784e-40,5.363641536868528e-52,6.98567804228759e-39,7.793857590106247e-44,2.845610778478841e-23,2.5462368413683304e-48,1.501411764717937e-38,1.3879248107111364e-69,5.344869807242199e-65,1.606187564933425e-69,1.8414506185959149e-35,2.76798228797028e-42,5.6884333446871856e-58,5.108595370337034e-29,1.7263271904174972e-69,5.536774642389255e-66,4.057008343269438e-46,2.8456107784790675e-23,1.1820772680467572e-58,1.8211717743519368e-35,3.1020483046618035e-30,2.1813197954915764e-44,1.9111646834087925e-73
7.477672548880632e-19,0.4493166992074623,3.593851770357016e-29,1.776015590624063e-33,9.31579841314915e-36,1.2586808105098938e-41,0.0,0.0,2.7049500675001976e-22,1.4910182757564686e-38,1.4524383996933813e-51,1.0125124960171828e-51,2.882450349249438e-57,4.539102248280944e-77,2.708340375221423e-51,4.710026190813762e-40,1.4064473183679385e-45,2.1412600355171573e-38,1.0904745261965773e-95,3.564952545791834e-74,1.3851999766452134e-91,6.888298693990544e-91,6.292726560414852e-30,1.4217730914247036e-88,8.660914120926582e-63,5.366884281155239e-99,8.749080229905107e-107,1.4248465194195528e-85,1.9817845616746484e-101,2.020678748704352e-99,2.6857670208372844e-62,5.523733526060857e-112,3.913344254170711e-111,8.11437577536318e-114,3.76,0.0,0.5865454000646736,0.9999999999999724,6.17522170579317e-48,1.6579531312464228e-59,1.0802309530780109e-19,6.715159238958702e-20,3.4442761788705795e-20,6.428741129508271e-21,2.7680895900469213e-14,3.506700947887959e-41,1.4405266485840497e-63,4.054879626553533e-37,5.571933580099619e-43,9.358125360848753e-36,9.039044068854018e-99,6.42865392042683e-98,2.2848805408755707e-43,9.296793210885938e-100,5.789226558982769e-47,2.3839970444205254e-113,4.118104261968776e-98,4.1312461127925047e-101,1.3486511878751314e-99,3.9322525236202416e-98,2.871309121690765e-114,4.0643920088596256e-113,3.8930110802057236e-110,3.424803850150236e-42,2.1412600355171135e-38,1.1953721333963267e-46,2.0850276964607278e-22,6.199227304208757e-23,5.220916580463096e-35,6.822445218447419e-49,8.766909342234003e-35,2.224457395699704e-31,1.0340906034960264e-28,2.568753677167176e-41,8.738609235990496e-40,4.397437398608176e-51,2.853877417334759e-38,3.1840451328724563e-43,5.772524722056611e-23,1.234894902278278e-47,6.133756957468199e-38,1.1379046147080938e-68,8.778964727502672e-64,2.6381679041031587e-68,7.522926627479706e-35,1.1308110816724691e-41,4.663721338412741e-57,1.0363150608058475e-28,2.8354975979328484e-68,9.094168992910524e-65,1.6574203642439405e-45,5.772524722057533e-23,9.691384056095522e-58,7.440080931930652e-35,6.2927265608855954e-30,8.911403118052808e-44,3.1390937320540827e-72
1.506066442943564e-18,0.4493166992074623,7.23832122572728e-29,3.577045489936402e-33,3.7655946653936077e-35,5.087789114835276e-41,0.0,0.0,5.447998023276715e-22,6.026934263921107e-38,1.1762222730347557e-50,8.199588703804683e-51,2.3342830274940525e-56,3.675882684480498e-76,1.0947544822403804e-50,1.9038678930337203e-39,5.68508493264116e-45,8.655315426175065e-38,3.559490475262487e-94,2.886991001466177e-73,4.54636502198757e-90,2.260808603155124e-89,1.2674083071431036e-29,4.640947110156896e-87,7.013832804847509e-62,1.761484217463096e-97,2.871353214607933e-105,2.3228596249425702e-84,6.504401529602537e-100,6.632069982307424e-98,2.175003767741341e-61,3.6370741904672075e-110,2.5767215829789246e-109,5.342869381672302e-112,3.76,0.0,0.5865454000646736,0.9999999999999443,5.000854640781914e-47,1.3426534310693005e-58,2.1756764266219095e-19,1.3524898185578582e-19,6.937063289838036e-20,1.2948027908024765e-20,5.575166349615665e-14,1.417464590466907e-40,1.166575828203591e-62,1.6390471739231737e-36,2.2522646393569606e-42,3.782703894410926e-35,2.966704771429121e-97,2.1099485862702907e-96,9.235852474110777e-43,3.051300625363797e-98,2.340097935693355e-46,1.5655318662128851e-111,1.351603053010515e-96,1.3559163407117117e-99,4.426408244286645e-98,1.2906046516735505e-96,1.8855417335623025e-112,2.6690197508708006e-111,2.5564767507335957e-108,1.384360476495839e-41,8.655315426174708e-38,4.831885292775462e-46,4.199421980192621e-22,1.248576766900974e-22,2.11037795709298e-34,5.524993021725162e-48,3.543724926948029e-34,4.480245183765163e-31,2.0827458634102137e-28,1.0383313070954752e-40,3.5322855713460617e-39,3.5611588201612956e-50,1.1535828816596484e-37,1.2870419512111988e-42,1.1626352609210728e-22,6.565511586317221e-47,2.4793626325448104e-37,9.215046591633094e-68,1.4231080149611086e-62,4.2765838627041324e-67,3.0408872240545737e-34,4.5709191932449e-41,3.776802454382606e-56,2.087226108246843e-28,4.596463793049599e-67,1.4742039836835876e-63,6.69955875045123e-45,1.1626352609214454e-22,7.848334773855427e-57,3.0073996693342646e-34,1.267408307333385e-29,3.602131626524959e-43,5.088606209615554e-71
3.0226648190545656e-18,0.4493166992074623,1.452726030094705e-28,7.179105302442631e-33,1.5141290532652566e-34,2.0457776527100424e-40,0.0,0.0,1.0934093934834798e-21,2.423403760104067e-37,9.467260142903107e-50,6.599742336056928e-50,1.878834061941242e-55,2.9586701784718946e-75,4.401959623545615e-50,7.655369061667915e-39,2.2859476476790694e-44,3.4802642690961223e-37,1.1503658142884297e-92,2.323701524138783e-72,1.473276621659457e-88,7.326284723878744e-88,2.543679609058193e-29,1.499880773652828e-85,5.645342831582297e-61,5.708317877835187e-96,9.304500398364665e-104,3.7514250984030946e-83,2.1077877975024573e-98,2.1491617176864164e-96,1.7506322550277746e-60,2.360855940036352e-108,1.6725720030386255e-107,3.468102182396209e-110,3.76,0.0,0.5865454000646736,0.9999999999998881,4.025122879416123e-46,1.0806842896107906e-57,4.366567373709706e-19,2.7144376079030435e-19,1.3922637511773275e-19,2.5986601462933498e-20,1.1189319845180744e-13,5.6995627759601454e-40,9.389617163492276e-62,6.590536573685425e-36,9.056257046423203e-42,1.521008599010005e-34,9.613783242169653e-96,6.837413868962322e-95,3.713695664653209e-42,9.887921168073446e-97,9.409430868393142e-46,1.0148441720951062e-109,4.3799500708209105e-95,4.3939275404797404e-98,1.4344039187876526e-96,4.1822811245097666e-95,1.2222881400217066e-110,1.7301718285711132e-109,1.6572167034837248e-106,5.566452608604286e-41,3.480264269095835e-37,1.94287982966827e-45,8.428210547647556e-22,2.5058848398519792e-22,8.485736947640596e-34,4.446995047396612e-47,1.4249162072544629e-33,8.991820779565458e-31,4.180056383331913e-28,4.175084517932948e-40,1.4203164925354167e-38,2.866330433472607e-49,4.638506030725639e-37,5.175139079678415e-42,2.3334008383513265e-22,3.905666426431322e-46,9.969408099132532e-37,7.417071187934021e-67,2.2918715871609543e-61,6.887306471882529e-66,1.222727378467588e-33,1.837946503961354e-40,3.0398991873265492e-55,4.189048202715663e-28,7.402463215383362e-66,2.374160066205642e-62,2.6938636220796263e-44,2.333400838352826e-22,6.317023741139435e-56,1.2092621800056698e-33,2.5436796098233064e-29,1.4484012884012292e-42,8.195043414691174e-70
6.0558615712765685e-18,0.4493166992074623,2.9105139109303586e-28,1.4383224982981293e-32,6.0723347143444676e-34,8.20448359669499e-40,0.0,0.0,2.1906285757971147e-21,9.718932971850817e-37,7.596880036288287e-49,5.295877586050729e-49,1.5076460152966056e-54,2.3741464867790778e-74,1.7653826911036634e-49,3.0701453876214213e-38,9.167672483678847e-44,1.39574163349222e-36,3.6994040589522894e-91,1.8646241373175754e-71,4.744185467027824e-87,2.359180414681808e-86,5.096222211735782e-29,4.82340276260593e-84,4.530032091998778e-60,1.8382488608320577e-94,2.996151040909365e-102,6.030308208271996e-82,6.787409050898915e-97,6.920643171198913e-95,1.4047721364168316e-59,1.5216336760785158e-106,1.0780165997900226e-105,2.2352829754775635e-108,3.76,0.0,0.5865454000646736,0.9999999999997758,3.229907617336901e-45,8.671810834179739e-57,8.7483492678853e-19,5.438333186678254e-19,2.789378595564506e-19,5.2063748564253934e-20,2.241762674202128e-13,2.285779592375983e-39,7.534576436391422e-61,2.6430999151519996e-35,3.6319641184037104e-41,6.099924769781132e-34,3.095791389942616e-94,2.2017562106772965e-93,1.4893580650903386e-41,3.184068189710537e-95,3.7736026174597965e-45,6.53657903999297e-108,1.4104137113018611e-93,1.41491468205128e-96,4.619009197672725e-95,1.3467611614522412e-93,7.872718985885483e-109,1.1143981664060753e-107,1.0674080160584936e-104,2.232396476968031e-40,1.3957416334919898e-36,7.791817130088201e-45,1.688578768252203e-21,5.02050098571722e-22,3.403160049836435e-33,3.5684334635420816e-46,5.7145513004174605e-33,1.8014972049843565e-30,8.37467742354862e-28,1.6743956265668904e-39,5.696104385969529e-38,2.3000496578183376e-48,1.860248380566226e-36,2.0754622347193775e-41,4.67493199320956e-22,2.5815562540722855e-45,3.998178540427485e-36,5.951732517574427e-66,3.678961470698099e-60,1.105565218891089e-64,4.903683665706072e-33,7.370987522474659e-40,2.4393276473508445e-54,8.392692390000615e-28,1.1882592777807605e-64,3.811052692747614e-61,1.080360210927063e-43,4.674931993215573e-22,5.0690155262076405e-55,4.849682197476741e-33,5.096222214804231e-29,5.808737012892489e-42,1.3154859564334568e-68
