Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(964),S(1465),S(335),S(923),S(304),S(220),CF2O(49),S(879),CFO(51),CH2F(46),CFO3(3228),C2H3F2(66),C2H3F2(64),F(37),CF2CH(73),C2HF2(72),S(234),C2H2F3(67),C2H2F3(68),S(133),S(3636),S(149),CHFCF2(55),CF2(43)
0.0,0.7203957031553652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5289078595581679,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7608644409243518e-22,0.7203957031553652,6.937146186425795e-27,1.329145854456797e-27,6.440658028326703e-42,6.821459555591703e-42,0.0,0.0,5.965546329560582e-22,7.364640952682077e-40,7.992269116979602e-55,1.8044500490696724e-67,1.6959004994261182e-57,2.4829067136397636e-83,1.305277179969907e-60,2.7273875350430105e-52,9.481541108606093e-86,1.3681907680698297e-38,1.6084708139282512e-107,2.1130626748334077e-62,1.7106195434253692e-103,7.4196658935389085e-118,1.586263789286831e-38,2.0310642066135652e-97,2.25671178238012e-61,4.932322143186523e-112,3.525777377817705e-122,1.6431344387582343e-107,8.040943990434702e-184,-3.554438950708166e-147,3.0222174774472184e-60,-5.866792452582722e-152,3.914840296103956e-133,1.5507800205714634e-157,3.76,0.0,0.5289078595581679,0.9999999999999996,4.463663252190922e-57,2.923499325690101e-122,4.9161502940561414e-18,3.071728269158017e-18,8.964590998333867e-19,9.479629250647377e-19,4.471741200900779e-16,1.6460351829205685e-36,2.237011788681964e-56,2.9827890792585376e-35,1.3686651569617839e-43,5.950070941580065e-38,6.125909435490452e-93,5.448275097723543e-91,1.3961783376820868e-40,5.36823439925927e-93,3.7247332697910943e-42,4.243402998320083e-111,4.442219427333932e-91,2.959659051044995e-94,2.8704373941988843e-112,2.595880618506835e-111,3.4889724146034e-108,5.454203560814316e-93,2.750419305538968e-91,3.3169144110694596e-43,1.3681907680698297e-38,7.881761185847665e-44,4.123808697419742e-55,2.463090803987125e-37,2.972791400934068e-74,1.1095864961081252e-25,4.892634998580246e-24,5.003593648190797e-24,2.4194579584476143e-37,2.0465862382810872e-38,1.8245008764419303e-52,4.569149508677309e-22,1.3964661923450804e-22,2.6623243952757754e-36,8.03397441815926e-48,2.3644955312619956e-52,1.3485593895817604e-36,2.621717182915811e-37
4.930420434588185e-22,0.7203957031553652,1.942400932764731e-26,3.7216083924795e-27,3.8901574493326894e-41,4.1201615725783304e-41,0.0,0.0,1.670352972276962e-21,4.448243135419971e-39,9.48842189568167e-54,4.0364825817664353e-66,2.0133730730068646e-56,5.554163002142897e-82,1.549625068060085e-59,3.2379544816026793e-51,2.2384279988158126e-84,8.26387223914529e-38,9.829297351781308e-106,2.508628007563547e-61,1.0406533465714294e-101,7.906230216951222e-116,9.58103328729124e-38,1.2355954728195133e-95,2.6791682280426853e-60,3.806000733725008e-110,2.7206480166003077e-120,1.2679161453702044e-105,1.6667453008576784e-180,1.463007283783406e-144,3.5879765892267165e-59,2.275782657520479e-149,4.171612047520704e-131,3.5291136996251537e-155,3.76,0.0,0.5289078595581679,0.9999999999999988,5.2992615481799225e-56,7.692415130739852e-120,1.3765220823357196e-17,8.600839153642788e-18,2.5100854795335003e-18,2.654296190180909e-18,1.2520875362515592e-15,9.942052504840553e-36,2.6557803955233e-55,1.8016046038710215e-34,8.266737548046645e-43,3.5938428487151247e-37,2.9264204482491984e-91,2.602706393483753e-89,8.432917159602922e-40,2.564469991341802e-91,2.2497388949545086e-41,3.6912581896243957e-109,2.1221015270706366e-89,1.4138646445936518e-92,2.4969406731660038e-110,2.2581087858362233e-109,3.0349929063468807e-106,2.605538491446094e-91,1.3139083072876658e-89,2.0034163046292907e-42,8.26387223914529e-38,4.760583756258297e-43,4.895810396532569e-54,1.4877068456082135e-36,6.650047516989071e-73,3.1068421891075294e-25,1.3699377996024813e-23,1.401006221493398e-23,1.4613526069021957e-36,1.236138087921642e-37,2.1660997281376405e-51,1.279361862429642e-21,3.910105338566137e-22,1.6080439347465445e-35,4.852525433709575e-47,2.807132164280823e-51,8.145298713073745e-36,1.5835171784811294e-36
1.126953242191585e-21,0.7203957031553652,4.439773563271066e-26,8.506533468526776e-27,1.8729433549724457e-40,1.983680440267479e-40,0.0,0.0,3.817949650918766e-21,2.1416375890399443e-38,9.315788882762148e-53,7.975409376077987e-65,1.976741622404386e-55,1.0974090135716524e-80,1.5214310809723381e-58,3.1790429108449437e-50,4.526708440173581e-83,3.978698753552241e-37,4.570706969876312e-104,2.462985853789803e-60,4.69800665124149e-100,1.7992713282177605e-113,4.612855099244277e-37,5.578068591284255e-94,2.6304232535453296e-59,4.1479657778339085e-108,2.9650958676739927e-118,1.381837037897727e-103,3.773812335984573e-177,7.247761331771023e-142,3.5226966917166695e-58,1.1390315131397966e-146,9.49359339644046e-129,1.6744343478609068e-152,3.76,0.0,0.5289078595581679,0.9999999999999971,5.202846647220797e-55,7.16127997862725e-118,3.14633618819593e-17,1.9659060922613684e-17,5.7373382389337996e-18,6.066962720411827e-18,2.8619143685718853e-15,4.7866703119334943e-35,2.6074609408879235e-54,8.673950642466803e-34,3.980078276441043e-42,1.7302806298126135e-36,1.5237810603052063e-89,1.3552238231154216e-87,4.060086605984101e-39,1.3353142077956512e-89,1.0831524348562527e-40,3.836782932150032e-107,1.1049738655716942e-87,7.361963891945824e-91,2.5953804543723516e-108,2.347132821211715e-107,3.154644943301645e-104,1.3566984906555334e-89,6.841493315894671e-88,9.645587112441611e-42,3.978698753552241e-37,2.2920161528539578e-42,4.806746507271946e-53,7.162668057994405e-36,1.3139404180543637e-71,7.101353575125452e-25,3.131286399091444e-23,3.202299934841934e-23,7.035783743163212e-36,5.9514727809193824e-37,2.1267124700089465e-50,2.9242556855534466e-21,8.937383631007892e-22,7.742039341461594e-35,2.336287088512783e-46,2.7560603500234635e-50,3.921610704903627e-35,7.623953567918864e-36
2.394775639657118e-21,0.7203957031553652,9.434518833331866e-26,1.807638362062882e-26,8.179635699436991e-40,8.663253651116055e-40,0.0,0.0,8.113143008202361e-21,9.3530940099062e-38,8.239709768863718e-52,1.4191814860235683e-63,1.7484055794622406e-54,1.9527807053110348e-79,1.3456885614605456e-57,2.8118274531254445e-49,8.140335454800203e-82,1.7376022754539858e-36,1.826043661644881e-102,2.178483095254512e-59,1.7738779227556613e-98,3.040687963413285e-111,2.0145550123923872e-36,2.1061725645214644e-92,2.3265795791689798e-58,3.3932935542765397e-106,2.4256334661992397e-116,1.1304284955190796e-101,5.557076308638073e-174,2.510784275805221e-139,3.115785330557707e-57,3.9636215816105356e-144,1.6043731630222777e-126,5.814558985093353e-150,3.76,0.0,0.5289078595581679,0.9999999999999939,4.601859033335974e-54,5.485997073267322e-116,6.685964399916352e-17,4.1775504460560895e-17,1.2191843757734681e-17,1.289229578086796e-17,6.081568033201991e-15,2.0904646823096184e-34,2.306269673660033e-53,3.788142130640749e-33,1.7382047493374993e-41,7.556590095818278e-36,6.081010204710684e-88,5.408342518940668e-86,1.773146488860959e-38,5.328888470688449e-88,4.730411252644913e-40,3.0712248424926672e-105,4.409660631372581e-86,2.937966530745412e-89,2.077520951314025e-106,1.878806478399078e-105,2.5251946983925367e-102,5.414227530000516e-88,2.7302603866824068e-86,4.212481307232286e-41,1.7376022754539858e-36,1.0009836706124252e-41,4.251517151365329e-52,3.128125321063489e-35,2.3380892791918428e-70,1.5090376347237758e-24,6.653983598069566e-23,6.80488736153861e-23,3.0727116072259376e-35,2.5991645226148942e-36,1.8810621948802997e-49,6.2140433318009855e-21,1.8991940215889972e-21,3.381151981999859e-34,1.0203223230753649e-45,2.437704702389882e-49,1.712670424768698e-34,3.3295808223027557e-35
4.930420434588184e-21,0.7203957031553652,1.9424009409645987e-25,3.721608392486285e-26,3.414836889734686e-39,3.616737870337852e-39,0.0,0.0,1.6703529722769496e-20,3.904732633112005e-37,6.92597254050926e-51,2.3936570081031203e-62,1.4696402394358421e-53,3.293650083931636e-78,1.131132319724811e-56,2.363510399663179e-48,1.3800466354168776e-80,7.254147452353753e-36,7.029289478463227e-101,1.8311463050227412e-58,6.154406574397897e-97,4.452236324700347e-109,8.41037061078178e-36,7.30729104203257e-91,1.9556303232335994e-57,2.4421780155978442e-104,1.745747380045853e-114,8.135775982053868e-100,6.770829438785774e-171,7.428640551526681e-137,2.6190053104918745e-56,1.175207552833683e-141,2.3491540989146993e-124,1.726789971567893e-147,3.76,0.0,0.5289078595581678,0.9999999999999875,3.868139839167903e-53,3.8344931672158004e-114,1.3765220823357194e-16,8.600839153647696e-17,2.5100854795337576e-17,2.654296190175741e-17,1.2520875362420014e-14,8.727278539849318e-34,1.938558623884033e-52,1.5814747698070432e-32,7.256662662175622e-41,3.1547276132361483e-35,2.1612862698563813e-86,1.9222096387432598e-84,7.402537546432636e-38,1.893970425573499e-86,1.9748535796523814e-39,2.186562016905161e-103,1.5672624541674303e-84,1.0441993205784032e-87,1.4790934022851152e-104,1.3376184074649472e-103,1.7978152352865482e-100,1.9243012638624777e-86,9.70377303800693e-85,1.7586280253860049e-40,7.254147452353753e-36,4.1789097808243757e-41,3.5736580438833724e-51,1.3059307442738293e-34,3.9435313186282917e-69,3.1068421891768207e-24,1.3699377996026598e-22,1.401006221493036e-22,1.2827966095666453e-34,1.0851000235347542e-35,1.581149725080557e-48,1.2793618624295781e-20,3.910105338564841e-21,1.4115643943748773e-33,4.2596813842302864e-45,2.04903789688186e-48,7.1500618835612515e-34,1.3900344503816707e-34
1.0001710024450316e-20,0.7203957031553652,3.9402990707044317e-25,7.54954845334507e-26,1.3950722942057774e-38,1.477555437401503e-38,0.0,0.0,3.388430315190355e-20,1.5952106889147215e-36,5.678330738380873e-50,3.931588823503462e-61,1.204899861129166e-52,5.409830153057524e-77,9.273706158446915e-56,1.9377486229235787e-47,2.2728252633225466e-79,2.9635559313101216e-35,2.8029762123291043e-99,1.5012843740705544e-57,2.0496743534911995e-95,6.088056166469425e-107,3.435910818132456e-35,2.4336330087207737e-89,1.6033438932044356e-56,1.6553877805636268e-102,1.1833262594127374e-112,5.514693875472953e-98,7.54911021967496e-168,2.0413491148247186e-134,2.1472187871910697e-55,3.2327473037051538e-139,3.2122684228682097e-122,4.756465259601903e-145,3.76,0.0,0.5289078595581677,0.9999999999999746,3.1713347611763115e-52,2.563815084911826e-112,2.792373367023888e-16,1.7447416568839574e-16,5.0918876870547924e-17,5.384429414344507e-17,2.5399490020687307e-14,3.565378047617049e-33,1.589347482639708e-51,6.460840457103104e-32,2.964583476555203e-40,1.2888091662387967e-34,7.279807395244101e-85,6.474531457640146e-83,3.0241781265885796e-37,6.379414010468049e-85,8.067921251775473e-39,1.4741647724255426e-101,5.2789715842462804e-83,3.517150893916764e-86,9.97194395546645e-103,9.018129465281924e-102,1.2120744194416556e-98,6.481576627197508e-85,3.2684980101059086e-83,7.1845693301312594e-40,2.9635559313101216e-35,1.7072209999738059e-40,2.929901454212663e-50,5.335153205067048e-34,6.477263636283287e-68,6.302451298205247e-24,2.779016679194382e-22,2.8420411921707475e-22,5.24064271629657e-34,4.4329876555504654e-35,1.2963235093441486e-47,2.5952769209284232e-20,7.931927972514247e-21,5.766701133140273e-33,1.740248693275804e-44,1.6799251498010374e-47,2.921033580208622e-33,5.678744286880487e-34
2.014428920417458e-20,0.7203957031553652,7.936095388092134e-25,1.5205428575110568e-25,5.639105277085887e-38,5.972515368225656e-38,0.0,0.0,6.824585001017081e-20,6.448096656838667e-36,4.598459452664779e-49,6.373274906537189e-60,9.757591481650419e-52,8.76956780347372e-76,7.510087684147315e-55,1.5692390743627636e-46,3.690497084516611e-78,1.1979166906349941e-34,1.21645895029494e-97,1.2157790095693687e-56,6.690478517916816e-94,8.052036827912677e-105,1.3888500881706685e-34,7.94378347010191e-88,1.2984294542308894e-55,1.0899816481074413e-100,7.791575690907313e-111,3.631122078572832e-96,8.062706209072341e-165,5.4122924066880685e-132,1.7388734442961546e-54,8.575461242888795e-137,4.2485317787351376e-120,1.263066637373726e-142,3.76,0.0,0.5289078595581673,0.9999999999999488,2.568229123007429e-51,1.6774810590848195e-110,5.624075936400223e-16,3.514057139925799e-16,1.0255492102098674e-16,1.0844695862645542e-16,5.1156719336546904e-14,1.4411828123388474e-32,1.287094798059025e-50,2.6115750126563813e-31,1.1983320408226419e-39,5.209572712830771e-34,2.3893056794183123e-83,2.125006053459111e-81,1.2224211512301921e-36,2.0937875549743087e-83,3.261182764962435e-38,9.68059894827035e-100,1.732611331949725e-81,1.1543641404100942e-84,6.548412495871827e-101,5.922058120629995e-100,7.959494467482639e-97,2.1273183487182015e-83,1.0727537741747495e-81,2.9041178109773342e-39,1.1979166906349941e-34,6.900860243359027e-40,2.3727104311315513e-49,2.1565542272483116e-33,1.0499924760597058e-66,1.2693669516751437e-23,5.597174438379089e-22,5.724111133523615e-22,2.1183515765870164e-33,1.7918844877414497e-34,1.0497969600350603e-46,5.227107037925662e-20,1.597557324040392e-20,2.3309927996325558e-32,7.034604849781247e-44,1.3604469749304819e-46,1.1807284764286637e-32,2.295439236065536e-33
4.042944756362311e-20,0.7203957031553654,1.592768825449967e-24,3.051718881883323e-25,2.267459439106042e-37,2.4015222012619578e-37,0.0,0.0,1.369689437267018e-19,2.592751305955358e-35,3.7012402245285136e-48,1.0263962759777062e-58,7.853758539597717e-51,1.4123118596654541e-74,6.044771931012732e-54,1.2630601277507792e-45,5.95236992538589e-77,4.816770326888013e-34,5.8802444942214626e-96,9.785647173188353e-56,2.162247078344508e-92,1.0475920501019985e-102,5.584505120639842e-34,2.567293551032039e-86,1.0450889856008485e-54,7.075164030624913e-99,5.0576098376195e-109,2.356992373282199e-94,8.430943613171752e-162,1.409918118685407e-129,1.399596626576218e-53,2.2344997522310713e-134,5.52745586597442e-118,3.294903694444313e-140,3.76,0.0,0.5289078595581668,0.9999999999998973,2.0671342396983463e-50,1.0861981184762596e-108,1.1287481075152887e-15,7.052688106023343e-16,2.0582700932193705e-16,2.1765228759101619e-16,1.0267117796556608e-13,5.794932702904393e-32,1.0359658681966265e-49,1.0501028264198416e-30,4.8184404314879534e-39,2.094746275325588e-33,7.742687143397773e-82,6.886208487526293e-80,4.9153016851809673e-36,6.785043087194267e-82,1.3113072466144035e-37,6.275374934204155e-98,5.614630057291715e-80,3.7407856456583436e-83,4.2449587938520416e-99,3.8389293149751985e-98,5.15968199269797e-95,6.893701618260249e-82,3.476322400460156e-80,1.1677330121744594e-38,4.816770326888013e-34,2.7748055530191985e-39,1.9097638842675155e-48,8.671409699060658e-33,1.6909806157211423e-65,2.5476105955801186e-23,1.1233489956753552e-21,1.1488251016219132e-21,8.517798520904397e-33,7.205088715212011e-34,8.449681524703559e-46,1.0490767271918326e-19,3.206286377614669e-20,9.37281952652504e-32,2.8287777960493516e-43,1.0950060950648719e-45,4.7476572733911314e-32,9.229860211125912e-33
8.099976428252017e-20,0.7203957031553656,3.19108749138433e-24,6.114070930704529e-25,9.093526568028566e-37,9.631178453151584e-37,0.0,0.0,2.7441513115975e-19,1.0398092373244674e-34,2.9700121843659875e-47,1.6475933354039072e-57,6.302146653934506e-50,2.2670733146178518e-73,4.8505487881165015e-53,1.0135262077549156e-44,9.574878329049718e-76,1.931740336508567e-33,3.144435722802356e-94,7.852365578497287e-55,6.95346276135166e-91,1.3518620346872388e-100,2.239636326433997e-33,8.256031315755023e-85,8.386180935815181e-54,4.560129092972127e-97,3.2598029749883224e-107,1.5191435057281111e-92,8.723929459951304e-159,3.6409142006999483e-127,1.1230881493684449e-52,5.771009412290211e-132,7.132888718454807e-116,8.524690727937752e-138,3.76,0.0,0.5289078595581657,0.9999999999997943,1.6587450580109206e-49,7.001630296636038e-107,2.2614291352658192e-15,1.4129950038273882e-15,4.123711859241283e-16,4.360629455142981e-16,2.057000952128045e-13,2.324027198574762e-31,8.312973663794893e-49,4.211382003550178e-30,1.9324101229604424e-38,8.400869462462849e-33,2.4932686301044724e-80,2.2174688557788408e-78,1.9712558180947177e-35,2.1848919852743393e-80,5.258928555632059e-37,4.041949044832391e-96,1.808000340297913e-78,1.2045925825661772e-81,2.734164463778793e-97,2.4726421672769238e-96,3.323334768382684e-93,2.2198817635504064e-80,1.1194312036356834e-78,4.683131765686021e-38,1.931740336508567e-33,1.1128211331732861e-38,1.5324652876687136e-47,3.4776231275980117e-32,2.7143984658620327e-64,5.104097884173016e-23,2.250612099352267e-21,2.301653078156928e-21,3.416018174680715e-32,2.889562830226184e-33,6.780338195557536e-45,2.1018087739896411e-19,6.423744484748598e-20,3.758919839728079e-31,1.1346221225673787e-42,8.786734355810072e-45,1.9040229107884785e-31,3.70158676024243e-32
