Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578)
0.0,0.8222057726671032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5862318977355191,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.958016984503715e-23,0.8222057726671032,0.0,2.778541117207978e-26,0.0,0.0,0.0,0.0,0.0,0.0,2.5084354935887613e-54,7.526123741146891e-76,0.0,1.0801156346110768e-110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5862318977355191,0.9999999999999997,0.0,0.0,1.645456585968641e-17,1.0040077760544476e-17,2.69733647664068e-18,3.717151622501255e-18,3.70280098385846e-16,3.3077025279928335e-35,1.8724879025997104e-54,1.8547527882114923e-34,2.3123533620076296e-43,1.7031550008084177e-37,7.335887515125e-91,8.834513272303999e-89,1.2413625123743855e-39,1.0080721950287628e-90,7.833270194311705e-41,1.2055473248735966e-109,1.839065549248427e-91
1.9482447556610401e-22,0.8222057726671032,0.0,7.779915128182762e-26,0.0,0.0,0.0,0.0,0.0,0.0,2.9780146179888367e-53,1.683563776399734e-74,0.0,6.570870501772077e-109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5862318977355191,0.999999999999999,0.0,0.0,4.607278440712195e-17,2.8112217729525216e-17,7.552542134593976e-18,1.0408024543002762e-17,1.0367842754801635e-15,1.997852326907711e-34,2.223017637966412e-53,1.1202706840794686e-33,1.3966614306524603e-42,1.0287056204883823e-36,3.504441496626394e-89,4.2203530043389585e-87,7.497829574742426e-39,4.815681844317427e-89,4.731295197365124e-40,1.0486834358370586e-107,8.78543681663282e-90
4.453130870082378e-22,0.8222057726671032,0.0,1.7782663150134028e-25,0.0,0.0,0.0,0.0,0.0,0.0,2.9238324113278534e-52,3.3264383174059174e-73,0.0,2.966405038670874e-107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.586231897735519,0.9999999999999977,0.0,0.0,1.0530922150199302e-16,6.425649766748939e-17,1.7262953450500863e-17,2.3789770384002764e-17,2.3697926296679784e-15,9.618798951403748e-34,2.1825718992703346e-52,5.3936211081149285e-33,6.72432357671594e-42,4.952774742352327e-36,1.8247554218315519e-87,2.1975290596574708e-85,3.6098821859863913e-38,2.5075155523909774e-87,2.2779149725070983e-39,1.090026896291894e-105,4.5745587363238474e-88
9.462903098925051e-22,0.8222057726671032,0.0,3.7788159194043346e-25,0.0,0.0,0.0,0.0,0.0,0.0,2.5860966564719247e-51,5.919219254908556e-72,0.0,1.1200580999418412e-105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5862318977355189,0.999999999999995,0.0,0.0,2.2378209569173514e-16,1.3654505754342857e-16,3.6683776082315803e-17,5.0553262065990727e-17,5.035809338040328e-15,4.200782210551509e-33,1.9304601280644346e-51,2.3555360410243683e-32,2.936688769747357e-41,2.1630068510281767e-35,7.282119872925379e-86,8.769761604862781e-84,1.57653039071719e-37,1.0006836322980733e-85,9.948253146788721e-39,8.725324684973163e-104,1.8255863051657935e-86
1.9482447556610398e-21,0.8222057726671032,0.0,7.779915128188915e-25,0.0,0.0,0.0,0.0,0.0,0.0,2.173770063779117e-50,9.983628444684871e-71,0.0,3.886001868085498e-104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5862318977355186,0.9999999999999897,0.0,0.0,4.607278440712193e-16,2.8112217729535028e-16,7.552542134595037e-17,1.040802454299185e-16,1.0367842754771903e-14,1.7537438803423503e-32,1.6226680565868989e-50,9.833899283059297e-32,1.2260097525343426e-40,9.030127814299568e-35,2.58817945816711e-84,3.116910629700464e-82,6.581704040624422e-37,3.5565863600631445e-84,4.1531998570355895e-38,6.212004825360608e-102,6.488419658856226e-85
3.952153647198109e-21,0.8222057726671032,0.0,1.5782113545768932e-24,0.0,0.0,0.0,0.0,0.0,0.0,1.7821880319441983e-49,1.6398139699377347e-69,0.0,1.2942008691973806e-102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5862318977355182,0.999999999999979,0.0,0.0,9.346193408301875e-16,5.702764167993672e-16,1.5320871187323827e-16,2.1113421215758144e-16,2.103190958818257e-14,7.164615983738255e-32,1.3303613102649384e-49,4.01746872934542e-31,5.008649876225185e-40,3.689101857962341e-34,8.717701223762374e-83,1.0498613426910647e-80,2.688840856316455e-36,1.1979562377612274e-82,1.6967176571784296e-37,4.1880900742298133e-100,2.185478438225751e-83
7.959971430272249e-21,0.8222057726671033,0.0,3.1786510380972416e-24,0.0,0.0,0.0,0.0,0.0,0.0,1.4432620746176986e-48,2.658209109657575e-68,0.0,4.224487190459459e-101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5862318977355172,0.9999999999999577,0.0,0.0,1.882402334348122e-15,1.148584895808094e-15,3.0857529292788884e-16,4.252421456121368e-16,4.2360043254793945e-14,2.8960523329829017e-31,1.0773610809993639e-48,1.623925094186508e-30,2.0245763613843887e-39,1.491193954657077e-33,2.8612368314400996e-81,3.44575004864371e-79,1.0868724649950863e-35,3.931812322954174e-81,6.85840405216924e-37,2.7502502519565983e-98,7.172959064992328e-82
1.5975606996420526e-20,0.8222057726671037,0.0,6.379530405155315e-24,0.0,0.0,0.0,0.0,0.0,0.0,1.1616628786219217e-47,4.28096382310661e-67,0.0,1.3652812618935637e-99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5862318977355153,0.9999999999999151,0.0,0.0,3.777968321383985e-15,2.3052018538283216e-15,6.193084550374897e-16,8.534580125181653e-16,8.501631058717686e-14,1.1644899057930975e-30,8.671539262850176e-48,6.529731380795242e-30,8.140732504963343e-39,5.9960253066212116e-33,9.272008106416544e-80,1.1166157946812517e-77,4.370266379401411e-35,1.2741271652485096e-79,2.7577341050530807e-36,1.7828288917013163e-96,2.324440041778965e-80
3.2006878128717087e-20,0.8222057726671045,0.0,1.278128913934097e-23,0.0,0.0,0.0,0.0,0.0,0.0,9.321613011323944e-47,6.871895026635829e-66,0.0,4.390539931840149e-98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5862318977355115,0.9999999999998298,0.0,0.0,7.56910029545569e-15,4.61843576987987e-15,1.2407747792578893e-15,1.7098897463178938e-15,1.703288452485834e-13,4.6701253530829524e-30,6.958364143985896e-47,2.618714332986017e-29,3.2647978376025347e-38,2.4046743267719185e-32,2.985734347794728e-78,3.595680777106933e-76,1.752672283116298e-34,4.1028924879134077e-78,1.1059747188249925e-35,1.1483144212884979e-94,7.485067304731602e-79
