Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(923),S(304),S(964),S(1434),S(335),S(220),CF2O(49),S(879),C2H2F3(67),C2H2F3(68),S(133),S(149),CHFCF2(55),C2H3F2(66),C2H3F2(64),C2HF2(72),CF2CH(73),S(234),CF2(43),S(3455),CH2F(46),S(3466),CH2F2(41),C2F(235),S(3986),S(4065),S(3435)
0.0,0.7351518913300444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,1.0042223751729722,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.810072124267276e-22,0.7351518913300444,6.021847336775037e-27,1.977851866832399e-28,3.353094162092052e-42,1.2553518854741973e-41,0.0,0.0,6.142009942221625e-22,1.2699747635556944e-39,5.3156775692122615e-55,1.3768336978846163e-67,8.822554321622672e-58,6.906185023366385e-85,1.1323857092263582e-61,1.358840850298181e-52,1.3571512802802344e-86,1.1681076411566389e-38,5.604548887686096e-110,5.242062270172813e-76,-2.1838813163323986e-116,2.244255822951018e-118,5.081332926162232e-39,1.801863918210932e-97,1.0552842621914942e-61,5.775032146925731e-113,4.117581384354527e-123,7.917815378019839e-108,6.794542332212156e-184,-2.104810244771895e-147,1.7453066088871802e-60,-9.842298600994533e-153,1.5825529432637494e-133,1.6751187451779134e-158,3.76,0.0,1.0042223751729722,0.9999999999999996,5.604789712454735e-57,6.002558546930824e-98,4.241847142344292e-18,2.6797872920873654e-18,8.244048283364561e-19,7.376550219204705e-19,4.554927021300239e-16,4.482162360923525e-37,2.3313034781786888e-57,1.629935876500073e-35,1.4231916338949104e-43,4.686997209368162e-38,7.395604568415421e-94,4.8945794171629645e-92,5.617161599459278e-41,4.974169123387581e-94,8.988791979801297e-43,9.084076589620549e-112,3.72956248801956e-92,2.8483964303523556e-95,5.47539036415867e-94,2.2707421416285513e-92,6.350417411407491e-113,6.121296859364273e-112,7.866874108797741e-109,3.820628537044451e-43,1.1681076411566389e-38,9.774205858704492e-56,4.7076174153489495e-22,1.4344527453459947e-22,2.9607903550758127e-36,5.061415263864169e-52,9.333448887118326e-37,1.0948027380710657e-37,1.8072963890566334e-37,9.63290185465078e-39,1.216970810609465e-37,1.5662002640664055e-52,1.639916720335646e-37,7.97391745374549e-43,1.5891033910740223e-37,5.146341844407584e-48,4.185772132389001e-58,1.215228591657473e-62,8.360040613822029e-69,5.896076134803791e-73,6.8438275672706e-39
7.8682019479483735e-22,0.7351518913300444,1.6861172546340826e-26,5.537985227132624e-28,2.025268874055567e-41,7.58232538952898e-41,0.0,0.0,1.7197627838220545e-21,7.670647571876393e-39,6.31077241517507e-54,3.0799219088194944e-66,1.047413649114092e-56,1.5448859649866956e-83,1.3443683139933097e-60,1.6132158574737398e-51,3.3638165524878546e-85,7.055370152590552e-38,4.3247210578317436e-108,1.6481882507387396e-74,1.1378063197889338e-114,2.3914287340573185e-116,3.069125087401457e-38,1.0961617524111469e-95,1.2528334760744453e-60,4.456273526053126e-111,3.1773107040260274e-121,6.109741063819863e-106,1.3327476781368763e-180,8.187581688816423e-145,2.0720280060720418e-59,3.8179170143191073e-150,1.6863408224357452e-131,6.131970903630179e-156,3.76,0.0,1.0042223751729722,0.9999999999999988,6.654007094663494e-56,2.8674942488759162e-96,1.187717199856402e-17,7.50340441784498e-18,2.3083335193420895e-18,2.065434061376949e-18,1.2753795659629719e-15,2.7072260659979155e-36,2.7677234892938334e-56,9.84481269405032e-35,8.596077468720897e-43,2.8309463144592647e-37,3.53296904959054e-92,2.3381993225317803e-90,3.3927656060753655e-40,2.3762202802760246e-92,5.429230355803275e-42,7.902071078303683e-110,1.781656755276856e-90,1.3607131555377334e-93,2.61565968164693e-92,1.0847607699617145e-90,5.524111258503404e-111,5.324803506099645e-110,6.843249036712838e-107,2.3076596366968235e-42,7.055370152590552e-38,1.1606430029170411e-54,1.3181328762977017e-21,4.0164676869686948e-22,1.7883173744657635e-35,6.008914066532429e-51,5.6374031278194105e-36,6.6126085379494334e-37,1.0916070189902192e-36,5.818272720208222e-38,7.350503696080073e-37,1.8594132778713427e-51,9.905096990827193e-37,4.816246142062211e-42,9.598184482087031e-37,3.1084010357118035e-47,4.969353678768712e-57,1.442719384015803e-61,1.8701271728330445e-67,1.3189424193176979e-71,4.1336718506310524e-38
1.798446159531057e-21,0.7351518913300444,3.853982297895529e-26,1.2658251947740694e-27,9.750797825643174e-41,3.650563284856207e-40,0.0,0.0,3.930886363021834e-21,3.6930866124199544e-38,6.195953781787789e-53,6.0854066805944985e-65,1.0283569318865543e-55,3.052434331261893e-82,1.3199087826735505e-59,1.5838648951067513e-50,6.936754543453552e-84,3.3968570204900597e-37,4.713292564188686e-106,3.6770173206896154e-73,1.1991882180987576e-112,5.442332272865628e-114,1.4776516149271793e-37,4.948598126651872e-94,1.2300393360125446e-59,4.856664876453139e-109,3.462789694251756e-119,6.658694681648582e-104,3.047094067275108e-177,4.095224572762483e-142,2.0343293833224916e-58,1.910871325998072e-147,3.8377138062722836e-129,2.9970632003258527e-153,3.76,0.0,1.0042223751729722,0.9999999999999971,6.532943951852558e-55,1.4930983109106693e-94,2.7147821711003477e-17,1.715063866936164e-17,5.2761909013534055e-18,4.720992140288428e-18,2.9151532936244887e-15,1.3034128145567198e-35,2.71736733416537e-55,4.739853528847025e-34,4.1386412713598084e-42,1.3629787884855818e-36,1.8396096595193147e-90,1.2174955396509121e-88,1.633470593125648e-39,1.23729297352761e-90,2.6139407077310395e-41,8.213603569399061e-108,9.277049787140647e-89,7.085205190381338e-92,1.3619685734115439e-90,5.64832683976131e-89,5.741894688236935e-109,5.534729395705278e-108,7.11303836140159e-105,1.1110387790462262e-41,3.3968570204900597e-37,1.1396354172783966e-53,3.0128751458233006e-21,9.180497570213721e-22,8.609978352560046e-35,5.8995882802474315e-50,2.71416693637392e-35,3.183686362310951e-36,5.255617899376874e-36,2.801247859331173e-37,3.538951117250678e-36,1.825591888403194e-50,4.7688778227358944e-36,2.3188151955490864e-41,4.6211126612431606e-36,1.4965720508881583e-46,4.878943102052166e-56,1.416470446436107e-60,3.695074978113083e-66,2.6060212385500175e-70,1.9901850565617068e-37
3.821698089003496e-21,0.7351518913300444,8.189712389811577e-26,2.689878538898732e-27,4.258429588212367e-40,1.5942968965127136e-39,0.0,0.0,8.353133521421382e-21,1.6128679497157265e-37,5.480250953929371e-52,1.0828656046079101e-63,9.095700606742288e-55,5.431643801535767e-81,1.1674443707825509e-58,1.4009105630217149e-49,1.2582444311860963e-82,1.4834967042756437e-36,3.8557659674760737e-104,6.886646498262693e-72,9.657213613833623e-111,9.197300943827024e-112,6.4532928162177895e-37,1.868496494196899e-92,1.0879558629533939e-58,3.973053420433436e-107,2.8327787264866046e-117,5.4472256891825264e-102,4.5061437293267025e-174,1.4246433603418602e-139,1.799341301505807e-57,6.649483137363215e-145,6.485562993922755e-127,1.0526121649338089e-150,3.76,0.0,1.0042223751729722,0.9999999999999938,5.778315074072026e-54,5.958563410019645e-93,5.768912113588239e-17,3.6445107172400665e-17,1.1211905665376236e-17,1.0032108298105478e-17,6.194700748930007e-15,5.692346198374511e-35,2.4034806338637084e-54,2.0700185631393985e-33,1.8074533750397016e-41,5.9524864559111044e-36,7.341399236183831e-89,4.858705094615009e-87,7.1337952313429e-39,4.937711456242182e-89,1.141576581439694e-40,6.574732992410846e-106,3.702227038688413e-87,2.827519398133329e-90,5.4352590468478625e-89,2.254098967810003e-87,4.5962072708643133e-107,4.430377927852353e-106,5.69376493473018e-103,4.852198246898124e-41,1.4834967042756437e-36,1.0080380024306509e-52,6.402359684874437e-21,1.9508557336702293e-21,3.7602037509458475e-34,5.2181193477731925e-49,1.1853480086639333e-34,1.3903994773505548e-35,2.295266414102114e-35,1.223378535539333e-36,1.5455529294723186e-35,1.6147188880921381e-49,2.0826942348261e-35,1.0126875166255701e-40,2.0181613066639078e-35,6.536017848586763e-46,4.3153707921803454e-55,1.252852068855515e-59,6.575203775438003e-65,4.637286330610108e-69,8.691661010427623e-37
7.868201947948374e-21,0.7351518913300444,1.686117259521629e-25,5.537985227160252e-27,1.7778105268611168e-39,6.65587571442854e-39,0.0,0.0,1.719762783822042e-20,6.733406196372243e-37,4.6064811370330084e-51,1.8264111171328798e-62,7.645484420276139e-54,9.161261177023926e-80,9.813073374415731e-58,1.1775497394117177e-48,2.142165097375486e-81,6.19330671347266e-36,2.775022770372834e-102,1.1894969237721235e-70,6.997207955795157e-109,1.3466874537362737e-109,2.694122717443792e-36,6.482682342430621e-91,9.144924570749933e-58,2.8594354022300856e-105,2.0387739444614096e-115,3.920407890157526e-100,5.501440991431584e-171,4.223449797159869e-137,1.5124547823693982e-56,1.9715612729432673e-142,9.496290078135172e-125,3.142628001522666e-148,3.76,0.0,1.0042223751729722,0.9999999999999872,4.857022043967602e-53,2.1177667637967434e-91,1.187717199856402e-16,7.503404417850157e-17,2.308333519342268e-17,2.065434061371594e-17,1.2753795659470981e-14,2.376442483763124e-34,2.0202702933351019e-53,8.641920017062136e-33,7.545762042849204e-41,2.485045920419139e-35,2.609248272342759e-87,1.7268598895080635e-85,2.978219080059858e-38,1.7549399878860592e-87,4.765857507734781e-40,4.680888625800442e-104,1.3158294752340758e-85,1.0049446797858775e-88,1.9317761943641721e-87,8.011420777128852e-86,3.2722749898450053e-105,3.154212600633734e-104,4.053682415989704e-101,2.0256972546889464e-40,6.19330671347266e-36,8.473338801517355e-52,1.3181328762976463e-20,4.016467686967351e-21,1.5698110462608038e-33,4.386143855781393e-48,4.948594599949287e-34,5.804644117255502e-35,9.582285454779974e-35,5.1073645633239996e-36,6.452379237836062e-35,1.357269921909457e-48,8.694838451218065e-35,4.227771033974892e-40,8.425426179473563e-35,2.728737781475118e-45,3.627329516640247e-54,1.053097653873492e-58,1.109005444182139e-63,7.82146981677989e-68,3.628597376161438e-36
1.596120966583813e-20,0.7351518913300444,3.420409309231619e-25,1.1234198603732072e-26,7.262936096806429e-39,2.7191424129514103e-38,0.0,0.0,3.488661647181828e-20,2.7508161368521348e-36,3.7766715481761345e-50,2.9998857442517664e-61,6.2682300537592605e-53,1.5047398992760065e-78,8.045350433243771e-57,9.654264209256446e-48,3.536319888332923e-80,2.5301678751017566e-35,1.8810007933493515e-100,1.9763669292808198e-69,4.8801014557787547e-107,1.8414811818735458e-107,1.1006370371321585e-35,2.1590038829560986e-89,7.497561676241839e-57,1.938218424285203e-103,1.3819507837241373e-113,2.657380123166764e-98,6.13983827838808e-168,1.161701510217319e-134,1.240001809267333e-55,5.42334788187926e-140,1.298537154883188e-122,8.68078802413703e-146,3.76,0.0,1.004222375172972,0.9999999999999741,3.982080146047755e-52,7.133221730552789e-90,2.409369176851558e-16,1.5221191819079473e-16,4.682619424951872e-17,4.1898805244842346e-17,2.5871985480272668e-14,9.708542960267242e-34,1.6563396460670316e-52,3.530506305814625e-32,3.082690006629526e-40,1.015222343548241e-34,8.788666792572098e-86,5.816539701083834e-84,1.2166996711117122e-37,5.911121206129602e-86,1.9470082980301497e-39,3.1558222737126182e-102,4.4320760642245235e-84,3.384930452653691e-87,6.506754251863448e-86,2.6984671596933576e-84,2.2061448421806612e-103,2.1265480076203792e-102,2.732964247131872e-99,8.27563427311607e-40,2.5301678751017566e-35,6.947023533811466e-51,2.6739266919179523e-20,8.147691593559223e-21,6.413190340705089e-33,3.5960257838341695e-47,2.0216623627446573e-33,2.371386522773747e-34,3.914676270553671e-34,2.0865250733147495e-35,2.636007454599553e-34,1.1127724428280148e-47,3.5521252129145256e-34,1.727182416150267e-39,3.442061509201211e-34,1.1148429729821764e-44,2.973904029138331e-53,8.633930821263371e-58,1.8215457489117876e-62,1.2846794548872574e-66,1.4824004263764788e-35
3.2147225101617644e-20,0.7351518913300445,6.888993443167787e-25,2.2626625357070834e-26,2.9357949021955026e-38,1.0991208449115953e-37,0.0,0.0,7.026459373901315e-20,1.1119238642816263e-35,3.0584465366408066e-49,4.8629440652579543e-60,5.076175220964475e-52,2.4392482203554132e-77,6.515333370599146e-56,7.818273460314518e-47,5.752263587840243e-79,1.0227343090411822e-34,1.238535386540865e-98,3.2219769039921266e-68,3.415621286433617e-105,2.4355351477707844e-105,4.448950880783786e-35,7.047348263258635e-88,6.071719832948128e-56,1.2762100447035772e-101,9.099429523115005e-112,1.7497383996857942e-96,6.560736311324445e-165,3.0815232891790983e-132,1.0041856143817948e-54,1.4386435198264178e-137,1.717439574404239e-120,2.3095670000842295e-143,3.76,0.0,1.0042223751729717,0.9999999999999479,3.2247917608995935e-51,2.3411948079310524e-88,4.852673130841869e-16,3.065676662157464e-16,9.431191236172337e-17,8.438773450671704e-17,5.210836512075503e-14,3.924348290792108e-33,1.3413467888919395e-51,1.4270870966995105e-31,1.2460725886304605e-39,4.103691032752191e-34,2.8845284417754546e-84,1.9090465705284854e-82,4.918094604267736e-37,1.9400891676472084e-84,7.87011884063725e-39,2.0723768709770377e-100,1.454651742368193e-82,1.1109680676847761e-85,2.1355818972821393e-84,8.856639413883828e-83,1.4487392344664336e-101,1.3964692950899124e-100,1.7946929211757497e-97,3.345143704539646e-39,1.0227343090411822e-34,5.625907075870178e-50,5.385514323158169e-20,1.6410139406733477e-20,2.592314073803181e-32,2.9121549334425686e-46,8.171882506212743e-33,9.585523477145327e-34,1.5823747388469402e-33,8.434067952953291e-35,1.0655163592768244e-33,9.0115219738799e-47,1.4358258046553661e-33,6.981547478785192e-39,1.3913362958474487e-33,4.506895430142511e-44,2.4083446412711295e-52,6.991981028840574e-57,2.9528049354660573e-61,2.0825213076008774e-65,5.99209953883078e-35
6.451925597317667e-20,0.7351518913300445,1.3826161849104875e-24,4.541147886452882e-26,1.1804702241165024e-37,4.419516626560172e-37,0.0,0.0,1.4102054827339943e-19,4.4709969540880815e-35,2.461703851627334e-48,7.831621500799338e-59,4.085747448926093e-51,3.9283340610006374e-76,5.2441071177903564e-55,6.2928266552091626e-46,9.297069900946405e-78,4.112369675336219e-34,8.039439041161491e-97,5.2035013063071705e-67,2.4864556794241233e-103,3.1686979998421707e-103,1.7889035819451795e-34,2.2775811823745017e-86,4.8870483494275706e-55,8.283988475883499e-100,5.906575906528566e-110,1.135770148755187e-94,6.862029202746181e-162,8.029359429104394e-130,8.082559446593557e-54,3.74865969424933e-135,2.2344358976229053e-118,6.036922901046116e-141,3.76,0.0,1.0042223751729713,0.9999999999998954,2.595592975931608e-50,7.586781077249444e-87,9.739281038822492e-16,6.152791622671115e-16,1.8928334858618303e-16,1.693655930289539e-16,1.0458112439723565e-13,1.577963187820874e-32,1.0796325902360345e-50,5.738254449855629e-31,5.0104030744438615e-39,1.6500761156152574e-33,9.347485955337477e-83,6.186378940263872e-81,1.9775442098855042e-36,6.28697432309449e-83,3.164540171905156e-38,1.3434026076128246e-98,4.7138854773598405e-81,3.60015809136209e-84,6.920480139106398e-83,2.870046671336836e-81,9.391342340112795e-100,9.052506417804301e-99,1.1633960907740502e-95,1.3450675834534763e-38,4.112369675336219e-34,4.528230364170429e-49,1.080868958563702e-19,3.293503503304404e-20,1.0423580876636398e-31,2.3439556503464976e-45,3.2858780145007423e-32,3.8542968315040156e-33,6.362659229539033e-33,3.391301629470315e-34,4.284394417496486e-33,7.25325775843417e-46,5.7733924106017896e-33,2.8072495352554265e-38,5.594502052406634e-33,1.8126225297991197e-43,1.938445310442017e-51,5.627754620626341e-56,4.755401942946958e-60,3.353836805616114e-64,2.4093968703371754e-34
1.2926331771629471e-19,0.7351518913300448,2.770049921323807e-24,9.098118588256669e-26,4.7342136253556186e-37,1.7724238752773573e-36,0.0,0.0,2.8253245734215816e-19,1.7930697488154758e-34,1.975362308377529e-47,1.257148695103824e-57,3.2785550385727533e-50,6.30584616250952e-75,4.208065699599083e-54,5.0495970823119684e-45,1.500627004454908e-76,1.649244170175909e-33,5.181629668290529e-95,8.36447637586694e-66,1.9518746971574778e-101,4.089036909618864e-101,7.17430347011307e-34,7.324359755727415e-85,3.921548525155784e-54,5.339248215088956e-98,3.807018674687153e-108,7.320336989907711e-93,7.10134600580098e-159,2.0737131967464667e-127,6.485744934572617e-53,9.681607886660548e-133,2.8834211236187177e-116,1.5667255795048304e-138,3.76,0.0,1.0042223751729704,0.9999999999997905,2.0827999205337845e-49,2.4430644402995716e-85,1.9512496854783723e-15,1.2327021543756887e-15,3.792262210353036e-16,3.3932131006737757e-16,2.0952664293226057e-13,6.328338144480641e-32,8.663371607828942e-50,2.3012966837724435e-30,2.0093957284656511e-38,6.617543238474168e-33,3.0100394181160277e-81,1.992112590683667e-79,7.930836760510648e-36,2.0245059073306447e-81,1.2691221465528146e-37,8.652813487008243e-97,1.5179462333609026e-79,1.1593082694148254e-82,2.228504874138618e-81,9.242007586443749e-80,6.048933744732621e-98,5.83069060446295e-97,7.493397235534318e-94,5.394322704762977e-38,1.649244170175909e-33,3.6336240488848485e-48,2.1655040110588396e-19,6.598482628551338e-20,4.1803221375715204e-31,1.880876795490717e-44,1.3177840482990262e-31,1.5457454170784376e-32,2.551710927938454e-32,1.3600636330631332e-33,1.7182337856049125e-32,5.820282912257896e-45,2.3153885779345962e-32,1.1258326209394308e-37,2.2436455432329525e-32,7.272793431631207e-43,1.5554802913717818e-50,4.515918659468256e-55,7.633473780285636e-59,5.383651187862553e-63,9.66275907901659e-34
