Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(923),S(304),S(964),S(1434),S(335),S(220),CF2O(49),S(879),C2H2F3(67),C2H2F3(68),S(133),S(149),CHFCF2(55),C2H3F2(66),C2H3F2(64),C2HF2(72),CF2CH(73),S(234),CF2(43),S(3455),CH2F(46),S(3466),CH2F2(41),C2F(235),S(3986),S(4065),S(3435),C2H3F2(65),CFO(51),F(37),S(4439),CHO2(339),S(215),CHF2(82),S(4798),S(3456),CHF3(42),S(221)
0.0,0.5438562016274517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.870600879741545,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0556426450839373e-21,0.5438562016274517,3.8386328484924496e-29,1.2700456752226002e-32,1.9988893184046972e-38,2.262201879668431e-43,0.0,0.0,3.704041221683524e-23,6.834064343297483e-41,3.0630412183894972e-55,2.591427405905593e-55,2.3753041387416974e-60,1.1377495836322802e-76,6.01349332662117e-51,1.932848473864273e-41,1.4758904634296282e-45,2.014384671339677e-40,4.688039055122095e-100,4.4097844728912903e-73,3.5953223628827085e-96,1.901815532008387e-95,5.052176218409338e-29,1.3001465610643398e-94,3.239343516878096e-64,8.207774365787794e-103,1.5418040550173968e-108,7.2740667721335695e-87,1.1586947707225069e-103,5.514003178296136e-103,2.1911232266237674e-64,1.0110908292578368e-117,9.290936446962595e-118,3.4505279845517655e-119,3.76,0.0,0.870600879741545,0.9999999999999994,1.7765191675039865e-52,4.551408303998858e-61,4.9296327547711664e-20,3.155064243585164e-20,1.3121496936229251e-20,4.62418817563077e-21,4.847679820046931e-16,1.56362942975741e-41,5.210622923816174e-64,1.954927062010099e-38,4.5798444768436174e-45,2.0515208655699713e-38,1.4439856213743898e-101,2.300556204158657e-100,2.199128090093378e-44,2.8597375289189117e-102,2.7037764073901636e-47,2.994071538921512e-118,1.475783165271586e-100,1.529184629128458e-103,3.964035532354131e-102,1.1188369385412563e-100,2.84271429567148e-119,3.5590756054215745e-118,3.7652427913694532e-115,2.052947213827636e-44,2.014384671339676e-40,1.2832768874138964e-47,2.849009620542699e-23,8.550354397736406e-24,2.0425705149740713e-37,6.491948909597697e-53,4.4498394656104424e-38,2.782088746201687e-30,5.611014911509493e-28,3.5035356722045726e-42,8.227397590754834e-41,2.1467997409373668e-54,6.658546232733696e-40,5.2539770944151155e-45,3.7952869275698485e-23,6.430139471291809e-50,1.0416092443349468e-39,3.472193177514133e-69,2.405819897756052e-69,9.868063334523352e-74,2.462847620498244e-38,1.5448027273928987e-42,2.5940654723344158e-59,5.63883579896667e-28,1.0020475025471854e-73,4.058978065702084e-70,2.792273019662597e-46,3.795286927569849e-23,5.2697830620712095e-61,2.885659231032112e-38,5.052176218411244e-29,7.07186485178236e-45
8.555799406235025e-21,0.5438562016274517,1.0748171977377748e-28,3.5561278906419905e-32,1.2073291483164255e-37,1.3663699354900946e-42,0.0,0.0,1.0371315420713878e-22,4.127774863351684e-40,3.6364425344711184e-54,3.076542616289999e-54,2.819961073616978e-59,1.3507363056870688e-75,3.6321499692767213e-50,1.167440478213557e-40,8.91437839912138e-45,1.2166883414949014e-39,2.8519629335362494e-98,5.235296126269852e-72,1.7175286366166137e-94,9.085201014262858e-94,1.4146093411539978e-28,7.873409093056428e-93,3.8457486232402835e-63,3.920952317670673e-101,7.380044878574486e-107,2.2870829782421788e-85,5.535430692597171e-102,2.6341054863107452e-101,2.601301494658788e-63,7.802029807248863e-116,7.169312589974571e-116,2.6625819766428726e-117,3.76,0.0,0.870600879741545,0.9999999999999987,2.1090835556607562e-51,5.403431938511012e-60,1.3802971713359265e-19,8.834179882039413e-20,3.6740191421441954e-20,1.2947726891756591e-20,1.3573503495998927e-15,9.444321755735598e-41,6.186051535155056e-63,1.180775945439319e-37,2.7662260639998827e-44,1.2391186028043393e-37,6.89809259160625e-100,1.0990033054006883e-98,1.3282733664238624e-43,1.366130934436541e-100,1.6330809500640814e-46,2.604487740786358e-116,7.0499932744794036e-99,7.3050984755413e-102,1.8936673422555153e-100,5.3448183158460395e-99,2.4728248598374307e-117,3.095974382140602e-116,3.275315298608144e-113,1.2399801172399388e-43,1.2166883414949e-39,7.750992400096626e-47,7.977226937519531e-23,2.3940992313661183e-23,1.2337125910443084e-36,7.707241746558684e-52,2.687703037228678e-37,7.789848489504728e-30,1.5710841752231282e-27,2.1161355460102152e-41,4.9693481448127375e-40,2.5486813722011885e-53,4.0217619245711144e-39,3.173402165026764e-44,1.0626803397195568e-22,3.886795220895159e-49,6.291319835783079e-39,4.1221877403453385e-68,5.381724330368586e-68,2.207446891202766e-72,1.4875599627806987e-37,9.330608473453074e-42,3.0796748158394537e-58,1.5788740237097085e-27,2.2415407859987102e-72,9.079774023365285e-69,1.6865329045773232e-45,1.0626803397195577e-22,6.256286453671895e-60,1.742938175543239e-37,1.4146093411551496e-28,4.271406370526632e-44
1.95561129285372e-20,0.5438562016274517,2.4567250241543895e-28,8.12829232155561e-32,5.812770137920686e-37,6.578483068631224e-42,0.0,0.0,2.370586381877461e-22,1.9873459110309126e-39,3.5702808441520015e-53,3.0205677843200825e-53,2.768654504435412e-58,1.326160914678145e-74,1.7487238593777376e-49,5.620723361990349e-40,4.2918894676629964e-44,5.8578306243401855e-39,1.2875123948722518e-96,5.140044781761491e-71,8.943136002777745e-93,4.730645332538112e-92,3.2333927797776584e-28,3.563553910001656e-91,3.775778803281179e-62,2.041631757464227e-99,3.836562899431285e-105,5.102356312323919e-84,2.882220618626497e-100,1.3715732656540725e-99,2.553973232986276e-62,8.503033735954647e-114,7.813463116045e-114,2.9018120839184926e-115,3.76,0.0,0.870600879741545,0.9999999999999969,2.0707107416426488e-50,5.305121519152125e-59,3.1549649630535464e-19,2.0192411158951717e-19,8.397758039186754e-20,2.959480432396996e-20,3.102515084737297e-15,4.547034381735807e-40,6.073502080001662e-62,5.684927896103654e-37,1.3318187738454882e-43,5.965822677078601e-37,3.59182251124622e-98,5.722487426509111e-97,6.395064486101376e-43,7.113415453019977e-99,7.862581792693141e-46,2.707167474462374e-114,3.6709168818620097e-97,3.803749631215131e-100,9.860286591588347e-99,2.783035816102313e-97,2.5703138953753097e-115,3.218030562301136e-114,3.404441892877027e-111,5.969970499103208e-43,5.8578306243401725e-39,3.731769188774643e-46,1.8233661571473076e-22,5.47222681455077e-23,5.939795057544139e-36,7.567015650566484e-51,1.2940133165994727e-36,1.7805367976670828e-29,3.591049543369366e-27,1.0188281734750686e-40,2.39252721938673e-39,2.502310800093765e-52,1.9363052444789012e-38,1.5278565390559633e-43,2.428983633644698e-22,1.874371028604014e-48,3.028999682526024e-38,4.047188367712178e-67,1.0633381778545662e-66,4.361543644571709e-71,7.1619608804052755e-37,4.4922863312584974e-41,3.0236431222122474e-57,3.608854911331956e-27,4.428907444156128e-71,1.7940105758955536e-67,8.119929951692485e-45,2.4289836336447032e-22,6.142459144529083e-59,8.391497043839023e-37,3.2333927797832044e-28,2.056498298972009e-43
4.155673997314155e-20,0.5438562016274517,5.220540679545841e-28,1.7272621183682207e-31,2.5385894343737865e-36,2.8729963898195146e-41,0.0,0.0,5.037496061489619e-22,8.679261715987846e-39,3.157872974504938e-52,2.6716579983851294e-52,2.448843555544432e-57,1.1729743107338898e-73,7.637136524770664e-49,2.4547175618004372e-39,1.8743808885655862e-43,2.558268532687843e-38,4.8614018242568464e-95,4.546311400502005e-70,3.5689708128922725e-91,1.8878763682809215e-90,6.8709596570151095e-28,1.34700411071338e-89,3.339633592177574e-61,8.147616513724527e-98,1.5301907576461888e-103,9.556148684731326e-83,1.150209246954975e-98,5.4735888522344543e-98,2.2589604017899823e-61,6.956009550965299e-112,6.391896368566241e-112,2.3738624590418775e-113,3.76,0.0,0.870600879741545,0.9999999999999934,1.831520200929849e-49,4.692319905113878e-58,6.704300546488786e-19,4.290887371279157e-19,1.7845235833271941e-19,6.288895918824363e-20,6.5928445548001295e-15,1.9858093757932116e-39,5.371943809540735e-61,2.4827573685237204e-36,5.816402485377499e-43,2.6054314992750155e-36,1.433402075513542e-96,2.2836945111916868e-95,2.7928926745311054e-42,2.838777373595094e-97,3.43379603738637e-45,2.167002967670061e-112,1.4649665624971673e-95,1.5179766258171184e-98,3.9349815370417676e-97,1.1106365368772209e-95,2.0574559540443957e-113,2.5759329055766977e-112,2.7251493695662985e-109,2.607242962883436e-42,2.558268532687832e-38,1.6297616471965148e-45,3.874653083937973e-22,1.1628481980918862e-22,2.594064554016594e-35,6.692939649388495e-50,5.651296121324808e-36,3.783640695324311e-29,7.63098027966936e-27,4.449490303678918e-40,1.0448794940209288e-38,2.2132656901664593e-51,8.4563537155712e-38,6.6725509099076746e-43,5.16159022149497e-22,8.21263732218158e-48,1.3228437403053817e-37,3.579692278293528e-66,1.892153587146164e-65,7.761134345025388e-70,3.127816478029031e-36,1.9618994637889272e-40,2.6743781498877245e-56,7.668816686561113e-27,7.881004634033809e-70,3.192346157770327e-66,3.5461867458341756e-44,5.161590221494994e-22,5.4329355611665015e-58,3.6647872234083465e-36,6.87095965703933e-28,8.981268362518473e-43
8.555799406235025e-20,0.5438562016274517,1.0748172000561631e-27,3.5561278909132824e-31,1.0598111166180089e-35,1.1994194389767477e-40,0.0,0.0,1.037131542071398e-21,3.62342091481636e-38,2.6543825111861195e-51,2.2456895271060455e-51,2.058400562977375e-56,9.859555851685232e-73,3.1883541617401406e-48,1.0247962608363673e-38,7.825171237193511e-43,1.0680267528217765e-37,1.6866461276826541e-93,3.8214486682509816e-69,1.2684681254690484e-89,6.709808299182846e-89,1.4146093411450531e-27,4.675700875297782e-88,2.8071632622609943e-60,2.895790603535862e-96,5.4372109809587494e-102,1.6505870408119962e-81,4.088009915930123e-97,1.945399207512837e-96,1.8987923303468587e-60,5.006290593358076e-110,4.600293677845198e-110,1.708486052955546e-111,3.76,0.0,0.870600879741545,0.9999999999999865,1.5395030862521077e-48,3.944177613754667e-57,1.3802971713359265e-18,8.834179882053222e-19,3.6740191421442603e-19,1.2947726891617858e-19,1.3573503494077883e-14,8.290363236585492e-39,4.5154424558181414e-60,1.0365023280715582e-35,2.4282335414296995e-42,1.0877163629262314e-35,5.094535481417381e-95,8.116607973648065e-94,1.165977713468354e-41,1.0089459407259401e-95,1.433542251198283e-44,1.5428002254921003e-110,5.206720611715891e-94,5.395126679668271e-97,1.3985540695929568e-95,3.947376204180571e-94,1.4648081045461482e-111,1.8339383594100046e-110,1.9401731975171504e-107,1.0884726139558661e-41,1.0680267528217669e-37,6.803934058696275e-45,7.977226937519126e-22,2.3940992313650195e-22,1.0829708870388242e-34,5.625819055251102e-49,2.3593048846662476e-35,7.789848491534802e-29,1.571084175229942e-26,1.8575746133840627e-39,4.362166202573793e-38,1.86038322150005e-50,3.530361212594871e-37,2.7856586554593172e-42,1.0626803397195476e-21,3.450984121955745e-47,5.522612213463886e-37,3.0089470525493393e-65,3.191393678563358e-64,1.3090287836659985e-68,1.3058018083848034e-35,8.190544060636657e-40,2.2479759981604584e-55,1.5788740236958057e-26,1.3292466604377382e-68,5.3843585512575755e-65,1.4804631648009045e-43,1.0626803397195572e-21,4.566709713169826e-57,1.529976524291033e-35,1.4146093411551653e-27,3.7495027450915315e-42
1.7356050224076764e-19,0.5438562016274517,2.1803434683524758e-27,7.2138594364823745e-31,4.329674219235944e-35,4.9000197795584286e-40,0.0,0.0,2.103895413916288e-21,1.480285673015636e-37,2.1762231536973844e-50,1.8411519531562814e-50,1.6876011459171414e-55,8.083459576363439e-72,1.3025467084903217e-47,4.1866271082741885e-38,3.196837779482991e-42,4.363237774163236e-37,5.617235808290989e-92,3.1330545009565445e-68,4.272549994410423e-88,2.2600482294751863e-87,2.8696360920163465e-27,1.5575718567228795e-86,2.301482044089223e-59,9.75382084281237e-95,1.8311954404310584e-100,2.7424750554543997e-80,1.376952171905332e-95,6.552640311906213e-95,1.5567446727296215e-59,3.3934267776123057e-108,3.1182286624871904e-108,1.1580674786053436e-109,3.76,0.0,0.870600879741545,0.9999999999999725,1.2621776429680342e-47,3.2336751049674404e-56,2.8000314047100224e-18,1.7920764903625728e-18,7.453010259778508e-19,2.6265388836959906e-19,2.7534821369241755e-14,3.386883890041648e-38,3.7020325368271353e-59,4.2344502116505564e-35,9.92012632898892e-42,4.4436762556679067e-35,1.7159798584873893e-93,2.7338971044167195e-92,4.763399409117945e-41,3.398407802388708e-94,5.85648784946042e-44,1.0401450887910164e-108,1.753766899925766e-92,1.8172272526758907e-95,4.710715282188659e-94,1.3295850199760206e-92,9.875633478512875e-110,1.236428376120408e-108,1.3080511612624358e-105,4.4467657930442287e-41,4.3632377741631554e-37,2.7796290705921946e-44,1.6182374644680721e-21,4.85660129790935e-22,4.424289438250814e-34,4.61238635919356e-48,9.63853027608738e-35,1.5802264087539915e-28,3.187056469767985e-26,7.588798407262797e-39,1.782087227710249e-37,1.5252545843528827e-49,1.4422677481945977e-36,1.1380324545590473e-41,2.155722974859633e-21,1.4281203975939773e-46,2.2561672875992664e-36,2.4669165866093503e-64,5.241873772761367e-63,2.1500837376542642e-67,5.334626459875521e-35,3.3461044996416964e-39,1.8430265481628212e-54,3.2028587337506484e-26,2.1832916610734465e-67,8.843825210301402e-64,6.0481751342758334e-43,2.1557229748596725e-21,3.7440645565734753e-56,6.250453320766228e-35,2.8696360920576567e-27,1.5317942149270725e-41
3.4956551859760244e-19,0.5438562016274517,4.3913960213177195e-27,1.4529322529536433e-30,1.7501235449494712e-34,1.9806663478914256e-39,0.0,0.0,4.23742315760614e-21,5.98355136764565e-37,1.7623619322442713e-49,1.491012586734995e-49,1.3666631637022248e-54,6.546195142583595e-71,5.2651020548968885e-47,1.6923016155498541e-37,1.2922129435373008e-41,1.7636904707600557e-36,1.8335593246875574e-90,2.537228765641257e-67,1.4022936888977585e-86,7.417704586097521e-86,5.7796895936957636e-27,5.084761525606321e-85,1.8637998292986965e-58,3.20130203424069e-93,6.009839399129309e-99,4.470926507076515e-79,4.5192915012633554e-94,2.1506421615464393e-93,1.2606921974869728e-58,2.2343845683120433e-106,2.0531817130094755e-106,7.625236304822409e-108,3.76,0.0,0.870600879741545,0.9999999999999445,1.0221441794404489e-46,2.6187139387513803e-55,5.639499871458214e-18,3.609393494686826e-18,1.5010992495047464e-18,5.290071272666425e-19,5.545745710600294e-14,1.3690326199733897e-37,2.9980019300060525e-58,1.7116324778527574e-34,4.009873670667377e-41,1.796204990815227e-34,5.632017716264602e-92,8.972924039930226e-91,1.925442201725281e-40,1.1153914694093921e-92,2.3672860259339283e-43,6.830462672932101e-107,5.756038569012755e-91,5.96432180220341e-94,1.5461039243852078e-92,4.363831166097075e-91,6.485166978594417e-108,8.119422915190423e-107,8.589758041682335e-104,1.7974538353927985e-40,1.763690470759991e-36,1.1235705133551411e-43,3.2592670059001075e-21,9.781605430990253e-22,1.788368529241537e-33,3.7352300578757206e-47,3.8960480444334434e-34,3.1827095293886663e-28,6.419001058892188e-26,3.0675136505964156e-38,7.203481505480829e-37,1.2351907151629285e-48,5.8298768369738085e-36,4.600109137063879e-41,4.341808245139739e-21,5.9204844385297904e-46,9.119788906589724e-36,1.9977730109770467e-63,8.49730333119938e-62,3.4853784157163575e-66,2.156341308408556e-34,1.3525489383630539e-38,1.4925306855353873e-53,6.450828153762148e-26,3.5392098898418835e-66,1.4336221867300489e-62,2.4447691259001127e-42,4.341808245139899e-21,3.0320405894088075e-55,2.5265331683964304e-34,5.779689593862751e-27,6.191757131945453e-41
7.01575551311272e-19,0.5438562016274517,8.813501192738679e-27,2.9160248723308066e-30,7.037169801007347e-34,7.96417233969887e-39,0.0,0.0,8.504478644986133e-21,2.4059596883154337e-36,1.418502205068474e-48,1.2000966449373385e-48,1.1000094139311055e-53,5.26894735653917e-70,2.1170743794159253e-46,6.8046703658126215e-37,5.195931412628811e-41,7.091721815199291e-36,5.925746902728419e-89,2.042182445859465e-66,4.5442160912090334e-85,2.403751283102978e-84,1.159979659680193e-26,1.6434009623845921e-83,1.5001482496105702e-57,1.0374012012343672e-91,1.9474720962941684e-97,7.220558256938712e-78,1.4645027462678446e-92,6.9692838204475e-92,1.0147147585685404e-57,1.4503581186831835e-104,1.3327377799708349e-104,4.94960606329794e-106,3.76,0.0,0.870600879741545,0.9999999999998886,8.227105601470379e-46,2.1077688009675223e-54,1.1318436804954597e-17,7.244027503374339e-18,3.012695696558721e-18,1.0617136050215389e-18,1.1130272852525914e-13,5.50481995270425e-37,2.4130527735554726e-57,6.882398907240978e-34,1.6123525663602996e-40,7.222461268131831e-34,1.8250888343131232e-90,2.907729395863221e-89,7.742118411973937e-40,3.6144923915527666e-91,9.51875299323811e-43,4.427795683822588e-105,1.865278528634435e-89,1.9327739497739645e-92,5.010241716164575e-91,1.4141254405340586e-89,4.2039603633997494e-106,5.263354394164548e-105,5.568245583869819e-102,7.227482850807369e-40,7.091721815198767e-36,4.517827622411511e-43,6.541326088763044e-21,1.9631613697121046e-21,7.190951200762634e-33,3.0064381082491896e-46,1.5665837832237094e-33,6.387675776392627e-28,1.2882890237333074e-25,1.2334337474360903e-37,2.8964882311646542e-36,9.941889498351378e-48,2.344167835415818e-35,1.8496836519995783e-40,8.713978785699695e-21,2.499456032362551e-45,3.667027009050941e-35,1.6079815215729776e-62,1.368464510349619e-60,5.613094508581208e-65,8.670553561678764e-34,5.438539793893005e-38,1.2013185442076525e-52,1.294676699339241e-25,5.699788434778747e-65,2.3088043425371018e-61,9.830309408847837e-42,8.713978785700339e-21,2.4404501124246568e-54,1.0159078749093905e-33,1.1599796597473372e-26,2.4896783123373276e-40
1.4055956167386111e-18,0.5438562016274517,1.7657711797542486e-26,5.8422101141505346e-30,2.822219835312332e-33,3.1939893688333204e-38,0.0,0.0,1.7038589619747258e-20,9.648974441917116e-36,1.1382586853793906e-47,9.630019780666773e-48,8.82688282960849e-53,4.2279984263977507e-69,8.49041514533084e-46,2.7289771628637052e-36,2.083800890381315e-40,2.8440976346684893e-35,1.9056313981684158e-87,1.638722802822705e-65,1.463309987419856e-83,7.74046213734208e-83,2.3240010602003592e-26,5.285081369773205e-82,1.2037744943887598e-56,3.340598705689664e-90,6.271087312376848e-96,1.1606836531394831e-76,4.715931331312661e-91,2.244220436753636e-90,8.142446897111024e-57,9.347939102537434e-103,8.589845094319778e-103,3.190151154975774e-104,3.76,0.0,0.870600879741545,0.999999999999777,6.60173412015892e-45,1.6913517202891075e-53,2.2676310671947366e-17,1.4513295520905387e-17,6.035888590667404e-18,2.1271265603745698e-18,2.2299327114670681e-13,2.20767901015115e-36,1.936322882044228e-56,2.7601497799070384e-33,6.466254929004551e-40,2.8965300010198567e-33,5.877076853896577e-89,9.363351963200357e-88,3.1049357602057235e-39,1.1639241449530743e-89,3.817445686905265e-42,2.851929122472283e-103,6.006494069792682e-88,6.223840085477787e-91,1.61337766716669e-89,4.55370924128187e-88,2.7077575012192882e-104,3.3901098283991713e-103,3.5864892809475565e-100,2.8985439071827835e-39,2.84409763466807e-35,1.8118509450853522e-42,1.3105444254484376e-20,3.9331630229258555e-21,2.883893054649322e-32,2.4124772430056873e-45,6.282701642439988e-33,1.2797608293338988e-27,2.5810668594984754e-25,4.9466209935160015e-37,1.1616213291979782e-35,7.977740216031187e-47,9.401161474695063e-35,7.418058735761116e-40,1.745831986681858e-20,1.0977264348780675e-44,1.470641842421035e-34,1.2903039039469167e-61,2.1966886118188347e-59,9.010259812041966e-64,3.4772797781426015e-33,2.1810977019874197e-37,9.639824758257352e-52,2.5938644671081963e-25,9.149422751934426e-64,3.7061422961339024e-60,3.9423939676293844e-41,1.7458319866821162e-20,1.9583076245536922e-53,4.0742449542390574e-33,2.3240010604696367e-26,9.984723583708018e-40
